tier	score	gold	filler	novel	en	fr
A	0.864	0	0	1	chrome	chrome
A	0.864	0	0	1	crime	crame
A	0.864	0	0	1	flight	flatte
A	0.864	0	0	1	cited	sarde
A	0.864	0	0	1	climb	clame
A	0.864	0	0	1	testa	test
A	0.864	0	0	1	foremen	formaient
A	0.864	0	0	1	riley	rallie
A	0.863	0	0	1	prospect	prospects
A	0.859	0	0	1	exploring	explorent
A	0.859	0	0	1	machinery	machinerie
A	0.856	0	0	1	cc	ici
A	0.856	0	1	1	ss	est s
A	0.852	0	0	1	artiste	artiste
A	0.852	0	0	1	italy	relie
A	0.852	0	0	1	bbc	bibi
A	0.852	0	0	1	morris	morse
A	0.85	0	0	1	texture	textes
A	0.849	0	0	1	strict	strict
A	0.849	0	0	1	script	script
A	0.849	0	0	1	northeast	nordistes
A	0.849	0	0	1	sprint	sprint
A	0.849	0	0	1	bikini	bikini
A	0.849	0	0	1	buddhist	bouddhiste
A	0.848	0	0	1	truly	roulis
A	0.848	0	0	1	torture	torches
A	0.848	0	0	1	streak	trique
A	0.848	0	0	1	steps	steppes
A	0.848	0	0	1	stepped	steppes
A	0.848	0	0	1	pressed	prête
A	0.848	0	0	1	porch	porche
A	0.848	0	0	1	torch	torches
A	0.848	0	0	1	stream	trime
A	0.848	0	0	1	spleen	pline
A	0.848	0	0	1	tresses	treize
A	0.848	0	0	1	sext	secte
A	0.848	0	0	1	sexed	secte
A	0.848	0	0	1	crest	crête
A	0.848	0	0	1	caressed	crête
A	0.847	0	0	1	costume	costume
A	0.847	0	0	1	exact	exact
A	0.847	0	0	1	accept	excepte
A	0.847	0	0	1	declare	clair
A	0.847	0	0	1	forge	forge
A	0.847	0	0	1	scored	scores
A	0.847	0	0	1	vaccine	vaccine
A	0.847	0	0	1	wrested	reste
A	0.847	0	0	1	rested	reste
A	0.846	0	0	1	brief	briefe
A	0.846	0	0	1	cruel	croule
A	0.846	0	0	1	fuel	fuel
A	0.845	0	0	1	progress	progresse
A	0.844	0	0	1	creature	kitsch
A	0.844	0	0	1	dresses	dresse
A	0.844	0	0	1	cuisine	couine
A	0.844	0	0	1	stores	stores
A	0.844	0	0	1	scores	scores
A	0.844	0	0	1	stems	stem
A	0.844	0	0	1	queens	couine
A	0.844	0	0	1	presses	presse
A	0.844	0	0	1	testers	test
A	0.844	0	0	1	reprove	prouvent
A	0.844	0	0	1	strep	steppes
A	0.844	0	0	1	pressers	presse
A	0.843	0	0	1	abroad	brode
A	0.841	0	1	1	elderly	est lie
A	0.839	0	0	1	scenery	syrie
A	0.839	0	0	1	jelly	delhi
A	0.838	0	0	1	stressed	reste
A	0.838	0	0	1	floral	floral
A	0.838	0	0	1	texas	texas
A	0.837	0	0	1	professor	professe
A	0.837	0	1	1	nfl	un eiffel
A	0.836	0	0	1	exposure	expo
A	0.833	0	0	1	zone	zone
A	0.833	0	0	1	mile	mal
A	0.833	0	0	1	pile	pale
A	0.833	0	0	1	pose	pause
A	0.833	0	0	1	meta	maire
A	0.833	0	0	1	coil	col
A	0.833	0	0	1	pike	pac
A	0.833	0	0	1	code	codes
A	0.833	0	0	1	loud	lad
A	0.833	0	0	1	coke	coque
A	0.833	0	0	1	lied	lad
A	0.833	0	0	1	light	latte
A	0.833	0	0	1	road	rôde
A	0.833	0	0	1	rode	rôde
A	0.833	0	0	1	pro	pro
A	0.833	0	0	1	tile	tales
A	0.833	0	0	1	arrive	rave
A	0.833	0	0	1	night	nattes
A	0.833	0	0	1	knight	nattes
A	0.833	0	0	1	rogue	rogue
A	0.833	0	0	1	soul	saule
A	0.833	0	0	1	sole	saule
A	0.833	0	0	1	vote	votent
A	0.833	0	0	1	solar	saule
A	0.833	0	0	1	tiger	tag
A	0.833	0	0	1	folk	phoque
A	0.833	0	0	1	mole	môle
A	0.833	0	0	1	louder	lad
A	0.833	0	0	1	ripe	rap
A	0.833	0	0	1	severity	verrerie
A	0.833	0	0	1	vogue	vogue
A	0.833	0	0	1	fiber	fab
A	0.833	0	0	1	souk	sacs
A	0.833	0	0	1	moolah	moule
A	0.833	0	0	1	fila	file
A	0.833	0	0	1	cauda	code
A	0.833	0	0	1	vita	virent
A	0.833	0	0	1	pita	pires
A	0.833	0	0	1	feta	firent
A	0.833	0	0	1	korea	cries
A	0.833	0	0	1	sarah	serre
A	0.833	0	0	1	bro	broc
A	0.833	0	0	1	lisa	lisse
A	0.833	0	0	1	laura	lors
A	0.833	0	0	1	amy	émis
A	0.833	0	0	1	tyler	tales
A	0.833	0	0	1	kyle	cale
A	0.833	0	0	1	sara	serre
A	0.833	0	0	1	seoul	saule
A	0.833	0	0	1	nike	nac
A	0.829	0	0	1	louise	louise
A	0.827	0	0	1	textile	textile
A	0.827	0	0	1	smart	smart
A	0.827	0	0	1	marquee	marquis
A	0.823	0	0	1	mm	même
A	0.823	0	0	1	strip	strip
A	0.823	0	0	1	twist	twist
A	0.823	0	0	1	crisp	crispe
A	0.823	0	0	1	offshore	offshore
A	0.823	0	0	1	bridge	bridge
A	0.823	0	0	1	tourney	tournis
A	0.823	0	0	1	pawpaw	pop
A	0.823	0	0	1	michelle	michel
A	0.823	0	0	1	derek	derrick
A	0.822	0	0	1	correct	crête
A	0.822	0	0	1	memory	mairie
A	0.822	0	0	1	steely	style
A	0.822	0	0	1	stalky	stock
A	0.822	0	0	1	freaky	fric
A	0.822	0	0	1	creamy	crime
A	0.822	0	0	1	forked	forte
A	0.822	0	0	1	foresaw	force
A	0.822	0	0	1	specs	sexes
A	0.822	0	0	1	specks	sexes
A	0.821	0	0	1	deeply	déplie
A	0.821	0	0	1	forum	forums
A	0.821	0	0	1	taxi	taxi
A	0.821	0	0	1	referee	rêverie
A	0.821	0	0	1	explosive	explosive
A	0.821	0	0	1	trucks	trax
A	0.821	0	0	1	vanity	vannerie
A	0.821	0	0	1	craft	kraft
A	0.821	0	0	1	corny	corner
A	0.821	0	0	1	corky	gorki
A	0.819	0	0	1	expect	inspecte
A	0.819	0	0	1	texting	textes
A	0.818	0	0	1	dd	dédie
A	0.818	0	0	1	drive	drive
A	0.818	0	0	1	affect	affect
A	0.818	0	0	1	kitty	cries
A	0.818	0	0	1	pussy	psy
A	0.818	0	0	1	fatigue	fatigue
A	0.818	0	0	1	titty	tri
A	0.818	0	0	1	pierre	pair
A	0.818	0	0	1	td	titi
A	0.817	0	0	1	expressing	expression
A	0.816	0	0	1	memories	maîtrise
A	0.816	0	0	1	peacock	pique
A	0.815	0	0	1	tweet	tite
A	0.815	0	0	1	sweet	site
A	0.815	0	0	1	suite	site
A	0.815	0	0	1	sweat	cette
A	0.815	0	0	1	swear	serre
A	0.815	0	0	1	sweater	serre
A	0.815	0	0	1	weeks	x
A	0.815	0	0	1	warm	ormes
A	0.815	0	0	1	lean	lignes
A	0.815	0	0	1	warmer	ormes
A	0.815	0	0	1	york	orques
A	0.815	0	0	1	warner	orne
A	0.814	0	0	1	ms	aimait
A	0.814	0	0	1	torn	orne
A	0.814	0	0	1	peeked	pique
A	0.814	0	0	1	center	saine
A	0.814	0	0	1	sensor	saine
A	0.814	0	0	1	pieces	pise
A	0.814	0	0	1	cost	cote
A	0.814	0	0	1	treat	tri
A	0.814	0	0	1	steam	cime
A	0.814	0	0	1	lets	laisse
A	0.814	0	0	1	spare	pair
A	0.814	0	0	1	nest	net
A	0.814	0	0	1	stare	terre
A	0.814	0	0	1	ceased	site
A	0.814	0	0	1	fest	faites
A	0.814	0	0	1	receipt	rite
A	0.814	0	0	1	salt	sol
A	0.814	0	0	1	beast	bit
A	0.814	0	0	1	piqued	pique
A	0.814	0	0	1	small	mole
A	0.814	0	0	1	lost	lotte
A	0.814	0	0	1	self	elfes
A	0.814	0	0	1	sense	saine
A	0.814	0	0	1	sent	saine
A	0.814	0	0	1	beach	biche
A	0.814	0	0	1	cent	saine
A	0.814	0	0	1	smaller	mole
A	0.814	0	0	1	chair	chair
A	0.814	0	0	1	belt	belle
A	0.814	0	0	1	spell	pelle
A	0.814	0	0	1	beats	bit
A	0.814	0	0	1	seeks	x
A	0.814	0	0	1	scare	caire
A	0.814	0	0	1	bent	benne
A	0.814	0	0	1	melt	mêle
A	0.814	0	0	1	slaughter	lors
A	0.814	0	0	1	scent	saine
A	0.814	0	0	1	talks	toc
A	0.814	0	0	1	talked	toc
A	0.814	0	0	1	coups	coupes
A	0.814	0	0	1	settler	celle
A	0.814	0	0	1	treader	raid
A	0.814	0	0	1	renter	reines
A	0.814	0	0	1	centre	saine
A	0.814	0	0	1	tread	raid
A	0.814	0	0	1	stoup	soupe
A	0.814	0	0	1	stoop	soupe
A	0.814	0	0	1	flute	flou
A	0.814	0	0	1	fessed	faites
A	0.814	0	0	1	beaked	bic
A	0.814	0	0	1	decease	dix
A	0.814	0	0	1	treater	rire
A	0.814	0	0	1	leases	lise
A	0.814	0	0	1	techs	teck
A	0.814	0	0	1	spree	pris
A	0.814	0	0	1	skeet	quitte
A	0.814	0	0	1	reaped	ripe
A	0.814	0	0	1	pleat	plie
A	0.814	0	0	1	peeks	pique
A	0.814	0	0	1	leaped	lippe
A	0.814	0	0	1	becks	bec
A	0.814	0	0	1	baulked	bock
A	0.814	0	0	1	speller	pelle
A	0.814	0	0	1	reseed	ride
A	0.814	0	0	1	recede	ride
A	0.814	0	0	1	deceit	dite
A	0.814	0	0	1	treed	ride
A	0.814	0	0	1	sept	cep
A	0.814	0	0	1	greece	gris
A	0.814	0	0	1	stewart	toute
A	0.814	0	0	1	stuart	toute
A	0.814	0	1	1	sp	est pi
A	0.814	0	0	1	chen	chaîne
A	0.814	0	1	1	sd	est dit
A	0.814	0	1	1	sf	est f
A	0.813	0	0	1	exclude	exclu
A	0.812	0	0	1	speed	spi
A	0.812	0	0	1	decree	cries
A	0.812	0	0	1	freed	frit
A	0.812	0	0	1	called	col
A	0.812	0	0	1	send	saine
A	0.812	0	0	1	shared	chair
A	0.812	0	0	1	bend	benne
A	0.812	0	0	1	greed	gris
A	0.812	0	0	1	creed	cries
A	0.812	0	0	1	cared	caire
A	0.812	0	0	1	gel	gel
A	0.812	0	0	1	seemed	cime
A	0.812	0	0	1	draws	rose
A	0.812	0	0	1	gem	gemmes
A	0.812	0	0	1	deemed	dîme
A	0.812	0	0	1	vender	veine
A	0.812	0	0	1	sender	saine
A	0.812	0	0	1	mender	mène
A	0.812	0	0	1	lender	laine
A	0.812	0	0	1	bender	benne
A	0.812	0	0	1	prude	proue
A	0.812	0	0	1	cred	craie
A	0.812	0	0	1	pleader	plie
A	0.812	0	0	1	metered	mirent
A	0.812	0	0	1	plead	plie
A	0.812	0	0	1	drool	roule
A	0.812	0	0	1	dreg	reg
A	0.812	0	0	1	dread	raid
A	0.812	0	0	1	clued	clou
A	0.812	0	0	1	meted	mirent
A	0.812	0	0	1	balder	bol
A	0.812	0	0	1	dc	ici
A	0.812	0	0	1	fred	frais
A	0.812	0	0	1	leeds	lise
A	0.812	0	0	1	leonard	laine
A	0.811	0	0	1	regular	règle
A	0.811	0	0	1	forest	forte
A	0.811	0	0	1	gnu	gnou
A	0.811	0	0	1	liam	lime
A	0.81	0	0	1	flora	florins
A	0.81	0	0	1	machine	machine
A	0.81	0	0	1	unique	ionique
A	0.81	0	0	1	effect	infecte
A	0.81	0	0	1	salary	sellerie
A	0.81	0	0	1	pg	fidji
A	0.81	0	0	1	scrub	scribe
A	0.81	0	0	1	delta	delta
A	0.81	0	0	1	costa	costaud
A	0.81	0	0	1	sudan	soudaine
A	0.809	0	0	1	court	côtes
A	0.809	0	0	1	fork	foc
A	0.809	0	0	1	daughters	dose
A	0.809	0	0	1	credit	crête
A	0.809	0	0	1	peters	pise
A	0.809	0	0	1	xxx	s excès
A	0.809	0	0	1	prayer	pair
A	0.809	0	0	1	repair	pair
A	0.809	0	0	1	petty	pays
A	0.809	0	0	1	reset	cette
A	0.809	0	0	1	crawl	col
A	0.809	0	0	1	force	fausse
A	0.809	0	0	1	proof	pouf
A	0.809	0	0	1	forever	fèves
A	0.809	0	0	1	shares	chaise
A	0.809	0	0	1	prep	pep
A	0.809	0	0	1	perry	pays
A	0.809	0	0	1	peri	pays
A	0.809	0	0	1	recoup	coupes
A	0.809	0	0	1	crewed	coude
A	0.809	0	0	1	cress	caisse
A	0.809	0	0	1	creel	kil
A	0.809	0	0	1	bruise	bouse
A	0.809	0	0	1	broom	boum
A	0.809	0	0	1	brews	bouse
A	0.809	0	0	1	terrors	thèse
A	0.809	0	0	1	reseal	cils
A	0.809	0	0	1	setters	seize
A	0.809	0	0	1	metres	mise
A	0.809	0	0	1	caress	caisse
A	0.809	0	0	1	greeter	gris
A	0.809	0	0	1	brawn	bonne
A	0.809	0	0	1	reddest	reste
A	0.809	0	0	1	lauder	lord
A	0.809	0	0	1	brawl	bol
A	0.809	0	0	1	beaters	bise
A	0.809	0	0	1	brett	bêtes
A	0.808	0	0	1	peppers	pep
A	0.808	0	0	1	bounty	bâti
A	0.808	0	0	1	means	mine
A	0.808	0	0	1	seems	cime
A	0.808	0	0	1	calls	col
A	0.808	0	0	1	cells	celle
A	0.808	0	0	1	legs	legs
A	0.808	0	0	1	meals	mille
A	0.808	0	0	1	beans	bine
A	0.808	0	0	1	pairs	pair
A	0.808	0	0	1	sells	celle
A	0.808	0	0	1	leagues	ligue
A	0.808	0	0	1	sellers	celle
A	0.808	0	0	1	memes	mime
A	0.808	0	0	1	pens	peine
A	0.808	0	0	1	cruise	crous
A	0.808	0	0	1	crews	crous
A	0.808	0	0	1	promo	promo
A	0.808	0	0	1	cares	caire
A	0.808	0	0	1	trues	trou
A	0.808	0	0	1	trews	trou
A	0.808	0	0	1	pleas	plie
A	0.808	0	0	1	clews	clou
A	0.808	0	0	1	senors	saine
A	0.808	0	0	1	messes	messe
A	0.808	0	0	1	callers	col
A	0.808	0	0	1	supers	soupe
A	0.808	0	0	1	talkers	toc
A	0.808	0	0	1	cruz	crous
A	0.807	0	0	1	exposed	expo
A	0.807	0	0	1	prospective	prospective
A	0.807	0	0	1	pressies	presse
A	0.806	0	1	1	increased	un christ
A	0.806	0	0	1	sequel	cycle
A	0.806	0	0	1	peppy	pipi
A	0.806	0	0	1	freest	frites
A	0.805	0	1	1	disprove	d prouvent
A	0.804	0	0	1	freedom	frime
A	0.804	0	0	1	concept	concept
A	0.804	0	0	1	clothes	clause
A	0.804	0	0	1	khaki	kiki
A	0.804	0	0	1	portly	poli
A	0.804	0	0	1	pappy	pipi
A	0.804	0	0	1	mammy	mimi
A	0.804	0	0	1	kaki	kiki
A	0.802	0	0	1	penny	pays
A	0.802	0	0	1	investor	veste
A	0.802	0	0	1	invest	veste
A	0.802	0	0	1	inform	formes
A	0.802	0	0	1	insect	secte
A	0.802	0	0	1	fraud	rode
A	0.802	0	0	1	pleasure	plaie
A	0.802	0	0	1	trends	traîne
A	0.802	0	0	1	phoenix	fixe
A	0.802	0	0	1	exports	expo
A	0.802	0	0	1	electricity	lectrice
A	0.802	0	0	1	censure	sèches
A	0.802	0	0	1	treen	tri
A	0.802	0	0	1	preen	pris
A	0.802	0	0	1	fleece	lisse
A	0.802	0	0	1	fleam	lime
A	0.802	0	0	1	flees	lise
A	0.802	0	0	1	fleas	lise
A	0.802	0	0	1	jews	douze
A	0.802	0	0	1	kent	quête
A	0.802	0	1	1	fc	est si
A	0.802	0	1	1	fm	est hem
A	0.8	0	0	1	necessary	s ri
A	0.8	0	0	1	flexible	flexible
A	0.8	0	0	1	french	fraîches
A	0.8	0	0	1	mindset	man cette
A	0.798	0	0	1	barely	berlin
A	0.798	0	0	1	square	square
A	0.798	0	0	1	next	textes
A	0.798	0	0	1	index	index
A	0.798	0	0	1	boston	boston
A	0.797	0	0	1	expertise	exposent
A	0.797	0	0	1	proven	prouvent
A	0.797	0	0	1	freeman	frime
A	0.797	0	0	1	pressmen	promène
A	0.797	0	0	1	morgan	morgue
A	0.796	0	0	1	davies	divise
A	0.795	0	0	1	etc	s être
A	0.793	0	0	1	star	star
A	0.793	0	0	1	potty	pari
A	0.793	0	0	1	sorry	sari
A	0.793	0	1	1	addressed	et reste
A	0.793	0	0	1	card	carde
A	0.793	0	0	1	barred	barde
A	0.793	0	0	1	flock	flaque
A	0.793	0	0	1	structure	stretch
A	0.793	0	0	1	drop	drape
A	0.793	0	0	1	solve	salve
A	0.793	0	0	1	quad	quad
A	0.793	0	0	1	cosset	caste
A	0.793	0	0	1	grot	gratte
A	0.793	0	0	1	frock	frac
A	0.793	0	0	1	crock	crack
A	0.793	0	0	1	copped	capte
A	0.793	0	0	1	parlour	parles
A	0.793	0	0	1	parlor	parles
A	0.793	0	0	1	carder	carde
A	0.793	0	0	1	parker	parcs
A	0.793	0	0	1	queensland	queensland
A	0.793	0	0	1	tommy	tamis
A	0.793	0	0	1	rd	hardi
A	0.793	0	0	1	marc	marque
A	0.793	0	0	1	barack	braque
A	0.793	0	0	1	molly	mali
A	0.791	0	0	1	metro	maître
A	0.791	0	0	1	moreover	moraux
A	0.791	0	0	1	child	tchad
A	0.791	0	0	1	miami	mamie
A	0.791	0	0	1	quebec	québec
A	0.79	0	0	1	extend	externe
A	0.789	0	0	1	kooky	coucou
A	0.789	0	0	1	kookie	coucou
A	0.789	0	0	1	phoebe	bibi
A	0.789	0	0	1	booby	bibi
A	0.788	0	0	1	metric	maître
A	0.788	0	0	1	sunset	son cette
A	0.788	0	0	1	crossing	cross
A	0.788	0	0	1	checking	tchèque
A	0.788	0	0	1	stealing	style
A	0.788	0	0	1	ordering	ordre
A	0.788	0	0	1	stepping	steppes
A	0.788	0	0	1	resting	reste
A	0.788	0	0	1	progressive	progressive
A	0.788	0	0	1	sentry	son tri
A	0.788	0	0	1	restive	reste
A	0.788	0	0	1	centaur	son tore
A	0.788	0	0	1	lording	lord
A	0.787	0	0	1	port	porte
A	0.787	0	0	1	cord	corde
A	0.787	0	0	1	trim	trime
A	0.787	0	0	1	film	film
A	0.787	0	0	1	trip	trip
A	0.787	0	0	1	stick	stick
A	0.787	0	0	1	mini	mini
A	0.787	0	0	1	clip	clip
A	0.787	0	0	1	grill	gril
A	0.787	0	0	1	sticker	stick
A	0.787	0	0	1	gin	gin
A	0.787	0	0	1	midi	midi
A	0.787	0	0	1	city	syrie
A	0.787	0	0	1	expelled	experts
A	0.787	0	0	1	lift	lift
A	0.787	0	0	1	trick	trique
A	0.787	0	0	1	spear	spire
A	0.787	0	0	1	skip	skip
A	0.787	0	0	1	grim	grimes
A	0.787	0	0	1	quicker	couic
A	0.787	0	0	1	slip	slip
A	0.787	0	0	1	stiller	style
A	0.787	0	0	1	grille	gril
A	0.787	0	0	1	drawl	drôles
A	0.787	0	0	1	boarder	borde
A	0.787	0	0	1	setae	série
A	0.787	0	0	1	mexico	mexico
A	0.787	0	0	1	jin	gin
A	0.787	0	0	1	quinn	couine
A	0.786	0	0	1	by	bah
A	0.786	0	0	1	buy	bah
A	0.786	0	0	1	buyer	bah
A	0.786	0	0	1	plenty	plaine
A	0.786	0	0	1	so	saut
A	0.786	0	1	1	day	d
A	0.786	0	0	1	say	c
A	0.786	0	0	1	fire	fat
A	0.786	0	0	1	wow	ouah
A	0.786	0	0	1	wire	ouah
A	0.786	0	0	1	bye	bah
A	0.786	0	0	1	outer	are
A	0.786	0	0	1	cow	k
A	0.786	0	0	1	chi	k
A	0.786	0	0	1	owl	al
A	0.786	0	0	1	request	reste
A	0.786	0	0	1	bay	b
A	0.786	0	0	1	pay	p
A	0.786	0	0	1	rugby	rugby
A	0.786	0	0	1	go	go
A	0.786	0	0	1	row	rot
A	0.786	0	0	1	exam	exhume
A	0.786	0	0	1	fi	fat
A	0.786	0	1	1	li	la
A	0.786	0	0	1	emma	aimes
A	0.786	0	0	1	thai	ta
A	0.786	0	0	1	wi	ouah
A	0.786	0	0	1	micro	macro
A	0.786	0	0	1	bi	bah
A	0.786	0	0	1	bo	beau
A	0.786	0	0	1	po	peau
A	0.786	0	0	1	sci	ça
A	0.786	0	0	1	kay	quai
A	0.786	0	0	1	ni	na
A	0.786	0	0	1	epa	hep
A	0.786	0	0	1	eva	ive
A	0.786	0	0	1	ki	k
A	0.786	0	0	1	mia	mi
A	0.785	0	0	1	very	verrez
A	0.785	0	0	1	terry	terrer
A	0.785	0	0	1	pd	pythie
A	0.785	0	0	1	bootie	pourri
A	0.785	0	0	1	booty	pourri
A	0.785	0	0	1	creatures	crise
A	0.785	0	0	1	vary	verrez
A	0.785	0	0	1	ct	citer
A	0.785	0	0	1	clear	clair
A	0.785	0	0	1	crack	crack
A	0.785	0	0	1	rail	réel
A	0.785	0	0	1	rally	rallie
A	0.785	0	0	1	flush	flashes
A	0.785	0	0	1	clearer	clair
A	0.785	0	0	1	plaque	plaque
A	0.785	0	0	1	putty	pari
A	0.785	0	0	1	carry	carie
A	0.785	0	0	1	carrier	carie
A	0.785	0	0	1	clever	glaive
A	0.785	0	0	1	barrier	barrie
A	0.785	0	0	1	flash	flashes
A	0.785	0	0	1	brush	broches
A	0.785	0	0	1	bucks	boxes
A	0.785	0	0	1	brad	brade
A	0.785	0	0	1	fatty	féerie
A	0.785	0	0	1	trench	traîne
A	0.785	0	0	1	catch	catch
A	0.785	0	0	1	flat	flatte
A	0.785	0	0	1	patch	patch
A	0.785	0	0	1	badge	badge
A	0.785	0	0	1	sally	sali
A	0.785	0	0	1	poet	potes
A	0.785	0	0	1	chad	tchad
A	0.785	0	0	1	max	max
A	0.785	0	0	1	snack	snack
A	0.785	0	0	1	pulp	palpe
A	0.785	0	0	1	staff	staff
A	0.785	0	0	1	jazz	jazz
A	0.785	0	0	1	valve	valve
A	0.785	0	0	1	titi	tirer
A	0.785	0	0	1	peaty	péri
A	0.785	0	0	1	cootie	curie
A	0.785	0	0	1	bootee	pourri
A	0.785	0	0	1	bled	plaide
A	0.785	0	0	1	trot	trente
A	0.785	0	0	1	grin	graines
A	0.785	0	0	1	sics	sexes
A	0.785	0	0	1	sicks	sexes
A	0.785	0	0	1	rummy	remit
