tier	score	en	fr	en_ipa	fr_ipa
S	1.0	error	airs	ɛɹɚ	ɛʁ
S	1.0	error	aires	ɛɹɚ	ɛʁ
S	1.0	peak	piques	piːk	pik
S	1.0	peak	pique	piːk	pik
S	1.0	peak	pics	piːk	pik
S	1.0	fee	fit	fiː	fi
S	1.0	fee	fis	fiː	fi
S	1.0	fee	fie	fiː	fi
S	1.0	meal	milles	miːl	mil
S	1.0	meal	mille	miːl	mil
S	1.0	meal	miles	miːl	mil
S	1.0	technique	techniques	tɛkniːk	tɛknik
S	1.0	fort	fortes	fɔːɹt	fɔʁt
S	1.0	fort	forte	fɔːɹt	fɔʁt
S	1.0	pet	pète	pɛt	pɛt
S	1.0	root	routes	ɹuːt	ʁut
S	1.0	root	route	ɹuːt	ʁut
S	1.0	steal	styles	stiːl	stil
S	1.0	steal	style	stiːl	stil
S	1.0	pen	peines	pɛn	pɛn
S	1.0	pen	peine	pɛn	pɛn
S	1.0	pp	pipi	piːpiː	pipi
S	1.0	gene	gin	dʒiːn	dʒin
S	1.0	blues	blouse	bluːz	bluz
S	1.0	reader	rides	ɹiːdɚ	ʁid
S	1.0	reader	ride	ɹiːdɚ	ʁid
S	1.0	boom	boum	buːm	bum
S	1.0	knee	nient	niː	ni
S	1.0	knee	nie	niː	ni
S	1.0	knee	nids	niː	ni
S	1.0	eve	ive	iːv	iv
S	1.0	dare	der	dɛɹ	dɛʁ
S	1.0	sec	secs	sɛk	sɛk
S	1.0	seal	sil	siːl	sil
S	1.0	seal	cils	siːl	sil
S	1.0	fool	foules	fuːl	ful
S	1.0	fool	foule	fuːl	ful
S	1.0	loop	loupe	luːp	lup
S	1.0	mall	molle	mɔːl	mɔl
S	1.0	corps	cor	kɔːɹ	kɔʁ
S	1.0	dawn	donnes	dɔːn	dɔn
S	1.0	dawn	donnent	dɔːn	dɔn
S	1.0	dawn	donne	dɔːn	dɔn
S	1.0	cooper	coupes	kuːpɚ	kup
S	1.0	cooper	coupent	kuːpɚ	kup
S	1.0	cooper	coupe	kuːpɚ	kup
S	1.0	terror	terres	tɛɹɚ	tɛʁ
S	1.0	terror	terre	tɛɹɚ	tɛʁ
S	1.0	terror	ter	tɛɹɚ	tɛʁ
S	1.0	shoe	choux	ʃuː	ʃu
S	1.0	shoe	chou	ʃuː	ʃu
S	1.0	chef	chefs	ʃɛf	ʃɛf
S	1.0	sue	sous	suː	su
S	1.0	sue	sou	suː	su
S	1.0	sue	saoul	suː	su
S	1.0	flesh	flèches	flɛʃ	flɛʃ
S	1.0	flesh	flèche	flɛʃ	flɛʃ
S	1.0	corn	cornes	kɔːɹn	kɔʁn
S	1.0	corn	corne	kɔːɹn	kɔʁn
S	1.0	sheep	chips	ʃiːp	ʃip
S	1.0	clue	clous	kluː	klu
S	1.0	clue	clou	kluː	klu
S	1.0	bless	blesse	blɛs	blɛs
S	1.0	lease	lys	liːs	lis
S	1.0	lease	lisses	liːs	lis
S	1.0	lease	lisse	liːs	lis
S	1.0	flew	floue	fluː	flu
S	1.0	flew	flou	fluː	flu
S	1.0	soup	soupe	suːp	sup
S	1.0	aw	oh	ɔː	ɔ
S	1.0	lesser	laisses	lɛsɚ	lɛs
S	1.0	lesser	laissent	lɛsɚ	lɛs
S	1.0	lesser	laisse	lɛsɚ	lɛs
S	1.0	ski	skis	skiː	ski
S	1.0	rev	rêves	ɹɛv	ʁɛv
S	1.0	rev	rêvent	ɹɛv	ʁɛv
S	1.0	rev	rêve	ɹɛv	ʁɛv
S	1.0	freeze	frise	fɹiːz	fʁiz
S	1.0	ore	ores	oːɹ	oʁ
S	1.0	meter	mirent	miːɾɚ	miʁ
S	1.0	meter	mire	miːɾɚ	miʁ
S	1.0	breed	bride	bɹiːd	bʁid
S	1.0	freak	fric	fɹiːk	fʁik
S	1.0	grief	griffes	ɡɹiːf	ɡʁif
S	1.0	grief	griffe	ɡɹiːf	ɡʁif
S	1.0	reed	rides	ɹiːd	ʁid
S	1.0	reed	ride	ɹiːd	ʁid
S	1.0	cease	six	siːs	sis
S	1.0	suited	sourde	suːɾᵻd	suʁd
S	1.0	seller	sels	sɛlɚ	sɛl
S	1.0	seller	selles	sɛlɚ	sɛl
S	1.0	seller	selle	sɛlɚ	sɛl
S	1.0	coup	coupes	kuːp	kup
S	1.0	coup	coupent	kuːp	kup
S	1.0	coup	coupe	kuːp	kup
S	1.0	escort	escorte	ɛskɔːɹt	ɛskɔʁt
S	1.0	pause	pose	pɔːz	pɔz
S	1.0	clause	close	klɔːz	klɔz
S	1.0	bees	bises	biːz	biz
S	1.0	bees	bise	biːz	biz
S	1.0	cooler	coule	kuːlɚ	kul
S	1.0	flu	floue	fluː	flu
S	1.0	flu	flou	fluː	flu
S	1.0	pee	pis	piː	pi
S	1.0	pee	pie	piː	pi
S	1.0	pee	pi	piː	pi
S	1.0	plea	plis	pliː	pli
S	1.0	plea	plie	pliː	pli
S	1.0	plea	pli	pliː	pli
S	1.0	fare	fers	fɛɹ	fɛʁ
S	1.0	fare	fer	fɛɹ	fɛʁ
S	1.0	fare	faire	fɛɹ	fɛʁ
S	1.0	newer	nous	nuːɚ	nu
S	1.0	norm	normes	nɔːɹm	nɔʁm
S	1.0	norm	norme	nɔːɹm	nɔʁm
S	1.0	boo	bouts	buː	bu
S	1.0	boo	bout	buː	bu
S	1.0	boo	boue	buː	bu
S	1.0	esteem	estiment	ɛstiːm	ɛstim
S	1.0	esteem	estime	ɛstiːm	ɛstim
S	1.0	sued	soude	suːd	sud
S	1.0	tel	tels	tɛl	tɛl
S	1.0	tel	telles	tɛl	tɛl
S	1.0	tel	telle	tɛl	tɛl
S	1.0	vault	volts	vɔlt	vɔlt
S	1.0	heir	ère	ɛɹ	ɛʁ
S	1.0	heir	airs	ɛɹ	ɛʁ
S	1.0	heir	aires	ɛɹ	ɛʁ
S	1.0	messy	messie	mɛsi	mɛsi
S	1.0	wee	oui	wiː	wi
S	1.0	breeze	brise	bɹiːz	bʁiz
S	1.0	ruler	roule	ɹuːlɚ	ʁul
S	1.0	merry	mairies	mɛɹi	mɛʁi
S	1.0	merry	mairie	mɛɹi	mɛʁi
S	1.0	ea	hit	iː	i
S	1.0	ea	hi	iː	i
S	1.0	awe	oh	ɔː	ɔ
S	1.0	peel	piles	piːl	pil
S	1.0	peel	pile	piːl	pil
S	1.0	belle	belles	bɛl	bɛl
S	1.0	belle	bel	bɛl	bɛl
S	1.0	paired	perdent	pɛɹd	pɛʁd
S	1.0	paired	perde	pɛɹd	pɛʁd
S	1.0	mesh	mèches	mɛʃ	mɛʃ
S	1.0	mesh	mèche	mɛʃ	mɛʃ
S	1.0	excel	excelle	ɛksɛl	ɛksɛl
S	1.0	vest	vestes	vɛst	vɛst
S	1.0	vest	veste	vɛst	vɛst
S	1.0	yen	yens	jɛn	jɛn
S	1.0	beck	bec	bɛk	bɛk
S	1.0	peek	piques	piːk	pik
S	1.0	peek	pique	piːk	pik
S	1.0	peek	pics	piːk	pik
S	1.0	prairie	prairies	pɹɛɹi	pʁɛʁi
S	1.0	mu	mous	muː	mu
S	1.0	mu	mou	muː	mu
S	1.0	troop	troupes	tɹuːp	tʁup
S	1.0	troop	troupe	tɹuːp	tʁup
S	1.0	tutor	tours	tuːɾɚ	tuʁ
S	1.0	tutor	tour	tuːɾɚ	tuʁ
S	1.0	freezer	frise	fɹiːzɚ	fʁiz
S	1.0	poop	poupe	puːp	pup
S	1.0	rouge	rouges	ɹuːʒ	ʁuʒ
S	0.912	protest	proteste	pɹoʊtɛst	pʁotɛst
S	0.9	expose	exposent	ɛkspoʊz	ɛkspoz
A	0.892	ordered	hordes	ɔːɹdɚd	ɔʁd
A	0.892	ordered	horde	ɔːɹdɚd	ɔʁd
A	0.892	mortar	morts	mɔːɹɾɚ	mɔʁ
A	0.892	mortar	mort	mɔːɹɾɚ	mɔʁ
A	0.892	mortar	more	mɔːɹɾɚ	mɔʁ
A	0.886	expressed	expresse	ɛkspɹɛst	ɛkspʁɛs
A	0.886	explore	exploré	ɛksploːɹ	ɛksploʁe
A	0.886	explore	explorer	ɛksploːɹ	ɛksploʁe
A	0.886	explorer	exploré	ɛksploːɹɚ	ɛksploʁe
A	0.885	regime	régimes	ɹeɪʒiːm	ʁeʒim
A	0.885	regime	régime	ɹeɪʒiːm	ʁeʒim
A	0.885	outlet	athlètes	aʊtlɛt	atlɛt
A	0.885	outlet	athlète	aʊtlɛt	atlɛt
A	0.882	stressed	stresse	stɹɛst	stʁɛs
A	0.881	platform	plateformes	plætfɔːɹm	platfɔʁm
A	0.881	platform	plateforme	plætfɔːɹm	platfɔʁm
A	0.87	respect	respectent	ɹᵻspɛkt	ʁɛspɛkt
A	0.87	respect	respecte	ɹᵻspɛkt	ʁɛspɛkt
A	0.87	except	excepté	ɛksɛpt	ɛksɛpte
A	0.87	express	exprès	ɛkspɹɛs	ɛkspʁɛ
A	0.87	techniques	technique	tɛkniːks	tɛknik
A	0.87	semester	semestre	səmɛstɚ	səmɛstʁ
A	0.866	export	exporte	ɛkspoːɹt	ɛkspɔʁt
A	0.866	explorer	explore	ɛksploːɹɚ	ɛksplɔʁ
A	0.864	post	postent	poʊst	post
A	0.864	media	midi	miːdiːə	midi
A	0.864	daily	délits	deɪli	deli
A	0.864	daily	délit	deɪli	deli
A	0.864	crown	crânes	kɹaʊn	kʁaːn
A	0.864	crown	crâne	kɹaʊn	kʁaːn
A	0.864	crown	crane	kɹaʊn	kʁan
A	0.864	gross	grosses	ɡɹoʊs	ɡʁos
A	0.864	gross	grosse	ɡɹoʊs	ɡʁos
A	0.864	globe	globes	ɡloʊb	ɡlob
A	0.864	poster	postent	poʊstɚ	post
A	0.864	couch	catch	kaʊtʃ	katʃ
A	0.864	mighty	maris	maɪɾi	maʁi
A	0.864	mighty	marient	maɪɾi	maʁi
A	0.864	mighty	marie	maɪɾi	maʁi
A	0.864	scout	skate	skaʊt	skat
A	0.864	prone	prône	pɹoʊn	pʁoːn
A	0.864	fries	phrases	fɹaɪz	fʁaz
A	0.864	fries	phrase	fɹaɪz	fʁaz
A	0.864	naive	naïve	naɪiːv	naiv
A	0.864	clone	clones	kloʊn	klon
A	0.86	treaty	tri	tɹiːɾi	tʁi
A	0.859	transform	transforment	tɹænsfɔːɹm	tʁɑ̃sfɔʁm
A	0.859	transform	transforme	tɹænsfɔːɹm	tʁɑ̃sfɔʁm
A	0.858	extreme	extrêmes	ɛkstɹiːm	ɛkstʁɛm
A	0.858	extreme	extrême	ɛkstɹiːm	ɛkstʁɛm
A	0.854	extreme	expriment	ɛkstɹiːm	ɛkspʁim
A	0.85	street	strictes	stɹiːt	stʁikt
A	0.85	street	stricte	stɹiːt	stʁikt
A	0.85	street	strict	stɹiːt	stʁikt
A	0.85	director	directs	dᵻɹɛktɚ	diʁɛkt
A	0.85	director	directes	dᵻɹɛktɚ	diʁɛkt
A	0.85	director	directe	dᵻɹɛktɚ	diʁɛkt
A	0.85	direct	directs	dᵻɹɛkt	diʁɛkt
A	0.85	direct	directes	dᵻɹɛkt	diʁɛkt
A	0.85	direct	directe	dᵻɹɛkt	diʁɛkt
A	0.85	correct	corrects	kɚɹɛkt	koʁɛkt
A	0.85	correct	correcte	kɚɹɛkt	koʁɛkt
A	0.85	stress	stressée	stɹɛs	stʁɛse
A	0.85	stress	stressé	stɹɛs	stʁɛse
A	0.85	reform	réformes	ɹᵻfɔːɹm	ʁefɔʁm
A	0.85	reform	réforme	ɹᵻfɔːɹm	ʁefɔʁm
A	0.85	barely	berline	bɛɹli	bɛʁlin
A	0.85	enemies	ennemies	ɛnəmiz	ɛnəmi
A	0.85	regret	regrettent	ɹᵻɡɹɛt	ʁəɡʁɛt
A	0.85	regret	regrette	ɹᵻɡɹɛt	ʁəɡʁɛt
A	0.85	texts	textes	tɛksts	tɛkst
A	0.85	texts	texte	tɛksts	tɛkst
A	0.85	recipe	respire	ɹɛsᵻpiː	ʁɛspiʁ
A	0.85	scream	escrime	skɹiːm	ɛskʁim
A	0.85	streak	strictes	stɹiːk	stʁikt
A	0.85	streak	stricte	stɹiːk	stʁikt
A	0.85	streak	strict	stɹiːk	stʁikt
A	0.85	texture	textes	tɛkstʃɚ	tɛkst
A	0.85	texture	texte	tɛkstʃɚ	tɛkst
A	0.85	esteem	estimés	ɛstiːm	ɛstime
A	0.85	corpse	corpus	kɔːɹps	kɔʁpys
A	0.85	excel	excellents	ɛksɛl	ɛksɛlɑ̃
A	0.85	excel	excellent	ɛksɛl	ɛksɛlɑ̃
A	0.85	sketches	sketch	skɛtʃᵻz	skɛtʃ
A	0.849	export	experte	ɛkspoːɹt	ɛkspɛʁt
A	0.848	expect	experte	ɛkspɛkt	ɛkspɛʁt
A	0.847	extra	extraits	ɛkstɹə	ɛkstʁɛ
A	0.847	extra	extrait	ɛkstɹə	ɛkstʁɛ
A	0.847	exist	existent	ɛɡzɪst	ɛɡzist
A	0.847	exist	existe	ɛɡzɪst	ɛɡzist
A	0.847	supreme	supprime	suːpɹiːm	sypʁim
A	0.847	exact	exacts	ɛɡzækt	ɛɡzakt
A	0.847	exact	exactes	ɛɡzækt	ɛɡzakt
A	0.847	exact	exacte	ɛɡzækt	ɛɡzakt
A	0.847	formal	formelle	fɔːɹməl	fɔʁmɛl
A	0.847	formal	formel	fɔːɹməl	fɔʁmɛl
A	0.847	aspect	aspects	æspɛkt	aspɛkt
A	0.847	connect	connecte	kənɛkt	kɔnɛkt
A	0.847	collect	collecte	kəlɛkt	kɔlɛkt
A	0.847	creek	critiques	kɹiːk	kʁitik
A	0.847	creek	critiquent	kɹiːk	kʁitik
A	0.847	creek	critique	kɹiːk	kʁitik
A	0.847	texts	tex	tɛksts	tɛks
A	0.847	stem	systèmes	stɛm	sistɛm
A	0.847	stem	système	stɛm	sistɛm
A	0.847	stem	system	stɛm	sistɛm
A	0.847	strict	strictes	stɹɪkt	stʁikt
A	0.847	strict	stricte	stɹɪkt	stʁikt
A	0.847	costume	costumes	kɔstuːm	kɔstym
A	0.847	collector	collecte	kəlɛktɚ	kɔlɛkt
A	0.847	critique	critiques	kɹɪtiːk	kʁitik
A	0.847	critique	critiquent	kɹɪtiːk	kʁitik
A	0.845	progress	progressent	pɹɑːɡɹɛs	pʁɔɡʁɛs
A	0.845	progress	progresse	pɹɑːɡɹɛs	pʁɔɡʁɛs
A	0.842	express	expressions	ɛkspɹɛs	ɛkspʁɛsjɔ̃
A	0.842	expertise	expertises	ɛkspɚtiːz	ɛkspɛʁtiz
A	0.842	expressing	expresse	ɛkspɹɛsɪŋ	ɛkspʁɛs
A	0.842	prestige	prestigieux	pɹɛstiːʒ	pʁɛstiʒjø
A	0.841	suspect	suspects	sʌspɛkt	syspɛkt
A	0.841	suspect	suspecte	sʌspɛkt	syspɛkt
A	0.841	explored	exploré	ɛksploːɹd	ɛksploʁe
A	0.841	explored	explorer	ɛksploːɹd	ɛksploʁe
A	0.839	better	berbères	bɛɾɚ	bɛʁbɛʁ
A	0.839	better	berbère	bɛɾɚ	bɛʁbɛʁ
A	0.839	bear	berbères	bɛɹ	bɛʁbɛʁ
A	0.839	bear	berbère	bɛɹ	bɛʁbɛʁ
A	0.839	bare	berbères	bɛɹ	bɛʁbɛʁ
A	0.839	bare	berbère	bɛɹ	bɛʁbɛʁ
A	0.837	accept	acceptes	ɐksɛpt	aksɛpt
A	0.837	accept	acceptent	ɐksɛpt	aksɛpt
A	0.837	accept	accepte	ɐksɛpt	aksɛpt
A	0.837	detect	détecte	dɪtɛkt	detɛkt
A	0.837	detector	détecte	dɪtɛktɚ	detɛkt
A	0.836	explode	explosent	ɛksploʊd	ɛksploz
A	0.833	like	lacs	laɪk	lak
A	0.833	like	lac	laɪk	lak
A	0.833	time	tam	taɪm	tam
A	0.833	right	rate	ɹaɪt	ʁat
A	0.833	down	dan	daʊn	dan
A	0.833	might	mate	maɪt	mat
A	0.833	might	mat	maɪt	mat
A	0.833	live	lave	laɪv	lav
A	0.833	white	watts	waɪt	wat
A	0.833	guys	gaz	ɡaɪz	ɡaz
A	0.833	phone	faune	foʊn	fon
A	0.833	type	tapes	taɪp	tap
A	0.833	type	tapent	taɪp	tap
A	0.833	type	tape	taɪp	tap
A	0.833	fine	fans	faɪn	fan
A	0.833	fine	fan	faɪn	fan
A	0.833	shows	choses	ʃoʊz	ʃoz
A	0.833	role	rôles	ɹoʊl	ʁoːl
A	0.833	role	rôle	ɹoʊl	ʁoːl
A	0.833	vote	votes	voʊt	vot
A	0.833	vote	votent	voʊt	vot
A	0.833	code	codes	koʊd	kod
A	0.833	goal	gaule	ɡoʊl	ɡol
A	0.833	mine	mans	maɪn	man
A	0.833	mine	manne	maɪn	man
A	0.833	mine	man	maɪn	man
A	0.833	note	notes	noʊt	not
A	0.833	write	rate	ɹaɪt	ʁat
A	0.833	doubt	dates	daʊt	dat
A	0.833	doubt	datent	daʊt	dat
A	0.833	doubt	date	daʊt	dat
A	0.833	grow	gros	ɡɹoʊ	ɡʁo
A	0.833	showed	chaudes	ʃoʊd	ʃod
A	0.833	showed	chaude	ʃoʊd	ʃod
A	0.833	ride	rade	ɹaɪd	ʁad
A	0.833	rose	roses	ɹoʊz	ʁoz
A	0.833	rise	raz	ɹaɪz	ʁaz
A	0.833	rise	rase	ɹaɪz	ʁaz
A	0.833	mike	mac	maɪk	mak
A	0.833	roll	rôles	ɹoʊl	ʁoːl
A	0.833	roll	rôle	ɹoʊl	ʁoːl
A	0.833	dry	draps	dɹaɪ	dʁa
A	0.833	dry	drap	dɹaɪ	dʁa
A	0.833	zone	zones	zoʊn	zon
A	0.833	writer	rares	ɹaɪɾɚ	ʁaʁ
A	0.833	writer	rare	ɹaɪɾɚ	ʁaʁ
A	0.833	flow	flots	floʊ	flo
A	0.833	flow	flot	floʊ	flo
A	0.833	route	rate	ɹaʊt	ʁat
A	0.833	fired	fade	faɪɚd	fad
A	0.833	mode	modes	moʊd	mod
A	0.833	minor	mans	maɪnɚ	man
A	0.833	minor	manne	maɪnɚ	man
A	0.833	minor	man	maɪnɚ	man
A	0.833	mile	mâles	maɪl	maːl
A	0.833	mile	mâle	maɪl	maːl
A	0.833	mile	malle	maɪl	mal
A	0.833	rice	races	ɹaɪs	ʁas
A	0.833	rice	race	ɹaɪs	ʁas
A	0.833	bike	bacs	baɪk	bak
A	0.833	bike	bac	baɪk	bak
A	0.833	motor	maures	moʊɾɚ	moʁ
A	0.833	grey	gré	ɡɹeɪ	ɡʁe
A	0.833	gray	gré	ɡɹeɪ	ɡʁe
A	0.833	soil	sols	sɔɪl	sɔl
A	0.833	soil	sole	sɔɪl	sɔl
A	0.833	soil	sol	sɔɪl	sɔl
A	0.833	pray	prés	pɹeɪ	pʁe
