sound	en	best_fr	good_candidates	total_candidates
1.000	ooh	ou	1	1
1.000	norm	norme	4	4
1.000	newer	nous	1	1
1.000	new	nous	6	6
1.000	net	net	4	4
1.000	neil	nil	1	1
1.000	nei	nis	1	1
1.000	naught	note	3	3
1.000	movie	mous vies	1	1
1.000	mousse	mousse	5	5
1.000	mort	morte	2	2
1.000	moose	mousse	3	3
1.000	moody	mous dits	3	3
1.000	moo	mou	3	4
1.000	mien	mine	3	3
1.000	met	mette	6	6
1.000	messy	mets sis	10	10
1.000	mess	messe	5	5
1.000	mesh	mèche	2	5
1.000	men	maine	6	11
1.000	meme	mime	7	7
1.000	meet	mite	5	5
1.000	meat	mite	5	5
1.000	mean	mine	4	4
1.000	meal	mil	3	3
1.000	many	mets nient	5	5
1.000	mall	molle	3	3
1.000	maire	maires	1	2
1.000	lulu	loulou	2	2
1.000	lou	loup	1	1
1.000	loop	loupe	3	3
1.000	lest	lest	1	1
1.000	lesser	laisse	3	3
1.000	less	laisse	3	3
1.000	les	laisse	1	1
1.000	leisure	lige	3	5
1.000	leicester	lest	1	1
1.000	leg	legs	1	1
1.000	lee	lis	4	4
1.000	led	laide	2	2
1.000	least	list	3	3
1.000	lease	lisse	3	3
1.000	leap	lippe	5	5
1.000	league	ligue	3	3
1.000	kook	couque	2	2
1.000	knew	nous	1	1
1.000	knee	ni	6	6
1.000	key	qui	5	5
1.000	kea	qui	1	1
1.000	jean	djinn	4	5
1.000	group	groupe	4	4
1.000	grecque	grec	3	3
1.000	goose	gousses	2	2
1.000	ghoul	goule	1	1
1.000	get	guette	2	2
1.000	gene	djinn	8	8
1.000	gean	djinn	5	5
1.000	frisson	frissons	1	1
1.000	fret	frette	2	2
1.000	fresh	fraiche	7	8
1.000	freddy	freddie	1	1
1.000	fort	forte	4	4
1.000	form	forme	5	5
1.000	fool	foule	3	5
1.000	flues	flouze	1	1
1.000	flu	flou	2	3
1.000	flew	flou	2	2
1.000	flesh	flèche	3	3
1.000	fiji	fidji	2	2
1.000	fever	fiv	1	2
1.000	fess	fesse	4	4
1.000	ferry	ferries	5	7
1.000	feeler	file	2	2
1.000	feel	fil	3	3
1.000	fee	fi	8	9
1.000	fawn	phone	2	2
1.000	faller	folles	2	2
1.000	fall	fol	3	3
1.000	express	expresse	7	7
1.000	excel	ex aile	5	5
1.000	ever	ève	1	1
1.000	eve	ive	3	3
1.000	esteem	estime	4	4
1.000	escort	escorte	3	3
1.000	envy	haines vies	4	4
1.000	enemy	ennemies	7	7
1.000	elf	elfe	2	2
1.000	ekg	ecg	1	1
1.000	eave	ive	2	2
1.000	dues	douze	1	1
1.000	due	doux	3	3
1.000	duce	douce	2	2
1.000	douche	douchent	6	6
1.000	dews	douze	1	1
1.000	dew	doux	1	1
1.000	deeply	dits pli	2	2
1.000	deem	dîme	1	1
1.000	debt	dette	5	5
1.000	dean	dîne	3	4
1.000	dawn	donne	4	4
1.000	czech	tchèque	3	3
1.000	creek	crique	2	2
1.000	cree	cri	4	4
1.000	couper	coupe	6	7
1.000	coupe	coupent	8	9
1.000	coup	coupe	3	3
1.000	corfu	corfou	1	1
1.000	coot	coûte	4	4
1.000	cooper	coupe	3	3
1.000	cooler	coule	2	3
1.000	cool	coule	3	3
1.000	cooed	coude	3	3
1.000	coo	cou	6	6
1.000	clue	clou	3	3
1.000	clique	clic	1	1
1.000	cleek	clic	1	1
1.000	cleave	clive	1	1
1.000	claws	close	2	2
1.000	clause	close	3	3
1.000	clare	claire	1	1
1.000	chute	choute	8	8
1.000	chord	corde	2	2
1.000	choo	tchou	1	1
1.000	chic	chic	6	6
1.000	cher	chers	2	2
1.000	cheque	tchèque	4	4
1.000	chef	chef	2	2
1.000	check	tchèque	7	7
1.000	cellar	celle	3	3
1.000	cell	selle	6	6
1.000	cei	cis	2	2
1.000	cede	cid	7	7
1.000	cedar	cid	4	4
1.000	cease	six	4	6
1.000	caught	cote	3	7
1.000	caller	col	2	2
1.000	call	colle	4	6
1.000	brezhnev	brejnev	1	1
1.000	breeze	brise	5	5
1.000	bought	botte	2	2
1.000	boss	boss	4	4
1.000	booze	bouse	2	2
1.000	boos	bouse	2	2
1.000	boom	boum	6	6
1.000	booed	boude	3	3
1.000	boo	boue	3	4
1.000	blues	blouse	6	6
1.000	bless	blesse	4	9
1.000	bisque	bisque	1	1
1.000	bet	bette	5	5
1.000	ben	benne	7	7
1.000	belly	bey lies	4	4
1.000	belle	belle	4	6
1.000	bell	bel	3	3
1.000	beg	bègue	2	2
1.000	beet	bit	9	11
1.000	bees	bise	4	5
1.000	beep	bip	6	6
1.000	beef	biffe	6	6
1.000	beck	bec	2	2
1.000	beat	bit	9	18
1.000	bean	bine	3	3
1.000	beak	bic	9	9
1.000	bead	bide	9	9
1.000	baulks	boxe	2	2
1.000	ball	bol	3	7
1.000	balks	boxe	4	4
1.000	awed	ode	2	2
1.000	any	haie nient	5	5
0.993	salt	soldes	5	9
0.993	clever	glaive	1	1
0.993	bled	plaide	2	2
0.991	likely	laïques lies	1	1
0.991	glue	clou	2	2
0.990	engine	haines gin	3	3
0.990	census	saines cessent	2	4
0.989	sox	saxe	1	1
0.989	solve	salve	1	1
0.989	socks	saxe	1	1
0.989	seven	sève haines	3	3
0.989	session	sèches haines	1	2
0.989	quad	quad	1	1
0.989	plot	plate	3	6
0.989	mosque	masque	3	3
0.989	mental	mènent elle	2	2
0.989	lesson	laisses haines	5	5
0.989	fox	fax	1	1
0.989	foster	faste	1	1
0.989	flock	flaque	2	2
0.989	fallen	fol haines	2	2
0.989	cosset	caste	2	2
0.989	copped	capte	2	2
0.989	clock	claque	2	2
0.989	blot	blattes	2	2
0.989	blogger	blague	4	4
0.989	blog	blague	4	4
0.989	block	black	6	6
0.989	beacon	bic haines	1	3
0.988	take	té hic	3	3
0.988	mice	maïs	3	3
0.988	like	laïques	2	2
0.988	lake	lé hic	3	3
0.988	knife	naïf	2	2
0.988	gave	gué ive	2	2
0.988	five	fat ive	2	2
0.988	fake	fées hic	3	9
0.988	epic	haie piques	2	2
0.987	watt	watts	2	2
0.987	von	vannes	1	1
0.987	vol	val	2	2
0.987	tosh	tâche	1	1
0.987	top	tape	2	2
0.987	tom	tam	1	1
0.987	sol	salles	2	2
0.987	shot	chatte	1	1
0.987	shop	chape	1	1
0.987	shock	chaque	3	7
0.987	pot	pâte	1	1
0.987	pop	pape	3	3
0.987	not	natte	2	3
0.987	motte	mate	1	1
0.987	mosh	mâche	1	1
0.987	mon	man	1	1
0.987	mock	mac	1	2
0.987	lot	latte	2	2
0.987	los	lasse	1	1
0.987	locker	lac	1	1
0.987	lock	lac	1	1
0.987	las	lasse	1	1
0.987	knot	nattes	1	3
0.987	knock	nac	1	1
0.987	khan	cane	2	2
0.987	gov	gave	1	1
0.987	got	gâte	2	2
0.987	gosh	gâche	1	1
0.987	dot	date	3	3
0.987	don	dan	2	4
0.987	dollar	dalle	1	2
0.987	doll	dalle	2	2
0.987	dog	dague	1	1
0.987	coss	casse	1	1
0.987	cos	casse	1	1
0.987	copper	cap	1	3
0.987	cop	cap	2	2
0.987	con	cane	2	2
0.987	com	came	1	3
0.987	col	cale	1	3
0.987	cock	cac	2	5
0.987	calm	came	3	3
0.987	bot	battent	1	1
0.987	bock	bac	1	1
0.986	wine	oies haines	1	1
0.986	vector	vexe	4	4
0.986	sign	çà haines	2	7
0.986	shine	chats haines	2	2
0.986	sale	cl	2	3
0.986	sailor	cl	2	2
0.986	sail	cl	2	4
0.986	pale	pl	4	4
0.986	noil	noël	1	1
0.986	nine	na haines	2	3
0.986	lane	lé haines	3	3
0.986	gain	gué haines	1	1
0.986	fleece	plisse	2	2
0.986	dame	dm	2	3
0.986	dale	dl	1	1
0.985	skinny	skis nient	2	2
0.985	even	ive haines	2	3
0.985	deadly	dettes lies	3	3
0.984	silly	sis lies	1	2
0.984	schwa	choix	3	3
0.984	pencil	peines elle	2	3
0.984	mini	mie nient	3	3
0.984	mickey	mie qui	2	2
0.984	lily	lies lie	3	3
0.984	levy	lez vies	3	5
0.984	guinea	gui nient	2	5
0.983	twist	twist	1	2
0.983	opt	aptes	2	3
0.983	onset	ânes êtes	2	2
0.983	oct	actes	1	2
0.983	mixed	mixte	4	4
0.983	bending	ben digne	1	1
0.983	alt	halte	1	1
0.982	nah	na	2	2
0.982	exhaust	aigles ost	4	4
0.982	bah	bah	1	2
0.981	tilt	tilt	1	1
0.981	stiller	style	2	2
0.981	still	style	2	2
0.981	sticker	stick	4	4
0.981	stick	stick	3	5
0.981	slip	slip	3	3
0.981	skip	skip	2	5
0.981	schist	schiste	1	1
0.981	quinn	couine	1	1
0.981	quin	couine	1	1
0.981	quid	quid	1	1
0.981	quicker	couic	1	1
0.981	quick	couic	1	1
0.981	pleas	plisse	2	2
0.981	piste	piste	1	1
0.981	pissed	piste	3	3
0.981	list	liste	4	4
0.981	lift	lift	2	5
0.981	jinn	gin	2	2
0.981	jin	gin	1	1
0.981	honour	âne	1	1
0.981	honor	âne	1	1
0.981	guild	guilde	2	2
0.981	gin	gin	2	2
0.981	flip	flippe	1	1
0.981	flick	flics	1	1
0.981	flawed	flotte	2	2
0.981	fix	fixe	3	3
0.981	film	film	3	3
0.981	disk	disque	5	5
0.981	disc	disque	4	4
0.981	clip	clip	3	3
0.981	click	clique	5	5
0.981	clawed	claude	1	1
0.980	buddy	baux dits	2	2
0.979	zip	zip	1	1
0.979	tip	type	2	3
0.979	tick	tic	2	3
0.979	texture	textes	3	3
0.979	texts	textes	3	3
0.979	taller	taule	2	2
0.979	tall	taule	1	1
0.979	succeed	secs ides	2	3
0.979	sketches	sketch	2	5
0.979	sit	site	2	3
0.979	sim	cime	2	2
0.979	sick	sic	1	1
0.979	shin	chine	2	2
0.979	sawed	sotte	5	7
0.979	sauce	sauces	2	2
0.979	pull	poule	1	1
0.979	piss	pisse	3	4
0.979	pillar	pile	2	4
0.979	pill	pile	4	4
0.979	pick	pique	2	3
0.979	pic	pique	1	1
0.979	phil	file	1	1
0.979	pawed	pote	4	4
0.979	nyc	nique	1	1
0.979	nick	nique	1	1
0.979	miss	miss	2	3
0.979	min	mine	2	3
0.979	miller	mille	2	3
0.979	mill	mille	2	3
0.979	mil	mille	2	3
0.979	lip	lippe	1	3
0.979	limb	lime	1	1
0.979	lil	lille	1	1
0.979	let	laid	4	4
0.979	legal	lies gal	5	5
0.979	leak	ligue	3	3
0.979	kit	quitte	3	3
0.979	killer	kil	1	1
0.979	kill	kil	2	2
0.979	google	goûts gal	1	1
0.979	fuller	foule	1	1
0.979	full	foule	2	2
0.979	fought	fautes	9	9
0.979	fisher	fiche	1	1
0.979	fish	fiche	5	5
0.979	fin	fine	2	2
0.979	fill	file	2	2
0.979	fig	figues	2	2
0.979	fez	fesse	6	6
0.979	fed	faîtes	2	2
0.979	dude	doute	1	1
0.979	dis	dix	3	3
0.979	dinner	dîne	3	3
0.979	dig	digue	1	1
0.979	deed	dîtes	2	2
0.979	deck	déc	2	2
0.979	dead	dette	5	8
0.979	could	coude	3	3
0.979	cause	causent	3	3
0.979	bush	bouche	1	4
0.979	bull	boule	3	3
0.979	book	bouc	1	1
0.979	bit	bit	3	3
0.979	bin	bine	1	1
0.979	bill	bile	2	2
0.979	bid	bide	1	1
0.979	believer	clive	1	1
0.979	believe	clive	1	1
0.979	been	bine	2	2
0.979	bawd	bote	7	7
0.979	baud	bote	7	7
0.977	worst	ouest	1	1
0.977	vast	vaste	4	4
0.977	valve	valve	2	4
0.977	tests	test	5	5
0.977	testers	test	4	4
0.977	tax	taxe	4	4
0.977	sucks	saxe	2	3
0.977	stuff	staff	1	2
0.977	stud	stade	2	2
0.977	steps	step	2	2
0.977	stepped	step	2	2
0.977	stems	stem	1	1
0.977	steals	style	2	2
0.977	staff	staff	1	1
0.977	spleen	pline	2	2
0.977	snack	snack	1	1
0.977	sleeps	slip	1	1
0.977	skat	skate	1	1
0.977	six	sexe	2	2
0.977	silt	celtes	1	1
0.977	sics	sexe	2	2
0.977	sicks	sexe	2	2
0.977	sicked	secte	1	1
0.977	sext	secte	2	2
0.977	sexed	secte	2	2
0.977	scat	skate	1	2
0.977	quit	couette	1	6
0.977	quest	ouest	3	3
0.977	queens	couine	1	1
0.977	quack	couac	1	1
0.977	pulp	palpe	2	4
0.977	plus	place	3	3
0.977	plume	plume	2	2
0.977	pluck	plaque	1	1
0.977	pledge	plaide	1	3
0.977	plaque	plaque	2	2
0.977	plan	plane	2	3
0.977	patch	patch	2	2
0.977	pact	pacte	6	6
0.977	packed	pacte	1	1
0.977	much	match	3	3
0.977	max	max	5	9
0.977	match	matches	2	2
0.977	masque	masque	4	4
0.977	mask	masque	5	5
0.977	marcel	mas elle	2	2
0.977	macs	max	1	4
0.977	macks	max	1	1
0.977	leks	lynx	1	1
0.977	jeans	gin	2	2
0.977	jazz	jazz	1	1
0.977	itself	êtes elfes	2	2
0.977	glass	glace	2	2
0.977	genes	gin	3	3
0.977	fucks	fax	1	1
0.977	flute	flûte	4	4
0.977	flush	flashes	2	2
0.977	flat	flatte	2	2
0.977	flash	flashes	2	3
0.977	flan	flâne	1	1
0.977	flam	flammes	2	2
0.977	flak	flaque	1	1
0.977	flack	flaque	1	1
0.977	fest	vestes	4	4
0.977	fessed	veste	2	2
0.977	fault	volts	5	7
0.977	faster	faste	2	2
0.977	fast	faste	1	2
0.977	cutch	catch	2	2
0.977	cupped	capte	1	1
0.977	cluck	claque	1	1
0.977	clews	cluses	2	2
0.977	class	classe	3	3
0.977	claque	claque	1	1
0.977	clam	clame	1	1
0.977	clack	claque	1	1
0.977	chick	tchèque	2	2
0.977	checks	tchèque	4	4
0.977	checked	tchèque	2	2
0.977	chad	tchad	5	5
0.977	censorship	saines chipe	1	3
0.977	catch	catch	2	3
0.977	caste	caste	2	2
0.977	cast	caste	1	5
0.977	cask	casque	1	1
0.977	capped	capte	1	1
0.977	busk	basque	1	1
0.977	budge	badge	1	1
0.977	bucks	boxes	2	2
0.977	boots	poutse	4	6
0.977	boost	buste	3	5
0.977	books	boxe	2	2
0.977	bliss	blesse	1	2
0.977	blessed	blesse	1	7
0.977	best	peste	3	3
0.977	beast	pistes	5	5
0.977	beaked	picte	2	2
0.977	badge	badge	1	1
0.976	pistol	pissent elle	2	2
0.976	cleaner	cligne	1	1
0.976	clean	cligne	4	4
0.975	yet	miettes	3	3
0.975	yes	nièce	4	5
0.975	yell	vielle	4	4
0.975	what	watt	3	3
0.975	wet	chouettes	4	5
0.975	vent	vaine	3	4
0.975	vender	veine	2	2
0.975	velour	veulent	2	2
0.975	van	vannes	1	1
0.975	turn	tonnes	2	4
0.975	tool	tulle	2	2
0.975	took	toc	1	1
0.975	todd	tendent	1	1
0.975	tim	thème	1	1
0.975	tiller	tels	2	2
0.975	till	tels	1	1
0.975	til	tels	1	1
0.975	term	tome	3	3
0.975	temp	thème	3	3
0.975	tells	tels	3	3
0.975	techs	teck	2	2
0.975	team	dîme	3	3
0.975	taut	tontes	3	3
0.975	taught	tonte	4	4
0.975	tap	tape	2	6
0.975	talks	toc	2	2
0.975	talkers	toc	2	2
0.975	talked	toc	2	2
0.975	tag	tag	1	1
0.975	supper	sape	1	2
0.975	supers	soupe	2	2
0.975	sunset	saines êtes	3	4
0.975	summer	sam	1	1
0.975	sum	sam	2	2
0.975	suck	sacs	1	3
0.975	stuart	toute	1	1
0.975	stewart	toute	1	1
0.975	steep	type	3	3
0.975	speller	pelle	2	2
0.975	spell	pelle	4	6
0.975	speak	pique	3	3
0.975	sot	sente	1	1
0.975	some	sam	2	6
0.975	sneak	nique	3	3
0.975	smaller	mole	1	1
0.975	small	mole	4	4
0.975	skeet	quitte	2	2
0.975	sip	sep	2	2
0.975	sin	scènes	2	2
0.975	shut	chatte	2	2
0.975	shove	chauve	2	2
0.975	shook	choc	2	2
0.975	shell	gel	3	3
0.975	shall	châle	1	1
0.975	sets	cette	3	3
0.975	serve	sève	1	5
0.975	sept	cep	1	2
0.975	sent	saine	4	5
0.975	sensor	saine	3	3
0.975	sensible	saines belle	2	5
0.975	sense	saine	5	6
0.975	senors	saine	2	2
0.975	sender	saine	2	2
0.975	send	seine	4	4
0.975	sells	celle	4	4
0.975	sellers	celle	1	1
0.975	self	selle	4	4
0.975	seems	cime	2	3
0.975	seemed	cime	2	7
0.975	seeks	sic	2	2
0.975	seats	site	3	4
0.975	seals	sil	3	9
0.975	sealed	sil	2	7
0.975	scoop	coupent	6	6
0.975	school	coule	3	7
0.975	scent	saine	4	5
0.975	sam	sam	1	1
0.975	sack	sacs	1	1
0.975	sac	sacs	1	1
0.975	resume	zoom	1	5
0.975	reset	cette	3	3
0.975	reseal	cils	2	2
0.975	release	lisse	3	6
0.975	recoup	coupes	2	2
0.975	put	pote	2	2
0.975	push	poche	3	6
0.975	pools	poule	2	3
0.975	pit	pète	1	1
0.975	pin	peine	3	3
0.975	pets	pète	2	2
0.975	peppers	pep	3	8
0.975	pens	peine	5	6
0.975	pence	peine	2	2
0.975	peeks	pique	2	2
0.975	pearl	pelle	3	3
0.975	peaks	piques	5	6
0.975	pat	pâte	2	2
0.975	pass	passent	6	7
0.975	pan	panne	2	2
0.975	pallor	pale	2	2
0.975	pal	pâle	2	3
0.975	pack	pac	2	2
0.975	pac	pac	1	1
0.975	nurse	noce	2	2
0.975	nets	net	5	5
0.975	nap	nappe	2	2
0.975	mys	maïs	2	2
0.975	murder	mode	1	4
0.975	mum	môme	4	7
0.975	mod	mande	1	1
0.975	messes	messe	3	3
0.975	mender	mène	2	2
0.975	memes	mime	3	3
0.975	melt	mêle	3	3
0.975	meant	mène	3	3
0.975	means	mine	4	5
0.975	meals	mille	4	4
0.975	matt	mate	3	5
0.975	mat	mate	3	4
0.975	mass	masse	4	4
0.975	masher	mâche	2	2
0.975	manor	man	1	1
0.975	manner	man	1	1
0.975	man	man	2	6
0.975	mac	mac	1	1
0.975	lynn	laine	1	1
0.975	luck	lac	1	1
0.975	love	lave	1	1
0.975	lose	blouse	2	2
0.975	log	longue	1	1
0.975	liver	lève	1	1
0.975	lid	laide	1	1
0.975	leonard	laine	1	3
0.975	lent	laine	1	1
0.975	lens	laine	1	3
0.975	lender	laine	2	2
0.975	lend	laine	2	2
0.975	legs	legs	2	2
0.975	legit	laid jette	1	3
0.975	leave	livres	4	5
0.975	learn	laine	1	1
0.975	leaped	lippe	2	2
0.975	lean	lignes	1	1
0.975	leagues	ligues	5	6
0.975	lamb	lames	1	1
0.975	ladder	lad	2	2
0.975	lad	lad	1	1
0.975	lack	lac	1	2
0.975	kurt	quête	1	1
0.975	knit	net	2	2
0.975	kite	caïd	2	2
0.975	kiss	caisse	2	2
0.975	kirk	coq	1	1
0.975	ken	gaine	1	1
0.975	jet	jette	3	3
0.975	gut	gâte	2	2
0.975	gum	gamme	3	3
0.975	good	gode	1	1
0.975	gone	conne	1	1
0.975	glen	laine	3	3
0.975	gen	gènes	3	3
0.975	gem	gemmes	3	3
0.975	gel	gel	1	1
0.975	gal	galles	1	1
0.975	fun	fan	2	2
0.975	fuck	fac	1	1
0.975	fools	foules	4	5
0.975	food	foudre	3	3
0.975	font	phone	2	2
0.975	flees	lise	2	4
0.975	fled	laide	1	3
0.975	fleas	lise	2	2
0.975	fleam	lime	2	2
0.975	fit	faites	2	2
0.975	field	fil	3	3
0.975	feet	vite	5	5
0.975	feels	fil	3	3
0.975	feat	vite	5	5
0.975	fan	fan	3	3
0.975	false	fol	5	6
0.975	falls	folle	3	3
0.975	dumb	dôme	2	2
0.975	dull	dalle	2	2
0.975	duke	duc	2	2
0.975	dug	dague	1	1
0.975	duck	déc	2	2
0.975	doug	dague	1	1
0.975	dos	dense	2	2
0.975	done	damne	3	3
0.975	does	doses	1	1
0.975	dish	dèche	1	1
0.975	dirt	dette	2	2
0.975	deemed	dîme	1	1
0.975	dec	teck	2	2
0.975	debts	dette	5	5
0.975	dan	dan	1	1
0.975	damn	dame	2	2
0.975	dam	dame	2	3
0.975	cuz	cause	1	3
0.975	cut	côtes	1	7
0.975	curse	caisse	2	2
0.975	curb	cob	1	1
0.975	cup	cap	4	10
0.975	cum	came	1	1
0.975	cover	cave	1	4
0.975	coups	coupes	1	1
0.975	cough	coffre	3	3
0.975	cook	coq	2	3
0.975	come	came	1	1
0.975	colour	cale	2	6
0.975	color	cale	1	5
0.975	chen	chaîne	1	1
0.975	cheek	chic	2	2
0.975	chalk	choc	3	3
0.975	centre	saine	3	4
0.975	center	saine	2	8
0.975	cent	saine	5	5
0.975	cells	celle	7	7
0.975	cash	cache	2	3
0.975	cap	cap	3	7
0.975	can	cane	3	3
0.975	cam	came	1	1
0.975	calls	collent	4	4
0.975	callers	col	2	2
0.975	called	col	4	4
0.975	calf	caf	1	1
0.975	cal	cale	1	1
0.975	buzz	base	2	3
0.975	butt	battent	1	2
0.975	but	batte	3	3
0.975	bus	basse	2	3
0.975	burn	bonne	3	5
0.975	burke	bec	1	1
0.975	burger	bègue	1	2
0.975	bum	baume	1	1
0.975	bug	bagues	3	3
0.975	buck	bacs	2	2
0.975	bloop	loupe	2	2
0.975	bigger	bègue	1	1
0.975	big	bègue	1	1
0.975	bets	bête	3	3
0.975	bent	benne	3	3
0.975	bender	benne	2	3
0.975	bend	benne	1	1
0.975	belt	belle	4	4
0.975	bells	bel	3	3
0.975	becks	bec	2	2
0.975	beats	bit	4	7
0.975	beans	bine	4	4
0.975	beads	bide	4	7
0.975	beach	bits	4	4
0.975	baulked	bock	2	2
0.975	bat	battent	2	3
0.975	bash	bâche	1	1
0.975	balls	bol	2	7
0.975	balder	bol	2	2
0.975	bald	bol	1	2
0.975	bag	bague	2	2
0.975	back	bac	2	2
0.973	system	cessent homme	3	3
0.973	suggest	sait geste	2	3
0.973	song	sonne	1	1
0.973	medal	met elle	2	4
0.973	louis	lui	1	1
0.973	custom	cassent homme	2	2
0.972	masterpiece	massent pisse	2	2
0.971	sucked	secte	2	3
0.971	pixel	pics elle	2	2
0.971	lust	lest	2	3
0.971	glove	glaive	1	3
0.971	club	club	2	2
0.971	chuck	tchèque	2	2
0.971	blend	plaine	2	2
0.970	shaw	chauds	1	1
0.970	saw	saut	1	2
0.970	paw	peau	2	2
0.970	maw	mots	1	1
0.970	lawsuit	lots août	2	2
0.970	law	lots	2	2
0.970	gnaw	nos	1	1
0.969	legion	lies gin	3	5
0.969	joss	jazz	1	1
0.969	endless	haines laisse	1	1
0.969	blah	blanc	3	3
0.968	sun	saine	2	3
0.968	son	saine	3	3
0.968	pub	pub	1	1
0.968	none	naine	2	4
0.968	lastly	list lies	3	3
0.968	ill	il	1	1
0.968	foot	faites	1	2
0.968	firstly	faste lies	3	3
0.968	concept	cannes opte	3	3
0.967	ease	hisse	1	2
0.967	eager	hic	1	1
0.967	dicks	dicte	2	2
0.967	axe	axe	3	3
0.967	aug	oc	1	1
0.967	apt	apte	2	2
0.967	after	aphtes	1	1
0.967	act	actes	2	2
0.966	unique	yeux nique	3	3
0.966	superb	saoul pubs	4	5
0.966	solved	salve	1	1
0.966	knives	naïve	1	1
0.966	blogs	blague	3	3
0.966	bloggers	blague	2	2
0.965	renew	nous	4	6
0.965	jew	joue	1	1
0.965	flee	lie	5	6
0.965	chew	chou	2	2
0.964	tea	dit	5	5
0.964	per	paix	1	1
0.964	lemon	lez manne	1	2
0.964	fur	fait	1	3
0.964	flume	plume	2	2
0.964	caw	que	1	1
0.963	question	coincent chaîne	2	2
0.963	pay	pays	6	7
0.963	jock	jack	1	1
0.963	edit	aident êtes	1	1
0.963	dual	duel	4	5
0.962	walter	volts	1	1
