en	fr	certifications	example_loop
shoot	shootes	8	en:shoot ≈ fr:shootes ~ fr:shoots ≈ en:shoots
shoots	shoots	8	en:shoot ≈ fr:shootes ~ fr:shoots ≈ en:shoots
sicked	secte	8	en:sick ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
sicks	sexe	8	en:sick ~ en:sicked ≈ fr:secte ~ fr:sectes ≈ en:sex ~ fr:sexe ≈ en:sicks
strip	stream	8	en:stream ~ fr:stream ≈ en:strip ~ fr:strip ≈ en:streams
stream	strip	8	en:streams ~ en:stream ≈ fr:strip ~ en:strip ≈ fr:stream
try	trahis	8	en:tried ~ en:trying ≈ fr:trahi ~ fr:trahis ≈ en:try
beats	bite	7	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beats	bites	7	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
explained	explose	7	en:blast ~ fr:explosent ≈ en:explains ~ en:explained ≈ fr:explose
call	cols	7	en:call ≈ fr:cols ~ fr:col ≈ en:caller
let	laid	7	en:fitted ~ fr:laid ≈ en:let ~ en:letting ≈ fr:laid in ~ en:laid
myself	mas elfes	7	en:herself ~ en:myself ≈ fr:mas elfes ~ fr:elfes ≈ en:self
pee	pi	7	en:pee ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:peene
beat	bites	6	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	bite	6	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
codes	cause	6	en:cause ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
caused	codes	6	en:cause ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
check	tchèques	6	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
classes	clans aise	6	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
cruck	crack	6	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crack	craque	6	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
cross	crosse	6	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
crosse	cross	6	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
fool	foule	6	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
exception	excepte	6	en:except ~ fr:excepte ≈ en:exception ~ en:exceptions ≈ fr:excepté
exceptions	excepté	6	en:except ~ fr:excepte ≈ en:exception ~ en:exceptions ≈ fr:excepté
exhibitions	expose	6	en:exhibit ~ en:exhibitions ≈ fr:expose ~ en:expose ≈ fr:exposent ~ fr:exposer
exist	existe	6	en:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exists
extending	axent haines in	6	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extended	axent haines aide	6	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extend	externes	6	en:extension ~ en:extensions ≈ fr:externe ~ fr:externes ≈ en:extend
fall	folle	6	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
feels	file	6	en:feel ≈ fr:files ~ fr:file ≈ en:feels
feel	file	6	en:feel ≈ fr:file ~ fr:files ≈ en:feels
ordering	ordre	6	en:flock ~ fr:horde ≈ en:order ~ fr:ordre ≈ en:ordering ~ en:ordered ≈ fr:hordes
foresee	foncé	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresees	fonceuse	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
plots	places	6	en:forked ~ fr:plates ≈ en:plot ~ en:plots ≈ fr:places ~ fr:place ≈ en:plates
fortunate	faut chaînette	6	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
fortunately	faut chenet lis	6	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
founders	fanent aise	6	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founding	fanent in	6	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
lender	lin des	6	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lenders	lin dos	6	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lord	lords	6	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
meanie	mini	6	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
meany	minis	6	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
petit	petit	6	en:petit ≈ fr:petit ~ en:petite ≈ fr:petite
petite	petite	6	en:petit ≈ fr:petit ~ en:petite ≈ fr:petite
prep	prêt	6	en:prayer ~ en:prayers ≈ fr:prêts ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:pray
pressie	précis	6	en:presses ≈ fr:précise ~ fr:précis ≈ en:pressie ~ en:pressies ≈ fr:presse
protect	prétextes	6	en:protected ~ en:protect ≈ fr:prétextes ~ fr:prétexte ≈ en:protects
store	stores	6	en:retail ~ fr:stores ≈ en:store ~ fr:store ≈ en:stores
stores	store	6	en:retail ~ fr:stores ≈ en:store ~ fr:store ≈ en:stores
routes	route	6	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
route	routes	6	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
seem	cimes	6	en:seem ≈ fr:cimes ~ fr:cime ≈ en:seemed
stalky	stock	6	en:stalk ≈ fr:stocke ~ fr:stock ≈ en:stalky
stretch	stretch	6	en:stretch ≈ fr:stretch ~ fr:stretching ≈ en:stretching
stretching	stretching	6	en:stretch ≈ fr:stretch ~ fr:stretching ≈ en:stretching
test	tests	6	en:test ≈ fr:tests ~ en:tests ≈ fr:teste
traders	trait aise	6	en:trader ~ en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
trading	trait in	6	en:trader ~ en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
tribe	trappes	6	en:trap ~ fr:trappes ≈ en:tribe ~ en:tribes ≈ fr:trappe
tribes	trappe	6	en:trap ~ fr:trappes ≈ en:tribe ~ en:tribes ≈ fr:trappe
troop	troupe	6	en:troop ≈ fr:troupe ~ fr:troupes ≈ en:troops
except	acceptent	5	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:accepts = fr:accepte
previously	privilégie	5	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilèges ≈ en:previous
previous	privilèges	5	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilèges ≈ en:previous
brick	break	5	en:break ~ fr:break ≈ en:brick = fr:briques ≈ en:brake ~ en:brakes ≈ fr:breaks
call	colle	5	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
clack	claque	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clam	clame	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
drummer	drames	5	en:drama ~ fr:drame ≈ en:drums ~ en:drummer ≈ fr:drames
forced	fausse	5	en:enforced ~ en:enforce ≈ fr:un fausse ~ fr:fausse ≈ en:forced = fr:forcée
explore	explorent	5	en:explore ≈ fr:explorent ~ fr:explorer ≈ en:exploring
forcing	faux in	5	en:fake = fr:fausse ≈ en:forced ~ en:forcing ≈ fr:faux in ~ fr:faux
sex	sexy	5	en:gender ~ fr:sexes ≈ en:sexy ~ fr:sexy ≈ en:sex ~ fr:sexe
southwest	cent ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
prefers	prêt aise	5	en:preferences ~ en:prefers ≈ fr:prêt aise ~ fr:prêts ≈ en:prefer ~ en:preferring
prefer	prêts	5	en:preferences ~ en:prefers ≈ fr:prêt aise ~ fr:prêts ≈ en:prefer ~ en:preferring
rendering	reines ring	5	en:render ~ en:rendering ≈ fr:reines ring ~ fr:reines ≈ en:rendered
sext	secte	5	en:sect ~ fr:secte ≈ en:sext ~ en:sex ≈ fr:sectes
set	sets	5	en:set ≈ fr:sets ~ en:sets ≈ fr:set
skiing	ski	5	en:ski ≈ fr:skis ~ en:skiing ≈ fr:ski
streak	stricte	5	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaked
streaks	strict	5	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaks
tell	telles	5	en:such = fr:telles ≈ en:tell ~ en:tells ≈ fr:tels
technique	techniques	5	en:technical = fr:techniques ≈ en:technique ~ en:techniques ≈ fr:technique
techniques	technique	5	en:technical = fr:techniques ≈ en:technique ~ en:techniques ≈ fr:technique
accept	excepte	4	en:acceptance ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptent
decrease	décrit	4	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decrease ≈ fr:décrit ~ fr:thuja
appealing	peeling	4	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
peel	piles	4	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
appeal	pile	4	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
bellies	belize	4	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
explains	explose	4	en:blast ~ fr:explose ≈ en:explains ~ en:explained ≈ fr:explosent
bought	bottes	4	en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
buy	bah	4	en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
poses	pause	4	en:break = fr:pause ≈ en:poses ~ en:pose ≈ fr:pauses = en:breaks
break	briques	4	en:breaks ~ fr:break ≈ en:brick = fr:briques ≈ en:break
carry	crie	4	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
cries	crise	4	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
carries	crises	4	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
check	cheik	4	en:checks ~ fr:chèque ≈ en:sheik = fr:cheik ≈ en:check
classy	clans sis	4	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
click	clique	4	en:clicks ~ en:click ≈ fr:clique ~ en:clique ≈ fr:clic
catch	coach	4	en:coach ~ en:coaches ≈ fr:catch ~ en:catch ≈ fr:coach
controls	contrôle	4	en:controlled ~ en:control ≈ fr:contrôles = en:controls ≈ fr:contrôle
cooed	coude	4	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
coot	coudes	4	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
corny	corner	4	en:corn ≈ fr:corne ~ en:corny ≈ fr:corner ~ en:corner ≈ fr:cornes
court	cotes	4	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
courts	cotes	4	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
fool	foules	4	en:crowds = fr:foules ≈ en:fool ~ en:fools ≈ fr:foule
decreased	décrite	4	en:decrease ~ en:decreased ≈ fr:décrite ~ fr:décrit ≈ en:decreasing
set	cet	4	en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ fr:set ≈ en:asset ~ fr:propriétés
speech	speechs	4	en:discourse ~ en:speech ≈ fr:speechs ~ en:speeches ≈ fr:speech
speeches	speech	4	en:discourse ~ en:speech ≈ fr:speechs ~ en:speeches ≈ fr:speech
drums	drame	4	en:drama ~ fr:drames ≈ en:drum ~ en:drums ≈ fr:drame
dress	dresse	4	en:dress ≈ fr:dresse ~ en:dresses ≈ fr:dressage
dresses	dressage	4	en:dress ≈ fr:dresse ~ en:dresses ≈ fr:dressage
excluding	exclus in	4	en:exclude ~ fr:exclu ≈ en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus
expose	exposées	4	en:exhibit ~ en:exhibitions ≈ fr:expose ~ en:expose ≈ fr:exposées = en:exhibited
existed	exit aide	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
exit art	existantes	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
explanation	exploser	4	en:explain ~ en:explained ≈ fr:explose ~ fr:exploser ≈ en:explanation
explored	explore	4	en:exploration ~ en:exploring ≈ fr:explorent ~ fr:explore ≈ en:explored
expressions	express	4	en:express ≈ fr:expresse ~ fr:express ≈ en:expressions ~ en:expresses
express	expressions	4	en:expression ~ fr:expressions ≈ en:express ~ fr:express ≈ en:expressions
extensively	axent haines flux	4	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
extensive	axent haines ive	4	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
falls	folles	4	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
fastest	fats test	4	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
faster	fats tes	4	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
feeling	file	4	en:feelings ~ en:feeling ≈ fr:file ~ fr:files ≈ en:feel ~ fr:feeling
order	hordes	4	en:flock ~ fr:horde ≈ en:ordered ~ fr:ordre ≈ en:ordering ~ en:order ≈ fr:hordes
plea	pli	4	en:fold = fr:pli ≈ en:plea ~ en:pleas ≈ fr:plisse ~ fr:plié
plates	place	4	en:forked ~ fr:plates ≈ en:plot ~ en:plots ≈ fr:places ~ fr:place ≈ en:plates
gene	gins	4	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genome	gin dôme	4	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
agrees	grise	4	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
agree	gris	4	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
gin	jean	4	en:jean ≈ fr:gin ~ en:gin ≈ fr:jean
meet	mythe	4	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meets	mythes	4	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
film	films	4	en:movie ~ en:film ≈ fr:films ~ en:films ≈ fr:film
films	film	4	en:movie ~ en:film ≈ fr:films ~ en:films ≈ fr:film
northwest	nœud ouest	4	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
order	ordres	4	en:ordered ~ fr:ordre ≈ en:ordering ~ en:order ≈ fr:ordres
packs	pacs	4	en:pac ~ fr:pacs ≈ en:packs ~ en:pack ≈ fr:pac
pack	pac	4	en:pac ~ fr:pacs ≈ en:packs ~ en:pack ≈ fr:pac
pose	pause	4	en:pause ≈ fr:pose ~ en:pose ≈ fr:pause
peak	piquent	4	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ fr:peake
peaky	piquer	4	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ fr:peake
piece	pisse	4	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
possessed	paix est	4	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
pray	prés	4	en:prayer ~ en:prayers ≈ fr:prêts ~ fr:prêt ≈ en:prep ~ fr:prés ≈ en:pray
predator	prêt tes	4	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
premium	primes rimes	4	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
prime	primes	4	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
proposed	proposent	4	en:proposal ~ fr:proposes ≈ en:propose ~ fr:proposent ≈ en:proposed
wrap	rap	4	en:rap ~ fr:rap ≈ en:wrap ~ en:wrapped ≈ fr:rapt ~ en:rappe
wrapped	rapt	4	en:rap ~ fr:rap ≈ en:wrap ~ en:wrapped ≈ fr:rapt ~ en:rappe
register	raids ester	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
registered	raids stade	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
rendered	reines	4	en:render ~ en:rendering ≈ fr:reines ring ~ fr:reines ≈ en:rendered
scores	score	4	en:score ~ fr:scores ≈ en:scored ~ fr:score ≈ en:scores
sets	set	4	en:set ≈ fr:sets ~ en:sets ≈ fr:set
anywhere	un air	4	en:somewhere ~ en:anywhere ≈ fr:un air ~ fr:air ≈ en:where ~ fr:gde
where	air	4	en:somewhere ~ en:anywhere ≈ fr:un air ~ fr:air ≈ en:where ~ fr:gde
soupy	souper	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
soup	soupe	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
spreading	sprays in	4	en:spray ~ fr:sprays in ≈ en:spreading ~ en:spread ≈ fr:spray
spread	spray	4	en:spray ~ fr:sprays in ≈ en:spreading ~ en:spread ≈ fr:spray
steals	style	4	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
step	steppe	4	en:step ≈ fr:steppe ~ en:steppe ≈ fr:stop ~ en:stop ≈ fr:step
steps	steppes	4	en:steppe ~ fr:steppe ≈ en:step ~ en:steps ≈ fr:steppes
steak	stick	4	en:stickers ~ en:sticker ≈ fr:steak ~ en:steak ≈ fr:stick
stress	stresse	4	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stressed	stress	4	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stream	string	4	en:string ~ fr:string ≈ en:stream ~ fr:stream ≈ en:strings
tell	telle	4	en:such = fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
talk	tocs	4	en:talked ~ en:talks ≈ fr:toc ~ fr:tocs ≈ en:talk
types	tape	4	en:tape ~ fr:tape ≈ en:types ~ en:type ≈ fr:tapes
tel	telle	4	en:tel ≈ fr:telle ~ fr:telles ≈ en:tell ~ en:tells ≈ fr:tels
tests	test	4	en:test ≈ fr:tests ~ en:tests ≈ fr:test
testes	tester	4	en:tested = fr:testés ≈ en:test ~ en:testes ≈ fr:tester ~ fr:teste
test	testes	4	en:testers ~ fr:testes ≈ en:test ~ en:testes ≈ fr:tester
test	teste	4	en:testes ~ fr:teste ≈ en:test ~ fr:test ≈ en:testers ~ fr:testes
trying	trahi	4	en:tried ~ en:trying ≈ fr:trahi ~ fr:trahis ≈ en:try
tried	trahi	4	en:tries ~ en:try ≈ fr:trahis ~ fr:trahi ≈ en:tried
true	trous	4	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ fr:wahre
truly	trous lies	4	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ fr:wahre
tape	type	4	en:type ~ fr:type ≈ en:tape ~ fr:tape ≈ en:types
accepting	accepte	3	en:accepted ~ fr:acceptes ≈ en:accept ~ en:accepting ≈ fr:accepte
affects	affect	3	en:affect ~ fr:affect ≈ en:affects = fr:affectent ≈ en:effect = fr:effets
affect	affecte	3	en:affecting ~ en:affect ≈ fr:affecte ~ fr:affect ≈ en:affects
affected	affect	3	en:affecting ~ en:affect ≈ fr:affecte ~ fr:affect ≈ en:affected
beats	bit	3	en:beats ≈ fr:bit ~ fr:bits ≈ en:beat
beat	bits	3	en:beats ≈ fr:bit ~ fr:bits ≈ en:beat
beaches	bit	3	en:bit ~ fr:bit ≈ en:beaches ~ en:beach ≈ fr:bits
beach	bits	3	en:bit ~ fr:bit ≈ en:beaches ~ en:beach ≈ fr:bits
bootee	boutis	3	en:bootee ≈ fr:boutis ~ fr:bout ≈ en:boot
bootie	boutis	3	en:bootee ~ en:bootie ≈ fr:boutis ~ fr:bout ≈ en:boot
fool	full	3	en:bulk ~ fr:full ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:foule ≈ en:full
calls	collent	3	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
calls	cols	3	en:caller ≈ fr:col ~ fr:cols ≈ en:calls
step	stoppes	3	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
sheik	chèque	3	en:checks ~ fr:chèque ≈ en:sheik = fr:cheik ≈ en:check
pools	poule	3	en:chicken = fr:poule ≈ en:pools ~ en:pool ≈ fr:poulets
clique	clic	3	en:clicks ~ en:click ≈ fr:clique ~ en:clique ≈ fr:clic
closes	close	3	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:clos
copy	copies	3	en:copies ~ fr:copies ≈ en:copy ~ fr:copie ≈ en:kopje ~ fr:exemplaires
kopje	copie	3	en:copies ~ fr:copies ≈ en:copy ~ fr:copie ≈ en:kopje ~ fr:exemplaires
exactly	exacts lies	3	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
fools	foule	3	en:crowds = fr:foules ≈ en:fool ~ en:fools ≈ fr:foule
jean	djinns	3	en:dj ~ fr:djinn ≈ en:gene ~ en:genes ≈ fr:jean ~ en:jean ≈ fr:djinns
excluded	exclu	3	en:exclude ~ fr:exclu ≈ en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus
exclude	exclus	3	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus ≈ en:exclude
exit arse	existence	3	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exit	existent	3	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
existence	existence	3	en:exist = fr:existent ≈ en:exists ~ en:existence ≈ fr:existence
exploring	explorer	3	en:explore ≈ fr:explorent ~ fr:explorer ≈ en:exploring
expressing	expresse	3	en:express ~ fr:express ≈ en:expressions ~ en:expressing ≈ fr:expresse
extension	externe	3	en:extensions ~ en:extension ≈ fr:externe ~ fr:externes ≈ en:extend
falls	folle	3	en:fall ≈ fr:folles ~ fr:folle ≈ en:falls
feeler	filer	3	en:feeler ≈ fr:filer ~ fr:files ≈ en:feel
ordered	horde	3	en:flock ~ fr:horde ≈ en:ordered ~ fr:ordre ≈ en:ordering ~ en:order ≈ fr:hordes
pleas	plisse	3	en:fold = fr:pli ≈ en:plea ~ en:pleas ≈ fr:plisse ~ fr:plié
force	fausse	3	en:forces ≈ fr:faux aise ~ fr:fausse ≈ en:force
plot	plates	3	en:forked ~ fr:plates ≈ en:plot ~ en:plots ≈ fr:places ~ fr:place ≈ en:plates
grabs	grappe	3	en:grab ~ en:grabs ≈ fr:grappe ~ fr:grappes ≈ en:grasp ~ en:grabe
grab	grappe	3	en:grabbed ~ en:grab ≈ fr:grappe ~ fr:grappes ≈ en:grasp ~ en:grable
himself	aimes elfes	3	en:herself ~ en:myself ≈ fr:mas elfes ~ fr:aimes elfes ≈ en:himself
yourself	ions elfes	3	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
mostly	but lie	3	en:largely ~ en:mostly ≈ fr:but lie ~ fr:et lie ≈ en:widely ~ en:predominantly
widely	et lie	3	en:largely ~ en:mostly ≈ fr:but lie ~ fr:et lie ≈ en:widely ~ en:predominantly
lords	lord	3	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
lording	lord	3	en:lord ≈ fr:lords ~ en:lording ≈ fr:lord
pea	pi	3	en:pea ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:peas = fr:pois
peas	pise	3	en:pea ≈ fr:pi ~ fr:pif ≈ en:peeve ~ fr:pise ≈ en:peas = fr:pois
pieced	pistent	3	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
plead	plie	3	en:pleaded ~ en:plead ≈ fr:plie ~ fr:plisse ≈ en:pleat
poof	pouf	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
poop	poupe	3	en:poo ~ en:poof ≈ fr:pouf ~ fr:poupe ≈ en:poop = fr:crotte
pressing	pressing	3	en:pressed ~ fr:pressing ≈ en:pressing ~ en:presses ≈ fr:presse
presses	presse	3	en:pressed ~ fr:pressing ≈ en:pressing ~ en:presses ≈ fr:presse
presses	précise	3	en:presses ≈ fr:précise ~ fr:précis ≈ en:pressie ~ en:pressies ≈ fr:presse
pressies	précise	3	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
proves	prouve	3	en:proof ~ fr:prouve ≈ en:proves ~ fr:prouvent ≈ en:prove
prove	prouvent	3	en:proof ~ fr:prouve ≈ en:proves ~ fr:prouvent ≈ en:prove
