tier	score	coverage	max_sub	en	fr_phrase	en_ipa
A	0.94	0.86	0.12	senators	sain thèse	sɛnətəz
A	0.94	0.86	0.18	sidewalk	cent wok	saɪdwɔːk
A	0.94	0.86	0.12	suitable	suent belle	suːtəbəl
A	0.94	1.0	0.3	temperature	tain prêt chez	tɛmpɹɪtʃɐ
A	0.94	0.88	0.36	textile	taxent al	tɛkstaɪl
A	0.94	0.86	0.24	treasury	trais ri	tɹɛʒəɹi
A	0.94	0.88	0.12	validity	valet tee	vælɪdɪti
A	0.94	1.0	0.36	vengeance	vin jeans	vɛndʒəns
A	0.94	0.86	0.12	veteran	fait reine	vɛtəɹən
A	0.939	0.88	0.25	festival	cessent vol	fɛstɪvəl
A	0.939	0.88	0.12	muscular	mes couler	mʌskjʊlɐ
A	0.939	0.88	0.12	qualities	collet hisse	kwɒlɪtiz
A	0.939	0.88	0.25	terrified	terrent aède	tɛɹɪfaɪd
A	0.937	0.9	0.36	frequently	fricotent lis	fɹiːkwəntli
A	0.936	0.88	0.15	devoted	devait aide	dɪvəʊtɪd
A	0.936	0.89	0.24	disposal	dispos elle	dɪspəʊzəl
A	0.936	0.92	0.35	experimental	exterminent elle	ɛkspɛɹɪmɛntəl
A	0.936	1.0	0.36	extensive	axent haines ive	ɛkstɛnsɪv
A	0.936	0.89	0.24	majority	modes orties	mədʒɒɹɪti
A	0.936	1.0	0.36	protective	prêt active	pɹətɛktɪv
A	0.936	0.86	0.15	reasoning	ries naine	ɹiːzənɪŋ
A	0.935	0.88	0.12	abilities	épilent hisse	ɐbɪlətiz
A	0.935	0.88	0.12	closest	clous est	kləʊsəst
A	0.935	1.0	0.36	commonly	commun lis	kɒmənli
A	0.935	0.91	0.36	destination	destin échine	dɛstɪneɪʃən
A	0.935	0.88	0.24	entertain	aident théine	ɛntəteɪn
A	0.935	0.88	0.12	necessary	nés serez	nɛsəsəɹi
A	0.935	0.86	0.12	places	plaies aise	pleɪsɪz
A	0.935	0.88	0.24	rendering	reines ring	ɹɛndəɹɪŋ
A	0.935	0.88	0.12	society	ces haïti	səsaɪəti
A	0.935	1.0	0.3	temperatures	tain prêt chaise	tɛmpɹɪtʃəz
A	0.935	0.86	0.12	traded	trait aide	tɹeɪdɪd
A	0.935	0.86	0.12	traders	trait aise	tɹeɪdəz
A	0.934	1.0	0.3	chronic	cran hic	kɹɒnɪk
A	0.934	0.89	0.24	dimension	demain chaîne	daɪmɛnʃən
A	0.934	0.89	0.24	flexible	flics belle	flɛksɪbəl
A	0.934	1.0	0.36	laboratory	libérait ri	lɐbɒɹətɹi
A	0.934	0.89	0.24	proposal	propos elle	pɹəpəʊzəl
A	0.934	0.89	0.24	proposes	propos aise	pɹəpəʊzɪz
A	0.934	0.89	0.24	quantities	quad dix	kwɒntɪtiz
A	0.934	0.89	0.24	registered	raids stade	ɹɛdʒɪstəd
A	0.934	0.89	0.36	sensation	saines échine	sɛnseɪʃən
A	0.933	0.88	0.18	boundary	ban doré	baʊndəɹi
A	0.933	0.88	0.24	cemetery	sommet ri	sɛmɪtəɹi
A	0.933	0.88	0.24	collected	cliquent aide	kəlɛktɪd
A	0.933	0.88	0.24	collectors	cliquent aise	kəlɛktəz
A	0.933	0.88	0.24	corrected	croquent aide	kəɹɛktɪd
A	0.933	0.93	0.36	representation	repris aident échine	ɹɛpɹɪzɛnteɪʃən
A	0.933	0.88	0.24	southwest	cent ouest	saʊθwɛst
A	0.932	0.86	0.24	consider	cannes des	kənsɪdɐ
A	0.932	0.86	0.12	danger	dînent chez	deɪndʒɐ
A	0.932	0.86	0.24	detailed	dit halte	diːteɪld
A	0.932	1.0	0.36	electronic	électron hic	ɛlɪktɹɒnɪk
A	0.932	0.86	0.24	entities	aident dix	ɛntɪtiz
A	0.932	0.86	0.12	essential	sain gel	ɪsɛnʃəl
A	0.932	1.0	0.36	gentle	jet elle	dʒɛntəl
A	0.932	0.86	0.24	minded	man aide	maɪndɪd
A	0.932	0.86	0.12	mistake	mais tic	mɪsteɪk
A	0.932	0.86	0.24	painful	pain folle	peɪnfəl
A	0.932	0.86	0.24	patriot	peut rot	pætɹɪət
A	0.932	0.86	0.24	permitted	pâment aide	pəmɪtɪd
A	0.932	0.86	0.24	pointed	peinent aide	pɔɪntɪd
A	0.932	0.89	0.15	promoting	promet in	pɹəməʊtɪŋ
A	0.932	1.0	0.36	protect	prêt acte	pɹətɛkt
A	0.932	0.86	0.36	sunrise	son rase	sʌnɹaɪz
A	0.932	0.86	0.24	trainers	train aise	tɹeɪnəz
A	0.932	1.0	0.36	transit	train cette	tɹænsɪt
A	0.932	0.86	0.12	trousers	draps aise	tɹaʊsəz
A	0.931	0.89	0.2	accessories	excès ruse	ɐksɛsəɹiz
A	0.931	1.0	0.3	invest	haines est	ɪnvɛst
A	0.931	1.0	0.3	planet	plan êtes	plænɪt
A	0.93	1.0	0.36	detective	dit active	dɪtɛktɪv
A	0.93	0.92	0.36	examination	examen échine	ɛɡzæmɪneɪʃən
A	0.93	0.86	0.15	finding	fanent in	faɪndɪŋ
A	0.93	0.86	0.15	founding	fanent in	faʊndɪŋ
A	0.93	0.86	0.15	marketing	manquent in	mɑːkɪtɪŋ
A	0.93	0.89	0.24	northwestern	notais tonnes	nɔːθwɛstən
A	0.93	0.88	0.12	vicinity	vis hindi	vɪsɪnɪti
A	0.929	1.0	0.36	manly	main lis	mænli
A	0.929	1.0	0.36	monkey	mon qui	mʌnki
A	0.929	0.88	0.24	nonetheless	naines laisse	nʌnðəlɛs
A	0.929	1.0	0.36	randy	rhin dit	ɹændi
A	0.929	1.0	0.36	sandy	sain dit	sændi
A	0.928	0.88	0.12	basically	pays clé	beɪsɪkli
A	0.928	0.88	0.24	disclose	dis clause	dɪskləʊz
A	0.928	0.88	0.24	ethnicity	ethnies tee	ɛθnɪsɪti
A	0.928	0.88	0.24	genesis	djinns hisse	dʒɛnɪsɪs
A	0.928	1.0	0.36	literary	lient errera	lɪtəɹəɹi
A	0.928	0.92	0.36	transportation	traînes pot échine	tɹænspɔːteɪʃən
A	0.928	0.9	0.36	veterinary	fait ornera	vɛtəɹɪnəɹi
A	0.927	0.89	0.36	boundaries	ban cerise	baʊndəɹiz
A	0.927	1.0	0.3	completed	con plient aide	kəmpliːtɪd
A	0.927	0.86	0.15	counted	gagnent aide	kaʊntɪd
A	0.927	0.89	0.42	franchise	freinent chasse	fɹɑːntʃaɪz
A	0.927	0.89	0.24	parameters	primait aise	pəɹæmɪtəz
A	0.927	0.89	0.24	parenting	perron teigne	peəɹəntɪŋ
A	0.927	0.9	0.36	sandwiches	sain dit chaise	sændwɪtʃɪz
A	0.927	0.89	0.24	strategy	strates chie	stɹætədʒi
A	0.926	1.0	0.36	architect	acquit acte	ɑːkɪtɛkt
A	0.926	0.88	0.25	authorities	effort hisse	ɐθɒɹɪtiz
A	0.926	0.86	0.18	binding	ban digne	baɪndɪŋ
A	0.926	1.0	0.36	consumers	con soumise	kənsuːməz
A	0.926	0.86	0.12	software	savent ouais	sɒftweə
A	0.925	0.88	0.24	crossover	crocs avez	kɹɒsəʊvɐ
A	0.925	0.88	0.24	electron	liguent rhône	ɪlɛktɹɒn
A	0.925	0.88	0.24	fragile	frit châle	fɹædʒaɪl
A	0.925	0.88	0.24	grounded	crânes aide	ɡɹaʊndɪd
A	0.925	0.88	0.24	maternity	matin tee	mətɜːnɪti
A	0.925	0.88	0.24	messages	messes chaise	mɛsɪdʒɪz
A	0.925	0.88	0.12	mortgages	moquent chaise	mɔːɡɪdʒɪz
A	0.925	0.88	0.24	velocity	vélos tee	vəlɒsɪti
A	0.924	0.88	0.25	butterfly	battait la	bʌtəflaɪ
A	0.924	0.86	0.15	closing	clous in	kləʊzɪŋ
A	0.924	0.86	0.15	coaching	coud chine	kəʊtʃɪŋ
A	0.924	1.0	0.36	detect	dit acte	dɪtɛkt
A	0.924	1.0	0.36	fortune	faut chine	fɔːtʃuːn
A	0.924	0.88	0.25	lifetime	light âme	laɪftaɪm
A	0.923	0.86	0.3	boulevard	boules andes	buːlɪvɑːd
A	0.923	0.86	0.18	counting	khan teigne	kaʊntɪŋ
A	0.923	0.86	0.18	downward	tan oued	daʊnwəd
A	0.923	0.86	0.3	drivers	draps aise	dɹaɪvəz
A	0.923	0.86	0.3	economy	khan omis	ɪkɒnəmi
A	0.923	0.89	0.24	facilities	fais litige	fəsɪlɪtiz
A	0.923	0.86	0.36	frontier	frein tee	fɹʌntiə
A	0.923	0.86	0.12	possibly	pas blé	pɒsəbli
A	0.923	0.86	0.3	previous	pris os	pɹiːvɪəs
A	0.923	0.86	0.12	purposes	popes aise	pɜːpəsɪz
A	0.923	1.0	0.3	seventy	saison tee	sɛvənti
A	0.923	0.86	0.3	survivor	ces avez	səvaɪvɐ
A	0.922	0.91	0.3	corresponding	corps pan digne	kɒɹɪspɒndɪŋ
A	0.922	0.88	0.12	producer	prêt user	pɹədjuːsɐ
A	0.922	0.88	0.36	songwriter	son raté	sɒŋɹaɪtɐ
A	0.922	0.88	0.24	teenager	dîners je	tiːneɪdʒɐ
A	0.921	1.0	0.36	extended	axent haines aide	ɛkstɛndɪd
A	0.921	0.89	0.24	groceries	grès hérisse	ɡɹəʊsəɹiz
A	0.921	1.0	0.36	laundry	donnent ri	lɔːndɹi
A	0.921	1.0	0.36	melted	mènent aide	mɛltɪd
A	0.92	0.88	0.42	dictator	piquent été	dɪkteɪtɐ
A	0.92	0.88	0.18	grinding	cran digne	ɡɹaɪndɪŋ
A	0.92	0.88	0.3	revival	rivas elle	ɹɪvaɪvəl
A	0.92	0.88	0.24	singular	sain goulée	sɪŋɡjʊlɐ
A	0.92	0.86	0.2	website	limbes hâte	wɛbsaɪt
A	0.919	0.9	0.3	controllers	cognent relève	kəntɹəʊləz
A	0.919	0.89	0.25	festivals	cessent valse	fɛstɪvəlz
A	0.919	0.86	0.15	gasoline	gars ligne	ɡæsəliːn
A	0.919	0.86	0.18	lightning	lent naine	laɪtnɪŋ
A	0.919	1.0	0.42	researcher	ressent chez	ɹɪsɜːtʃɐ
A	0.918	0.88	0.3	activist	actes est	æktɪvɪst
A	0.918	0.88	0.12	atmosphere	admets fi	ætməsfiə
A	0.918	1.0	0.36	branding	brin digne	bɹændɪŋ
A	0.918	0.88	0.3	composer	con peser	kəmpəʊzɐ
A	0.918	0.86	0.24	enjoyed	haines chaude	ɛndʒɔɪd
A	0.918	0.86	0.24	enjoys	haines chose	ɛndʒɔɪz
A	0.918	0.86	0.24	imagery	mythes ri	ɪmɪdʒɹi
A	0.918	1.0	0.3	invested	haines esthète	ɪnvɛstɪd
A	0.918	0.88	0.2	investors	nouées thèse	ɪnvɛstəz
A	0.918	0.88	0.12	majesty	matchs tee	mædʒəsti
A	0.918	0.86	0.36	mountain	mat in	maʊntɪn
A	0.918	1.0	0.36	possession	paix échine	pəzɛʃən
A	0.918	0.86	0.24	ranger	reines chez	ɹeɪndʒɐ
A	0.918	0.88	0.36	reminder	roman des	ɹɪmaɪndɐ
A	0.918	1.0	0.3	temporary	tain prairies	tɛmpɹəɹi
A	0.917	0.9	0.42	acceptable	excèdent belle	ɐksɛptəbəl
A	0.917	1.0	0.3	devil	dès elle	dɛvəl
A	0.917	0.91	0.36	extensively	axent haines flux	ɛkstɛnsɪvli
A	0.917	0.86	0.3	feminine	fen in	fɛmənɪn
A	0.917	1.0	0.3	level	laids elle	lɛvəl
A	0.917	1.0	0.3	lovely	les lis	lʌvli
A	0.917	1.0	0.3	member	main bée	mɛmbɐ
A	0.917	0.9	0.36	minorities	minaret hisse	maɪnɒɹɪtiz
A	0.917	1.0	0.3	movies	mous aise	muːvɪz
A	0.917	1.0	0.3	nasty	nos tee	nɑːsti
A	0.917	0.86	0.3	privacy	pris ci	pɹɪvəsi
A	0.917	1.0	0.3	seven	ces haine	sɛvən
A	0.916	1.0	0.35	baptist	battent est	bæptɪst
A	0.916	0.89	0.24	discovery	dis cabri	dɪskʌvəɹi
A	0.916	0.86	0.15	placing	plaies in	pleɪsɪŋ
A	0.916	0.88	0.35	portraits	pot reps	pɔːtɹeɪts
A	0.916	0.92	0.35	supernatural	soutenait charles	suːpənætʃəɹəl
A	0.916	0.86	0.25	terrific	tord hic	təɹɪfɪk
A	0.916	0.86	0.15	trading	trait in	tɹeɪdɪŋ
A	0.915	0.88	0.3	automatic	hautement hic	ɔːtəmætɪk
A	0.915	1.0	0.36	consent	con celtes	kənsɛnt
A	0.915	0.86	0.24	deadline	dès lad	dɛdlaɪn
A	0.915	0.86	0.24	elected	liguent aide	ɪlɛktɪd
A	0.915	0.86	0.36	mounted	mat aide	maʊntɪd
A	0.915	0.86	0.24	oldest	elles est	əʊldəst
A	0.915	0.86	0.12	shoulders	gèlent aise	ʃəʊldəz
A	0.914	1.0	0.3	bonding	ban digne	bɒndɪŋ
A	0.914	0.89	0.3	commodities	comment dix	kəmɒdɪtiz
A	0.914	0.88	0.3	conquest	khan kyste	kɒnkwɛst
A	0.914	0.88	0.15	debating	tibet in	dɪbeɪtɪŋ
A	0.914	0.89	0.36	engineered	haines jeun ides	ɛndʒɪniəd
A	0.914	0.89	0.24	stranger	strings je	stɹeɪndʒɐ
A	0.914	0.89	0.3	supervisor	soupers assez	suːpəvaɪzɐ
A	0.913	0.88	0.24	baseline	pays lad	beɪslaɪn
A	0.913	0.88	0.12	deciding	dis atteignent	dɪsaɪdɪŋ
A	0.913	0.88	0.24	decisive	dis achève	dɪsaɪsɪv
A	0.913	0.86	0.24	floating	flot in	fləʊtɪŋ
A	0.913	0.91	0.36	frustration	pressent résonne	fɹʌstɹeɪʃən
A	0.913	0.86	0.15	pricing	bras in	pɹaɪsɪŋ
A	0.913	0.91	0.36	restoration	rincent origine	ɹɛstəɹeɪʃən
A	0.913	1.0	0.36	secondly	déconnent lis	sɛkəndli
A	0.913	0.86	0.25	sounded	fanent aide	saʊndɪd
A	0.913	0.91	0.35	spectacular	stockent écoulé	spɛktækjʊlɐ
A	0.913	0.86	0.24	training	train in	tɹeɪnɪŋ
A	0.912	1.0	0.36	entrepreneur	hot reprenait	ɒntɹɪpɹɪnɜː
A	0.912	0.92	0.36	exchanges	axent chaînes chaise	ɛkstʃeɪndʒɪz
A	0.912	1.0	0.36	scripture	scrutent chez	skɹɪptʃɐ
A	0.912	0.86	0.24	wheelchair	veulent chez	wiːltʃeə
A	0.911	0.92	0.3	contemporary	con tain prairies	kəntɛmpəɹəɹi
A	0.911	1.0	0.3	gravel	gras elle	ɡɹævəl
A	0.911	0.88	0.24	insanity	haines hindi	ɪnsænɪti
A	0.911	1.0	0.3	members	main baise	mɛmbəz
A	0.911	0.9	0.3	provisional	près chenal	pɹəvɪʒənəl
A	0.911	0.88	0.36	remainder	romain des	ɹɪmeɪndɐ
A	0.911	1.0	0.3	several	ces rôle	sɛvɹəl
A	0.911	1.0	0.3	simply	sain plie	sɪmpli
A	0.911	1.0	0.3	temple	tain paul	tɛmpəl
A	0.909	1.0	0.36	breakfast	braquent est	bɹɛkfəst
A	0.909	1.0	0.3	tempted	tain petite	tɛmptɪd
A	0.908	1.0	0.42	congressional	con greffon elle	kənɡɹɛʃənəl
A	0.907	0.88	0.36	meaningful	man folle	miːnɪŋfəl
A	0.907	0.89	0.36	provided	brevet aide	pɹəvaɪdɪd
A	0.907	0.89	0.36	reminded	romanes aide	ɹɪmaɪndɪd
A	0.907	1.0	0.36	treatments	trient bintje	tɹiːtmənts
A	0.906	0.86	0.3	believers	blés aise	bɪliːvəz
A	0.906	1.0	0.36	extending	axent haines in	ɛkstɛndɪŋ
A	0.906	0.86	0.24	titled	tant halte	taɪtəld
A	0.906	0.92	0.36	unacceptable	iniques aiment belle	ʌnɐksɛptəbəl
A	0.905	1.0	0.36	laboratories	libérait reims	lɐbɒɹətɹɪz
A	0.905	1.0	0.36	monarch	mon oc	mɒnək
A	0.904	0.88	0.18	defining	divan in	dɪfaɪnɪŋ
A	0.904	1.0	0.35	digits	dit gypse	dɪdʒɪts
A	0.904	1.0	0.36	landed	lin dites	lændɪd
A	0.904	1.0	0.36	landing	lin digne	lændɪŋ
A	0.904	1.0	0.36	monkeys	mon guise	mʌnkɪz
A	0.904	1.0	0.36	victim	piquent aime	vɪktɪm
A	0.903	0.88	0.2	investing	nouées teigne	ɪnvɛstɪŋ
A	0.903	1.0	0.36	prevention	prison chaîne	pɹɪvɛnʃən
A	0.903	0.89	0.36	secondary	déconnent ri	sɛkəndəɹi
A	0.903	0.88	0.3	survival	ces aval	səvaɪvəl
A	0.903	0.88	0.3	template	tain plainte	tɛmpleɪt
A	0.903	0.86	0.2	wardrobe	vont robe	wɔːdɹəʊb
A	0.902	1.0	0.3	concrete	khan crête	kɒŋkɹiːt
A	0.902	1.0	0.36	gentlemen	jet allemagne	dʒɛntəlmən
A	0.902	0.86	0.2	sliding	soient in	slaɪdɪŋ
A	0.901	1.0	0.3	alumni	élan ni	ɐlʌmni
A	0.901	1.0	0.3	compression	con prochaine	kəmpɹɛʃən
A	0.901	1.0	0.36	sponsored	spots aide	spɒnsəd
A	0.9	1.0	0.3	wander	van des	wɒndɐ
A	0.9	1.0	0.3	wonder	van des	wʌndɐ
S	1.0	1.0	0.0	creature	crient chez	kɹiːtʃɐ
S	1.0	1.0	0.0	feature	fient chez	fiːtʃɐ
S	1.0	1.0	0.0	preacher	prient chez	pɹiːtʃɐ
S	0.983	1.0	0.12	creatures	crient chaise	kɹiːtʃəz
S	0.983	1.0	0.12	friendly	freinent lis	fɹɛndli
S	0.983	1.0	0.1	picture	piquent chez	pɪktʃɐ
