a	b	hops	quality	subchain
en:seize	fr:sises	2	0.992	~ en:seize ≈ fr:sise fr:sises
en:seize	en:seas	3	0.992	~ en:seize ≈ fr:sise fr:sises ≈ en:seas
en:seize	fr:rse	4	0.992	~ en:seize ≈ fr:sise fr:sises ≈ en:seas ~ fr:rse
fr:sise	en:seas	2	0.992	≈ fr:sise ~ fr:sises ≈ en:seas
fr:sise	fr:rse	3	0.992	≈ fr:sise ~ fr:sises ≈ en:seas fr:rse
fr:sises	fr:rse	2	0.992	~ fr:sises ≈ en:seas ~ fr:rse
en:grill	en:grille	2	0.992	en:grill ~ fr:grill ≈ en:grille
en:grill	fr:grille	3	0.992	en:grill ~ fr:grill ≈ en:grille ~ fr:grille
fr:grill	fr:grille	2	0.992	~ fr:grill en:grille ~ fr:grille
en:lease	fr:lumière	2	0.992	en:lease ≈ fr:lys ~ fr:lumière
en:rev	fr:rêvant	2	0.992	en:rev ≈ fr:rêve ~ fr:rêvant
en:says	en:seize	2	0.992	en:says ≈ fr:seize ~ en:seize
en:says	fr:sise	3	0.992	en:says ≈ fr:seize ~ en:seize ≈ fr:sise
en:says	fr:sises	4	0.992	en:says ≈ fr:seize ~ en:seize ≈ fr:sise ~ fr:sises
en:says	en:seas	5	0.992	en:says ≈ fr:seize ~ en:seize ≈ fr:sise ~ fr:sises ≈ en:seas
en:says	fr:rse	6	0.992	en:says ≈ fr:seize ~ en:seize ≈ fr:sise ~ fr:sises ≈ en:seas ~ fr:rse
fr:seize	fr:sise	2	0.992	≈ fr:seize en:seize ≈ fr:sise
fr:seize	fr:sises	3	0.992	≈ fr:seize en:seize ≈ fr:sise ~ fr:sises
fr:seize	en:seas	4	0.992	≈ fr:seize en:seize ≈ fr:sise ~ fr:sises ≈ en:seas
fr:seize	fr:rse	5	0.992	≈ fr:seize en:seize ≈ fr:sise ~ fr:sises ≈ en:seas ~ fr:rse
fr:shootes	en:chute	3	0.992	~ fr:shootes en:shoot ~ fr:shoot ≈ en:chute
en:shooting	en:shoot	2	0.992	en:shooting ~ fr:shootes ≈ en:shoot
en:shooting	fr:shoot	3	0.992	en:shooting ~ fr:shootes ≈ en:shoot ~ fr:shoot
en:shooting	en:chute	4	0.992	en:shooting ~ fr:shootes ≈ en:shoot ~ fr:shoot ≈ en:chute
en:shooting	fr:chute	5	0.992	en:shooting ~ fr:shootes ≈ en:shoot ~ fr:shoot ≈ en:chute ~ fr:chute
en:terror	fr:terra	2	0.992	en:terror ≈ fr:terre ~ fr:terra
en:keck	fr:gâteau	2	0.991	en:keck ≈ fr:cake ~ fr:gâteau
en:pair	fr:padre	2	0.991	en:pair ≈ fr:pères ~ fr:padre
en:vest	fr:sait	2	0.991	en:vest ≈ fr:veste ~ fr:sait
en:bean	fr:gueux	2	0.990	en:bean ≈ fr:bines ~ fr:gueux
en:caught	fr:cote	2	0.990	en:caught ≈ fr:cotes ~ fr:cote
en:caught	fr:court	4	0.990	en:caught ≈ fr:cotes ~ fr:cote ≈ en:court ~ fr:court
fr:cotes	fr:court	3	0.990	≈ fr:cotes fr:cote ≈ en:court ~ fr:court
fr:cote	fr:court	2	0.990	~ fr:cote ≈ en:court fr:court
en:shot	en:chute	4	0.990	en:shot ~ fr:shootes ≈ en:shoot ~ fr:shoot ≈ en:chute
en:shot	fr:chute	5	0.990	en:shot ~ fr:shootes ≈ en:shoot ~ fr:shoot ≈ en:chute ~ fr:chute
en:shot	en:shoot	2	0.990	en:shot ~ fr:shootes ≈ en:shoot
en:shot	fr:shoot	3	0.990	en:shot ~ fr:shootes ≈ en:shoot ~ fr:shoot
fr:gin	en:gene	4	0.990	≈ fr:gin fr:gins ≈ en:jean ~ fr:jean ≈ en:gene
fr:gin	fr:gene	5	0.990	≈ fr:gin fr:gins ≈ en:jean ~ fr:jean ≈ en:gene ~ fr:gene
en:seize	en:sees	3	0.990	~ en:seize ≈ fr:sise fr:sises ≈ en:sees
en:seize	fr:vues	4	0.990	~ en:seize ≈ fr:sise fr:sises ≈ en:sees ~ fr:vues
fr:sise	en:sees	2	0.990	≈ fr:sise ~ fr:sises ≈ en:sees
fr:sise	fr:vues	3	0.990	≈ fr:sise ~ fr:sises ≈ en:sees fr:vues
fr:sises	fr:vues	2	0.990	~ fr:sises ≈ en:sees ~ fr:vues
en:fort	en:for	2	0.990	≈ en:fort ~ fr:fort en:for
en:fort	fr:for	3	0.990	≈ en:fort ~ fr:fort en:for ~ fr:for
fr:fort	fr:for	2	0.990	~ fr:fort ≈ en:for ~ fr:for
en:fresh	fr:fraîche	2	0.990	en:fresh ≈ fr:fraîches ~ fr:fraîche
en:fresh	fr:fraîches	2	0.990	en:fresh ≈ fr:fraîche ~ fr:fraîches
en:jinn	en:jean	3	0.990	en:jinn ≈ fr:gin ~ fr:gins ≈ en:jean
en:jinn	fr:jean	4	0.990	en:jinn ≈ fr:gin ~ fr:gins ≈ en:jean ~ fr:jean
en:jinn	en:gene	5	0.990	en:jinn ≈ fr:gin ~ fr:gins ≈ en:jean ~ fr:jean ≈ en:gene
en:jinn	fr:gene	6	0.990	en:jinn ≈ fr:gin ~ fr:gins ≈ en:jean ~ fr:jean ≈ en:gene ~ fr:gene
en:jinn	fr:gins	2	0.990	en:jinn ≈ fr:gin ~ fr:gins
en:says	en:sees	5	0.990	en:says ≈ fr:seize ~ en:seize ≈ fr:sise ~ fr:sises ≈ en:sees
en:says	fr:vues	6	0.990	en:says ≈ fr:seize ~ en:seize ≈ fr:sise ~ fr:sises ≈ en:sees ~ fr:vues
fr:seize	en:sees	4	0.990	≈ fr:seize en:seize ≈ fr:sise ~ fr:sises ≈ en:sees
fr:seize	fr:vues	5	0.990	≈ fr:seize en:seize ≈ fr:sise ~ fr:sises ≈ en:sees ~ fr:vues
en:strong	en:fort	2	0.990	en:strong = fr:forte ≈ en:fort
en:strong	fr:fort	3	0.990	en:strong = fr:forte ≈ en:fort ~ fr:fort
fr:forte	fr:fort	2	0.990	= fr:forte en:fort ~ fr:fort
en:strong	en:for	4	0.990	en:strong = fr:forte ≈ en:fort ~ fr:fort ≈ en:for
en:strong	fr:for	5	0.990	en:strong = fr:forte ≈ en:fort ~ fr:fort ≈ en:for ~ fr:for
fr:forte	en:for	3	0.990	= fr:forte en:fort ~ fr:fort ≈ en:for
fr:forte	fr:for	4	0.990	= fr:forte en:fort ~ fr:fort ≈ en:for ~ fr:for
en:kami	fr:oui	2	0.989	en:kami ~ en:we ≈ fr:oui
en:kami	fr:sim	3	0.989	en:kami ~ en:we ≈ fr:oui ~ fr:sim
en:jefe	en:boss	2	0.989	en:jefe ~ fr:bosse ≈ en:boss
en:jefe	fr:boss	3	0.989	en:jefe ~ fr:bosse ≈ en:boss ~ fr:boss
fr:bosse	fr:boss	2	0.989	~ fr:bosse en:boss ~ fr:boss
en:keck	fr:gâteaux	2	0.989	en:keck ≈ fr:cakes ~ fr:gâteaux
en:mi	en:me	2	0.989	en:mi ~ fr:mi ≈ en:me
en:mi	fr:mani	3	0.989	en:mi ~ fr:mi ≈ en:me ~ fr:mani
fr:mi	fr:mani	2	0.989	~ fr:mi en:me ~ fr:mani
en:moody	fr:pie dits	2	0.989	en:moody ≈ fr:mous dits ~ fr:pie dits
en:moody	en:pd	3	0.989	en:moody ≈ fr:mous dits ~ fr:pie dits ≈ en:pd
en:moody	fr:pd	4	0.989	en:moody ≈ fr:mous dits ~ fr:pie dits ≈ en:pd ~ fr:pd
fr:mous dits	en:pd	2	0.989	≈ fr:mous dits fr:pie dits ≈ en:pd
fr:mous dits	fr:pd	3	0.989	≈ fr:mous dits fr:pie dits ≈ en:pd ~ fr:pd
fr:pie dits	fr:pd	2	0.989	~ fr:pie dits ≈ en:pd fr:pd
en:vest	fr:sais	2	0.989	en:vest ≈ fr:veste ~ fr:sais
en:carport	fr:capot	2	0.988	en:carport ≈ fr:capote ~ fr:capot
en:seize	fr:voit	4	0.988	~ en:seize ≈ fr:sise fr:sises ≈ en:sees = fr:voit
fr:sise	fr:voit	3	0.988	≈ fr:sise ~ fr:sises ≈ en:sees fr:voit
fr:sises	fr:voit	2	0.988	~ fr:sises ≈ en:sees = fr:voit
en:seize	en:says	2	0.988	≈ en:seize ~ fr:seize ≈ en:says
en:seize	fr:dit	3	0.988	≈ en:seize ~ fr:seize ≈ en:says fr:dit
fr:seize	fr:dit	2	0.988	~ fr:seize ≈ en:says = fr:dit
en:debt	en:seas	2	0.988	en:debt ≈ fr:dettes ~ en:seas
en:debt	fr:sise	3	0.988	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise
en:debt	fr:sises	4	0.988	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises
en:debt	en:seize	5	0.988	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises ≈ en:seize
en:debt	fr:seize	6	0.988	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize
fr:dettes	fr:sises	3	0.988	≈ fr:dettes en:seas ≈ fr:sise ~ fr:sises
fr:dettes	en:seize	4	0.988	≈ fr:dettes en:seas ≈ fr:sise ~ fr:sises ≈ en:seize
fr:dettes	fr:seize	5	0.988	≈ fr:dettes en:seas ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize
en:seas	fr:sises	2	0.988	~ en:seas ≈ fr:sise fr:sises
en:seas	en:seize	3	0.988	~ en:seas ≈ fr:sise fr:sises ≈ en:seize
en:seas	fr:seize	4	0.988	~ en:seas ≈ fr:sise fr:sises ≈ en:seize ~ fr:seize
fr:sise	en:seize	2	0.988	≈ fr:sise ~ fr:sises ≈ en:seize
fr:sise	fr:seize	3	0.988	≈ fr:sise ~ fr:sises ≈ en:seize fr:seize
fr:sises	fr:seize	2	0.988	~ fr:sises ≈ en:seize ~ fr:seize
fr:ferry	fr:mets rient	3	0.988	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:mets rient
fr:ferry	en:merry	4	0.988	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:mets rient ≈ en:merry
fr:ferry	fr:joyeux	5	0.988	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:mets rient ≈ en:merry = fr:joyeux
en:ferry	fr:mets rient	2	0.988	~ en:ferry ≈ fr:faits rient fr:mets rient
en:ferry	en:merry	3	0.988	~ en:ferry ≈ fr:faits rient fr:mets rient ≈ en:merry
en:ferry	fr:joyeux	4	0.988	~ en:ferry ≈ fr:faits rient fr:mets rient ≈ en:merry = fr:joyeux
fr:faits rient	en:merry	2	0.988	≈ fr:faits rient ~ fr:mets rient ≈ en:merry
fr:faits rient	fr:joyeux	3	0.988	≈ fr:faits rient ~ fr:mets rient ≈ en:merry fr:joyeux
fr:mets rient	fr:joyeux	2	0.988	~ fr:mets rient ≈ en:merry = fr:joyeux
fr:ferry	fr:joyeuse	5	0.988	≈ fr:ferry en:ferry ≈ fr:faits rient ~ fr:mets rient ≈ en:merry = fr:joyeuse
en:ferry	fr:joyeuse	4	0.988	~ en:ferry ≈ fr:faits rient fr:mets rient ≈ en:merry = fr:joyeuse
fr:faits rient	fr:joyeuse	3	0.988	≈ fr:faits rient ~ fr:mets rient ≈ en:merry fr:joyeuse
fr:mets rient	fr:joyeuse	2	0.988	~ fr:mets rient ≈ en:merry = fr:joyeuse
en:fairy	fr:mets rient	4	0.988	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:mets rient
en:fairy	en:merry	5	0.988	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:mets rient ≈ en:merry
en:fairy	fr:joyeux	6	0.988	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:mets rient ≈ en:merry = fr:joyeux
en:fairy	fr:joyeuse	6	0.988	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient ~ fr:mets rient ≈ en:merry = fr:joyeuse
en:fetter	fr:célébré	2	0.988	en:fetter ≈ fr:fêter ~ fr:célébré
en:gene	fr:gins	3	0.988	~ en:gene fr:jean ~ en:jean ≈ fr:gins
en:genes	en:jean	3	0.988	en:genes ~ en:gene ≈ fr:jean ~ en:jean
en:genes	fr:gins	4	0.988	en:genes ~ en:gene ≈ fr:jean ~ en:jean ≈ fr:gins
en:genes	fr:gin dôme	5	0.988	en:genes ~ en:gene ≈ fr:jean ~ en:jean ≈ fr:gins ~ fr:gin dôme
en:knew	fr:nas	2	0.988	en:knew ≈ fr:nous ~ fr:nas
en:merry	fr:faits rient	2	0.988	en:merry ≈ fr:mets rient ~ fr:faits rient
en:merry	en:ferry	3	0.988	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry
en:merry	fr:ferry	4	0.988	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry ~ fr:ferry
en:merry	en:fairy	5	0.988	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry ~ fr:ferry ≈ en:fairy
en:merry	fr:fées	6	0.988	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry ~ fr:ferry ≈ en:fairy = fr:fées
fr:mets rient	en:ferry	2	0.988	≈ fr:mets rient fr:faits rient ≈ en:ferry
fr:mets rient	fr:ferry	3	0.988	≈ fr:mets rient fr:faits rient ≈ en:ferry ~ fr:ferry
fr:mets rient	en:fairy	4	0.988	≈ fr:mets rient fr:faits rient ≈ en:ferry ~ fr:ferry ≈ en:fairy
fr:mets rient	fr:fées	5	0.988	≈ fr:mets rient fr:faits rient ≈ en:ferry ~ fr:ferry ≈ en:fairy = fr:fées
fr:faits rient	fr:ferry	2	0.988	~ fr:faits rient ≈ en:ferry fr:ferry
fr:faits rient	en:fairy	3	0.988	~ fr:faits rient ≈ en:ferry fr:ferry ≈ en:fairy
fr:faits rient	fr:fées	4	0.988	~ fr:faits rient ≈ en:ferry fr:ferry ≈ en:fairy = fr:fées
en:ferry	en:fairy	2	0.988	≈ en:ferry ~ fr:ferry ≈ en:fairy
en:ferry	fr:fées	3	0.988	≈ en:ferry ~ fr:ferry ≈ en:fairy fr:fées
fr:ferry	fr:fées	2	0.988	~ fr:ferry ≈ en:fairy = fr:fées
en:merry	fr:fée	6	0.988	en:merry ≈ fr:mets rient ~ fr:faits rient ≈ en:ferry ~ fr:ferry ≈ en:fairy = fr:fée
fr:mets rient	fr:fée	5	0.988	≈ fr:mets rient fr:faits rient ≈ en:ferry ~ fr:ferry ≈ en:fairy = fr:fée
fr:faits rient	fr:fée	4	0.988	~ fr:faits rient ≈ en:ferry fr:ferry ≈ en:fairy = fr:fée
en:ferry	fr:fée	3	0.988	≈ en:ferry ~ fr:ferry ≈ en:fairy fr:fée
fr:ferry	fr:fée	2	0.988	~ fr:ferry ≈ en:fairy = fr:fée
en:new	fr:nas	2	0.988	en:new ≈ fr:nous ~ fr:nas
en:newer	fr:nas	2	0.988	en:newer ≈ fr:nous ~ fr:nas
en:nu	fr:nas	2	0.988	en:nu ≈ fr:nous ~ fr:nas
en:says	fr:voit	6	0.988	en:says ≈ fr:seize ~ en:seize ≈ fr:sise ~ fr:sises ≈ en:sees = fr:voit
fr:seize	fr:voit	5	0.988	≈ fr:seize en:seize ≈ fr:sise ~ fr:sises ≈ en:sees = fr:voit
en:seas	en:says	5	0.988	en:seas ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize ≈ en:says
en:seas	fr:dit	6	0.988	en:seas ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize ≈ en:says = fr:dit
fr:sise	en:says	4	0.988	≈ fr:sise fr:sises ≈ en:seize ~ fr:seize ≈ en:says
fr:sise	fr:dit	5	0.988	≈ fr:sise fr:sises ≈ en:seize ~ fr:seize ≈ en:says = fr:dit
fr:sises	en:says	3	0.988	~ fr:sises ≈ en:seize fr:seize ≈ en:says
fr:sises	fr:dit	4	0.988	~ fr:sises ≈ en:seize fr:seize ≈ en:says = fr:dit
en:sees	fr:sises	2	0.988	en:sees ≈ fr:sise ~ fr:sises
en:sees	en:seize	3	0.988	en:sees ≈ fr:sise ~ fr:sises ≈ en:seize
en:sees	fr:seize	4	0.988	en:sees ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize
en:sees	en:says	5	0.988	en:sees ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize ≈ en:says
en:sees	fr:dit	6	0.988	en:sees ≈ fr:sise ~ fr:sises ≈ en:seize ~ fr:seize ≈ en:says = fr:dit
en:sued	fr:soudés	2	0.988	en:sued ≈ fr:soudent ~ fr:soudés
en:tarty	fr:baba	2	0.988	en:tarty ≈ fr:tati ~ fr:baba
en:terrors	fr:terra	3	0.988	en:terrors ~ en:terror ≈ fr:terre ~ fr:terra
en:bean	fr:bondir	2	0.987	en:bean ≈ fr:binent ~ fr:bondir
en:cell	fr:verte	2	0.987	en:cell ≈ fr:selles ~ fr:verte
en:jeep	en:gip	2	0.987	en:jeep ~ fr:jeep ≈ en:gip
en:jeep	fr:égyptien	3	0.987	en:jeep ~ fr:jeep ≈ en:gip ~ fr:égyptien
fr:jeep	fr:égyptien	2	0.987	~ fr:jeep en:gip ~ fr:égyptien
en:room	en:rumor	2	0.987	en:room ~ fr:room ≈ en:rumor
en:room	fr:rumeur	3	0.987	en:room ~ fr:room ≈ en:rumor ~ fr:rumeur
