component_id	component_weight	homophonic_hops	node	rank_score	semantic_strings	path	path_edge_scores	attached_count	has_multi	has_generated	attachments
en:addresses	0.95	0	fr:adresse	0.9008	en:address | en:addresses | fr:adresse | fr:adresses	fr:adresse		2	0	0	dress->adresse[whole:A:0.822]; address->adresse[whole:A:0.81]
en:addresses	0.95	0	fr:adresses	0.9008	en:address | en:addresses | fr:adresse | fr:adresses	fr:adresses		4	0	0	dress->adresses[whole:A:0.822]; address->adresses[whole:A:0.81]; irs->adresses[whole:B:0.723]; rs->adresses[whole:B:0.71]
en:affects	0.95	0	en:affect	0.9002	en:affect | en:affects | fr:affect | fr:affectent	en:affect		3	0	0	affect->affect[whole:A:0.818]; affect->affecte[whole:A:0.81]; affect->affectent[whole:A:0.81]
en:affects	0.95	0	fr:affect	0.9002	en:affect | en:affects | fr:affect | fr:affectent	fr:affect		8	0	0	affect->affect[whole:A:0.818]; defect->affect[whole:B:0.764]; perfect->affect[whole:B:0.753]; affects->affect[whole:B:0.706]; affected->affect[whole:B:0.704]; aspect->affect[whole:B:0.688]; defects->affect[whole:B:0.666]; affecting->affect[whole:B:0.665]
en:addresses	0.95	0	en:address	0.899	en:address | en:addresses | fr:adresse | fr:adresses	en:address		3	0	0	address->adresse[whole:A:0.81]; address->adressent[whole:A:0.81]; address->adresses[whole:A:0.81]
en:affects	0.95	0	fr:affectent	0.899	en:affect | en:affects | fr:affect | fr:affectent	fr:affectent		3	0	0	affect->affectent[whole:A:0.81]; effect->affectent[whole:A:0.786]; perfect->affectent[whole:B_safe:0.753]
en:antique	0.95	0	fr:antiques	0.8907	en:antique | fr:antiques | fr:en tic	fr:antiques		1	0	0	antique->antiques[whole:B_safe:0.755]
en:arc	0.95	0	en:arc	0.8885	en:arc | fr:arc | fr:arcs	en:arc		1	0	0	arc->arc[whole:B:0.74]
en:arc	0.95	0	fr:arc	0.8885	en:arc | fr:arc | fr:arcs	fr:arc		6	0	0	arc->arc[whole:B:0.74]; ark->arc[whole:B:0.74]; dark->arc[whole:B:0.693]; darker->arc[whole:B:0.693]; idk->arc[whole:B:0.666]; stark->arc[whole:B:0.663]
en:air	0.95	1	fr:aires	0.8875	en:air | fr:air | fr:airs	en:air -> fr:aires	1.0	4	1	0	air->aires[whole:S:1]; error->aires[whole:S:1]; heir->aires[whole:S:1]; errors->aires aise[multi:A:0.785]
en:act	0.95	0	en:act	0.887	en:act | fr:actes	en:act		1	0	0	act->actes[whole:B_safe:0.73]
en:acoustic	0.95	0	fr:acoustique	0.8861	en:acoustic | fr:acoustique	fr:acoustique		1	0	0	acoustic->acoustique[whole:B_safe:0.724]
en:aggressive	0.95	0	en:aggressive	0.8861	en:aggressive | fr:agressive	en:aggressive		1	0	0	aggressive->agressive[whole:B_safe:0.724]
en:aggressive	0.95	0	fr:agressive	0.8861	en:aggressive | fr:agressive	fr:agressive		1	0	0	aggressive->agressive[whole:B_safe:0.724]
en:affects	0.95	0	en:affects	0.8834	en:affect | en:affects | fr:affect | fr:affectent	en:affects		1	0	0	affects->affect[whole:B:0.706]
en:arbitrary	0.95	0	en:arbitrary	0.8792	en:arbitrary | fr:arbitraire | fr:arbitraires	en:arbitrary		1	0	0	arbitrary->arbitraire[whole:B:0.678]
en:arbitrary	0.95	0	fr:arbitraire	0.8792	en:arbitrary | fr:arbitraire | fr:arbitraires	fr:arbitraire		1	0	0	arbitrary->arbitraire[whole:B:0.678]
en:actress	0.95	0	en:actress	0.8787	en:actress | fr:actrice | fr:actrices	en:actress		1	0	0	actress->actrice[whole:B:0.675]
en:actress	0.95	0	fr:actrice	0.8787	en:actress | fr:actrice | fr:actrices	fr:actrice		1	0	0	actress->actrice[whole:B:0.675]
en:album	0.95	0	en:album	0.874	en:album | fr:album | fr:albums	en:album		1	0	0	album->album[whole:B:0.643]
en:album	0.95	0	fr:album	0.874	en:album | fr:album | fr:albums	fr:album		1	0	0	album->album[whole:B:0.643]
en:active	0.95	1	fr:active	0.8655	en:active | fr:actives	en:active -> fr:active	0.956	5	1	0	active->active[whole:S:0.956]:æk+tɪv; octave->active[whole:S:0.956]:ɒk+tɪv; productive->prêt active[multi:S:0.949]; protective->prêt active[multi:A:0.936]; detective->dit active[multi:A:0.93]
en:acoustic	0.95	1	fr:égouts tic	0.8635	en:acoustic | fr:acoustique	en:acoustic -> fr:égouts tic	0.952	1	1	0	acoustic->égouts tic[multi:S:0.952]
en:addresses	0.95	1	fr:adrets aise	0.86	en:address | en:addresses | fr:adresse | fr:adresses	en:addresses -> fr:adrets aise	0.945	1	1	0	addresses->adrets aise[multi:S:0.945]
en:air	0.95	1	en:error	0.8475	en:air | fr:air | fr:airs	fr:air -> en:error	1.0	4	0	0	error->air[whole:S:1]; error->aires[whole:S:1]; error->airs[whole:S:1]; error->ère[whole:S:1]
en:activist	0.95	1	fr:actes est	0.8465	en:activist | fr:activistes	en:activist -> fr:actes est	0.918	1	1	0	activist->actes est[multi:A:0.918]
en:affects	0.95	1	en:affected	0.7737	en:affect | en:affects | fr:affect | fr:affectent	fr:affect -> en:affected	0.704	2	1	0	affected->évoquent aide[multi:S:0.932]; affected->affect[whole:B:0.704]
en:active	0.95	2	en:octave	0.7455	en:active | fr:actives	en:active -> fr:active -> en:octave	0.956,0.956	1	0	0	octave->active[whole:S:0.956]:ɒk+tɪv
en:act	0.95	2	fr:rixe	0.7312	en:act | fr:actes	fr:actes -> en:racked -> fr:rixe	0.683,0.881	20	1	0	reeks->rixe[whole:S:1]:ɹi+ks; wreaks->rixe[whole:S:1]:ɹi+ks; ricks->rixe[whole:S:0.975]:ɹɪ+ks; matrix->met rixe[multi:A:0.96]; racks->rixe[whole:A:0.94]:ɹæ+ks; reeked->rixe[whole:A:0.94]:ɹi+kt; rucks->rixe[whole:A:0.94]:ɹʌ+ks; wracks->rixe[whole:A:0.94]:ɹæ+ks; wreaked->rixe[whole:A:0.94]:ɹi+kt; wrecks->rixe[whole:A:0.94]:ɹɛ+ks; ricked->rixe[whole:A:0.915]:ɹɪ+kt; rigs->rixe[whole:A:0.915]:ɹɪ+ɡz
en:act	0.95	1	en:racked	0.7187	en:act | fr:actes	fr:actes -> en:racked	0.683	2	0	0	racked->rixe[whole:A:0.881]:ɹæ+kt; racked->actes[whole:B:0.683]
en:act	0.95	1	en:rucked	0.7187	en:act | fr:actes	fr:actes -> en:rucked	0.683	2	0	0	rucked->rixe[whole:A:0.881]:ɹʌ+kt; rucked->actes[whole:B:0.683]
en:arc	0.95	1	en:ark	0.7175	en:arc | fr:arc | fr:arcs	fr:arc -> en:ark	0.74	1	0	0	ark->arc[whole:B:0.74]
en:arc	0.95	1	en:dark	0.694	en:arc | fr:arc | fr:arcs	fr:arc -> en:dark	0.693	1	0	0	dark->arc[whole:B:0.693]
en:arc	0.95	1	en:darker	0.694	en:arc | fr:arc | fr:arcs	fr:arc -> en:darker	0.693	1	0	0	darker->arc[whole:B:0.693]
