component_id	component_weight	homophonic_hops	node	rank_score	semantic_strings	path	path_edge_scores	attached_count	has_multi	has_generated	attachments
en:breeze	0.95	1	en:bees	0.7709	en:breeze | fr:brise	fr:brise -> en:bees	0.781	4	0	0	bees->bise[whole:S:1]; bees->bises[whole:S:1]; bees->brise[whole:A:0.781]; bees->pise[whole:B_safe:0.73]
en:rose	0.95	1	en:rows	0.764	en:rose | fr:roses	fr:roses -> en:rows	0.833	2	0	0	rows->rose[whole:A:0.833]; rows->roses[whole:A:0.833]
en:roses	0.95	1	en:rows	0.764	en:roses | fr:rose	fr:rose -> en:rows	0.833	2	0	0	rows->rose[whole:A:0.833]; rows->roses[whole:A:0.833]
en:proves	0.95	1	fr:éprouvent	0.7601	en:prove | en:proves | fr:prouve	en:prove -> fr:éprouvent	0.822	2	0	0	approve->éprouvent[whole:A:0.833]; prove->éprouvent[whole:A:0.822]
en:breeze	0.95	1	en:breeds	0.7585	en:breeze | fr:brise	fr:brise -> en:breeds	0.822	3	0	0	breeds->bride[whole:A:0.822]; breeds->brise[whole:A:0.822]; breeds->bridge[whole:A:0.81]
en:breeze	0.95	1	fr:brisées	0.7585	en:breeze | fr:brise	en:breeze -> fr:brisées	0.822	1	0	0	breeze->brisées[whole:A:0.822]
en:breeze	0.95	1	fr:brisés	0.7585	en:breeze | fr:brise	en:breeze -> fr:brisés	0.822	1	0	0	breeze->brisés[whole:A:0.822]
en:proves	0.95	1	en:proved	0.7585	en:prove | en:proves | fr:prouve	fr:prouve -> en:proved	0.822	2	0	0	proved->prouve[whole:A:0.822]; proved->prouvent[whole:A:0.822]
en:western	0.95	1	en:quest	0.7585	en:west | en:western | fr:ouest	fr:ouest -> en:quest	0.822	2	0	0	quest->couette[whole:A:0.822]; quest->ouest[whole:A:0.822]
en:rose	0.95	2	fr:rose	0.743	en:rose | fr:roses	fr:roses -> en:rows -> fr:rose	0.833,0.833	2	1	0	destroys->dissent rose[multi:A:0.96]; rows->rose[whole:A:0.833]
en:proves	0.95	1	en:proof	0.74	en:prove | en:proves | fr:prouve	fr:prouve -> en:proof	0.785	3	0	0	proof->prouve[whole:A:0.785]; proof->prouvent[whole:A:0.785]; proof->proue[whole:A:0.781]
en:western	0.95	1	en:worst	0.74	en:west | en:western | fr:ouest	fr:ouest -> en:worst	0.785	1	0	0	worst->ouest[whole:A:0.785]
en:western	0.95	1	en:wet	0.738	en:west | en:western | fr:ouest	fr:ouest -> en:wet	0.781	3	0	0	wet->chouettes[whole:A:0.781]; wet->couette[whole:A:0.781]; wet->ouest[whole:A:0.781]
en:breeze	0.95	2	fr:bise	0.7292	en:breeze | fr:brise	fr:brise -> en:bees -> fr:bise	0.781,1.0	8	0	0	bees->bise[whole:S:1]; beads->bise[whole:A:0.781]; beams->bise[whole:A:0.781]; beans->bise[whole:A:0.781]; beers->bise[whole:A:0.781]; peas->bise[whole:B_safe:0.73]; pease->bise[whole:B_safe:0.73]; pees->bise[whole:B_safe:0.73]
en:breeze	0.95	2	fr:bises	0.7292	en:breeze | fr:brise	fr:brise -> en:bees -> fr:bises	0.781,1.0	8	0	0	bees->bises[whole:S:1]; beads->bises[whole:A:0.781]; beams->bises[whole:A:0.781]; beans->bises[whole:A:0.781]; beers->bises[whole:A:0.781]; peas->bises[whole:B_safe:0.73]; pease->bises[whole:B_safe:0.73]; pees->bises[whole:B_safe:0.73]
en:western	0.95	1	en:waist	0.7265	en:west | en:western | fr:ouest	fr:ouest -> en:waist	0.758	1	0	0	waist->ouest[whole:B_safe:0.758]
en:proves	0.95	2	en:approve	0.7113	en:prove | en:proves | fr:prouve	en:prove -> fr:prouvent -> en:approve	1.0,0.822	3	0	0	approve->éprouve[whole:A:0.833]; approve->éprouvent[whole:A:0.833]; approve->prouvent[whole:A:0.822]
en:roses	0.95	2	fr:roses	0.684	en:roses | fr:rose	fr:rose -> en:rows -> fr:roses	0.833,0.833	2	0	0	rose->roses[whole:A:0.833]; rows->roses[whole:A:0.833]
en:proves	0.95	2	fr:proue	0.6587	en:prove | en:proves | fr:prouve	fr:prouve -> en:proof -> fr:proue	0.785,0.781	1	0	0	proof->proue[whole:A:0.781]
