en	fr	combo	tier	cognate	src_en	src_fr	src_tier	zipf_en	zipf_fr
beaded	bides	0.923	DUAL-S	0	bead	bide	S	3.06	1.88
ceded	cid	0.923	DUAL-S	0	cede	cid	S	3.03	3.1
reeded	ride	0.923	DUAL-S	0	reed	ride	S	1.54	3.42
reeded	rides	0.923	DUAL-S	0	reed	ride	S	1.54	3.39
seizes	sise	0.92	DUAL-S	0	seize	sise	S	2.86	3.08
seizes	sises	0.92	DUAL-S	0	seize	sise	S	2.86	2.08
pauses	pose	0.92	DUAL-S	0	pause	pose	LOOP8	3.21	4.87
sorter	sors	0.92	DUAL-S	0	sorter	sort	GOLD	2.29	4.51
protest	protestent	0.912	DUAL-S	1	protest	protester	DUAL-S	4.45	3.08
stressed	stressent	0.904	DUAL-S	1	stress	stressé	DUAL-S	4.18	2.12
sexiest	sexistes	0.904	DUAL-S	1	sexy	sexistes	GOLD	3.22	3.28
sexiest	sexiste	0.904	DUAL-S	1	sexy	sexistes	GOLD	3.22	3.35
expressed	expresses	0.902	DUAL-S	1	express	expresse	DUAL-S	4.52	1.95
bistro	bistrots	0.9	DUAL-S	1	bistro	bistrot	DUAL-S	3.05	2.66
explores	explosent	0.9	DUAL-S	0	explore	explose	LOOP2	3.64	3.29
explores	explorent	0.899	DUAL-S	1	explore	explorant	DUAL-S	3.64	2.83
expresses	expresse	0.899	DUAL-S	1	express	expresse	DUAL-S	3.61	3.29
stressed	stressante	0.899	DUAL-S	1	stressed	stressant	GOLD	4.18	2.86
expressive	expressives	0.894	DUAL-S	1	expressive	expressif	DUAL-S	3.43	2.4
pretties	prise	0.89	DUAL-S	0	pretty	pris	A	2.08	5.04
escorts	escortent	0.889	DUAL-S	1	escort	escorte	DUAL-S	3.42	2.22
explore	explorées	0.889	DUAL-S	1	explore	explorant	DUAL-S	4.31	2.72
explore	explorée	0.889	DUAL-S	1	explore	explorant	DUAL-S	4.31	2.71
explorer	explorées	0.889	DUAL-S	1	explorer	explorant	DUAL-S	3.85	2.72
explorer	explorée	0.889	DUAL-S	1	explorer	explorant	DUAL-S	3.85	2.71
semester	semestres	0.886	DUAL-S	1	semester	semestre	DUAL-S	4.03	2.76
cliche	clichés	0.885	DUAL-S	1	cliche	cliché	DUAL-S	3.16	4.02
cliche	clichée	0.885	DUAL-S	1	cliche	cliché	DUAL-S	3.16	1.7
decor	décors	0.885	DUAL-S	0	decor	décor	DUAL-S	3.65	3.87
exile	exhalent	0.885	DUAL-S	0	exile	exhale	A	3.84	1.94
treaty	tris	0.883	DUAL-S	0	treaty	tri	A	4.31	2.9
pledged	plaide	0.882	DUAL-S	0	pledge	plaide	GOLD	3.64	3.53
pledged	plaident	0.882	DUAL-S	0	pledge	plaide	GOLD	3.64	2.87
pretext	prétextes	0.881	DUAL-S	1	pretext	prétexte	DUAL-S	3.27	3.19
explodes	explosent	0.878	DUAL-S	0	explode	explose	DUAL-S	3.41	3.29
mormon	mormone	0.875	DUAL-S	1	mormon	mormons	DUAL-S	3.67	2.23
escort	escorté	0.874	DUAL-S	1	escort	escorte	DUAL-S	4.0	3.01
escort	escorter	0.874	DUAL-S	1	escort	escorte	DUAL-S	4.0	2.97
escort	escortés	0.874	DUAL-S	1	escort	escorte	DUAL-S	4.0	2.66
escort	escortée	0.874	DUAL-S	1	escort	escorte	DUAL-S	4.0	2.46
except	exceptés	0.874	DUAL-S	1	except	excepté	DUAL-S	5.02	2.46
except	exceptée	0.874	DUAL-S	1	except	excepté	DUAL-S	5.02	2.45
except	exceptées	0.874	DUAL-S	1	except	excepté	DUAL-S	5.02	2.15
except	excepter	0.874	DUAL-S	1	except	excepté	DUAL-S	5.02	1.86
exhort	exhorté	0.874	DUAL-S	1	exhort	exhorte	GOLD	2.23	2.67
exhort	exhorter	0.874	DUAL-S	1	exhort	exhorte	GOLD	2.23	2.59
boutiques	boutique	0.872	DUAL-S	1	boutique	boutiques	S	2.89	4.36
sketched	sketchs	0.872	DUAL-S	1	sketch	sketchs	S	2.96	3.07
sketched	sketch	0.872	DUAL-S	1	sketch	sketchs	S	2.96	3.66
sketched	sketches	0.872	DUAL-S	1	sketch	sketchs	S	2.96	2.96
streak	stricts	0.872	DUAL-S	0	streaked	strict	S	4.06	3.06
policed	pelisse	0.872	DUAL-S	0	police	pelisse	A	2.54	2.0
excelled	excelle	0.87	DUAL-S	1	excel	excelle	DUAL-S	3.19	3.2
excelled	excel	0.87	DUAL-S	1	excels	excel	DUAL-S	3.19	3.5
reform	reforment	0.87	DUAL-S	1	reform	reforme	DUAL-S	4.53	2.06
regret	regrettes	0.87	DUAL-S	1	regret	regrette	DUAL-S	4.37	3.0
reverie	rêveries	0.87	DUAL-S	1	reverie	rêverie	DUAL-S	2.62	2.72
texted	texte	0.87	DUAL-S	1	text	texte	DUAL-S	3.45	5.08
texted	textes	0.87	DUAL-S	1	text	texte	DUAL-S	3.45	4.71
exhort	exhortant	0.87	DUAL-S	1	exhort	exhorte	GOLD	2.23	2.57
exhort	exhortait	0.87	DUAL-S	1	exhort	exhorte	GOLD	2.23	2.12
exhort	exhortons	0.87	DUAL-S	1	exhort	exhorte	GOLD	2.23	2.07
excessive	excessives	0.868	DUAL-S	1	excessive	excessif	DUAL-S	4.12	3.12
stresses	stresse	0.868	DUAL-S	1	stress	stressé	DUAL-S	3.62	3.25
stresses	stressent	0.868	DUAL-S	1	stress	stressé	DUAL-S	3.62	2.12
groupies	groupie	0.868	DUAL-S	1	groupie	groupies	S	2.62	2.7
sketches	sketchs	0.868	DUAL-S	1	sketch	sketchs	S	3.71	3.07
recipe	respirent	0.868	DUAL-S	0	recipe	respirer	LOOP6	4.23	3.06
polices	pelisse	0.868	DUAL-S	0	police	pelisse	A	2.68	2.0
prettier	pris	0.868	DUAL-S	0	pretty	pris	A	3.32	5.44
prettier	prit	0.868	DUAL-S	0	pretty	prit	A	3.32	4.33
prettier	prix	0.868	DUAL-S	0	pretty	prix	A	3.32	5.59
precept	préceptes	0.866	DUAL-S	1	precept	précepte	DUAL-S	2.58	3.25
prairies	prise	0.865	DUAL-S	0	prairie	prit	A	2.85	5.04
coupé	coupée	0.864	DUAL-S	1	coupé	coupe	DUAL-S	2.53	3.79
coupé	coupés	0.864	DUAL-S	1	coupé	coupe	DUAL-S	2.53	3.67
coupé	coupées	0.864	DUAL-S	1	coupé	coupe	DUAL-S	2.53	3.53
drogue	droguent	0.864	DUAL-S	1	drogue	drogues	DUAL-S	1.99	2.29
grosse	grosses	0.864	DUAL-S	1	grosse	gros	DUAL-S	2.71	4.54
naive	naïves	0.864	DUAL-S	0	naive	naïve	DUAL-S	3.75	2.67
yuko	ioukos	0.864	DUAL-S	0	yukos	ioukos	DUAL-S	2.46	1.6
testa	teste	0.864	DUAL-S	1	testa	tester	S	2.5	3.75
flora	flores	0.864	DUAL-S	0	flora	flore	STRICT-GOLD	3.7	3.04
testa	tests	0.864	DUAL-S	1	testa	test	LOOP2	2.5	4.43
climb	clament	0.864	DUAL-S	0	climb	clame	GOLD	4.22	2.57
media	midis	0.864	DUAL-S	0	media	midi	GOLD	5.3	2.92
mightier	marie	0.864	DUAL-S	0	mighty	marie	GOLD	2.52	5.03
mighty	mari	0.864	DUAL-S	0	mighty	maris	GOLD	4.1	4.8
mightier	maris	0.864	DUAL-S	0	mighty	maris	GOLD	2.52	3.61
mightier	mari	0.864	DUAL-S	0	mighty	maris	GOLD	2.52	4.8
prone	prônent	0.864	DUAL-S	0	prone	prône	GOLD	3.93	3.09
bride	bradent	0.864	DUAL-S	0	bride	brade	A	4.08	1.8
crime	crament	0.864	DUAL-S	0	crime	crame	A	4.89	1.99
flight	flattent	0.864	DUAL-S	0	flight	flatte	A	4.86	2.21
mightier	marient	0.864	DUAL-S	0	mighty	marient	A	2.52	3.34
riley	rallient	0.864	DUAL-S	0	riley	rallie	A	3.9	2.64
scout	skates	0.864	DUAL-S	0	scout	skate	A	3.97	1.97
pair	perdre	0.863	DUAL-S	0	pair	perd	LOOP2	4.72	5.02
suitor	sourdre	0.863	DUAL-S	0	suitor	sourd	GOLD	2.98	1.75
visas	vise	0.862	DUAL-S	0	visa	visas	DUAL-S	3.47	4.4
visas	visent	0.862	DUAL-S	0	visa	visent	GOLD	3.47	3.79
expect	expertes	0.862	DUAL-S	0	expect	experte	A	5.01	2.66
bistros	bistrot	0.861	DUAL-S	1	bistro	bistrot	DUAL-S	1.89	3.26
bistros	bistrots	0.861	DUAL-S	1	bistro	bistrot	DUAL-S	1.89	2.66
exposes	exposent	0.861	DUAL-S	1	expose	exposent	S	3.42	3.35
explored	explorer	0.859	DUAL-S	1	explore	explorant	DUAL-S	3.9	4.14
expressing	expresses	0.859	DUAL-S	0	express	expresse	DUAL-S	3.99	1.95
explores	explorer	0.858	DUAL-S	1	explore	explorant	DUAL-S	3.64	4.14
explores	exploré	0.858	DUAL-S	1	explore	explorant	DUAL-S	3.64	3.35
explores	explorées	0.858	DUAL-S	1	explore	explorant	DUAL-S	3.64	2.72
explores	explorée	0.858	DUAL-S	1	explore	explorant	DUAL-S	3.64	2.71
barer	berbère	0.858	DUAL-S	0	bare	berbère	A	1.63	3.17
barer	berbères	0.858	DUAL-S	0	bare	berbère	A	1.63	3.17
cc	scies	0.857	DUAL-S	0	cc	scie	A	4.15	2.77
cc	scient	0.857	DUAL-S	0	cc	scie	A	4.15	1.98
explored	explorant	0.856	DUAL-S	0	explore	explorant	DUAL-S	3.9	2.89
esteem	estimé	0.855	DUAL-S	0	esteem	estime	DUAL-S	3.9	4.3
esteem	estimer	0.855	DUAL-S	0	esteem	estime	DUAL-S	3.9	3.93
esteem	estimée	0.855	DUAL-S	0	esteem	estime	DUAL-S	3.9	3.84
excel	exceller	0.855	DUAL-S	1	excel	excelle	DUAL-S	3.73	2.64
excel	excellé	0.855	DUAL-S	1	excel	excelle	DUAL-S	3.73	2.42
stress	stresser	0.855	DUAL-S	1	stress	stressé	DUAL-S	4.73	3.16
stress	stressés	0.855	DUAL-S	1	stress	stressé	DUAL-S	4.73	2.87
reprove	réprouvent	0.855	DUAL-S	0	reprove	réprouve	S	1.79	1.78
explores	explorant	0.854	DUAL-S	0	explore	explorant	DUAL-S	3.64	2.89
extreme	exprime	0.854	DUAL-S	0	extreme	expriment	GOLD	4.6	4.27
expresses	exprès	0.853	DUAL-S	0	express	expresse	DUAL-S	3.61	4.13
glossier	gloss	0.852	DUAL-S	1	glossy	gloss	DUAL-S	1.99	2.86
marquees	marquise	0.852	DUAL-S	1	marquee	marquis	GOLD	2.23	3.46
marquees	marquises	0.852	DUAL-S	1	marquee	marquis	GOLD	2.23	2.73
