rime	fr	en
ti	abouti aboutit abruti abrutis amnesty amnistie anti apprenti apprentis appétit assorti averti	amnesty ante auntie bounty bt certainty christie christy county cruelty ct deity
il	april argile asile automobile automobiles avril baril brazzaville brésil cheville cils civil	appeal camille conceal deal dealer feel heal healer heel meal neal neil
iv	abusive active actives administrative administratives agressive alternative alternatives approximative archive archives arrive	achieve beaver believe believer conceive deceive eve fever grieve leave maldives naive
əm	extreme meme memes probleme problemes	activism adam album alcoholism algorithm aluminium aluminum anthem aquarium asylum atheism atom
is	aboutissent actrice actrices agisse agissent alice anaïs animatrice armistice artifice bis boris	cease crease decrease denise fleece geese grease greece increase lease masterpiece niece
ʒi	agi agis agit allergie allergies analogie anthologie apologie archéologie astrologie biologie bougie	allergy analogy angie anthology anthropology apology archaeology astrology avg bg biology biotechnology
ps	apocalypse philips éclipse	alps apes apocalypse apps bishops bumps camps caps championships champs chips chops
if	actif actifs adjectif administratif administratifs affectif agressif agressifs alternatif alternatifs associatif attentif	beef belief brief chief disbelief grief leaf motif reef relief thief
id	acide acides android astrid avide bide bride covid coïncide david décide décides	accompanied agreed bead bleed bodied breed breeder buried buzzfeed carried cedar cheerleader
ɹt	alerte alertes apporte apportent arrete bonaparte carte cartes certes charte chartes comporte	airport apart art bart cart chart cohort counterpart court dart davenport depart
ɛm	aime aiment aimes angoulême baptême barème bfm blasphème bohème carême chelem cinquième	atm bdsm blm bm chem cm condemn dem dm em fm gem
pt	accepte acceptent adapte adepte adeptes adopte adoptent apte aptes capte concept concepts	abrupt accept adapt adapter adept adopt apt attempt bankrupt bumped capped capt
zd	usd	abused accused advertised advised amazed amused analysed analyzed apologized aroused authorised authorized
mi	académie admis alchimie ami amie amies amis anatomie astronomie autonomie chimie commis	academy ami amy anatomy army astronomy autonomy bellamy blasphemy creamy demi dummy
ɔl	agricole alcool alcools bagnole bol boussole bémol bénévole capitole carol carole casserole	all ball baseball basketball bengal brawl call caller cornwall crawl downfall fall
ɹə	re	alberta alexandra algebra anita ankara apr aura aurora barbara beta calcutta camera
ət	pete societe tete	abbot abbott accurate adequate affectionate alternate appellate appropriate approximate ballot cabinet carrot
ɪm	dream stream	acclaim acronym aim anaheim anytime became bedtime blame came claim climb crime
ɔn	abandonne abandonnent amazon anglophone autochtone automne babylone barcelone bayonne bonn bonne bonnes	anon braun dawn drawn gone lawn on pawn sean shaun shawn spawn
ki	acquis conquis croquis jackie ki kiki lucky marquis qi qui requis ricky	albuquerque anarchy becky bulky cheeky cherokee chunky cocky cookie donkey frankie freaky
vi	avis bolivie davis devis elvis envi envie envies lévis moldavie parvis poursuivi	cctv chevy cv davey envy gravy harvey heavier heavy hiv itv ivy
im	abîme anime anonyme anonymes blanchiment centime centimes clim crime crimes déprime escrime	beam cream deem downstream dream esteem extreme mainstream meme redeem regime scheme
bi	albi arabie barbie bi brebis by cannabis colombie débit débits fbi habit	abbey abby adobe b baby bae barbie bb be bea bee bobby
uɹ	alentour alentours amour amours aujourd autour bonjour bourg bourre bravoure carrefour cherbourg	commuter computer contributor distributor prosecutor scooter shooter tutor
nə	ne	ana angelina anna antenna arena argentina arizona banana barcelona carolina china christina
ɹm	affirme affirment alarme arme armes charme charmes confirme confirment conforme conformes dorment	alarm arm armor armour charm conform dorm farm farmer firearm form former
oɹ	adorent améliorent dinosaures ignorent ores scores sonores torres	adore anymore ashore baltimore bangalore before boar bookstore bore commodore cor core
dɹ	alexandre andre apprendre atteindre attendre cadre cadres cendres cidre comprendre confondre contraindre	murderer
ut	ajoute ajoutent août autoroute autoroutes coute coûte coûtent croûte doute doutes déroute	absolute acute attribute beirut boot brute commute compute constitute contribute cute dispute
ɹs	adverse amorce bourse bourses commerce commerces controverse controverses corse corses course courses	arse coarse course discourse divorce endorse enforce farce fierce force horse intercourse
pi	cockpit copie copies dépit papi pi pie pipi pis répit tapis thérapie	asap bjp bp canopy chemotherapy copy cp crappy creepy crispy dp gdp
ɛd	accède aide aident aides concède cède décède entraide fred laid laide plaide	ahead ahmed bed bloodshed bread bred cheddar dead dread ed fed fled
ɛz	aise anglaise anglaises baise blaise chaise chaises congolaise corrèze diocèse falaise falaises	alvarez chavez fernandez gomez gonzalez hernandez lopez martinez perez ramirez res rodriguez
ɹn	bayern berne borne bornes caserne caverne concerne concernent corn corne cornes détourne	airborne barn born borne bourne corn corner darn garner horn mourn newborn
zi	anesthésie asie bourgeoisie brexit choisi choisie choisies choisis choisit courtoisie estrosi fantaisie	benghazi busy clumsy cosy cozy crazy daisy dizzy easier easy frenzy fuzzy
ju	caillou cailloux interview interviews review view voyou voyous you	argue barbecue bbq bmw btw continue cpu cue curfew cw debut eu
nɛ	albanais appartenaient appartenait apprenait bonnet bonnets brunet cabinet cabinets camerounais carnet carnets	rene
fi	autobiographie bibliographie biographie cartographie chorégraphie confie défi défie défis démographie fi fie	autobiography bibliography biography buffy catastrophe choreography coffee comfy duffy fe fee fluffy
ɛk	archevêque avec bec beck bibliothèque bibliothèques check cheikh chèque chèques daech dec	beck becker check cheque czech dec deck decker ec eq exec heck
ʃt	anderlecht	abolished accomplished approached attached banished breached brushed cherished coached crashed crushed demolished
uz	blouse douze house jalouse mulhouse pelouse toulouse épouse épouses	accuse andrews argues avenues blues booze brewers choose clues confuse continues crews
lt	adulte adultes alt consulte culte cultes halte insulte insultes malte occulte récolte	adult alt altar alter asphalt assault belt bolt built cobalt colt consult
ɹk	arc arcs barque cirque dunkerque débarque débarquent embarque marc marque marquent marques	arc ark ballpark bark barker benchmark clark clarke cork dark darker denmark
ip	bip chips clip clips equipe felipe grippe hip participe participent philip philippe	asleep beep cheap cheaper creep deep deeper goalkeeper heap housekeeper jeep keep
ɛf	bref brefs cf chef chefs edf f ff fief greffe jeff joseph	bf cf chef deaf def df eff f ff geoff gf jeff
ud	coude coudes	altitude argued attitude conclude construed continued crude debuted discontinued dude ensued exclude
ul	ampoule ampoules boule boules coule découle déroule foule foules moule moules poule	blackpool capsule cool cooler emmanuel fool highschool liverpool modular module molecule mule
lə	le	abdullah allah angela angola bella carla cinderella cola della dracula ebola ella
ɔt	anecdote aristote azote botte bottes boycott cagnotte capote carotte carottes charlotte chiottes	astronaut bought brought caught fought ought sought taught thought wrought
ɛv	achève brève brèves crève dev enlève geneviève genève grève grèves lève lèvent	clever dev endeavor endeavour ev ever forever however lever never rev trevor
ft	left microsoft soft swift ubisoft	aft after aircraft comfort craft daft discomfort draft drift effort gift graft
sk	basque basques brusque casque casques disque disques fisc fresque fresques gigantesque gigantesques	ask desk disc disk dusk esque madagascar mask mosque musk oscar picturesque
um	boum zoom	assume ballroom bathroom bedroom bloom boom broom classroom consume consumer costume courtroom
us	brousse douce douces larousse mousse pouce pouces pousse poussent pousses repousse rousse	abuse belarus bruce debuts excuse goose induce introduce juice loose misuse moose
ɔz	chose close compose dispose dose dépose explose expose glucose grandiose hypnose impose	applause cause clause claws draws flaws jaws laws pause paws
mə	me	alabama alma ama asthma burma charisma cinema coma dilemma diploma drama emma
mɛ	admet admets affirmait aimaient aimais aimait commet dormais dormait désormais estimait exprimait	meh
ʃi	anarchie archi chi chie clichy enrichi enrichit franchi franchit gâchis hiérarchie monarchie	apache archie catchy che gucci itchy karachi mitsubishi richie ritchie she shea
kə	lorsque presque puisque qq que quelque quelques	africa alaska america antarctica barca bianca circa coca erica francesca jamaica jessica
un	cameroun clown clowns	afternoon balloon boon boone cameroon cartoon commune honeymoon immune june lagoon lunar
əz	present	abbas adidas americas areas bahamas bananas cameras caracas cinemas diaz douglas dramas
up	coupe coupent coupes découpe group groupe groupes guadeloupe loupe oups regroupe soupe	coop cooper coup coupe group hoop hooper loop poop scoop snoop soup
ɔk	bangkok bloc block blocs choc chocs coloc coq doc hoc languedoc locke	chalk hawk sidewalk stalk stalker talk walk walker
ɹu	bayrou garou giroud gourou pérou roue roux trou trous	andrew breakthrough brew brewer crew drew grew guru hebrew kangaroo peru ru
ɔs	atroce boss bosse bosses brosse calvados cross crosse ecosse fosse fosses féroce	boss cross gloss lacrosse loss moss ross sauce strauss toss
də	de	ada agenda amanda bermuda bethesda brenda buddha canada de florida honda ida
ji	accueilli accueillie accueillis bobigny bouillie failli faillit ii iii iiie recueilli recueillies	jae ye yi
lf	adolphe elfes golf golfe ralph rodolphe	adolf elf golf golfer gulf herself himself itself milf myself oneself ralph
ɛʃ	ardèche bangladesh brèche crèche dépêche empêche empêchent flèche flèches fraîche fraîches lèche	bangladesh cheshire flesh fresh mesh pressure refresh
lu	chelou clou clous flou jaloux lou loue loup loups relou	blew blu blue clue flew flu glue honolulu lieu loo lou lu
ɔd	cod code commode episode exode god mod mode méthode ode prod période	abroad applaud broad broader claude flawed fraud
nj	accompagnent atteignent campagnes consignes craignent dignes désignent enseignes gagnent gagnes lignes montagnes	junior senior tenure
ɹb	absorbe barbe courbe courbes forbes herbe herbes perturbe proverbe serbe serbes superbe	absorb arbor barb barber carb harbor harbour
pl	ample constantinople couple couples disciple disciples exemple exemples multiple multiples naples peuple	simpler
ɹʃ	arche cherche cherchent cherches démarche démarches marche marchent marches patriarche perche porche	harsh marsh porsche
ɛʒ	beige collège collèges cortège liège manège neige neiges norvège piège pièges privilège	measure pleasure treasure
iʒ	corrige dirige dirigent exige exigent litige litiges oblige obligent pige piges prestige	leisure prestige seizure
uv	approuve prouve prouvent retrouve retrouvent retrouves trouve trouvent trouves éprouve	approve groove hoover improve maneuver move prove remove vancouver
uʃ	bouche bouches cartouche cartouches couche couches douche douches débouche louche mouche mouches	douche
ɛp	alep crêpe crêpes cégep dieppe ep ouaip rep step yep	doorstep ep pep pepper prep rep sep step yep
sə	ce se	alexa casa elsa isa lisa louisa melissa mesa pizza rosa salsa teresa
tu	atout atouts partout poitou surtout to tou tout toux	ii stew tattoo to too tu two wwii
iʃ	affiche affichent affiches autriche biche fiche fiches niche niches rich riche riches	derbyshire leash unleash
ɡl	aigle aigles angle angles aveugle aveugles jungle ongle ongles rectangle règle règles	burglar
iɡ	big bouygues digue fatigue fig ig intrigue intrigues leipzig ligue ligues	colleague eager fatigue intrigue league
ɹv	conserve conservent fervent larves observe observent préserve réserve réserves serve servent énerve	carve carver starve
ɔf	bof catastrophe christophe philosophe prof profs étoffe	cough kickoff off offer playoff runoff takeoff trough
ʒə	ge je	amnesia anesthesia asia elijah georgia indonesia malaysia ninja nostalgia persia raja tunisia
wi	jouit louis oui réjouis réjouit wi wii	kiwi malawi qui we wee wii zimbabwe
lm	calme calmes film filme films holmes malcolm palme stockholm	elm film helm realm wilhelm
bu	abou bambou bou boue bout bouts debout tabou	abu bamboo boo bu malibu taboo
du	doux mamadou pompidou	dew do doo du due hindu overdue purdue residue undo voodoo
ɛɡ	collègue collègues craig greg legs	beg egg greg gregg leg mcgregor meg peg winnipeg
ɡi	guy maggie	algae boogie buggy carnegie doggy fungi gi iggy maggie peggy piggy reggae
nu	genou genoux nou nounou nous	avenue canoe knew new newer nu renew revenue
və	ve xve	ava diva eva geneva java lava nova saliva shiva silva viva
tə	te	atlanta augusta costa delta fiesta gupta junta malta pasta santa vista
su	dessous dissous dissout saoul sou sous	pursue sewer sioux soo su sue
ku	beaucoup cou coucou coup coups coût coûts moscou secoue	coo cu ku
wɛ	fouet huawei jouaient jouais jouait jouet jouets mouais ouais outaouais tramway	que
ʃu	caoutchouc chou chouchou choux échoue	chew chu issue shoe statue tissue virtue
ɹl	arles charles hurle parle parlent parles perle perles	carl karl parlor
pɹ	apres chypre espere interrompre pourpre pre pres propre propres rompre	emperor
lv	valve	dissolve evolve involve resolve revolver silver solve twelve valve xii
ək	parceque	bullock havoc isaac massacre norfolk novak potomac stomach suffolk
sp	esp	crisp esp exp gasp grasp jasper prosper wasp whisper
əɹ	frere mere pere	predator proprietor quieter senator theater theatre
ɹp	corp harpe écharpe	corp harp harper sharp thorpe warp
ʒu	ajout anjou bijou bijoux joue	jew ju zhou
ɡu	dégoût gout goût goûts égout égouts	goo gu
pu	pou pouls poux époux	poo pooh pu shampoo
ɔɡ	blog blogs dog dogs	aug dawg log
zə	xxe	eliza gaza influenza plaza theresa visa
pə	pe	epa europa kappa napa papa tampa
uʒ	bouge bougent infrarouge rouge rouges	rouge
fu	fou fous fout	foo fu tofu
lp	alpes	help helper pulp scalp welp
uf	bouffe ouf étouffe	proof roof waterproof
kd	ocde	anchored conquered naked record wicked
uk	bouc	duke luc luke newark nuke
fə	fe	alpha fifa sofa uefa α
ub	doubs	boob cube tube uber youtube
ɹɔ	monroe	draw mcgraw raw straw withdraw
ib	antibes caraïbes habib pib	bieber
zu	bisou bisous résout	xu zoo
ls	valse	else false impulse pulse
mu	mahmoud mou remous	mu
fk	ufc	afc ofc ufc
vu	avoue vous	rendezvous
bn	ibn	melbourne stubborn
sl	isle	chrysler wrestler
tp	atp tpe	atp
uɡ	doug joug	cougar
əb	bebe	arab jacob
ʒɔ	joe	jaw
fp	afp	afp
ɹɡ	orgue	org
lɡ	algues	vulgar
nb	airbnb	airbnb
nɡ	singh	vinegar
