phrase	ipa	segs	count	score
willing to	wɪlɪŋtu	7	13	0.8554
brink of	bɹɪŋkʌv	7	5	0.8494
lapse of	læpsʌv	6	4	0.847
onto the	ɑntʊðə	6	5	0.8434
mixture of	mɪkstʃɚʌv	8	10	0.8427
discreet and	dɪskɹitænd	10	3	0.8402
devoid of	dɪvɔɪdʌv	8	3	0.8385
midst of	mɪdstʌv	7	15	0.8383
pair of	pɛɹʌv	5	22	0.8335
issuing from	ɪʃuɪŋfɹʌm	9	4	0.8321
bells there	bɛlzðɛɹ	7	3	0.8268
incapable of	ɪŋkeɪpəbəlʌv	12	17	0.8259
embodiment of	ɛmbɑdɪməntʌv	12	3	0.8249
contact with	kɑntæktwɪð	10	11	0.8245
tending to	tɛndɪŋtu	8	3	0.824
awaken in	ɐweɪkənɪn	9	3	0.8225
aversion to	ɐvɜʒəntu	8	4	0.819
refrain from	ɹᵻfɹeɪnfɹʌm	10	7	0.8176
prodigy of	pɹɑdɪdʒiʌv	10	3	0.8173
capable of	keɪpəbəlʌv	10	36	0.815
haul in	hɔlɪn	5	11	0.8114
lewis de	luɪsdə	6	3	0.8067
terminating in	tɜmᵻneɪɹɪŋɪn	11	3	0.8064
treatise on	tɹiɹɪzɔn	8	3	0.8055
attached to	ɐtætʃttu	8	33	0.7968
list of	lɪstʌv	6	13	0.7967
glimpse of	ɡlɪmpsʌv	8	18	0.7965
scores of	skoɹzʌv	7	5	0.7952
journal of	dʒɜnəlʌv	8	4	0.7922
rows of	ɹoʊzʌv	6	8	0.7918
reference to	ɹɛfɹənstu	9	20	0.7913
submitted to	səbmɪɹᵻdtu	9	5	0.7869
owing to	oʊɪŋtu	6	26	0.7866
sort of	sɔɹtʌv	6	164	0.7843
reduced to	ɹᵻdusttu	7	8	0.7829
addition to	ɐdɪʃəntu	8	10	0.7822
shrugged his	ʃɹʌɡdhɪz	8	8	0.776
endeavour to	ɛndɛvɚtu	7	30	0.7671
number of	nʌmbɚʌv	6	32	0.7643
won t	wʌnti	5	50	0.7635
obliged to	əblaɪdʒdtu	10	45	0.7633
renewal of	ɹᵻnjuəlʌv	8	6	0.7615
excess of	ɛksɛsʌv	7	9	0.7611
unwilling to	ʌnwɪlɪŋtu	9	13	0.7573
majority of	mədʒɔɹᵻɹiʌv	10	3	0.7558
tend to	tɛndtu	6	7	0.7554
cluster of	klʌstɚʌv	7	5	0.7547
intending to	ɪntɛndɪŋtu	10	8	0.7544
trying to	tɹaɪɪŋtu	8	22	0.754
applies to	ɐplaɪztu	8	4	0.7475
privilege of	pɹɪvᵻlɪdʒʌv	10	8	0.7433
census of	sɛnsəsʌv	8	4	0.7424
symptom of	sɪmptəmʌv	9	6	0.7414
compared with	kəmpɛɹdwɪð	10	13	0.7399
tottenham court	tɑtənæmkoɹt	11	4	0.7365
don t	dɑnti	5	155	0.7336
millions of	mɪliənzʌv	9	6	0.7325
temperature of	tɛmpɹɪtʃɚʌv	10	3	0.7325
conference with	kɑnfɹənswɪð	11	3	0.7323
selection of	sᵻlɛkʃənʌv	9	3	0.7309
compelled to	kəmpɛldtu	9	5	0.7302
opportunities of	ɑpɚtunᵻɹizʌv	10	3	0.7301
combination of	kɑmbᵻneɪʃənʌv	12	3	0.7301
scope for	skoʊpfɔɹ	8	4	0.7286
bunch of	bʌntʃʌv	7	6	0.7269
reminds me	ɹᵻmaɪndzmi	9	5	0.7263
complained of	kəmpleɪndʌv	11	4	0.7245
associated with	ɐsoʊsɪeɪɹᵻdwɪð	13	6	0.7235
collection of	kəlɛkʃənʌv	10	5	0.7212
tit bit	tɪtbɪt	6	3	0.7205
apologize for	ɐpɑlədʒaɪzfɔɹ	13	4	0.72
masses of	mæsᵻzʌv	6	8	0.72
elevation of	ɛlɪveɪʃənʌv	11	4	0.7163
lottery tickets	lɑɹɚɹitɪkɪts	11	3	0.7149
candidate for	kændᵻdeɪtfɔɹ	11	3	0.7144
root of	ɹutʌv	5	3	0.7141
readers of	ɹidɚzʌv	6	3	0.7141
consist in	kənsɪstɪn	9	4	0.7136
branch of	bɹæntʃʌv	8	11	0.7115
regent street	ɹidʒəntstɹit	12	3	0.7113
inmates of	ɪnmeɪtsʌv	9	4	0.7108
guidance of	ɡaɪdənsʌv	9	3	0.7076
efforts of	ɛfɚtsʌv	6	5	0.7073
agree with	ɐɡɹiwɪð	7	8	0.7072
figured in	fɪɡɚdɪn	6	3	0.7062
repetition of	ɹɛpətɪʃənʌv	11	5	0.7048
didn t	dɪdənti	7	48	0.7044
loop of	lupʌv	5	3	0.7043
depending on	dᵻpɛndɪŋɔn	9	3	0.7017
dough boy	doʊbɔɪ	6	16	0.7007
duncan ross	dʌŋkənɹɔs	9	7	0.7002
shan t	ʃænti	5	6	0.7001
complain of	kəmpleɪnʌv	10	6	0.6994
fond of	fɑndʌv	6	25	0.6986
apt to	æpttu	5	8	0.6981
restricted to	ɹᵻstɹɪktᵻdtu	10	3	0.6974
doesn t	doʊsənti	8	4	0.6969
eighteenth century	eɪtinθsɛntʃɚɹi	13	5	0.6966
adapted to	ɐdæptᵻdtu	8	6	0.6958
parcel of	pɑɹsəlʌv	8	4	0.6948
blend with	blɛndwɪð	8	4	0.6936
gallons of	ɡælənzʌv	8	4	0.692
ne er	niɜ	3	4	0.6907
ain t	eɪnti	5	21	0.6896
opportunity of	ɑpɚtunᵻɹiʌv	9	28	0.6889
member of	mɛmbɚʌv	6	10	0.6879
labyrinth of	læbɚɹɪnθʌv	9	5	0.6874
heading to	hɛdɪŋtu	7	30	0.6868
orphan and	ɔɹfənænd	8	4	0.6867
fruits of	fɹutsʌv	7	3	0.686
symbol of	sɪmbəlʌv	8	8	0.6845
verdict of	vɜdɪktʌv	8	3	0.6826
acquainted with	ɐkweɪntᵻdwɪð	11	40	0.681
preservation of	pɹɛzɚveɪʃənʌv	12	3	0.6809
cling to	klɪŋtu	6	4	0.679
poker and	poʊkɚænd	7	3	0.678
substitute for	sʌbstɪtutfɔɹ	12	3	0.6758
mode of	moʊdʌv	6	9	0.6754
partial to	pɑɹʃəltu	8	8	0.6747
numbers of	nʌmbɚzʌv	7	6	0.6745
comply with	kəmplaɪwɪð	10	10	0.6744
pivot hole	pɪvəthoʊl	9	7	0.6731
loss of	lɔsʌv	5	27	0.6723
assert that	ɐsɜtðæt	7	8	0.6717
dome of	doʊmʌv	6	3	0.6715
showers of	ʃaʊɚzʌv	6	3	0.6707
rode a	ɹoʊdeɪ	6	3	0.6706
cables and	keɪbəlzænd	10	3	0.6694
groves of	ɡɹoʊvzʌv	8	4	0.6688
tales of	teɪlzʌv	7	8	0.6677
connected with	kənɛktᵻdwɪð	10	29	0.6675
willingness to	wɪlɪŋnəstu	10	3	0.6659
token of	toʊkənʌv	8	12	0.6646
testified of	tɛstᵻfaɪdʌv	10	3	0.6646
disclose a	dɪskloʊzeɪ	10	3	0.6645
ashamed of	ɐʃeɪmdʌv	8	16	0.6644
part of	pɑɹtʌv	6	171	0.6633
ought to	ɔttu	4	51	0.662
remainder of	ɹᵻmeɪndɚʌv	8	8	0.6619
influenced by	ɪnfluənstbaɪ	12	3	0.6611
couple of	kʌpəlʌv	7	16	0.661
variety of	vɚɹaɪəɹiʌv	9	10	0.6587
charged with	tʃɑɹdʒdwɪð	10	7	0.6563
deficient in	dᵻfɪʃəntɪn	9	4	0.656
neatly dressed	nitlidɹɛst	10	3	0.6546
counterpart of	kaʊntɚpɑɹtʌv	11	3	0.6541
quantity of	kwɔntᵻɹiʌv	9	15	0.6533
coupled with	kʌpəldwɪð	9	3	0.6519
secrets of	sikɹᵻtsʌv	8	9	0.6516
sherlock holmes	ʃɜlɑkhoʊmz	10	97	0.6486
prevailed on	pɹɪveɪldɔn	10	16	0.6472
portion of	poɹʃənʌv	8	12	0.6433
deaths of	dɛθsʌv	6	4	0.6433
bundle of	bʌndəlʌv	8	5	0.642
miller s	mɪlɚɛs	5	3	0.6419
outskirts of	aʊtskɜtsʌv	10	3	0.6416
deity and	diətiænd	8	3	0.6411
corresponds to	kɔɹɪspɑndztu	12	3	0.6411
tried to	tɹaɪdtu	7	36	0.6405
resolving to	ɹᵻzɑlvɪŋtu	9	9	0.6383
adventure of	ɐdvɛntʃɚʌv	9	18	0.6383
incumbent on	ɪŋkʌmbəntɔn	11	3	0.638
shepherd s	ʃɛpɚdɛs	6	4	0.6374
area of	ɛɹiəʌv	6	3	0.6356
belong to	bᵻlɔŋtu	6	10	0.6339
possibility of	pɑsəbɪlᵻɹiʌv	11	15	0.6328
insight into	ɪnsaɪtɪntʊ	10	3	0.6325
transferred to	tɹænsfɜdtu	10	4	0.6324
routine of	ɹutinʌv	7	4	0.6319
lieu of	luʌv	4	3	0.6316
periods of	piəɹɪədzʌv	10	4	0.629
fuller s	fʊlɚɛs	5	8	0.6284
meets the	mitsðə	6	11	0.6261
acceptable to	ɐksɛptəbəltu	12	4	0.6258
multitude of	mʌltɪtudʌv	10	8	0.6248
vi the	ɹoʊmənsɪksðə	12	4	0.6248
beasts of	bistsʌv	7	5	0.6229
belonged to	bᵻlɔŋdtu	7	15	0.6203
dong ding	dɑŋdɪŋ	6	3	0.6182
attempted to	ɐtɛmptᵻdtu	9	11	0.618
benefited by	bɛnɪfɪɹᵻdbaɪ	11	3	0.618
bits of	bɪtsʌv	6	6	0.618
forced to	foɹsttu	7	34	0.6172
inspection of	ɪnspɛkʃənʌv	11	4	0.615
score of	skoɹʌv	6	8	0.6132
handful of	hændfəlʌv	9	4	0.6128
version of	vɜʒənʌv	7	3	0.6125
intend to	ɪntɛndtu	8	6	0.6125
sag harbor	sæɡhɑɹbɚ	7	8	0.6121
assure you	əʃʊɹju	6	40	0.6119
prints of	pɹɪntsʌv	8	4	0.6105
growth of	ɡɹoʊθʌv	7	3	0.6101
angle of	æŋɡəlʌv	7	9	0.61
knights and	naɪtsænd	8	4	0.6087
confined to	kənfaɪndtu	10	13	0.6075
habit of	hæbɪtʌv	7	13	0.6068
bordering on	boɹdɚɹɪŋɔn	9	3	0.605
neville st	nɛvɪlsənt	9	16	0.6047
include the	ɪŋkludðə	8	4	0.6044
altering his	ɔltɚɹɪŋhɪz	9	3	0.6043
maritime life	mæɹɪtaɪmlaɪf	12	3	0.6037
martha s	mɑɹθəɛs	7	3	0.6037
thank you	θæŋkju	6	38	0.6026
deem it	dimɪt	5	3	0.6022
planned the	plændðə	7	3	0.6021
wilderness of	wɪldɚnəsʌv	9	4	0.6007
prior to	pɹaɪɚtu	6	6	0.6003
referred to	ɹᵻfɜdtu	6	8	0.6003
management of	mænɪdʒməntʌv	12	7	0.599
sources of	soɹsᵻzʌv	7	3	0.5985
source of	soɹsʌv	6	11	0.5957
obedience to	oʊbidiənstu	11	7	0.5949
group of	ɡɹupʌv	6	5	0.5945
description of	dᵻskɹɪpʃənʌv	11	15	0.5916
prince of	pɹɪnsʌv	7	3	0.591
discussion of	dɪskʌʃənʌv	10	3	0.5904
border of	boɹdɚʌv	6	3	0.5897
ounce of	aʊnsʌv	6	4	0.5892
argue the	ɑɹɡjuðə	7	3	0.5872
model of	mɑdəlʌv	7	4	0.5868
webster s	wɛbstɚɛs	7	3	0.5867
enabled to	ɛneɪbəldtu	10	7	0.5861
godfrey norton	ɡɑdfɹinɔɹtən	12	5	0.5854
calculated to	kælkjʊleɪɹᵻdtu	13	7	0.5854
piece of	pisʌv	5	23	0.5853
thousands of	θaʊzəndzʌv	10	13	0.5851
clinging to	klɪŋɪŋtu	8	7	0.5829
completion of	kəmpliʃənʌv	11	5	0.5821
accomplishment of	ɐkɑmplɪʃməntʌv	14	4	0.5806
crash of	kɹæʃʌv	6	3	0.5803
blade of	bleɪdʌv	7	5	0.58
pressure of	pɹɛʃɚʌv	6	4	0.5799
print of	pɹɪntʌv	7	3	0.5796
listening to	lɪsənɪŋtu	9	13	0.5795
conscious of	kɑnʃəsʌv	8	10	0.5793
slabs of	slæbzʌv	7	5	0.5793
likely to	laɪklitu	8	38	0.5789
stuffed with	stʌftwɪð	8	4	0.5787
kinds of	kaɪndzʌv	8	3	0.5777
formation of	fɔɹmeɪʃənʌv	11	3	0.5764
offensive to	əfɛnsɪvtu	9	3	0.5757
questioned by	kwɛstʃəndbaɪ	12	4	0.5749
inclined to	ɪŋklaɪndtu	10	18	0.5745
calmed me	kɑmdmi	6	3	0.5745
counting the	kaʊntɪŋðə	9	3	0.5745
sustain the	səsteɪnðə	9	5	0.5741
front of	fɹʌntʌv	7	44	0.573
refuge in	ɹɛfjudʒɪn	9	9	0.5712
sheet of	ʃitʌv	5	15	0.5706
protesting that	pɹətɛstɪŋðæt	12	4	0.5704
intended to	ɪntɛndᵻdtu	9	22	0.5702
amazed at	ɐmeɪzdæt	8	4	0.5687
bit of	bɪtʌv	5	20	0.5679
tokens of	toʊkənzʌv	9	4	0.5679
ceased to	sisttu	6	16	0.5675
tendency to	tɛndənsitu	10	5	0.565
prepare for	pɹɪpɛɹfɔɹ	9	9	0.5648
