phrase	ipa	segs	count	score
savant qui	savɑ̃ki	6	4	0.2411
importance to	ɛ̃pɔɹtɑ̃stu	9	8	0.241
porta san	pɔɹtasɑ̃	7	4	0.2407
âme il	amil	4	3	0.2397
grands coups	ɡɹɑ̃ku	5	4	0.2393
affection for	afɛksjɔ̃fɔɹ	10	13	0.2392
invite you	ɛ̃vitju	6	5	0.2388
moral et	moɹale	6	4	0.2376
beaucoup d	bokude	6	6	0.2373
pont de	pɔ̃də-	4	4	0.2371
occasion to	ɔkazjɔ̃tu	8	13	0.2362
role main	ɹɔlmɛ̃	5	3	0.2362
regard for	ɹəɡaɹfɔɹ	8	6	0.2359
raison suffisante	ɹɛzɔ̃syfizɑ̃t	11	6	0.2354
état de	etadə-	5	3	0.2346
reste de	ɹɛstdə-	6	3	0.2344
avez vous	avevu	5	11	0.2341
frère de	fɹɛɹdə-	6	6	0.2336
p p	pepe	4	6	0.233
choses ne	ʃoznə-	5	3	0.2327
label for	labɛlfɔɹ	8	9	0.2321
close to	klɔztu	6	24	0.2279
causes you	kozju	5	3	0.2264
filles de	fijdə-	5	5	0.2259
guerre et	ɡɛɹe	4	3	0.2248
sur la	syɹla-	5	28	0.2236
colonel fernand	kolonɛlfɛɹnɑ̃	12	3	0.2233
vrai dit	vɹɛdi	5	3	0.2223
louise d	lwizde	6	7	0.22
mois de	mwadə-	5	3	0.2196
mis en	miɑ̃	3	4	0.2183
grant me	ɡɹɑ̃mə-	5	5	0.2181
