en	fr	sound	fr_zipf
from	femmes	0.683	5.45
from	femme	0.683	5.59
from	franc	0.663	4.44
from	front	0.655	4.78
from	frais	0.651	4.97
my	ma	0.786	6.00
my	masse	0.725	4.74
my	man	0.708	4.45
my	marie	0.685	5.03
my	mari	0.685	4.80
or	or	1.000	5.35
or	hors	1.000	5.08
or	ordres	0.829	4.61
or	ordre	0.829	5.29
or	sort	0.760	5.05
we	oui	1.000	5.80
we	louis	0.727	5.06
we	i	0.663	5.34
we	vit	0.617	4.82
we	vis	0.617	4.93
an	anne	0.637	4.59
an	n	0.607	6.65
an	haine	0.607	4.58
an	fans	0.581	4.55
an	fan	0.581	4.47
your	hier	0.725	5.21
your	or	0.598	5.35
your	hors	0.598	5.08
your	you	0.594	4.67
your	r	0.593	5.12
all	sol	0.760	5.00
all	lol	0.716	4.49
all	vol	0.716	4.96
all	paul	0.716	4.98
all	hollande	0.676	4.80
so	sauf	0.708	5.10
so	sociaux	0.646	4.90
so	soleil	0.628	5.03
so	sauver	0.625	4.66
so	ceux	0.613	5.66
his	aise	0.603	4.44
his	disent	0.576	4.91
his	mises	0.545	4.52
his	mise	0.545	5.32
his	rose	0.541	4.72
me	my	1.000	4.43
me	mis	1.000	5.40
me	mi	1.000	4.76
me	midi	0.801	4.99
me	mini	0.791	4.54
if	f	0.637	4.92
if	neuf	0.562	4.91
if	9	0.562	5.23
if	chefs	0.553	4.65
if	chef	0.553	5.34
one	anne	0.598	4.59
one	n	0.593	6.65
one	haine	0.593	4.58
one	ouais	0.576	5.20
one	van	0.572	4.68
can	quant	0.618	5.01
can	quand	0.618	6.13
can	camp	0.618	4.84
can	concerne	0.598	4.82
can	copine	0.592	4.50
will	île	0.601	4.88
will	ils	0.601	6.36
will	il	0.601	6.98
will	l	0.598	7.26
will	elles	0.598	5.66
just	déteste	0.666	4.54
just	geste	0.650	4.46
just	date	0.648	5.15
just	dette	0.645	4.52
just	dites	0.636	4.77
like	lac	0.833	4.67
like	là	0.682	5.99
like	la	0.682	7.43
like	black	0.647	4.58
like	luc	0.633	4.47
about	bat	0.566	4.44
about	bas	0.566	5.39
about	bah	0.566	4.88
about	débats	0.558	4.47
about	débat	0.558	4.84
up	op	0.607	4.44
up	types	0.578	4.70
up	type	0.578	5.32
up	top	0.578	4.83
up	frappe	0.554	4.52
out	actes	0.682	4.73
out	acte	0.682	4.79
out	arrête	0.679	4.98
out	ajoute	0.678	4.64
out	attente	0.653	4.52
what	ouest	0.684	5.00
what	haute	0.598	5.02
what	êtes	0.593	5.37
what	ouais	0.592	5.20
what	oui	0.578	5.80
has	aise	0.583	4.44
has	phase	0.563	4.67
has	disent	0.559	4.91
has	bases	0.543	4.47
has	base	0.543	5.30
when	n	0.761	6.65
when	haine	0.761	4.58
when	ouais	0.744	5.20
when	seine	0.712	4.61
when	scène	0.712	5.12
more	mots	0.753	5.16
more	mot	0.753	5.22
more	moteur	0.743	4.69
more	morts	0.733	4.96
more	mort	0.733	5.64
do	doux	1.000	4.55
do	douce	0.760	4.52
do	doute	0.760	5.22
do	douze	0.753	4.52
do	douche	0.716	4.43
no	nos	0.786	5.73
no	no	0.786	4.76
no	notes	0.724	4.68
no	notre	0.678	5.90
no	noter	0.658	4.45
were	ouais	0.637	5.20
were	oui	0.577	5.80
were	ouest	0.572	5.00
were	oiseaux	0.518	4.43
who	où	0.670	6.07
who	ou	0.670	6.46
who	you	0.622	4.67
who	sous	0.621	5.90
who	tout	0.621	6.44
had	aide	0.583	5.31
had	inde	0.567	4.52
had	stade	0.557	4.85
had	z	0.555	4.44
had	sud	0.531	5.27
it's	s	0.597	6.53
it's	six	0.574	5.15
it's	6	0.574	5.52
it's	dix	0.572	5.15
it's	cesse	0.572	4.52
their	r	0.737	5.12
their	air	0.737	5.39
their	hier	0.695	5.21
their	terres	0.690	4.63
their	terre	0.690	5.33
there	r	0.737	5.12
there	air	0.737	5.39
there	hier	0.695	5.21
there	terres	0.690	4.63
there	terre	0.690	5.33
which	matchs	0.595	4.74
which	match	0.595	5.25
which	riches	0.551	4.56
which	riche	0.551	4.77
which	touche	0.548	4.84
time	tas	0.682	4.54
time	ta	0.682	5.66
time	tome	0.663	4.46
time	tom	0.663	4.50
time	thème	0.663	4.60
get	gay	0.760	4.49
get	êtes	0.716	5.37
get	guerre	0.706	5.42
get	sept	0.678	5.00
get	cette	0.678	6.35
been	ben	0.730	5.01
been	bonnes	0.690	4.93
been	bonne	0.690	5.67
been	bain	0.623	4.55
been	biens	0.591	4.65
would	aide	0.593	5.31
would	ouais	0.589	5.20
would	inde	0.574	4.52
would	z	0.563	4.44
would	ouest	0.558	5.00
she	chine	0.744	4.91
she	chiffres	0.694	4.76
she	chiffre	0.694	4.63
she	choisi	0.645	4.81
she	chinois	0.640	4.82
new	nous	1.000	6.43
new	nouveaux	0.645	5.19
new	nouveau	0.645	5.63
new	où	0.637	6.07
new	ou	0.637	6.46
people	peuple	0.640	5.01
people	principales	0.638	4.55
people	principale	0.638	4.65
people	principal	0.638	4.83
people	paul	0.604	4.98
don't	doute	0.639	5.22
don't	date	0.639	5.15
don't	dites	0.627	4.77
don't	dite	0.627	4.44
don't	dette	0.627	4.52
some	sommes	0.710	5.31
some	somme	0.710	4.76
some	systèmes	0.609	4.65
some	système	0.609	5.40
some	âme	0.598	4.74
also	hollande	0.611	4.80
also	sol	0.530	5.00
also	soldats	0.524	4.74
also	dollars	0.521	4.85
also	sociaux	0.516	4.90
them	m	0.737	6.27
them	aimes	0.737	4.63
them	aiment	0.737	4.57
them	aime	0.737	5.52
them	thème	0.690	4.60
now	nations	0.646	4.68
now	nation	0.646	4.59
now	nature	0.629	5.06
now	ne	0.585	6.69
now	née	0.583	4.47
i'm	âme	0.786	4.74
i'm	armes	0.717	4.99
i'm	arme	0.717	4.67
i'm	affirme	0.645	4.46
i'm	dame	0.597	4.82
its	s	0.597	6.53
its	six	0.574	5.15
its	6	0.574	5.52
its	dix	0.572	5.15
its	cesse	0.572	4.52
our	à	0.700	7.26
our	ha	0.700	4.52
our	ah	0.700	5.31
our	a	0.700	7.00
our	as	0.629	5.79
than	n	0.574	6.65
than	haine	0.574	4.58
than	anne	0.569	4.59
than	jeunes	0.565	5.25
than	jeune	0.565	5.40
good	guide	0.690	4.50
good	grandes	0.649	5.11
good	grande	0.649	5.60
good	garde	0.638	5.13
good	goût	0.598	4.81
only	lit	0.643	5.03
only	jolie	0.632	4.65
only	joli	0.632	4.53
only	aussi	0.615	6.19
only	conflit	0.603	4.60
after	êtes	0.561	5.37
after	date	0.557	5.15
after	sites	0.544	4.78
after	site	0.544	5.47
after	sept	0.544	5.00
first	fêtes	0.688	4.43
first	fête	0.688	4.95
first	faites	0.688	5.21
first	faite	0.688	4.93
first	faute	0.673	4.98
him	m	0.603	6.27
him	aimes	0.603	4.63
him	aiment	0.603	4.57
him	aime	0.603	5.52
him	thème	0.576	4.60
know	nos	0.786	5.73
know	no	0.786	4.76
know	notes	0.724	4.68
know	notre	0.678	5.90
know	noter	0.658	4.45
see	si	1.000	6.46
see	ci	1.000	5.49
see	ceci	0.834	4.94
see	soucis	0.803	4.47
see	souci	0.803	4.49
two	tout	1.000	6.44
two	to	1.000	4.91
two	tous	0.760	6.11
two	toutes	0.760	5.71
two	toute	0.760	5.81
make	mecs	0.706	4.71
make	mec	0.706	5.20
make	mes	0.682	5.77
make	manque	0.655	5.15
make	marques	0.646	4.45
over	o	0.577	5.01
over	hauts	0.577	4.49
over	haut	0.577	5.35
over	eaux	0.577	4.65
over	eau	0.577	5.46
think	cinq	0.548	5.28
think	5	0.548	5.67
think	qu	0.535	6.76
think	sec	0.514	4.44
think	donc	0.503	5.92
any	ennemis	0.781	4.47
any	ennemi	0.781	4.57
any	n	0.716	6.65
any	haine	0.716	4.58
any	ni	0.716	5.48
then	n	0.737	6.65
then	haine	0.737	4.58
then	seine	0.690	4.61
then	scène	0.690	5.12
then	chaîne	0.690	4.82
could	code	0.730	5.00
could	claude	0.640	4.69
could	qu	0.618	6.76
could	commande	0.604	4.58
could	coût	0.598	4.67
back	bac	0.730	4.57
back	banques	0.700	4.48
back	banque	0.700	4.87
back	black	0.655	4.58
back	bloc	0.610	4.49
these	disent	0.710	4.91
these	mises	0.641	4.52
these	mise	0.641	5.32
these	crise	0.631	4.88
these	prises	0.631	4.66
us	hausse	0.637	4.53
us	as	0.637	5.79
us	s	0.629	6.53
us	os	0.607	4.49
us	cesse	0.593	4.52
want	ouest	0.636	5.00
want	honte	0.606	4.60
want	tonnes	0.565	4.43
want	donnent	0.564	4.61
want	donne	0.564	5.41
because	bases	0.634	4.47
because	base	0.634	5.30
because	cause	0.534	5.40
because	beaux	0.525	4.82
because	beau	0.525	5.26
go	go	0.786	4.47
go	gauche	0.682	5.26
go	gros	0.592	5.42
go	goût	0.583	4.81
go	gars	0.583	5.19
well	l	0.761	7.26
well	elles	0.761	5.66
well	elle	0.761	6.49
well	el	0.761	4.76
well	ouais	0.716	5.20
said	aide	0.760	5.31
said	sait	0.757	5.32
said	sais	0.757	5.64
said	z	0.730	4.44
said	sept	0.730	5.00
way	ouais	0.618	5.20
way	oui	0.613	5.80
way	joué	0.583	4.85
way	jouer	0.583	5.23
way	ouest	0.560	5.00
1	anne	0.598	4.59
1	n	0.593	6.65
1	haine	0.593	4.58
1	ouais	0.576	5.20
1	van	0.572	4.68
2	tout	1.000	6.44
2	to	1.000	4.91
2	tous	0.760	6.11
2	toutes	0.760	5.71
2	toute	0.760	5.81
most	mots	0.684	5.16
most	mot	0.684	5.22
most	monte	0.651	4.58
most	mettent	0.637	4.60
most	morte	0.637	4.65
much	matchs	0.785	4.74
much	match	0.785	5.25
much	marche	0.653	5.16
much	masse	0.547	4.74
much	mettent	0.540	4.60
very	vert	0.781	4.74
very	vers	0.781	5.65
very	verre	0.781	4.75
very	verra	0.755	4.58
very	mairie	0.740	4.53
where	r	0.761	5.12
where	air	0.761	5.39
where	ouais	0.753	5.20
where	vert	0.717	4.74
where	vers	0.717	5.65
even	iv	0.696	4.48
even	hiver	0.643	4.85
even	venez	0.622	4.72
even	venus	0.616	4.55
even	venue	0.616	4.54
should	chaud	0.575	4.79
should	chose	0.565	5.70
should	chaîne	0.560	4.82
should	chiens	0.558	4.52
should	chien	0.558	4.86
may	mes	0.786	5.77
may	mérite	0.655	4.78
may	métier	0.646	4.66
may	messieurs	0.634	4.44
may	méthode	0.632	4.72
here	r	0.603	5.12
here	air	0.603	5.39
here	tres	0.594	4.52
here	heures	0.583	5.39
here	heure	0.583	5.39
need	ni	0.757	5.48
need	nice	0.710	4.63
need	vide	0.666	4.74
need	guide	0.666	4.50
need	décide	0.625	4.59
really	lit	0.643	5.03
really	repris	0.640	4.52
really	religion	0.637	4.85
really	religieux	0.637	4.73
really	religieuse	0.620	4.43
did	décide	0.639	4.59
did	david	0.606	4.88
did	demandes	0.601	4.61
did	demande	0.601	5.51
did	dit	0.598	6.00
right	raconte	0.689	4.71
right	race	0.683	4.60
right	rares	0.678	4.60
right	rare	0.678	4.67
right	routes	0.648	4.51
work	sec	0.572	4.44
work	qu	0.572	6.76
work	rock	0.567	4.48
work	cinq	0.558	5.28
work	5	0.558	5.67
year	hier	0.730	5.21
year	r	0.598	5.12
year	air	0.598	5.39
year	ii	0.594	5.12
year	tres	0.590	4.52
years	hier	0.571	5.21
years	aise	0.567	4.44
years	ii	0.563	5.12
years	disent	0.549	4.91
years	iii	0.547	4.67
being	by	0.683	4.52
being	big	0.677	4.46
being	billets	0.631	4.48
being	billet	0.631	4.46
being	bilan	0.590	4.61
day	des	0.786	7.15
day	d	0.786	7.14
day	décès	0.688	4.61
day	dr	0.683	4.62
day	décide	0.658	4.59
a	hé	1.000	0.0
a	et	1.000	0.0
a	ers	1.000	0.0
a	ai	1.000	0.0
after	aphtes	0.730	0.0
after	aphte	0.730	0.0
after	aptes	0.565	0.0
after	apte	0.565	0.0
almost	aoste	0.559	0.0
already	édits	0.568	0.0
already	édit	0.568	0.0
already	errait	0.557	0.0
already	errais	0.557	0.0
also	sots	0.645	0.0
also	sot	0.645	0.0
also	seaux	0.645	0.0
also	seau	0.645	0.0
and	andes	0.725	0.0
and	indes	0.710	0.0
and	inde	0.710	0.0
and	ondes	0.671	0.0
as	aises	0.607	0.0
as	aise	0.607	0.0
as	oses	0.577	0.0
as	osent	0.577	0.0
between	bines	0.743	0.0
between	binent	0.743	0.0
between	bine	0.743	0.0
between	dînes	0.631	0.0
each	ides	0.553	0.0
few	fous	0.761	0.0
few	fou	0.761	0.0
few	vous	0.598	0.0
few	voue	0.598	0.0
have	hâves	0.603	0.0
have	hâve	0.603	0.0
have	avent	0.603	0.0
have	ave	0.603	0.0
he	hit	0.670	0.0
he	hi	0.670	0.0
he	ouïes	0.622	0.0
he	oui	0.622	0.0
here	ires	0.606	0.0
here	ire	0.606	0.0
here	ères	0.603	0.0
here	ère	0.603	0.0
his	aises	0.603	0.0
his	aise	0.603	0.0
his	uses	0.563	0.0
his	usent	0.563	0.0
how	ha	0.670	0.0
how	ah	0.670	0.0
how	ouah	0.622	0.0
how	oies	0.622	0.0
often	ont	0.675	0.0
often	on	0.675	0.0
once	hanse	0.681	0.0
once	anses	0.681	0.0
once	anse	0.681	0.0
once	onces	0.674	0.0
one	ânes	0.598	0.0
one	âne	0.598	0.0
one	aunes	0.598	0.0
one	aune	0.598	0.0
only	lits	0.645	0.0
only	lit	0.645	0.0
only	lies	0.645	0.0
only	lient	0.645	0.0
quite	cois	0.781	0.0
quite	coi	0.781	0.0
quite	hâtes	0.679	0.0
quite	hâtent	0.679	0.0
that	dattes	0.565	0.0
that	datte	0.565	0.0
that	dates	0.565	0.0
that	datent	0.565	0.0
the	je	0.607	0.0
the	de	0.607	0.0
the	te	0.577	0.0
the	se	0.577	0.0
while	hâles	0.761	0.0
while	hâlent	0.761	0.0
while	hâle	0.761	0.0
while	halles	0.761	0.0
