seed	hops	mean_quality	min_quality	min_sound_edge	max_sound_edge	tier	loop
stocks	5	0.9472	0.92	0.976	1.0	S+	en:stocks ~ fr:stocks ≈ en:stalk ~ en:stalky ≈ fr:stocker ~ fr:stocke
stocks	5	0.9472	0.92	0.976	1.0	S+	en:stocks ~ fr:stockes ≈ en:stalk ~ en:stalky ≈ fr:stocker ~ fr:stocke
cross	3	0.965	0.92	0.975	1.0	S+	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
cross	3	0.965	0.92	0.975	1.0	S+	en:cross ≈ fr:crosse ~ fr:cross ≈ en:crosse
crosse	3	0.965	0.92	0.975	1.0	S+	en:crosse ≈ fr:cross ~ en:cross ≈ fr:crosse
crosse	3	0.965	0.92	0.975	1.0	S+	en:crosse ≈ fr:cross ~ fr:crosse ≈ en:cross
footballer	3	0.958	0.92	0.975	0.979	S+	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
crossed	4	0.9537	0.92	0.975	1.0	S+	en:crossed ~ fr:crosse ≈ en:cross ~ fr:cross ≈ en:crosse
crossed	4	0.9537	0.92	0.975	1.0	S+	en:crossed ~ fr:crosse ≈ en:cross ~ en:crosse ≈ fr:cross
footballer	4	0.9485	0.92	0.975	0.979	S+	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football ~ fr:voetbal
friendship	3	0.9563	0.92	0.973	0.976	S+	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
friendship	4	0.9472	0.92	0.973	0.976	S+	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships ~ fr:amitiés
plea	3	0.9633	0.92	0.97	1.0	S+	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleas
plea	3	0.9633	0.92	0.97	1.0	S+	en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleas
soupy	3	0.9633	0.92	0.97	1.0	S+	en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
soupy	3	0.9633	0.92	0.97	1.0	S+	en:soupy ≈ fr:souper ~ fr:soupe ≈ en:soup
talkie	3	0.9633	0.92	0.97	1.0	S+	en:talkie ≈ fr:toquer ~ fr:toquent ≈ en:talk
talkie	3	0.9633	0.92	0.97	1.0	S+	en:talkie ≈ fr:toquer ~ fr:toques ≈ en:talk
talky	3	0.9633	0.92	0.97	1.0	S+	en:talky ≈ fr:toquer ~ fr:toquent ≈ en:talk
talky	3	0.9633	0.92	0.97	1.0	S+	en:talky ≈ fr:toquer ~ fr:toques ≈ en:talk
clack	3	0.9533	0.92	0.97	0.97	S+	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
leg	4	0.9525	0.92	0.97	1.0	S+	en:leg ≈ fr:legs ~ en:kaki ≈ fr:kaki ~ fr:noga
leg	4	0.9525	0.92	0.97	1.0	S+	en:leg ≈ fr:legs ~ en:kaki ≈ fr:kaki ~ en:noga
peak	4	0.9525	0.92	0.97	1.0	S+	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ en:peake
peak	4	0.9525	0.92	0.97	1.0	S+	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ fr:peake
peaky	4	0.9525	0.92	0.97	1.0	S+	en:peaky ≈ fr:piquer ~ fr:piquent ≈ en:peak ~ en:peake
souped arse	4	0.9525	0.92	0.97	1.0	S+	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
souped arse	4	0.9525	0.92	0.97	1.0	S+	en:souped arse ~ en:soupy ≈ fr:souper ~ fr:soupe ≈ en:soup
clack	4	0.945	0.92	0.97	0.97	S+	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam ~ en:clo
clam	4	0.945	0.92	0.97	0.97	S+	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ fr:clo
clam	4	0.945	0.92	0.97	0.97	S+	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ en:clo
claque	4	0.945	0.92	0.97	0.97	S+	en:claque ~ fr:claque ≈ en:clack ~ en:clam ≈ fr:clame
pressie	3	0.9557	0.92	0.967	0.98	S+	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies
pressies	3	0.9557	0.92	0.967	0.98	S+	en:pressies ≈ fr:précise ~ fr:précis ≈ en:pressie
pressie	4	0.9467	0.92	0.967	0.98	S+	en:pressie ≈ fr:précis ~ fr:précise ≈ en:pressies ~ en:druk
pressies	4	0.9467	0.92	0.967	0.98	S+	en:pressies ~ en:pressie ≈ fr:précis ~ fr:précise ≈ en:presses
bell	4	0.95	0.92	0.96	1.0	S+	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
bell	4	0.95	0.92	0.96	1.0	S+	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellis
myself	3	0.9487	0.92	0.96	0.966	S+	en:myself ≈ fr:mas elfes ~ fr:ions elfes ≈ en:yourself
yourself	3	0.9487	0.92	0.96	0.966	S+	en:yourself ≈ fr:ions elfes ~ fr:mas elfes ≈ en:myself
sec	6	0.9467	0.92	0.96	1.0	S+	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
succeed	3	0.9467	0.92	0.96	0.96	S+	en:succeed ≈ fr:secs ides ~ fr:secs ace ≈ en:success
destroys	4	0.9432	0.92	0.96	0.973	S+	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroys	4	0.9432	0.92	0.96	0.973	S+	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruits
myself	4	0.9415	0.92	0.96	0.966	S+	en:myself ≈ fr:mas elfes ~ fr:ions elfes ≈ en:yourself ~ fr:seba
yourself	4	0.9415	0.92	0.96	0.966	S+	en:yourself ≈ fr:ions elfes ~ fr:mas elfes ≈ en:myself ~ fr:seba
secs	4	0.94	0.92	0.96	0.96	S+	en:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace
succeed	4	0.94	0.92	0.96	0.96	S+	en:succeed ≈ fr:secs ides ~ fr:secs ace ≈ en:success ~ fr:success
success	4	0.94	0.92	0.96	0.96	S+	en:success ≈ fr:secs ace ~ fr:secs ides ≈ en:succeed ~ en:successful
success	4	0.94	0.92	0.96	0.96	S+	en:success ≈ fr:secs ace ~ fr:secs ides ≈ en:succeed ~ fr:success
secs	5	0.936	0.92	0.96	0.96	S+	en:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ fr:secs
succeeded	5	0.936	0.92	0.96	0.96	S+	en:succeeded ~ en:succeed ≈ fr:secs ides ~ fr:secs ace ≈ en:success ~ en:successful
fortunately	3	0.952	0.92	0.958	0.978	S+	en:fortunately ≈ fr:faut chenet lis ~ fr:faut chaînette ≈ en:fortunate
fortunate	4	0.944	0.92	0.958	0.978	S+	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ en:fortunato
fortunate	4	0.944	0.92	0.958	0.978	S+	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
fortunately	4	0.944	0.92	0.958	0.978	S+	en:fortunately ≈ fr:faut chenet lis ~ fr:faut chaînette ≈ en:fortunate ~ fr:fortunato
fastest	3	0.947	0.92	0.957	0.964	S+	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
fastest	4	0.9403	0.92	0.957	0.964	S+	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster ~ fr:faste
pieces	5	0.9644	0.92	0.952	1.0	S+	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pieces	6	0.957	0.92	0.952	1.0	S+	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece ~ fr:piece
setter	3	0.9473	0.92	0.952	0.97	S+	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters
setter	4	0.9405	0.92	0.952	0.97	S+	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters ~ fr:setter
himself	3	0.945	0.92	0.949	0.966	S	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
himself	4	0.9372	0.92	0.949	0.96	S	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
amended	4	0.9438	0.92	0.945	0.96	S	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
successes	4	0.9357	0.92	0.943	0.96	S	en:successes ≈ fr:secs incise ~ fr:secs ides ≈ en:succeed ~ en:successful
successes	4	0.9357	0.92	0.943	0.96	S	en:successes ≈ fr:secs incise ~ fr:secs ides ≈ en:succeed ~ en:success
existed	3	0.9353	0.92	0.943	0.943	S	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
existed	4	0.9315	0.92	0.943	0.943	S	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes ~ fr:existant
exit art	4	0.9315	0.92	0.943	0.943	S	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide ~ en:exit
exit art	4	0.9315	0.92	0.943	0.943	S	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide ~ en:exiting
retailer	3	0.9477	0.92	0.94	0.983	S	en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
plead	6	0.947	0.92	0.94	1.0	S	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
plead	6	0.947	0.92	0.94	1.0	S	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleat
pleading	6	0.947	0.92	0.94	1.0	S	en:pleading = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
pleading	6	0.947	0.92	0.94	1.0	S	en:pleading = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleat
lender	4	0.9465	0.92	0.94	0.976	S	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lenders	4	0.9465	0.92	0.94	0.976	S	en:lenders ≈ fr:lin dos ~ fr:lin des ≈ en:lender = fr:prêteurs
lender	3	0.9453	0.92	0.94	0.976	S	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders
lenders	3	0.9453	0.92	0.94	0.976	S	en:lenders ≈ fr:lin dos ~ fr:lin des ≈ en:lender
pleader	4	0.945	0.92	0.94	1.0	S	en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
pleader	4	0.945	0.92	0.94	1.0	S	en:pleader ~ en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleat
lend	5	0.9412	0.92	0.94	0.976	S	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
retail	4	0.9407	0.92	0.94	0.983	S	en:retail ~ en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
retail	4	0.9407	0.92	0.94	0.983	S	en:retail ~ en:retailers ≈ fr:rient hélas ~ fr:rient ailé ≈ en:retailer
retailer	4	0.9407	0.92	0.94	0.983	S	en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers ~ en:retail
countries	4	0.94	0.92	0.94	0.95	S	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
kindness	4	0.9397	0.92	0.94	0.949	S	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
lend	5	0.9352	0.92	0.94	0.976	S	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders ~ fr:prêteurs
lending	5	0.9352	0.92	0.94	0.976	S	en:lending ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders ~ en:lend
countries	4	0.9325	0.92	0.94	0.95	S	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country ~ fr:ülker
classroom	4	0.9323	0.92	0.94	0.949	S	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
classroom	4	0.9323	0.92	0.94	0.949	S	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ en:clase
kindness	4	0.9322	0.92	0.94	0.949	S	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly ~ fr:gentiment
register	3	0.9363	0.92	0.934	0.955	S	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
registered	3	0.9363	0.92	0.934	0.955	S	en:registered ≈ fr:raids stade ~ fr:raids ester ≈ en:register
quantities	4	0.936	0.92	0.934	0.94	S	en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity = fr:quantités
quantity	4	0.936	0.92	0.934	0.94	S	en:quantity ≈ fr:quad tee ~ fr:quad dix ≈ en:quantities = fr:quantités
register	4	0.9323	0.92	0.934	0.955	S	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered ~ en:registrations
registered	4	0.9323	0.92	0.934	0.955	S	en:registered ≈ fr:raids stade ~ fr:raids ester ≈ en:register ~ en:registrations
quantities	3	0.9313	0.92	0.934	0.94	S	en:quantities ≈ fr:quad dix ~ fr:quad tee ≈ en:quantity
quantity	3	0.9313	0.92	0.934	0.94	S	en:quantity ≈ fr:quad tee ~ fr:quad dix ≈ en:quantities
installed	3	0.932	0.92	0.932	0.944	S	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
installed	4	0.929	0.92	0.932	0.944	S	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install ~ fr:installe
southwest	3	0.9283	0.92	0.932	0.933	S	en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
northwestern	4	0.9263	0.92	0.932	0.933	S	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
southwest	4	0.9263	0.92	0.932	0.933	S	en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest ~ fr:northwest
northwestern	5	0.925	0.92	0.932	0.933	S	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest ~ fr:northwest
founded	5	0.9338	0.92	0.93	0.949	S	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding = fr:fondatrice
founders	3	0.933	0.92	0.93	0.949	S	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
western	6	0.9305	0.92	0.93	0.96	S	en:western ≈ fr:ouais tonnes ~ fr:notais tonnes ≈ en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:ouest
western	6	0.9303	0.92	0.93	0.96	S	en:western ≈ fr:ouais tonnes ~ fr:notais tonnes ≈ en:northwestern ~ en:northwest ≈ fr:nœud ouest ~ fr:ouest
founded	4	0.9298	0.92	0.93	0.949	S	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founders	4	0.9297	0.92	0.93	0.949	S	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding ~ en:founded
foresee	3	0.9297	0.92	0.929	0.94	S	en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresees	3	0.9297	0.92	0.929	0.94	S	en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee
foresaw	4	0.9273	0.92	0.929	0.94	S	en:foresaw ~ en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee
foresees	4	0.9273	0.92	0.929	0.94	S	en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee ~ en:foretold
foresaw	4	0.9272	0.92	0.929	0.94	S	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresee	4	0.9272	0.92	0.929	0.94	S	en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees ~ en:foreseeable
protector	4	0.9252	0.92	0.921	0.94	S	en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection ~ fr:schutz
protector	4	0.9252	0.92	0.921	0.94	S	en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection ~ en:schutz
possession	4	0.9345	0.918	0.918	0.98	S	en:possession ≈ fr:paix échine ~ fr:paix est ≈ en:possessed ~ en:possesses
possession	4	0.9345	0.918	0.918	0.98	S	en:possession ≈ fr:paix échine ~ fr:paix est ≈ en:possessed ~ en:possessory
extensively	3	0.9243	0.917	0.917	0.936	S	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
extensively	4	0.9233	0.917	0.917	0.936	S	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive ~ fr:extensive
traders	3	0.9237	0.916	0.916	0.935	S	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
traders	4	0.9227	0.916	0.916	0.935	S	en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading ~ fr:trading
trading	4	0.9227	0.916	0.916	0.935	S	en:trading ≈ fr:trait in ~ fr:trait aise ≈ en:traders ~ fr:trader
trading	4	0.9227	0.916	0.916	0.935	S	en:trading ≈ fr:trait in ~ fr:trait aise ≈ en:traders ~ en:trader
oldest	4	0.921	0.915	0.915	0.929	S	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
oldest	4	0.921	0.915	0.915	0.929	S	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ fr:âgées
extend	4	0.9168	0.906	0.906	0.921	S	en:extend ~ en:extended ≈ fr:axent haines aide ~ fr:axent haines in ≈ en:extending
extend	4	0.9167	0.906	0.906	0.921	S	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extending	4	0.9167	0.906	0.906	0.921	S	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended ~ en:extends
extending	3	0.9157	0.906	0.906	0.921	S	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
secondary	4	0.914	0.903	0.903	0.913	S	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
secondary	4	0.914	0.903	0.903	0.913	S	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ fr:segundo
order	4	0.933	0.892	0.892	1.0	A+	en:order ≈ fr:hordes ~ fr:horde ≈ en:ordered ~ fr:ordre
order	4	0.933	0.892	0.892	1.0	A+	en:order ≈ fr:horde ~ fr:hordes ≈ en:ordered ~ fr:ordre
stress	4	0.9305	0.882	0.882	1.0	A+	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stress	4	0.9305	0.882	0.882	1.0	A+	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ en:stresa
stressful	5	0.9284	0.882	0.882	1.0	A+	en:stressful ~ fr:stresse ≈ en:stress ~ fr:stress ≈ en:stressed ~ fr:stressé
stressful	5	0.9284	0.882	0.882	1.0	A+	en:stressful ~ fr:stresse ≈ en:stress ~ fr:stress ≈ en:stressed ~ fr:stressant
correct	5	0.9044	0.881	0.881	0.881	A+	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
purely	5	0.9044	0.881	0.881	0.881	A+	en:purely ~ en:strictly ≈ fr:strictes lies ~ fr:exacts lies ≈ en:exactly ~ en:precisely
technique	3	0.93	0.87	0.87	1.0	A+	en:technique ≈ fr:techniques ~ en:techniques ≈ fr:technique
technique	3	0.93	0.87	0.87	1.0	A+	en:technique ≈ fr:techniques ~ fr:technique ≈ en:techniques
expressing	4	0.9247	0.87	0.87	0.959	A+	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:express = fr:exprimer
sketch	3	0.9233	0.85	0.85	1.0	A+	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:sketch
sketch	3	0.9233	0.85	0.85	1.0	A+	en:sketch ≈ fr:sketchs ~ fr:sketch ≈ en:sketches
streak	3	0.9233	0.85	0.85	1.0	A+	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaked
streaked	3	0.9233	0.85	0.85	1.0	A+	en:streaked ≈ fr:strict ~ fr:stricte ≈ en:streak
streaked	3	0.9233	0.85	0.85	1.0	A+	en:streaked ≈ fr:strict ~ fr:strictes ≈ en:streak
strict	4	0.9125	0.85	0.85	0.96	A+	en:strict ~ fr:strict ≈ en:streaks ~ en:streak ≈ fr:strictes
strict	4	0.9125	0.85	0.85	0.96	A+	en:strict ~ fr:strict ≈ en:streaks ~ en:streak ≈ fr:stricte
streak	3	0.91	0.85	0.85	0.96	A+	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaks
streaks	3	0.91	0.85	0.85	0.96	A+	en:streaks ≈ fr:strict ~ fr:stricte ≈ en:streak
streaks	3	0.91	0.85	0.85	0.96	A+	en:streaks ≈ fr:strict ~ fr:strictes ≈ en:streak
expression	4	0.8885	0.842	0.842	0.842	A	en:expression ~ fr:expressions ≈ en:express = fr:expresse ≈ en:expressing
expression	4	0.881	0.842	0.842	0.842	A	en:expression ~ fr:expressions ≈ en:express ~ fr:expresse ≈ en:expressing
roles	4	0.9183	0.833	0.833	1.0	A	en:roles ~ en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
roles	4	0.9183	0.833	0.833	1.0	A	en:roles ~ en:role ≈ fr:roll ~ en:roll ≈ fr:rôle
rolls	4	0.9183	0.833	0.833	1.0	A	en:rolls ~ fr:roll ≈ en:role ~ fr:rôle ≈ en:roll
rolls	4	0.9183	0.833	0.833	1.0	A	en:rolls ~ fr:roll ≈ en:role ~ fr:rôles ≈ en:roll
role	3	0.9177	0.833	0.833	1.0	A	en:role ≈ fr:roll ~ en:roll ≈ fr:rôles
role	3	0.9177	0.833	0.833	1.0	A	en:role ≈ fr:roll ~ en:roll ≈ fr:rôle
masses	4	0.8765	0.833	0.833	0.833	A	en:masses ~ fr:masses ≈ en:mouse ~ en:mice ≈ fr:masse
masses	4	0.8765	0.833	0.833	0.833	A	en:masses ~ fr:masse ≈ en:mouse ~ en:mice ≈ fr:masses
exploration	5	0.9022	0.832	0.832	0.889	A	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:exploré = en:explored
exploration	5	0.9016	0.832	0.832	0.886	A	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:explore = en:explores
explored	4	0.8977	0.832	0.832	0.889	A	en:explored = fr:exploré ≈ en:explorer ~ fr:explorer ≈ en:exploring
