en_phrase	fr_phrase	combo	coverage	fluency
and as	en dise	0.552	1.00	0.767
so that	sceaux hâte	0.673	0.83	0.171
which he	litchi	0.619	0.83	0.000
more than	maures aine	0.756	1.00	0.095
the room	brume	0.498	0.80	0.217
part of	partage	0.593	1.00	0.233
may be	méfie	0.728	0.80	0.237
and so	ânes saut	0.534	0.83	0.215
as it	hésite	0.573	1.00	0.380
in that	un date	0.531	1.00	0.519
of them	ives aime	0.619	1.00	0.157
in which	un lèche	0.509	0.83	0.435
it would	est ode	0.534	0.80	0.394
not to	notent ou	0.804	1.00	0.279
the door	laid ores	0.702	1.00	0.337
not be	nabis	0.733	0.80	0.000
of your	avère	0.531	0.80	0.336
sort of	sort ève	0.767	1.00	0.339
would not	laid nattes	0.609	1.00	0.261
chapter the	tchad de	0.621	1.00	0.525
the pequod	repêchage	0.485	0.88	0.217
had not	attenante	0.537	0.83	0.080
from his	frémir	0.575	0.86	0.095
mr collins	mettent calme	0.542	0.89	0.128
he has	hideuse	0.520	0.80	0.047
to make	tonique	0.588	0.83	0.164
mrs bennet	miss ben êtes	0.654	0.90	0.230
to you	bayou	0.633	1.00	0.074
seemed to	cimes doux	0.856	1.00	0.114
my own	marraine	0.652	0.83	0.212
so much	son aphtes	0.452	0.86	0.286
when he	lainé	0.547	0.80	0.018
to do	tatou	0.656	1.00	0.011
and to	aident tout	0.694	1.00	0.412
she could	chicos	0.711	1.00	0.000
be the	bidet	0.655	1.00	0.066
of him	abîme	0.533	0.80	0.170
will not	un hôte	0.481	0.83	0.508
the white	droite	0.553	0.83	0.270
the time	dont âme	0.606	0.83	0.405
the house	boccace	0.488	0.83	0.000
to say	tasser	0.653	0.80	0.062
might be	mat bis	0.758	0.83	0.128
and she	aident chie	0.694	1.00	0.202
they are	billard	0.500	1.00	0.217
with him	vies aime	0.512	0.83	0.340
was to	oies tout	0.717	1.00	0.354
the very	reverrez	0.655	1.00	0.000
and with	en douai	0.497	0.83	0.422
and when	en douanes	0.612	1.00	0.448
he would	élude	0.511	0.80	0.000
my father	mat hâte	0.600	0.83	0.128
if he	est qui	0.492	1.00	0.659
at least	et liste	0.770	1.00	0.634
and all	en bol	0.637	1.00	0.498
the great	regrette	0.642	0.86	0.399
among the	main de	0.500	0.83	0.767
it to	aident ou	0.670	1.00	0.358
this is	des aise	0.512	1.00	0.464
the last	ballast	0.579	1.00	0.053
on his	honnête	0.622	0.80	0.379
the matter	demeure	0.607	1.00	0.233
was in	oies aine	0.643	1.00	0.098
you must	cubiste	0.544	1.00	0.000
and was	ardoise	0.583	1.00	0.198
with her	ouais est	0.531	0.80	0.389
must have	mas taffe	0.599	0.86	0.125
the boat	sabotent	0.595	0.83	0.000
which the	laid je	0.477	0.83	0.580
and her	en de	0.473	0.80	0.760
you may	youpi	0.622	0.80	0.139
all this	hors ès	0.583	1.00	0.234
the sperm	dès pomme	0.509	1.00	0.329
all that	hors êtes	0.571	1.00	0.359
for it	forte	0.837	0.80	0.516
towards the	lords te	0.639	0.78	0.241
in their	un der	0.634	1.00	0.518
him in	hymen	0.557	0.80	0.080
what is	attise	0.536	0.80	0.078
who had	quad	0.511	0.80	0.154
and my	aident mailles	0.568	1.00	0.195
old man	osent man	0.572	0.86	0.458
lady catherine	les écot reine	0.559	0.91	0.328
about the	about de	0.648	0.86	0.766
that in	latine	0.526	1.00	0.348
as she	archi	0.625	1.00	0.202
and it	en dites	0.566	1.00	0.767
the two	dont ou	0.640	1.00	0.466
there are	terreur	0.577	1.00	0.323
but he	bâti	0.658	0.80	0.302
me that	mis hâte	0.696	1.00	0.262
his head	ces aide	0.596	0.83	0.374
of those	aphteuse	0.505	0.83	0.000
not the	nid de	0.582	1.00	0.548
in some	un sam	0.555	1.00	0.514
of an	aven	0.556	1.00	0.072
mr bingley	mettent bain glu	0.604	1.00	0.159
they had	décade	0.505	0.83	0.007
she is	chieuse	0.630	1.00	0.009
in all	idole	0.658	1.00	0.170
you would	yourte	0.590	0.80	0.000
and yet	en diète	0.795	1.00	0.425
of these	aux vise	0.605	1.00	0.427
we have	oisive	0.571	1.00	0.000
to it	tourte	0.621	1.00	0.045
you know	ion au	0.555	0.80	0.387
which was	laid joueuse	0.506	1.00	0.354
and there	n der	0.660	1.00	0.487
we are	lierre	0.498	1.00	0.106
before the	bords est	0.492	0.83	0.421
up and	aubade	0.500	0.80	0.000
as well	aux elle	0.613	0.80	0.530
to go	togo	0.652	0.80	0.242
against the	gaines fle	0.533	0.88	0.058
of its	évince	0.531	0.80	0.000
think that	sain quitte	0.472	0.86	0.353
to think	topique	0.518	0.83	0.018
down the	don de	0.607	0.83	0.767
and if	en tif	0.554	1.00	0.335
by his	baptise	0.684	0.83	0.080
let me	laid mis	0.821	1.00	0.442
that we	d oui	0.612	1.00	0.557
of what	aux votes	0.534	1.00	0.342
white whale	virtuelle	0.456	0.88	0.294
for her	forfait	0.679	1.00	0.367
was now	oies na	0.611	0.83	0.126
for his	foreuse	0.606	0.83	0.000
no more	non ores	0.710	0.83	0.295
as you	aux yeux	0.511	1.00	0.449
up to	aiment ou	0.637	1.00	0.302
his eyes	ces as	0.516	0.83	0.691
the case	secousse	0.571	0.83	0.170
after the	et de	0.475	0.80	0.964
but as	baptise	0.631	1.00	0.080
he could	liquide	0.565	1.00	0.405
enough to	net ou	0.586	0.83	0.352
and what	en watts	0.535	0.83	0.420
the deck	sénèque	0.583	1.00	0.170
in one	idoine	0.538	1.00	0.011
than the	vain de	0.514	1.00	0.657
the man	semaines	0.607	1.00	0.270
is to	usent ou	0.755	1.00	0.302
to this	taux ès	0.607	1.00	0.327
is it	hésite	0.558	1.00	0.380
like the	lacs est	0.618	0.83	0.453
you to	youpi	0.618	1.00	0.139
which had	laid jade	0.510	0.86	0.344
it had	est aide	0.543	0.80	0.439
the day	ledit	0.531	0.80	0.206
the next	connecte	0.612	0.86	0.200
it may	est mes	0.543	0.80	0.543
it in	urine	0.543	1.00	0.246
of course	aux corse	0.565	1.00	0.361
to know	tenez	0.743	0.80	0.170
have no	avenir	0.491	0.83	0.516
soon as	soumise	0.696	1.00	0.323
all his	osseuse	0.586	0.80	0.196
the captain	équipent aine	0.540	0.88	0.039
and at	en date	0.564	1.00	0.509
with me	ouais mis	0.696	1.00	0.262
at his	attise	0.557	0.80	0.078
come to	khan tout	0.725	1.00	0.401
man who	main ou	0.664	0.80	0.467
in it	hittite	0.541	1.00	0.000
that his	baptise	0.514	0.83	0.080
able to	étalent ou	0.713	0.86	0.261
and now	ânes na	0.534	0.83	0.125
could be	con pi	0.634	1.00	0.365
of our	avare	0.531	1.00	0.170
of some	aux femme	0.522	1.00	0.440
that there	dates air	0.593	1.00	0.428
and though	n deux	0.486	0.83	0.611
the morning	don hormone	0.526	1.00	0.334
for ever	force	0.646	0.80	0.512
and by	ânes bas	0.534	0.83	0.207
you can	rouquine	0.601	1.00	0.028
her sister	insiste	0.616	0.83	0.342
does not	des nattes	0.602	1.00	0.353
if it	hittite	0.555	1.00	0.000
mr bennet	mettent ben êtes	0.746	1.00	0.209
my friend	mat reste	0.608	0.88	0.248
me the	misait	0.655	1.00	0.000
at once	étoile	0.509	0.83	0.397
the rest	oreste	0.734	0.83	0.078
is that	aises hâte	0.502	1.00	0.074
the sun	dessine	0.524	1.00	0.292
that of	chétive	0.512	1.00	0.000
think of	sain cave	0.525	1.00	0.302
began to	béguin tout	0.666	1.00	0.319
that this	dates ès	0.512	1.00	0.218
not have	native	0.619	0.83	0.379
her to	fait ou	0.611	1.00	0.492
with an	ouais âne	0.619	1.00	0.181
as much	aux match	0.578	1.00	0.442
from my	frein ma	0.677	0.86	0.401
me in	mienne	0.660	1.00	0.170
the more	gomorrhe	0.661	1.00	0.001
say that	ses êtes	0.683	0.83	0.460
and of	en douves	0.540	1.00	0.348
her own	sereine	0.509	0.83	0.191
know that	nos êtes	0.683	0.83	0.411
down to	donnent ou	0.772	0.83	0.352
he said	et aide	0.643	0.80	0.491
the water	dehors	0.625	0.80	0.516
them and	demande	0.535	0.83	0.233
when she	vain chie	0.662	1.00	0.319
such an	saut chaîne	0.596	1.00	0.377
miss bingley	mis bain glu	0.561	1.00	0.248
his face	quais fesses	0.487	0.86	0.177
in an	un n	0.552	1.00	0.668
round the	ratent de	0.639	0.86	0.441
that was	d vases	0.502	1.00	0.533
and we	aident oui	0.694	1.00	0.313
as we	aux ouïes	0.755	1.00	0.207
you and	yourte	0.538	0.80	0.000
we shall	michel	0.560	1.00	0.512
me with	milice	0.601	1.00	0.258
the present	après aine	0.592	0.78	0.280
it will	toile	0.608	0.80	0.233
the only	lyon lie	0.585	0.86	0.415
there were	servait	0.516	1.00	0.233
the air	tiers	0.626	1.00	0.170
came to	con tout	0.685	0.83	0.524
in him	un hem	0.552	0.80	0.487
moby dick	maudit hic	0.632	0.88	0.195
for my	format	0.885	0.83	0.424
not know	mat nos	0.618	0.83	0.269
of mr	aux veste	0.563	1.00	0.408
any other	un yen	0.496	1.00	0.464
with all	idole	0.615	0.80	0.170
was no	oies nos	0.611	0.83	0.267
am sure	en chair	0.531	1.00	0.601
the night	tenante	0.600	0.83	0.089
no doubt	nos out	0.657	0.86	0.559
some of	son ève	0.586	1.00	0.420
be in	bienne	0.660	1.00	0.060
to give	taxe	0.488	0.80	0.420
shall be	dolby	0.643	1.00	0.064
and not	n date	0.583	1.00	0.487
not so	mat saut	0.618	0.83	0.217
them to	aiment ou	0.799	0.80	0.302
side of	salive	0.671	0.83	0.200
but she	but chie	0.786	1.00	0.510
but that	bêtes êtes	0.602	1.00	0.355
should have	chétive	0.574	0.83	0.000
that my	d ma	0.514	0.83	0.635
for me	former	0.821	1.00	0.505
is no	n au	0.530	0.80	0.614
it were	est ouais	0.570	1.00	0.389
she would	chili	0.588	0.80	0.317
but in	bottines	0.633	1.00	0.101
is very	aux verrez	0.568	1.00	0.361
said she	sait chie	0.826	1.00	0.235
you see	roussi	0.748	1.00	0.000
and you	en sioux	0.631	1.00	0.370
the best	déteste	0.640	1.00	0.430
as soon	aces une	0.536	1.00	0.381
was very	oies verrez	0.652	1.00	0.176
to that	tenante	0.673	1.00	0.089
at first	et veste	0.596	1.00	0.538
or the	hors est	0.655	1.00	0.478
to get	baguette	0.685	1.00	0.270
between the	bien de	0.560	0.86	0.840
not only	d on lie	0.564	0.88	0.635
up in	épines	0.573	1.00	0.179
what he	loti	0.547	0.80	0.095
are not	en hâte	0.551	0.80	0.767
young man	ion man	0.612	1.00	0.485
he did	et ides	0.628	0.80	0.386
at length	athlète	0.549	0.83	0.313
for some	fort âme	0.770	1.00	0.406
under the	n de	0.605	1.00	0.738
to speak	tous pique	0.817	1.00	0.420
my heart	marquantes	0.610	0.86	0.122
some time	savent âme	0.650	0.86	0.393
was so	oies saut	0.611	0.83	0.216
did you	doudou	0.619	0.80	0.164
upon his	otan aise	0.516	0.86	0.264
were the	oiseaux	0.511	1.00	0.270
if the	est de	0.497	1.00	0.817
but to	battent ou	0.821	1.00	0.377
it as	heureuse	0.526	1.00	0.170
it has	est aise	0.543	0.80	0.452
of such	aux sache	0.473	0.83	0.311
this was	niçoise	0.585	1.00	0.072
which she	litchi	0.638	0.83	0.000
the head	tiède	0.586	0.80	0.200
we had	viande	0.509	0.80	0.424
who was	houleuse	0.535	0.80	0.037
to their	taux air	0.702	1.00	0.537
tell me	tellement	0.780	1.00	0.574
but you	bayou	0.724	0.80	0.074
on my	on ma	0.600	0.80	0.699
and they	n d	0.498	0.83	0.683
when you	vain ou	0.547	0.80	0.475
it but	est battent	0.533	1.00	0.464
the subject	des abject	0.636	0.90	0.451
on her	on que	0.455	1.00	0.774
had the	en de	0.525	0.80	0.760
in your	ignore	0.645	0.80	0.170
for him	forum	0.606	0.83	0.170
in its	hertz	0.596	0.80	0.074
no one	neuvaine	0.607	0.83	0.000
to find	t hard	0.537	0.86	0.480
which is	laid chaise	0.525	1.00	0.428
when they	veines et	0.533	0.83	0.441
during the	terrain de	0.487	0.88	0.660
in such	on patch	0.570	1.00	0.542
him but	un battent	0.519	0.83	0.489
of being	aux bine	0.468	0.83	0.230
him as	émises	0.531	0.80	0.219
are you	aria	0.533	1.00	0.416
and this	n dix	0.574	1.00	0.514
that had	détendent	0.512	0.83	0.000
where the	verge	0.536	0.80	0.333
mr holmes	mais poème	0.472	0.78	0.444
out the	art de	0.571	1.00	0.767
to all	toile	0.611	1.00	0.233
to take	t hic	0.680	0.83	0.366
and more	aident maures	0.742	1.00	0.179
be so	bis au	0.864	0.80	0.359
with you	ouais yeux	0.512	1.00	0.266
for you	feriez	0.607	1.00	0.177
much as	mat chaise	0.685	1.00	0.248
to your	théière	0.628	1.00	0.066
the three	laiterie	0.595	1.00	0.091
while the	watts est	0.571	0.83	0.406
said the	sait de	0.802	1.00	0.572
well as	élise	0.524	0.80	0.154
to them	taux aime	0.702	1.00	0.404
is in	usine	0.543	1.00	0.443
at that	athlète	0.519	1.00	0.313
let us	laid as	0.726	1.00	0.675
that if	datif	0.538	1.00	0.000
he might	pimente	0.576	0.83	0.000
look at	layette	0.568	1.00	0.000
too much	toubib	0.521	0.83	0.097
elizabeth was	les aimait oses	0.525	0.90	0.384
with their	ouais der	0.647	1.00	0.232
mr wickham	mais dégomme	0.515	0.89	0.262
it seemed	est cime	0.597	0.83	0.355
the right	baratte	0.589	0.83	0.000
end of	n ève	0.720	1.00	0.398
him the	un de	0.511	0.80	0.871
as for	effort	0.717	0.80	0.518
with such	les sache	0.461	0.86	0.418
miss bennet	mis ben êtes	0.701	1.00	0.298
can be	khan pi	0.655	1.00	0.243
sight of	salive	0.659	0.83	0.200
but there	bêtes air	0.682	1.00	0.439
again and	gain hard	0.496	0.86	0.414
not been	mat bine	0.605	1.00	0.047
but when	bedaine	0.683	0.83	0.000
full of	fleuve	0.632	0.80	0.170
once more	watts maures	0.709	1.00	0.139
and for	aident for	0.742	1.00	0.553
should not	choux nattes	0.609	1.00	0.120
he must	chimiste	0.650	1.00	0.200
have you	avion	0.519	0.80	0.497
they have	dérive	0.491	0.83	0.311
he should	égide	0.519	0.80	0.227
from her	frémit	0.604	0.83	0.170
to come	totem	0.574	1.00	0.152
the long	selon	0.540	0.80	0.316
upon my	otan ma	0.527	0.86	0.408
wish to	lèchent ou	0.718	1.00	0.215
all these	elles use	0.516	1.00	0.444
on this	hommes ès	0.601	1.00	0.312
at this	êtes ès	0.524	1.00	0.288
the wind	david	0.467	0.83	0.233
with it	ouest	0.608	0.80	0.526
by no	bardot	0.587	0.83	0.133
for all	vérole	0.702	1.00	0.030
could have	con ève	0.607	0.83	0.311
see that	civette	0.685	1.00	0.000
was that	oies date	0.578	1.00	0.231
now and	naïade	0.648	0.83	0.000
he will	civil	0.520	1.00	0.369
head and	est hard	0.492	0.83	0.521
the little	générale	0.474	1.00	0.533
but if	but if	0.609	1.00	0.921
or two	orties	0.755	1.00	0.114
am not	en nattes	0.540	1.00	0.356
idea of	habillage	0.458	0.86	0.120
with my	ouais ma	0.590	0.83	0.335
of us	efface	0.555	1.00	0.233
going to	craignent ou	0.527	0.86	0.335
it must	est postent	0.576	1.00	0.384
him that	aimes êtes	0.517	0.83	0.410
which you	laid sioux	0.587	1.00	0.274
away from	avait ram	0.482	0.88	0.392
saw the	sonnets	0.626	1.00	0.233
point of	pain savent	0.593	0.86	0.436
the fire	sofa	0.517	0.80	0.396
him he	chimie	0.515	0.80	0.369
the end	géhenne	0.506	0.80	0.000
have not	avenante	0.621	0.83	0.000
see the	sida	0.641	1.00	0.321
for that	fors hâte	0.744	1.00	0.035
of life	aux light	0.498	1.00	0.555
instead of	un sait ève	0.572	0.88	0.374
and on	en donne	0.758	1.00	0.798
was at	oies êtes	0.631	1.00	0.269
it not	est nattes	0.539	1.00	0.342
time to	tapent ou	0.772	0.83	0.310
my eyes	malaise	0.644	0.83	0.327
an old	en horde	0.511	0.83	0.420
captain ahab	campent énéide	0.577	0.82	0.061
seem to	signent ou	0.755	1.00	0.313
very much	verrouillage	0.573	0.88	0.145
his wife	quais watts	0.573	0.86	0.193
of any	assaini	0.696	1.00	0.000
the line	relate	0.559	0.83	0.476
as in	assène	0.555	1.00	0.060
were to	vont ou	0.645	1.00	0.365
it all	idole	0.645	1.00	0.170
an hour	anar	0.527	1.00	0.000
were not	vain hâte	0.553	1.00	0.301
by her	baquet	0.622	0.80	0.062
the country	chacun tri	0.630	1.00	0.328
is this	aides ès	0.512	1.00	0.260
heard of	est ève	0.540	0.80	0.405
me as	moïse	0.611	1.00	0.170
on board	on borde	0.646	1.00	0.485
of one	avoine	0.643	1.00	0.170
the greatest	congressistes	0.536	0.90	0.001
thought of	saut ève	0.535	1.00	0.232
the window	david au	0.468	0.88	0.391
the name	denim	0.618	0.83	0.034
the cabin	jacobine	0.496	1.00	0.000
no means	nominer	0.702	0.86	0.000
but this	bêtes ès	0.601	1.00	0.229
know what	navette	0.595	0.83	0.271
to hear	tenir	0.686	1.00	0.270
you were	yoyo	0.481	1.00	0.076
was only	les on lie	0.595	0.88	0.628
what do	watt ou	0.632	1.00	0.282
me but	minette	0.681	1.00	0.089
the side	façade	0.577	0.83	0.338
whale and	lézarde	0.471	0.86	0.000
man and	main hard	0.597	1.00	0.425
who is	cuisent	0.528	1.00	0.000
said that	sait date	0.747	1.00	0.321
an instant	in stand	0.579	0.78	0.676
but his	baptise	0.626	0.83	0.080
the family	d en lie	0.524	0.88	0.681
of you	avion	0.526	1.00	0.497
the table	dont épaule	0.558	0.88	0.389
along the	alun de	0.522	1.00	0.409
and had	en zad	0.531	0.83	0.374
the one	devine	0.516	1.00	0.263
it for	est fort	0.727	1.00	0.798
you had	yourte	0.581	0.80	0.000
room and	roumaine	0.680	0.83	0.202
is an	usine	0.526	1.00	0.443
you think	ionique	0.503	0.83	0.087
nothing but	matin battent	0.497	1.00	0.234
no longer	neuronaux	0.480	0.86	0.000
mrs gardiner	miss garent aine	0.541	0.91	0.046
account of	incarnent ève	0.615	1.00	0.122
man of	main ève	0.643	1.00	0.308
for an	freine	0.785	1.00	0.175
way to	veut ou	0.642	0.80	0.397
in any	un henni	0.749	1.00	0.294
with which	ouais ouest	0.486	1.00	0.306
and after	en aphtes	0.612	0.83	0.285
it the	est de	0.524	1.00	0.817
about it	about êtes	0.654	0.86	0.553
to tell	tant elle	0.792	1.00	0.488
it that	êtes êtes	0.531	1.00	0.413
to us	traces	0.618	1.00	0.437
may have	missive	0.596	0.83	0.099
tell you	ailier	0.600	0.80	0.242
by some	bas âme	0.707	0.83	0.322
back to	piquent ou	0.714	1.00	0.285
and mrs	en mais aise	0.511	0.88	0.492
what was	vaudoise	0.530	1.00	0.047
to look	talc	0.632	0.80	0.055
that when	châtelaine	0.587	1.00	0.022
it it	irrite	0.575	1.00	0.137
the stranger	des train d	0.462	0.90	0.563
had never	un ève	0.690	0.83	0.429
go to	gadoue	0.637	0.80	0.000
but what	but watts	0.681	1.00	0.508
the ground	dégradé	0.519	0.88	0.237
it seems	est cime	0.592	0.83	0.355
but not	but nattes	0.670	1.00	0.444
with them	ouais gemmes	0.647	1.00	0.097
to mr	tapette	0.567	0.83	0.135
so many	son henni	0.753	0.86	0.285
found that	fan date	0.698	0.88	0.306
spite of	sportive	0.614	1.00	0.348
kind of	cannes ève	0.668	0.86	0.193
all my	allemagne	0.571	1.00	0.333
have seen	aux fine	0.589	0.83	0.516
the body	rebâti	0.578	1.00	0.000
any of	un ive	0.573	0.80	0.416
to any	tournis	0.675	1.00	0.053
we must	limite	0.589	0.83	0.497
the latter	relire	0.583	1.00	0.273
the place	replace	0.631	0.86	0.316
is all	isole	0.787	1.00	0.160
so far	saut are	0.700	0.83	0.557
far as	foreuse	0.613	1.00	0.000
upon me	pan mis	0.634	0.83	0.335
knew that	nous êtes	0.702	1.00	0.508
seems to	cimes ou	0.856	0.83	0.256
she has	chieuse	0.626	0.80	0.009
the letter	blair	0.691	0.80	0.233
her husband	hais benêt	0.496	0.78	0.102
to one	talonne	0.600	1.00	0.000
from that	frein date	0.643	1.00	0.299
you that	yeux êtes	0.583	1.00	0.409
to which	taloche	0.560	0.83	0.000
in our	un aï	0.514	1.00	0.324
hand and	en tilde	0.513	0.86	0.285
and every	en rêverie	0.732	1.00	0.366
the light	relate	0.671	0.83	0.476
after all	et folle	0.593	0.83	0.441
she did	chez ides	0.704	1.00	0.237
ought to	ont tout	0.678	1.00	0.767
that all	désole	0.595	1.00	0.198
by this	bas ès	0.695	0.83	0.227
see him	siam	0.602	0.80	0.135
were in	lorraine	0.528	1.00	0.355
were all	vérole	0.706	1.00	0.030
of me	admis	0.618	1.00	0.371
from him	fredonne	0.531	0.86	0.000
down in	don n	0.619	0.83	0.590
whale is	valises	0.523	0.83	0.258
if she	est chie	0.637	1.00	0.408
is so	s au	0.530	0.80	0.702
not in	matines	0.538	1.00	0.000
just as	des thèse	0.554	0.86	0.518
your own	ronronne	0.501	0.83	0.020
upon it	pan êtes	0.540	0.83	0.344
few minutes	poumon hisse	0.542	0.78	0.147
and from	en frime	0.588	0.86	0.324
them in	démène	0.538	1.00	0.022
out to	hantent ou	0.750	0.80	0.255
at my	et ma	0.543	0.80	0.830
there and	terrine	0.496	0.83	0.045
it so	est saut	0.543	0.80	0.479
mast head	mes cède	0.673	0.86	0.341
was an	oies âne	0.643	1.00	0.179
to elizabeth	tels abaisse	0.497	0.89	0.275
entered the	n te	0.748	0.83	0.464
you do	doudou	0.763	1.00	0.164
only to	on lient ou	0.777	0.86	0.473
my life	malaxe	0.627	0.86	0.000
then the	sain de	0.531	1.00	0.564
as possible	aux pas belle	0.481	1.00	0.507
at home	et tome	0.549	0.83	0.767
what you	vaudou	0.514	0.80	0.129
and down	ânes dan	0.689	0.86	0.227
over his	aux caisse	0.464	0.83	0.440
into his	un treize	0.499	0.86	0.490
side and	sardines	0.559	0.86	0.152
and even	en divine	0.664	1.00	0.509
not at	natif	0.529	1.00	0.260
be sure	bichonne	0.690	1.00	0.000
on that	hommes hâte	0.575	1.00	0.295
that mr	d piste	0.551	1.00	0.568
as his	assises	0.545	0.80	0.319
saw him	poème	0.513	0.80	0.346
across the	écrans de	0.567	1.00	0.565
me for	met or	0.703	1.00	0.657
but at	battante	0.625	1.00	0.120
such as	saut chaise	0.606	1.00	0.337
the lady	gelées et	0.584	0.86	0.434
we may	limer	0.657	0.80	0.000
it might	est mate	0.636	0.83	0.506
for he	forcé	0.702	1.00	0.380
to our	trahi	0.488	1.00	0.269
with some	ouais sam	0.580	1.00	0.228
in order	un horde	0.749	1.00	0.430
in these	un disent	0.634	1.00	0.445
be of	brave	0.618	1.00	0.473
off the	offrait	0.611	1.00	0.235
but one	bédouine	0.603	1.00	0.000
the crew	écrou	0.684	0.80	0.093
his friend	quais freine	0.607	0.88	0.179
what she	litchi	0.706	1.00	0.000
but with	baptise	0.511	0.83	0.080
him for	un fort	0.695	0.83	0.767
is as	hideuse	0.528	1.00	0.047
the least	soliste	0.736	1.00	0.112
