score	sound	cos	hops	seed	endpoint	chain
0.8160	0.933	0.125	6	prejudice	tireur	en:prejudice ≈ fr:prêt jouent hisse ~ fr:jouent aise ≈ en:shooters ~ fr:shooter ≈ en:shooter = fr:tireur
0.8156	0.910	0.104	6	acquire	quad dix	en:acquire ~ en:acquired ≈ fr:quad ~ fr:quad tee ≈ en:quantity ~ en:quantities ≈ fr:quad dix
0.8151	0.944	0.137	6	fee	foire	en:fee ≈ fr:fit ~ en:fit ≈ fr:faites ~ fr:faire ≈ en:fair = fr:foire
0.8150	0.849	0.040	5	tax	toucher	en:tax ~ fr:taxes ≈ en:tasks ~ fr:tâche ≈ en:touch = fr:toucher
0.8143	0.921	0.116	5	butter	rat haine	en:butter ≈ fr:beauté ~ en:beauty ≈ fr:pourri = en:rotten ≈ fr:rat haine
0.8141	0.895	0.090	6	supper	flexibles	en:supper = fr:souper ≈ en:soupy ~ en:soup ≈ fr:souple = en:flexible ≈ fr:flexibles
0.8132	0.916	0.112	6	exhibitions	sourde	en:exhibitions ~ en:exhibited ≈ fr:exhibent aide ~ fr:fait aide ≈ en:fitted ~ en:suited ≈ fr:sourde
0.8130	0.880	0.076	6	boobs	raids	en:boobs ~ en:breast ≈ fr:restent ~ fr:restera ≈ en:red error ~ en:red ≈ fr:raids
0.8130	0.906	0.103	6	duchess	sandwichs	en:duchess ≈ fr:dit chaise ~ fr:sain dit chaise ≈ en:sandwiches ~ fr:sandwich ≈ en:sandwich = fr:sandwichs
0.8130	0.899	0.096	6	eggs	routes	en:eggs ~ en:eggers ≈ fr:aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:routes
0.8120	0.884	0.081	6	forums	jeep	en:forums ~ en:forum ≈ fr:formes = en:shapes ≈ fr:gypse ~ en:gyp ≈ fr:jeep
0.8119	0.879	0.076	5	duck	orthodoxes	en:duck ~ en:ducks ≈ fr:axe ~ fr:hochet axe ≈ en:orthodox ~ fr:orthodoxes
0.8118	0.938	0.135	6	sensors	souhait in	en:sensors ~ en:sensor ≈ fr:sain ses ~ fr:souhaites ≈ en:sweat ~ en:sweating ≈ fr:souhait in
0.8117	0.928	0.125	6	meter	mythes	en:meter ~ en:meters ≈ fr:mitose ~ fr:mites ≈ en:meet ~ en:meets ≈ fr:mythes
0.8116	0.810	-0.002	6	ought yen	glaces	en:ought yen ~ en:yen ≈ fr:tiennes ~ fr:terne ≈ en:staring ~ en:glance ≈ fr:glaces
0.8111	0.967	0.161	6	soupy	superstar	en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupes ~ fr:soupes ta ≈ en:superstar ~ fr:superstar
0.8110	0.943	0.140	5	salaries	cellule	en:salaries ~ en:salary ≈ fr:sellerie ~ en:seller ≈ fr:celle ~ fr:cellule
0.8108	0.938	0.136	4	density	refusée	en:density ≈ fr:tain cité ~ fr:tain aède ≈ en:denied = fr:refusée
0.8107	0.884	0.083	6	serum	sermons	en:serum ≈ fr:serbe ~ fr:serbie ≈ en:ceremony ~ en:ceremonies ≈ fr:sermon aise ~ fr:sermons
0.8105	0.992	0.183	2	lease	lumière	en:lease ≈ fr:lys ~ fr:lumière
0.8104	0.958	0.154	5	parenting	metal	en:parenting ~ en:parental ≈ fr:prennent elle ~ fr:met elle ≈ en:metal ~ fr:metal
0.8103	0.926	0.125	6	sacked	sexuel	en:sacked ≈ fr:sectes ~ fr:secte ≈ en:sicked ~ en:sicks ≈ fr:sexe ~ fr:sexuel
0.8093	0.888	0.089	6	deed arse	symptômes	en:deed arse ~ en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ en:set um ≈ fr:symptômes
0.8089	0.933	0.133	6	debt inner	sexe	en:debt inner ~ en:debt ≈ fr:dettes ~ en:seas ≈ fr:six ~ en:six ≈ fr:sexe
0.8089	0.939	0.139	5	naive	couture	en:naive ~ fr:naïf ≈ en:knife = fr:couteau ≈ en:couture ~ fr:couture
0.8089	0.965	0.162	6	queen	coûts	en:queen ≈ fr:couinent ~ fr:coudes ≈ en:cooed ~ en:coot ≈ fr:coûte ~ fr:coûts
0.8086	0.935	0.135	5	temperature	tendres	en:temperature ~ en:temperatures ≈ fr:tain prêt chaise ~ fr:tain des ≈ en:tender = fr:tendres
0.8080	0.900	0.102	5	sell	storm	en:sell ~ en:sells ≈ fr:selle ~ fr:tome ≈ en:storm ~ fr:storm
0.8078	0.914	0.116	6	selfie	storm	en:selfie ≈ fr:seller ~ en:seller ≈ fr:selle ~ fr:tome ≈ en:storm ~ fr:storm
0.8077	0.928	0.130	6	detector	activiste	en:detector ≈ fr:détecte = en:detect ≈ fr:dit acte ~ fr:actes est ≈ en:activist ~ fr:activiste
0.8077	0.930	0.132	6	lens	routes	en:lens ~ en:lenses ≈ fr:laines aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:routes
0.8076	0.899	0.102	6	mouse	corner	en:mouse ~ en:mice ≈ fr:maïs = en:corn ≈ fr:corne ~ en:corny ≈ fr:corner
0.8075	0.906	0.109	6	dj	sets	en:dj ≈ fr:dit g ~ fr:cet ≈ en:set ~ fr:set ≈ en:sets ~ fr:sets
0.8072	0.964	0.163	6	peacock	beck	en:peacock ≈ fr:bicoque ~ fr:bique ≈ en:beak = fr:bec ≈ en:beck ~ fr:beck
0.8070	0.893	0.096	5	merger	modestes	en:merger ≈ fr:met chez ~ fr:bossent chez ≈ en:moisture ~ en:moist ≈ fr:modestes
0.8070	0.876	0.079	6	grant	dit chaise	en:grant ~ en:granted ≈ fr:cran tête ~ fr:tête ≈ en:taught ~ en:teaches ≈ fr:dit chaise
0.8069	0.903	0.106	6	increase	crack	en:increase ~ en:increased ≈ fr:christ ~ en:christ ≈ fr:crasse ~ en:cruck ≈ fr:crack
0.8069	0.882	0.085	6	rose	rate	en:rose ~ fr:rose ≈ en:rows ~ en:row ≈ fr:rot ~ en:rot ≈ fr:rate
0.8069	0.920	0.123	6	boarding	pouf	en:boarding ≈ fr:bottines = en:boots ≈ fr:poutses ~ fr:pouffent ≈ en:poof ~ fr:pouf
0.8065	0.897	0.101	5	limb	litres	en:limb ~ fr:limbes ≈ en:lib ~ fr:lire ≈ en:litre ~ fr:litres
0.8062	0.911	0.115	6	print	twist	en:print ~ en:printed ≈ fr:prennent aide ~ fr:tissent aide ≈ en:twisted ~ en:twist ≈ fr:twist
0.8055	0.915	0.120	6	coaching	richement	en:coaching ≈ fr:coud chine ~ fr:rient chine ≈ en:reaching ~ en:reach ≈ fr:riches ~ fr:richement
0.8047	0.982	0.181	6	debt	vues	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises ≈ en:sees ~ fr:vues
0.8047	0.955	0.157	4	teddy	expulser	en:teddy ≈ fr:dédie ~ fr:dépote ≈ en:deport = fr:expulser
0.8045	0.942	0.146	6	lifted	libye	en:lifted ~ fr:lift ≈ en:leaped ~ en:leap ≈ fr:lippe ~ en:lippy ≈ fr:libye
0.8044	0.904	0.110	6	explode	explorer	en:explode ~ fr:explose ≈ en:explore ~ fr:explore ≈ en:explored ~ en:exploring ≈ fr:explorer
0.8044	0.915	0.121	6	arrested	mètre	en:arrested ≈ fr:hérissent aide ~ fr:met aide ≈ en:method ~ fr:méthode ≈ en:metered ~ fr:mètre
0.8043	0.926	0.131	6	roses	rôle	en:roses ~ fr:roses ≈ en:roles ~ en:role ≈ fr:roll ~ en:roll ≈ fr:rôle
0.8042	0.955	0.158	5	creak	kiwi	en:creak ~ en:creaky ≈ fr:kiki ~ fr:kiwis ≈ en:kiwi ~ fr:kiwi
0.8041	0.916	0.122	6	feast	files	en:feast = fr:festin ≈ en:fest ~ fr:fête ≈ en:felt ~ en:feel ≈ fr:files
0.8032	0.911	0.118	6	threads	seize	en:threads ≈ fr:treize = en:thirteen ≈ fr:fait in ~ fr:sises ≈ en:seize ~ fr:seize
0.8031	0.897	0.105	6	supper	flexible	en:supper = fr:souper ≈ en:soupy ~ en:soup ≈ fr:souple = en:flexible ≈ fr:flexible
0.8029	0.957	0.161	6	retired	store	en:retired ≈ fr:rient aède ~ fr:rient hélas ≈ en:retailers ~ fr:stores ≈ en:store ~ fr:store
0.8027	0.906	0.114	6	fastest	honoraires	en:fastest ≈ fr:fats test ~ fr:fat ≈ en:fi ~ fr:fi ≈ en:fee = fr:honoraires
0.8026	0.927	0.134	6	excel	sexuel	en:excel ≈ fr:ex aile ~ en:ex ≈ fr:sexe ~ fr:sexes ≈ en:sex ~ fr:sexuel
0.8021	0.891	0.100	6	jews	chats	en:jews ~ en:jewish ≈ fr:douche ~ en:douche ≈ fr:douches = en:shower ≈ fr:chats
0.8016	0.927	0.135	6	resting	raids	en:resting ~ en:rest ≈ fr:restent ~ fr:restera ≈ en:red error ~ en:red ≈ fr:raids
0.8016	0.944	0.151	6	routeing	bride	en:routeing ~ en:route ≈ fr:routes ~ en:routes ≈ fr:race = en:breed ≈ fr:bride
0.8014	0.928	0.136	6	speeds	triste	en:speeds ~ fr:vitesse ≈ en:beaters ~ en:beater ≈ fr:bitter ~ en:triste ≈ fr:triste
0.8014	0.945	0.152	4	denied	densité	en:denied ≈ fr:tain aède ~ fr:tain cité ≈ en:density ~ fr:densité
0.8004	0.899	0.110	6	rotter	bride	en:rotter ~ en:rotten ≈ fr:rat haine ~ en:rats ≈ fr:race = en:breed ≈ fr:bride
0.8002	0.904	0.115	5	cookie	kiwi	en:cookie ~ en:cookies ≈ fr:kiki ~ fr:kiwis ≈ en:kiwi ~ fr:kiwi
0.8001	0.910	0.121	6	releases	trousses	en:releases ≈ fr:relis aise ~ fr:relis ≈ en:really ~ en:truly ≈ fr:trous lies ~ fr:trousses
0.8000	0.921	0.131	6	release	trous lies	en:release ~ en:releases ≈ fr:relis aise ~ fr:relis ≈ en:really ~ en:truly ≈ fr:trous lies
0.7998	0.938	0.147	3	receipt	résistances	en:receipt ~ en:receipt arse ≈ fr:résistance ~ fr:résistances
0.7995	0.895	0.107	3	sleeve	installe	en:sleeve ~ fr:haines taule ≈ en:install ~ fr:installe
0.7994	0.899	0.111	6	jews	chase	en:jews ~ en:jewish ≈ fr:douche ~ en:douche ≈ fr:douches = en:showers ≈ fr:chase
0.7994	0.932	0.142	6	pest	paix	en:pest ≈ fr:pestes ~ fr:peste ≈ en:pissed ~ fr:pisse ≈ en:peace ~ fr:paix
0.7992	0.954	0.162	6	sicked	secs	en:sicked ~ en:sicks ≈ fr:sexe ~ fr:sexes ≈ en:secs ~ en:sec ≈ fr:secs
0.7985	0.869	0.081	6	kenneth	quad dix	en:kenneth ~ en:kennedy ≈ fr:conneries ~ fr:connerie ≈ en:quantity ~ en:quantities ≈ fr:quad dix
0.7982	0.895	0.108	6	mortgages	catch	en:mortgages ≈ fr:moquent chaise ~ fr:coud chaise ≈ en:coaches ~ fr:coach ≈ en:catch ~ fr:catch
0.7982	0.959	0.168	6	sketch	skier	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:skient chaise ~ fr:skient ≈ en:ski ~ fr:skier
0.7979	0.964	0.172	2	forty	votants	en:forty ≈ fr:voter ~ fr:votants
0.7978	0.930	0.142	2	autumn eater	indemnités	en:autumn eater ≈ fr:indemnité ~ fr:indemnités
0.7977	0.913	0.126	6	offshore	chics	en:offshore ≈ fr:offshore ~ en:seaport ≈ fr:chipote ~ fr:chique ≈ en:chic = fr:chics
0.7973	0.948	0.159	3	casting	dégoûtant	en:casting ~ fr:dis casting ≈ en:disgusting ~ fr:dégoûtant
0.7971	0.932	0.145	6	speed	triste	en:speed ~ fr:vitesse ≈ en:beaters ~ en:beater ≈ fr:bitter ~ en:triste ≈ fr:triste
0.7970	0.948	0.159	6	bride	routes	en:bride ~ fr:bride ≈ en:breed = fr:race ≈ en:routes ~ en:route ≈ fr:routes
0.7970	0.953	0.164	5	hair	coup	en:hair ~ fr:cheveux ≈ en:chevy ~ fr:coupe ≈ en:coup ~ fr:coup
0.7963	0.997	0.201	2	lease	luce	en:lease ≈ fr:lys ~ fr:luce
0.7961	0.849	0.062	6	brakes	boxe	en:brakes ~ en:brake ≈ fr:briques ~ en:bricks ≈ fr:boxes ~ en:box ≈ fr:boxe
0.7961	0.882	0.097	6	flames	tels	en:flames ~ en:flame ≈ fr:flemme ~ fr:taule ≈ en:told ~ en:tell ≈ fr:tels
0.7959	0.878	0.094	5	tribes	trump	en:tribes ~ en:tribe ≈ fr:trappes ~ fr:trappe ≈ en:trump ~ fr:trump
0.7958	0.884	0.100	4	penguin	douloureux	en:penguin ≈ fr:pain gouine ~ fr:pain folle ≈ en:painful ~ fr:douloureux
0.7957	0.884	0.100	5	duck	orthodoxe	en:duck ~ en:ducks ≈ fr:axe ~ fr:hochet axe ≈ en:orthodox ~ fr:orthodoxe
0.7953	0.946	0.159	5	rumors	roumanie	en:rumors ~ en:rumor ≈ fr:room ~ en:room ≈ fr:roumains ~ fr:roumanie
0.7951	0.880	0.096	6	stretch	infrastructures	en:stretch ≈ fr:stretch ~ en:stretching ≈ fr:stretching ~ fr:on stretch ≈ en:infrastructure ~ fr:infrastructures
0.7950	0.870	0.086	3	dog	canyon	en:dog ~ fr:canine ≈ en:canyon ~ fr:canyon
0.7948	0.885	0.102	2	flights	flatte	en:flights ~ en:flight ≈ fr:flatte
0.7941	0.883	0.101	4	penguin	douloureuse	en:penguin ≈ fr:pain gouine ~ fr:pain folle ≈ en:painful ~ fr:douloureuse
0.7940	0.897	0.115	6	enforced	sourde	en:enforced ~ en:enforce ≈ fr:aident os ~ fr:fait aide ≈ en:fitted ~ en:suited ≈ fr:sourde
0.7938	0.880	0.098	5	peach	cab	en:peach = fr:pêche ≈ en:picture ~ fr:képi ≈ en:cabbie ~ fr:cab
0.7938	0.898	0.116	6	doll	cross	en:doll = fr:poupée ≈ en:poop = fr:crotte ≈ en:crossed ~ en:crosse ≈ fr:cross
0.7937	0.885	0.103	4	penguin	douloureuses	en:penguin ≈ fr:pain gouine ~ fr:pain folle ≈ en:painful ~ fr:douloureuses
0.7937	0.957	0.171	4	creaky	kiwi	en:creaky ≈ fr:kiki ~ fr:kiwis ≈ en:kiwi ~ fr:kiwi
