word	ipa
find	faɪnd
help	hɛlp
high	haɪ
little	lɪɹəl
old	oʊld
since	sɪns
another	ɐnʌðɚ
does	dʌz
own	oʊn
things	θɪŋz
under	ʌndɚ
during	dʊɹɹɪŋ
game	ɡeɪm
thing	θɪŋ
give	ɡɪv
house	haʊs
place	pleɪs
school	skul
again	ɐɡɛn
next	nɛkst
each	itʃ
mr	mɪstɚ
without	wɪðaʊt
against	ɐɡɛnst
end	ɛnd
found	faʊnd
must	mʌst
show	ʃoʊ
big	bɪɡ
feel	fil
sure	ʃʊɹ
team	tim
ever	ɛvɚ
family	fæmɪli
keep	kip
might	maɪt
please	pliz
put	pʊt
money	mʌni
free	fɹi
second	sɛkənd
someone	sʌmwʌn
away	ɐweɪ
left	lɛft
number	nʌmbɚ
city	sɪɹi
days	deɪz
lot	lɑt
name	neɪm
night	naɪt
play	pleɪ
until	ʌntɪl
company	kʌmpəni
doing	duɪŋ
few	fju
let	lɛt
real	ɹiəl
called	kɔld
different	dɪfɹənt
having	hævɪŋ
set	sɛt
thought	θɔt
done	dʌn
however	haʊɛvɚ
getting	ɡɛɹɪŋ
god	ɡɑd
government	ɡʌvɚnmənt
group	ɡɹup
looking	lʊkɪŋ
public	pʌblɪk
top	tɑp
women	wɪmɪn
business	bɪznəs
care	kɛɹ
start	stɑɹt
system	sɪstəm
times	taɪmz
week	wik
already	ɔlɹɛdi
anything	ɛnɪθɪŋ
case	keɪs
nothing	nʌθɪŋ
person	pɜsən
today	tədeɪ
change	tʃeɪndʒ
enough	ɪnʌf
everything	ɛvɹɪθɪŋ
full	fʊl
live	laɪv
making	meɪkɪŋ
point	pɔɪnt
read	ɹid
told	toʊld
yet	jɛt
bad	bæd
four	foɹ
hard	hɑɹd
mean	min
once	wʌns
support	səpoɹt
tell	tɛl
including	ɪŋkludɪŋ
music	mjuzɪk
power	paʊɚ
seen	sin
states	steɪts
stop	stɑp
water	wɔɹɚ
based	beɪst
believe	bᵻliv
call	kɔl
head	hɛd
men	mɛn
national	næʃənəl
small	smɔl
took	tʊk
white	waɪt
came	keɪm
far	fɑɹ
job	dʒɑb
side	saɪd
though	ðoʊ
try	tɹaɪ
went	wɛnt
yes	jɛs
actually	æktʃuəli
american	ɐmɛɹɪkən
later	leɪɹɚ
less	lɛs
line	laɪn
order	ɔɹdɚ
party	pɑɹɹi
run	ɹʌn
says	sɛz
service	sɜvɪs
country	kʌntɹi
open	oʊpən
season	sizən
shit	ʃɪt
thank	θæŋk
children	tʃɪldɹən
everyone	ɛvɹɪwʌn
general	dʒɛnɚɹəl
trying	tɹaɪɪŋ
united	junaɪɹᵻd
using	juzɪŋ
area	ɛɹiə
black	blæk
d	di
following	fɑloʊɪŋ
law	lɔ
makes	meɪks
together	təɡɛðɚ
war	wɔɹ
whole	hoʊl
car	kɑɹ
face	feɪs
five	faɪv
kind	kaɪnd
maybe	meɪbi
per	pɜ
president	pɹɛzɪdənt
story	stoɹi
working	wɜkɪŋ
course	koɹs
games	ɡeɪmz
health	hɛlθ
hope	hoʊp
important	ɪmpoɹtənt
least	list
means	minz
news	nuz
within	wɪðɪn
able	eɪbəl
book	bʊk
early	ɜli
friends	fɹɛndz
information	ɪnfɚmeɪʃən
local	loʊkəl
oh	oʊ
post	poʊst
t	ti
thanks	θæŋks
video	vɪdɪoʊ
young	jʌŋ
ago	ɐɡoʊ
others	ʌðɚz
social	soʊʃəl
talk	tɔk
court	koɹt
fact	fækt
given	ɡɪvən
guys	ɡaɪz
half	hæf
hand	hænd
level	lɛvəl
mind	maɪnd
often	ɔfən
single	sɪŋɡəl
become	bɪkʌm
body	bɑdi
coming	kʌmɪŋ
control	kəntɹoʊl
death	dɛθ
food	fud
guy	ɡaɪ
hours	aʊɚz
office	ɑfɪs
pay	peɪ
problem	pɹɑbləm
south	saʊθ
true	tɹu
almost	ɔlmoʊst
fuck	fʌk
history	hɪstɚɹi
known	noʊn
large	lɑɹdʒ
lost	lɔst
m	ɛm
research	ɹᵻsɜtʃ
room	ɹum
several	sɛvɹəl
started	stɑɹɹᵻd
taking	teɪkɪŋ
university	junɪvɜsᵻɹi
win	wɪn
wrong	ɹɔŋ
along	ɐlɔŋ
anyone	ɛnɪwʌn
else	ɛls
girl	ɡɜl
john	dʒɑn
matter	mæɹɚ
pretty	pɹɪɹi
remember	ɹᵻmɛmbɚ
air	ɛɹ
bit	bɪt
friend	fɹɛnd
hit	hɪt
needs	nidz
nice	naɪs
playing	pleɪɪŋ
probably	pɹɑbəbli
saying	seɪɪŋ
understand	ʌndɚstænd
yeah	jɛh
york	jɔɹk
class	klæs
close	kloʊs
comes	kʌmz
idea	aɪdiə
international	ɪntɚnæʃənəl
looks	lʊks
past	pæst
possible	pɑsᵻbəl
wanted	wɔntᵻd
b	bi
cause	kɔz
due	du
happy	hæpi
human	hjumən
members	mɛmbɚz
months	mʌnθs
move	muv
question	kwɛstʃən
r	ɑɹ
series	sɪɹiz
wait	weɪt
woman	wʊmən
ask	æsk
community	kəmjunᵻɹi
data	deɪɹə
late	leɪt
leave	liv
north	nɔɹθ
saw	sɔ
special	spɛʃəl
watch	wɑtʃ
c	si
either	iðɚ
fucking	fʌkɪŋ
future	fjutʃɚ
light	laɪt
low	loʊ
million	mɪliən
morning	mɔɹnɪŋ
police	pəlis
short	ʃɔɹt
stay	steɪ
taken	teɪkən
age	eɪdʒ
buy	baɪ
deal	dil
rather	ɹæðɚ
reason	ɹizən
red	ɹɛd
report	ɹᵻpoɹt
soon	sun
third	θɜd
turn	tɜn
whether	wɛðɚ
among	ɐmʌŋ
check	tʃɛk
development	dɪvɛləpmənt
form	fɔɹm
further	fɜðɚ
heart	hɑɹt
minutes	mɪnɪts
myself	maɪsɛlf
services	sɜvɪsᵻz
yourself	joɹsɛlf
act	ækt
although	ɔlðoʊ
asked	æskt
child	tʃaɪld
fire	faɪɚ
fun	fʌn
living	lɪvɪŋ
major	meɪdʒɚ
media	midiə
phone	foʊn
players	pleɪɚz
art	ɑɹt
behind	bᵻhaɪnd
building	bɪldɪŋ
easy	izi
gonna	ɡənə
market	mɑɹkɪt
near	nɪɹ
non	nɑn
plan	plæn
political	pəlɪɹɪkəl
quite	kwaɪt
six	sɪks
talking	tɔkɪŋ
west	wɛst
works	wɜks
according	ɐkoɹdɪŋ
available	ɐveɪləbəl
e	i
education	ɛdʒukeɪʃən
final	faɪnəl
former	fɔɹmɚ
front	fɹʌnt
kids	kɪdz
list	lɪst
ready	ɹɛdi
sometimes	sʌmtaɪmz
son	sʌn
street	stɹit
bring	bɹɪŋ
college	kɑlɪdʒ
current	kɜɹənt
example	ɛɡzæmpəl
experience	ɛkspiəɹɪəns
heard	hɜd
london	lʌndən
meet	mit
program	pɹoʊɡɹæm
type	taɪp
baby	beɪbi
chance	tʃæns
father	fɑðɚ
march	mɑɹtʃ
process	pɹɑsɛs
song	sɔŋ
study	stʌdi
word	wɜd
across	əkɹɑs
action	ækʃən
clear	klɪɹ
gave	ɡeɪv
gets	ɡɛts
himself	hɪmsɛlf
month	mʌnθ
outside	aʊtsaɪd
self	sɛlf
students	studənts
words	wɜdz
board	boɹd
cost	kɔst
cut	kʌt
dr	dɑktɚ
field	fild
held	hɛld
instead	ɪnstɛd
main	meɪn
moment	moʊmənt
mother	mʌðɚ
road	ɹoʊd
seems	simz
thinking	θɪŋkɪŋ
town	taʊn
wants	wɔnts
de	də
department	dᵻpɑɹtmənt
energy	ɛnɚdʒi
fight	faɪt
fine	faɪn
force	foɹs
hear	hɪɹ
issue	ɪʃu
played	pleɪd
points	pɔɪnts
price	pɹaɪs
re	ɹi
rest	ɹɛst
results	ɹɪzʌlts
running	ɹʌnɪŋ
shows	ʃoʊz
space	speɪs
summer	sʌmɚ
term	tɜm
wife	waɪf
america	ɐmɛɹɪkə
beautiful	bjuɹifəl
date	deɪt
goes	ɡoʊz
killed	kɪld
land	lænd
miss	mɪs
project	pɹɑdʒɛkt
sex	sɛks
shot	ʃɑt
site	saɪt
strong	stɹɔŋ
account	ɐkaʊnt
co	koʊ
especially	ɪspɛʃəli
eyes	aɪz
include	ɪŋklud
june	dʒun
parents	pɛɹənts
period	piəɹɪəd
position	pəzɪʃən
record	ɹɛkɚd
similar	sɪmɪlɚ
total	toʊɹəl
w	dʌbəlju
above	əbʌv
club	klʌb
common	kɑmən
died	daɪd
film	fɪlm
happened	hæpənd
knew	nu
lead	lid
likely	laɪkli
military	mɪlətɛɹi
perfect	pɜfɛkt
personal	pɜsənəl
security	sᵻkjʊɹɹᵻɹi
share	ʃɛɹ
st	sənt
tv	tivi
won	wʌn
x	ɛks
april	eɪpɹəl
center	sɛntɚ
county	kaʊnti
couple	kʌpəl
dead	dɛd
english	ɪŋɡlɪʃ
happen	hæpən
hold	hoʊld
industry	ɪndʌstɹi
inside	ɪnsaɪd
issues	ɪʃuz
online	ɑnlaɪn
player	pleɪɚ
private	pɹaɪvət
problems	pɹɑbləmz
return	ɹᵻtɜn
rights	ɹaɪts
sense	sɛns
star	stɑɹ
test	tɛst
view	vju
weeks	wiks
break	bɹeɪk
british	bɹɪɹɪʃ
companies	kʌmpəniz
event	ᵻvɛnt
higher	haɪɚ
hour	aʊɚ
l	ɛl
member	mɛmbɚ
middle	mɪdəl
needed	nidᵻd
present	pɹɛzənt
result	ɹɪzʌlt
sorry	sɑɹi
takes	teɪks
training	tɹeɪnɪŋ
wish	wɪʃ
answer	ænsɚ
boy	bɔɪ
design	dɪzaɪn
finally	faɪnəli
girls	ɡɜlz
gold	ɡoʊld
gone	ɡɔn
guess	ɡɛs
interest	ɪntɹɛst
july	dʒulaɪ
king	kɪŋ
learn	lɜn
policy	pɑlɪsi
society	səsaɪəɹi
added	ædᵻd
al	æl
alone	ɐloʊn
average	ævɹɪdʒ
bank	bæŋk
brought	bɹɔt
certain	sɜʔn̩
church	tʃɜtʃ
east	ist
hands	hændz
hot	hɑt
longer	lɔŋɡɚ
medical	mɛdɪkəl
movie	muvi
original	ɚɹɪdʒɪnəl
park	pɑɹk
performance	pɚfoɹməns
press	pɹɛs
received	ɹᵻsivd
role	ɹoʊl
sent	sɛnt
themselves	ðɛmsɛlvz
tried	tɹaɪd
worked	wɜkt
worth	wɜθ
areas	ɛɹiəz
became	bɪkeɪm
bill	bɪl
books	bʊks
cool	kul
director	dᵻɹɛktɚ
exactly	ɛɡzæktli
giving	ɡɪvɪŋ
ground	ɡɹaʊnd
meeting	miɹɪŋ
n	ɛn
provide	pɹəvaɪd
questions	kwɛstʃənz
relationship	ɹᵻleɪʃənʃɪp
september	sɛptɛmbɚ
sound	saʊnd
source	soɹs
usually	juʒuəli
value	vælju
evidence	ɛvɪdəns
follow	fɑloʊ
lives	laɪvz
official	əfɪʃəl
ok	oʊkeɪ
production	pɹədʌkʃən
rate	ɹeɪt
reading	ɹidɪŋ
round	ɹaʊnd
save	seɪv
stand	stænd
stuff	stʌf
tax	tæks
whatever	wʌtɛvɚ
amount	ɐmaʊnt
blue	blu
countries	kʌntɹiz
david	deɪvɪd
drive	dɹaɪv
eat	it
fall	fɔl
fast	fæst
federal	fɛdɚɹəl
feeling	filɪŋ
felt	fɛlt
green	ɡɹin
league	liɡ
management	mænɪdʒmənt
match	mætʃ
model	mɑdəl
p	pi
picture	pɪktʃɚ
size	saɪz
step	stɛp
trust	tɹʌst
central	sɛntɹəl
changes	tʃeɪndʒᵻz
england	ɪŋɡlənd
forward	fɔɹwɚd
groups	ɡɹups
hey	heɪ
key	ki
mom	mɑm
o	oʊ
page	peɪdʒ
paid	peɪd
range	ɹeɪndʒ
review	ɹᵻvju
science	saɪəns
trade	tɹeɪd
uk	jukeɪ
upon	əpɑn
various	vɛɹiəs
attention	ɐtɛnʃən
brother	bɹʌðɚ
cannot	kænɑt
character	kæɹɪktɚ
chief	tʃif
cup	kʌp
football	fʊtbɔl
hate	heɪt
james	dʒeɪmz
led	lɛd
looked	lʊkt
lower	loʊɚ
natural	nætʃɚɹəl
october	ɑktoʊbɚ
property	pɹɑpɚɹi
quality	kwɔlᵻɹi
send	sɛnd
style	staɪl
u	ju
vote	voʊt
amazing	ɐmeɪzɪŋ
august	ɔɡəst
blood	blʌd
china	tʃaɪnə
complete	kəmplit
dog	dɑɡ
economic	ikənɑmɪk
hell	hɛl
involved	ɪnvɑlvd
itself	ɪtsɛlf
language	læŋɡwɪdʒ
lord	lɔɹd
november	noʊvɛmbɚ
oil	ɔɪl
related	ɹᵻleɪɹᵻd
serious	sɪɹiəs
stage	steɪdʒ
terms	tɜmz
title	taɪɹəl
add	æd
article	ɑɹɹɪkəl
attack	ɐtæk
born	bɔɹn
damn	dæm
decided	dᵻsaɪdᵻd
decision	dᵻsɪʒən
enjoy	ɛndʒɔɪ
entire	ɛntaɪɚ
french	fɹɛntʃ
january	dʒænjuɛɹi
kill	kɪl
met	mɛt
perhaps	pɚhæps
poor	pʊɹ
release	ɹᵻlis
situation	sɪtʃueɪʃən
technology	tɛknɑlədʒi
turned	tɜnd
website	wɛbsaɪt
written	ɹɪʔn̩
choice	tʃɔɪs
code	koʊd
considered	kənsɪdɚd
continue	kəntɪnju
council	kaʊnsəl
cover	kʌvɚ
currently	kɜɹəntli
door	doɹ
election	ᵻlɛkʃən
european	jʊɹɹəpiən
events	ᵻvɛnts
f	ɛf
financial	faɪnænʃəl
foreign	fɔɹən
hair	hɛɹ
increase	ɪŋkɹis
legal	liɡəl
lose	luz
michael	maɪkəl
pick	pɪk
race	ɹeɪs
seem	sim
seven	sɛvən
sign	saɪn
simple	sɪmpəl
simply	sɪmpli
staff	stæf
super	supɚ
union	juniən
walk	wɔk
washington	wɑʃɪŋtən
bed	bɛd
began	bɪɡæn
built	bɪlt
career	kɚɹɪɹ
changed	tʃeɪndʒd
crazy	kɹeɪzi
daily	deɪli
daughter	dɔɹɚ
december	dᵻsɛmbɚ
die	daɪ
difficult	dɪfɪkəlt
figure	fɪɡjɚ
hospital	hɑspɪɹəl
knows	noʊz
loss	lɔs
modern	mɑdɚn
ones	wʌnz
paper	peɪpɚ
parts	pɑɹts
popular	pɑpjʊlɚ
published	pʌblɪʃt
safe	seɪf
starting	stɑɹɹɪŋ
systems	sɪstəmz
version	vɜʒən
voice	vɔɪs
whose	huz
writing	ɹaɪɹɪŋ
army	ɑɹmi
australia	ɔstɹeɪliə
earth	ɜθ
forget	fɚɡɛt
goal	ɡoʊl
h	eɪtʃ
huge	hjudʒ
internet	ɪntɚnɛt
listen	lɪsən
okay	oʊkeɪ
practice	pɹæktɪs
rules	ɹulz
sea	si
sir	sɜ
success	səksɛs
towards	təwɔɹdz
v	vi
waiting	weɪɹɪŋ
ways	weɪz
access	æksɛs
base	beɪs
below	bᵻloʊ
created	kɹieɪɹᵻd
deep	dip
followed	fɑloʊd
la	læ
lol	lɑl
mark	mɑɹk
missing	mɪsɪŋ
offer	ɔfɚ
pass	pæs
professional	pɹəfɛʃənəl
released	ɹᵻlist
risk	ɹɪsk
schools	skulz
sleep	slip
table	teɪbəl
ten	tɛn
truth	tɹuθ
ball	bɔl
box	bɑks
build	bɪld
card	kɑɹd
cases	keɪsᵻz
dark	dɑɹk
district	dɪstɹɪkt
europe	jʊɹɹəp
george	dʒɔɹdʒ
india	ɪndiə
mine	maɪn
minister	mɪnɪstɚ
note	noʊt
percent	pɚsɛnt
piece	pis
products	pɹɑdʌkts
recent	ɹisənt
seeing	siɪŋ
straight	stɹeɪt
visit	vɪzɪt
wall	wɔl
wanna	wɔnə
wrote	ɹoʊt
allowed	ɐlaʊd
boys	bɔɪz
culture	kʌltʃɚ
etc	ɛtsɛtɹə
fans	fænz
february	fɛbɹuɛɹi
gives	ɡɪvz
growth	ɡɹoʊθ
included	ɪŋkludᵻd
married	mæɹid
officer	ɑfɪsɚ
pain	peɪn
paul	pɔl
places	pleɪsᵻz
respect	ɹᵻspɛkt
response	ɹᵻspɑns
river	ɹɪvɚ
rock	ɹɑk
shall	ʃæl
speak	spik
specific	spəsɪfɪk
standard	stændɚd
tonight	tənaɪt
write	ɹaɪt
y	waɪ
album	ælbəm
century	sɛntʃɚɹi
charge	tʃɑɹdʒ
cold	koʊld
create	kɹieɪt
effect	ɪfɛkt
eight	eɪt
except	ɛksɛpt
eye	aɪ
funny	fʌni
ii	ɹoʊməntu
limited	lɪmɪɹᵻd
moving	muvɪŋ
network	nɛtwɜk
peace	pis
provided	pɹəvaɪdᵻd
recently	ɹisəntli
required	ɹᵻkwaɪɚd
sales	seɪlz
spent	spɛnt
store	stoɹ
student	studənt
tomorrow	təmɑɹoʊ
track	tɹæk
via	vaɪə
watching	wɑtʃɪŋ
weight	weɪt
addition	ɐdɪʃən
ahead	ɐhɛd
allow	ɐlaʊ
anti	æntaɪ
association	ɐsoʊsɪeɪʃən
beat	bit
brown	bɹaʊn
capital	kæpɪɹəl
chinese	tʃaɪniz
committee	kəmɪɹi
conference	kɑnfɹəns
difference	dɪfɹəns
double	dʌbəl
expect	ɛkspɛkt
gas	ɡæs
island	aɪlənd
moved	muvd
normal	noɹməl
plans	plænz
population	pɑpjʊleɪʃən
potential	pətɛnʃəl
pressure	pɹɛʃɚ
radio	ɹeɪdɪoʊ
russian	ɹʌʃən
station	steɪʃən
text	tɛkst
treatment	tɹitmənt
western	wɛstɚn
ass	æs
beginning	bɪɡɪnɪŋ
california	kælɪfoɹniə
campaign	kæmpeɪn
certainly	sɜʔn̩li
completely	kəmplitli
content	kɑntɛnt
credit	kɹɛdɪt
cross	kɹɔs
described	dᵻskɹaɪbd
despite	dᵻspaɪt
female	fimeɪl
focus	foʊkəs
g	dʒi
hi	haɪ
husband	hʌsbənd
ice	aɪs
individual	ɪndᵻvɪdʒuəl
interesting	ɪntɹɛstɪŋ
j	dʒeɪ
join	dʒɔɪn
kept	kɛpt
leading	lidɪŋ
loved	lʌvd
message	mɛsɪdʒ
miles	maɪlz
nearly	nɪɹli
particular	pɚtɪkjʊlɚ
previous	pɹiviəs
quickly	kwɪkli
region	ɹidʒən
reported	ɹᵻpoɹɹᵻd
section	sɛkʃən
sort	sɔɹt
speed	spid
travel	tɹævəl
consider	kənsɪdɚ
contact	kɑntækt
drop	dɹɑp
fair	fɛɹ
feet	fit
jesus	dʒizəs
kid	kɪd
link	lɪŋk
positive	pɑzᵻtɪv
sale	seɪl
throughout	θɹuaʊt
tour	tʊɹ
welcome	wɛlkʌm
absolutely	æbsəlutli
additional	ɐdɪʃənəl
beyond	bᵻjɔnd
conditions	kəndɪʃənz
earlier	ɜlɪɚ
extra	ɛkstɹə
forces	foɹsᵻz
immediately	ɪmidɪətli
jobs	dʒɑbz
leaving	livɪŋ
minute	mɪnɪt
nature	neɪtʃɚ
numbers	nʌmbɚz
quick	kwɪk
sell	sɛl
significant	sɪɡnɪfɪkənt
studies	stʌdiz
unless	ʌnlɛs
winning	wɪnɪŋ
agree	ɐɡɹi
canada	kænədə
clean	klin
computer	kəmpjuɹɚ
construction	kənstɹʌkʃən
episode	ɛpɪsoʊd
favorite	feɪvɚɹᵻt
income	ɪŋkʌm
justice	dʒʌstɪs
levels	lɛvəlz
manager	mænɪdʒɚ
movement	muvmənt
photo	foʊɹoʊ
posted	poʊstᵻd
safety	seɪfti
san	sæn
scene	sin
sold	soʊld
sounds	saʊndz
spend	spɛnd
statement	steɪtmənt
sun	sʌn
teams	timz
ability	ɐbɪləɹi
announced	ɐnaʊnst
asking	æskɪŋ
calling	kɔlɪŋ
coach	koʊtʃ
collection	kəlɛkʃən
continued	kəntɪnjud
costs	kɔsts
definitely	dɛfɪnətli
designed	dɪzaɪnd
expected	ɛkspɛktᵻd
friday	fɹaɪdeɪ
gun	ɡʌn
happens	hæpənz
heavy	hɛvi
includes	ɪŋkludz
knowledge	nɑlɪdʒ
particularly	pɚtɪkjʊlɚli
search	sɜtʃ
subject	sʌbdʒɛkt
train	tɹeɪn
wide	waɪd
wow	waʊ
author	ɔθɚ
centre	sɛntɚ
claim	kleɪm
dad	dæd
developed	dɪvɛləpt
fear	fɪɹ
fit	fɪt
generally	dʒɛnɚɹəli
german	dʒɜmən
global	ɡloʊbəl
goals	ɡoʊlz
gotta	ɡɑɹə
hotel	hoʊtɛl
interested	ɪntɹɛstᵻd
judge	dʒʌdʒ
lady	leɪdi
leader	lidɚ
letter	lɛɹɚ
lines	laɪnz
material	mətɪɹiəl
named	neɪmd
nobody	noʊbɑdi
opportunity	ɑpɚtunᵻɹi
plus	plʌs
pre	pɹi
product	pɹɑdʌkt
regular	ɹɛɡjʊlɚ
secretary	sɛkɹətɹi
sister	sɪstɚ
stories	stoɹiz
unit	junɪt
workers	wɜkɚz
annual	ænjuəl
anymore	ɛnɪmoɹ
bar	bɑɹ
battle	bæɹəl
brain	bɹeɪn
contract	kɑntɹækt
degree	dᵻɡɹi
families	fæmɪliz
features	fitʃɚz
finished	fɪnɪʃt
floor	floɹ
france	fɹæns
growing	ɡɹoʊɪŋ
hurt	hɜt
image	ɪmɪdʒ
insurance	ɪnʃʊɹɹəns
majority	mədʒɔɹᵻɹi
meant	mɛnt
opening	oʊpənɪŋ
opinion	əpɪniən
physical	fɪzɪkəl
pro	pɹoʊ
reach	ɹitʃ
rule	ɹul
seriously	sɪɹiəsli
sports	spoɹts
stupid	stupɪd
successful	səksɛsfəl
active	æktɪv
administration	ɐdmɪnɪstɹeɪʃən
approach	ɐpɹoʊtʃ
australian	ɔstɹeɪliən
biggest	bɪɡɪst
cancer	kænsɚ
civil	sɪvəl
dance	dæns
defense	dᵻfɛns
direction	dᵻɹɛkʃən
independent	ɪndᵻpɛndənt
master	mæstɚ
none	nʌn
reasons	ɹizənz
russia	ɹʌʃə
ship	ʃɪp
stock	stɑk
trump	tɹʌmp
weekend	wikɛnd
wonder	wʌndɚ
worst	wɜst
africa	æfɹɪkə
awesome	ɔsʌm
band	bænd
beach	bitʃ
cash	kæʃ
clearly	klɪɹli
commercial	kəmɜʃəl
compared	kəmpɛɹd
effort	ɛfɚt
ended	ɛndᵻd
fan	fæn
fighting	faɪɹɪŋ
imagine	ɪmædʒɪn
impact	ɪmpækt
lack	læk
latest	leɪɹɪst
learning	lɜnɪŋ
multiple	mʌltɪpəl
older	oʊldɚ
operation	ɑpɚɹeɪʃən
organization	ɔɹɡɐnᵻzeɪʃən
passed	pæst
pictures	pɪktʃɚz
protect	pɹətɛkt
secret	sikɹᵻt
senior	sinjɚ
spring	spɹɪŋ
sunday	sʌndeɪ
telling	tɛlɪŋ
wear	wɛɹ
activities	æktɪvᵻɹiz
address	ɐdɹɛs
analysis	ɐnæləsɪs
anyway	ɛnɪweɪ
bought	bɔt
calls	kɔlz
choose	tʃuz
christmas	kɹɪsməs
color	kʌlɚ
commission	kəmɪʃən
competition	kɑmpətɪʃən
details	diteɪlz
direct	dᵻɹɛkt
dream	dɹim
easily	izili
finish	fɪnɪʃ
grand	ɡɹænd
increased	ɪŋkɹist
indian	ɪndiən
k	keɪ
literally	lɪɹɚɹəli
luck	lʌk
marriage	mæɹɪdʒ
names	neɪmz
necessary	nɛsᵻsɚɹi
patients	peɪʃənts
resources	ɹᵻsoɹsᵻz
rich	ɹɪtʃ
skin	skɪn
speaking	spikɪŋ
supposed	səpoʊzd
sweet	swit
thus	ðʌs
touch	tʌtʃ
yesterday	jɛstɚdeɪ
caught	kɔt
closed	kloʊzd
congress	kɑŋɡɹəs
damage	dæmɪdʒ
directly	dᵻɹɛktli
disease	dɪziz
doctor	dɑktɚ
doubt	daʊt
drink	dɹɪŋk
driving	dɹaɪvɪŋ
established	ɪstæblɪʃt
facebook	feɪsbʊk
feels	filz
fish	fɪʃ
gay	ɡeɪ
germany	dʒɜməni
glad	ɡlæd
greater	ɡɹeɪɹɚ
grow	ɡɹoʊ
largest	lɑɹdʒɪst
machine	məʃin
notice	noʊɹɪs
overall	oʊvɚɹɔl
planning	plænɪŋ
professor	pɹəfɛsɚ
programs	pɹoʊɡɹæmz
records	ɹɛkɚdz
reports	ɹᵻpoɹts
shown	ʃoʊn
sit	sɪt
trip	tɹɪp
associated	ɐsoʊsɪeɪɹᵻd
basic	beɪsɪk
captain	kæptɪn
carry	kæɹi
cars	kɑɹz
crime	kɹaɪm
effective	ɪfɛktɪv
effects	ɪfɛkts
explain	ɛkspleɪn
fully	fʊli
highly	haɪli
holding	hoʊldɪŋ
japan	dʒəpæn
laws	lɔz
male	meɪl
mrs	mɪsɪz
parties	pɑɹɹiz
plant	plænt
reality	ɹɪælᵻɹi
smith	smɪθ
spot	spɑt
texas	tɛksəs
winter	wɪntɚ
worse	wɜs
advice	ɐdvaɪs
agreement	ɐɡɹimənt
award	ɐwɔɹd
block	blɑk
broken	bɹoʊkən
caused	kɔzd
challenge	tʃælɪndʒ
characters	kæɹɪktɚz
christian	kɹɪstʃən
comment	kɑmɛnt
equipment	ɪkwɪpmənt
eventually	ᵻvɛntʃuəli
helped	hɛlpt
holy	hoʊli
killing	kɪlɪŋ
lived	lɪvd
lots	lɑts
nation	neɪʃən
otherwise	ʌðɚwaɪz
peter	piɹɚ
prices	pɹaɪsᵻz
primary	pɹaɪmɚɹi
purpose	pɜpəs
rates	ɹeɪts
responsible	ɹᵻspɑnsᵻbəl
shop	ʃɑp
showing	ʃoʊɪŋ
sick	sɪk
teacher	titʃɚ
theory	θiəɹi
uses	jusᵻz
william	wɪljəm
agency	eɪdʒənsi
avoid	ɐvɔɪd
camera	kæmɹə
