tier	score	en	fr	flags	en_ipa	fr_ipa	alignment
S	1.0	arrest	reste		ɚɹɛst	ʁɛst	ɹ:ɹ ɛ:ɛ s:s t:t
S	1.0	error	ère		ɛɹɚ	ɛʁ	ɛ:ɛ ɹ:ɹ
S	1.0	error	airs		ɛɹɚ	ɛʁ	ɛ:ɛ ɹ:ɹ
S	1.0	error	aires		ɛɹɚ	ɛʁ	ɛ:ɛ ɹ:ɹ
S	1.0	peak	piques		piːk	pik	p:p i:i k:k
S	1.0	peak	pique		piːk	pik	p:p i:i k:k
S	1.0	peak	pics	cognate	piːk	pik	p:p i:i k:k
S	1.0	fee	fit		fiː	fi	f:f i:i
S	1.0	fee	fis		fiː	fi	f:f i:i
S	1.0	fee	fie		fiː	fi	f:f i:i
S	1.0	fairly	fers lies	multiword	fɛɹli	fɛʁli	f:f ɛ:ɛ ɹ:ɹ l:l i:i
B	1.0	inner	in	loanword	ɪnɚ	ɪn	
S	1.0	meal	milles		miːl	mil	m:m i:i l:l
S	1.0	meal	mille		miːl	mil	m:m i:i l:l
S	1.0	meal	miles		miːl	mil	m:m i:i l:l
S	1.0	shortly	short lies	multiword	ʃɔːɹtli	ʃɔʁtli	ʃ:ʃ ɔ:ɔ ɹ:ɹ t:t l:l i:i
S	1.0	technique	techniques	cognate	tɛkniːk	tɛknik	t:t ɛ:ɛ k:k n:n i:i k:k
S	1.0	fort	fortes		fɔːɹt	fɔʁt	f:f ɔ:ɔ ɹ:ɹ t:t
S	1.0	fort	forte		fɔːɹt	fɔʁt	f:f ɔ:ɔ ɹ:ɹ t:t
S	1.0	pet	pète		pɛt	pɛt	p:p ɛ:ɛ t:t
S	1.0	deeply	dits pli	multiword	diːpli	dipli	d:d i:i p:p l:l i:i
B	1.0	designer	design	loanword	dɪzaɪnɚ	dɪzaɪn	
S	1.0	newly	nous lies	multiword	nuːli	nuli	n:n u:u l:l i:i
S	1.0	sexy	secs sis	multiword	sɛksi	sɛksi	s:s ɛ:ɛ k:k s:s i:i
B	1.0	walker	walk	loanword	wɔːkɚ	wɔːk	
S	1.0	root	routes		ɹuːt	ʁut	ɹ:ɹ u:u t:t
S	1.0	root	route		ɹuːt	ʁut	ɹ:ɹ u:u t:t
S	1.0	steal	styles		stiːl	stil	s:s t:t i:i l:l
S	1.0	steal	style		stiːl	stil	s:s t:t i:i l:l
S	1.0	buried	bey rides	multiword	bɛɹid	bɛʁid	b:b ɛ:ɛ ɹ:ɹ i:i d:d
S	1.0	recall	rient collent	multiword	ɹiːkɔːl	ʁikɔl	ɹ:ɹ i:i k:k ɔ:ɔ l:l
S	1.0	pen	peines		pɛn	pɛn	p:p ɛ:ɛ n:n
S	1.0	pen	peine		pɛn	pɛn	p:p ɛ:ɛ n:n
S	1.0	pp	pipi		piːpiː	pipi	p:p i:i p:p i:i
S	1.0	gene	gin		dʒiːn	dʒin	d:d ʒ:ʒ i:i n:n
S	1.0	blues	blouse		bluːz	bluz	b:b l:l u:u z:z
S	1.0	reader	rides		ɹiːdɚ	ʁid	ɹ:ɹ i:i d:d
S	1.0	reader	ride		ɹiːdɚ	ʁid	ɹ:ɹ i:i d:d
S	1.0	arena	rient ne	multiword	ɚɹiːnə	ʁinə	ɹ:ɹ i:i n:n ə:ə
S	1.0	boom	boum	cognate	buːm	bum	b:b u:u m:m
S	1.0	knee	nient		niː	ni	n:n i:i
S	1.0	knee	nie		niː	ni	n:n i:i
S	1.0	knee	nids		niː	ni	n:n i:i
S	1.0	reward	roues hordes	multiword	ɹᵻwɔːɹd	ʁwɔʁd	ɹ:ɹ w:w ɔ:ɔ ɹ:ɹ d:d
S	1.0	eve	ive		iːv	iv	i:i v:v
S	1.0	dare	der		dɛɹ	dɛʁ	d:d ɛ:ɛ ɹ:ɹ
S	1.0	sec	secs	cognate	sɛk	sɛk	s:s ɛ:ɛ k:k
S	1.0	treaty	tri rient	multiword	tɹiːɾi	tʁiʁi	t:t ɹ:ɹ i:i ɹ:ɹ i:i
S	1.0	seal	sil		siːl	sil	s:s i:i l:l
S	1.0	seal	cils		siːl	sil	s:s i:i l:l
S	1.0	fool	foules		fuːl	ful	f:f u:u l:l
S	1.0	fool	foule		fuːl	ful	f:f u:u l:l
S	1.0	loop	loupe		luːp	lup	l:l u:u p:p
S	1.0	mall	molle		mɔːl	mɔl	m:m ɔ:ɔ l:l
S	1.0	cm	sis aiment	multiword	siːɛm	siɛm	s:s i:i ɛ:ɛ m:m
S	1.0	corps	cor		kɔːɹ	kɔʁ	k:k ɔ:ɔ ɹ:ɹ
S	1.0	dawn	donnes		dɔːn	dɔn	d:d ɔ:ɔ n:n
S	1.0	dawn	donnent		dɔːn	dɔn	d:d ɔ:ɔ n:n
S	1.0	dawn	donne		dɔːn	dɔn	d:d ɔ:ɔ n:n
S	1.0	wherever	ouais rêvent	multiword	wɛɹɛvɚ	wɛʁɛv	w:w ɛ:ɛ ɹ:ɹ ɛ:ɛ v:v
S	1.0	cooper	coupes		kuːpɚ	kup	k:k u:u p:p
S	1.0	cooper	coupent		kuːpɚ	kup	k:k u:u p:p
S	1.0	cooper	coupe		kuːpɚ	kup	k:k u:u p:p
S	1.0	terror	terres		tɛɹɚ	tɛʁ	t:t ɛ:ɛ ɹ:ɹ
S	1.0	terror	terre		tɛɹɚ	tɛʁ	t:t ɛ:ɛ ɹ:ɹ
S	1.0	terror	ter		tɛɹɚ	tɛʁ	t:t ɛ:ɛ ɹ:ɹ
S	1.0	vary	vais rient	multiword	vɛɹi	vɛʁi	v:v ɛ:ɛ ɹ:ɹ i:i
S	1.0	formerly	forment lies	multiword	fɔːɹmɚli	fɔʁmli	f:f ɔ:ɔ ɹ:ɹ m:m l:l i:i
S	1.0	shoe	choux		ʃuː	ʃu	ʃ:ʃ u:u
S	1.0	shoe	chou		ʃuː	ʃu	ʃ:ʃ u:u
S	1.0	terry	tait rient	multiword	tɛɹi	tɛʁi	t:t ɛ:ɛ ɹ:ɹ i:i
S	1.0	chef	chefs	cognate	ʃɛf	ʃɛf	ʃ:ʃ ɛ:ɛ f:f
S	1.0	sue	sous		suː	su	s:s u:u
S	1.0	sue	sou		suː	su	s:s u:u
S	1.0	sue	saoul		suː	su	s:s u:u
S	1.0	excess	ex ès	multiword	ɛksɛs	ɛksɛs	ɛ:ɛ k:k s:s ɛ:ɛ s:s
S	1.0	flesh	flèches		flɛʃ	flɛʃ	f:f l:l ɛ:ɛ ʃ:ʃ
S	1.0	flesh	flèche		flɛʃ	flɛʃ	f:f l:l ɛ:ɛ ʃ:ʃ
S	1.0	forty	forts rient	multiword	fɔːɹɾi	fɔʁʁi	f:f ɔ:ɔ ɹ:ɹ ɹ:ɹ i:i
S	1.0	corn	cornes		kɔːɹn	kɔʁn	k:k ɔ:ɔ ɹ:ɹ n:n
S	1.0	corn	corne		kɔːɹn	kɔʁn	k:k ɔ:ɔ ɹ:ɹ n:n
S	1.0	sheep	chips		ʃiːp	ʃip	ʃ:ʃ i:i p:p
S	1.0	clue	clous		kluː	klu	k:k l:l u:u
S	1.0	clue	clou		kluː	klu	k:k l:l u:u
S	1.0	bless	blesse		blɛs	blɛs	b:b l:l ɛ:ɛ s:s
S	1.0	lease	lys		liːs	lis	l:l i:i s:s
S	1.0	lease	lisses		liːs	lis	l:l i:i s:s
S	1.0	lease	lisse		liːs	lis	l:l i:i s:s
S	1.0	flew	floue		fluː	flu	f:f l:l u:u
S	1.0	flew	flou		fluː	flu	f:f l:l u:u
S	1.0	cc	sis scie	multiword	siːsiː	sisi	s:s i:i s:s i:i
S	1.0	soup	soupe	cognate	suːp	sup	s:s u:u p:p
B	1.0	stake	steak	loanword	steɪk	steɪk	
S	1.0	aw	oh		ɔː	ɔ	ɔ:ɔ
S	1.0	lesser	laisses		lɛsɚ	lɛs	l:l ɛ:ɛ s:s
S	1.0	lesser	laissent		lɛsɚ	lɛs	l:l ɛ:ɛ s:s
S	1.0	lesser	laisse		lɛsɚ	lɛs	l:l ɛ:ɛ s:s
S	1.0	ski	skis	cognate	skiː	ski	s:s k:k i:i
S	1.0	entity	haines tri	multiword	ɛntᵻɾi	ɛntʁi	ɛ:ɛ n:n t:t ɹ:ɹ i:i
S	1.0	rev	rêves		ɹɛv	ʁɛv	ɹ:ɹ ɛ:ɛ v:v
S	1.0	rev	rêvent		ɹɛv	ʁɛv	ɹ:ɹ ɛ:ɛ v:v
S	1.0	rev	rêve		ɹɛv	ʁɛv	ɹ:ɹ ɛ:ɛ v:v
S	1.0	freeze	frise		fɹiːz	fʁiz	f:f ɹ:ɹ i:i z:z
S	1.0	belly	bey lies	multiword	bɛli	bɛli	b:b ɛ:ɛ l:l i:i
S	1.0	ore	ores	cognate	oːɹ	oʁ	o:o ɹ:ɹ
S	1.0	dairy	dès rient	multiword	dɛɹi	dɛʁi	d:d ɛ:ɛ ɹ:ɹ i:i
S	1.0	meter	mirent		miːɾɚ	miʁ	m:m i:i ɹ:ɹ
S	1.0	meter	mire		miːɾɚ	miʁ	m:m i:i ɹ:ɹ
S	1.0	breed	bride		bɹiːd	bʁid	b:b ɹ:ɹ i:i d:d
B	1.0	fairy	ferry	loanword	fɛɹi	fɛɹi	
S	1.0	freak	fric		fɹiːk	fʁik	f:f ɹ:ɹ i:i k:k
S	1.0	grief	griffes		ɡɹiːf	ɡʁif	ɡ:ɡ ɹ:ɹ i:i f:f
S	1.0	grief	griffe		ɡɹiːf	ɡʁif	ɡ:ɡ ɹ:ɹ i:i f:f
B	1.0	inn	in	loanword	ɪn	ɪn	
S	1.0	penny	paies nient	multiword	pɛni	pɛni	p:p ɛ:ɛ n:n i:i
S	1.0	petty	paies rient	multiword	pɛɾi	pɛʁi	p:p ɛ:ɛ ɹ:ɹ i:i
S	1.0	reed	rides		ɹiːd	ʁid	ɹ:ɹ i:i d:d
S	1.0	reed	ride		ɹiːd	ʁid	ɹ:ɹ i:i d:d
B	1.0	buyer	bye	loanword	baɪɚ	baɪ	
S	1.0	cease	six		siːs	sis	s:s i:i s:s
S	1.0	suited	sourde		suːɾᵻd	suʁd	s:s u:u ɹ:ɹ d:d
