rank	en	fr	ladder	v5	v7	strict	loops	dual	cognate	sound	meaning
1	bronx	bronx	DUAL-S					DUAL-S	1		
1	brooklyn	brooklyn	DUAL-S					DUAL-S	1		
1	bros	bros	DUAL-S					DUAL-S	1		
1	browning	browning	DUAL-S					DUAL-S	1		
1	bruce	bruce	DUAL-S					DUAL-S	1		
1	bucharest	bucarest	DUAL-S					DUAL-S	1		
1	budapest	budapest	DUAL-S					DUAL-S	1		
1	buddha	bouddha	DUAL-S					DUAL-S	1		
1	buddhist	bouddhiste	DUAL-S		GOLD			DUAL-S	1	0.947	0.969
1	buddhist	bouddhistes	DUAL-S					DUAL-S	1		
1	burlington	burlington	DUAL-S					DUAL-S	1		
1	cadet	cadette	DUAL-S					DUAL-S	1		
1	cameroon	cameroun	DUAL-S					DUAL-S	1		
1	carmen	carmen	DUAL-S					DUAL-S	1		
1	carrie	carrie	DUAL-S					DUAL-S	1		
1	cassette	cassette	DUAL-S					DUAL-S	1		
1	caste	caste	DUAL-S	S	GOLD			DUAL-S	1	0.977	1.000
1	caste	castes	DUAL-S					DUAL-S	1		
1	castro	castro	DUAL-S					DUAL-S	1		
1	cell	cellule	DUAL-S					DUAL-S	0		
1	cell	cellules	DUAL-S					DUAL-S	0		
1	cest	cest	DUAL-S					DUAL-S	1		
1	cfl	cfl	DUAL-S					DUAL-S	1		
1	cfm	cfm	DUAL-S					DUAL-S	1		
1	chad	tchad	DUAL-S		GOLD			DUAL-S	1	0.977	0.937
1	check	chèque	DUAL-S					DUAL-S	0		
1	chef	chef	DUAL-S		GOLD			DUAL-S	1	1.000	1.000
1	chen	chen	DUAL-S					DUAL-S	1		
1	cheng	cheng	DUAL-S					DUAL-S	1		
1	chesapeake	chesapeake	DUAL-S					DUAL-S	1		
1	chord	corde	DUAL-S					DUAL-S	1		
1	choreography	chorégraphie	DUAL-S					DUAL-S	1		
1	christ	christ	DUAL-S					DUAL-S	1		
1	christi	christi	DUAL-S					DUAL-S	1		
1	christie	christie	DUAL-S					DUAL-S	1		
1	christina	christina	DUAL-S					DUAL-S	1		
1	christine	christine	DUAL-S					DUAL-S	1		
1	chrome	chrome	DUAL-S		GOLD	1		DUAL-S	1	0.742	1.000
1	cindy	cindy	DUAL-S					DUAL-S	1		
1	clair	clair	DUAL-S					DUAL-S	1		
1	claire	claire	DUAL-S					DUAL-S	1		
1	clare	claire	DUAL-S					DUAL-S	1		
1	clare	clare	DUAL-S					DUAL-S	1		
1	class	classe	DUAL-S	A	GOLD	1		DUAL-S	1	0.977	0.967
1	claude	claude	DUAL-S					DUAL-S	1		
1	clause	clause	DUAL-S					DUAL-S	1		
1	clear	clair	DUAL-S		GOLD			DUAL-S	1	0.841	0.775
1	cliff	cliff	DUAL-S					DUAL-S	1		
1	clip	clip	DUAL-S		GOLD	1		DUAL-S	1	0.981	1.000
1	clone	clone	DUAL-S					DUAL-S	1		
1	clone	clones	DUAL-S	A	GOLD	1		DUAL-S	1	0.908	0.978
1	club	club	DUAL-S		GOLD			DUAL-S	1	0.971	1.000
1	clube	clube	DUAL-S					DUAL-S	1		
1	cnn	cnn	DUAL-S					DUAL-S	1		
1	coast	côte	DUAL-S					DUAL-S	0		
1	codex	codex	DUAL-S					DUAL-S	1		
1	cohen	cohen	DUAL-S					DUAL-S	1		
1	collective	collective	DUAL-S					DUAL-S	1		
1	colt	colt	DUAL-S					DUAL-S	1		
1	complex	complexe	DUAL-S	A	GOLD			DUAL-S	1	0.860	0.824
1	complex	complexes	DUAL-S	A	GOLD			DUAL-S	1	0.860	0.728
1	concept	concept	DUAL-S		GOLD			DUAL-S	1	0.848	1.000
1	cone	cône	DUAL-S	A	A			DUAL-S	1	0.906	0.310
1	context	contexte	DUAL-S	A	GOLD			DUAL-S	1	0.856	0.959
1	convex	convexe	DUAL-S					DUAL-S	1		
1	copy	copie	DUAL-S		GOLD			DUAL-S	0	0.918	0.968
1	corner	corner	DUAL-S					DUAL-S	1		
1	cornwall	cornouailles	DUAL-S					DUAL-S	0		
1	corp	corp	DUAL-S					DUAL-S	1		
1	corps	corps	DUAL-S		GOLD			DUAL-S	1	0.850	1.000
1	corpus	corpus	DUAL-S					DUAL-S	1		
1	correct	correct	DUAL-S					DUAL-S	1		
1	correct	correcte	DUAL-S	A	GOLD	1		DUAL-S	1	0.752	0.994
1	cortex	cortex	DUAL-S					DUAL-S	1		
1	costa	costa	DUAL-S					DUAL-S	1		
1	costume	costume	DUAL-S		GOLD			DUAL-S	1	0.945	1.000
1	countess	comtesse	DUAL-S					DUAL-S	1		
1	coupe	coupe	DUAL-S					DUAL-S	1		
1	coupe	coupé	DUAL-S					DUAL-S	1		
1	crab	crabe	DUAL-S	A	A			DUAL-S	1	0.817	0.447
1	crab	crabes	DUAL-S	A	A			DUAL-S	1	0.817	0.317
1	crack	crack	DUAL-S		GOLD			DUAL-S	1	0.817	1.000
1	craig	craig	DUAL-S					DUAL-S	1		
1	cream	cream	DUAL-S					DUAL-S	1		
1	cream	crème	DUAL-S					DUAL-S	0		
1	cream	crèmes	DUAL-S					DUAL-S	0		
1	creek	crique	DUAL-S	S	A			DUAL-S	0	0.840	0.447
1	crescent	crescent	DUAL-S					DUAL-S	1		
1	crest	crest	DUAL-S					DUAL-S	1		
1	crest	crête	DUAL-S		GOLD			DUAL-S	0	0.788	0.608
1	crete	crète	DUAL-S					DUAL-S	1		
1	critique	critique	DUAL-S					DUAL-S	1		
1	croix	croix	DUAL-S					DUAL-S	1		
1	crossover	crossover	DUAL-S					DUAL-S	1		
1	cruz	cruz	DUAL-S					DUAL-S	1		
1	css	css	DUAL-S					DUAL-S	1		
1	czech	tchèque	DUAL-S		GOLD			DUAL-S	0	1.000	0.966
1	czech	tchèques	DUAL-S					DUAL-S	0		
1	córdoba	córdoba	DUAL-S					DUAL-S	1		
1	davidson	davidson	DUAL-S					DUAL-S	1		
1	debbie	debbie	DUAL-S					DUAL-S	1		
1	debris	débris	DUAL-S	A	GOLD	1		DUAL-S	1	0.768	0.984
1	debt	dette	DUAL-S	S	A			DUAL-S	0	1.000	0.224
1	debt	dettes	DUAL-S	S	A		1	DUAL-S	0	1.000	0.295
1	debts	dettes	DUAL-S	A	A			DUAL-S	0	0.975	0.303
1	dec	dec	DUAL-S					DUAL-S	1		
1	def	def	DUAL-S					DUAL-S	1		
1	del	del	DUAL-S				2	DUAL-S	1		
1	delhi	delhi	DUAL-S		GOLD			DUAL-S	1	0.957	1.000
1	della	della	DUAL-S					DUAL-S	1		
1	delta	delta	DUAL-S		GOLD			DUAL-S	1	0.929	1.000
1	dem	dem	DUAL-S					DUAL-S	1		
1	den	den	DUAL-S					DUAL-S	1		
1	denise	denise	DUAL-S					DUAL-S	1		
1	der	der	DUAL-S		GOLD		1	DUAL-S	1	0.850	1.000
1	desc	desc	DUAL-S					DUAL-S	1		
1	destiny	destiny	DUAL-S					DUAL-S	1		
1	det	det	DUAL-S					DUAL-S	1		
1	detect	détecte	DUAL-S	A	GOLD			DUAL-S	1	0.945	0.888
1	detect	détectent	DUAL-S					DUAL-S	0		
1	detective	détective	DUAL-S	B_safe	GOLD			DUAL-S	1	0.932	0.998
1	dev	dev	DUAL-S					DUAL-S	1		
1	devi	devi	DUAL-S					DUAL-S	1		
1	dexter	dexter	DUAL-S					DUAL-S	1		
1	dialect	dialecte	DUAL-S					DUAL-S	1		
1	digest	digest	DUAL-S					DUAL-S	1		
1	direct	direct	DUAL-S					DUAL-S	1		
1	direct	directe	DUAL-S	A	GOLD			DUAL-S	1	0.765	0.794
1	direct	directs	DUAL-S	A	GOLD		2	DUAL-S	1	0.765	0.947
1	directive	directive	DUAL-S					DUAL-S	1		
1	disc	disque	DUAL-S	A	GOLD	1		DUAL-S	0	0.981	0.509
1	disk	disque	DUAL-S	A	A			DUAL-S	0	0.981	0.413
1	distress	détresse	DUAL-S	A	GOLD	1		DUAL-S	1	0.797	0.933
1	district	district	DUAL-S		GOLD			DUAL-S	1	0.864	1.000
1	dixie	dixie	DUAL-S					DUAL-S	1		
1	dome	dôme	DUAL-S	A	GOLD			DUAL-S	1	0.906	0.638
1	domestic	domestique	DUAL-S					DUAL-S	1		
1	domestic	domestiques	DUAL-S	B_safe	GOLD			DUAL-S	0	0.932	0.792
1	donetsk	donetsk	DUAL-S					DUAL-S	1		
1	draft	draft	DUAL-S					DUAL-S	1		
1	drag	drag	DUAL-S					DUAL-S	1		
1	dream	dream	DUAL-S					DUAL-S	1		
1	dresden	dresde	DUAL-S					DUAL-S	1		
1	dresden	dresden	DUAL-S					DUAL-S	1		
1	drug	drogue	DUAL-S					DUAL-S	0		
1	duchess	duchesse	DUAL-S	B_safe	GOLD			DUAL-S	1	0.846	0.997
1	echo	echo	DUAL-S					DUAL-S	1		
1	edge	edge	DUAL-S					DUAL-S	1		
1	edmund	edmund	DUAL-S					DUAL-S	1		
1	edwin	edwin	DUAL-S					DUAL-S	1		
1	eighteen	eighteen	DUAL-S					DUAL-S	1		
1	eighteenth	eighteenth	DUAL-S					DUAL-S	1		
1	eisenhower	eisenhower	DUAL-S					DUAL-S	1		
1	electric	electrique	DUAL-S					DUAL-S	1		
1	electric	électrique	DUAL-S					DUAL-S	0		
1	electro	electro	DUAL-S					DUAL-S	1		
1	electro	électro	DUAL-S					DUAL-S	1		
1	elite	elite	DUAL-S					DUAL-S	1		
1	elite	élite	DUAL-S		GOLD			DUAL-S	1	0.943	0.897
1	elite	élites	DUAL-S	B_safe	GOLD			DUAL-S	0	0.943	0.600
1	ellen	ellen	DUAL-S					DUAL-S	1		
1	elton	elton	DUAL-S					DUAL-S	1		
1	enemies	ennemies	DUAL-S	A	GOLD			DUAL-S	1	0.926	0.931
1	enemy	ennemi	DUAL-S					DUAL-S	0		
1	enemy	ennemie	DUAL-S	A	GOLD	1		DUAL-S	0	0.889	0.975
1	enemy	ennemies	DUAL-S	S	GOLD			DUAL-S	0	0.951	0.906
1	enemy	ennemis	DUAL-S	A	GOLD			DUAL-S	0	0.889	0.935
1	eng	eng	DUAL-S					DUAL-S	1		
1	eps	eps	DUAL-S					DUAL-S	1		
1	error	erreur	DUAL-S					DUAL-S	0		
1	error	erreurs	DUAL-S					DUAL-S	0		
1	error	error	DUAL-S					DUAL-S	1		
1	escape	escape	DUAL-S					DUAL-S	1		
1	escort	escort	DUAL-S					DUAL-S	1		
1	escort	escorte	DUAL-S	S	GOLD			DUAL-S	1	0.872	0.890
1	escorted	escorté	DUAL-S					DUAL-S	1		
1	esp	esp	DUAL-S					DUAL-S	1		
1	estonia	estonie	DUAL-S					DUAL-S	1		
1	exact	exact	DUAL-S		GOLD		1	DUAL-S	1	0.938	1.000
1	exact	exacte	DUAL-S	A	GOLD	1		DUAL-S	1	0.938	0.978
1	exact	exactes	DUAL-S	A	GOLD			DUAL-S	1	0.938	0.883
1	except	excepté	DUAL-S	A	GOLD			DUAL-S	1	0.841	0.982
1	excess	excès	DUAL-S	A	GOLD			DUAL-S	0	0.886	0.792
1	excessive	excessif	DUAL-S					DUAL-S	1		
1	excessive	excessifs	DUAL-S					DUAL-S	1		
1	excessive	excessive	DUAL-S		GOLD			DUAL-S	1	0.941	1.000
1	exclude	exclure	DUAL-S					DUAL-S	1		
1	excluded	exclu	DUAL-S		GOLD		3	DUAL-S	1	0.861	0.943
1	excluded	exclue	DUAL-S					DUAL-S	1		
1	excluded	exclues	DUAL-S					DUAL-S	1		
1	excluded	exclus	DUAL-S					DUAL-S	0		
1	exclusive	exclusive	DUAL-S		GOLD			DUAL-S	1	0.917	1.000
1	exclusive	exclusives	DUAL-S	A	GOLD		2	DUAL-S	1	0.917	0.965
1	exile	exil	DUAL-S					DUAL-S	1		
1	exist	existe	DUAL-S	A	GOLD		6	DUAL-S	1	0.941	0.747
1	exist	existent	DUAL-S	A	GOLD			DUAL-S	1	0.941	0.751
1	expert	expert	DUAL-S					DUAL-S	1		
1	expertise	expertise	DUAL-S					DUAL-S	1		
1	expertise	expertises	DUAL-S	A	GOLD			DUAL-S	1	0.878	0.986
1	explicit	explicite	DUAL-S	A	GOLD			DUAL-S	1	0.934	0.985
1	explicit	explicites	DUAL-S	A	GOLD	1		DUAL-S	1	0.934	0.951
1	exploded	explosé	DUAL-S					DUAL-S	0		
1	exploded	explosées	DUAL-S					DUAL-S	0		
1	exploit	exploit	DUAL-S					DUAL-S	1		
1	explore	explorer	DUAL-S				4	DUAL-S	1		
1	explored	exploré	DUAL-S					DUAL-S	1		
1	explored	explorée	DUAL-S					DUAL-S	1		
1	explored	explorées	DUAL-S					DUAL-S	1		
1	explorer	explorateur	DUAL-S					DUAL-S	1		
1	explorer	explorateurs	DUAL-S					DUAL-S	1		
1	explorer	explorer	DUAL-S					DUAL-S	1		
1	explorers	explorateurs	DUAL-S					DUAL-S	1		
1	explores	explore	DUAL-S					DUAL-S	1		
1	exploring	explorant	DUAL-S					DUAL-S	1		
1	exploring	explorer	DUAL-S	A	GOLD		2	DUAL-S	0	0.794	0.757
1	explosion	explosion	DUAL-S					DUAL-S	1		
1	explosion	explosions	DUAL-S					DUAL-S	1		
1	explosive	explosif	DUAL-S					DUAL-S	1		
1	explosive	explosifs	DUAL-S	B_safe	GOLD			DUAL-S	1	0.877	0.860
1	explosive	explosive	DUAL-S		GOLD			DUAL-S	1	0.886	1.000
1	explosive	explosives	DUAL-S					DUAL-S	1		
1	expo	expo	DUAL-S					DUAL-S	1		
1	export	exporter	DUAL-S					DUAL-S	1		
1	expose	exposer	DUAL-S				3	DUAL-S	1		
1	exposed	exposé	DUAL-S					DUAL-S	1		
1	exposed	exposées	DUAL-S					DUAL-S	1		
1	exposed	exposés	DUAL-S					DUAL-S	0		
1	express	express	DUAL-S					DUAL-S	1		
1	express	expresse	DUAL-S	S	GOLD		1	DUAL-S	1	0.832	0.942
1	express	exprès	DUAL-S	A	GOLD		1	DUAL-S	1	0.759	0.541
1	expression	expression	DUAL-S					DUAL-S	1		
1	expressions	expressions	DUAL-S					DUAL-S	1		
1	exterior	exterieur	DUAL-S					DUAL-S	1		
1	extra	extra	DUAL-S					DUAL-S	1		
1	extract	extrait	DUAL-S					DUAL-S	1		
1	extract	extraits	DUAL-S		GOLD			DUAL-S	1	0.790	0.762
1	extreme	extreme	DUAL-S					DUAL-S	1		
1	extreme	extrême	DUAL-S	A	GOLD			DUAL-S	1	0.800	0.847
1	extreme	extrêmes	DUAL-S	A	GOLD			DUAL-S	1	0.800	0.885
1	facebook	facebook	DUAL-S					DUAL-S	1		
1	fairfax	fairfax	DUAL-S					DUAL-S	1		
1	false	false	DUAL-S					DUAL-S	1		
1	feng	feng	DUAL-S					DUAL-S	1		
1	ferries	ferries	DUAL-S					DUAL-S	1		
1	fest	fest	DUAL-S					DUAL-S	1		
1	festival	festival	DUAL-S		GOLD			DUAL-S	1	0.926	1.000
1	ffff	ffff	DUAL-S					DUAL-S	1		
1	ffffff	ffffff	DUAL-S					DUAL-S	1		
1	fiba	fiba	DUAL-S					DUAL-S	1		
1	fifa	fifa	DUAL-S		GOLD	1		DUAL-S	1	0.926	1.000
1	fifteenth	fifteenth	DUAL-S					DUAL-S	1		
1	fifty	fifty	DUAL-S					DUAL-S	1		
1	fiji	fidji	DUAL-S					DUAL-S	1		
1	fiji	fidjien	DUAL-S					DUAL-S	0		
1	film	film	DUAL-S		GOLD			DUAL-S	1	0.981	1.000
1	fist	fist	DUAL-S					DUAL-S	1		
1	fix	fix	DUAL-S					DUAL-S	1		
1	flag	flag	DUAL-S					DUAL-S	1		
1	fletcher	fletcher	DUAL-S					DUAL-S	1		
1	flexible	flexible	DUAL-S		GOLD			DUAL-S	1	0.891	1.000
1	flexible	flexibles	DUAL-S	A	GOLD			DUAL-S	1	0.891	0.971
1	flip	flip	DUAL-S					DUAL-S	1		
1	flora	flora	DUAL-S					DUAL-S	1		
1	flores	flores	DUAL-S					DUAL-S	1		
1	flute	flûte	DUAL-S	S	GOLD			DUAL-S	1	0.977	0.841
1	flute	flûtes	DUAL-S					DUAL-S	0		
1	forbes	forbes	DUAL-S					DUAL-S	1		
1	force	force	DUAL-S					DUAL-S	1		
1	forestry	foresterie	DUAL-S					DUAL-S	1		
1	forge	forge	DUAL-S		GOLD			DUAL-S	1	0.867	1.000
1	form	forme	DUAL-S	S	GOLD	1		DUAL-S	1	0.864	0.786
1	formal	formel	DUAL-S	A	GOLD	1		DUAL-S	1	0.867	0.488
1	formal	formelle	DUAL-S	A	GOLD			DUAL-S	0	0.867	0.885
1	formal	formels	DUAL-S					DUAL-S	1		
1	format	format	DUAL-S					DUAL-S	1		
1	formats	formats	DUAL-S					DUAL-S	1		
1	formed	formé	DUAL-S					DUAL-S	0		
1	formed	formée	DUAL-S					DUAL-S	1		
1	formed	formées	DUAL-S					DUAL-S	1		
1	formed	formés	DUAL-S					DUAL-S	0		
1	forming	formant	DUAL-S					DUAL-S	0		
1	forms	formes	DUAL-S	A		1		DUAL-S	1		
1	forrest	forrest	DUAL-S					DUAL-S	1		
1	fort	fort	DUAL-S					DUAL-S	1		
1	fortress	forteresse	DUAL-S	B_reservoir		1		DUAL-S	1		
1	fortress	forteresses	DUAL-S					DUAL-S	1		
1	forts	forts	DUAL-S					DUAL-S	1		
1	fortune	fortune	DUAL-S		GOLD			DUAL-S	1	0.828	1.000
1	forum	forum	DUAL-S					DUAL-S	1		
1	france	france	DUAL-S		GOLD	1		DUAL-S	1	0.728	1.000
1	francesco	francesco	DUAL-S					DUAL-S	1		
1	frankie	frankie	DUAL-S					DUAL-S	1		
1	fraud	fraude	DUAL-S					DUAL-S	1		
1	fraud	fraudes	DUAL-S	A	GOLD	1		DUAL-S	1	0.821	0.982
1	fred	fred	DUAL-S					DUAL-S	1		
1	freddie	freddie	DUAL-S					DUAL-S	1		
1	freeman	freeman	DUAL-S					DUAL-S	1		
1	freestyle	freestyle	DUAL-S					DUAL-S	1		
1	freight	fret	DUAL-S		A			DUAL-S	0	0.722	0.269
1	fresh	fraiche	DUAL-S					DUAL-S	0		
1	fresh	frais	DUAL-S	A	GOLD			DUAL-S	0	0.736	0.698
1	fresh	fraîche	DUAL-S	S	GOLD			DUAL-S	0	0.840	0.759
1	fresh	fraîcheur	DUAL-S					DUAL-S	0		
1	fresno	fresno	DUAL-S					DUAL-S	1		
1	freud	freud	DUAL-S					DUAL-S	1		
1	friedman	friedman	DUAL-S					DUAL-S	1		
1	friedrich	friedrich	DUAL-S					DUAL-S	1		
1	fritz	fritz	DUAL-S					DUAL-S	1		
1	frost	frost	DUAL-S					DUAL-S	1		
1	gallery	galerie	DUAL-S	A	GOLD			DUAL-S	0	0.839	0.981
1	gallery	gallerie	DUAL-S					DUAL-S	1		
1	gandhi	gandhi	DUAL-S					DUAL-S	1		
1	garde	garde	DUAL-S					DUAL-S	1		
1	gazette	gazette	DUAL-S					DUAL-S	1		
1	gem	gem	DUAL-S					DUAL-S	1		
1	gem	gemme	DUAL-S					DUAL-S	1		
1	gen	gen	DUAL-S					DUAL-S	1		
1	georg	georg	DUAL-S					DUAL-S	1		
1	ghost	ghost	DUAL-S					DUAL-S	1		
1	glen	glen	DUAL-S					DUAL-S	1		
1	glenn	glenn	DUAL-S					DUAL-S	1		
1	globe	globe	DUAL-S					DUAL-S	1		
1	glory	glorieux	DUAL-S					DUAL-S	0		
1	graf	graf	DUAL-S					DUAL-S	1		
1	gram	gram	DUAL-S					DUAL-S	1		
1	gram	gramme	DUAL-S	A	GOLD			DUAL-S	1	0.829	0.887
1	gram	grammes	DUAL-S	A	GOLD			DUAL-S	0	0.829	0.861
1	grande	grande	DUAL-S		GOLD			DUAL-S	1	0.745	1.000
1	graph	graphe	DUAL-S	A	GOLD			DUAL-S	1	0.829	0.992
1	greece	grece	DUAL-S					DUAL-S	1		
1	greece	grèce	DUAL-S					DUAL-S	0		
1	greek	grec	DUAL-S					DUAL-S	0		
1	greek	grecque	DUAL-S					DUAL-S	0		
1	greek	grecques	DUAL-S					DUAL-S	0		
1	greek	grecs	DUAL-S					DUAL-S	0		
1	greenville	greenville	DUAL-S					DUAL-S	1		
1	greenwich	greenwich	DUAL-S					DUAL-S	1		
1	greenwood	greenwood	DUAL-S					DUAL-S	1		
1	greg	greg	DUAL-S					DUAL-S	1		
1	gregg	gregg	DUAL-S					DUAL-S	1		
1	grenade	grenade	DUAL-S					DUAL-S	1		
1	grenade	grenades	DUAL-S					DUAL-S	1		
1	grid	grid	DUAL-S					DUAL-S	1		
1	grip	grip	DUAL-S					DUAL-S	1		
1	gross	gross	DUAL-S					DUAL-S	1		
1	group	groupe	DUAL-S	S	GOLD			DUAL-S	1	0.852	0.976
1	grouped	groupé	DUAL-S					DUAL-S	1		
1	grouped	groupées	DUAL-S					DUAL-S	1		
1	grouped	groupés	DUAL-S					DUAL-S	0		
1	groups	groupes	DUAL-S	A	GOLD			DUAL-S	1	0.836	0.985
1	grove	grove	DUAL-S					DUAL-S	1		
1	guam	guam	DUAL-S					DUAL-S	1		
1	guard	garde	DUAL-S	A	GOLD			DUAL-S	1	0.860	0.901
1	guard	gardes	DUAL-S	A	GOLD			DUAL-S	0	0.860	0.890
1	guerrero	guerrero	DUAL-S					DUAL-S	1		
1	guild	guilde	DUAL-S	A	GOLD			DUAL-S	1	0.981	0.909
1	guillaume	guillaume	DUAL-S					DUAL-S	1		
1	gulf	golfe	DUAL-S	B_safe	A			DUAL-S	0	0.955	0.240
1	gulf	gulf	DUAL-S					DUAL-S	1		
1	guy	gars	DUAL-S	A	GOLD			DUAL-S	0	0.898	0.852
1	gwen	gwen	DUAL-S					DUAL-S	1		
1	hastings	hastings	DUAL-S					DUAL-S	1		
1	heavyweight	heavyweight	DUAL-S					DUAL-S	1		
1	hesse	hesse	DUAL-S					DUAL-S	1		
1	highland	highland	DUAL-S					DUAL-S	1		
1	highlands	highlands	DUAL-S					DUAL-S	1		
1	hindi	hindi	DUAL-S					DUAL-S	1		
1	hms	hms	DUAL-S					DUAL-S	1		
1	horn	corne	DUAL-S					DUAL-S	0		
1	horn	horn	DUAL-S					DUAL-S	1		
1	hundred	hundred	DUAL-S					DUAL-S	1		
1	huntington	huntington	DUAL-S					DUAL-S	1		
1	igor	igor	DUAL-S					DUAL-S	1		
1	imagesize	imagesize	DUAL-S					DUAL-S	1		
1	index	index	DUAL-S		GOLD			DUAL-S	1	0.864	1.000
1	insect	insecte	DUAL-S	A	GOLD	1		DUAL-S	1	0.862	0.995
1	insect	insectes	DUAL-S	A	GOLD	1		DUAL-S	1	0.862	0.963
1	intel	intel	DUAL-S					DUAL-S	1		
1	janeiro	janeiro	DUAL-S					DUAL-S	1		
1	jazz	jazz	DUAL-S		GOLD			DUAL-S	1	0.977	1.000
1	jeff	jeff	DUAL-S					DUAL-S	1		
1	jennings	jennings	DUAL-S					DUAL-S	1		
1	jeremy	jeremy	DUAL-S					DUAL-S	1		
1	jessie	jessie	DUAL-S					DUAL-S	1		
1	keller	keller	DUAL-S					DUAL-S	1		
1	kelley	kelley	DUAL-S					DUAL-S	1		
1	kensington	kensington	DUAL-S					DUAL-S	1		
1	kilkenny	kilkenny	DUAL-S					DUAL-S	1		
1	kingston	kingston	DUAL-S					DUAL-S	1		
1	krai	kraï	DUAL-S					DUAL-S	1		
1	lacrosse	crosse	DUAL-S					DUAL-S	1		
1	lacrosse	lacrosse	DUAL-S					DUAL-S	1		
1	latino	latino	DUAL-S					DUAL-S	1		
1	latino	latinos	DUAL-S					DUAL-S	1		
1	laura	laure	DUAL-S					DUAL-S	1		
1	laurie	laurie	DUAL-S					DUAL-S	1		
1	lds	lds	DUAL-S					DUAL-S	1		
1	league	ligue	DUAL-S	S	GOLD			DUAL-S	0	1.000	0.799
1	leagues	ligues	DUAL-S	A	A			DUAL-S	1	0.975	0.421
1	leftarm	leftarm	DUAL-S					DUAL-S	1		
1	leicester	leicester	DUAL-S					DUAL-S	1		
