combined	sound	semantic	band	en	fr	flags	en_ipa	fr_ipa
0.945	1.0	0.890	identical	escort	escorte	cognate	ɛskɔːɹt	ɛskɔʁt
0.945	1.0	0.889	identical	lesser	laissent		lɛsɐ	lɛs
0.945	1.0	0.889	identical	cruet	croûte	generative	kɹuːt	kʁut
0.943	1.0	0.887	identical	reeks	rixe	generative	ɹiːks	ʁiks
0.943	1.0	0.886	identical	bet	bettes		bɛt	bɛt
0.942	0.97	0.943	identical	pleas	plisse	generative	pliːz	plis
0.942	1.0	0.884	identical	vest	vestes		vɛst	vɛst
0.942	1.0	0.883	identical	en	aine		ɛn	ɛn
0.941	1.0	0.883	identical	rest	restes		ɹɛst	ʁɛst
0.940	1.0	0.881	identical	corn	corne		kɔːn	kɔʁn
0.940	1.0	0.879	identical	mu	moue		muː	mu
0.939	0.975	0.927	identical	schist	schiste	generative	ʃɪst	ʃist
0.939	1.0	0.878	identical	set	sets		sɛt	sɛt
0.939	1.0	0.878	identical	lesser	laisses		lɛsɐ	lɛs
0.939	1.0	0.877	identical	belle	belles	cognate	bɛl	bɛl
0.939	0.975	0.925	identical	frock	froc	generative	fɹɒk	fʁɔk
0.938	1.0	0.877	identical	douche	douches		duːʃ	duʃ
0.937	0.976	0.921	identical	testy	tester	generative	tɛsti	tɛste
0.937	1.0	0.874	identical	fort	fortes		fɔːt	fɔʁt
0.936	1.0	0.873	identical	air	airs	cognate	eə	ɛʁ
0.936	1.0	0.871	identical	poof	poufs	cognate	puːf	puf
0.935	1.0	0.870	identical	plea	plis		pliː	pli
0.935	1.0	0.869	identical	sort	sortent		sɔːt	sɔʁt
0.934	0.97	0.927	identical	ramie	rami	generative	ɹæmi	ʁami
0.934	1.0	0.868	identical	si	sis		siː	si
0.934	1.0	0.867	identical	poo	pou		puː	pu
0.933	1.0	0.866	identical	grieve	grive	generative	ɡɹiːv	ɡʁiv
0.933	1.0	0.866	identical	sex	sexes	cognate	sɛks	sɛks
0.932	1.0	0.864	identical	re	ris		ɹiː	ʁi
0.932	0.983	0.896	identical	pectin	pectine	generative	pɛktɪn	pɛktin
0.932	0.975	0.911	identical	frizz	frise	generative	fɹɪz	fʁiz
0.930	1.0	0.860	identical	jet	jets	cognate	dʒɛt	ʒɛ
0.929	1.0	0.858	identical	levy	lez vies	multiword	lɛvi	lɛvi
0.929	0.975	0.906	identical	peppy	pépie	generative	pɛpi	pepi
0.929	1.0	0.857	identical	boos	bouse		buːz	buz
0.929	1.0	0.857	identical	lulu	loulou	generative	luːluː	lulu
0.928	1.0	0.856	identical	mu	mou		muː	mu
0.928	1.0	0.856	identical	em	aimes		ɛm	ɛm
0.928	0.975	0.903	identical	grille	grill	generative	ɡɹɪl	ɡʁil
0.927	1.0	0.855	identical	poop	poupe		puːp	pup
0.927	1.0	0.854	identical	si	scie		siː	si
0.926	0.97	0.910	identical	patter	péter	generative	pætɐ	pete
0.926	1.0	0.851	identical	greave	grive	generative	ɡɹiːv	ɡʁiv
0.925	1.0	0.851	identical	poop	poupes		puːp	pup
0.925	1.0	0.850	identical	do	doux		duː	du
0.925	1.0	0.850	identical	ed	aident		ɛd	ɛd
0.925	1.0	0.850	identical	boos	bouses		buːz	buz
0.925	0.97	0.907	identical	ratter	raté	generative	ɹætɐ	ʁate
0.925	1.0	0.849	identical	moo	mous		muː	mu
0.924	0.98	0.886	identical	ferric	ferrique	generative	fɛɹɪk	fɛʁik
0.924	1.0	0.847	identical	boo	bout		buː	bu
0.923	1.0	0.846	identical	led	laide		lɛd	lɛd
0.923	1.0	0.846	identical	lee	lis		liː	lis
0.921	1.0	0.843	identical	roost	rouste	generative	ɹuːst	ʁust
0.921	1.0	0.841	identical	esteem	estiment		ɛstiːm	ɛstim
0.920	1.0	0.840	identical	nu	nous		nuː	nu
0.919	0.975	0.885	identical	kris	crisse	generative	kɹɪs	kʁis
0.919	1.0	0.837	identical	em	aiment		ɛm	ɛm
0.918	1.0	0.836	identical	fess	fessent		fɛs	fɛs
0.918	0.94	0.953	identical	rasher	rager	generative	ɹæʃɐ	ʁaʒe
0.918	1.0	0.836	identical	norm	normes	cognate	nɔːm	nɔʁm
0.918	1.0	0.835	identical	poof	pouffe		puːf	puf
0.918	0.97	0.892	identical	breve	prive	generative	bɹiːv	pʁiv
0.917	1.0	0.834	identical	coo	cou		kuː	ku
0.916	1.0	0.833	identical	fess	fesses		fɛs	fɛs
0.915	1.0	0.831	identical	cooed	coude		kuːd	kud
0.915	1.0	0.830	identical	do	doue		duː	du
0.915	1.0	0.830	identical	douche	douchent		duːʃ	duʃ
0.914	1.0	0.829	identical	plea	plie		pliː	pli
0.914	1.0	0.828	identical	rest	reste		ɹɛst	ʁɛst
0.914	0.945	0.934	identical	zippy	zipper	generative	zɪpi	zipe
0.913	1.0	0.827	identical	coo	cous		kuː	ku
0.913	1.0	0.827	identical	to	toux		tuː	tu
0.913	0.98	0.863	identical	preset	pris êtes	multiword,generative	pɹiːsɛt	pʁi ɛt
0.913	0.97	0.882	identical	clews	cluses	generative	kluːz	klyz
0.913	1.0	0.825	identical	eave	ive		iːv	iv
0.912	0.975	0.872	identical	ecru	écrou	generative	ɛkɹuː	ekʁu
0.912	1.0	0.825	identical	ski	skies		skiː	ski
0.912	0.95	0.921	identical	if	ifs	funcword	ɪf	if
0.911	0.911	1.000	identical	lasso	lasso	generative	læsuː	laso
0.911	0.97	0.878	identical	noil	noël	generative	nɔɪl	nɔɛl
0.911	0.975	0.868	identical	crock	croque	generative	kɹɒk	kʁɔk
0.910	1.0	0.819	identical	eave	ives		iːv	iv
0.909	1.0	0.819	identical	do	douent		duː	du
0.909	0.97	0.875	identical	flan	flâne	generative	flæn	flan
0.909	1.0	0.818	identical	mousse	moussent		muːs	mus
0.909	1.0	0.818	identical	wee	ouïe		wiː	uj
0.909	1.0	0.817	identical	norm	norme	cognate	nɔːm	nɔʁm
0.908	1.0	0.817	identical	ben	benne		bɛn	bɛn
0.908	0.97	0.873	identical	pally	pâli	generative	pæli	pali
0.908	1.0	0.816	identical	shiest	schiste	generative	ʃiːst	ʃist
0.907	0.97	0.870	identical	soupy	souper	generative	suːpi	supe
0.906	1.0	0.813	identical	tutu	toutou		tuːtuː	tutu
0.906	0.985	0.839	identical	rata	raté	generative	ɹɑːtɐ	ʁate
0.905	0.955	0.896	identical	policeman	polis mène	multiword	pəliːsmən	pɔli mɛn
0.904	0.945	0.914	identical	titter	titi	generative	tɪtɐ	titi
0.904	1.0	0.808	identical	awed	ode		ɔːd	ɔd
0.904	1.0	0.808	identical	eve	ive		iːv	iv
0.903	1.0	0.807	identical	cooed	coudes		kuːd	kud
0.903	0.97	0.862	identical	recoup	recoupe	generative	ɹɪkuːp	ʁəkup
0.903	0.97	0.861	identical	verey	verrez	generative	vɛɹi	vɛʁe
0.903	0.94	0.920	identical	reddest	raies est	multiword,generative	ɹɛdəst	ʁɛ ɛst
0.902	1.0	0.804	identical	see	si		siː	si
0.902	0.94	0.918	identical	acne	acné	generative	ækni	akne
0.902	0.975	0.849	identical	collar	coller	generative	kɒlɐ	kɔle
0.901	1.0	0.803	identical	poo	pouls		puː	pu
0.900	0.94	0.916	identical	acme	acmé	generative	ækmi	akme
0.900	0.976	0.844	identical	secede	ces ides	multiword,generative	sɛsiːd	sɛ id
0.900	1.0	0.799	close	league	ligue	cognate	liːɡ	liɡ
0.899	1.0	0.799	close	em	aime		ɛm	ɛm
0.899	1.0	0.798	close	steppe	steppes	cognate	stɛp	stɛp
0.899	0.97	0.854	identical	vita	vider	generative	viːtɐ	vide
0.898	0.97	0.851	identical	tauter	doté	generative	tɔːtɐ	dɔte
0.897	0.97	0.850	identical	dram	drame	generative	dɹæm	dʁam
0.897	0.985	0.822	identical	karst	caste	generative	kɑːst	kast
0.897	0.97	0.850	identical	crus	crous	generative	kɹuːz	kʁus
0.896	1.0	0.793	close	lord	lords	cognate	lɔːd	lɔʁ
0.896	1.0	0.792	close	ooh	ou		uː	u
0.896	1.0	0.791	close	quiche	quiches	cognate	kiːʃ	kiʃ
0.896	0.97	0.847	identical	cram	crame	generative	kɹæm	kʁam
0.895	1.0	0.791	close	mu	mous		muː	mu
0.895	0.928	0.929	identical	ethnicity	ethnies tee	multiword	ɛθnɪsɪti	ɛtni ti
0.895	0.956	0.872	identical	conic	conique	generative	kənɪk	kɔnik
0.894	0.985	0.815	identical	tarter	tâter	generative	tɑːtɐ	tate
0.894	0.911	0.962	identical	atom	atomes	generative	ætəm	atom
0.894	1.0	0.787	close	awed	odes		ɔːd	ɔd
0.893	0.952	0.877	identical	rotten	rat haine	multiword	ɹɒtən	ʁa ɛn
0.893	1.0	0.787	close	pled	plaide	generative	plɛd	plɛd
0.893	1.0	0.786	close	form	forme	cognate	fɔːm	fɔʁm
0.893	0.97	0.841	identical	flute	flûte	generative	fluːt	flyt
0.892	1.0	0.784	close	cooed	coudent		kuːd	kud
0.892	0.94	0.898	identical	redder	redis	generative	ɹɛdɐ	ʁədi
0.892	1.0	0.784	close	me	mi		miː	mi
0.892	0.945	0.888	identical	limy	limer	generative	lɪmi	lime
0.892	0.94	0.897	identical	raki	raquer	generative	ɹæki	ʁake
0.892	1.0	0.783	close	borne	bonne		bɔːn	bɔn
0.892	0.97	0.838	identical	rapped	rapt	generative	ɹæpt	ʁapt
0.891	1.0	0.783	close	sort	sortes	cognate	sɔːt	sɔʁt
0.891	1.0	0.782	close	to	tout		tuː	tu
0.890	0.97	0.836	identical	pita	péter	generative	piːtɐ	pete
0.890	0.933	0.908	identical	excluding	exclus in	multiword	ɛkskluːdɪŋ	ɛkskly in
0.890	1.0	0.780	close	meany	minnie		miːni	mini
0.889	0.94	0.892	identical	finest	faon est	multiword	faɪnəst	fɑ̃ ɛst
0.889	1.0	0.778	close	lesser	laisse		lɛsɐ	lɛs
0.889	0.925	0.921	identical	bevvy	bévue	generative	bɛvi	bevy
0.888	1.0	0.777	close	or	hors		ɔː	ɔʁ
0.888	0.975	0.822	identical	petter	péter	generative	pɛtɐ	pete
0.888	1.0	0.776	close	teepee	tipi	generative	tiːpiː	tipi
0.887	1.0	0.775	close	stem	stemms		stɛm	stɛm
0.887	1.0	0.774	close	belle	bel		bɛl	bɛl
0.887	1.0	0.774	close	ed	aides		ɛd	ɛd
0.886	0.945	0.876	identical	tiki	tiquer	generative	tɪki	tike
0.886	1.0	0.772	close	mess	messes		mɛs	mɛs
0.885	1.0	0.770	close	see	ci		siː	si
0.884	0.97	0.823	identical	teeter	titi	generative	tiːtɐ	titi
0.884	1.0	0.767	close	boo	boue		buː	bu
0.884	1.0	0.767	close	coo	coud		kuː	ku
0.883	0.975	0.810	identical	colly	colis	generative	kɒli	kɔli
0.882	0.945	0.867	identical	cedi	céder	generative	sɛdi	sede
0.882	1.0	0.764	close	pees	pise		piːz	piz
0.882	0.97	0.819	identical	pattie	pâtit	generative	pæti	pati
0.882	0.936	0.884	identical	screed	scrute	generative	skɹiːd	skʁyt
0.882	1.0	0.763	close	borne	bonnes		bɔːn	bɔn
0.881	0.945	0.864	identical	anise	anis	generative	ænɪs	ani
0.881	0.945	0.864	identical	anis	anise	generative	ænɪz	aniz
0.880	1.0	0.760	close	tutu	toutous		tuːtuː	tutu
0.879	1.0	0.759	close	fresh	fraîche	cognate	fɹɛʃ	fʁɛʃ
0.879	1.0	0.758	close	coo	couds		kuː	ku
0.879	0.985	0.785	close	parley	pâli	generative	pɑːli	pali
0.879	0.886	0.984	identical	tissue	tissu	generative	tɪʃuː	tisy
0.879	0.955	0.840	identical	kali	calé	generative	kɑːli	kale
0.879	0.925	0.900	identical	bevy	bévue	generative	bɛvi	bevy
0.878	1.0	0.756	close	to	touts		tuː	tu
0.878	0.94	0.868	identical	tori	doré	generative	tɔːɹi	dɔʁe
0.878	1.0	0.755	close	teak	tiquent		tiːk	tik
0.877	1.0	0.755	close	ls	aile ès	multiword	ɛlɛs	ɛlɛs
0.877	1.0	0.754	close	poof	pouffes		puːf	puf
0.877	0.932	0.882	identical	painful	pain folle	multiword	peɪnfəl	pɛ̃ fɔl
0.877	0.945	0.856	identical	sortie	sauter	generative	sɔːti	sote
0.877	1.0	0.753	close	ea	hi		iː	i
0.877	1.0	0.753	close	pea	pis		piː	pi
0.876	1.0	0.752	close	met	mettent		mɛt	mɛt
0.876	0.975	0.797	close	titty	titi	generative	tɪti	titi
0.876	0.94	0.863	identical	sped	speed	generative	spɛd	spid
0.876	0.97	0.805	identical	meaty	midi	generative	miːti	midi
0.875	0.945	0.852	identical	otic	attique	generative	ɒtɪk	atik
0.875	0.94	0.861	identical	peeks	fixe	generative	piːks	fiks
0.875	1.0	0.749	close	troop	troupes	cognate	tɹuːp	tʁup
0.874	1.0	0.749	close	pea	pie		piː	pi
0.874	0.98	0.784	close	vestry	vais tri	multiword,generative	vɛstɹi	vɛ tʁi
0.874	0.97	0.802	identical	cluck	claque	generative	klʌk	klak
0.874	1.0	0.747	close	pooh	pou		puː	pu
0.873	1.0	0.747	close	pp	pipi		piːpiː	pipi
0.873	1.0	0.747	close	wee	oui		wiː	wi
0.873	1.0	0.747	close	said	cède		sɛd	sɛd
0.873	1.0	0.746	close	fresh	fraîches	cognate	fɹɛʃ	fʁɛʃ
0.871	1.0	0.742	close	brute	broute	generative	bɹuːt	bʁut
0.871	1.0	0.742	close	cauda	codé	generative	kɔːdɐ	kɔde
0.870	0.975	0.786	close	sorta	sauter	generative	sɔːtɐ	sote
0.870	1.0	0.740	close	coupe	coupent		kuːp	kup
0.870	1.0	0.740	close	clue	clou		kluː	klu
0.870	0.945	0.840	identical	tedder	téter	generative	tɛdɐ	tete
0.870	1.0	0.739	close	nu	nouent		nuː	nu
0.869	1.0	0.739	close	peeler	pilé	generative	piːlɐ	pile
0.869	0.943	0.843	identical	prisoners	prison aise	multiword	pɹɪzənəz	pʁizɔ̃ ɛz
0.868	1.0	0.737	close	me	mie		miː	mi
0.868	0.96	0.809	identical	so	se	funcword	səʊ	sə
0.868	0.975	0.781	close	copped	copte	generative	kɒpt	kɔpt
0.868	1.0	0.735	close	to	tous		tuː	tu
0.867	1.0	0.735	close	stree	stries	generative	stɹiː	stʁi
0.867	0.955	0.816	identical	parlour	palais	generative	pɑːlɐ	palɛ
0.867	0.945	0.835	identical	promises	promis aise	multiword	pɹɒmɪsɪz	pʁɔmi ɛz
0.867	0.954	0.818	identical	stressful	stressent elle	multiword	stɹɛsfəl	stʁɛs ɛl
0.866	1.0	0.733	close	crease	crisse	generative	kɹiːs	kʁis
0.866	1.0	0.732	close	tee	tees	cognate	tiː	ti
0.865	0.952	0.818	identical	kukri	cokerie	generative	kʌkɹi	kɔkʁi
0.865	1.0	0.730	close	en	aines		ɛn	ɛn
0.865	1.0	0.729	close	pet	pète		pɛt	pɛt
0.865	0.975	0.774	close	fellah	fêlé	generative	fɛlɐ	fele
0.864	0.975	0.773	close	bedder	bédé	generative	bɛdɐ	bede
0.864	1.0	0.729	close	too	tous		tuː	tu
0.864	0.955	0.810	identical	larder	latter	generative	lɑːdɐ	late
0.864	0.882	0.960	identical	stressed	stresse		stɹɛst	stʁɛs
0.864	1.0	0.729	close	ed	aide		ɛd	ɛd
0.864	1.0	0.728	close	teak	tic		tiːk	tik
0.864	0.96	0.800	close	can	canne	funcword	kæn	kan
0.864	1.0	0.728	close	vest	veste		vɛst	vɛst
0.864	0.945	0.828	identical	ditty	titi	generative	dɪti	titi
0.864	1.0	0.727	close	me	mis		miː	mi
0.864	0.975	0.771	close	kopje	copie	generative	kɒpi	kɔpi
0.863	0.97	0.780	close	faller	voler	generative	fɔːlɐ	vɔle
0.863	0.985	0.752	close	tartar	tâter	generative	tɑːtɐ	tate
0.862	0.97	0.778	close	pappy	papy	generative	pæpi	papi
0.862	0.94	0.834	identical	doormat eek	domestique	multiword	dɔːmætiːk	dɔmɛstik
0.862	0.87	0.982	identical	except	excepté	cognate	ɛksɛpt	ɛksɛpte
0.862	0.952	0.811	identical	redden	redonne	generative	ɹɛdən	ʁədɔn
0.862	1.0	0.723	close	or	ores		ɔː	ɔʁ
0.862	0.975	0.767	close	middy	midi	generative	mɪdi	midi
0.862	1.0	0.723	close	troop	troupe	cognate	tɹuːp	tʁup
0.861	1.0	0.723	close	me	mies		miː	mi
0.861	1.0	0.723	close	nu	noues		nuː	nu
0.861	0.97	0.776	close	cred	crête	generative	kɹɛd	kʁɛt
0.860	0.882	0.951	identical	stressed	stress		stɹɛst	stʁɛs
0.860	1.0	0.721	close	me	mit		miː	mi
0.860	1.0	0.719	close	kook	couque		kuːk	kuk
0.860	1.0	0.719	close	seam	cime		siːm	sim
0.860	0.945	0.819	identical	emmet	émettent	generative	ɛmɪt	emɛt
0.859	0.881	0.951	identical	platform	plateforme	cognate	plætfɔːm	platfɔʁm
0.859	1.0	0.717	close	seam	cimes		siːm	sim
0.859	1.0	0.717	close	seller	selle		sɛlɐ	sɛl
0.858	1.0	0.717	close	booed	boudent		buːd	bud
0.858	1.0	0.717	close	tepee	tipi	generative	tiːpiː	tipi
0.858	1.0	0.716	close	seem	cimes		siːm	sim
0.858	1.0	0.716	close	teak	tique		tiːk	tik
0.857	0.87	0.971	identical	techniques	technique	cognate	tɛkniːks	tɛknik
0.857	0.976	0.756	close	about	ébattent	funcword	ɐbaʊt	ebat
0.856	1.0	0.712	close	esteem	estime	cognate	ɛstiːm	ɛstim
0.856	1.0	0.711	close	naught	notent		nɔːt	nɔt
0.855	0.864	0.980	identical	naive	naïve	cognate	naɪiːv	naiv
0.855	1.0	0.711	close	too	tout		tuː	tu
0.855	1.0	0.711	close	peas	pise		piːz	piz
0.855	0.881	0.941	identical	platform	plateformes	cognate	plætfɔːm	platfɔʁm
0.855	0.975	0.753	close	perry	péri	generative	pɛɹi	peʁi
0.855	1.0	0.709	close	been	bines	funcword	biːn	bin
0.855	1.0	0.709	close	gean	jean		dʒiːn	dʒin
0.854	0.864	0.978	identical	clone	clones	cognate	kləʊn	klon
0.854	1.0	0.709	close	too	touts		tuː	tu
0.854	1.0	0.709	close	chute	choute		ʃuːt	ʃut
0.853	0.859	0.987	identical	transform	transforme	cognate	tɹænsfɔːɹm	tʁɑ̃sfɔʁm
0.853	0.97	0.759	close	kauri	corée	generative	kɔːɹi	kɔʁe
