tier	score	en	fr	flags	en_ipa	fr_ipa	alignment
S	1.0	error	ère		ɛɹɐ	ɛʁ	ɛ:ɛ ɹ:ɹ ɐ:·
S	1.0	error	airs		ɛɹɐ	ɛʁ	ɛ:ɛ ɹ:ɹ ɐ:·
S	1.0	error	aires		ɛɹɐ	ɛʁ	ɛ:ɛ ɹ:ɹ ɐ:·
S	1.0	peak	piques		piːk	pik	p:p i:i k:k
S	1.0	peak	pique		piːk	pik	p:p i:i k:k
S	1.0	peak	pics	cognate	piːk	pik	p:p i:i k:k
S	1.0	fee	fit		fiː	fi	f:f i:i
S	1.0	fee	fis		fiː	fi	f:f i:i
S	1.0	fee	fie		fiː	fi	f:f i:i
S	1.0	smell	semelle		smɛl	smɛl	s:s m:m ɛ:ɛ l:l
S	1.0	meal	milles		miːl	mil	m:m i:i l:l
S	1.0	meal	mille		miːl	mil	m:m i:i l:l
S	1.0	meal	mil		miːl	mil	m:m i:i l:l
S	1.0	technique	techniques	cognate	tɛkniːk	tɛknik	t:t ɛ:ɛ k:k n:n i:i k:k
S	1.0	fort	fortes		fɔːt	fɔʁt	f:f ɔ:ɔ ·:ɹ t:t
S	1.0	fort	forte		fɔːt	fɔʁt	f:f ɔ:ɔ ·:ɹ t:t
S	1.0	pet	pète		pɛt	pɛt	p:p ɛ:ɛ t:t
S	1.0	deeply	dits pli	multiword	diːpli	dipli	d:d i:i p:p l:l i:i
S	1.0	sexy	secs sis	multiword	sɛksi	sɛksi	s:s ɛ:ɛ k:k s:s i:i
B	1.0	walker	walk	loanword	wɔːkɐ	wɔːk	
S	1.0	root	routes		ɹuːt	ʁut	ɹ:ɹ u:u t:t
S	1.0	root	route		ɹuːt	ʁut	ɹ:ɹ u:u t:t
S	1.0	steal	styles		stiːl	stil	s:s t:t i:i l:l
S	1.0	steal	style		stiːl	stil	s:s t:t i:i l:l
S	1.0	recall	rient collent	multiword	ɹiːkɔːl	ʁikɔl	ɹ:ɹ i:i k:k ɔ:ɔ l:l
S	1.0	pen	peines		pɛn	pɛn	p:p ɛ:ɛ n:n
S	1.0	pen	peine		pɛn	pɛn	p:p ɛ:ɛ n:n
S	1.0	pp	pipi		piːpiː	pipi	p:p i:i p:p i:i
S	1.0	gene	jean		dʒiːn	dʒin	d:d ʒ:ʒ i:i n:n
S	1.0	gene	gin		dʒiːn	dʒin	d:d ʒ:ʒ i:i n:n
B	1.0	ought	hot	loanword	ɔːt	ɔt	
S	1.0	blues	blouse		bluːz	bluz	b:b l:l u:u z:z
S	1.0	reader	rides		ɹiːdɐ	ʁid	ɹ:ɹ i:i d:d ɐ:·
S	1.0	reader	ride		ɹiːdɐ	ʁid	ɹ:ɹ i:i d:d ɐ:·
S	1.0	boom	boum	cognate	buːm	bum	b:b u:u m:m
S	1.0	knee	nient		niː	ni	n:n i:i
S	1.0	knee	nie		niː	ni	n:n i:i
S	1.0	knee	nids		niː	ni	n:n i:i
S	1.0	eve	ive		iːv	iv	i:i v:v
S	1.0	dare	der		deə	dɛʁ	d:d e:ɛ ·:ɹ
S	1.0	sec	secs	cognate	sɛk	sɛk	s:s ɛ:ɛ k:k
S	1.0	seal	sil		siːl	sil	s:s i:i l:l
S	1.0	seal	cils		siːl	sil	s:s i:i l:l
B	1.0	fool	full	loanword	fuːl	ful	
S	1.0	fool	foules		fuːl	ful	f:f u:u l:l
S	1.0	fool	foule		fuːl	ful	f:f u:u l:l
S	1.0	jet	jets	cognate	dʒɛt	ʒɛ	d:· ʒ:ʒ ɛ:ɛ t:·
S	1.0	loop	loupe		luːp	lup	l:l u:u p:p
S	1.0	mall	molle		mæl	mɔl	m:m æ:ɔ l:l
S	1.0	cm	sis aiment	multiword	siːɛm	siɛm	s:s i:i ɛ:ɛ m:m
S	1.0	corps	cor		kɔːɹ	kɔʁ	k:k ɔ:ɔ ɹ:ɹ
S	1.0	dawn	donnes		dɔːn	dɔn	d:d ɔ:ɔ n:n
S	1.0	dawn	donnent		dɔːn	dɔn	d:d ɔ:ɔ n:n
S	1.0	dawn	donne		dɔːn	dɔn	d:d ɔ:ɔ n:n
S	1.0	cooper	coupes		kuːpɐ	kup	k:k u:u p:p ɐ:·
S	1.0	cooper	coupent		kuːpɐ	kup	k:k u:u p:p ɐ:·
S	1.0	cooper	coupe		kuːpɐ	kup	k:k u:u p:p ɐ:·
S	1.0	terror	terres		tɛɹɐ	tɛʁ	t:t ɛ:ɛ ɹ:ɹ ɐ:·
S	1.0	terror	terre		tɛɹɐ	tɛʁ	t:t ɛ:ɛ ɹ:ɹ ɐ:·
S	1.0	terror	ter		tɛɹɐ	tɛʁ	t:t ɛ:ɛ ɹ:ɹ ɐ:·
S	1.0	shoe	choux		ʃuː	ʃu	ʃ:ʃ u:u
S	1.0	shoe	chou		ʃuː	ʃu	ʃ:ʃ u:u
S	1.0	terry	tait rient	multiword	tɛɹi	tɛʁi	t:t ɛ:ɛ ɹ:ɹ i:i
S	1.0	chef	chefs	cognate	ʃɛf	ʃɛf	ʃ:ʃ ɛ:ɛ f:f
S	1.0	sue	sous		suː	su	s:s u:u
S	1.0	sue	sou		suː	su	s:s u:u
S	1.0	sue	saoul		suː	su	s:s u:u
S	1.0	excess	ex ès	multiword	ɛksɛs	ɛksɛs	ɛ:ɛ k:k s:s ɛ:ɛ s:s
S	1.0	flesh	flèches		flɛʃ	flɛʃ	f:f l:l ɛ:ɛ ʃ:ʃ
S	1.0	flesh	flèche		flɛʃ	flɛʃ	f:f l:l ɛ:ɛ ʃ:ʃ
S	1.0	corn	cornes		kɔːn	kɔʁn	k:k ɔ:ɔ ·:ɹ n:n
S	1.0	corn	corne		kɔːn	kɔʁn	k:k ɔ:ɔ ·:ɹ n:n
S	1.0	corn	conne		kɔːn	kɔn	k:k ɔ:ɔ n:n
S	1.0	clue	clous		kluː	klu	k:k l:l u:u
S	1.0	clue	clou		kluː	klu	k:k l:l u:u
S	1.0	bless	blesse		blɛs	blɛs	b:b l:l ɛ:ɛ s:s
S	1.0	lease	lys		liːs	lis	l:l i:i s:s
S	1.0	lease	lisses		liːs	lis	l:l i:i s:s
S	1.0	lease	lisse		liːs	lis	l:l i:i s:s
S	1.0	flew	floue		fluː	flu	f:f l:l u:u
S	1.0	flew	flou		fluː	flu	f:f l:l u:u
S	1.0	cc	sis scie	multiword	siːsiː	sisi	s:s i:i s:s i:i
S	1.0	soup	soupe	cognate	suːp	sup	s:s u:u p:p
S	1.0	lesser	laisses		lɛsɐ	lɛs	l:l ɛ:ɛ s:s ɐ:·
S	1.0	lesser	laissent		lɛsɐ	lɛs	l:l ɛ:ɛ s:s ɐ:·
S	1.0	lesser	laisse		lɛsɐ	lɛs	l:l ɛ:ɛ s:s ɐ:·
S	1.0	ski	skis	cognate	skiː	ski	s:s k:k i:i
S	1.0	rev	rêves		ɹɛv	ʁɛv	ɹ:ɹ ɛ:ɛ v:v
S	1.0	rev	rêvent		ɹɛv	ʁɛv	ɹ:ɹ ɛ:ɛ v:v
S	1.0	rev	rêve		ɹɛv	ʁɛv	ɹ:ɹ ɛ:ɛ v:v
S	1.0	freeze	frise		fɹiːz	fʁiz	f:f ɹ:ɹ i:i z:z
S	1.0	belly	bey lies	multiword	bɛli	bɛli	b:b ɛ:ɛ l:l i:i
S	1.0	poorly	polis		pɔːli	pɔli	p:p ɔ:ɔ l:l i:i
S	1.0	poorly	polie		pɔːli	pɔli	p:p ɔ:ɔ l:l i:i
S	1.0	poorly	poli		pɔːli	pɔli	p:p ɔ:ɔ l:l i:i
S	1.0	bee	bis		biː	bi	b:b i:i
S	1.0	meter	mirent		miːtɐ	miʁ	m:m i:i t:· ɐ:ɹ
S	1.0	meter	mire		miːtɐ	miʁ	m:m i:i t:· ɐ:ɹ
S	1.0	breed	bride		bɹiːd	bʁid	b:b ɹ:ɹ i:i d:d
B	1.0	fairy	ferry	loanword	feəɹi	fɛʁi	
S	1.0	freak	fric		fɹiːk	fʁik	f:f ɹ:ɹ i:i k:k
S	1.0	grief	griffes		ɡɹiːf	ɡʁif	ɡ:ɡ ɹ:ɹ i:i f:f
S	1.0	grief	griffe		ɡɹiːf	ɡʁif	ɡ:ɡ ɹ:ɹ i:i f:f
S	1.0	torn	tonnes		tɔːn	tɔn	t:t ɔ:ɔ n:n
S	1.0	torn	tonne		tɔːn	tɔn	t:t ɔ:ɔ n:n
S	1.0	penny	paies nient	multiword	pɛni	pɛni	p:p ɛ:ɛ n:n i:i
S	1.0	reed	rides		ɹiːd	ʁid	ɹ:ɹ i:i d:d
S	1.0	reed	ride		ɹiːd	ʁid	ɹ:ɹ i:i d:d
B	1.0	buyer	bye	loanword	baɪɐ	baɪ	
S	1.0	cease	six		siːs	sis	s:s i:i s:s
S	1.0	fork	phoques		fɔːk	fɔk	f:f ɔ:ɔ k:k
S	1.0	fork	phoque		fɔːk	fɔk	f:f ɔ:ɔ k:k
S	1.0	suited	sourde		suːtɪd	suʁd	s:s u:u t:· ɪ:ɹ d:d
S	1.0	ferry	faits rient	multiword	fɛɹi	fɛʁi	f:f ɛ:ɛ ɹ:ɹ i:i
S	1.0	seller	sels		sɛlɐ	sɛl	s:s ɛ:ɛ l:l ɐ:·
S	1.0	seller	selles		sɛlɐ	sɛl	s:s ɛ:ɛ l:l ɐ:·
S	1.0	seller	selle		sɛlɐ	sɛl	s:s ɛ:ɛ l:l ɐ:·
S	1.0	coup	coupes		kuːp	kup	k:k u:u p:p
S	1.0	coup	coupent		kuːp	kup	k:k u:u p:p
S	1.0	coup	coupe		kuːp	kup	k:k u:u p:p
S	1.0	escort	escorte	cognate	ɛskɔːɹt	ɛskɔʁt	ɛ:ɛ s:s k:k ɔ:ɔ ɹ:ɹ t:t
S	1.0	cord	codes		kɔːd	kɔd	k:k ɔ:ɔ d:d
S	1.0	cord	code		kɔːd	kɔd	k:k ɔ:ɔ d:d
S	1.0	ruby	roux bis	multiword	ɹuːbi	ʁubi	ɹ:ɹ u:u b:b i:i
