count	en_chunk	fr_chunk	examples
46	tɪ	ti	exotic~exact hic; domestic~demains tic; estimated~estimait aide
45	id	id	read~rides; read~ride; reader~rides
44	ɛɹ	ɛɹ	very~vais rient; error~ère; error~airs
44	ku	ku	cool~coulent; cool~coule; cooper~coupes
43	up	up	group~groupes; group~groupe; super~soupe
43	fl	fl	flesh~flèches; flesh~flèche; flew~floue
42	kə	kɔ	confess~con fesses; contractor~con tracter; committed~commit aide
41	ɛd	ɛd	said~cède; red~raids; red~raide
41	ns	ns	sensor~sain ses; sensory~sain serez; presidency~près don ci
40	tʃ	tʃ	check~tchèques; check~tchèque; pooch~putsch
40	bɛ	bɛ	bet~bêtes; bet~bête; bell~belles
40	dʒ	dʒ	gene~jean; gene~gin; gean~djinn
40	ɹə	ɹɛ	secretary~secret ri; protein~prêt in; desperately~dès paierait lis
40	ən	ɔn	presidency~près don ci; confess~con fesses; contractor~con tracter
39	il	il	feel~files; feel~file; feel~fil
38	bɔ	bɔ	born~bornes; born~borne; born~bonnes
38	fɹ	fɹ	fresh~fraîches; fresh~fraîche; freeze~frise
38	tɔ	tɔ	torn~tonnes; torn~tonne; stalk~stock
37	ɔɹ	ɔɹ	corps~cor; escort~escorte; tourism~tords homme
35	su	su	super~soupe; supreme~soupe rimes; sue~sous
35	fɛ	fɛ	ferry~faits rient; fess~fesse; fess~fessent
35	æk	ak	contractor~con tracter; feedback~fient bac; distract~dis tracts
34	im	im	supreme~soupe rimes; cream~crimes; cream~crime
34	tɐ	te	center~sain tes; semester~sommets tes; faster~fats tes
34	ɹe	ɹe	greatest~créent est; bracelet~prés let; frustrating~pressent rétine
33	ip	ip	sleep~slip; deeply~dits pli; pp~pipi
33	ɹɪ	ɹɛ	printed~prennent aide; metric~met reg; respiratory~respirait ri
32	iz	is	sees~six; seas~six; seize~six
32	ɪv	iv	decorative~décret ive; sensitive~sain sait ive; destructive~dis traquent ive
31	pɹɛ	pɹɛ	press~presse; pressure~prêche; express~expresse
31	ul	ul	cool~coulent; cool~coule; rule~roulent
31	ɹæ	ɹa	contractor~con tracter; distract~dis tracts; practiced~braquent est
30	fi	fi	feel~files; feel~file; feel~fil
30	ɪn	in	dynasty~dîners tee; fountain~fanent in; ministry~mines tri
29	dɛ	dɛ	debt~dettes; debt~dette; desperately~dès paierait lis
29	ma	ma	myself~mas elfes; minded~man aide; mountain~mat in
28	tɹi	tɹi	tree~tri; entry~haines tri; treason~tries haine
28	ɛm	ɛm	ms~aiment ès; mm~aiment aimes; mm~aiment aimes
28	la	la	liner~line; dislike~dis lac; butterfly~battait la
28	an	an	designer~dis année; fountain~fanent in; council~cannes elle
28	dɹ	dɹ	addresses~adrets aise; dresses~drains aise; withdrawal~ouais drôle
28	spl	spl	splendid~spleen aide; explorer~exploré; explorer~explore
27	ɔn	ɔn	born~bonnes; dawn~donnes; dawn~donnent
27	pɔ	pɔ	port~potes; port~pote; sport~spots
27	bl	bl	blues~blouse; bless~blesse; reasonably~ries anobli
27	sɛn	sɛn	center~sain tes; sensor~sain ses; central~sain troll
27	tɪ	tɛ	fantastic~fanent aztèques; panties~pan thèse; tinder~tain des
27	kspl	kspl	explorer~exploré; explorer~explore; exploring~explore
26	ʒi	ʒi	gene~jean; gene~gin; gean~djinn
26	ɪs	ɛs	listed~laissent aide; system~cessent homme; practiced~braquent est
26	at	at	despite~dis pâte; songwriter~son raté; outlet~athlètes
26	əl	al	settled~sait halte; penalty~pain haleter; penalties~pain altesse
25	ki	ki	key~qui; ski~skis; kooky~cookie
25	iv	iv	eve~ive; eave~ive; eave~ives
25	ɔk	ɔk	fork~phoques; fork~phoque; cork~coques
25	sə	sɛ	suggest~sait geste; census~sain cesse; medicine~met scène
25	lo	lo	disclose~dis clause; floating~flot in; clone~clones
24	vɛ	vɛ	very~vais rient; vest~vestes; vest~veste
24	lɔ	lɔ	lord~lords; landlord~lad lotte; explorer~exploré
24	bit	bit	beat~bits; beat~bites; beat~bite
23	ʃi	ʃi	she~chie; sushi~saoul chie; chic~chics
23	ɹɛst	ɹɛst	rest~restes; rest~restent; rest~reste
23	kɹi	kɹi	cream~crimes; cream~crime; creature~crient chez
23	bu	bu	boom~boum; boo~bouts; boo~bout
23	ʃɐ	ʃe	creature~crient chez; feature~fient chez; preacher~prient chez
22	ba	ba	by~bye; buy~bye; buyer~bye
22	ɹə	ɹə	role~roll; literally~lient relie; preferably~prêt repli
22	sɛl	sɛl	sell~sels; sell~selles; sell~selle
22	ɛɡ	ɛɡ	leg~legs; exotic~exact hic; exhibited~exhibent aide
22	lu	lu	blues~blouse; loop~loupe; clue~clous
22	ɑs	as	masterpiece~massent pisse; podcast~pot caste; basketball~masquent bol
22	spɛ	spɛ	respectful~respectent elle; respectively~respectes lis; respect~respectent
21	ɹɛd	ɹɛd	red~raids; red~raide; red~raid
21	tɹɛ	tɹɛ	stress~stresse; distress~dis tresses; stressful~stressent elle
21	tɛk	tɛk	technique~techniques; tech~teck; tech~tecks
21	dʒi	dʒi	gene~jean; gene~gin; gean~djinn
21	ʒin	ʒin	gene~jean; gene~gin; gean~djinn
21	dʒin	dʒin	gene~jean; gene~gin; gean~djinn
21	ɒl	ɔl	vault~volts; volatile~volet al; cholesterol~collais troll
21	ɛp	ɛp	step~steppe; step~steppes; steppe~steppes
21	ɛnd	ɛnd	surrender~serein des; render~rhin des; tender~tain des
21	əm	ɔm	semester~sommets tes; tourism~tords homme; custom~cassent homme
21	kən	kɔn	confess~con fesses; contractor~con tracter; confessed~con veste
21	id	it	exceed~excite; freed~frites; freed~frite
20	mɛn	mɛn	many~mets nient; men~mènent; men~mène
20	pu	pu	pool~poules; pool~poule; poop~poupe
20	ʃə	ʃɛ	creatures~crient chaise; question~coincent chaîne; mention~main chaîne
20	lɪ	li	literally~lient relie; settling~sait ligne; mortality~mot alité
20	sɪ	si	senses~sain six; references~refrain six; dances~tan six
20	æt	at	matches~mat chaise; mattress~mat rosse; matters~mat aise
20	pt	pt	transcript~train script; receptor~ries opté; concept~cannes opte
19	tu	tu	to~toux; to~tout; to~tous
19	ɹid	ɹid	read~rides; read~ride; reader~rides
19	lɛs	lɛs	less~laisses; less~laissent; less~laisse
19	ʃɛ	ʃɛ	check~tchèques; check~tchèque; chef~chefs
19	sɛk	sɛk	sex~sexes; sex~sexe; sector~sectes
19	mu	mu	movie~mous vies; moody~mous dits; mu~mous
19	nɔ	nɔ	nor~nord; norm~normes; norm~norme
19	sti	sti	steel~styles; steel~style; steal~styles
19	ksɛ	ksɛ	excess~ex ès; excel~ex aile; accessories~excès ruse
19	ɹiz	ɹiz	freeze~frise; breeze~brise; freezer~frise
19	kw	kw	queen~couine; queen~couinent; queen~couines
19	ɹɛn	ɹɛn	friendly~freinent lis; surrender~serein des; friendships~freinent chips
19	ɡz	ɡz	exotic~exact hic; exhibited~exhibent aide; existed~exit aide
19	ɛɡz	ɛɡz	exotic~exact hic; exhibited~exhibent aide; existed~exit aide
19	əl	ɔl	central~sain troll; peaceful~pis folle; policeman~polis mène
19	ta	ta	tightly~taillent lis; title~taillent elle; textile~tex tacle
19	nɪ	ni	tennis~tain hisse; monitored~manient aide; clinic~clin hic
19	əd	ɛd	centered~saignent aide; monitored~manient aide; retired~rient aède
19	ɹe	ɹɛ	portrayed~pot raid; phrases~frais aise; trademark~trait mac
19	pɛk	pɛk	respectful~respectent elle; respectively~respectes lis; suspected~ces pectine
19	pɛkt	pɛkt	respectful~respectent elle; respectively~respectes lis; suspected~ces pectine
19	oz	oz	disclose~dis clause; expose~exposent; pros~prose
18	wɛ	wɛ	west~ouest; wed~oued; wed~oueds
18	pɔt	pɔt	port~potes; port~pote; sport~spots
18	pɛn	pɛn	pen~peines; pen~peine; penny~paies nient
18	mɪ	mi	ministry~mines tri; committed~commit aide; committees~commit hisse
18	ɪt	it	basket~bas quitte; mortality~mot alité; transmit~traînes mythe
18	ɔd	ɔ̃d	disorder~dis ondées; fraud~fronde; bawdy~bondi
17	ist	ist	least~listes; least~liste; least~list
17	um	um	boom~boum; rumor~room; boom~booms
17	ʃu	ʃu	shoe~choux; shoe~chou; chute~choute
17	ɔd	ɔd	cord~codes; cord~code; awed~ode
17	ud	ud	sued~soude; moody~mous dits; booed~boude
17	əɹ	əɹ	surrender~serein des; sensory~sain serez; centuries~saignent cerise
17	əs	ɛs	census~sain cesse; fastest~fats test; greatest~créent est
17	mæ	ma	matches~mat chaise; mattress~mat rosse; matters~mat aise
17	sɪ	sɛ	sixty~secs tee; system~cessent homme; sensitive~sain sait ive
17	ndɪ	ndi	attended~étain dites; attending~étain digne; bending~ben digne
17	spɛk	spɛk	respectful~respectent elle; respectively~respectes lis; respect~respectent
17	kst	kst	context~khan texte; extraordinary~extrait ignorer; textile~tex tacle
17	lɛk	lɛk	collectively~collectes lis; collect~collecte; collector~collecte
17	ɔd	ɔt	cardboard~cas botte; landlord~lad lotte; fraud~frotte
16	əʊ	əʊ	role~roll; follow~flow; fellow~flow
16	sɔ	sɔ	sort~sortes; sort~sortent; sort~sorte
16	nɛ	nɛ	net~nettes; net~nette; net~nets
16	pik	pik	peak~piques; peak~pique; peak~pics
16	pli	pli	deeply~dits pli; plea~plis; plea~plie
16	tɛɹ	tɛɹ	terror~terres; terror~terre; terror~ter
16	bɹi	bɹi	breed~bride; breeze~brise; breathing~bris in
16	us	us	moose~mousse; moose~moussent; moose~mousses
16	ɪp	ip	friendships~freinent chips; friendship~freinent chipe; transcript~train script
16	ti	di	teacher~dit chez; teachers~dit chaise; teaches~dit chaise
16	ɪk	ɛk	fantastic~fanent aztèques; sixty~secs tee; forensic~forain sec
16	pɹə	pɹɛ	protein~prêt in; protesters~prêtais thèse; prosperity~près perdit
16	ɹʌ	ɹa	trusted~tracent aide; trustees~tracent hisse; instructor~haines tracter
16	ɪŋ	iɲ	settling~sait ligne; attending~étain digne; bending~ben digne
16	ækt	akt	contractor~con tracter; distract~dis tracts; intact~aident acte
16	ɪt	ɛt	itself~êtes elfes; benefit~ben faites; credit~créent êtes
16	æl	al	mortality~mot alité; realities~rallient hisse; validity~valet tee
16	kɒ	kɔ	commentary~commun tri; controversy~cognent revêtit; colonies~colin aise
16	mp	np	completely~con plient lis; temperature~tain prêt chez; temperatures~tain prêt chaise
16	po	po	disposal~dispos elle; proposal~propos elle; proposes~propos aise
16	ɹo	ɹo	gross~grosses; gross~grosse; prone~prône
16	eɪ	eɛ	grain~gré haines; main~mes haines; sale~cl
15	aɪ	aɪ	by~bye; buy~bye; liner~line
15	ɡɹi	ɡɹi	grief~griffes; grief~griffe; disagree~dis aigri
15	tik	tik	boutique~boutiques; teak~tic; teak~tics
15	stɔ	stɔ	stalk~stock; stalk~stocke; stalk~stockent
15	pə	pɛ	possessed~paix est; possess~paix ace; desperately~dès paierait lis
15	mɑ	ma	masterpiece~massent pisse; master~mas tes; trademark~trait mac
15	ɹi	ɹe	sensory~sain serez; created~créait aide; creators~créait aise
15	æn	ɛn	transcript~train script; transmit~traînes mythe; transmitted~traînes met aide
15	eɪ	ei	baseball~pays bol; entertain~aident théine; baseline~pays lad
15	ɪl	il	abilities~épilent hisse; lily~lies lie; still~styles
14	kɔl	kɔl	call~cols; call~collent; call~colle
14	tɹu	tɹu	true~trous; true~trou; truly~trous lies
14	mit	mit	meet~mythes; meet~mythe; meat~mythes
14	tɛs	tɛs	test~tests; test~teste; test~testent
14	uv	uv	movie~mous vies; prove~prouvent; prove~prouve
14	pɹu	pɹu	prove~prouvent; prove~prouve; approve~éprouvent
14	bɛl	bɛl	bell~belles; bell~belle; bell~bel
14	stɛ	stɛ	stem~stemm; stem~stemms; stem~stems
14	ʃən	ʃɛn	question~coincent chaîne; mention~main chaîne; tension~tain chaîne
14	tə	tɛ	centers~sain thèse; protesters~prêtais thèse; rental~rhin tel
14	tɹæ	tɹa	contractor~con tracter; distract~dis tracts; distracted~dis traquent aide
14	ɪst	ist	vista~vis tes; exist~existent; exist~existe
14	ɹɪ	ɹə	distributor~dissent rebuter; releases~relis aise; requested~recoins tête
14	pa	pa	despite~dis pâte; pipe~papes; pipe~pape
14	ɹe	ɹi	portrait~pot rite; stranger~strings je; restoration~rincent origine
14	ɪz	iz	centuries~saignent cerise; presenter~prison tes; prisoners~prison aise
14	aɪ	ai	testify~test hais; society~ces haïti; likely~laïques lies
14	ɛkst	ɛkst	extraordinary~extrait ignorer; textile~tex tacle; extreme~extrêmes
14	lɒ	la	losses~las aise; block~black; blog~blagues
14	ɪl	ɛl	builders~belles aise; rebuilding~rebellent in; sale~cl
13	sɛt	sɛt	set~sets; set~sept; set~cette
13	vi	vi	movie~mous vies; vs~vies ès; levy~lez vies
13	ɹim	ɹim	supreme~soupe rimes; cream~crimes; cream~crime
13	kup	kup	cooper~coupes; cooper~coupent; cooper~coupe
13	ɔm	ɔm	norm~nomment; platform~plat sommes; perform~paient homme
13	siz	siz	seas~sise; seas~sises; sees~sise
13	ʃut	ʃut	chute~choute; chute~choutes; chute~shoot
13	dɐ	de	surrender~serein des; render~rhin des; tender~tain des
13	ʃɪ	ʃi	friendships~freinent chips; friendship~freinent chipe; preaching~prient chine
13	dɪs	dis	destroyed~dissent rhodes; destroys~dissent rose; distributor~dissent rebuter
13	pɑ	pa	passport~pas pote; pasta~pas tes; pastor~pas tes
13	ʌs	as	clusters~classent aise; customer~cassent aimé; trusted~tracent aide
13	æn	an	planted~planent aide; planting~planent in; plan~plane
13	ɹæk	ɹak	contractor~con tracter; distract~dis tracts; practiced~braquent est
13	lɪ	lɛ	listed~laissent aide; clinic~clin hic; discipline~dis pleine
13	ɒn	an	monster~mânes tes; monitored~manient aide; onset~ânes êtes
13	sw	sw	sweating~souhait in; switching~souhait chine; sweet~souhaites
13	ɹæ	ɹɛ	transcript~train script; transmit~traînes mythe; transmitted~traînes met aide
13	az	az	disguise~dis gaz; sunrise~son rase; fries~phrases
13	ktɪ	kti	productive~prêt active; protective~prêt active; suspected~ces pectine
13	ksk	ksk	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
13	ɛksk	ɛksk	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
13	an	ɑn	township~tan chipe; counties~khan thèse; finest~faon est
13	æn	ɑn	cancer~khan ses; candy~khan dit; fancy~faon ci
13	le	le	clay~clés; clay~clé; clay~clefs
13	pi	bi	peek~bique; peak~bique; pease~bise
12	tɛst	tɛst	test~tests; test~teste; test~testent
12	pɹɛs	pɹɛs	press~presse; express~expresse; prestige~presse tiges
12	sup	sup	super~soupe; supreme~soupe rimes; soup~soupe
12	pis	pis	piece~pisse; peace~pisse; peace~pissent
12	ɛʃ	ɛʃ	pressure~prêche; fresh~fraîches; fresh~fraîche
12	spɹ	spɹ	express~expresse; expressing~exprès in; spreading~sprays in
12	spɹɛ	spɹɛ	express~expresse; expressing~exprès in; spreading~sprays in
12	sɛs	sɛs	excess~ex ès; predecessor~prient cessé; excessive~excès sève
12	lf	lf	selfie~selles fis; myself~mas elfes; itself~êtes elfes
12	lɐ	le	retailer~rient ailé; footballer~fait bolée; butler~bat les
12	ʃɪ	ʃɛ	reaches~rient chaise; matches~mat chaise; teaches~dit chaise
12	ən	ən	fortunately~faut chenet lis; testimony~cessent mener; supernatural~soutenait charles
12	ɛns	ɛns	sensor~sain ses; sensory~sain serez; senses~sain six
12	al	al	freestyle~frisent al; volatile~volet al; textile~taxent al
12	ɹə	ɹɔ	central~sain troll; fortress~faut rosse; mattress~mat rosse
12	læ	la	planted~planent aide; planting~planent in; platform~plat sommes
12	əɹ	ɛɹ	desperately~dès paierait lis; territory~terrait ri; respiratory~respirait ri
12	ʌk	ak	instructor~haines tracter; destructive~dis traquent ive; productive~prêt active
12	əst	ɛst	fastest~fats test; greatest~créent est; latest~laid est
12	kɑ	ka	podcast~pot caste; casting~cassent in; cardboard~cas botte
12	əɹ	ɔɹ	forensic~forain sec; treasurer~trais aurez; desperate~dès porte
12	pɹ	bɹ	practiced~braquent est; practice~braquent hisse; prizes~bras aise
12	ɪd	it	attended~étain dites; tended~tain dites; defended~divin dites
12	dɪŋ	diɲ	attending~étain digne; bending~ben digne; lending~lin digne
12	ndɪŋ	ndiɲ	attending~étain digne; bending~ben digne; lending~lin digne
12	ɒn	ɑn	context~khan texte; autonomy~otan omis; chronic~cran hic
12	tɪv	tiv	productive~prêt active; protective~prêt active; detective~dit active
12	lɛ	li	lecture~liguent chez; flexible~flics belle; collected~cliquent aide
12	ɛp	ɔp	receptor~ries opté; concept~cannes opte; step~stop
12	ɒk	ak	proximity~braques midi; orthodox~hochet axe; block~black
12	tɹɪ	tɹi	strictly~strictes lies; strict~strictes; strict~stricte
12	ol	ol	role~rôles; role~rôle; goal~gaule
12	ɒt	at	plot~plates; plot~plate; got~gate
11	ʃɛk	ʃɛk	check~tchèques; check~tchèque; checked~tchèques
11	fɔl	fɔl	fall~folles; fall~folle; fall~fol
11	ɒs	ɔs	cross~crosse; boss~bosses; boss~bossent
11	fe	fɛ	fair~fers; fair~fer; fair~faire
11	ɹul	ɹul	rule~roulent; rule~roule; truly~trous lies
11	sit	sit	seat~sites; seat~site; seat~citent
11	ɹuv	ɹuv	prove~prouvent; prove~prouve; approve~éprouvent
11	pɹuv	pɹuv	prove~prouvent; prove~prouve; approve~éprouvent
11	stɹɛ	stɹɛ	stress~stresse; stressful~stressent elle; stressed~stresse
11	til	til	steel~styles; steel~style; steal~styles
11	pɹi	pɹi	supreme~soupe rimes; preacher~prient chez; predecessor~prient cessé
11	ɛnt	ɛnt	entry~haines tri; plenty~plain tee; center~sain tes
11	mɛs	mɛs	ms~aiment ès; mess~messes; mess~messe
11	ɹut	ɹut	route~routes; root~routes; root~route
11	ɛksɛ	ɛksɛ	excess~ex ès; excel~ex aile; excessive~excès sève
11	lt	lt	vault~volts; result~ries halte; penalty~pain haleter
11	jɛ	jɛ	yen~yens; yet~miettes; yet~diète
11	tɔk	tɔk	stalk~stock; stalk~stocke; stalk~stockent
11	pɪ	pi	picture~piquent chez; pistol~pissent elle; respiratory~respirait ri
11	ndɐ	nde	surrender~serein des; render~rhin des; tender~tain des
11	kʌ	ka	culture~calent chez; customer~cassent aimé; custom~cassent homme
11	nə	nɛ	fortunately~faut chenet lis; fortunate~faut chaînette; designers~dis ânesse
11	bʌ	ba	butler~bat les; butterfly~battait la; bunny~bannis
11	stɪ	stɛ	fantastic~fanent aztèques; contested~cognent esthète; destination~destin échine
11	mɪ	mɛ	miniature~mènent chez; mistress~mais tresses; dominion~demain in
11	əl	əl	literally~lient relie; monopoly~mon appelait; primarily~primaires relis
11	pɹɪ	pɹi	prison~pris haine; prisoner~pris né; preserve~pris ève
11	ɔz	oz	destroys~dissent rose; enjoys~haines chose; clause~closes
11	ɹɪk	ɹik	matrix~met rixe; strictly~strictes lies; strict~strictes
11	mɛ	mɛ̃	domestic~demains tic; messy~minci; messy~mincie
11	ɪst	ɛst	practiced~braquent est; register~raids ester; dentist~donnent est
11	le	lɛ	latest~laid est; displays~dis plaise; places~plaies aise
11	ɹɒ	ɹa	rotten~rat haine; proximity~braques midi; roger~rat chez
11	en	ɛn	sustain~cessent haine; rainfall~rhin folle; painful~pain folle
11	ka	ka	council~cannes elle; counsel~cannes elle; kindly~cannes lis
11	dɪ	de	defeated~défient aide; deleted~délit aide; depending~dépeignent in
11	ktɪv	ktiv	productive~prêt active; protective~prêt active; detective~dit active
11	lu	ly	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
11	skl	skl	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
11	klu	kly	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
11	kskl	kskl	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
11	sklu	skly	excluded~exclus aide; exclusion~exclus haine; exclusively~exclus flux
11	lɛkt	lɛkt	collectively~collectes lis; collect~collecte; collector~collecte
11	pæ	pa	paranoid~parrain ode; packed~pacte; pact~pacte
11	ɪd	id	bridges~brides aise; rejected~rides excède; buried~bride
11	bɔd	bɔt	cardboard~cas botte; bawd~botes; bawd~bottes
11	klo	klo	disclose~dis clause; clone~clones; closed~claude
11	sɛp	sɛp	except~excepté; separately~sep repli; accept~acceptes
11	wa	wa	white~watts; wiped~oies opte; twice~toits anses
11	sid	sit	exceed~excite; cede~site; seed~citent
11	bi	pi	beast~pistes; beef~pif; beep~pipe
11	ɛt	ɛ̃t	met~mainte; met~maintes; pet~peinte
10	wi	wi	we~oui; wee~oui; kiwi~kiwis
10	ʊn	ʊn	around~round; ground~round; rounds~round
10	ɡɹu	ɡɹu	group~groupes; group~groupe; group~groupés
10	ɹup	ɹup	group~groupes; group~groupe; troop~troupes
10	min	min	mean~mines; mean~mine; mean~minent
10	lis	lis	least~listes; least~liste; least~list
10	ʃe	ʃɛ	share~chères; share~chère; share~chers
10	dɔ	dɔ	daughter~dort; daughter~dors; dawn~donnes
10	bɔl	bɔl	ball~bol; footballer~fait bolée; football~fait bol
10	tɹɛs	tɹɛs	stress~stresse; distress~dis tresses; stressful~stressent elle
10	kspɹ	kspɹ	express~expresse; expressing~exprès in; expressed~expresse
10	uz	uz	blues~blouse; boos~bouse; boos~bouses
10	ʒɛ	ʒɛ	jet~jets; gesture~jet chez; suggest~sait geste
10	ɛv	ɛv	rev~rêves; rev~rêvent; rev~rêve
10	fɹi	fɹi	freeze~frise; freak~fric; freezer~frise
10	if	if	grief~griffes; grief~griffe; beef~biffe
10	ɛlf	ɛlf	selfie~selles fis; myself~mas elfes; itself~êtes elfes
10	tɛm	tɛm	stem~stemm; stem~stemms; stem~stems
10	ɑs	ɑ̃s	lastly~lancent lis; classy~clans sis; deed arse~distance
10	sɛns	sɛns	sensor~sain ses; sensory~sain serez; senses~sain six
10	ɹɔ	ɹɔ	destroyed~dissent rhodes; broadly~prompt lis; broadly~brosse lies
10	ɒɹ	ɔɹ	forestry~forcent ri; majority~modes orties; foreigners~forain aise
10	ɛs	ɛ̃s	question~coincent chaîne; successes~secs incise; restoration~rincent origine
10	zɪ	zi	exhibited~exhibent aide; diseases~dis isis; existed~exit aide
10	stɹi	stɹi	registry~raids stries; street~strictes; street~stricte
10	mə	mɛ	mature~met chaud; policeman~polis mène; promoted~promet aide
10	ɛd	ɛt	predators~prêtait aise; deadly~dettes lies; fed~faîtes
10	tɑ	ta	restart~ries tâte; superstar~soupes ta; star~stars
10	ɑt	at	restart~ries tâte; sweetheart~suit hâte; artistic~attisent hic
10	ɹæn	ɹɛn	transcript~train script; transmit~traînes mythe; transmitted~traînes met aide
10	skɹ	skɹ	transcript~train script; scripture~scrutent chez; scream~escrime
10	ɹɪs	ɹɛs	respiratory~respirait ri; respectful~respectent elle; respectively~respectes lis
10	ɛndɪ	ɛndi	attended~étain dites; attending~étain digne; bending~ben digne
10	lɑ	la	glasses~glass aise; largely~lads lis; class~classes
10	aɪ	aɛ	suicide~saouls aède; beside~bis aède; terrified~terrent aède
10	ɹɑ	ɹa	branches~bradent chaise; drafting~drapent in; grass~grâces
10	kæ	ka	capsule~caps houle; capped~capte; can~cannes
10	tl	tl	frequently~fricotent lis; outlet~athlètes; outlet~athlète
10	ɛktɪ	ɛkti	suspected~ces pectine; unexpected~iniques pectine; collectively~collectives lies
10	æm	am	examination~examen échine; grammar~grammes; grammar~gramme
10	ɪsk	isk	discussing~discos in; risky~rient skis; whiskey~whisky
10	mɔ	mɔ	morning~mon in; mourning~mon in; mortgages~moquent chaise
10	mə	ma	maternity~matin tee; maternal~matin elle; gentlemen~jet allemagne
10	ɹɛk	ɹɛk	correctly~corrects lies; direct~directs; direct~directes
10	ɪf	if	wife~oies if; safe~ses if; knife~naïfs
10	tɛ	tɔ	step~stop; steppe~stoppe; steppe~stops
10	stɛ	stɔ	step~stop; steppe~stoppe; steppe~stops
10	tɛp	tɔp	step~stop; steppe~stoppe; steppe~stops
