en	fr	pair_score	passages	best_subchain_quality	mean_subchain_quality	min_hops	density_score	example
fitted	fait aide	0.952	56	0.956	0.9213	2	51.59	≈ fr:met aide ~ fr:fait aide ≈ en:fitted
dissed	test	0.94	52	0.981	0.9615	2	50.0	en:dissed ≈ fr:test ~ en:test
plead	plaide	0.94	52	0.953	0.9382	2	48.79	≈ en:pleat ~ en:plead ≈ fr:plaide
busted	baissent aide	0.955	52	0.951	0.9281	2	48.26	en:distracted ≈ fr:dis traquent aide ~ fr:baissent aide ≈ en:busted
venture	feignent chez	0.955	51	0.964	0.9416	2	48.02	en:ventures ~ en:venture ≈ fr:feignent chez
sees	sises	1.0	48	0.99	0.9738	2	46.74	≈ fr:sise ~ fr:sises ≈ en:sees
shoot	shoote	1.0	49	0.995	0.9514	2	46.62	en:shoot ≈ fr:shoote ~ fr:shoot
dusty	des tee	0.952	50	0.929	0.9195	2	45.97	en:dusty ≈ fr:des tee ~ fr:los
prison	pris haine	0.963	48	0.961	0.9488	2	45.54	≈ fr:haine ~ fr:pris haine ≈ en:prison
parcel	pas elle	0.94	47	0.956	0.9396	2	44.16	≈ fr:colis = en:parcel ≈ fr:pas elle
in	haine	0.94	46	0.961	0.9512	3	43.76	en:an ≈ fr:in ~ en:in ≈ fr:haine
distract	dis tracts	0.958	47	0.944	0.9298	2	43.7	≈ en:distracted ~ en:distract ≈ fr:dis tracts
test	testes	1.0	45	0.973	0.9518	2	42.83	en:testes ~ fr:testes ≈ en:test
branches	bradent chaise	0.948	45	0.957	0.9422	2	42.4	≈ fr:skient chaise ~ fr:bradent chaise ≈ en:branches
shoot	shootes	1.0	44	0.992	0.9614	2	42.3	en:shooting ~ fr:shootes ≈ en:shoot
ventures	feignent chaise	0.945	45	0.957	0.9394	2	42.27	en:venture ~ en:ventures ≈ fr:feignent chaise
see	si	1.0	43	0.97	0.9592	2	41.24	≈ en:si ~ fr:si ≈ en:see
vicinity	vis hindi	0.93	44	0.958	0.9311	2	40.97	en:vicinity ≈ fr:vis hindi ~ fr:hindi
editing	aidait in	0.938	44	0.939	0.9222	2	40.58	en:editing ≈ fr:aidait in ~ fr:fait aide
senores	sain ose	0.956	43	0.96	0.9436	2	40.57	en:senores ≈ fr:sain ose ~ fr:sain ses
seen	seines	1.0	41	0.982	0.9576	2	39.26	≈ en:sees ~ en:seen ≈ fr:seines
sec	secs	1.0	41	0.982	0.9518	2	39.02	en:sec ≈ fr:secs ~ en:secs
jean	gins	1.0	40	0.99	0.9733	2	38.93	en:jinn ≈ fr:gin ~ fr:gins ≈ en:jean
soup	soupes	1.0	40	0.993	0.9719	2	38.87	en:soup ≈ fr:soupes ~ fr:soupe
certain	sait haine	0.952	41	0.963	0.9448	2	38.74	en:written ≈ fr:rient haine ~ fr:sait haine ≈ en:certain
penalty	pain haleter	0.932	40	0.962	0.9536	2	38.14	≈ fr:peine = en:penalty ≈ fr:pain haleter
retrieve	rient rive	0.983	40	0.976	0.9531	2	38.13	en:retrieved ~ en:retrieve ≈ fr:rient rive
secs	sexe	1.0	40	0.982	0.953	3	38.12	en:sec ≈ fr:secs ~ en:secs ≈ fr:sexe
beat	bites	1.0	39	0.989	0.9543	2	37.22	en:beet ≈ fr:bite ~ fr:bites ≈ en:beat
colly	colis	0.975	39	0.965	0.9497	2	37.04	en:parcel = fr:colis ≈ en:colly
protect	prêt acte	0.932	40	0.94	0.9234	2	36.93	en:protecting ~ en:protect ≈ fr:prêt acte
wrestling	raies ligne	0.944	39	0.957	0.9433	2	36.79	en:wrestle ~ en:wrestling ≈ fr:raies ligne
super	soupe	1.0	37	0.993	0.9748	2	36.07	en:soup ≈ fr:soupes ~ fr:soupe ≈ en:super
affected	évoquent aide	0.932	39	0.944	0.9193	2	35.85	en:trusted ≈ fr:tracent aide ~ fr:évoquent aide ≈ en:affected
lender	lin des	0.976	38	0.956	0.9349	2	35.53	en:lender ≈ fr:lin des ~ fr:van des
sea	si	1.0	36	0.97	0.9602	2	34.57	≈ en:si ~ fr:si ≈ en:sea
chute	shoot	1.0	35	0.995	0.9674	3	33.86	en:shoot ≈ fr:shoote ~ fr:shoot ≈ en:chute
techs	sexe	0.94	35	0.975	0.964	2	33.74	≈ en:teak = fr:teck en:tech ~ en:techs ≈ fr:sexe
seize	sises	1.0	34	0.988	0.9699	2	32.98	≈ fr:sise ~ fr:sises ≈ en:seize
senors	sain aise	0.952	35	0.954	0.9359	2	32.76	≈ en:senores ~ en:senors ≈ fr:sain aise
pee	pi	1.0	34	0.977	0.9559	2	32.5	≈ fr:pisse = en:pee ≈ fr:pi
an	in	0.94	34	0.961	0.9558	2	32.5	en:an ≈ fr:in ~ en:in
route	routes	1.0	33	1.0	0.9715	2	32.06	en:root ≈ fr:route ~ en:route ≈ fr:routes
sicked	secte	0.97	33	0.971	0.9627	2	31.77	en:sicken ~ en:sicked ≈ fr:secte
debt	dette	1.0	33	0.978	0.9598	2	31.67	en:saucy ≈ fr:ceci ~ fr:dette ≈ en:debt
investors	nouées thèse	0.918	34	0.939	0.9292	2	31.59	en:investor ~ en:investors ≈ fr:nouées thèse
clue	clous	1.0	33	0.984	0.9532	2	31.45	en:clued ~ en:clue ≈ fr:clous
prissy	précis	0.952	33	0.964	0.9445	2	31.17	en:prissy ≈ fr:précis ~ fr:précise
says	seize	1.0	32	0.992	0.9734	2	31.15	en:says ≈ fr:seize ~ en:seize
practiced	braquent est	0.955	33	0.96	0.9377	2	30.94	en:practiced ≈ fr:braquent est ~ fr:donnent est
testers	taies thèse	0.96	33	0.959	0.9362	2	30.89	≈ fr:tester ~ en:testers ≈ fr:taies thèse
friendship	freinent chipe	0.973	32	0.974	0.9602	2	30.73	en:sheep ≈ fr:chipe ~ fr:freinent chipe ≈ en:friendship
enter	ensi	0.911	33	0.958	0.9311	2	30.73	≈ en:entry ~ en:enter ≈ fr:ensi
investor	haines ester	0.94	33	0.948	0.929	2	30.66	en:investors ~ en:investor ≈ fr:haines ester
ported	petite	0.932	32	0.982	0.9545	2	30.54	en:ported ≈ fr:petite ~ fr:petit
edited	aidait aide	0.96	33	0.935	0.9249	2	30.52	en:edited ≈ fr:aidait aide ~ fr:baissent aide
founded	fanent aide	0.949	33	0.95	0.9226	2	30.45	en:founding ~ en:founded ≈ fr:fanent aide
centre	sain tes	0.976	32	0.965	0.9476	2	30.32	en:bending ≈ fr:ben digne ~ fr:sain tes ≈ en:centre
routers	ruent aise	0.952	33	0.93	0.9127	3	30.12	en:addresses ≈ fr:adrets aise ~ fr:ruent aise ≈ en:routers
retrieved	rient rift	0.952	32	0.951	0.9377	2	30.01	≈ en:retrieve ~ en:retrieved ≈ fr:rient rift
petit	petit	1.0	31	0.982	0.9603	2	29.77	en:ported ≈ fr:petite ~ fr:petit ≈ en:petit
mess	messes	1.0	31	1.0	0.9528	2	29.54	en:messes ~ fr:messes ≈ en:mess
plea	pli	1.0	31	0.971	0.9509	2	29.48	en:crease = fr:pli ≈ en:plea
myself	mas elfes	0.966	32	0.931	0.9214	3	29.48	en:itself ≈ fr:êtes elfes ~ fr:mas elfes ≈ en:myself
lethal	lient elle	0.929	31	0.963	0.9481	2	29.39	en:deadly ~ en:lethal ≈ fr:lient elle
insanity	haines hindi	0.911	32	0.939	0.9122	2	29.19	en:insanity ≈ fr:haines hindi ~ fr:hindi
members	main baise	0.911	31	0.939	0.9263	2	28.72	en:member ~ en:members ≈ fr:main baise
jet	jets	1.0	31	0.939	0.9211	2	28.55	en:shedding ≈ fr:jet in ~ en:jet ≈ fr:jets
finest	faon est	0.94	30	0.96	0.9501	3	28.5	en:surrender ≈ fr:serein des ~ fr:faon est ≈ en:finest
teak	tics	1.0	29	0.99	0.9704	2	28.14	en:tics ~ fr:tics ≈ en:teak
credit	créent êtes	0.944	30	0.957	0.9381	3	28.14	en:greatest ≈ fr:créent est ~ fr:créent êtes ≈ en:credit
sort	sortent	1.0	30	0.952	0.9373	2	28.12	≈ en:sorted ~ fr:sortent ≈ en:sort
chin	gin	0.915	29	0.98	0.9676	2	28.06	en:chin ≈ fr:gin ~ fr:gins
pleading	plient in	0.938	30	0.95	0.9326	2	27.98	en:pleasing ≈ fr:plies in ~ fr:plient in ≈ en:pleading
pieced	pistes	1.0	29	0.969	0.9644	2	27.97	≈ en:piece ~ en:pieced ≈ fr:pistes
cooed rhea	country	0.96	30	0.954	0.9314	2	27.94	en:country ~ fr:country ≈ en:cooed rhea
sorted	sont aide	0.952	30	0.952	0.9298	2	27.89	en:devoted ≈ fr:devait aide ~ fr:sont aide ≈ en:sorted
it olla	installer	0.901	30	0.948	0.929	2	27.87	en:it olla ≈ fr:installer ~ en:install
recall	rient collent	1.0	29	0.978	0.9571	3	27.76	~ en:retailer fr:rient ailé ~ fr:rient collent ≈ en:recall
fairy	ferry	1.0	28	0.995	0.9869	2	27.63	en:fairy ≈ fr:ferry ~ en:ferry
thirteen	fait in	0.926	29	0.971	0.9506	2	27.57	en:fourteen ~ en:thirteen ≈ fr:fait in
bell	belle	1.0	28	1.0	0.9774	2	27.37	en:bell ≈ fr:belle ~ en:belle
seize	sise	1.0	28	0.992	0.9724	2	27.23	en:says ≈ fr:seize ~ en:seize ≈ fr:sise
country	khan tri	0.95	29	0.96	0.9353	3	27.12	en:candour ≈ fr:khan des ~ fr:khan tri ≈ en:country
read	rides	1.0	28	0.988	0.965	2	27.02	en:read ≈ fr:rides ~ fr:ride
senses	sain six	0.963	28	0.977	0.9587	2	26.84	en:senses ≈ fr:sain six ~ fr:six
fracture	traquent chez	0.947	28	0.964	0.9558	3	26.76	en:miniature ≈ fr:mènent chez ~ fr:traquent chez ≈ en:fracture
sicken	cigogne	0.902	28	0.959	0.9556	2	26.76	en:stork = fr:cigogne ≈ en:sicken
sees	six	1.0	28	0.978	0.9544	2	26.72	≈ en:seen ~ en:sees ≈ fr:six
entered	aident aide	0.929	29	0.934	0.9207	2	26.7	en:estimated ≈ fr:estimait aide ~ fr:aident aide ≈ en:entered
extending	axent haines in	0.906	29	0.932	0.9206	2	26.7	en:extensive ≈ fr:axent haines ive ~ fr:axent haines in ≈ en:extending
pieces	pis aise	0.952	28	0.957	0.948	2	26.54	≈ en:piece ~ en:pieces ≈ fr:pis aise
wrested	rincent aide	0.96	29	0.942	0.9109	2	26.42	en:wrested ≈ fr:rincent aide ~ fr:aident rincent aide
reader	ride	1.0	27	0.978	0.9628	3	25.99	en:reed ≈ fr:rides ~ fr:ride ≈ en:reader
install	haines taule	0.944	28	0.948	0.9284	3	25.99	en:it olla ≈ fr:installer ~ en:install ≈ fr:haines taule
caller	coller	1.0	27	0.965	0.9593	2	25.9	= fr:colis en:colly ~ fr:coller ≈ en:caller
yourself	ions elfes	0.96	28	0.931	0.923	2	25.84	≈ en:myself ~ en:yourself ≈ fr:ions elfes
reed	rides	1.0	27	0.978	0.9543	2	25.77	en:reed ≈ fr:rides ~ fr:ride
succeed	secs ides	0.96	27	0.966	0.9518	2	25.7	en:succeed ≈ fr:secs ides ~ en:secs ≈ fr:sexe ~ fr:sexes ≈ en:sex
designer	dis année	0.969	27	0.97	0.9492	2	25.63	en:designers ~ en:designer ≈ fr:dis année
clam	clame	0.97	27	0.96	0.9468	2	25.56	en:clam ≈ fr:clame ~ fr:claque ≈ en:cluck
testes	taies dix	0.96	27	0.959	0.9443	3	25.5	≈ fr:test en:test ≈ fr:testes ~ en:testes ≈ fr:taies dix
deadly	dès lis	0.952	27	0.948	0.9433	2	25.47	en:fortunately ≈ fr:faut chenet lis ~ fr:dès lis ≈ en:deadly
centers	sain thèse	0.96	27	0.95	0.94	2	25.38	en:protesters ≈ fr:prêtais thèse ~ fr:sain thèse ≈ en:centers
defeated	défient aide	0.949	27	0.948	0.9345	2	25.23	en:defeated ≈ fr:défient aide ~ fr:cessent aide
redly	raies lis	0.952	27	0.96	0.9341	2	25.22	en:redly ≈ fr:raies lis ~ fr:anis tee
northwestern	notais tonnes	0.93	27	0.943	0.9307	2	25.13	en:northwestern ≈ fr:notais tonnes ~ fr:taies tonnes
sheep	chipe	1.0	26	0.974	0.963	2	25.04	en:sheep ≈ fr:chipe ~ fr:freinent chipe
extended	axent haines aide	0.921	27	0.94	0.9236	2	24.94	en:extending ~ en:extended ≈ fr:axent haines aide
committed	commit aide	0.952	27	0.938	0.9146	2	24.7	en:commie ≈ fr:commis = en:committed ≈ fr:commit aide
designers	dis ânesse	0.943	26	0.953	0.9488	2	24.67	en:discussed ≈ fr:dis caste ~ fr:dis ânesse ≈ en:designers
leaders	lient aise	0.952	26	0.958	0.9453	2	24.58	≈ fr:trais aise ~ fr:lient aise ≈ en:leaders
settling	sait ligne	0.963	26	0.95	0.9416	2	24.48	en:settling ≈ fr:sait ligne ~ fr:raies ligne
cadge	catch	0.911	26	0.938	0.9361	2	24.34	en:caddie ≈ fr:caddie ~ en:cadge ≈ fr:catch
superstar	soupes ta	0.949	25	0.984	0.9704	2	24.26	≈ fr:soupes ~ fr:soupes ta ≈ en:superstar
belle	belles	1.0	25	1.0	0.9699	3	24.25	en:bell ≈ fr:belle ~ en:belle ≈ fr:belles
beaters	vitesse	0.905	26	0.946	0.9307	2	24.2	en:beater ~ en:beaters ≈ fr:vitesse
get your	question	0.921	26	0.952	0.9297	2	24.17	en:get your ≈ fr:question ~ en:question
settled	sait halte	0.94	26	0.933	0.9291	2	24.16	~ en:titled fr:tant halte ~ fr:sait halte ≈ en:settled
pistol	pissent elle	0.963	25	0.971	0.9619	3	24.05	en:peat olla ≈ fr:pistolet ~ en:pistol ≈ fr:pissent elle
sicks	sexe	0.97	25	0.97	0.9614	2	24.03	~ fr:secte en:sicked ~ en:sicks ≈ fr:sexe
pressie	précis	0.98	25	0.979	0.9609	2	24.02	en:pressies ~ en:pressie ≈ fr:précis
cutch	coach	0.97	26	0.946	0.9212	2	23.95	en:cutch ≈ fr:coach ~ en:coaches
press	presse	1.0	25	0.972	0.9561	2	23.9	en:press ≈ fr:presse ~ en:presses
reed	ride	1.0	25	0.988	0.953	3	23.83	en:read ≈ fr:rides ~ fr:ride ≈ en:reed
tender	tain des	0.976	25	0.966	0.9441	2	23.6	en:tender ≈ fr:tain des ~ fr:tain paul
red	raids	1.0	25	0.961	0.9379	2	23.45	en:red ≈ fr:raids ~ fr:raids ester
under	hindi	0.911	25	0.953	0.9333	3	23.33	en:vicinity ≈ fr:vis hindi ~ fr:hindi ≈ en:under
deceive	dis ive	0.956	25	0.943	0.9299	2	23.25	en:deceive ≈ fr:dis ive ~ fr:ries ive
member	main bée	0.917	25	0.944	0.9294	3	23.24	~ en:menaced fr:main est ~ fr:main bée ≈ en:member
trusted	tracent aide	0.966	25	0.944	0.9296	2	23.24	en:trusted ≈ fr:tracent aide ~ fr:évoquent aide
coupe	coupes	1.0	24	0.99	0.9668	2	23.2	en:coupe ≈ fr:coupes ~ fr:coupe
product	pros acte	0.932	25	0.94	0.9281	2	23.2	~ en:protect fr:prêt acte ~ fr:pros acte ≈ en:product
seas	sises	1.0	24	0.992	0.966	2	23.18	≈ fr:sise ~ fr:sises ≈ en:seas
seating	scient in	0.95	24	0.97	0.9639	2	23.13	≈ fr:scient ~ fr:scient in ≈ en:seating
reeding	rétine	0.902	25	0.952	0.9148	2	22.87	≈ en:reed ~ en:reeding ≈ fr:rétine
tressel	trais elle	0.96	24	0.973	0.9503	2	22.81	en:tressel ≈ fr:trais elle ~ fr:met elle
resist	ries est	0.944	24	0.956	0.9502	2	22.8	en:vs ≈ fr:vies ès ~ fr:ries est ≈ en:resist
pleasing	plies in	0.958	24	0.951	0.9481	2	22.75	≈ fr:plient in ~ fr:plies in ≈ en:pleasing
ferry	faits rient	1.0	23	0.995	0.9881	3	22.73	en:fairy ≈ fr:ferry ~ en:ferry ≈ fr:faits rient
titled	tant halte	0.906	24	0.935	0.9303	2	22.33	≈ en:title ~ en:titled ≈ fr:tant halte
testa	tester	1.0	23	0.981	0.9695	2	22.3	≈ fr:testent ~ en:testa ≈ fr:tester
losses	las aise	0.929	24	0.949	0.9262	2	22.23	≈ fr:quais aise ~ fr:las aise ≈ en:losses
metal	met elle	0.976	23	0.973	0.9619	2	22.12	en:tressel ≈ fr:trais elle ~ fr:met elle ≈ en:metal
stiller	stylé	0.98	23	0.968	0.9596	2	22.07	= fr:peines en:pen ~ fr:stylé ≈ en:stiller
peace	pisse	1.0	23	0.972	0.9589	2	22.05	en:peace ≈ fr:pisse ~ fr:pisses
plume	plume	0.97	23	0.964	0.9562	2	21.99	= fr:peines en:pen = fr:plume ≈ en:plume
stellar	stylé	0.952	23	0.96	0.9529	2	21.92	= fr:peines en:pen ~ fr:stylé ≈ en:stellar
tresses	trais aise	0.96	23	0.958	0.9516	3	21.89	en:tress ≈ fr:tresses ~ en:tresses ≈ fr:trais aise
loses	loues aise	0.976	24	0.912	0.907	2	21.77	en:losses ~ en:loses ≈ fr:loues aise
semester	sommets tes	0.966	23	0.962	0.9453	2	21.74	en:semester ≈ fr:sommets tes ~ fr:pris ci
monitored	manient aide	0.952	23	0.95	0.9417	2	21.66	~ en:founded fr:fanent aide ~ fr:manient aide ≈ en:monitored
seas	sise	1.0	22	0.988	0.979	2	21.54	en:debt ≈ fr:dettes ~ en:seas ≈ fr:sise ~ fr:sises
set	sets	1.0	23	0.942	0.9279	2	21.34	≈ en:setters ~ fr:sets ≈ en:set
treaties	trient aise	0.98	23	0.929	0.9245	2	21.26	en:treaties ≈ fr:trient aise ~ fr:ruent aise
sued	soudent	1.0	22	0.988	0.964	2	21.21	en:suing ~ en:sued ≈ fr:soudent
testy	tester	0.976	22	0.969	0.9521	2	20.95	en:testy ≈ fr:tester ~ fr:teste
founders	fanent aise	0.949	23	0.917	0.911	2	20.95	≈ en:founded ~ en:founders ≈ fr:fanent aise
vs	vies ès	1.0	22	0.956	0.9449	2	20.79	en:vs ≈ fr:vies ès ~ fr:ries est
merry	mets rient	1.0	21	0.995	0.9826	2	20.63	en:merry ≈ fr:mets rient ~ fr:faits rient
jinn	gin	0.975	21	0.99	0.982	2	20.62	en:jinn ≈ fr:gin ~ fr:gins
cuddy	caddie	0.97	22	0.945	0.9346	2	20.56	en:caddie ~ fr:caddie ≈ en:cuddy
receive	ries ive	0.956	22	0.956	0.9327	2	20.52	en:receive ≈ fr:ries ive ~ fr:ive
briefly	prient lis	0.938	22	0.947	0.9323	2	20.51	en:briefly ≈ fr:prient lis ~ en:prissy
onset	ânes êtes	0.952	22	0.938	0.9301	2	20.46	≈ fr:créent êtes ~ fr:ânes êtes ≈ en:onset
ending	haines in	0.902	22	0.937	0.9292	2	20.44	en:ended ~ en:ending ≈ fr:haines in
ridding	rient in	0.906	22	0.946	0.9267	2	20.39	en:ridding ≈ fr:rient in ~ fr:rient collent
debt	dettes	1.0	21	0.988	0.9644	2	20.25	en:debt ≈ fr:dettes ~ en:seas
terror	terre	1.0	21	0.992	0.9635	2	20.23	en:terror ≈ fr:terre ~ fr:terra
russet	recettes	0.976	21	0.968	0.9633	2	20.23	≈ en:recipes = fr:recettes ≈ en:russet
render	rhin des	0.976	22	0.941	0.9195	2	20.23	en:rendering ~ en:render ≈ fr:rhin des
toot	toute	1.0	21	0.987	0.9541	2	20.04	en:toot ≈ fr:toute ~ fr:toutou
pen	peines	1.0	21	0.968	0.9544	2	20.04	en:penalties = fr:peines ≈ en:pen
cluck	claque	0.97	21	0.964	0.9536	2	20.03	en:claque ~ fr:claque ≈ en:cluck
reduced	rient oust	0.947	21	0.962	0.954	2	20.03	en:reduced ≈ fr:rient oust ~ fr:rient hélas
censorship	saines chipe	0.95	21	0.958	0.9526	2	20.0	en:censure ~ en:censorship ≈ fr:saines chipe
marcel	mas elle	0.964	21	0.962	0.9506	2	19.96	~ en:resell fr:ries elle ~ fr:mas elle ≈ en:marcel
pen	pennes	1.0	21	0.959	0.95	2	19.95	en:pennis ~ fr:pennes ≈ en:pen
printing	prennent in	0.947	21	0.96	0.9494	2	19.94	~ en:fourteen fr:faut in ~ fr:prennent in ≈ en:printing
sue	sous	1.0	21	0.959	0.946	2	19.87	en:under = fr:sous ≈ en:sue
interested	aident rincent aide	0.921	21	0.948	0.9402	2	19.74	≈ fr:rincent aide ~ fr:aident rincent aide ≈ en:interested
attending	étain digne	0.952	21	0.942	0.9375	2	19.69	en:mending ≈ fr:main digne ~ fr:étain digne ≈ en:attending
cred	crête	0.97	20	0.978	0.9672	2	19.34	~ fr:pics en:peak = fr:crête ≈ en:cred
lesser	laisses	1.0	20	0.975	0.9621	2	19.24	en:lesser ≈ fr:laisses ~ fr:laissent
rental	rhin tel	0.96	21	0.933	0.9149	2	19.21	en:rental ≈ fr:rhin tel ~ fr:rhin des
was	ose	0.91	20	0.963	0.9587	2	19.17	≈ en:been ~ en:was ≈ fr:ose
readers	rient aise	0.952	20	0.972	0.9575	2	19.15	≈ en:reader ~ en:readers ≈ fr:rient aise
testing	destine	0.938	20	0.978	0.9554	2	19.11	≈ fr:tester ~ en:testing ≈ fr:destine
teacher	dit chez	0.976	20	0.969	0.9547	2	19.09	en:preacher ≈ fr:prient chez ~ fr:dit chez ≈ en:teacher
suited	sourde	1.0	21	0.917	0.909	2	19.09	≈ en:fitted ~ en:suited ≈ fr:sourde
tress	tresses	1.0	20	0.958	0.9526	2	19.05	en:tress ≈ fr:tresses ~ en:tresses
censure	sain chez	0.976	20	0.959	0.9468	2	18.94	en:censorship ~ en:censure ≈ fr:sain chez
greatest	créent est	0.955	20	0.957	0.9427	2	18.85	en:greatest ≈ fr:créent est ~ fr:créent êtes
emcee	ensi	0.926	20	0.953	0.9418	2	18.84	en:parry ≈ fr:pari ~ fr:ensi ≈ en:emcee
portraits	pot reps	0.916	20	0.961	0.9358	2	18.72	en:portraits ≈ fr:pot reps ~ fr:pie dits
question	coincent chaîne	0.97	20	0.952	0.9362	3	18.72	en:get your ≈ fr:question ~ en:question ≈ fr:coincent chaîne
cully	colis	0.94	20	0.945	0.9353	3	18.71	~ fr:caddie en:cuddy ~ en:cully ≈ fr:colis
beetle	but elle	0.936	20	0.947	0.9334	2	18.67	en:beetle ≈ fr:but elle ~ fr:ries elle
setters	synthèse	0.952	20	0.942	0.9336	3	18.67	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters
grit	crête	0.94	20	0.956	0.9315	2	18.63	en:grit ≈ fr:crête ~ fr:turpin
title	taillent elle	0.94	20	0.935	0.9273	2	18.55	en:crystal ≈ fr:crissent elle ~ fr:taillent elle ≈ en:title
treated	trient aide	0.98	20	0.941	0.9267	2	18.53	en:treating ~ en:treated ≈ fr:trient aide
tennis	tain hisse	0.956	20	0.936	0.9265	2	18.53	en:tennis ≈ fr:tain hisse ~ fr:con taie
sees	sise	1.0	19	0.988	0.9718	2	18.47	en:sees ≈ fr:sise ~ fr:sises
corn	corne	1.0	19	0.978	0.9712	2	18.45	en:corny ~ fr:corne ≈ en:corn
test	teste	1.0	19	0.973	0.9642	2	18.32	en:testa ≈ fr:tester ~ fr:teste ≈ en:test
pee	pies	1.0	19	0.974	0.9614	2	18.27	en:pee ≈ fr:pies ~ fr:psi
meet	mite	1.0	19	0.983	0.9603	2	18.25	en:meet ≈ fr:mite ~ fr:mité
prat	prête	0.94	19	0.966	0.9579	2	18.2	≈ en:ready = fr:prête ≈ en:prat
pleader	plaider	0.952	19	0.956	0.9545	2	18.13	en:plead = fr:plaider ≈ en:pleader
sheeny	chiner	0.97	19	0.967	0.9527	2	18.1	en:sheeny ≈ fr:chiner ~ en:chin
devoted	devait aide	0.936	19	0.952	0.9471	2	17.99	en:devoted ≈ fr:devait aide ~ fr:sont aide
out	hâtes	0.96	19	0.975	0.9444	2	17.94	en:out ≈ fr:hâtes ~ fr:hâte
attended	étain dites	0.952	19	0.944	0.9409	2	17.88	en:attending ~ en:attended ≈ fr:étain dites
emcees	aimes hisse	0.952	19	0.95	0.9405	2	17.87	≈ en:emcee ~ en:emcees ≈ fr:aimes hisse
success	secs ace	0.96	19	0.948	0.9404	2	17.87	≈ en:succeed ~ en:success ≈ fr:secs ace
parry	pari	0.97	19	0.953	0.9398	2	17.86	en:parry ≈ fr:pari ~ fr:ensi
teston	taies tonnes	0.96	19	0.943	0.9347	2	17.76	en:northwestern ≈ fr:notais tonnes ~ fr:taies tonnes ≈ en:teston
defeat	dit hit	0.93	19	0.945	0.9344	2	17.75	en:defeat ≈ fr:dit hit ~ fr:qua
basically	pays clé	0.928	19	0.948	0.9318	2	17.7	≈ en:essentially ~ en:basically ≈ fr:pays clé
wander	van des	0.9	19	0.943	0.9301	2	17.67	en:wander ≈ fr:van des ~ fr:lin des
gene	jean	1.0	18	0.99	0.9811	3	17.66	≈ fr:gin fr:gins ≈ en:jean ~ fr:jean ≈ en:gene
coaching	coud chine	0.924	19	0.945	0.9281	2	17.63	en:coaching ≈ fr:coud chine ~ fr:rient chine
