en	fr	certifications	example_loop
fastest	fats test	2	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
faster	fats tes	2	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
footballer	fait bolée	2	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
football	fait bol	2	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
friendship	freinent chipe	2	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
friendships	freinent chips	2	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
himself	aimes elfes	2	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
installed	haines solde	2	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
install	haines taule	2	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
kindness	cannes noces	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
kindly	cannes lis	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
leg	legs	2	en:leg ≈ fr:legs ~ fr:kaki ≈ en:kaki ~ fr:noga
kaki	kaki	2	en:leg ≈ fr:legs ~ fr:kaki ≈ en:kaki ~ fr:noga
oldest	elles est	2	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
elders	elles aise	2	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
pieced	pistent	2	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
piece	pissent	2	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
pieces	pis aise	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pee	pi	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
piece	pisse	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pleas	plisse	2	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleas
possess	paix ace	2	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
possession	paix échine	2	en:possession ≈ fr:paix échine ~ fr:paix est ≈ en:possessed ~ en:possesses
pp	pipi	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
pee	pis	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
protector	prêt excès	2	en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection ~ en:schutz
protection	prêt excède	2	en:protector ≈ fr:prêt excès ~ fr:prêt excède ≈ en:protection ~ en:schutz
retailer	rient ailé	2	en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
retailers	rient hélas	2	en:retailer ≈ fr:rient ailé ~ fr:rient hélas ≈ en:retailers
secondary	déconnent ri	2	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
secondly	déconnent lis	2	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
set	sets	2	en:set ≈ fr:sets ~ en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters ~ fr:setter
successes	secs incise	2	en:successes ≈ fr:secs incise ~ fr:secs ides ≈ en:succeed ~ en:successful
talkie	toquer	2	en:talkie ≈ fr:toquer ~ fr:toquent ≈ en:talk
talk	toquent	2	en:talkie ≈ fr:toquer ~ fr:toquent ≈ en:talk
talk	toques	2	en:talkie ≈ fr:toquer ~ fr:toques ≈ en:talk
talky	toquer	2	en:talky ≈ fr:toquer ~ fr:toquent ≈ en:talk
troop	troupe	2	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes = en:troops
troupe	troupes	2	en:troop ≈ fr:troupe ~ en:troupe ≈ fr:troupes = en:troops
western	ouais tonnes	2	en:western ≈ fr:ouais tonnes ~ fr:notais tonnes ≈ en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:ouest
northwestern	notais tonnes	2	en:western ≈ fr:ouais tonnes ~ fr:notais tonnes ≈ en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:ouest
amended	amènent aide	1	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
edited	aidait aide	1	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited = fr:modifié
less	laisses	1	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser = fr:moindre
lesser	laissent	1	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser = fr:moindre
petit	petit	1	en:petit ≈ fr:petit ~ en:petite ≈ fr:petites ~ fr:petite
petite	petites	1	en:petit ≈ fr:petit ~ en:petite ≈ fr:petites ~ fr:petite
poop	poupes	1	en:poop ≈ fr:poupes ~ fr:pouffe ≈ en:poof
poof	pouffe	1	en:poop ≈ fr:poupes ~ fr:pouffe ≈ en:poof
presses	précise	1	en:pressies ~ en:pressie ≈ fr:précis ~ fr:précise ≈ en:presses
quid	quid	1	en:quid ≈ fr:quid ~ en:quiche ≈ fr:quiches ~ en:quip
quiche	quiches	1	en:quid ≈ fr:quid ~ en:quiche ≈ fr:quiches ~ en:quip
seizes	scies aise	1	en:seas ~ en:seizes ≈ fr:scies aise ~ fr:scies ≈ en:si ~ fr:sse
si	scies	1	en:seas ~ en:seizes ≈ fr:scies aise ~ fr:scies ≈ en:si ~ fr:sse
sec	secs	1	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
stalk	stocke	1	en:stalky ≈ fr:stocker ~ fr:stocke ≈ en:stalk
