en	fr	old_combo	prosody	meaning	tier
in that	on jette	0.508	0.821	0.468	GOLD
of them	as aimes	0.564	0.910	0.616	GOLD
in which	on ouest	0.462	0.860	0.548	GOLD
it would	est laide	0.510	0.864	0.485	GOLD
not to	dit tout	0.582	0.874	0.381	A
the door	d or	0.496	0.761	0.312	A
not be	nid but	0.475	0.845	0.514	GOLD
of your	effort	0.522	0.709	0.354	A
sort of	sort as	0.658	0.841	0.609	GOLD
would not	laid notes	0.589	0.933	0.117	A
chapter the	tchad de	0.621	0.778	0.388	A
the pequod	repêchage	0.485	0.778	0.462	GOLD
had not	et notes	0.507	0.855	0.292	A
from his	promise	0.525	0.822	0.356	A
mr collins	but calmes	0.460	0.886	0.328	A
he has	crise	0.466	0.783	0.338	A
to make	typique	0.571	0.789	0.569	GOLD
mrs bennet	mais ben êtes	0.647	0.858	0.583	GOLD
to you	tenu	0.588	0.751	0.602	GOLD
seemed to	sommes tous	0.558	0.878	0.284	A
my own	marianne	0.631	0.766	0.332	A
so much	son aphtes	0.452	0.783	0.296	A
when he	un qui	0.519	0.714	0.694	GOLD
to do	tout où	0.648	0.898	0.537	GOLD
and to	en tout	0.647	0.878	0.658	GOLD
she could	liquide	0.560	0.858	0.232	A
be the	bitter	0.626	0.820	0.337	A
of him	aux aimes	0.525	0.822	0.641	GOLD
will not	un hôte	0.481	0.830	0.261	A
the white	relate	0.497	0.829	0.283	A
the time	d âme	0.502	0.814	0.360	A
the house	vacances	0.459	0.762	0.360	A
to say	t et	0.528	0.829	0.514	GOLD
might be	mat but	0.669	0.874	0.361	A
and she	en j	0.535	0.851	0.615	GOLD
they are	dehors	0.479	0.686	0.365	A
with him	les hommes	0.481	0.776	0.554	GOLD
was to	vais tout	0.603	0.939	0.616	GOLD
the very	reverrai	0.655	0.768	0.543	GOLD
and with	en douai	0.497	0.804	0.594	GOLD
and when	en donne	0.523	0.805	0.479	GOLD
he would	guilde	0.497	0.767	0.213	A
my father	mat as	0.587	0.858	0.306	A
if he	et qui	0.477	0.821	0.600	GOLD
at least	et liste	0.770	0.930	0.507	GOLD
and all	en donne	0.540	0.851	0.544	GOLD
the great	regrette	0.642	0.724	0.322	A
among the	main de	0.500	0.661	0.633	A
it to	et tout	0.650	0.909	0.612	GOLD
this is	d aise	0.498	0.899	0.469	GOLD
the last	relate	0.566	0.856	0.337	A
on his	on use	0.531	0.801	0.569	GOLD
the matter	son are	0.482	0.725	0.366	A
was in	vous n	0.480	0.862	0.456	GOLD
you must	on oust	0.532	0.806	0.521	GOLD
and was	en dise	0.523	0.805	0.705	GOLD
with her	ouais est	0.531	0.866	0.390	A
must have	mais savent	0.591	0.889	0.564	GOLD
the boat	remonte	0.470	0.779	0.429	A
which the	laid je	0.477	0.776	0.403	A
and her	un de	0.452	0.645	0.525	A
you may	fumer	0.472	0.827	0.227	A
all this	ils s	0.467	0.815	0.593	GOLD
the sperm	des femmes	0.470	0.833	0.472	GOLD
all that	ils êtes	0.488	0.844	0.546	GOLD
for it	forte	0.837	0.751	0.602	GOLD
towards the	dehors de	0.604	0.711	0.618	GOLD
in their	on chairs	0.610	0.713	0.317	A
him in	on n	0.511	0.789	0.597	GOLD
what is	et onze	0.474	0.708	0.494	GOLD
who had	quid	0.499	0.780	0.390	A
and my	in ma	0.462	0.836	0.460	GOLD
old man	ils man	0.500	0.829	0.244	A
lady catherine	les écot in	0.497	0.707	0.428	A
about the	about de	0.648	0.759	0.676	GOLD
that in	d une	0.486	0.870	0.573	GOLD
as she	aux j	0.497	0.871	0.612	GOLD
and it	en dites	0.566	0.893	0.690	GOLD
the two	sont où	0.626	0.928	0.479	GOLD
there are	erreur	0.564	0.585	0.294	B
but he	but et	0.519	0.888	0.657	GOLD
me that	mis à	0.590	0.847	0.708	GOLD
his head	les aides	0.569	0.830	0.316	A
of those	as oses	0.465	0.845	0.534	GOLD
not the	tant de	0.496	0.740	0.304	A
in some	ils aiment	0.511	0.886	0.420	A
of an	aux n	0.460	0.819	0.724	GOLD
mr bingley	met bain glass	0.520	0.855	0.379	A
they had	décide	0.499	0.735	0.450	GOLD
she is	chiites	0.518	0.819	0.292	A
in all	on elle	0.511	0.864	0.572	GOLD
you would	ovide	0.478	0.820	0.362	A
and yet	en tête	0.617	0.833	0.545	GOLD
of these	as use	0.453	0.877	0.500	GOLD
we have	élèves	0.457	0.768	0.399	A
to it	poète	0.533	0.926	0.401	A
you know	ion au	0.555	0.635	0.323	A
which was	laid chose	0.495	0.914	0.592	GOLD
and there	en chair	0.593	0.711	0.400	A
we are	voire	0.493	0.714	0.536	GOLD
before the	bords est	0.492	0.793	0.411	A
up and	aborde	0.464	0.767	0.598	GOLD
as well	aux elle	0.613	0.850	0.605	GOLD
to go	second	0.531	0.822	0.386	A
against the	écoles de	0.453	0.708	0.309	A
of its	office	0.511	0.840	0.350	A
think that	son quitte	0.455	0.769	0.452	GOLD
to think	t hic	0.506	0.837	0.599	GOLD
down the	don de	0.607	0.673	0.479	A
and if	en if	0.542	0.884	0.903	GOLD
by his	balise	0.655	0.770	0.363	A
let me	laid mi	0.821	0.986	0.815	GOLD
that we	d oui	0.612	0.885	0.614	GOLD
of what	avoir	0.488	0.816	0.749	GOLD
white whale	virtuelle	0.456	0.793	0.212	A
for her	forfait	0.679	0.771	0.499	GOLD
was now	les na	0.508	0.845	0.427	A
for his	venise	0.499	0.807	0.402	A
no more	non or	0.617	0.697	0.501	A
as you	aux yeux	0.511	0.850	0.494	GOLD
up to	aident où	0.629	0.892	0.570	GOLD
his eyes	les as	0.482	0.811	0.425	A
the case	secret	0.475	0.744	0.392	A
after the	et de	0.475	0.697	0.585	A
but as	but as	0.512	0.908	1.000	GOLD
he could	étude	0.478	0.765	0.332	A
enough to	un et tout	0.568	0.853	0.434	A
and what	en dites	0.523	0.805	0.769	GOLD
the deck	laid êtes	0.482	0.887	0.343	A
in one	on n	0.516	0.788	0.568	GOLD
than the	don de	0.508	0.710	0.471	GOLD
the man	domaine	0.512	0.891	0.330	A
is to	aux tout	0.608	0.891	0.588	GOLD
to this	taux s	0.581	0.886	0.464	GOLD
is it	aux êtes	0.526	0.893	0.606	GOLD
like the	lacs a	0.607	0.903	0.643	GOLD
you to	but où	0.596	0.899	0.552	GOLD
which had	laid chaude	0.501	0.891	0.367	A
it had	est aides	0.543	0.816	0.475	GOLD
the day	d a	0.465	0.846	0.440	A
the next	son x	0.497	0.790	0.517	GOLD
it may	et mes	0.528	0.724	0.401	A
it in	graines	0.496	0.746	0.275	A
of course	aux course	0.553	0.771	0.573	GOLD
to know	tenu	0.728	0.812	0.732	GOLD
have no	avenir	0.491	0.737	0.345	A
soon as	son aise	0.595	0.867	0.382	A
all his	office	0.480	0.781	0.225	A
the captain	occupent il	0.453	0.853	0.594	GOLD
and at	en dites	0.552	0.865	0.660	GOLD
with me	les mi	0.573	0.901	0.692	GOLD
at his	et onze	0.495	0.730	0.564	GOLD
come to	con tout	0.719	0.885	0.592	GOLD
man who	main a	0.517	0.754	0.454	GOLD
in it	un in	0.496	0.763	0.670	GOLD
that his	d use	0.486	0.821	0.391	A
able to	effort où	0.535	0.763	0.588	GOLD
and now	n na	0.522	0.891	0.517	GOLD
could be	goût dit	0.502	0.902	0.414	A
of our	envahi	0.518	0.891	0.425	A
of some	aux dames	0.480	0.841	0.545	GOLD
that there	des air	0.576	0.753	0.471	GOLD
and though	n de	0.474	0.681	0.568	A
the morning	demain in	0.481	0.665	0.555	A
for ever	force	0.646	0.746	0.243	A
and by	in bah	0.462	0.846	0.435	A
you can	organes	0.470	0.853	0.174	A
her sister	consiste	0.585	0.912	0.217	A
does not	des notes	0.583	0.880	0.283	A
if it	est êtes	0.550	0.901	0.619	GOLD
mr bennet	mais ben êtes	0.672	0.902	0.534	GOLD
my friend	met restent	0.509	0.774	0.511	GOLD
me the	mis à	0.612	0.941	0.778	GOLD
at once	et lace	0.483	0.817	0.313	A
the rest	modeste	0.612	0.860	0.379	A
is that	s êtes	0.479	0.870	0.670	GOLD
the sun	d n	0.495	0.855	0.302	A
that of	d ève	0.506	0.867	0.684	GOLD
think of	son gave	0.495	0.809	0.254	A
began to	bien tout	0.644	0.775	0.443	A
that this	des s	0.462	0.807	0.585	GOLD
not have	d gave	0.458	0.821	0.310	A
her to	fait où	0.611	0.914	0.500	GOLD
with an	les n	0.459	0.843	0.588	GOLD
as much	aux matchs	0.578	0.898	0.436	A
from my	frein me	0.586	0.612	0.717	A
me in	viennent	0.501	0.838	0.650	GOLD
the more	son or	0.484	0.727	0.373	A
say that	ces as	0.594	0.825	0.546	GOLD
and of	en love	0.516	0.817	0.562	GOLD
her own	baronne	0.472	0.723	0.520	GOLD
know that	nos as	0.594	0.825	0.558	GOLD
down to	don t	0.500	0.792	0.410	A
he said	et aides	0.643	0.832	0.377	A
the water	dehors	0.625	0.789	0.478	GOLD
them and	demandent	0.535	0.865	0.556	GOLD
when she	un si	0.531	0.730	0.591	GOLD
such an	saint chaîne	0.592	0.879	0.405	A
miss bingley	mais bain glass	0.535	0.817	0.262	A
his face	les fesses	0.452	0.810	0.500	GOLD
in an	on n	0.537	0.825	0.692	GOLD
round the	rendent de	0.618	0.601	0.585	A
that was	d rose	0.464	0.828	0.362	A
and we	en dit	0.552	0.810	0.606	GOLD
as we	aux oui	0.623	0.900	0.609	GOLD
you and	yourte	0.538	0.709	0.732	GOLD
we shall	michel	0.560	0.872	0.459	GOLD
me with	merde	0.465	0.769	0.560	GOLD
the present	après est	0.572	0.787	0.526	GOLD
it will	est il	0.536	0.844	0.523	GOLD
the only	lyon lie	0.585	0.806	0.277	A
there were	servant	0.486	0.755	0.316	A
the air	dehors	0.522	0.771	0.564	GOLD
came to	con tout	0.685	0.839	0.559	GOLD
in him	un homme	0.507	0.777	0.671	GOLD
moby dick	moment hic	0.617	0.802	0.430	A
for my	format	0.885	0.843	0.366	A
not know	man au	0.514	0.728	0.552	GOLD
of mr	aux liste	0.510	0.804	0.511	GOLD
any other	on yen	0.484	0.714	0.266	A
with all	les elle	0.492	0.861	0.628	GOLD
was no	les nos	0.508	0.738	0.490	GOLD
am sure	un jour	0.504	0.738	0.400	A
the night	son out	0.554	0.881	0.246	A
no doubt	nos out	0.657	0.889	0.257	A
some of	son s	0.481	0.769	0.580	GOLD
be in	viennent	0.530	0.865	0.640	GOLD
to give	secondes	0.458	0.782	0.320	A
shall be	chimie	0.544	0.851	0.188	A
and not	n date	0.583	0.918	0.284	A
not so	nantes a	0.529	0.881	0.296	A
them to	son tout	0.593	0.794	0.539	GOLD
side of	cent as	0.500	0.833	0.355	A
but she	but chie	0.786	0.931	0.443	A
but that	but dette	0.563	0.900	0.776	GOLD
should have	choux as	0.494	0.894	0.377	A
that my	dit ma	0.502	0.717	0.692	GOLD
for me	former	0.821	0.880	0.420	A
is no	n au	0.530	0.755	0.585	GOLD
it were	est ouah	0.555	0.894	0.596	GOLD
she would	chili	0.588	0.776	0.194	A
but in	but n	0.607	0.927	0.638	GOLD
is very	aux verra	0.548	0.714	0.536	GOLD
said she	et j	0.507	0.765	0.470	GOLD
you see	yeux au	0.496	0.753	0.698	GOLD
and you	en tout	0.540	0.792	0.600	GOLD
the best	déteste	0.640	0.867	0.282	A
as soon	et une	0.499	0.807	0.530	GOLD
was very	les verrez	0.571	0.766	0.375	A
to that	taux a	0.498	0.860	0.525	GOLD
at first	est faite	0.497	0.845	0.480	GOLD
or the	hors a	0.641	0.819	0.554	GOLD
to get	second	0.508	0.801	0.464	GOLD
between the	bien de	0.560	0.683	0.466	A
not only	d un lie	0.554	0.781	0.485	GOLD
up in	automne	0.503	0.832	0.387	A
what he	et qui	0.490	0.730	0.726	GOLD
are not	en hâte	0.551	0.820	0.256	A
young man	on mine	0.504	0.788	0.229	A
he did	et aides	0.527	0.807	0.295	A
at length	et legs	0.466	0.872	0.439	A
for some	fort home	0.760	0.878	0.523	GOLD
under the	n de	0.605	0.809	0.490	GOLD
to speak	tous pique	0.817	0.934	0.421	A
my heart	pancarte	0.554	0.699	0.278	A
some time	son dame	0.588	0.821	0.474	GOLD
was so	les saut	0.508	0.845	0.485	GOLD
did you	des yeux	0.500	0.858	0.198	A
upon his	hypothèse	0.477	0.804	0.428	A
were the	oiseaux	0.511	0.831	0.322	A
if the	et de	0.482	0.748	0.632	GOLD
but to	but tout	0.786	0.931	0.611	GOLD
it as	heureuse	0.526	0.767	0.454	GOLD
it has	est as	0.452	0.819	0.575	GOLD
of such	as h	0.473	0.891	0.584	GOLD
this was	des vases	0.483	0.859	0.401	A
which she	laid j	0.463	0.913	0.580	GOLD
the head	tiède	0.586	0.804	0.482	GOLD
we had	viande	0.509	0.768	0.498	GOLD
who was	croise	0.470	0.789	0.474	GOLD
to their	taux air	0.702	0.840	0.215	A
tell me	tellement	0.780	0.883	0.651	GOLD
but you	but où	0.601	0.901	0.501	GOLD
on my	on ma	0.600	0.729	0.657	GOLD
and they	n de	0.474	0.681	0.528	A
when you	un goût	0.507	0.698	0.430	A
it but	est faite	0.494	0.835	0.654	GOLD
the subject	les hommes secte	0.547	0.849	0.416	A
on her	on se	0.455	0.699	0.463	A
had the	et de	0.515	0.715	0.706	GOLD
in your	un air	0.507	0.674	0.384	A
for him	volume	0.479	0.765	0.207	A
in its	un s	0.530	0.790	0.616	GOLD
no one	nouvel	0.482	0.787	0.381	A
to find	t hard	0.537	0.775	0.450	A
which is	et chaise	0.498	0.781	0.407	A
when they	vain d	0.456	0.837	0.483	GOLD
during the	terrain de	0.487	0.639	0.620	A
in such	on patch	0.570	0.803	0.260	A
him but	un but	0.489	0.785	0.439	A
of being	aux bic	0.451	0.824	0.542	GOLD
him as	chemise	0.491	0.852	0.402	A
are you	aria	0.533	0.785	0.344	A
and this	en dix	0.511	0.839	0.568	GOLD
that had	d aides	0.495	0.835	0.456	GOLD
where the	verres a	0.516	0.825	0.477	GOLD
mr holmes	mais table	0.471	0.739	0.246	A
out the	et de	0.498	0.667	0.633	A
to all	noël	0.511	0.896	0.610	GOLD
to take	t s	0.531	0.828	0.451	GOLD
and more	en meurent	0.520	0.732	0.582	GOLD
be so	but a	0.506	0.833	0.585	GOLD
with you	les où	0.490	0.801	0.510	GOLD
for you	sérieux	0.487	0.793	0.513	GOLD
much as	met chose	0.573	0.886	0.539	GOLD
to your	dehors	0.534	0.781	0.502	GOLD
the three	d dit	0.464	0.865	0.512	GOLD
while the	watts est	0.571	0.870	0.093	A
said the	sais de	0.802	0.848	0.672	GOLD
well as	venise	0.492	0.836	0.466	GOLD
to them	des hommes	0.500	0.860	0.567	GOLD
is in	aux n	0.482	0.856	0.504	GOLD
at that	et cette	0.495	0.741	0.703	GOLD
let us	laid as	0.726	0.973	0.431	A
that if	d if	0.511	0.872	0.832	GOLD
he might	limite	0.553	0.794	0.328	A
look at	locaux	0.498	0.855	0.511	GOLD
too much	tunis	0.474	0.833	0.304	A
elizabeth was	les avaient as	0.466	0.863	0.365	A
with their	s air	0.546	0.779	0.327	A
mr wickham	mais liquide	0.452	0.815	0.334	A
it seemed	s hymne	0.596	0.957	0.397	A
the right	pirates	0.565	0.704	0.257	A
end of	n osent	0.603	0.930	0.498	GOLD
him the	un de	0.511	0.586	0.638	B
as for	aux for	0.693	0.785	0.686	GOLD
with such	les sèches	0.459	0.835	0.444	A
miss bennet	mais ben s	0.626	0.899	0.671	GOLD
can be	con but	0.499	0.834	0.511	GOLD
sight of	cent as	0.488	0.833	0.250	A
but there	but terre	0.645	0.830	0.629	GOLD
again and	rien n	0.454	0.778	0.440	A
not been	d mine	0.476	0.875	0.379	A
but when	but n	0.664	0.896	0.526	GOLD
full of	slave	0.528	0.813	0.309	A
once more	lignes maures	0.619	0.860	0.385	A
and for	en for	0.706	0.773	0.820	GOLD
should not	son nantes	0.496	0.875	0.147	A
he must	limite	0.552	0.830	0.388	A
have you	avion	0.519	0.797	0.175	A
they have	dérive	0.491	0.785	0.381	A
he should	étude	0.484	0.776	0.271	A
from her	frappée	0.584	0.725	0.495	GOLD
to come	lequel	0.455	0.809	0.565	GOLD
the long	bloc	0.474	0.833	0.469	GOLD
upon my	otan ma	0.527	0.714	0.702	GOLD
wish to	vivent où	0.583	0.881	0.459	GOLD
all these	ils use	0.492	0.850	0.535	GOLD
on this	on six	0.545	0.835	0.521	GOLD
at this	as s	0.498	0.890	0.568	GOLD
the wind	david	0.467	0.829	0.308	A
with it	vous êtes	0.480	0.871	0.532	GOLD
by no	bien au	0.573	0.686	0.516	A
for all	parole	0.690	0.817	0.534	GOLD
could have	con as	0.499	0.836	0.375	A
see that	ces a	0.509	0.831	0.649	GOLD
was that	les jette	0.474	0.841	0.400	A
now and	narines	0.567	0.769	0.275	A
he will	civils	0.520	0.871	0.225	A
head and	et hard	0.484	0.685	0.505	A
the little	générale	0.474	0.730	0.366	A
but if	but if	0.609	0.920	1.000	GOLD
or two	eurent où	0.740	0.852	0.466	GOLD
am not	en notes	0.516	0.864	0.224	A
idea of	hardiesse	0.453	0.723	0.539	GOLD
with my	les ma	0.475	0.722	0.681	GOLD
of us	aux as	0.533	0.897	0.516	GOLD
going to	craignent où	0.527	0.758	0.461	GOLD
it must	et must	0.545	0.875	0.856	GOLD
him that	un date	0.499	0.804	0.422	A
which you	et sioux	0.571	0.799	0.313	A
away from	avait rome	0.473	0.795	0.458	GOLD
saw the	ces a	0.497	0.836	0.563	GOLD
point of	pain savent	0.593	0.839	0.236	A
the fire	sofa	0.517	0.850	0.179	A
him he	commit	0.507	0.840	0.307	A
the end	viennent	0.488	0.851	0.536	GOLD
have not	aux notes	0.458	0.849	0.322	A
see the	ces a	0.526	0.877	0.701	GOLD
for that	forte	0.709	0.752	0.593	GOLD
of life	aux light	0.498	0.790	0.467	GOLD
instead of	on sait ève	0.565	0.859	0.480	GOLD
and on	en donne	0.758	0.913	0.541	GOLD
was at	vous êtes	0.504	0.869	0.499	GOLD
it not	et notes	0.503	0.867	0.287	A
time to	tapent où	0.772	0.906	0.413	A
my eyes	malaise	0.644	0.739	0.416	A
an old	un autre	0.460	0.790	0.452	GOLD
captain ahab	coupent idéal	0.500	0.814	0.313	A
seem to	son tout	0.695	0.809	0.520	GOLD
very much	terrain h	0.523	0.727	0.334	A
his wife	les watts	0.538	0.828	0.088	A
of any	afin et	0.464	0.812	0.570	GOLD
the line	relate	0.559	0.828	0.433	A
as in	aux une	0.511	0.843	0.620	GOLD
were to	veut où	0.630	0.933	0.579	GOLD
it all	idole	0.645	0.892	0.436	A
an hour	un are	0.501	0.755	0.443	A
were not	en hâte	0.531	0.800	0.283	A
by her	baron	0.603	0.760	0.353	A
the country	second ri	0.559	0.755	0.321	A
is this	ils s	0.490	0.854	0.477	GOLD
heard of	on ève	0.516	0.792	0.566	GOLD
me as	noise	0.474	0.753	0.230	A
on board	on merde	0.604	0.717	0.603	GOLD
of one	avoir	0.512	0.806	0.636	GOLD
the greatest	secouristes	0.518	0.718	0.446	A
thought of	tout ève	0.509	0.863	0.614	GOLD
the window	david au	0.468	0.705	0.292	A
the name	son âme	0.494	0.807	0.465	GOLD
the cabin	cinquantaine	0.460	0.825	0.234	A
no means	termine	0.520	0.807	0.524	GOLD
but this	but six	0.565	0.902	0.447	A
know what	nouvel	0.470	0.772	0.465	GOLD
to hear	dehors	0.531	0.742	0.538	GOLD
you were	yoyo	0.481	0.795	0.358	A
was only	les on lie	0.595	0.826	0.355	A
what do	et nous	0.497	0.806	0.401	A
me but	minutes	0.649	0.795	0.298	A
the side	des hard	0.473	0.707	0.501	GOLD
whale and	lézarde	0.471	0.743	0.342	A
man and	main un	0.519	0.773	0.608	GOLD
who is	louise	0.481	0.789	0.444	A
said that	saint cette	0.661	0.753	0.594	GOLD
an instant	in store	0.555	0.829	0.250	A
but his	but s	0.507	0.868	0.571	GOLD
the family	d en lie	0.524	0.741	0.371	A
of you	avion	0.526	0.839	0.239	A
the table	d appel	0.470	0.847	0.335	A
along the	don de	0.483	0.638	0.526	A
and had	en lad	0.521	0.785	0.553	GOLD
the one	divine	0.480	0.850	0.476	GOLD
it for	est fort	0.727	0.798	0.607	GOLD
you had	quid	0.476	0.758	0.369	A
room and	roumain et	0.646	0.714	0.328	A
is an	aux n	0.467	0.825	0.579	GOLD
you think	ionique	0.503	0.770	0.235	A
nothing but	d un bit	0.456	0.828	0.465	GOLD
no longer	neuronaux	0.480	0.738	0.131	A
mrs gardiner	mais gares in	0.468	0.680	0.423	A
account of	écart as	0.466	0.799	0.416	A
man of	madame	0.488	0.844	0.422	A
for an	frère	0.625	0.677	0.489	A
way to	veut où	0.642	0.881	0.622	GOLD
in any	on aînés	0.607	0.905	0.481	GOLD
with which	les lèche	0.464	0.808	0.567	GOLD
and after	en dites	0.504	0.804	0.560	GOLD
it the	et de	0.509	0.748	0.715	GOLD
about it	about s	0.593	0.834	0.659	GOLD
to tell	t elle	0.715	0.906	0.557	GOLD
it that	et cette	0.474	0.723	0.784	GOLD
to us	traces	0.618	0.792	0.239	A
may have	massive	0.586	0.775	0.239	A
tell you	télé	0.500	0.873	0.378	A
by some	pas homme	0.529	0.829	0.468	GOLD
back to	but où	0.640	0.863	0.528	GOLD
and mrs	en mais aise	0.511	0.859	0.541	GOLD
what was	et vases	0.499	0.774	0.552	GOLD
to look	bloc	0.498	0.866	0.513	GOLD
that when	d n	0.581	0.877	0.448	A
it it	arrêtent	0.526	0.785	0.530	GOLD
the stranger	des train d	0.462	0.714	0.459	GOLD
had never	et rêve	0.576	0.782	0.312	A
go to	but où	0.578	0.789	0.619	GOLD
but what	but watts	0.681	0.942	0.327	A
the ground	dégradé	0.519	0.729	0.516	GOLD
it seems	s hymne	0.576	0.946	0.365	A
but not	but nantes	0.665	0.942	0.374	A
with them	ils aiment	0.568	0.880	0.653	GOLD
to mr	tennis	0.496	0.858	0.212	A
so many	son un et	0.492	0.814	0.451	GOLD
