src	dst	quality	sound_edge_score	is_multiword_src	is_multiword_dst	chain
flew	floues	0.891	1.0	False	False	en:flew ≈ fr:floue ~ fr:floues
flu	pigé	0.984	1.0	False	False	en:flu ≈ fr:flou ~ fr:pigé
flu	flous	0.894	1.0	False	False	en:flu ≈ fr:floue ~ fr:flous
flu	floues	0.891	1.0	False	False	en:flu ≈ fr:floue ~ fr:floues
fool	foule	0.962	1.0	False	False	en:fool ≈ fr:foules ~ fr:foule
fool	foules	0.962	1.0	False	False	en:fool ≈ fr:foule ~ fr:foules
fool	rempli	0.961	1.0	False	False	en:fool ≈ fr:full ~ fr:rempli
fork	phoque	0.977	1.0	False	False	en:fork ≈ fr:phoques ~ fr:phoque
fraught	fronde	0.989	1.0	False	False	en:fraught ≈ fr:frotte ~ fr:fronde
freaky	fric	0.986	1.0	False	False	en:freaky ~ en:freak ≈ fr:fric
freest	frise	0.969	1.0	False	False	en:freest ~ en:frees ≈ fr:frise
freezer	frise	0.899	1.0	False	False	en:freezer ~ en:freeze ≈ fr:frise
fresh	fraîche	0.99	1.0	False	False	en:fresh ≈ fr:fraîches ~ fr:fraîche
fresh	fraîches	0.99	1.0	False	False	en:fresh ≈ fr:fraîche ~ fr:fraîches
fresh	fraîchement	0.987	1.0	False	False	en:fresh ≈ fr:fraîches ~ fr:fraîchement
frizz	frise	0.97	1.0	False	False	en:frizz ~ en:frieze ≈ fr:frise
grief	griffe	0.988	1.0	False	False	en:grief ≈ fr:griffes ~ fr:griffe
groom	marier	0.869	1.0	False	False	en:groom ≈ fr:groom ~ fr:marier
group	groupés	0.982	1.0	False	False	en:group ≈ fr:groupes ~ fr:groupés
groupie	groupés	0.951	1.0	False	False	en:groupie ≈ fr:groupies ~ fr:groupés
heir	epoque	0.98	1.0	False	False	en:heir ≈ fr:ère ~ fr:epoque
heir	amas	0.976	1.0	False	False	en:heir ≈ fr:aires ~ fr:amas
heir	étui	0.976	1.0	False	False	en:heir ≈ fr:aires ~ fr:étui
kami	ouïe	0.986	1.0	False	False	en:kami ~ en:we ≈ fr:ouïe
kami	oui	0.986	1.0	False	False	en:kami ~ en:we ≈ fr:oui
kea	onde	0.973	1.0	False	False	en:kea ≈ fr:qui ~ fr:onde
kea	loc	0.971	1.0	False	False	en:kea ≈ fr:qui ~ fr:loc
keck	gâteau	0.991	1.0	False	False	en:keck ≈ fr:cake ~ fr:gâteau
keck	gâteaux	0.989	1.0	False	False	en:keck ≈ fr:cakes ~ fr:gâteaux
key	onde	0.973	1.0	False	False	en:key ≈ fr:qui ~ fr:onde
key	loc	0.971	1.0	False	False	en:key ≈ fr:qui ~ fr:loc
kiwi	kivu	0.981	1.0	False	False	en:kiwi ≈ fr:kiwis ~ fr:kivu
knew	nas	0.988	1.0	False	False	en:knew ≈ fr:nous ~ fr:nas
knew	notre	0.986	1.0	False	False	en:knew ≈ fr:nous ~ fr:notre
kookie	cookies	0.963	1.0	False	False	en:kookie ≈ fr:cookie ~ fr:cookies
kookie	sucreries	0.888	1.0	False	False	en:kookie ≈ fr:cookie ~ fr:sucreries
kooky	cookies	0.963	1.0	False	False	en:kooky ≈ fr:cookie ~ fr:cookies
kooky	sucreries	0.888	1.0	False	False	en:kooky ≈ fr:cookie ~ fr:sucreries
lb	ailes	0.972	1.0	False	False	en:lb ≈ fr:aile bis ~ fr:ailes
lb	aile	0.972	1.0	False	False	en:lb ≈ fr:aile bis ~ fr:aile
league	bundesliga	0.936	1.0	False	False	en:league ≈ fr:ligue ~ fr:bundesliga
lease	luce	0.997	1.0	False	False	en:lease ≈ fr:lys ~ fr:luce
lease	lumière	0.992	1.0	False	False	en:lease ≈ fr:lys ~ fr:lumière
least	list	0.975	1.0	False	False	en:least ≈ fr:listes ~ fr:list
least	listes	0.975	1.0	False	False	en:least ≈ fr:list ~ fr:listes
least	liste	0.967	1.0	False	False	en:least ≈ fr:listes ~ fr:liste
led	ted	0.973	1.0	False	False	en:led ≈ fr:laide ~ fr:ted
lee	lucie	0.964	1.0	False	False	en:lee ≈ fr:lits ~ fr:lucie
lee	lit	0.955	1.0	False	False	en:lee ≈ fr:lits ~ fr:lit
lee	lits	0.955	1.0	False	False	en:lee ≈ fr:lit ~ fr:lits
lest	lester	0.962	1.0	False	False	en:lest ≈ fr:lest ~ fr:lester
levy	ondes	0.983	1.0	False	False	en:levy ≈ fr:lez vies ~ fr:ondes
levy	havane	0.981	1.0	False	False	en:levy ≈ fr:lez vies ~ fr:havane
loop	loués	0.98	1.0	False	False	en:loop ≈ fr:loupe ~ fr:loués
loopy	loupe	0.971	1.0	False	False	en:loopy ~ en:loop ≈ fr:loupe
ls	émise	0.972	1.0	False	False	en:ls ≈ fr:aile ès ~ fr:émise
lulu	loués	0.98	1.0	False	False	en:lulu ≈ fr:loulou ~ fr:loués
mall	moussa	0.982	1.0	False	False	en:mall ≈ fr:molle ~ fr:moussa
many	néant	0.943	1.0	False	False	en:many ≈ fr:mets nient ~ fr:néant
me	mi	0.975	1.0	False	False	en:me ≈ fr:mie ~ fr:mi
me	mie	0.975	1.0	False	False	en:me ≈ fr:mi ~ fr:mie
me	ist	0.974	1.0	False	False	en:me ≈ fr:mi ~ fr:ist
meal	fixé	0.978	1.0	False	False	en:meal ≈ fr:milles ~ fr:fixé
meany	mini	0.982	1.0	False	False	en:meany ≈ fr:minis ~ fr:mini
meet	mythique	0.984	1.0	False	False	en:meet ≈ fr:mythe ~ fr:mythique
meet	mythes	0.965	1.0	False	False	en:meet ≈ fr:mythe ~ fr:mythes
meme	mime	0.961	1.0	False	False	en:meme ≈ fr:mimes ~ fr:mime
met	mette	0.984	1.0	False	False	en:met ≈ fr:mettes ~ fr:mette
met	parmis	0.982	1.0	False	False	en:met ≈ fr:mettes ~ fr:parmis
met	croît	0.982	1.0	False	False	en:met ≈ fr:mettes ~ fr:croît
ml	aile	0.964	1.0	False	False	en:ml ≈ fr:aiment aile ~ fr:aile
ml	familiers	0.963	1.0	False	False	en:ml ≈ fr:aiment aile ~ fr:familiers
ml	aile bis	0.963	1.0	False	True	en:ml ≈ fr:aiment aile ~ fr:aile bis
moo	moue	0.983	1.0	False	False	en:moo ≈ fr:moues ~ fr:moue
moo	fourrés	0.982	1.0	False	False	en:moo ≈ fr:moues ~ fr:fourrés
moo	mou	0.971	1.0	False	False	en:moo ≈ fr:moue ~ fr:mou
moody	pie dits	0.978	1.0	False	True	en:moody ≈ fr:mous dits ~ fr:pie dits
moolah	chanvre	0.984	1.0	False	False	en:moolah ≈ fr:moulé ~ fr:chanvre
moolah	brulé	0.983	1.0	False	False	en:moolah ≈ fr:moulé ~ fr:brulé
moolah	piégé	0.978	1.0	False	False	en:moolah ≈ fr:moulé ~ fr:piégé
moose	mousse	0.98	1.0	False	False	en:moose ≈ fr:mousses ~ fr:mousse
mousse	mousse	0.98	1.0	False	False	en:mousse ≈ fr:mousses ~ fr:mousse
movie	bethléem	0.977	1.0	False	False	en:movie ≈ fr:mous vies ~ fr:bethléem
mu	moue	0.983	1.0	False	False	en:mu ≈ fr:moues ~ fr:moue
mu	fourrés	0.982	1.0	False	False	en:mu ≈ fr:moues ~ fr:fourrés
mu	mou	0.971	1.0	False	False	en:mu ≈ fr:moue ~ fr:mou
naught	nota	0.988	1.0	False	False	en:naught ≈ fr:note ~ fr:nota
naught	notée	0.975	1.0	False	False	en:naught ≈ fr:notent ~ fr:notée
naught	note}}	0.967	1.0	False	False	en:naught ≈ fr:note ~ fr:note}}
net	gueux	0.977	1.0	False	False	en:net ≈ fr:nette ~ fr:gueux
new	nas	0.988	1.0	False	False	en:new ≈ fr:nous ~ fr:nas
new	notre	0.986	1.0	False	False	en:new ≈ fr:nous ~ fr:notre
newer	nas	0.988	1.0	False	False	en:newer ≈ fr:nous ~ fr:nas
newer	notre	0.986	1.0	False	False	en:newer ≈ fr:nous ~ fr:notre
niche	niche	0.983	1.0	False	False	en:niche ≈ fr:niches ~ fr:niche
norm	nommé	0.991	1.0	False	False	en:norm ≈ fr:nomment ~ fr:nommé
norm	règles	0.99	1.0	False	False	en:norm ≈ fr:norme ~ fr:règles
norm	nommés	0.988	1.0	False	False	en:norm ≈ fr:nomment ~ fr:nommés
nu	nas	0.988	1.0	False	False	en:nu ≈ fr:nous ~ fr:nas
nu	notre	0.986	1.0	False	False	en:nu ≈ fr:nous ~ fr:notre
nu	nou	0.982	1.0	False	False	en:nu ≈ fr:noue ~ fr:nou
or	orée	0.961	1.0	False	False	en:or ≈ fr:ores ~ fr:orée
ought arena	hot	0.841	1.0	True	False	en:ought arena ~ en:ought ≈ fr:hot
pair	isa	0.997	1.0	False	False	en:pair ≈ fr:père ~ fr:isa
pair	père	0.993	1.0	False	False	en:pair ≈ fr:pères ~ fr:père
pair	padre	0.991	1.0	False	False	en:pair ≈ fr:pères ~ fr:padre
paired	perdue	0.985	1.0	False	False	en:paired ≈ fr:perdent ~ fr:perdue
paired	perdu	0.98	1.0	False	False	en:paired ≈ fr:perdent ~ fr:perdu
paired	perd	0.974	1.0	False	False	en:paired ≈ fr:perde ~ fr:perd
pd	mous dits	0.978	1.0	False	True	en:pd ≈ fr:pie dits ~ fr:mous dits
pea	psi	0.974	1.0	False	False	en:pea ≈ fr:pies ~ fr:psi
pea	pif	0.967	1.0	False	False	en:pea ≈ fr:pi ~ fr:pif
pea	pib	0.951	1.0	False	False	en:pea ≈ fr:pi ~ fr:pib
peas	pise	0.966	1.0	False	False	en:peas ~ en:pease ≈ fr:pise
pease	pise	0.966	1.0	False	False	en:pease ~ en:peas ≈ fr:pise
pee	pise	0.979	1.0	False	False	en:pee ~ en:pees ≈ fr:pise
pee	psi	0.974	1.0	False	False	en:pee ≈ fr:pies ~ fr:psi
pee	pif	0.967	1.0	False	False	en:pee ≈ fr:pi ~ fr:pif
peel	pile	0.973	1.0	False	False	en:peel ≈ fr:piles ~ fr:pile
peel	piles	0.973	1.0	False	False	en:peel ≈ fr:pile ~ fr:piles
peeler	piégé	0.986	1.0	False	False	en:peeler ≈ fr:pilé ~ fr:piégé
peeler	pigé	0.983	1.0	False	False	en:peeler ≈ fr:pilé ~ fr:pigé
peep	pipes	0.971	1.0	False	False	en:peep ≈ fr:pipe ~ fr:pipes
peep	pipe	0.971	1.0	False	False	en:peep ≈ fr:pipes ~ fr:pipe
penny	inégale	0.963	1.0	False	False	en:penny ≈ fr:paies nient ~ fr:inégale
pest	pendus	0.98	1.0	False	False	en:pest ≈ fr:peste ~ fr:pendus
pest	pourpre	0.98	1.0	False	False	en:pest ≈ fr:peste ~ fr:pourpre
peters	pires	0.987	1.0	False	False	en:peters ~ en:peter ≈ fr:pires
peters	pire	0.987	1.0	False	False	en:peters ~ en:peter ≈ fr:pire
pled	plaies	0.981	1.0	False	False	en:pled ≈ fr:plaide ~ fr:plaies
pled	poilu	0.981	1.0	False	False	en:pled ≈ fr:plaide ~ fr:poilu
pooch	putsch	0.972	1.0	False	False	en:pooch ≈ fr:putschs ~ fr:putsch
pool	poneys	0.975	1.0	False	False	en:pool ≈ fr:poules ~ fr:poneys
pool	poule	0.97	1.0	False	False	en:pool ≈ fr:poules ~ fr:poule
pool	poules	0.97	1.0	False	False	en:pool ≈ fr:poule ~ fr:poules
poorly	polémique	0.928	1.0	False	False	en:poorly ≈ fr:polie ~ fr:polémique
port earl	potes	0.893	1.0	True	False	en:port earl ~ en:port ≈ fr:potes
port earl	pote	0.893	1.0	True	False	en:port earl ~ en:port ≈ fr:pote
portly	potes	0.925	1.0	False	False	en:portly ~ en:port ≈ fr:potes
portly	pote	0.925	1.0	False	False	en:portly ~ en:port ≈ fr:pote
pressure	prêcher	0.978	1.0	False	False	en:pressure ≈ fr:prêche ~ fr:prêcher
prove	prouvée	0.994	1.0	False	False	en:prove ≈ fr:prouve ~ fr:prouvée
prove	prouvé	0.992	1.0	False	False	en:prove ≈ fr:prouve ~ fr:prouvé
prove	prouvant	0.992	1.0	False	False	en:prove ≈ fr:prouve ~ fr:prouvant
queen	couilles	0.959	1.0	False	False	en:queen ≈ fr:couinent ~ fr:couilles
queen	coudes	0.948	1.0	False	False	en:queen ≈ fr:couinent ~ fr:coudes
red aura	rouges	0.888	1.0	True	False	en:red aura ~ en:rouge ≈ fr:rouges
rev	rêver	0.995	1.0	False	False	en:rev ≈ fr:rêvent ~ fr:rêver
rev	rêvé	0.993	1.0	False	False	en:rev ≈ fr:rêvent ~ fr:rêvé
rev	rêvant	0.992	1.0	False	False	en:rev ≈ fr:rêve ~ fr:rêvant
roost	rousse	0.992	1.0	False	False	en:roost ≈ fr:rouste ~ fr:rousse
root	route	0.978	1.0	False	False	en:root ≈ fr:routes ~ fr:route
roulette	roulettes	0.97	1.0	False	False	en:roulette ≈ fr:roulette ~ fr:roulettes
ruby	roux	0.947	1.0	False	False	en:ruby ≈ fr:roux bis ~ fr:roux
rule	roulé	0.992	1.0	False	False	en:rule ≈ fr:roule ~ fr:roulé
rule	rouvert	0.981	1.0	False	False	en:rule ≈ fr:roulent ~ fr:rouvert
ruler	roulé	0.992	1.0	False	False	en:ruler ≈ fr:roule ~ fr:roulé
ruler	rouvert	0.981	1.0	False	False	en:ruler ≈ fr:roulent ~ fr:rouvert
rumen	romaine	0.939	1.0	False	False	en:rumen ≈ fr:roumaine ~ fr:romaine
rummy	roumaine	0.958	1.0	False	False	en:rummy ~ en:rumen ≈ fr:roumaine
rupee	rouages	0.981	1.0	False	False	en:rupee ≈ fr:roupies ~ fr:rouages
rupee	roues	0.973	1.0	False	False	en:rupee ≈ fr:roupies ~ fr:roues
said	délivré	0.977	1.0	False	False	en:said ≈ fr:cède ~ fr:délivré
said	escouade	0.977	1.0	False	False	en:said ≈ fr:cède ~ fr:escouade
scoot	scouts	0.985	1.0	False	False	en:scoot ≈ fr:scout ~ fr:scouts
scoot	scout	0.985	1.0	False	False	en:scoot ≈ fr:scouts ~ fr:scout
seam	cinétique	0.968	1.0	False	False	en:seam ≈ fr:cimes ~ fr:cinétique
seat	cites	0.958	1.0	False	False	en:seat ≈ fr:cite ~ fr:cites
seat	cite	0.958	1.0	False	False	en:seat ≈ fr:cites ~ fr:cite
sell	verte	0.987	1.0	False	False	en:sell ≈ fr:selles ~ fr:verte
sell	tome	0.985	1.0	False	False	en:sell ≈ fr:selle ~ fr:tome
seller	verte	0.987	1.0	False	False	en:seller ≈ fr:selles ~ fr:verte
sexed	sexe	0.937	1.0	False	False	en:sexed ~ en:sex ≈ fr:sexe
share	chère	0.996	1.0	False	False	en:share ≈ fr:chères ~ fr:chère
share	chères	0.996	1.0	False	False	en:share ≈ fr:chère ~ fr:chères
share	caro	0.994	1.0	False	False	en:share ≈ fr:chères ~ fr:caro
she	chienne	0.996	1.0	False	False	en:she ≈ fr:chient ~ fr:chienne
she	chien	0.985	1.0	False	False	en:she ≈ fr:chient ~ fr:chien
she	chie	0.973	1.0	False	False	en:she ≈ fr:chies ~ fr:chie
sheaf	chiffré	0.955	1.0	False	False	en:sheaf ≈ fr:chiffe ~ fr:chiffré
sheen	chinoise	0.986	1.0	False	False	en:sheen ≈ fr:chines ~ fr:chinoise
sheen	chenal	0.965	1.0	False	False	en:sheen ≈ fr:chinent ~ fr:chenal
shoe	piégé	0.984	1.0	False	False	en:shoe ≈ fr:choux ~ fr:piégé
shoo	piégé	0.984	1.0	False	False	en:shoo ≈ fr:choux ~ fr:piégé
ski	ski	0.986	1.0	False	False	en:ski ≈ fr:skis ~ fr:ski
ski	skier	0.984	1.0	False	False	en:ski ≈ fr:skis ~ fr:skier
skid	skis	0.973	1.0	False	False	en:skid ~ en:ski ≈ fr:skis
smell	semence	0.948	1.0	False	False	en:smell ≈ fr:semelle ~ fr:semence
speech	discours	0.938	1.0	False	False	en:speech ≈ fr:speechs ~ fr:discours
sport	spot	0.975	1.0	False	False	en:sport ≈ fr:spots ~ fr:spot
stalk	stocks	0.997	1.0	False	False	en:stalk ≈ fr:stockes ~ fr:stocks
stalk	stock	0.989	1.0	False	False	en:stalk ≈ fr:stocke ~ fr:stock
steal	style	0.988	1.0	False	False	en:steal ≈ fr:styles ~ fr:style
stress	stress	0.997	1.0	False	False	en:stress ≈ fr:stresse ~ fr:stress
sued	soudés	0.988	1.0	False	False	en:sued ≈ fr:soudent ~ fr:soudés
sued	soudée	0.985	1.0	False	False	en:sued ≈ fr:soudent ~ fr:soudée
sued	jugés	0.973	1.0	False	False	en:sued ≈ fr:soudes ~ fr:jugés
sushi	hainaut chie	0.949	1.0	False	True	en:sushi ≈ fr:saoul chie ~ fr:hainaut chie
talk	tendues	0.986	1.0	False	False	en:talk ≈ fr:tocs ~ fr:tendues
talk	pendre	0.983	1.0	False	False	en:talk ≈ fr:tocs ~ fr:pendre
talk	touchés	0.975	1.0	False	False	en:talk ≈ fr:toquent ~ fr:touchés
tea	thés	0.983	1.0	False	False	en:tea ≈ fr:tee ~ fr:thés
teat	tito	0.967	1.0	False	False	en:teat ≈ fr:tite ~ fr:tito
