en	fr	combo
rev	rêvent	1.000
rev	rêve	1.000
freeze	frise	1.000
belly	bey lies	1.000
poorly	polis	1.000
poorly	polie	1.000
poorly	poli	1.000
bee	bis	1.000
meter	mirent	1.000
meter	mire	1.000
breed	bride	1.000
fairy	ferry	1.000
freak	fric	1.000
grief	griffes	1.000
grief	griffe	1.000
torn	tonnes	1.000
torn	tonne	1.000
penny	paies nient	1.000
reed	rides	1.000
reed	ride	1.000
buyer	bye	1.000
cease	six	1.000
fork	phoques	1.000
fork	phoque	1.000
suited	sourde	1.000
ferry	faits rient	1.000
seller	sels	1.000
seller	selles	1.000
seller	selle	1.000
coup	coupes	1.000
coup	coupent	1.000
coup	coupe	1.000
escort	escorte	1.000
cord	codes	1.000
cord	code	1.000
ruby	roux bis	1.000
berry	bey rient	1.000
bees	bises	1.000
bees	bise	1.000
cooler	coulent	1.000
cooler	coule	1.000
flu	floue	1.000
flu	flou	1.000
pee	pis	1.000
pee	pie	1.000
pee	pi	1.000
plea	plis	1.000
plea	plie	1.000
plea	pli	1.000
fare	fers	1.000
fare	fer	1.000
fare	faire	1.000
newer	nous	1.000
lb	aile bis	1.000
norm	normes	1.000
norm	norme	1.000
norm	nomment	1.000
seas	six	1.000
boo	bouts	1.000
boo	bout	1.000
boo	boues	1.000
cs	sis ès	1.000
esteem	estiment	1.000
esteem	estime	1.000
sued	soude	1.000
tel	tels	1.000
tel	telles	1.000
tel	telle	1.000
vault	volts	1.000
aye	eye	1.000
bury	bey rient	1.000
heir	ère	1.000
heir	airs	1.000
heir	aires	1.000
pl	pie aile	1.000
messy	mets sis	1.000
wee	ouïe	1.000
wee	oui	1.000
breeze	brise	1.000
levy	lez vies	1.000
niche	niches	1.000
envy	haines vies	1.000
ml	aiment aile	1.000
ruler	roulent	1.000
ruler	roule	1.000
merry	mets rient	1.000
ea	hi	1.000
peel	piles	1.000
peel	pile	1.000
seize	six	1.000
belle	belles	1.000
belle	bel	1.000
paired	perdent	1.000
paired	perde	1.000
liner	line	1.000
mesh	mèches	1.000
mesh	mèche	1.000
prestige	presse tiges	1.000
selfie	selles fis	1.000
excel	ex aile	1.000
rumor	room	1.000
vest	vestes	1.000
vest	veste	1.000
yen	yens	1.000
beck	bec	1.000
cork	coques	1.000
cork	coque	1.000
cork	coq	1.000
ls	aile ès	1.000
moody	mous dits	1.000
pd	pie dits	1.000
peek	piques	1.000
peek	pique	1.000
peek	pics	1.000
mu	mous	1.000
mu	mou	1.000
troop	troupes	1.000
troop	troupe	1.000
dd	dits dis	1.000
sushi	saoul chie	1.000
borne	bonnes	1.000
borne	bonne	1.000
tutor	tours	1.000
tutor	tour	1.000
freezer	frise	1.000
poop	poupe	1.000
rouge	rouges	1.000
wed	oued	1.000
awed	ode	1.000
awed	odes	1.000
beck	becs	1.000
bawdy	body	1.000
bead	bide	1.000
bead	bides	1.000
beak	bic	1.000
beak	bique	1.000
beak	biques	1.000
bean	bine	1.000
bean	binent	1.000
bean	bines	1.000
beat	bit	1.000
beat	bitte	1.000
beat	bittent	1.000
beat	bittes	1.000
beet	bit	1.000
beet	bite	1.000
beet	bites	1.000
beet	bits	1.000
beet	bitte	1.000
beet	bittent	1.000
beet	bittes	1.000
beef	biffe	1.000
beef	biffent	1.000
beef	biffes	1.000
beep	bip	1.000
ben	benne	1.000
ben	bennes	1.000
bet	bette	1.000
bet	bettes	1.000
boo	boue	1.000
booed	boude	1.000
booed	boudent	1.000
booed	boudes	1.000
boom	booms	1.000
boom	boume	1.000
boom	boument	1.000
boom	boumes	1.000
boos	bouse	1.000
boos	bouses	1.000
booze	bouse	1.000
booze	bouses	1.000
bootie	boutis	1.000
booty	boutis	1.000
boutique	boutiques	1.000
sea	ci	1.000
sea	scient	1.000
sea	scies	1.000
see	ci	1.000
see	scient	1.000
see	scies	1.000
si	ci	1.000
si	scie	1.000
si	scient	1.000
si	scies	1.000
si	sis	1.000
seas	sise	1.000
seas	sises	1.000
sees	sise	1.000
sees	sises	1.000
seize	sise	1.000
seize	sises	1.000
cede	cid	1.000
seed	cid	1.000
chemise	chemisent	1.000
chemise	chemises	1.000
chic	chics	1.000
chic	chique	1.000
chic	chiquent	1.000
chic	chiques	1.000
chute	choute	1.000
chute	choutes	1.000
chute	shoot	1.000
chute	shoote	1.000
chute	shootent	1.000
chute	shootes	1.000
chute	shoots	1.000
shoot	choute	1.000
shoot	choutes	1.000
shoot	shoote	1.000
shoot	shootent	1.000
shoot	shootes	1.000
shoot	shoots	1.000
sheen	chine	1.000
sheen	chinent	1.000
sheen	chines	1.000
coo	cou	1.000
coo	coud	1.000
coo	couds	1.000
coo	coup	1.000
coo	coups	1.000
coo	cous	1.000
cooed	coude	1.000
cooed	coudent	1.000
cooed	coudes	1.000
coupe	coupent	1.000
coupe	coupes	1.000
kooky	cookie	1.000
dawn	don	1.000
do	doue	1.000
do	douent	1.000
do	doues	1.000
douche	douchent	1.000
douche	douches	1.000
eave	ive	1.000
eave	ives	1.000
eve	ives	1.000
en	aine	1.000
en	aines	1.000
fawn	phone	1.000
fawn	phones	1.000
fee	fi	1.000
fee	fient	1.000
fee	fies	1.000
fee	phi	1.000
fess	fesse	1.000
fess	fessent	1.000
fess	fesses	1.000
gean	djinn	1.000
gean	djinns	1.000
gean	gin	1.000
gean	gins	1.000
gean	jean	1.000
gene	djinn	1.000
gene	djinns	1.000
gene	gins	1.000
jean	djinn	1.000
jean	djinns	1.000
jean	gin	1.000
jean	gins	1.000
nu	noue	1.000
nu	nouent	1.000
nu	noues	1.000
nu	nous	1.000
shoo	chou	1.000
shoo	choux	1.000
kea	qui	1.000
keck	cake	1.000
keck	cakes	1.000
kiwi	kiwis	1.000
knee	ni	1.000
knee	nid	1.000
knee	nies	1.000
kook	couque	1.000
me	mi	1.000
me	mies	1.000
mean	minent	1.000
meany	mini	1.000
meany	minis	1.000
meany	minnie	1.000
meat	mite	1.000
meat	mitent	1.000
meat	mites	1.000
meet	mite	1.000
meet	mitent	1.000
meet	mites	1.000
meme	mime	1.000
meme	miment	1.000
meme	mimes	1.000
men	maine	1.000
met	mettes	1.000
moo	mou	1.000
moo	moue	1.000
moo	moues	1.000
moo	mous	1.000
mu	moue	1.000
mu	moues	1.000
moose	mousse	1.000
moose	moussent	1.000
moose	mousses	1.000
mousse	moussent	1.000
mousse	mousses	1.000
naught	note	1.000
naught	notent	1.000
naught	notes	1.000
ooh	ou	1.000
pea	pi	1.000
pea	pie	1.000
pea	pies	1.000
pea	pis	1.000
pee	pies	1.000
peas	pise	1.000
pees	pise	1.000
peak	pic	1.000
peak	piquent	1.000
peek	pic	1.000
peek	piquent	1.000
peace	pissent	1.000
peace	pisses	1.000
piece	pissent	1.000
piece	pisses	1.000
peeked	picte	1.000
peep	pipe	1.000
peep	pipent	1.000
peep	pipes	1.000
peeve	pive	1.000
peeve	pives	1.000
pen	peinent	1.000
pen	penne	1.000
pen	pennes	1.000
pest	peste	1.000
pest	pestent	1.000
pest	pestes	1.000
petite	petites	1.000
pieced	piste	1.000
pieced	pistent	1.000
pieced	pistes	1.000
poo	pou	1.000
poo	pouls	1.000
pooh	pou	1.000
pooh	pouls	1.000
pooch	putsch	1.000
pooch	putschs	1.000
poof	pouf	1.000
poof	pouffe	1.000
poof	pouffent	1.000
poof	pouffes	1.000
poof	poufs	1.000
poop	poupes	1.000
queen	couine	1.000
queen	couinent	1.000
queen	couines	1.000
quiche	quiches	1.000
scene	seines	1.000
seen	seines	1.000
scoot	scout	1.000
scoot	scouts	1.000
scoop	scoops	1.000
seam	cime	1.000
seam	cimes	1.000
seem	cime	1.000
seem	cimes	1.000
seek	sikh	1.000
seat	cite	1.000
seat	cites	1.000
sect	secte	1.000
sect	sectes	1.000
set	cet	1.000
she	chient	1.000
she	chies	1.000
sheaf	chiffe	1.000
sheaf	chiffes	1.000
sheep	chipe	1.000
sheep	chipent	1.000
sheep	chipes	1.000
sue	saouls	1.000
sketch	sketchs	1.000
ski	skie	1.000
ski	skient	1.000
ski	skies	1.000
sued	soudent	1.000
sued	soudes	1.000
sought	sotte	1.000
sought	sottes	1.000
soup	soupent	1.000
soup	soupes	1.000
speech	speechs	1.000
stalk	stock	1.000
stalk	stocke	1.000
stalk	stockent	1.000
stalk	stockes	1.000
stalk	stocks	1.000
stem	stemm	1.000
stem	stemms	1.000
stem	stems	1.000
step	steppe	1.000
step	steppes	1.000
steppe	steppes	1.000
suit	soute	1.000
suit	soutes	1.000
tea	tees	1.000
tee	tees	1.000
talk	tocs	1.000
talk	toque	1.000
talk	toquent	1.000
talk	toques	1.000
teak	tic	1.000
teak	tics	1.000
teak	tique	1.000
teak	tiquent	1.000
teak	tiques	1.000
teat	tite	1.000
tech	teck	1.000
tech	tecks	1.000
tech	tek	1.000
tech	teks	1.000
test	testent	1.000
test	testes	1.000
to	touts	1.000
too	touts	1.000
two	touts	1.000
toot	toute	1.000
toot	toutes	1.000
tutu	toutou	1.000
tutu	toutous	1.000
tweed	tweeds	1.000
vex	vexe	1.000
vex	vexent	1.000
vex	vexes	1.000
wed	oueds	1.000
xu	zou	1.000
zoo	zou	1.000
zest	zeste	1.000
zest	zestes	1.000
zoom	zoome	1.000
zoom	zooment	1.000
zoom	zoomes	1.000
zoom	zooms	1.000
pease	pise	1.000
creature	crient chez	1.000
feature	fient chez	1.000
preacher	prient chez	1.000
creatures	crient chaise	0.983
friendly	freinent lis	0.983
meantime	minent âme	0.983
picture	piquent chez	0.983
retailer	rient ailé	0.983
retrieve	rient rive	0.983
surrender	serein des	0.983
butcher	bout chez	0.980
costly	cassent lis	0.980
culture	calent chez	0.980
fourteen	faut in	0.980
lastly	lancent lis	0.980
lenses	laines aise	0.980
mental	mènent elle	0.980
plenty	plain tee	0.980
possessed	paix est	0.980
reaches	rient chaise	0.980
resource	ries os	0.980
richer	rient chez	0.980
settlers	sait lès	0.980
shortly	chaud lis	0.980
torture	tôt chez	0.980
treason	tries haine	0.980
treated	trient aide	0.980
treaties	trient aise	0.980
footballer	fait bolée	0.979
fortunately	faut chenet lis	0.978
butler	bat les	0.976
center	sain tes	0.976
diesel	dis elle	0.976
eastern	hissent haine	0.976
friendships	freinent chips	0.976
letters	laid aise	0.976
losers	loues aise	0.976
loses	loues aise	0.976
metal	met elle	0.976
pitcher	paient chez	0.976
possess	paix ace	0.976
render	rhin des	0.976
season	scies haine	0.976
seated	scient aide	0.976
sensor	sain ses	0.976
settle	sait elle	0.976
setup	sait happe	0.976
teacher	dit chez	0.976
tender	tain des	0.976
vendor	vin des	0.976
football	fait bol	0.975
destroyed	dissent rhodes	0.973
forestry	forcent ri	0.973
friendship	freinent chipe	0.973
predecessor	prient cessé	0.973
freestyle	frisent al	0.970
masterpiece	massent pisse	0.970
passport	pas pote	0.970
question	coincent chaîne	0.970
secretary	secret ri	0.970
crystal	crissent elle	0.969
designer	dis année	0.969
disagree	dis aigri	0.969
distress	dis tresses	0.969
dynasty	dîners tee	0.969
exotic	exact hic	0.969
fountain	fanent in	0.969
fantastic	fanent aztèques	0.967
central	sain troll	0.966
clusters	classent aise	0.966
customer	cassent aimé	0.966
fantasy	fanent ci	0.966
gesture	jet chez	0.966
miniature	mènent chez	0.966
myself	mas elfes	0.966
newsletter	nous laiteux	0.966
orchestra	hoquets trait	0.966
planted	planent aide	0.966
printed	prennent aide	0.966
protein	prêt in	0.966
recipes	raies pise	0.966
reservoir	raies vois	0.966
semester	sommets tes	0.966
sensory	sain serez	0.966
softball	savent bol	0.966
suggest	sait geste	0.966
tourism	tords homme	0.966
trusted	tracent aide	0.966
trustees	tracent hisse	0.966
literally	lient relie	0.965
desperately	dès paierait lis	0.964
faster	fats tes	0.964
master	mas tes	0.964
partly	bat lis	0.964
partner	bat né	0.964
pasta	pas tes	0.964
pastor	pas tes	0.964
preaching	prient chine	0.964
presidency	près don ci	0.964
fortress	faut rosse	0.963
parental	prennent elle	0.963
pentagon	peinent gaine	0.963
pistol	pissent elle	0.963
prison	pris haine	0.963
result	ries halte	0.963
senses	sain six	0.963
settling	sait ligne	0.963
territory	terrait ri	0.963
dementia	demain chez	0.962
exhibited	exhibent aide	0.962
prejudice	prêt jouent hisse	0.962
rescued	raies coude	0.962
census	sain cesse	0.960
centers	sain thèse	0.960
cluster	clés tes	0.960
confess	con fesses	0.960
contractor	con tracter	0.960
credited	crédit aide	0.960
creditors	crédit aise	0.960
custom	cassent homme	0.960
decorative	décret ive	0.960
destroys	dissent rose	0.960
edited	aidait aide	0.960
feedback	fient bac	0.960
firstly	foncent lis	0.960
freedom	frit homme	0.960
greeted	crient aide	0.960
instructor	haines tracter	0.960
itself	êtes elfes	0.960
legion	lient gêne	0.960
listed	laissent aide	0.960
mainstream	mines trime	0.960
matches	mat chaise	0.960
matrix	met rixe	0.960
mattress	mat rosse	0.960
medicine	met scène	0.960
mention	main chaîne	0.960
metric	met reg	0.960
monster	mânes tes	0.960
obsessed	aubes est	0.960
panties	pan thèse	0.960
peaceful	pis folle	0.960
pencil	peines elle	0.960
petrol	paient rôle	0.960
pleaded	plient aide	0.960
prisoner	pris né	0.960
protesters	prêtais thèse	0.960
reasonably	ries anobli	0.960
region	rient gêne	0.960
registry	raids stries	0.960
rental	rhin tel	0.960
residency	raies don ci	0.960
restored	rincent ode	0.960
sensors	sain seize	0.960
shelters	gèlent aise	0.960
sixty	secs tee	0.960
softly	savent lis	0.960
succeed	secs ides	0.960
success	secs ace	0.960
system	cessent homme	0.960
teachers	dit chaise	0.960
teaches	dit chaise	0.960
tension	tain chaîne	0.960
tightly	taillent lis	0.960
trustee	trots tee	0.960
western	ouais tonnes	0.960
yourself	ions elfes	0.960
expressing	exprès in	0.959
preferably	prêt repli	0.959
describe	dis crabe	0.958
distract	dis tracts	0.958
domestic	demains tic	0.958
fortunate	faut chaînette	0.958
freezing	frits in	0.958
ministry	mines tri	0.958
pleasing	plies in	0.958
reaching	rient chine	0.958
sensitive	sain sait ive	0.958
sweating	souhait in	0.958
treating	trient in	0.958
volatile	volet al	0.958
custody	cassent dit	0.957
fastest	fats test	0.957
feasible	fies belle	0.957
podcast	pot caste	0.957
predator	prêt tes	0.957
destructive	dis traquent ive	0.956
disease	dis hisse	0.956
estimated	estimait aide	0.956
lawsuit	lots août	0.956
mature	met chaud	0.956
mentor	main taux	0.956
portal	pot elle	0.956
receive	ries ive	0.956
tennis	tain hisse	0.956
vista	vis tes	0.956
written	rient haine	0.956
busted	baissent aide	0.955
centered	saignent aide	0.955
forensic	forain sec	0.955
greatest	créent est	0.955
inspector	haines becqueter	0.955
policeman	polis mène	0.955
practiced	braquent est	0.955
predators	prêtait aise	0.955
register	raids ester	0.955
shotgun	chaud gaine	0.955
sunset	saines êtes	0.955
venture	feignent chez	0.955
basket	bas quitte	0.954
basketball	masquent bol	0.954
diseases	dis isis	0.954
distracted	dis traquent aide	0.954
portrayed	pot raid	0.954
restart	ries tâte	0.954
routinely	ruent inouï	0.954
stressful	stressent elle	0.954
transcript	train script	0.954
distributor	dissent rebuter	0.953
respiratory	respirait ri	0.953
sweetheart	suit hâte	0.953
acoustic	égouts tic	0.952
attended	étain dites	0.952
attending	étain digne	0.952
baseball	pays bol	0.952
battle	bat elle	0.952
bottle	bat elle	0.952
causes	cons aise	0.952
celebrities	célèbrent hisse	0.952
certain	sait haine	0.952
committed	commit aide	0.952
committees	commit hisse	0.952
dancer	tan ses	0.952
daughters	dont aise	0.952
deadly	dès lis	0.952
defender	divin des	0.952
despite	dis pâte	0.952
discussed	dis caste	0.952
disguise	dis gaz	0.952
dislike	dis lac	0.952
dusty	des tee	0.952
fitted	fait aide	0.952
latest	laid est	0.952
leaders	lient aise	0.952
lesson	laids haine	0.952
matters	mat aise	0.952
medal	met elle	0.952
minister	mines tes	0.952
monitored	manient aide	0.952
needed	nid aide	0.952
needle	nid elle	0.952
onset	ânes êtes	0.952
phrases	frais aise	0.952
pieces	pis aise	0.952
piton	paient haine	0.952
pizza	peut ses	0.952
portrait	pot rite	0.952
practice	braquent hisse	0.952
prosperity	près perdit	0.952
purchased	paient schiste	0.952
pursuit	paix août	0.952
rapidly	répit lis	0.952
readers	rient aise	0.952
relative	relaient ive	0.952
retired	rient aède	0.952
retrieved	rient rift	0.952
richest	rient geste	0.952
rooted	ruent aide	0.952
rotten	rat haine	0.952
shattered	chat aide	0.952
shooters	jouent aise	0.952
sister	ces tes	0.952
sorted	sont aide	0.952
subtle	saut elle	0.952
successor	secs essaie	0.952
sustain	cessent haine	0.952
tinder	tain des	0.952
toddler	tôt les	0.952
wizard	ouais aide	0.952
century	saignent chérie	0.951
produced	prêt oust	0.951
respectful	respectent elle	0.951
respectively	respectes lis	0.951
bastard	passent aide	0.950
capture	campent chez	0.950
censorship	saines chipe	0.950
context	khan texte	0.950
country	khan tri	0.950
glasses	glass aise	0.950
largely	lads lis	0.950
letting	laid in	0.950
seating	scient in	0.950
setting	sait in	0.950
sixteen	fixent in	0.950
trademark	trait mac	0.950
anatomy	hennit omis	0.949
arrested	hérissent aide	0.949
benefit	ben faites	0.949
classroom	clans rhume	0.949
confessed	con veste	0.949
council	cannes elle	0.949
counsel	cannes elle	0.949
defeated	défient aide	0.949
deleted	délit aide	0.949
dentist	donnent est	0.949
dreadful	trait folle	0.949
federal	fait airelles	0.949
founded	fanent aide	0.949
founders	fanent aise	0.949
frozen	frais haine	0.949
himself	aimes elfes	0.949
kindly	cannes lis	0.949
largest	lent geste	0.949
mistress	mais tresses	0.949
moisture	bossent chez	0.949
monsters	mânes thèse	0.949
patron	peut reine	0.949
petition	paient chaîne	0.949
position	paix chaîne	0.949
princes	prennes aise	0.949
prizes	bras aise	0.949
productive	prêt active	0.949
rainfall	rhin folle	0.949
references	refrain six	0.949
repeated	répit aide	0.949
righteous	rat chasse	0.949
sketches	skient chaise	0.949
suicide	saouls aède	0.949
superstar	soupes ta	0.949
targeted	tanguait aide	0.949
tasted	tissent aide	0.949
texture	taxent chez	0.949
treasurer	trais aurez	0.949
trinity	train tee	0.949
branches	bradent chaise	0.948
casting	cassent in	0.948
cholesterol	collais troll	0.948
constructive	cannes traquent ive	0.948
desperate	dès porte	0.948
dominion	demain in	0.948
monetary	menait ri	0.948
sensible	saines belle	0.948
beaches	but chaise	0.947
ceremonies	sermon aise	0.947
excluded	exclus aide	0.947
exclusion	exclus haine	0.947
fracture	traquent chez	0.947
penguin	pain gouine	0.947
planting	planent in	0.947
platform	plat sommes	0.947
potentially	potin joli	0.947
previously	privées lis	0.947
printing	prennent in	0.947
promoted	promet aide	0.947
protected	prêt excède	0.947
reduced	rient oust	0.947
suspended	ces peinent aide	0.947
suspension	ces pain chaîne	0.947
switching	souhait chine	0.947
terrorism	terreurs homme	0.947
testimony	cessent mener	0.947
textbooks	taxent box	0.947
trusting	tracent in	0.947
twisted	tissent aide	0.947
artistic	attisent hic	0.946
centuries	saignent cerise	0.946
collectively	collectes lis	0.946
legendary	laid gênent ri	0.946
notebook	nouent book	0.946
addresses	adrets aise	0.945
amended	amènent aide	0.945
capsule	caps houle	0.945
costume	cassent hume	0.945
disgrace	dis grèce	0.945
displays	dis plaise	0.945
frustrated	frais trait aide	0.945
mortality	mot alité	0.945
neutral	nouent rôle	0.945
promises	promis aise	0.945
releases	relis aise	0.945
ventures	feignent chaise	0.945
approaches	apprêt chaise	0.944
bending	ben digne	0.944
beside	bis aède	0.944
classic	clés hic	0.944
clinic	clin hic	0.944
contested	cognent esthète	0.944
controller	cognent relais	0.944
credit	créent êtes	0.944
dances	tan six	0.944
digit	dit jette	0.944
disorder	dis ondées	0.944
fifteen	vivent in	0.944
honesty	anis tee	0.944
install	haines taule	0.944
lending	lin digne	0.944
pending	pain digne	0.944
pixel	pics elle	0.944
preserve	pris ève	0.944
resist	ries est	0.944
sending	sain digne	0.944
tended	tain dites	0.944
tortured	tôt chaude	0.944
wrestling	raies ligne	0.944
chemistry	commis tri	0.943
coaches	coud chaise	0.943
commentary	commun tri	0.943
created	créait aide	0.943
creators	créait aise	0.943
designers	dis ânesse	0.943
detected	dit excède	0.943
discipline	dis pleine	0.943
existed	exit aide	0.943
industry	in haussent ri	0.943
leadership	lient chipe	0.943
lesbian	les bine	0.943
patrol	peut roule	0.943
portable	pot belle	0.943
posters	poussent aise	0.943
presenter	prison tes	0.943
prisoners	prison aise	0.943
processor	près essaie	0.943
prostate	pros tête	0.943
realities	rallient hisse	0.943
successes	secs incise	0.943
textbook	taxent book	0.943
township	tan chipe	0.943
transmit	traînes mythe	0.943
exercises	excès assise	0.942
prestigious	pressent jazz	0.942
restricted	ries trinquent aide	0.942
preferences	prêt rhin six	0.941
restoring	ries taurine	0.941
testify	test hais	0.941
autonomy	otan omis	0.940
bedroom	paient rhume	0.940
bracelet	prés let	0.940
broadly	prompt lis	0.940
cancer	khan ses	0.940
candy	khan dit	0.940
classes	clans aise	0.940
completely	con plient lis	0.940
condemn	con thème	0.940
conductor	con dictée	0.940
control	con troll	0.940
counties	khan thèse	0.940
countries	khan treize	0.940
dancers	tan seize	0.940
dresses	drains aise	0.940
duchess	dit chaise	0.940
eldest	elles est	0.940
endless	haines laisse	0.940
engine	haines gêne	0.940
essentially	sain joli	0.940
excited	exact aide	0.940
factory	vaquent ri	0.940
fancy	faon ci	0.940
fertility	fait lady	0.940
finest	faon est	0.940
flooded	flot aide	0.940
funded	fanent aide	0.940
gladly	glass lis	0.940
gorgeous	godes os	0.940
investor	haines ester	0.940
kindness	cannes noces	0.940
lecture	liguent chez	0.940
