tier	score	via	gold	filler	cognate	novel	en	fr
S	1.0	retrieve	1	0	0	1	pre	prix
S	1.0	retrieve	1	0	0	1	pre	prit
S	1.0	retrieve	1	0	0	0	rule	roule
A	0.87	retrieve	0	0	1	0	respect	respecte
A	0.868	retrieve	0	0	0	0	pretty	prix
A	0.868	retrieve	0	0	0	0	pretty	prit
A	0.864	retrieve	0	0	0	0	media	midi
A	0.864	retrieve	0	0	0	0	daily	délit
A	0.85	retrieve	0	0	0	0	director	directe
A	0.85	retrieve	0	0	0	0	director	direct
A	0.848	retrieve	0	0	1	0	groups	groupes
A	0.848	retrieve	0	0	1	0	groups	groupe
A	0.847	decode	0	0	0	0	friend	freine
A	0.847	retrieve	0	0	0	0	extra	extraits
A	0.847	retrieve	0	0	0	0	extra	extrait
A	0.844	retrieve	0	0	0	0	released	listes
A	0.844	retrieve	0	0	0	0	released	liste
A	0.839	retrieve	0	0	1	0	western	ouest
A	0.833	retrieve	0	0	0	0	like	lac
A	0.833	decode	0	0	0	0	right	rate
A	0.833	retrieve	0	0	0	0	down	dan
A	0.833	retrieve	0	0	0	0	might	matt
A	0.833	decode	0	0	0	0	night	nattes
A	0.833	retrieve	0	0	0	0	live	lave
A	0.833	decode	0	0	0	0	white	watts
A	0.833	retrieve	0	0	0	0	guys	gaz
A	0.833	decode	0	0	0	0	light	latte
A	0.833	decode	0	0	0	0	phone	faune
A	0.833	retrieve	0	0	0	0	type	tape
A	0.833	decode	0	0	0	0	road	rôde
A	0.833	retrieve	0	0	0	0	fine	fans
A	0.833	retrieve	0	0	0	0	fine	fan
A	0.833	retrieve	0	0	0	0	shows	choses
A	0.833	retrieve	0	0	1	0	role	rôles
A	0.833	retrieve	0	0	1	0	role	rôle
A	0.833	retrieve	0	0	1	0	vote	votes
A	0.833	retrieve	0	0	0	0	code	codes
A	0.833	retrieve	0	0	0	0	goal	gaulle
A	0.833	retrieve	0	0	0	0	mine	man
A	0.833	retrieve	0	0	1	0	note	notes
A	0.833	decode	0	0	0	0	write	rate
A	0.833	decode	0	0	0	0	pro	pro
A	0.829	retrieve	0	0	0	0	or	ordres
A	0.828	retrieve	0	0	1	0	test	testé
A	0.827	retrieve	0	0	1	0	except	accepte
A	0.822	decode	0	0	0	0	really	relie
A	0.818	decode	0	0	0	0	series	cerise
A	0.818	decode	0	0	0	0	drive	drive
A	0.818	retrieve	0	0	0	0	create	crier
A	0.816	retrieve	0	0	0	0	lead	liquide
A	0.816	retrieve	0	0	0	0	leader	liquide
A	0.816	retrieve	0	0	0	0	stories	autorise
A	0.815	retrieve	0	0	0	0	better	bière
A	0.815	retrieve	0	0	0	0	seen	signes
A	0.815	retrieve	0	0	0	0	men	mienne
A	0.815	decode	0	0	0	1	york	orques
A	0.815	decode	0	0	0	0	weeks	x
A	0.815	retrieve	0	0	0	0	ten	tiennent
A	0.815	retrieve	0	0	0	0	ten	tienne
A	0.815	retrieve	0	0	0	0	scene	signes
A	0.814	retrieve	0	0	0	0	best	bêtes
A	0.814	retrieve	0	0	0	0	best	bête
A	0.814	decode	0	0	0	0	school	coule
A	0.814	retrieve	0	0	0	0	talk	stock
A	0.814	decode	0	0	0	0	lost	lotte
A	0.814	retrieve	0	0	1	0	check	chèque
A	0.814	retrieve	0	0	0	0	cost	cote
A	0.814	retrieve	0	0	1	0	sex	sec
A	0.814	retrieve	0	0	0	0	center	seine
A	0.814	retrieve	0	0	0	0	center	scènes
A	0.814	retrieve	0	0	0	0	sense	seine
A	0.814	retrieve	0	0	0	0	sense	scènes
A	0.814	decode	0	0	0	0	event	veine
A	0.814	retrieve	0	0	1	0	press	prêts
A	0.814	retrieve	0	0	0	0	sent	seine
A	0.814	retrieve	0	0	0	0	sent	scènes
A	0.814	retrieve	0	0	0	0	property	prix
A	0.814	retrieve	0	0	0	0	property	prit
A	0.814	retrieve	0	0	0	0	met	metz
A	0.814	retrieve	0	0	0	0	piece	pistes
A	0.814	retrieve	0	0	0	0	piece	piste
A	0.814	retrieve	0	0	0	0	speak	pique
A	0.814	retrieve	0	0	0	0	speak	pic
A	0.814	retrieve	0	0	0	0	peace	pistes
A	0.814	retrieve	0	0	0	0	peace	piste
A	0.814	retrieve	0	0	0	0	centre	seine
A	0.814	retrieve	0	0	0	0	centre	scènes
A	0.814	retrieve	0	0	0	0	letter	lettres
A	0.814	retrieve	0	0	0	0	letter	lettre
A	0.814	retrieve	0	0	0	0	meant	mène
A	0.814	retrieve	0	0	0	0	reach	riches
A	0.814	retrieve	0	0	0	0	reach	riche
A	0.813	retrieve	0	0	1	0	respect	aspects
A	0.812	retrieve	0	0	0	0	called	colle
A	0.812	retrieve	0	0	0	0	called	col
A	0.812	retrieve	0	0	0	0	process	princesse
A	0.812	retrieve	0	0	0	0	field	fils
A	0.812	retrieve	0	0	0	0	field	file
A	0.812	retrieve	0	0	0	0	send	seine
A	0.812	retrieve	0	0	0	0	send	scènes
A	0.812	retrieve	0	0	1	0	lord	lors
A	0.812	retrieve	0	0	0	0	degree	gris
A	0.811	retrieve	0	0	0	0	regular	règles
A	0.811	retrieve	0	0	0	0	regular	règle
A	0.81	retrieve	0	0	0	0	trust	triste
A	0.81	decode	0	0	0	0	effect	infecte
A	0.809	retrieve	0	0	0	0	let	lettres
A	0.809	retrieve	0	0	0	0	let	lettre
A	0.809	retrieve	0	0	1	0	order	ordres
A	0.809	retrieve	0	0	1	0	order	ordre
A	0.809	retrieve	0	0	0	0	court	côtes
A	0.809	retrieve	0	0	0	0	court	côte
A	0.809	retrieve	0	0	0	0	leave	livres
A	0.809	retrieve	0	0	0	0	leave	livre
A	0.809	retrieve	0	0	1	0	force	fausses
A	0.809	retrieve	0	0	1	0	force	fausse
A	0.809	retrieve	0	0	0	0	guess	grèce
A	0.809	decode	0	0	0	0	brought	bottes
A	0.809	retrieve	0	0	0	0	source	sauce
A	0.809	retrieve	0	0	0	0	born	bonnes
A	0.809	decode	0	0	0	0	release	lisse
A	0.809	retrieve	0	0	0	0	expect	experts
A	0.809	retrieve	0	0	0	0	expect	expert
A	0.809	retrieve	0	0	0	0	pressure	pêche
A	0.809	decode	0	0	0	0	credit	crête
A	0.808	decode	0	0	0	0	please	plie
A	0.808	retrieve	0	0	0	0	means	mines
A	0.808	retrieve	0	0	0	0	means	mine
A	0.808	retrieve	0	0	0	0	street	triste
A	0.808	decode	0	0	0	0	seems	cime
A	0.808	decode	0	0	0	0	ground	grade
A	0.808	retrieve	0	0	0	0	rules	roule
A	0.808	retrieve	0	0	0	0	teams	tim
A	0.807	decode	0	0	0	0	again	gaine
A	0.807	retrieve	0	0	0	0	agree	gris
A	0.802	decode	0	0	0	0	friends	freine
A	0.802	retrieve	0	0	0	0	self	sel
A	0.802	retrieve	0	0	0	0	self	celles
A	0.802	retrieve	0	0	0	0	green	gris
A	0.802	retrieve	0	0	0	0	meant	mettent
A	0.801	retrieve	0	0	0	0	success	cesse
A	0.8	decode	0	0	0	0	french	fraîches
A	0.798	retrieve	0	0	0	0	next	textes
A	0.798	retrieve	0	0	0	0	next	texte
A	0.795	decode	0	0	0	0	etc	s être
A	0.793	retrieve	0	0	0	0	part	partent
A	0.793	retrieve	0	0	1	0	north	nord
A	0.793	retrieve	0	0	1	0	star	stars
A	0.793	decode	0	0	0	0	sorry	sari
A	0.793	retrieve	0	0	1	0	park	parcs
A	0.793	retrieve	0	0	1	0	park	parc
A	0.793	retrieve	0	0	1	0	mark	marques
A	0.793	retrieve	0	0	1	0	mark	marque
A	0.793	retrieve	0	0	0	0	truth	trous
A	0.793	retrieve	0	0	0	0	truth	trou
A	0.793	decode	0	0	0	0	card	carde
A	0.793	decode	0	0	0	0	drop	drape
A	0.791	retrieve	0	0	0	0	better	bernard
A	0.791	decode	0	0	0	0	child	tchad
A	0.791	retrieve	0	0	0	0	style	stable
A	0.79	decode	0	0	0	0	morning	morne
A	0.789	retrieve	0	0	0	0	keep	équipes
A	0.789	retrieve	0	0	0	0	keep	équipe
A	0.789	retrieve	0	0	0	0	rule	rouler
A	0.788	retrieve	0	0	0	0	still	style
A	0.788	retrieve	0	0	0	0	city	syrie
A	0.788	retrieve	0	0	0	0	course	corse
A	0.788	retrieve	0	0	1	0	list	listes
A	0.788	retrieve	0	0	1	0	list	liste
A	0.788	decode	0	0	0	0	board	borde
A	0.788	retrieve	0	0	1	0	film	films
A	0.788	retrieve	0	0	1	0	risk	risques
A	0.788	retrieve	0	0	1	0	risk	risque
A	0.788	decode	0	0	0	0	quick	couic
A	0.786	retrieve	0	0	0	0	by	bat
A	0.786	retrieve	0	0	0	0	by	bas
A	0.786	retrieve	0	0	0	0	my	ma
A	0.786	retrieve	0	0	0	0	so	saut
A	0.786	retrieve	0	0	0	0	out	hâte
A	0.786	retrieve	0	0	0	0	no	nos
A	0.786	retrieve	0	0	0	0	now	na
A	0.786	retrieve	0	0	0	0	know	nos
A	0.786	retrieve	0	0	0	0	know	no
A	0.786	decode	0	0	0	0	go	go
A	0.786	retrieve	0	0	0	0	may	mes
A	0.786	retrieve	0	0	0	0	day	des
A	0.786	decode	0	0	0	0	why	ouah
A	0.786	retrieve	0	0	0	0	say	ses
A	0.786	retrieve	0	0	0	0	say	ces
A	0.786	decode	0	0	0	0	own	aune
A	0.786	retrieve	0	0	0	0	show	chaud
A	0.786	retrieve	0	0	0	0	power	pas
A	0.786	retrieve	0	0	1	0	guy	gars
A	0.786	decode	0	0	0	0	pay	p
A	0.786	retrieve	0	0	0	0	low	lot
A	0.786	retrieve	0	0	0	0	buy	bat
A	0.786	retrieve	0	0	0	0	buy	bas
A	0.786	decode	0	0	0	0	fire	fat
A	0.786	retrieve	0	0	0	0	process	presse
A	0.786	retrieve	0	0	0	0	lower	lot
A	0.786	retrieve	0	0	0	0	die	da
A	0.786	retrieve	0	0	1	0	except	excès
A	0.786	retrieve	0	0	0	0	ice	as
A	0.786	retrieve	0	0	0	0	kept	concept
A	0.786	retrieve	0	0	0	0	speed	stupide
A	0.786	decode	0	0	0	0	wow	ouah
A	0.786	retrieve	0	0	0	0	floor	florence
A	0.785	retrieve	0	0	0	0	much	matchs
A	0.785	retrieve	0	0	0	0	much	matches
A	0.785	decode	0	0	0	0	money	manie
A	0.785	decode	0	0	0	0	body	bandits
A	0.785	retrieve	0	0	1	0	class	classes
A	0.785	retrieve	0	0	1	0	class	classe
A	0.785	decode	0	0	0	0	plan	plane
A	0.785	retrieve	0	0	0	0	six	sexe
A	0.785	decode	0	0	0	0	ready	redis
A	0.785	decode	0	0	0	0	baby	bibi
A	0.785	retrieve	0	0	1	0	clear	claire
A	0.785	retrieve	0	0	1	0	clear	clair
A	0.785	decode	0	0	0	0	books	boxe
A	0.785	decode	0	0	0	0	stuff	staff
A	0.785	retrieve	0	0	1	0	tax	taxes
A	0.785	retrieve	0	0	1	0	tax	taxe
A	0.785	decode	0	0	0	0	fast	faste
A	0.785	retrieve	0	0	1	0	match	matchs
A	0.785	retrieve	0	0	1	0	match	matches
A	0.785	decode	0	0	0	0	staff	staff
A	0.785	retrieve	0	0	0	0	safe	cf
A	0.785	decode	0	0	0	0	track	traque
A	0.785	retrieve	0	0	0	0	plus	places
A	0.785	retrieve	0	0	0	0	plus	place
A	0.785	retrieve	0	0	0	0	sister	cest
A	0.785	retrieve	0	0	0	0	worst	ouest
A	0.784	retrieve	0	0	0	0	crazy	crédits
A	0.784	retrieve	0	0	0	0	crazy	crédit
A	0.784	retrieve	0	0	0	0	married	madrid
A	0.783	decode	0	0	0	0	several	sèvres
A	0.781	retrieve	0	0	0	0	any	ennemis
A	0.781	retrieve	0	0	0	0	any	ennemi
A	0.781	retrieve	0	0	0	0	said	suède
A	0.781	retrieve	0	0	0	0	most	modeste
A	0.781	retrieve	0	0	0	0	very	verts
A	0.781	retrieve	0	0	0	0	very	vert
A	0.781	retrieve	0	0	0	0	many	mène
A	0.781	retrieve	0	0	0	0	great	gré
A	0.781	retrieve	0	0	0	0	team	intime
A	0.781	retrieve	0	0	0	0	free	fruits
A	0.781	retrieve	0	0	0	0	free	fruit
A	0.781	retrieve	0	0	0	0	care	claire
A	0.781	retrieve	0	0	0	0	care	clair
A	0.781	retrieve	0	0	0	0	four	forêts
A	0.781	retrieve	0	0	0	0	four	forêt
A	0.781	retrieve	0	0	0	0	seen	sinon
A	0.781	retrieve	0	0	0	0	small	sols
A	0.781	retrieve	0	0	0	0	small	sol
A	0.781	retrieve	0	0	0	0	try	traces
A	0.781	retrieve	0	0	0	0	try	trace
A	0.781	retrieve	0	0	0	0	yes	pièces
A	0.781	retrieve	0	0	0	0	yes	pièce
A	0.781	retrieve	0	0	0	0	says	saisi
A	0.781	retrieve	0	0	0	0	says	saisons
A	0.781	retrieve	0	0	1	0	post	potes
A	0.781	retrieve	0	0	0	0	close	clos
A	0.781	retrieve	0	0	1	0	check	tech
A	0.781	retrieve	0	0	0	0	quite	quoi
A	0.781	decode	0	0	0	0	record	raid
A	0.781	retrieve	0	0	1	0	club	clubs
A	0.781	retrieve	0	0	0	0	rights	race
A	0.781	retrieve	0	0	0	0	member	mêmes
A	0.781	retrieve	0	0	0	0	member	même
A	0.781	retrieve	0	0	0	0	east	listes
A	0.781	retrieve	0	0	0	0	east	liste
A	0.781	retrieve	0	0	0	0	cool	couples
A	0.781	retrieve	0	0	0	0	cool	couple
A	0.781	retrieve	0	0	0	0	felt	fêtes
A	0.781	retrieve	0	0	0	0	felt	fête
A	0.781	retrieve	0	0	0	0	seem	simon
A	0.781	retrieve	0	0	0	0	forget	fêtes
A	0.781	retrieve	0	0	0	0	forget	fête
A	0.781	retrieve	0	0	0	0	beat	habite
A	0.781	retrieve	0	0	0	0	pressure	prêts
A	0.781	retrieve	0	0	0	0	kept	quête
A	0.781	retrieve	0	0	0	0	feet	fuite
A	0.781	decode	0	0	0	0	clean	cligne
A	0.781	retrieve	0	0	0	0	scene	sinon
B	0.777	retrieve	0	0	0	0	created	crier
B	0.776	decode	0	0	0	0	church	tchatche
B	0.776	retrieve	0	0	0	0	success	sexe
B	0.776	retrieve	0	0	0	0	mine	marne
B	0.776	retrieve	0	0	0	0	expected	experts
B	0.776	retrieve	0	0	0	0	expected	expert
B	0.775	retrieve	0	0	1	0	west	veste
B	0.775	decode	0	1	0	0	increase	un crisse
B	0.772	retrieve	0	0	0	0	many	mini
B	0.772	decode	0	0	0	0	left	lift
B	0.77	retrieve	0	0	0	0	she	chimie
B	0.77	retrieve	0	0	0	0	last	listes
B	0.77	retrieve	0	0	0	0	last	liste
B	0.77	retrieve	0	0	0	0	money	mini
B	0.77	retrieve	0	0	0	0	city	séries
B	0.77	retrieve	0	0	0	0	course	courses
B	0.77	retrieve	0	0	0	0	past	pistes
B	0.77	retrieve	0	0	0	0	past	piste
B	0.77	retrieve	0	0	0	0	short	sortes
B	0.77	retrieve	0	0	0	0	short	sortent
B	0.77	retrieve	0	0	0	0	plan	pleine
B	0.77	retrieve	0	0	0	0	plan	plaine
B	0.77	retrieve	0	0	0	0	interest	restes
B	0.77	retrieve	0	0	0	0	interest	restent
B	0.77	retrieve	0	0	0	0	source	sources
B	0.77	retrieve	0	0	0	0	step	stop
B	0.77	retrieve	0	0	0	0	funny	finit
B	0.77	retrieve	0	0	0	0	funny	finis
B	0.77	decode	0	0	0	0	funny	finie
B	0.77	retrieve	0	0	0	0	store	stars
B	0.77	retrieve	0	0	0	0	store	star
B	0.77	retrieve	0	0	0	0	floor	fleurs
B	0.769	decode	0	0	0	0	around	rade
B	0.769	decode	0	0	0	0	find	fade
B	0.769	decode	0	0	0	0	found	fade
B	0.769	retrieve	0	0	0	0	point	pote
B	0.769	decode	0	0	0	0	round	rade
B	0.769	decode	0	0	0	0	events	veine
B	0.769	retrieve	0	0	0	0	brown	bras
B	0.768	retrieve	0	0	0	0	forward	forts
B	0.768	retrieve	0	0	0	0	forward	fort
B	0.768	decode	0	0	0	0	forward	for
B	0.766	retrieve	0	0	0	0	head	aides
B	0.766	retrieve	0	0	0	0	head	aide
B	0.766	decode	0	0	0	0	issue	chou
B	0.766	retrieve	0	0	0	0	hell	elles
B	0.766	retrieve	0	0	0	0	hell	elle
B	0.766	retrieve	0	0	0	0	hair	ère
B	0.766	retrieve	0	0	0	0	hair	aire
B	0.766	decode	0	0	0	0	hair	air
B	0.766	retrieve	0	0	0	0	whose	house
B	0.766	retrieve	0	0	0	0	tour	tres
B	0.765	retrieve	0	0	0	0	street	sites
B	0.765	decode	0	0	1	0	district	district
B	0.765	retrieve	0	0	0	0	create	christ
B	0.764	decode	0	0	0	0	military	métairie
B	0.763	retrieve	0	0	0	0	cost	costume
B	0.763	retrieve	0	0	0	0	present	prête
B	0.763	retrieve	0	0	0	0	sorry	séries
B	0.763	retrieve	0	0	0	0	sorry	série
B	0.763	retrieve	0	0	0	0	clean	clinique
B	0.761	retrieve	0	0	0	0	when	haine
B	0.761	decode	0	0	0	0	when	n
B	0.761	retrieve	0	0	0	0	well	elles
B	0.761	retrieve	0	0	0	0	well	elle
B	0.761	retrieve	0	0	0	0	where	ère
B	0.761	retrieve	0	0	0	0	where	aire
B	0.761	decode	0	0	0	0	where	air
B	0.761	decode	0	0	0	0	use	housse
B	0.761	retrieve	0	0	0	0	few	fout
B	0.761	retrieve	0	0	0	0	few	fous
B	0.761	decode	0	0	0	0	few	fou
B	0.761	decode	0	0	0	0	week	hic
B	0.761	retrieve	0	0	0	0	yet	êtes
B	0.761	retrieve	0	0	0	0	water	or
B	0.761	retrieve	0	0	0	0	water	hors
B	0.761	retrieve	0	0	0	0	war	or
B	0.761	retrieve	0	0	0	0	war	hors
B	0.761	retrieve	0	0	0	0	view	vous
B	0.761	decode	0	0	0	0	walk	oc
B	0.76	retrieve	0	0	0	0	to	tous
B	0.76	retrieve	0	0	0	0	on	sonne
B	0.76	retrieve	0	0	0	0	on	tonnes
B	0.76	retrieve	0	0	0	0	be	bite
B	0.76	retrieve	0	0	0	0	all	sols
B	0.76	retrieve	0	0	0	0	all	sol
B	0.76	retrieve	0	0	0	0	do	douce
B	0.76	retrieve	0	0	0	0	get	gay
B	0.76	retrieve	0	0	0	0	said	aides
B	0.76	retrieve	0	0	0	0	use	you
B	0.76	retrieve	0	0	0	0	based	best
B	0.76	retrieve	0	0	0	0	went	ouest
B	0.76	retrieve	0	0	1	0	post	postes
B	0.76	retrieve	0	0	0	0	else	elles
B	0.76	retrieve	0	0	0	0	else	elle
B	0.76	retrieve	0	0	0	0	due	douce
B	0.76	decode	0	0	0	0	players	plaise
B	0.76	retrieve	0	0	0	0	meet	my
B	0.76	retrieve	0	0	0	0	meet	mit
B	0.76	decode	0	0	0	0	played	plaide
B	0.76	retrieve	0	0	0	0	weeks	fixe
B	0.76	retrieve	0	0	0	0	event	veste
B	0.76	retrieve	0	0	0	0	guess	gay
B	0.76	retrieve	0	0	0	0	eat	sites
B	0.76	retrieve	0	0	0	0	eat	site
B	0.76	retrieve	0	0	0	0	green	grille
B	0.76	retrieve	0	0	0	0	key	ski
B	0.76	retrieve	0	0	0	0	feet	fit
B	0.76	retrieve	0	0	0	0	sold	solde
B	0.76	decode	0	0	0	0	train	traîne
B	0.759	retrieve	0	0	0	0	growth	gros
B	0.758	retrieve	0	0	0	0	friend	frais
B	0.758	decode	0	0	0	0	break	briques
B	0.758	retrieve	0	0	0	0	clean	clients
B	0.758	decode	0	0	0	1	france	france
B	0.757	retrieve	0	0	0	0	need	ni
B	0.757	retrieve	0	0	0	0	never	genève
B	0.757	retrieve	0	0	0	0	end	haine
B	0.757	decode	0	0	0	0	end	n
B	0.757	retrieve	0	0	0	0	read	riz
B	0.757	retrieve	0	0	0	0	food	fout
B	0.757	retrieve	0	0	0	0	food	fous
B	0.757	decode	0	0	0	0	food	fou
B	0.757	retrieve	0	0	0	0	deal	îles
B	0.757	retrieve	0	0	0	0	deal	île
B	0.757	decode	0	1	0	0	deal	il
B	0.757	retrieve	0	0	0	0	red	ray
B	0.757	retrieve	0	0	0	0	lead	lit
B	0.757	retrieve	0	0	0	0	dead	dès
B	0.757	retrieve	0	0	0	0	dead	aides
B	0.757	retrieve	0	0	0	0	led	lait
B	0.757	retrieve	0	0	0	0	foreign	forts
B	0.757	retrieve	0	0	0	0	foreign	fort
B	0.757	decode	0	0	0	0	foreign	for
B	0.757	decode	0	0	0	0	seven	sève
B	0.757	retrieve	0	0	0	0	bed	baie
B	0.757	decode	0	0	0	0	deep	hip
B	0.757	retrieve	0	0	0	0	leader	lit
B	0.756	retrieve	0	0	0	1	designed	design
B	0.755	retrieve	0	0	0	0	looks	luxe
B	0.755	retrieve	0	0	0	0	event	verte
B	0.755	retrieve	0	0	0	0	blood	blonde
B	0.755	retrieve	0	0	1	0	lord	lourdes
B	0.755	decode	0	1	0	0	unless	en laisse
B	0.754	retrieve	0	0	0	0	re	repris
B	0.754	retrieve	0	0	0	0	message	messages
B	0.753	retrieve	0	0	0	0	you	your
B	0.753	retrieve	0	0	0	0	more	mots
B	0.753	retrieve	0	0	0	0	more	mot
B	0.753	retrieve	0	0	0	0	off	offres
B	0.753	retrieve	0	0	0	0	off	offrent
B	0.753	retrieve	0	0	0	0	ever	rêves
B	0.753	retrieve	0	0	0	0	ever	rêve
B	0.753	retrieve	0	0	0	0	law	lors
B	0.753	retrieve	0	0	0	0	news	nous
B	0.753	retrieve	0	0	0	0	saw	sort
B	0.753	retrieve	0	0	0	0	saw	sors
B	0.753	retrieve	0	0	0	0	red	aides
B	0.753	decode	0	0	0	0	perfect	affect
B	0.753	retrieve	0	0	0	0	lose	loup
B	0.753	retrieve	0	0	0	0	offer	offres
B	0.753	retrieve	0	0	0	0	offer	offrent
B	0.753	retrieve	0	0	0	0	previous	privés
B	0.753	retrieve	0	0	0	0	previous	privées
B	0.753	decode	0	0	0	0	previous	privée
B	0.753	retrieve	0	0	1	0	movement	mouvements
B	0.753	retrieve	0	0	1	0	movement	mouvement
B	0.752	decode	0	0	0	0	believe	clive
B	0.752	decode	0	0	0	0	training	training
B	0.75	retrieve	0	0	1	0	technology	technologies
B	0.75	retrieve	0	0	1	0	technology	technologie
B	0.75	retrieve	0	0	0	0	via	vas
B	0.75	retrieve	0	0	0	0	via	va
B	0.749	retrieve	0	0	0	0	countries	crises
B	0.749	retrieve	0	0	0	0	countries	crise
B	0.748	retrieve	0	0	0	0	part	portes
B	0.748	decode	0	0	0	0	stop	stop
B	0.748	decode	0	0	0	0	job	job
B	0.748	retrieve	0	0	0	0	fight	faillite
B	0.748	retrieve	0	0	0	0	card	corde
B	0.748	retrieve	0	0	0	0	cold	codes
B	0.748	retrieve	0	0	0	0	claim	clés
B	0.748	retrieve	0	0	0	0	claim	clé
B	0.748	retrieve	0	0	0	0	pro	proches
B	0.748	decode	0	0	1	0	stock	stock
B	0.747	retrieve	0	0	0	0	line	latine
B	0.747	retrieve	0	0	0	0	party	paris
B	0.747	retrieve	0	0	0	0	party	pari
B	0.747	retrieve	0	0	0	0	march	matchs
B	0.747	retrieve	0	0	0	0	march	matches
B	0.747	retrieve	0	0	0	0	global	globale
B	0.747	decode	0	0	0	0	global	global
B	0.746	retrieve	0	0	0	0	getting	guère
B	0.746	retrieve	0	0	0	0	getting	guerres
B	0.746	decode	0	0	0	0	getting	guerre
B	0.746	decode	0	0	0	0	talking	toc
B	0.746	decode	0	0	0	0	tried	trahi
B	0.746	decode	0	0	0	0	meeting	mirent
B	0.746	retrieve	0	0	0	0	feeling	fils
B	0.746	retrieve	0	0	0	0	feeling	file
