fr	en	combo	tier
forment	form	1.000	S
riz	re	1.000	S
norme	norm	1.000	S
bite	beat	1.000	S
cote	caught	1.000	S
listes	least	1.000	S
chair	share	1.000	S
prie	pre	1.000	S
li	lee	1.000	S
boss	boss	1.000	S
colle	call	1.000	S
poule	pool	1.000	S
aile	el	1.000	S
pires	peter	1.000	S
bol	ball	1.000	S
pile	peel	1.000	S
trous	true	1.000	S
bosse	boss	1.000	S
soupe	super	1.000	S
ford	for	1.000	S
pique	peak	1.000	S
roule	rule	1.000	S
ll	ll	1.000	S
lord	lord	1.000	S
aix	ex	1.000	S
coupes	cooper	1.000	S
dettes	debt	1.000	S
die	di	1.000	S
taire	terror	1.000	S
peines	pen	1.000	S
perds	pair	1.000	S
tim	team	1.000	S
brise	breeze	1.000	S
messe	mess	1.000	S
perdent	paired	1.000	S
pic	peak	1.000	S
pères	pair	1.000	S
aire	air	1.000	S
bêtes	bet	1.000	S
dits	di	1.000	S
dors	daughter	1.000	S
dort	daughter	1.000	S
tech	tech	1.000	S
bornes	born	1.000	S
nette	net	1.000	S
fred	fred	1.000	S
mette	met	1.000	S
ms	ms	1.000	S
chou	shoe	1.000	S
group	group	1.000	S
coule	cool	1.000	S
donnes	dawn	1.000	S
ss	ss	1.000	S
brest	breast	1.000	S
fraîche	fresh	1.000	S
airs	air	1.000	S
bottes	bought	1.000	S
seize	says	1.000	S
rer	rare	1.000	S
set	set	1.000	S
flèche	flesh	1.000	S
fric	freak	1.000	S
sex	sex	1.000	S
loups	lou	1.000	S
saine	sen	1.000	S
explorer	explore	0.886	A
régime	regime	0.885	A
régimes	regime	0.885	A
athlète	outlet	0.885	A
nobel	nobel	0.885	A
sms	ms	0.885	A
plateforme	platform	0.881	A
netflix	netflix	0.881	A
respect	respect	0.870	A
respecte	respect	0.870	A
exprès	express	0.870	A
christine	christine	0.866	A
marie	mighty	0.864	A
midi	media	0.864	A
grosse	gross	0.864	A
mari	mighty	0.864	A
phrase	fries	0.864	A
grosses	gross	0.864	A
sophie	sophie	0.864	A
crâne	crown	0.864	A
phrases	fries	0.864	A
délit	daily	0.864	A
trio	trio	0.864	A
iii	ye	0.859	A
transforme	transform	0.859	A
extrême	extreme	0.858	A
extrêmes	extreme	0.858	A
exprime	extreme	0.854	A
direct	director	0.850	A
réforme	reform	0.850	A
directe	director	0.850	A
regrette	regret	0.850	A
estimé	esteem	0.850	A
réformes	reform	0.850	A
correct	correct	0.850	A
existe	exist	0.847	A
critique	critique	0.847	A
critiques	critique	0.847	A
aspect	aspect	0.847	A
extrait	extra	0.847	A
existent	exist	0.847	A
aspects	aspect	0.847	A
exact	exact	0.847	A
costume	costume	0.847	A
extraits	extra	0.847	A
collecte	collect	0.847	A
costumes	costume	0.847	A
exacte	exact	0.847	A
système	stem	0.847	A
systèmes	stem	0.847	A
expression	express	0.842	A
expertise	expertise	0.842	A
expressions	express	0.842	A
suspect	suspect	0.841	A
accepte	accept	0.837	A
extra	extra	0.837	A
texas	texas	0.837	A
quoi	choir	0.833	A
mal	mile	0.833	A
lors	laura	0.833	A
choses	shows	0.833	A
gros	grow	0.833	A
base	buyers	0.833	A
avis	ivy	0.833	A
date	doubt	0.833	A
rôle	role	0.833	A
zone	zone	0.833	A
sol	soil	0.833	A
pro	pro	0.833	A
sert	sarah	0.833	A
gaz	guys	0.833	A
côte	coat	0.833	A
masse	mouse	0.833	A
zones	zone	0.833	A
notes	note	0.833	A
lac	like	0.833	A
phase	fires	0.833	A
rare	writer	0.833	A
clé	clay	0.833	A
pape	pipe	0.833	A
race	rice	0.833	A
rares	writer	0.833	A
bac	bike	0.833	A
fans	fine	0.833	A
clés	clay	0.833	A
bases	buyers	0.833	A
fan	fine	0.833	A
pause	pose	0.833	A
man	mine	0.833	A
pré	pray	0.833	A
vise	visa	0.833	A
chris	korea	0.833	A
côtes	coat	0.833	A
mac	mike	0.833	A
pôle	poll	0.833	A
dates	doubt	0.833	A
nan	nine	0.833	A
chaude	showed	0.833	A
rio	rio	0.833	A
dan	down	0.833	A
tape	type	0.833	A
modes	mode	0.833	A
rôles	role	0.833	A
votes	vote	0.833	A
serre	sarah	0.833	A
cris	korea	0.833	A
codes	code	0.833	A
case	cows	0.833	A
panne	pine	0.833	A
roses	rose	0.833	A
sols	soil	0.833	A
gaulle	goal	0.833	A
matt	might	0.833	A
cri	korea	0.833	A
gré	grey	0.833	A
mâle	mile	0.833	A
lave	live	0.833	A
clef	clay	0.833	A
faune	phone	0.833	A
chatte	shout	0.833	A
mat	might	0.833	A
phases	fires	0.833	A
races	rice	0.833	A
émis	amy	0.833	A
crie	korea	0.833	A
lame	lime	0.833	A
battent	bite	0.833	A
phare	fighter	0.833	A
posent	pose	0.833	A
oise	wise	0.833	A
librairie	library	0.827	A
contexte	context	0.827	A
prise	properties	0.827	A
prises	properties	0.827	A
princesse	princess	0.825	A
expose	expose	0.823	A
même	mm	0.823	A
ici	cc	0.823	A
mêmes	mm	0.823	A
cesse	ss	0.823	A
aimait	mm	0.823	A
aimais	mm	0.823	A
spectre	spectrum	0.823	A
merci	mary	0.822	A
porte	porch	0.822	A
super	spare	0.822	A
esprit	sp	0.822	A
espère	spare	0.822	A
sortie	sort	0.822	A
perdu	paired	0.822	A
rester	rest	0.822	A
afrique	freak	0.822	A
perdre	paired	0.822	A
permis	perry	0.822	A
adresse	dress	0.822	A
crise	carries	0.822	A
sorti	sort	0.822	A
vitesse	vs	0.822	A
marine	marine	0.822	A
portes	porch	0.822	A
théorie	tory	0.822	A
triste	treat	0.822	A
twitter	tweet	0.822	A
énorme	norm	0.822	A
troupes	troops	0.822	A
colère	claire	0.822	A
piste	priest	0.822	A
signé	senior	0.822	A
prête	pressed	0.822	A
toulouse	tools	0.822	A
blessé	bless	0.822	A
ennemi	enemy	0.822	A
prouver	prove	0.822	A
former	form	0.822	A
décrit	decree	0.822	A
format	form	0.822	A
recettes	reset	0.822	A
ennemis	enemy	0.822	A
portent	porch	0.822	A
resté	rest	0.822	A
traite	trent	0.822	A
formé	form	0.822	A
piscine	pc	0.822	A
blessés	bless	0.822	A
prêtre	prayer	0.822	A
signer	senior	0.822	A
pistes	priest	0.822	A
recette	reset	0.822	A
sortant	sort	0.822	A
esprits	sp	0.822	A
prière	prayer	0.822	A
thierry	terry	0.822	A
tester	test	0.822	A
perdue	paired	0.822	A
sorties	sort	0.822	A
restant	rest	0.822	A
restait	rest	0.822	A
porno	porn	0.822	A
excès	excess	0.822	A
louise	louise	0.822	A
troupe	troops	0.822	A
restée	rest	0.822	A
sortis	sort	0.822	A
énormes	norm	0.822	A
cest	assessed	0.822	A
insectes	sector	0.822	A
insiste	ceased	0.822	A
prouvé	prove	0.822	A
briser	breeze	0.822	A
théories	tory	0.822	A
brisé	breeze	0.822	A
perdus	paired	0.822	A
testé	test	0.822	A
crises	carries	0.822	A
prêtres	prayer	0.822	A
restés	rest	0.822	A
signée	senior	0.822	A
resto	rest	0.822	A
colline	clean	0.822	A
costa	cost	0.822	A
pressé	press	0.822	A
restez	rest	0.822	A
formés	form	0.822	A
formée	form	0.822	A
michel	michelle	0.821	A
youtube	youtube	0.821	A
forum	forum	0.821	A
galerie	gallery	0.821	A
taxi	taxi	0.821	A
mixte	mixed	0.821	A
civile	seal	0.816	A
civil	seal	0.816	A
liquide	lead	0.816	A
cellules	sell	0.816	A
licence	lease	0.816	A
cellule	sell	0.816	A
civils	seal	0.816	A
dessert	dare	0.816	A
divine	dean	0.816	A
terreur	terror	0.816	A
civiles	seal	0.816	A
police	police	0.810	A
machine	machine	0.810	A
machines	machine	0.810	A
fatigue	fatigue	0.810	A
organes	organ	0.810	A
organe	organ	0.810	A
complexe	complex	0.808	A
complexes	complex	0.808	A
promo	promo	0.808	A
formule	formal	0.808	A
district	decreased	0.804	A
concept	concept	0.804	A
concepts	concept	0.804	A
maîtrise	memories	0.803	A
boston	boston	0.798	A
index	index	0.798	A
berlin	barely	0.798	A
christ	increased	0.797	A
agricole	recall	0.797	A
excellence	excess	0.797	A
autorise	stories	0.797	A
réaliste	released	0.797	A
respirer	recipe	0.797	A
derrière	dare	0.795	A
gris	gregory	0.795	A
priori	pre	0.795	A
première	premier	0.795	A
premières	premier	0.795	A
exclu	exclude	0.795	A
prime	premium	0.795	A
marche	marsh	0.793	A
garde	guard	0.793	A
carte	cart	0.793	A
marque	mark	0.793	A
parc	park	0.793	A
star	star	0.793	A
cartes	cart	0.793	A
marc	mark	0.793	A
blague	blog	0.793	A
black	block	0.793	A
marques	mark	0.793	A
gardes	guard	0.793	A
plate	plot	0.793	A
stars	star	0.793	A
masque	mosque	0.793	A
mali	molly	0.793	A
barbe	barber	0.793	A
partent	part	0.793	A
blagues	blog	0.793	A
parcs	park	0.793	A
marches	marsh	0.793	A
exploser	explode	0.792	A
mettre	metro	0.791	A
presque	press	0.791	A
samedi	saudi	0.791	A
maître	metro	0.791	A
espèce	ss	0.791	A
mètres	metro	0.791	A
claude	closed	0.791	A
espèces	ss	0.791	A
maîtres	metro	0.791	A
stable	style	0.791	A
crier	create	0.791	A
mètre	metro	0.791	A
grade	ground	0.791	A
ceci	cc	0.789	A
souci	cc	0.789	A
soucis	cc	0.789	A
directrice	directory	0.787	A
la	lie	0.786	A
les	lay	0.786	A
des	day	0.786	A
pas	power	0.786	A
ça	sigh	0.786	A
sa	sigh	0.786	A
ses	say	0.786	A
ces	say	0.786	A
ma	my	0.786	A
là	lie	0.786	A
as	ice	0.786	A
mes	may	0.786	A
nos	no	0.786	A
cas	cow	0.786	A
ta	tie	0.786	A
ca	cow	0.786	A
bas	by	0.786	A
art	outer	0.786	A
beau	bow	0.786	A
mot	mo	0.786	A
gars	guy	0.786	A
mots	mo	0.786	A
taux	toe	0.786	A
tôt	toe	0.786	A
al	owl	0.786	A
bah	by	0.786	A
beaux	bow	0.786	A
peau	po	0.786	A
chaud	show	0.786	A
chat	shower	0.786	A
no	no	0.786	A
arts	outer	0.786	A
co	co	0.786	A
anne	iron	0.786	A
tas	tie	0.786	A
go	go	0.786	A
bat	by	0.786	A
lot	low	0.786	A
hâte	out	0.786	A
charlie	surely	0.786	A
pot	po	0.786	A
chats	shower	0.786	A
da	die	0.786	A
so	so	0.786	A
las	lie	0.786	A
quai	kay	0.786	A
av	ive	0.786	A
rugby	rugby	0.786	A
ad	eyed	0.786	A
saut	so	0.786	A
ré	ray	0.786	A
po	po	0.786	A
terrasse	terrace	0.786	A
na	now	0.786	A
are	outer	0.786	A
dés	day	0.786	A
éd	aid	0.786	A
maux	mo	0.786	A
ouai	way	0.786	A
fa	fire	0.786	A
pa	power	0.786	A
place	plus	0.785	A
film	film	0.785	A
grâce	grass	0.785	A
match	much	0.785	A
force	force	0.785	A
classe	class	0.785	A
risque	risk	0.785	A
forces	force	0.785	A
films	film	0.785	A
cité	ct	0.785	A
prince	press	0.785	A
ps	pace	0.785	A
perte	paired	0.785	A
places	plus	0.785	A
matchs	much	0.785	A
risques	risk	0.785	A
max	max	0.785	A
réel	rail	0.785	A
glace	glass	0.785	A
classes	class	0.785	A
fr	affair	0.785	A
syrie	city	0.785	A
mini	mini	0.785	A
plantes	plot	0.785	A
vaste	vast	0.785	A
score	score	0.785	A
fixe	fix	0.785	A
taxe	tax	0.785	A
disque	disc	0.785	A
réelle	rail	0.785	A
drogue	drug	0.785	A
corse	course	0.785	A
grec	greg	0.785	A
plante	plot	0.785	A
cf	safe	0.785	A
drame	drum	0.785	A
pertes	paired	0.785	A
citer	ct	0.785	A
fc	fc	0.785	A
taxes	tax	0.785	A
cités	ct	0.785	A
fraude	fraud	0.785	A
clip	clip	0.785	A
vs	vs	0.785	A
grace	grass	0.785	A
jazz	jazz	0.785	A
plaire	blair	0.785	A
porc	pork	0.785	A
corde	cord	0.785	A
disques	disc	0.785	A
grecs	greg	0.785	A
matches	much	0.785	A
pacte	packed	0.785	A
réels	rail	0.785	A
solde	salt	0.785	A
confie	coffee	0.785	A
grecque	greg	0.785	A
pl	pale	0.785	A
drogues	drug	0.785	A
verrez	very	0.785	A
cordes	cord	0.785	A
princes	press	0.785	A
cdi	cd	0.785	A
réelles	rail	0.785	A
maïs	mice	0.785	A
sphère	sphere	0.785	A
crédit	crazy	0.784	A
crédits	crazy	0.784	A
mettra	metro	0.784	A
morgan	morgan	0.783	A
exposé	expose	0.782	A
orchestre	orchestra	0.782	A
exposer	expose	0.782	A
très	treasure	0.781	A
encore	corps	0.781	A
toute	stewart	0.781	A
pays	perry	0.781	A
paris	pre	0.781	A
toutes	stewart	0.781	A
bonne	born	0.781	A
ville	reveal	0.781	A
vers	very	0.781	A
tête	test	0.781	A
suite	seat	0.781	A
trouve	true	0.781	A
raison	res	0.781	A
équipe	keep	0.781	A
mère	mary	0.781	A
près	press	0.781	A
quel	kelly	0.781	A
accord	corps	0.781	A
donner	dawn	0.781	A
mise	means	0.781	A
saison	says	0.781	A
type	cheap	0.781	A
donné	dawn	0.781	A
ordre	order	0.781	A
école	call	0.781	A
pierre	pair	0.781	A
quelle	kelly	0.781	A
livre	leave	0.781	A
série	sri	0.781	A
merde	med	0.781	A
affaires	fair	0.781	A
faites	felt	0.781	A
affaire	fair	0.781	A
terme	terror	0.781	A
frère	fair	0.781	A
dix	dc	0.781	A
laisser	less	0.781	A
sinon	seen	0.781	A
mer	mary	0.781	A
données	dawn	0.781	A
sort	sort	0.781	A
pièces	yes	0.781	A
cherche	share	0.781	A
code	called	0.781	A
pièce	yes	0.781	A
prêt	press	0.781	A
bord	born	0.781	A
terrain	terror	0.781	A
villes	reveal	0.781	A
frais	fresh	0.781	A
hôtel	tell	0.781	A
livres	leave	0.781	A
puisse	piece	0.781	A
vol	vault	0.781	A
dehors	daughter	0.781	A
fête	felt	0.781	A
bonnes	born	0.781	A
faite	felt	0.781	A
lettre	let	0.781	A
disent	deals	0.781	A
faible	fell	0.781	A
couple	cool	0.781	A
bref	ref	0.781	A
ciel	sell	0.781	A
suisse	cease	0.781	A
vote	vault	0.781	A
ferme	fair	0.781	A
maire	mary	0.781	A
pleine	pen	0.781	A
raisons	res	0.781	A
port	porn	0.781	A
adore	daughter	0.781	A
pauvre	pour	0.781	A
souhaite	set	0.781	A
chaîne	chen	0.781	A
frères	fair	0.781	A
lignes	lean	0.781	A
lettres	let	0.781	A
équipes	keep	0.781	A
appris	pre	0.781	A
laissé	less	0.781	A
dites	defeat	0.781	A
riche	reach	0.781	A
termes	terror	0.781	A
lycée	lease	0.781	A
verre	very	0.781	A
vert	very	0.781	A
empire	peter	0.781	A
prennent	pen	0.781	A
rose	draws	0.781	A
vice	vs	0.781	A
reine	rent	0.781	A
tiers	terror	0.781	A
certes	set	0.781	A
types	cheap	0.781	A
baisse	best	0.781	A
efforts	for	0.781	A
humaine	men	0.781	A
séries	sri	0.781	A
trouvent	true	0.781	A
fiche	feature	0.781	A
quelles	kelly	0.781	A
quels	kelly	0.781	A
échelle	shell	0.781	A
prêts	press	0.781	A
tourne	tune	0.781	A
dr	dare	0.781	A
effort	for	0.781	A
ordres	order	0.781	A
forêt	four	0.781	A
pauvres	pour	0.781	A
thème	stem	0.781	A
dessin	des	0.781	A
fruits	free	0.781	A
plaît	pleasure	0.781	A
belge	bell	0.781	A
blog	log	0.781	A
pluie	plea	0.781	A
riches	reach	0.781	A
laissez	less	0.781	A
fier	fair	0.781	A
tort	torn	0.781	A
couper	cooper	0.781	A
douce	reduce	0.781	A
douze	jews	0.781	A
grève	rev	0.781	A
mises	means	0.781	A
cible	seal	0.781	A
donnée	dawn	0.781	A
sors	sort	0.781	A
impose	pause	0.781	A
grèce	guess	0.781	A
pêche	pressure	0.781	A
mettant	met	0.781	A
offert	fair	0.781	A
bière	better	0.781	A
enfer	fair	0.781	A
donnant	dawn	0.781	A
plait	pleasure	0.781	A
simon	seem	0.781	A
dite	defeat	0.781	A
fuite	feet	0.781	A
coûte	cute	0.781	A
cycle	seek	0.781	A
fausse	force	0.781	A
fêtes	felt	0.781	A
lèvres	letter	0.781	A
souris	sri	0.781	A
tonnes	torn	0.781	A
habite	beat	0.781	A
humaines	men	0.781	A
laissant	less	0.781	A
puissent	piece	0.781	A
têtes	test	0.781	A
corée	core	0.781	A
miss	meets	0.781	A
saisons	says	0.781	A
thèse	tells	0.781	A
job	jaw	0.781	A
lève	clever	0.781	A
folie	flee	0.781	A
honnête	net	0.781	A
rennes	rent	0.781	A
dessins	des	0.781	A
faibles	fell	0.781	A
fruit	free	0.781	A
pierres	pair	0.781	A
hyper	pair	0.781	A
poète	pet	0.781	A
kim	cream	0.781	A
potes	port	0.781	A
dise	deals	0.781	A
suède	said	0.781	A
terrains	terror	0.781	A
verts	very	0.781	A
accords	corps	0.781	A
chaînes	chen	0.781	A
verte	vet	0.781	A
cherchent	share	0.781	A
couples	cool	0.781	A
mettez	met	0.781	A
flics	leak	0.781	A
dîner	dean	0.781	A
flotte	fought	0.781	A
inter	terror	0.781	A
jette	jet	0.781	A
milan	meal	0.781	A
coupé	cooper	0.781	A
trouves	true	0.781	A
donnez	dawn	0.781	A
situe	seat	0.781	A
thèmes	stem	0.781	A
tiennent	ten	0.781	A
chaise	shares	0.781	A
quête	kept	0.781	A
sauce	source	0.781	A
amène	men	0.781	A
forêts	four	0.781	A
mères	mary	0.781	A
rive	receive	0.781	A
acide	seed	0.781	A
belges	bell	0.781	A
dose	daughters	0.781	A
poulet	pool	0.781	A
trait	treasure	0.781	A
bouton	boot	0.781	A
prenne	pen	0.781	A
bosser	boss	0.781	A
fesses	fence	0.781	A
rêver	rev	0.781	A
veste	vet	0.781	A
vols	vault	0.781	A
baise	bears	0.781	A
ecole	call	0.781	A
oppose	pause	0.781	A
soudain	sued	0.781	A
fausses	force	0.781	A
gêne	gen	0.781	A
metz	met	0.781	A
assise	sees	0.781	A
cirque	seek	0.781	A
mienne	men	0.781	A
nomme	norm	0.781	A
play	pleasure	0.781	A
alice	lease	0.781	A
donna	dawn	0.781	A
pr	pair	0.781	A
rouler	rule	0.781	A
stock	talk	0.781	A
miel	yell	0.781	A
saura	sore	0.781	A
souhaitent	set	0.781	A
donnait	dawn	0.781	A
fière	fair	0.781	A
horaires	rare	0.781	A
maires	mary	0.781	A
traits	treasure	0.781	A
antenne	ten	0.781	A
intime	team	0.781	A
pari	pre	0.781	A
saisi	says	0.781	A
suisses	cease	0.781	A
bords	born	0.781	A
coffre	corps	0.781	A
reims	realm	0.781	A
chèque	check	0.781	A
fermes	fair	0.781	A
toulon	tool	0.781	A
verres	very	0.781	A
chouette	wet	0.781	A
hôtels	tell	0.781	A
descend	des	0.781	A
horaire	rare	0.781	A
plaine	pen	0.781	A
tienne	ten	0.781	A
prier	pre	0.781	A
suites	seat	0.781	A
chaine	chen	0.781	A
pèse	pairs	0.781	A
saurait	sore	0.781	A
vole	vault	0.781	A
couler	cool	0.781	A
flic	leak	0.781	A
pourri	pre	0.781	A
donnés	dawn	0.781	A
jeff	jeff	0.781	A
saisie	says	0.781	A
coller	call	0.781	A
filet	feel	0.781	A
duel	del	0.781	A
idem	dem	0.781	A
nick	sneak	0.781	A
psy	pc	0.781	A
sida	seed	0.781	A
treize	res	0.781	A
assises	sees	0.781	A
cherches	share	0.781	A
fiers	fair	0.781	A
mettait	met	0.781	A
ports	porn	0.781	A
rêvé	rev	0.781	A
sienne	sen	0.781	A
laine	lens	0.781	A
mettons	met	0.781	A
bisous	bees	0.781	A
boutons	boot	0.781	A
chic	cheek	0.781	A
emmène	men	0.781	A
lr	letter	0.781	A
coran	core	0.781	A
gel	gel	0.781	A
tristesse	tests	0.780	A
divisé	dvd	0.778	A
experts	explore	0.778	A
fortune	fortune	0.778	A
expert	explore	0.778	A
nicole	recall	0.774	A
exploration	explore	0.774	A
solo	solo	0.773	A
logo	logo	0.773	A
batterie	binary	0.772	A
exil	exile	0.772	A
source	source	0.770	A
fini	funny	0.770	A
proche	pressure	0.770	A
sport	spare	0.770	A
course	course	0.770	A
sources	source	0.770	A
fleurs	floor	0.770	A
finit	funny	0.770	A
courte	court	0.770	A
courses	course	0.770	A
sports	spare	0.770	A
luxe	leaks	0.770	A
crème	cream	0.770	A
stop	step	0.770	A
fleur	floor	0.770	A
golf	gulf	0.770	A
débit	derby	0.770	A
élite	elite	0.770	A
chérie	shitty	0.770	A
finis	funny	0.770	A
fifa	fifa	0.770	A
golfe	gulf	0.770	A
chéri	shitty	0.770	A
graines	green	0.770	A
courtes	court	0.770	A
requis	rookie	0.770	A
serré	sarah	0.770	A
cloche	cloth	0.770	A
visa	visa	0.770	A
visé	visa	0.770	A
transformer	transform	0.770	A
transformé	transform	0.770	A
ne	nina	0.770	A
erreur	air	0.770	A
fn	en	0.770	A
erreurs	air	0.770	A
horreur	ore	0.770	A
chimie	she	0.770	A
chili	she	0.770	A
libye	lee	0.770	A
perspective	perspective	0.768	A
perspectives	perspective	0.768	A
explosion	explore	0.764	A
lorsque	laura	0.763	A
sortir	sort	0.763	A
porter	porch	0.763	A
règles	regular	0.763	A
secteur	sector	0.763	A
normal	norm	0.763	A
pression	press	0.763	A
préfère	prayer	0.763	A
clairement	claire	0.763	A
lecture	elect	0.763	A
section	sex	0.763	A
règle	regular	0.763	A
scolaire	score	0.763	A
porté	porch	0.763	A
portant	porch	0.763	A
portée	porch	0.763	A
primaire	prayer	0.763	A
déteste	test	0.763	A
consiste	ceased	0.763	A
terrible	terry	0.763	A
normale	norm	0.763	A
réussite	receipt	0.763	A
restera	rest	0.763	A
chronique	creek	0.763	A
secteurs	sector	0.763	A
mystère	stare	0.763	A
lecteur	elect	0.763	A
promesse	press	0.763	A
clinique	clean	0.763	A
lecteurs	elect	0.763	A
signal	senior	0.763	A
scolaires	score	0.763	A
blessure	bless	0.763	A
blessures	bless	0.763	A
stupide	speed	0.763	A
portait	porch	0.763	A
promesses	press	0.763	A
sixième	cm	0.763	A
poutine	routine	0.763	A
graphique	greek	0.763	A
faiblesse	bless	0.763	A
raciste	ceased	0.763	A
fabrique	freak	0.763	A
déficit	dc	0.763	A
modeste	messed	0.763	A
supporte	sort	0.763	A
noblesse	bless	0.763	A
révolte	vault	0.763	A
primaires	prayer	0.763	A
brigade	breed	0.763	A
conforme	form	0.763	A
florence	floor	0.763	A
franchise	freeze	0.763	A
baptiste	beast	0.763	A
testament	test	0.763	A
chroniques	creek	0.763	A
porto	porch	0.763	A
préfèrent	prayer	0.763	A
racistes	ceased	0.763	A
clermont	claire	0.763	A
floride	floor	0.763	A
regroupe	group	0.763	A
sections	sex	0.763	A
pressions	press	0.763	A
collective	collective	0.763	A
branche	brush	0.763	A
copie	copy	0.763	A
branches	brush	0.763	A
tranche	trash	0.763	A
propose	pros	0.763	A
précise	praise	0.763	A
madrid	married	0.763	A
finissent	phoenix	0.763	A
précises	praise	0.763	A
québec	quebec	0.762	A
existence	exists	0.760	A
électrique	electric	0.760	A
terroristes	terrorist	0.760	A
ordinaire	ordinary	0.760	A
électriques	electric	0.760	A
terroriste	terrorist	0.760	A
respecter	respect	0.760	A
externe	extent	0.760	A
respecté	respect	0.760	A
certaines	sen	0.759	A
certaine	sen	0.759	A
bernard	better	0.759	A
dormir	daughter	0.759	A
permettent	pet	0.759	A
suicide	seed	0.759	A
chercheurs	share	0.759	A
miroir	meter	0.759	A
maîtresse	mess	0.759	A
chercheur	share	0.759	A
filiale	feel	0.759	A
trentaine	ten	0.759	A
clients	clean	0.758	A
client	clean	0.758	A
poste	post	0.758	A
post	post	0.758	A
postes	post	0.758	A
traces	tries	0.758	A
trace	tries	0.758	A
fleuve	flavor	0.758	A
globe	globe	0.758	A
secrète	cigarette	0.756	A
territoriale	territorial	0.756	A
festival	festival	0.755	A
domestique	domestic	0.755	A
petit	pt	0.755	A
soir	swear	0.755	A
truc	trick	0.755	A
club	club	0.755	A
petits	pt	0.755	A
preuve	prove	0.755	A
trucs	trick	0.755	A
proches	pressure	0.755	A
plage	pleasure	0.755	A
denis	danny	0.755	A
