en	fr	sound	meaning	cognate	tier
february	février	0.544	1.0	0	DUAL-B
second	second	0.539	1.0	1	DUAL-B
second	seconde	0.624	1.0	1	DUAL-A
name	nommer	0.516	1.0	0	DUAL-B
name	nom	0.528	1.0	0	DUAL-B
name	noms	0.528	1.0	0	DUAL-B
group	groupe	1.000	1.0	1	DUAL-S
history	histoire	0.501	1.0	1	DUAL-B
history	historique	0.567	1.0	0	DUAL-B
series	série	0.638	1.0	0	DUAL-A
series	séries	0.638	1.0	1	DUAL-A
just	just	0.691	1.0	1	DUAL-A
just	juste	0.617	1.0	1	DUAL-A
north	nord	0.793	1.0	0	DUAL-S
season	saison	0.557	1.0	1	DUAL-B
season	saisons	0.557	1.0	1	DUAL-B
both	both	0.498	1.0	1	DUAL-B
district	district	0.765	1.0	1	DUAL-S
now	now	0.591	1.0	1	DUAL-B
comments	commentaires	0.475	1.0	1	DUAL-B
football	football	0.725	1.0	1	DUAL-A
music	musiques	0.623	1.0	0	DUAL-A
music	musique	0.623	1.0	0	DUAL-A
diff	différence	0.496	1.0	0	DUAL-B
diff	diff	0.733	1.0	1	DUAL-A
century	century	0.687	1.0	1	DUAL-A
league	league	0.591	1.0	1	DUAL-B
league	ligue	1.000	1.0	0	DUAL-S
debate	débat	0.518	1.0	0	DUAL-B
title	titre	0.495	1.0	1	DUAL-B
articles	articles	0.451	1.0	1	DUAL-B
john	jean	0.479	1.0	0	DUAL-B
john	john	0.499	1.0	1	DUAL-B
same	meme	0.518	1.0	0	DUAL-B
same	mêmes	0.532	1.0	0	DUAL-B
same	même	0.532	1.0	0	DUAL-B
including	incluant	0.494	1.0	0	DUAL-B
english	anglaise	0.480	1.0	0	DUAL-B
english	anglais	0.481	1.0	0	DUAL-B
album	album	0.643	1.0	1	DUAL-A
number	nombre	0.527	1.0	0	DUAL-B
against	against	0.641	1.0	1	DUAL-A
family	familiale	0.491	1.0	0	DUAL-B
family	famille	0.519	1.0	1	DUAL-B
family	familles	0.519	1.0	0	DUAL-B
based	basée	0.509	1.0	1	DUAL-B
based	basés	0.509	1.0	0	DUAL-B
based	basé	0.509	1.0	0	DUAL-B
york	york	0.499	1.0	1	DUAL-B
british	britanniques	0.529	1.0	0	DUAL-B
british	britannique	0.529	1.0	0	DUAL-B
international	international	0.478	1.0	1	DUAL-B
international	internationale	0.478	1.0	1	DUAL-B
club	club	0.781	1.0	1	DUAL-S
your	votre	0.515	1.0	0	DUAL-B
early	early	0.501	1.0	1	DUAL-B
best	best	1.000	1.0	1	DUAL-S
west	ouest	1.000	1.0	0	DUAL-S
west	west	0.648	1.0	1	DUAL-A
company	compagnie	0.645	1.0	1	DUAL-A
general	générale	0.509	1.0	0	DUAL-B
general	général	0.509	1.0	0	DUAL-B
don	don	0.573	1.0	1	DUAL-B
place	place	0.743	1.0	1	DUAL-A
party	partie	0.633	1.0	0	DUAL-A
party	parti	0.633	1.0	1	DUAL-A
college	collège	0.595	1.0	1	DUAL-B
result	résultat	0.552	1.0	0	DUAL-B
keep	conserver	0.462	1.0	0	DUAL-B
appropriate	approprié	0.514	1.0	1	DUAL-B
appropriate	appropriées	0.514	1.0	1	DUAL-B
appropriate	appropriés	0.514	1.0	1	DUAL-B
appropriate	appropriée	0.514	1.0	1	DUAL-B
four	quatre	0.505	1.0	0	DUAL-B
class	classe	0.785	1.0	1	DUAL-S
government	gouvernement	0.480	1.0	1	DUAL-B
government	gouvernements	0.480	1.0	1	DUAL-B
did	did	0.733	1.0	1	DUAL-A
center	center	0.631	1.0	1	DUAL-A
center	centrer	0.510	1.0	1	DUAL-B
center	centre	0.539	1.0	1	DUAL-B
per	per	0.590	1.0	1	DUAL-B
style	style	0.728	1.0	1	DUAL-A
com	ocm	0.520	1.0	0	DUAL-B
com	com	0.681	1.0	1	DUAL-A
long	longues	0.565	1.0	0	DUAL-B
long	longs	0.618	1.0	1	DUAL-A
long	longue	0.565	1.0	1	DUAL-B
long	longtemps	0.530	1.0	0	DUAL-B
long	long	0.618	1.0	1	DUAL-A
country	pays	0.489	1.0	0	DUAL-B
way	way	0.591	1.0	1	DUAL-B
www	www	0.458	1.0	1	DUAL-B
modify	modifiez	0.490	1.0	0	DUAL-B
modify	modifier	0.490	1.0	0	DUAL-B
end	end	0.591	1.0	1	DUAL-B
public	publics	0.666	1.0	1	DUAL-A
public	publiques	0.666	1.0	0	DUAL-A
public	public	0.666	1.0	1	DUAL-A
public	publique	0.666	1.0	0	DUAL-A
won	won	0.591	1.0	1	DUAL-B
another	another	0.639	1.0	1	DUAL-A
released	relâché	0.485	1.0	0	DUAL-B
released	libérés	0.472	1.0	0	DUAL-B
released	libéré	0.472	1.0	0	DUAL-B
support	soutien	0.477	1.0	0	DUAL-B
films	films	0.652	1.0	1	DUAL-A
line	ligne	0.533	1.0	1	DUAL-B
line	line	0.648	1.0	1	DUAL-A
major	major	0.502	1.0	1	DUAL-B
major	majeur	0.502	1.0	0	DUAL-B
members	membres	0.498	1.0	1	DUAL-B
much	much	0.648	1.0	1	DUAL-A
image	image	0.516	1.0	1	DUAL-B
still	still	0.648	1.0	1	DUAL-A
system	système	0.696	1.0	1	DUAL-A
right	droite	0.559	1.0	0	DUAL-B
right	droit	0.453	1.0	0	DUAL-B
notable	notable	0.640	1.0	1	DUAL-A
notable	notables	0.640	1.0	1	DUAL-A
notable	remarquable	0.521	1.0	0	DUAL-B
notable	remarquables	0.521	1.0	0	DUAL-B
section	section	0.678	1.0	1	DUAL-A
single	single	0.629	1.0	1	DUAL-A
included	incluses	0.514	1.0	1	DUAL-B
included	inclus	0.525	1.0	0	DUAL-B
included	incluse	0.514	1.0	1	DUAL-B
television	téléviseur	0.479	1.0	0	DUAL-B
television	télévision	0.499	1.0	1	DUAL-B
television	télé	0.485	1.0	0	DUAL-B
seed	semences	0.483	1.0	0	DUAL-B
seed	seed	0.591	1.0	1	DUAL-B
seed	semence	0.483	1.0	0	DUAL-B
member	membres	0.509	1.0	1	DUAL-B
member	membre	0.509	1.0	1	DUAL-B
sources	sources	0.638	1.0	1	DUAL-A
station	station	0.580	1.0	1	DUAL-B
order	ordre	0.809	1.0	1	DUAL-S
order	commande	0.479	1.0	0	DUAL-B
text	textes	1.000	1.0	1	DUAL-S
text	texte	1.000	1.0	1	DUAL-S
band	bande	0.703	1.0	1	DUAL-A
point	point	0.546	1.0	1	DUAL-B
local	locale	0.708	1.0	1	DUAL-A
local	local	0.708	1.0	1	DUAL-A
local	locales	0.708	1.0	1	DUAL-A
local	locaux	0.602	1.0	0	DUAL-A
river	fleuve	0.475	1.0	0	DUAL-B
river	rivière	0.519	1.0	0	DUAL-B
top	top	0.681	1.0	1	DUAL-A
main	main	0.608	1.0	1	DUAL-A
language	langue	0.515	1.0	1	DUAL-B
language	langage	0.565	1.0	1	DUAL-B
language	langues	0.515	1.0	1	DUAL-B
french	francais	0.550	1.0	0	DUAL-B
french	française	0.560	1.0	0	DUAL-B
french	français	0.567	1.0	0	DUAL-B
french	françaises	0.560	1.0	0	DUAL-B
https	https	0.602	1.0	1	DUAL-A
named	nommée	0.507	1.0	0	DUAL-B
named	nommé	0.507	1.0	0	DUAL-B
named	nommés	0.507	1.0	0	DUAL-B
off	hors	0.592	1.0	0	DUAL-B
note	note	0.706	1.0	1	DUAL-A
note	notez	0.655	1.0	1	DUAL-A
career	carrière	0.609	1.0	0	DUAL-A
original	originale	0.499	1.0	1	DUAL-B
original	original	0.499	1.0	1	DUAL-B
age	age	0.559	1.0	1	DUAL-B
age	âge	0.559	1.0	0	DUAL-B
age	âges	0.559	1.0	0	DUAL-B
service	service	0.619	1.0	1	DUAL-A
established	établies	0.493	1.0	0	DUAL-B
established	établie	0.493	1.0	0	DUAL-B
established	établi	0.493	1.0	0	DUAL-B
established	établis	0.493	1.0	0	DUAL-B
located	localisé	0.528	1.0	0	DUAL-B
website	site	0.479	1.0	0	DUAL-B
population	populations	0.476	1.0	1	DUAL-B
population	population	0.476	1.0	1	DUAL-B
air	air	1.000	1.0	1	DUAL-S
law	loi	0.558	1.0	0	DUAL-B
military	militaire	0.622	1.0	1	DUAL-A
military	militaires	0.622	1.0	1	DUAL-A
great	grande	0.616	1.0	0	DUAL-A
great	grand	0.631	1.0	0	DUAL-A
clubs	clubs	0.647	1.0	1	DUAL-A
published	publiée	0.539	1.0	1	DUAL-B
published	publiées	0.539	1.0	0	DUAL-B
published	publiés	0.539	1.0	1	DUAL-B
published	publié	0.539	1.0	0	DUAL-B
president	présidente	0.630	1.0	1	DUAL-A
president	président	0.575	1.0	1	DUAL-B
park	parc	0.793	1.0	1	DUAL-S
official	officielles	0.515	1.0	0	DUAL-B
official	officiels	0.515	1.0	1	DUAL-B
official	officielle	0.515	1.0	1	DUAL-B
official	officiel	0.515	1.0	1	DUAL-B
case	cas	0.561	1.0	1	DUAL-B
london	londres	0.522	1.0	0	DUAL-B
third	third	0.591	1.0	1	DUAL-B
different	différentes	0.578	1.0	1	DUAL-B
different	différente	0.578	1.0	1	DUAL-B
different	différents	0.510	1.0	1	DUAL-B
different	différent	0.510	1.0	1	DUAL-B
due	dus	0.637	1.0	0	DUAL-A
due	due	0.637	1.0	1	DUAL-A
due	dû	0.637	1.0	0	DUAL-A
village	village	0.592	1.0	1	DUAL-B
closed	clos	0.736	1.0	1	DUAL-A
art	art	0.464	1.0	1	DUAL-B
art	artistique	0.482	1.0	0	DUAL-B
final	finale	0.595	1.0	1	DUAL-B
final	final	0.595	1.0	1	DUAL-B
community	communaute	0.498	1.0	0	DUAL-B
community	communautaire	0.481	1.0	0	DUAL-B
community	communauté	0.492	1.0	0	DUAL-B
again	again	0.481	1.0	1	DUAL-B
army	armée	0.578	1.0	0	DUAL-B
death	décès	0.516	1.0	0	DUAL-B
death	death	0.591	1.0	1	DUAL-B
built	bâti	0.496	1.0	0	DUAL-B
men	masculins	0.469	1.0	0	DUAL-B
site	site	0.663	1.0	1	DUAL-A
five	five	0.663	1.0	1	DUAL-A
central	central	0.654	1.0	1	DUAL-A
central	centrale	0.654	1.0	1	DUAL-A
road	routier	0.509	1.0	0	DUAL-B
road	route	0.552	1.0	0	DUAL-B
free	gratuit	0.472	1.0	0	DUAL-B
free	gratuits	0.472	1.0	0	DUAL-B
free	free	0.606	1.0	1	DUAL-A
england	angleterre	0.532	1.0	0	DUAL-B
include	incluent	0.537	1.0	1	DUAL-B
include	inclure	0.516	1.0	1	DUAL-B
include	inclut	0.537	1.0	1	DUAL-B
association	association	0.493	1.0	1	DUAL-B
down	down	0.648	1.0	1	DUAL-A
down	descendre	0.513	1.0	0	DUAL-B
source	source	0.770	1.0	1	DUAL-S
source	sources	0.770	1.0	1	DUAL-S
california	californie	0.625	1.0	1	DUAL-A
california	californienne	0.547	1.0	1	DUAL-B
man	man	0.730	1.0	1	DUAL-A
man	mec	0.511	1.0	0	DUAL-B
version	version	0.510	1.0	1	DUAL-B
created	créée	0.613	1.0	0	DUAL-A
created	créé	0.613	1.0	0	DUAL-A
created	crée	0.602	1.0	0	DUAL-A
created	crées	0.602	1.0	0	DUAL-A
created	créés	0.613	1.0	0	DUAL-A
media	média	0.528	1.0	1	DUAL-B
media	médias	0.528	1.0	0	DUAL-B
black	black	0.785	1.0	1	DUAL-S
php	php	0.598	1.0	1	DUAL-B
report	reportage	0.574	1.0	1	DUAL-B
report	rapport	0.527	1.0	1	DUAL-B
division	division	0.503	1.0	1	DUAL-B
comment	commentaire	0.478	1.0	1	DUAL-B
comment	commente	0.584	1.0	1	DUAL-B
comment	commenter	0.486	1.0	1	DUAL-B
king	king	0.591	1.0	1	DUAL-B
stadium	stade	0.557	1.0	0	DUAL-B
stadium	stadium	0.637	1.0	1	DUAL-A
died	décédé	0.509	1.0	0	DUAL-B
research	recherches	0.590	1.0	0	DUAL-B
research	recherche	0.590	1.0	0	DUAL-B
record	record	0.503	1.0	1	DUAL-B
archive	archive	0.478	1.0	1	DUAL-B
archive	archives	0.478	1.0	1	DUAL-B
cup	cup	0.591	1.0	1	DUAL-B
cup	coupe	0.690	1.0	1	DUAL-A
records	records	0.494	1.0	1	DUAL-B
received	reçu	0.510	1.0	0	DUAL-B
received	reçues	0.510	1.0	0	DUAL-B
received	reçus	0.510	1.0	0	DUAL-B
received	reçue	0.510	1.0	0	DUAL-B
power	puissance	0.493	1.0	0	DUAL-B
power	pouvoir	0.498	1.0	0	DUAL-B
category	catégorie	0.614	1.0	0	DUAL-A
category	catégories	0.614	1.0	0	DUAL-A
species	espèces	0.493	1.0	0	DUAL-B
species	espèce	0.493	1.0	0	DUAL-B
australia	australie	0.643	1.0	1	DUAL-A
video	vidéo	0.543	1.0	1	DUAL-B
video	vidéos	0.543	1.0	0	DUAL-B
video	video	0.552	1.0	1	DUAL-B
need	nécessité	0.479	1.0	0	DUAL-B
form	forme	1.000	1.0	1	DUAL-S
form	formulaire	0.695	1.0	0	DUAL-A
served	servi	0.515	1.0	0	DUAL-B
served	servis	0.515	1.0	0	DUAL-B
served	servie	0.515	1.0	1	DUAL-B
served	servies	0.515	1.0	1	DUAL-B
project	projet	0.635	1.0	1	DUAL-A
radio	radiophonique	0.454	1.0	0	DUAL-B
radio	radio	0.524	1.0	1	DUAL-B
proposed	proposée	0.629	1.0	1	DUAL-A
proposed	proposé	0.629	1.0	1	DUAL-A
proposed	proposées	0.629	1.0	1	DUAL-A
proposed	proposés	0.629	1.0	1	DUAL-A
development	developpement	0.543	1.0	1	DUAL-B
development	développement	0.539	1.0	1	DUAL-B
example	exemple	0.711	1.0	1	DUAL-A
live	live	0.648	1.0	1	DUAL-A
union	union	0.451	1.0	1	DUAL-B
next	next	1.000	1.0	1	DUAL-S
special	spéciales	0.649	1.0	1	DUAL-A
special	spécial	0.649	1.0	1	DUAL-A
special	spéciaux	0.561	1.0	0	DUAL-B
special	spéciale	0.649	1.0	1	DUAL-A
court	cour	0.562	1.0	1	DUAL-B
region	région	0.537	1.0	1	DUAL-B
short	courte	0.574	1.0	0	DUAL-B
short	courtes	0.574	1.0	0	DUAL-B
william	guillaume	0.482	1.0	0	DUAL-B
william	william	0.604	1.0	1	DUAL-A
province	province	0.670	1.0	1	DUAL-A
western	ouest	0.839	1.0	0	DUAL-S
western	western	0.615	1.0	1	DUAL-A
france	france	0.758	1.0	1	DUAL-S
council	conseil	0.499	1.0	0	DUAL-B
royal	royale	0.580	1.0	1	DUAL-B
royal	royal	0.580	1.0	1	DUAL-B
royal	royales	0.580	1.0	1	DUAL-B
royal	royaux	0.474	1.0	0	DUAL-B
current	courant	0.506	1.0	0	DUAL-B
street	street	0.691	1.0	1	DUAL-A
red	rouges	0.498	1.0	0	DUAL-B
red	roux	0.515	1.0	0	DUAL-B
red	rouge	0.498	1.0	0	DUAL-B
too	trop	0.571	1.0	0	DUAL-B
too	too	0.512	1.0	1	DUAL-B
department	département	0.552	1.0	1	DUAL-B
san	san	0.618	1.0	1	DUAL-A
preserved	préservée	0.558	1.0	1	DUAL-B
preserved	préservé	0.558	1.0	0	DUAL-B
preserved	préservés	0.558	1.0	0	DUAL-B
preserved	préservées	0.558	1.0	0	DUAL-B
james	james	0.725	1.0	1	DUAL-A
force	force	0.787	1.0	1	DUAL-S
force	forcer	0.636	1.0	1	DUAL-A
position	position	0.510	1.0	1	DUAL-B
head	head	0.591	1.0	1	DUAL-B
head	tête	0.451	1.0	0	DUAL-B
head	têtes	0.451	1.0	0	DUAL-B
director	directeur	0.702	1.0	1	DUAL-A
director	directrice	0.684	1.0	1	DUAL-A
http	http	0.514	1.0	1	DUAL-B
canada	canada	0.523	1.0	1	DUAL-B
never	never	0.551	1.0	1	DUAL-B
australian	australienne	0.606	1.0	1	DUAL-A
australian	australiens	0.563	1.0	1	DUAL-B
australian	australien	0.563	1.0	1	DUAL-B
australian	australie	0.615	1.0	1	DUAL-A
george	georges	0.744	1.0	1	DUAL-A
george	george	0.744	1.0	1	DUAL-A
jpg	jpg	0.581	1.0	1	DUAL-B
society	société	0.489	1.0	0	DUAL-B
period	période	0.586	1.0	1	DUAL-B
round	ronde	0.655	1.0	1	DUAL-A
round	rond	0.546	1.0	1	DUAL-B
round	rondes	0.655	1.0	0	DUAL-A
round	ronds	0.546	1.0	1	DUAL-B
story	récit	0.513	1.0	0	DUAL-B
various	divers	0.570	1.0	0	DUAL-B
various	diverses	0.640	1.0	0	DUAL-A
file	fichier	0.459	1.0	0	DUAL-B
reason	raisons	0.557	1.0	1	DUAL-B
reason	raison	0.557	1.0	1	DUAL-B
america	amérique	0.471	1.0	0	DUAL-B
million	million	0.542	1.0	1	DUAL-B
million	millions	0.542	1.0	1	DUAL-B
european	européennes	0.490	1.0	0	DUAL-B
european	européenne	0.490	1.0	1	DUAL-B
term	terme	0.683	1.0	1	DUAL-A
six	six	0.657	1.0	1	DUAL-A
post	poste	0.760	1.0	1	DUAL-S
why	pourquoi	0.483	1.0	0	DUAL-B
why	why	0.591	1.0	1	DUAL-B
produced	produite	0.629	1.0	1	DUAL-A
produced	produites	0.629	1.0	0	DUAL-A
subject	objet	0.500	1.0	0	DUAL-B
subject	sujet	0.540	1.0	1	DUAL-B
total	totale	0.682	1.0	1	DUAL-A
total	total	0.682	1.0	1	DUAL-A
total	totaux	0.601	1.0	0	DUAL-A
david	david	0.620	1.0	1	DUAL-A
science	science	0.634	1.0	1	DUAL-A
science	scientifique	0.465	1.0	0	DUAL-B
science	sciences	0.634	1.0	1	DUAL-A
rock	rock	0.681	1.0	1	DUAL-A
led	led	0.591	1.0	1	DUAL-B
news	nouveautés	0.579	1.0	0	DUAL-B
news	nouvelles	0.586	1.0	0	DUAL-B
described	décrites	0.540	1.0	0	DUAL-B
described	décrits	0.546	1.0	0	DUAL-B
described	décrit	0.546	1.0	0	DUAL-B
described	décrite	0.540	1.0	0	DUAL-B
role	rôle	0.833	1.0	1	DUAL-S
election	élection	0.579	1.0	1	DUAL-B
election	election	0.579	1.0	1	DUAL-B
election	élections	0.579	1.0	1	DUAL-B
albums	albums	0.540	1.0	1	DUAL-B
present	présent	0.603	1.0	1	DUAL-A
present	présents	0.603	1.0	1	DUAL-A
present	présente	0.672	1.0	1	DUAL-A
present	présenter	0.578	1.0	1	DUAL-B
indian	indienne	0.540	1.0	0	DUAL-B
indian	indiens	0.463	1.0	1	DUAL-B
indian	indiennes	0.540	1.0	0	DUAL-B
indian	indien	0.463	1.0	1	DUAL-B
important	importante	0.566	1.0	1	DUAL-B
important	important	0.505	1.0	1	DUAL-B
important	importantes	0.566	1.0	1	DUAL-B
important	importants	0.505	1.0	1	DUAL-B
northern	nordique	0.636	1.0	0	DUAL-A
northern	northern	0.716	1.0	1	DUAL-A
northern	nord	0.746	1.0	0	DUAL-A
love	love	0.710	1.0	1	DUAL-A
canadian	canadiens	0.511	1.0	1	DUAL-B
canadian	canadienne	0.561	1.0	1	DUAL-B
canadian	canadien	0.511	1.0	1	DUAL-B
press	presse	1.000	1.0	1	DUAL-S
type	taper	0.655	1.0	0	DUAL-A
type	type	0.663	1.0	1	DUAL-A
type	tapez	0.655	1.0	0	DUAL-A
act	acte	0.730	1.0	1	DUAL-A
act	act	0.730	1.0	1	DUAL-A
editor	rédacteur	0.476	1.0	0	DUAL-B
editor	éditeur	0.519	1.0	0	DUAL-B
editor	editeur	0.519	1.0	1	DUAL-B
program	programme	0.720	1.0	1	DUAL-A
once	once	0.576	1.0	1	DUAL-B
social	sociale	0.663	1.0	1	DUAL-A
social	sociaux	0.571	1.0	1	DUAL-B
social	social	0.663	1.0	1	DUAL-A
production	production	0.539	1.0	1	DUAL-B
male	mâle	0.683	1.0	1	DUAL-A
male	masculin	0.464	1.0	0	DUAL-B
points	points	0.533	1.0	1	DUAL-B
similar	similaires	0.513	1.0	1	DUAL-B
similar	similaire	0.513	1.0	1	DUAL-B
similar	semblables	0.523	1.0	0	DUAL-B
similar	semblable	0.523	1.0	0	DUAL-B
professional	professionnels	0.635	1.0	1	DUAL-A
professional	professionnelle	0.635	1.0	1	DUAL-A
professional	professionnel	0.635	1.0	1	DUAL-A
professional	professionnelles	0.635	1.0	1	DUAL-A
say	say	0.618	1.0	1	DUAL-A
common	commune	0.565	1.0	1	DUAL-B
common	commun	0.525	1.0	1	DUAL-B
data	données	0.509	1.0	0	DUAL-B
color	couleur	0.503	1.0	0	DUAL-B
color	coloris	0.495	1.0	1	DUAL-B
color	couleurs	0.503	1.0	0	DUAL-B
better	meilleures	0.519	1.0	0	DUAL-B
better	meilleure	0.519	1.0	0	DUAL-B
better	meilleurs	0.519	1.0	0	DUAL-B
better	meilleur	0.519	1.0	0	DUAL-B
person	personne	0.618	1.0	1	DUAL-A
services	services	0.528	1.0	1	DUAL-B
museum	musées	0.506	1.0	0	DUAL-B
museum	musée	0.506	1.0	0	DUAL-B
battle	bataille	0.493	1.0	0	DUAL-B
sports	sport	0.633	1.0	1	DUAL-A
sports	sports	0.633	1.0	1	DUAL-A
hall	hall	0.591	1.0	1	DUAL-B
historic	historique	0.591	1.0	1	DUAL-B
historic	historiques	0.591	1.0	0	DUAL-B
date	date	0.683	1.0	1	DUAL-A
considered	considérée	0.488	1.0	0	DUAL-B
considered	considéré	0.488	1.0	0	DUAL-B
considered	considérées	0.488	1.0	0	DUAL-B
considered	considérés	0.488	1.0	0	DUAL-B
location	localisation	0.514	1.0	1	DUAL-B
location	localité	0.513	1.0	0	DUAL-B
location	lieu	0.465	1.0	0	DUAL-B
seems	semble	0.474	1.0	0	DUAL-B
must	moût	0.542	1.0	0	DUAL-B
yes	yes	0.591	1.0	1	DUAL-B
lost	lost	1.000	1.0	1	DUAL-S
review	revue	0.555	1.0	0	DUAL-B
review	révision	0.482	1.0	0	DUAL-B
together	together	0.673	1.0	1	DUAL-A
robert	robert	0.502	1.0	1	DUAL-B
japanese	japonaise	0.512	1.0	0	DUAL-B
japanese	japonaises	0.512	1.0	0	DUAL-B
groups	groupes	0.848	1.0	1	DUAL-S
content	contenu	0.489	1.0	1	DUAL-B
content	contenus	0.489	1.0	1	DUAL-B
isbn	isbn	0.464	1.0	1	DUAL-B
control	contrôler	0.647	1.0	1	DUAL-A
control	contrôle	0.741	1.0	1	DUAL-A
policy	politiques	0.491	1.0	0	DUAL-B
policy	politique	0.491	1.0	0	DUAL-B
modern	modernité	0.464	1.0	1	DUAL-B
modern	moderne	0.591	1.0	1	DUAL-B
modern	modernes	0.591	1.0	1	DUAL-B
human	humaine	0.541	1.0	1	DUAL-B
human	humains	0.458	1.0	1	DUAL-B
human	humain	0.458	1.0	1	DUAL-B
design	dessin	0.524	1.0	1	DUAL-B
design	design	0.725	1.0	1	DUAL-A
event	évènement	0.570	1.0	0	DUAL-B
events	évènements	0.560	1.0	0	DUAL-B
events	evenements	0.560	1.0	1	DUAL-B
available	disponible	0.457	1.0	0	DUAL-B
available	disponibles	0.457	1.0	0	DUAL-B
washington	washington	0.679	1.0	1	DUAL-A
real	réel	0.670	1.0	1	DUAL-A
real	réelle	0.670	1.0	0	DUAL-A
real	véritable	0.544	1.0	0	DUAL-B
personal	personnel	0.583	1.0	1	DUAL-B
personal	personnelle	0.583	1.0	0	DUAL-B
personal	personnelles	0.583	1.0	0	DUAL-B
personal	personnels	0.583	1.0	1	DUAL-B
space	espace	0.602	1.0	1	DUAL-A
star	star	0.793	1.0	1	DUAL-S
really	réellement	0.482	1.0	0	DUAL-B
possible	possible	0.570	1.0	1	DUAL-B
possible	possibles	0.570	1.0	1	DUAL-B
paul	paul	1.000	1.0	1	DUAL-S
taken	taken	0.725	1.0	1	DUAL-A
far	far	0.740	1.0	1	DUAL-A
minister	ministre	0.605	1.0	1	DUAL-A
lake	lac	0.683	1.0	0	DUAL-A
reported	rapporté	0.492	1.0	0	DUAL-B
popular	populaires	0.478	1.0	1	DUAL-B
popular	populaire	0.478	1.0	1	DUAL-B
married	mariées	0.537	1.0	0	DUAL-B
married	mariés	0.537	1.0	0	DUAL-B
married	mariée	0.537	1.0	1	DUAL-B
married	marié	0.537	1.0	0	DUAL-B
