a	b	type	w
fr:lords	en:lord	=cog	0.95
en:born	fr:bornes	≈snd	1.0
en:born	fr:borne	≈snd	1.0
en:born	fr:bonnes	≈snd	1.0
en:met	fr:mettent	≈snd	1.0
en:met	fr:mette	≈snd	1.0
en:super	fr:soupe	≈snd	1.0
en:daughter	fr:dort	≈snd	1.0
en:daughter	fr:dors	≈snd	1.0
en:sea	fr:sis	≈snd	1.0
en:sea	fr:si	≈snd	1.0
en:sea	fr:scie	≈snd	1.0
en:sleep	fr:slip	≈snd	1.0
en:ball	fr:bol	≈snd	1.0
en:piece	fr:pisse	≈snd	1.0
en:peace	fr:pisse	≈snd	1.0
en:beat	fr:bits	≈snd	1.0
en:beat	fr:bites	≈snd	1.0
en:beat	fr:bite	≈snd	1.0
en:pressure	fr:prêche	≈snd	1.0
en:cross	fr:crosse	≈snd	1.0
en:sort	fr:sortes	≈snd	1.0
en:sort	fr:sortes	=cog	0.95
fr:sortes	en:sort	=cog	0.95
en:sort	fr:sortent	≈snd	1.0
en:sort	fr:sorte	≈snd	1.0
en:sort	fr:sorte	=cog	0.95
fr:sorte	en:sort	=cog	0.95
en:fair	fr:fers	≈snd	1.0
en:fair	fr:fer	≈snd	1.0
en:fair	fr:faire	≈snd	1.0
en:sell	fr:sels	≈snd	1.0
en:sell	fr:selles	≈snd	1.0
en:sell	fr:selle	≈snd	1.0
en:scene	fr:seine	≈snd	1.0
en:rule	fr:roulent	≈snd	1.0
en:rule	fr:roule	≈snd	1.0
en:bought	fr:bottes	≈snd	1.0
en:bought	fr:botte	≈snd	1.0
en:caught	fr:quote	≈snd	1.0
en:caught	fr:cotes	≈snd	1.0
en:caught	fr:cote	≈snd	1.0
en:peter	fr:pires	≈snd	1.0
en:peter	fr:pire	≈snd	1.0
en:cell	fr:sels	≈snd	1.0
en:cell	fr:selles	≈snd	1.0
en:cell	fr:selle	≈snd	1.0
en:truly	fr:trous lies	≈snd	1.0
en:tree	fr:tri	≈snd	1.0
en:vs	fr:vies ès	≈snd	1.0
en:fresh	fr:fraîches	≈snd	1.0
en:fresh	fr:fraîches	=cog	0.95
fr:fraîches	en:fresh	=cog	0.95
en:fresh	fr:fraîche	≈snd	1.0
en:fresh	fr:fraîche	=cog	0.95
fr:fraîche	en:fresh	=cog	0.95
en:seat	fr:sites	≈snd	1.0
en:seat	fr:site	≈snd	1.0
en:seat	fr:citent	≈snd	1.0
en:bet	fr:bêtes	≈snd	1.0
en:bet	fr:bête	≈snd	1.0
en:ed	fr:aides	≈snd	1.0
en:ed	fr:aident	≈snd	1.0
en:ed	fr:aide	≈snd	1.0
en:nor	fr:nord	≈snd	1.0
en:prove	fr:prouvent	≈snd	1.0
en:prove	fr:prouve	≈snd	1.0
en:prove	fr:prouve	=cog	0.95
fr:prouve	en:prove	=cog	0.95
en:boss	fr:bosses	≈snd	1.0
en:boss	fr:bossent	≈snd	1.0
en:boss	fr:bosse	≈snd	1.0
en:net	fr:nettes	≈snd	1.0
en:net	fr:nette	≈snd	1.0
en:net	fr:nets	≈snd	1.0
en:net	fr:nets	=cog	0.95
fr:nets	en:net	=cog	0.95
en:corner	fr:cornes	≈snd	1.0
en:corner	fr:corne	≈snd	1.0
en:lee	fr:lits	≈snd	1.0
en:lee	fr:lit	≈snd	1.0
en:lee	fr:lis	≈snd	1.0
en:port	fr:potes	≈snd	1.0
en:port	fr:pote	≈snd	1.0
en:sport	fr:spots	≈snd	1.0
en:sport	fr:spot	≈snd	1.0
en:stress	fr:stresse	≈snd	1.0
en:tea	fr:tee	≈snd	1.0
en:pair	fr:pères	≈snd	1.0
en:pair	fr:père	≈snd	1.0
en:pair	fr:pers	≈snd	1.0
en:steel	fr:styles	≈snd	1.0
en:steel	fr:style	≈snd	1.0
en:enemy	fr:ennemies	≈snd	1.0
en:enemy	fr:ennemies	=cog	0.95
fr:ennemies	en:enemy	=cog	0.95
en:debt	fr:dettes	≈snd	1.0
en:debt	fr:dettes	=cog	0.95
fr:dettes	en:debt	=cog	0.95
en:debt	fr:dette	≈snd	1.0
en:debt	fr:dette	=cog	0.95
fr:dette	en:debt	=cog	0.95
en:supreme	fr:soupe rimes	≈snd	1.0
en:express	fr:expresse	≈snd	1.0
en:express	fr:expresse	=cog	0.95
fr:expresse	en:express	=cog	0.95
en:entry	fr:haines tri	≈snd	1.0
en:ms	fr:aiment ès	≈snd	1.0
en:pool	fr:poules	≈snd	1.0
en:pool	fr:poule	≈snd	1.0
en:route	fr:routes	≈snd	1.0
en:route	fr:routes	=cog	0.95
fr:routes	en:route	=cog	0.95
en:leg	fr:legs	≈snd	1.0
en:sector	fr:sectes	≈snd	1.0
en:sector	fr:secte	≈snd	1.0
en:mm	fr:aiment aimes	≈snd	1.0
en:meat	fr:mythes	≈snd	1.0
en:meat	fr:mythe	≈snd	1.0
en:cream	fr:crimes	≈snd	1.0
en:cream	fr:crime	≈snd	1.0
en:seek	fr:sic	≈snd	1.0
en:bell	fr:belles	≈snd	1.0
en:bell	fr:belle	≈snd	1.0
en:bell	fr:bel	≈snd	1.0
en:sees	fr:six	≈snd	1.0
en:em	fr:aimes	≈snd	1.0
en:em	fr:aiment	≈snd	1.0
en:em	fr:aime	≈snd	1.0
en:mess	fr:messes	≈snd	1.0
en:mess	fr:messe	≈snd	1.0
en:arrest	fr:restes	≈snd	1.0
en:arrest	fr:restent	≈snd	1.0
en:arrest	fr:reste	≈snd	1.0
en:error	fr:ère	≈snd	1.0
en:error	fr:airs	≈snd	1.0
en:error	fr:aires	≈snd	1.0
en:peak	fr:piques	≈snd	1.0
en:peak	fr:pique	≈snd	1.0
en:peak	fr:pics	≈snd	1.0
en:peak	fr:pics	=cog	0.95
fr:pics	en:peak	=cog	0.95
en:fee	fr:fit	≈snd	1.0
en:fee	fr:fis	≈snd	1.0
en:fee	fr:fie	≈snd	1.0
en:smell	fr:semelle	≈snd	1.0
en:meal	fr:milles	≈snd	1.0
en:meal	fr:mille	≈snd	1.0
en:meal	fr:mil	≈snd	1.0
en:technique	fr:techniques	≈snd	1.0
en:technique	fr:techniques	=cog	0.95
fr:techniques	en:technique	=cog	0.95
en:fort	fr:fortes	≈snd	1.0
en:fort	fr:forte	≈snd	1.0
en:pet	fr:pète	≈snd	1.0
en:deeply	fr:dits pli	≈snd	1.0
en:sexy	fr:secs sis	≈snd	1.0
en:root	fr:routes	≈snd	1.0
en:root	fr:route	≈snd	1.0
en:steal	fr:styles	≈snd	1.0
en:steal	fr:style	≈snd	1.0
en:recall	fr:rient collent	≈snd	1.0
en:pen	fr:peines	≈snd	1.0
en:pen	fr:peine	≈snd	1.0
en:pp	fr:pipi	≈snd	1.0
en:gene	fr:jean	≈snd	1.0
en:gene	fr:gin	≈snd	1.0
en:ought	fr:hot	≈snd	1.0
en:blues	fr:blouse	≈snd	1.0
en:reader	fr:rides	≈snd	1.0
en:reader	fr:ride	≈snd	1.0
en:boom	fr:boum	≈snd	1.0
en:boom	fr:boum	=cog	0.95
fr:boum	en:boom	=cog	0.95
en:knee	fr:nient	≈snd	1.0
en:knee	fr:nie	≈snd	1.0
en:knee	fr:nids	≈snd	1.0
en:eve	fr:ive	≈snd	1.0
en:dare	fr:der	≈snd	1.0
en:sec	fr:secs	≈snd	1.0
en:sec	fr:secs	=cog	0.95
fr:secs	en:sec	=cog	0.95
en:seal	fr:sil	≈snd	1.0
en:seal	fr:cils	≈snd	1.0
en:fool	fr:full	≈snd	1.0
en:fool	fr:foules	≈snd	1.0
en:fool	fr:foule	≈snd	1.0
en:jet	fr:jets	≈snd	1.0
en:jet	fr:jets	=cog	0.95
fr:jets	en:jet	=cog	0.95
en:loop	fr:loupe	≈snd	1.0
en:mall	fr:molle	≈snd	1.0
en:cm	fr:sis aiment	≈snd	1.0
en:corps	fr:cor	≈snd	1.0
en:dawn	fr:donnes	≈snd	1.0
en:dawn	fr:donnent	≈snd	1.0
en:dawn	fr:donne	≈snd	1.0
en:cooper	fr:coupes	≈snd	1.0
en:cooper	fr:coupent	≈snd	1.0
en:cooper	fr:coupe	≈snd	1.0
en:terror	fr:terres	≈snd	1.0
en:terror	fr:terre	≈snd	1.0
en:terror	fr:ter	≈snd	1.0
en:shoe	fr:choux	≈snd	1.0
en:shoe	fr:chou	≈snd	1.0
en:terry	fr:tait rient	≈snd	1.0
en:chef	fr:chefs	≈snd	1.0
en:chef	fr:chefs	=cog	0.95
fr:chefs	en:chef	=cog	0.95
en:sue	fr:sous	≈snd	1.0
en:sue	fr:sou	≈snd	1.0
en:sue	fr:saoul	≈snd	1.0
en:excess	fr:ex ès	≈snd	1.0
en:flesh	fr:flèches	≈snd	1.0
en:flesh	fr:flèche	≈snd	1.0
en:corn	fr:cornes	≈snd	1.0
en:corn	fr:corne	≈snd	1.0
en:corn	fr:conne	≈snd	1.0
en:clue	fr:clous	≈snd	1.0
en:clue	fr:clou	≈snd	1.0
en:bless	fr:blesse	≈snd	1.0
en:lease	fr:lys	≈snd	1.0
en:lease	fr:lisses	≈snd	1.0
en:lease	fr:lisse	≈snd	1.0
en:flew	fr:floue	≈snd	1.0
en:flew	fr:flou	≈snd	1.0
en:cc	fr:sis scie	≈snd	1.0
en:soup	fr:soupe	≈snd	1.0
en:soup	fr:soupe	=cog	0.95
fr:soupe	en:soup	=cog	0.95
en:lesser	fr:laisses	≈snd	1.0
en:lesser	fr:laissent	≈snd	1.0
en:lesser	fr:laisse	≈snd	1.0
en:ski	fr:skis	≈snd	1.0
en:ski	fr:skis	=cog	0.95
fr:skis	en:ski	=cog	0.95
en:rev	fr:rêves	≈snd	1.0
en:rev	fr:rêvent	≈snd	1.0
en:rev	fr:rêve	≈snd	1.0
en:freeze	fr:frise	≈snd	1.0
en:belly	fr:bey lies	≈snd	1.0
en:poorly	fr:polis	≈snd	1.0
en:poorly	fr:polie	≈snd	1.0
en:poorly	fr:poli	≈snd	1.0
en:bee	fr:bis	≈snd	1.0
en:meter	fr:mirent	≈snd	1.0
en:meter	fr:mire	≈snd	1.0
en:breed	fr:bride	≈snd	1.0
en:fairy	fr:ferry	≈snd	1.0
en:freak	fr:fric	≈snd	1.0
en:grief	fr:griffes	≈snd	1.0
en:grief	fr:griffe	≈snd	1.0
en:torn	fr:tonnes	≈snd	1.0
en:torn	fr:tonne	≈snd	1.0
en:penny	fr:paies nient	≈snd	1.0
en:reed	fr:rides	≈snd	1.0
en:reed	fr:ride	≈snd	1.0
en:buyer	fr:bye	≈snd	1.0
en:cease	fr:six	≈snd	1.0
en:fork	fr:phoques	≈snd	1.0
en:fork	fr:phoque	≈snd	1.0
en:suited	fr:sourde	≈snd	1.0
en:ferry	fr:faits rient	≈snd	1.0
en:seller	fr:sels	≈snd	1.0
en:seller	fr:selles	≈snd	1.0
en:seller	fr:selle	≈snd	1.0
en:coup	fr:coupes	≈snd	1.0
en:coup	fr:coupent	≈snd	1.0
en:coup	fr:coupe	≈snd	1.0
en:escort	fr:escorte	≈snd	1.0
en:escort	fr:escorte	=cog	0.95
fr:escorte	en:escort	=cog	0.95
en:cord	fr:codes	≈snd	1.0
en:cord	fr:code	≈snd	1.0
en:ruby	fr:roux bis	≈snd	1.0
en:berry	fr:bey rient	≈snd	1.0
en:bees	fr:bises	≈snd	1.0
en:bees	fr:bise	≈snd	1.0
en:cooler	fr:coulent	≈snd	1.0
en:cooler	fr:coule	≈snd	1.0
en:flu	fr:floue	≈snd	1.0
en:flu	fr:flou	≈snd	1.0
en:pee	fr:pis	≈snd	1.0
en:pee	fr:pie	≈snd	1.0
en:pee	fr:pi	≈snd	1.0
en:plea	fr:plis	≈snd	1.0
en:plea	fr:plie	≈snd	1.0
en:plea	fr:pli	≈snd	1.0
en:fare	fr:fers	≈snd	1.0
en:fare	fr:fer	≈snd	1.0
en:fare	fr:faire	≈snd	1.0
en:newer	fr:nous	≈snd	1.0
en:lb	fr:aile bis	≈snd	1.0
en:norm	fr:normes	≈snd	1.0
en:norm	fr:normes	=cog	0.95
fr:normes	en:norm	=cog	0.95
en:norm	fr:norme	≈snd	1.0
en:norm	fr:norme	=cog	0.95
fr:norme	en:norm	=cog	0.95
en:norm	fr:nomment	≈snd	1.0
en:seas	fr:six	≈snd	1.0
en:boo	fr:bouts	≈snd	1.0
en:boo	fr:bout	≈snd	1.0
en:boo	fr:boues	≈snd	1.0
en:cs	fr:sis ès	≈snd	1.0
en:esteem	fr:estiment	≈snd	1.0
en:esteem	fr:estime	≈snd	1.0
en:esteem	fr:estime	=cog	0.95
fr:estime	en:esteem	=cog	0.95
en:sued	fr:soude	≈snd	1.0
en:tel	fr:tels	≈snd	1.0
en:tel	fr:tels	=cog	0.95
fr:tels	en:tel	=cog	0.95
en:tel	fr:telles	≈snd	1.0
en:tel	fr:telle	≈snd	1.0
en:vault	fr:volts	≈snd	1.0
en:aye	fr:eye	≈snd	1.0
en:bury	fr:bey rient	≈snd	1.0
en:heir	fr:ère	≈snd	1.0
en:heir	fr:airs	≈snd	1.0
en:heir	fr:aires	≈snd	1.0
en:pl	fr:pie aile	≈snd	1.0
en:messy	fr:mets sis	≈snd	1.0
en:wee	fr:ouïe	≈snd	1.0
en:wee	fr:oui	≈snd	1.0
en:breeze	fr:brise	≈snd	1.0
en:breeze	fr:brise	=cog	0.95
fr:brise	en:breeze	=cog	0.95
en:levy	fr:lez vies	≈snd	1.0
en:niche	fr:niches	≈snd	1.0
en:niche	fr:niches	=cog	0.95
fr:niches	en:niche	=cog	0.95
en:envy	fr:haines vies	≈snd	1.0
en:ml	fr:aiment aile	≈snd	1.0
en:ruler	fr:roulent	≈snd	1.0
en:ruler	fr:roule	≈snd	1.0
en:merry	fr:mets rient	≈snd	1.0
en:ea	fr:hi	≈snd	1.0
en:peel	fr:piles	≈snd	1.0
en:peel	fr:pile	≈snd	1.0
en:seize	fr:six	≈snd	1.0
en:belle	fr:belles	≈snd	1.0
en:belle	fr:belles	=cog	0.95
fr:belles	en:belle	=cog	0.95
en:belle	fr:bel	≈snd	1.0
en:paired	fr:perdent	≈snd	1.0
en:paired	fr:perde	≈snd	1.0
en:liner	fr:line	≈snd	1.0
en:mesh	fr:mèches	≈snd	1.0
en:mesh	fr:mèche	≈snd	1.0
en:prestige	fr:presse tiges	≈snd	1.0
en:selfie	fr:selles fis	≈snd	1.0
en:excel	fr:ex aile	≈snd	1.0
en:rumor	fr:room	≈snd	1.0
en:vest	fr:vestes	≈snd	1.0
en:vest	fr:veste	≈snd	1.0
en:yen	fr:yens	≈snd	1.0
en:yen	fr:yens	=cog	0.95
fr:yens	en:yen	=cog	0.95
en:beck	fr:bec	≈snd	1.0
en:cork	fr:coques	≈snd	1.0
en:cork	fr:coque	≈snd	1.0
en:cork	fr:coq	≈snd	1.0
en:ls	fr:aile ès	≈snd	1.0
en:moody	fr:mous dits	≈snd	1.0
en:pd	fr:pie dits	≈snd	1.0
en:peek	fr:piques	≈snd	1.0
en:peek	fr:pique	≈snd	1.0
en:peek	fr:pics	≈snd	1.0
en:mu	fr:mous	≈snd	1.0
en:mu	fr:mou	≈snd	1.0
en:troop	fr:troupes	≈snd	1.0
en:troop	fr:troupes	=cog	0.95
fr:troupes	en:troop	=cog	0.95
en:troop	fr:troupe	≈snd	1.0
en:troop	fr:troupe	=cog	0.95
fr:troupe	en:troop	=cog	0.95
en:dd	fr:dits dis	≈snd	1.0
en:sushi	fr:saoul chie	≈snd	1.0
en:borne	fr:bonnes	≈snd	1.0
en:borne	fr:bonne	≈snd	1.0
en:tutor	fr:tours	≈snd	1.0
en:tutor	fr:tour	≈snd	1.0
en:freezer	fr:frise	≈snd	1.0
en:poop	fr:poupe	≈snd	1.0
en:rouge	fr:rouges	≈snd	1.0
en:rouge	fr:rouges	=cog	0.95
fr:rouges	en:rouge	=cog	0.95
en:wed	fr:oued	≈snd	1.0
en:awed	fr:ode	≈snd	1.0
en:awed	fr:odes	≈snd	1.0
en:beck	fr:becs	≈snd	1.0
en:bawdy	fr:body	≈snd	1.0
en:bead	fr:bide	≈snd	1.0
en:bead	fr:bides	≈snd	1.0
en:beak	fr:bic	≈snd	1.0
en:beak	fr:bique	≈snd	1.0
en:beak	fr:biques	≈snd	1.0
en:bean	fr:bine	≈snd	1.0
en:bean	fr:binent	≈snd	1.0
en:bean	fr:bines	≈snd	1.0
en:beat	fr:bit	≈snd	1.0
en:beat	fr:bitte	≈snd	1.0
en:beat	fr:bittent	≈snd	1.0
en:beat	fr:bittes	≈snd	1.0
en:beet	fr:bit	≈snd	1.0
en:beet	fr:bite	≈snd	1.0
en:beet	fr:bites	≈snd	1.0
en:beet	fr:bits	≈snd	1.0
en:beet	fr:bitte	≈snd	1.0
en:beet	fr:bittent	≈snd	1.0
en:beet	fr:bittes	≈snd	1.0
en:beef	fr:biffe	≈snd	1.0
en:beef	fr:biffent	≈snd	1.0
en:beef	fr:biffes	≈snd	1.0
en:beep	fr:bip	≈snd	1.0
en:beep	fr:bip	=cog	0.95
fr:bip	en:beep	=cog	0.95
en:ben	fr:benne	≈snd	1.0
en:ben	fr:bennes	≈snd	1.0
en:bet	fr:bette	≈snd	1.0
en:bet	fr:bettes	≈snd	1.0
en:boo	fr:boue	≈snd	1.0
en:booed	fr:boude	≈snd	1.0
en:booed	fr:boudent	≈snd	1.0
en:booed	fr:boudes	≈snd	1.0
en:boom	fr:booms	≈snd	1.0
en:boom	fr:booms	=cog	0.95
fr:booms	en:boom	=cog	0.95
en:boom	fr:boume	≈snd	1.0
en:boom	fr:boument	≈snd	1.0
en:boom	fr:boumes	≈snd	1.0
en:boos	fr:bouse	≈snd	1.0
en:boos	fr:bouses	≈snd	1.0
en:booze	fr:bouse	≈snd	1.0
en:booze	fr:bouses	≈snd	1.0
en:bootie	fr:boutis	≈snd	1.0
en:booty	fr:boutis	≈snd	1.0
en:boutique	fr:boutiques	≈snd	1.0
en:boutique	fr:boutiques	=cog	0.95
fr:boutiques	en:boutique	=cog	0.95
en:sea	fr:ci	≈snd	1.0
en:sea	fr:scient	≈snd	1.0
en:sea	fr:scies	≈snd	1.0
en:see	fr:ci	≈snd	1.0
en:see	fr:scient	≈snd	1.0
en:see	fr:scies	≈snd	1.0
en:si	fr:ci	≈snd	1.0
en:si	fr:scie	≈snd	1.0
en:si	fr:scient	≈snd	1.0
en:si	fr:scies	≈snd	1.0
en:si	fr:sis	≈snd	1.0
en:seas	fr:sise	≈snd	1.0
en:seas	fr:sises	≈snd	1.0
en:sees	fr:sise	≈snd	1.0
en:sees	fr:sises	≈snd	1.0
en:seize	fr:sise	≈snd	1.0
en:seize	fr:sises	≈snd	1.0
en:cede	fr:cid	≈snd	1.0
en:seed	fr:cid	≈snd	1.0
en:chemise	fr:chemisent	≈snd	1.0
en:chemise	fr:chemises	≈snd	1.0
en:chic	fr:chics	≈snd	1.0
en:chic	fr:chics	=cog	0.95
fr:chics	en:chic	=cog	0.95
en:chic	fr:chique	≈snd	1.0
en:chic	fr:chiquent	≈snd	1.0
en:chic	fr:chiques	≈snd	1.0
en:chute	fr:choute	≈snd	1.0
en:chute	fr:choutes	≈snd	1.0
en:chute	fr:shoot	≈snd	1.0
en:chute	fr:shoote	≈snd	1.0
en:chute	fr:shootent	≈snd	1.0
en:chute	fr:shootes	≈snd	1.0
en:chute	fr:shoots	≈snd	1.0
en:shoot	fr:choute	≈snd	1.0
en:shoot	fr:choutes	≈snd	1.0
en:shoot	fr:shoote	≈snd	1.0
en:shoot	fr:shootent	≈snd	1.0
en:shoot	fr:shootes	≈snd	1.0
en:shoot	fr:shoots	≈snd	1.0
en:shoot	fr:shoots	=cog	0.95
fr:shoots	en:shoot	=cog	0.95
en:sheen	fr:chine	≈snd	1.0
en:sheen	fr:chinent	≈snd	1.0
en:sheen	fr:chines	≈snd	1.0
en:coo	fr:cou	≈snd	1.0
en:coo	fr:coud	≈snd	1.0
en:coo	fr:couds	≈snd	1.0
en:coo	fr:coup	≈snd	1.0
en:coo	fr:coups	≈snd	1.0
en:coo	fr:cous	≈snd	1.0
en:cooed	fr:coude	≈snd	1.0
en:cooed	fr:coudent	≈snd	1.0
en:cooed	fr:coudes	≈snd	1.0
en:coupe	fr:coupent	≈snd	1.0
en:coupe	fr:coupes	≈snd	1.0
en:coupe	fr:coupes	=cog	0.95
fr:coupes	en:coupe	=cog	0.95
en:kooky	fr:cookie	≈snd	1.0
en:dawn	fr:don	≈snd	1.0
en:do	fr:doue	≈snd	1.0
en:do	fr:douent	≈snd	1.0
en:do	fr:doues	≈snd	1.0
en:douche	fr:douchent	≈snd	1.0
en:douche	fr:douches	≈snd	1.0
en:eave	fr:ive	≈snd	1.0
en:eave	fr:ives	≈snd	1.0
en:eve	fr:ives	≈snd	1.0
en:en	fr:aine	≈snd	1.0
en:en	fr:aines	≈snd	1.0
en:fawn	fr:phone	≈snd	1.0
en:fawn	fr:phones	≈snd	1.0
en:fee	fr:fi	≈snd	1.0
en:fee	fr:fient	≈snd	1.0
en:fee	fr:fies	≈snd	1.0
en:fee	fr:phi	≈snd	1.0
en:fess	fr:fesse	≈snd	1.0
en:fess	fr:fessent	≈snd	1.0
en:fess	fr:fesses	≈snd	1.0
en:gean	fr:djinn	≈snd	1.0
en:gean	fr:djinns	≈snd	1.0
en:gean	fr:gin	≈snd	1.0
en:gean	fr:gins	≈snd	1.0
en:gean	fr:jean	≈snd	1.0
en:gene	fr:djinn	≈snd	1.0
en:gene	fr:djinns	≈snd	1.0
en:gene	fr:gins	≈snd	1.0
en:jean	fr:djinn	≈snd	1.0
en:jean	fr:djinns	≈snd	1.0
en:jean	fr:gin	≈snd	1.0
en:jean	fr:gins	≈snd	1.0
en:nu	fr:noue	≈snd	1.0
en:nu	fr:nouent	≈snd	1.0
en:nu	fr:noues	≈snd	1.0
en:nu	fr:nous	≈snd	1.0
en:shoo	fr:chou	≈snd	1.0
en:shoo	fr:choux	≈snd	1.0
en:kea	fr:qui	≈snd	1.0
en:keck	fr:cake	≈snd	1.0
en:keck	fr:cakes	≈snd	1.0
en:kiwi	fr:kiwis	≈snd	1.0
en:kiwi	fr:kiwis	=cog	0.95
fr:kiwis	en:kiwi	=cog	0.95
en:knee	fr:ni	≈snd	1.0
en:knee	fr:nid	≈snd	1.0
en:knee	fr:nies	≈snd	1.0
en:kook	fr:couque	≈snd	1.0
en:me	fr:mi	≈snd	1.0
en:me	fr:mies	≈snd	1.0
en:mean	fr:minent	≈snd	1.0
