seed	hops	quality	loop
exit art	4	0.899	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide ~ en:exiting
expertise	5	0.884	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ en:expert
expertise	5	0.884	en:expertise ~ fr:expertises ≈ en:expenses ~ en:expense ≈ fr:experts ~ fr:expert
explain	5	0.881	en:explain ~ en:explained ≈ fr:explosent ~ fr:explose ≈ en:explains ~ en:explaining
explain	5	0.881	en:explain ~ en:explained ≈ fr:explosent ~ fr:explose ≈ en:explains = fr:explique
explained	4	0.872	en:explained ~ en:explains ≈ fr:explose ~ fr:explosent ≈ en:explain
explained	4	0.869	en:explained ~ en:explain ≈ fr:explosent ~ fr:explose ≈ en:explains
explode	5	0.903	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:exploser
explode	5	0.896	en:explode ~ fr:explose ≈ en:explore ~ en:explored ≈ fr:explosent ~ fr:explosé
exploration	5	0.925	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:exploré = en:explored
exploration	5	0.924	en:exploration ~ en:exploring ≈ fr:explorer ~ en:explorer ≈ fr:explore = en:explores
explore	4	0.930	en:explore ~ fr:explore ≈ en:explorer ~ fr:explorer ≈ en:exploring
explore	4	0.917	en:explore ~ fr:explore ≈ en:explorer = fr:explorer ≈ en:exploring
explored	4	0.918	en:explored = fr:exploré ≈ en:explorer ~ fr:explorer ≈ en:exploring
explored	4	0.904	en:explored ~ en:exploring ≈ fr:explore ~ en:explore ≈ fr:exploré
explorer	3	0.890	en:explorer ≈ fr:exploré = en:explored ≈ fr:explore
explorer	3	0.870	en:explorer ≈ fr:explore ~ en:exploring ≈ fr:explorer
exploring	5	0.904	en:exploring ~ en:explored ≈ fr:explosent ~ fr:explose ≈ en:explore = fr:explorer
exploring	5	0.901	en:exploring ~ en:explored ≈ fr:explosent ~ fr:explose ≈ en:explore ~ en:explores
exports	5	0.913	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export ~ fr:exportés
exports	5	0.910	en:exports ~ fr:exporte ≈ en:expert ~ fr:experte ≈ en:export = fr:exportations
expressing	3	0.915	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:expressed
expressing	4	0.936	en:expressing ≈ fr:exprès in ~ fr:exprès ≈ en:express = fr:exprimer
expression	4	0.899	en:expression ~ fr:expressions ≈ en:express = fr:expresse ≈ en:expressing
expression	4	0.897	en:expression ~ fr:expressions ≈ en:express ~ fr:expresse ≈ en:expressing
extend	4	0.942	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extend	4	0.931	en:extend ~ en:extended ≈ fr:axent haines aide ~ fr:axent haines in ≈ en:extending
extending	3	0.931	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extending	4	0.937	en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended ~ en:extends
extensively	3	0.911	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
extensively	4	0.933	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive ~ fr:extensive
fall	3	0.920	en:fall ≈ fr:folles ~ fr:folle ≈ en:falls
fall	3	0.920	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
fastest	3	0.886	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
fastest	4	0.885	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster ~ fr:faste
feel	3	0.906	en:feel ≈ fr:file ~ fr:files ≈ en:feels
feel	4	0.954	en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feels
feeler	3	0.982	en:feeler ≈ fr:filer ~ fr:files ≈ en:feel
feeler	3	0.909	en:feeler ≈ fr:filer ~ fr:files ≈ en:feels
feels	5	0.970	en:feels ~ en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ en:feltre
feels	5	0.956	en:feels ~ en:feel ≈ fr:files ~ fr:filer ≈ en:feeler ~ fr:ressentir
fell	5	0.944	en:fell ~ en:falls ≈ fr:folles ~ fr:folle ≈ en:fall ~ fr:fall
fell	5	0.934	en:fell ~ en:falls ≈ fr:folles ~ fr:folle ≈ en:fall = fr:fall
felt	4	0.921	en:felt ~ en:feel ≈ fr:file ~ fr:files ≈ en:feels
felt	4	0.920	en:felt ~ en:feels ≈ fr:file ~ fr:files ≈ en:feel
fleet	5	0.915	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes = en:fleets
fleet	5	0.908	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes ~ en:flota
flues	6	0.942	en:flues ≈ fr:flouze ~ fr:flou ≈ en:flu = fr:grippe ≈ en:creep = fr:fluage
fool	3	0.902	en:fool ≈ fr:foules ~ fr:foule ≈ en:fools
fool	3	0.902	en:fool ≈ fr:foule ~ fr:foules ≈ en:fools
fools	5	0.929	en:fools ~ en:fool ≈ fr:full ~ en:full ≈ fr:folles ~ fr:imbéciles
footballer	3	0.963	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
footballer	4	0.952	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football ~ fr:voetbal
foresaw	4	0.915	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresaw	4	0.906	en:foresaw ~ en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee
foresee	3	0.939	en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresee	4	0.917	en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees ~ en:foreseeable
foresees	3	0.939	en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee
foresees	4	0.919	en:foresees ≈ fr:fonceuse ~ fr:foncé ≈ en:foresee ~ en:foretold
fortunate	4	0.941	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ en:fortunato
fortunate	4	0.941	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
fortunately	3	0.961	en:fortunately ≈ fr:faut chenet lis ~ fr:faut chaînette ≈ en:fortunate
fortunately	4	0.963	en:fortunately ≈ fr:faut chenet lis ~ fr:faut chaînette ≈ en:fortunate ~ fr:fortunato
founded	4	0.887	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founded	5	0.899	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding = fr:fondatrice
founders	3	0.880	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founders	4	0.901	en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding ~ en:founded
friendship	3	0.940	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
friendship	4	0.954	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships ~ fr:amitiés
gene	4	0.905	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
gene	4	0.905	en:gene ≈ fr:gin ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genes	5	0.922	en:genes ~ en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genes	5	0.921	en:genes ~ en:gene ≈ fr:gin ~ fr:gin dôme ≈ en:genome ~ fr:gènes
gin	4	0.943	en:gin ~ fr:gins ≈ en:gene ~ en:genes ≈ fr:gin
gin	5	0.945	en:gin ~ fr:gins ≈ en:gene ~ en:genes ≈ fr:gin ~ fr:gin dôme
glue	5	0.925	en:glue = fr:colle ≈ en:call ~ en:calls ≈ fr:collent ~ fr:colles
glue	5	0.925	en:glue = fr:colle ≈ en:calls ~ en:call ≈ fr:collent ~ fr:colles
gray	4	0.879	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
gray	4	0.879	en:gray = fr:gris ≈ en:agree ~ en:agrees ≈ fr:grise
grey	4	0.879	en:grey = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
grey	4	0.879	en:grey = fr:gris ≈ en:agree ~ en:agrees ≈ fr:grise
grip	5	0.836	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
grip	5	0.831	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:grips
grippe	5	0.852	en:grippe ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
grippe	5	0.846	en:grippe ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:grips
group	3	0.936	en:group ≈ fr:groupes ~ en:groups ≈ fr:groupe
group	3	0.936	en:group ≈ fr:groupes ~ en:groups ≈ fr:group
himself	3	0.935	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
himself	4	0.913	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
installed	3	0.923	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
installed	4	0.936	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install ~ fr:installe
jean	3	0.928	en:jean ≈ fr:gin ~ en:gin ≈ fr:jean
jean	3	0.916	en:jean ≈ fr:gins ~ en:gin ≈ fr:jean
jinn	5	0.952	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean ~ en:jean ≈ fr:djinns
jinn	5	0.942	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean = en:jean ≈ fr:djinns
kindness	4	0.911	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
kindness	4	0.901	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly ~ fr:gentiment
kopje	4	0.912	en:kopje ≈ fr:copie ~ fr:copies ≈ en:copy = fr:exemplaire
leg	4	0.959	en:leg ≈ fr:legs ~ en:kaki ≈ fr:kaki ~ fr:noga
leg	4	0.959	en:leg ≈ fr:legs ~ en:kaki ≈ fr:kaki ~ en:noga
lend	5	0.943	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lend	5	0.936	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders ~ fr:prêteurs
lender	3	0.953	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders
lender	4	0.952	en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lenders	3	0.953	en:lenders ≈ fr:lin dos ~ fr:lin des ≈ en:lender
lenders	4	0.952	en:lenders ≈ fr:lin dos ~ fr:lin des ≈ en:lender = fr:prêteurs
lending	5	0.914	en:lending ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders ~ en:lend
less	4	0.971	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser = fr:moindre
letters	5	0.879	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
letters	6	0.893	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres ~ en:letras
lord	3	0.941	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
lord	3	0.924	en:lord ≈ fr:lords = en:lords ≈ fr:lord
lording	4	0.943	en:lording ~ fr:lords ≈ en:lord ~ fr:lord ≈ en:lords
lording	4	0.931	en:lording ~ fr:lords ≈ en:lord = fr:lord ≈ en:lords
masque	3	0.904	en:masque ≈ fr:masque = en:mask ≈ fr:masques
masses	4	0.885	en:masses ~ fr:masses ≈ en:mouse ~ en:mice ≈ fr:masse
masses	4	0.877	en:masses ~ fr:masse ≈ en:mouse ~ en:mice ≈ fr:masses
meanie	3	0.988	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
meanie	4	0.974	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany ~ fr:meher
meany	3	0.988	en:meany ≈ fr:minis ~ fr:mini ≈ en:meanie
meany	4	0.971	en:meany ≈ fr:minis ~ fr:mini ≈ en:meanie ~ en:mey
meet	3	0.904	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meet	4	0.909	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets ~ fr:rencontres
meet eek	4	0.858	en:meet eek ~ en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meet eek	4	0.854	en:meet eek ~ en:meets ≈ fr:mythe ~ fr:mythes ≈ en:meet
meetly	5	0.890	en:meetly ~ en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets ~ fr:rencontrez
mini	4	0.983	en:mini ~ fr:mini ≈ en:meanie ~ en:meany ≈ fr:minis
mini	4	0.974	en:mini ~ fr:minis ≈ en:meany ~ en:meanie ≈ fr:mini
myself	3	0.938	en:myself ≈ fr:mas elfes ~ fr:ions elfes ≈ en:yourself
myself	4	0.928	en:myself ≈ fr:mas elfes ~ fr:ions elfes ≈ en:yourself ~ fr:seba
net	3	0.927	en:net ≈ fr:nets ~ en:nets ≈ fr:net
net	4	0.923	en:net ≈ fr:nets ~ en:nets ≈ fr:net ~ fr:internaute
northwestern	4	0.918	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
northwestern	5	0.935	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest ~ fr:northwest
oldest	4	0.929	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
oldest	4	0.925	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ fr:âgées
order	4	0.940	en:order ≈ fr:hordes ~ fr:horde ≈ en:ordered ~ fr:ordre
order	4	0.940	en:order ≈ fr:horde ~ fr:hordes ≈ en:ordered ~ fr:ordre
pal	5	0.920	en:pal = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:pals
pal	5	0.920	en:pal = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:pals
paste	4	0.980	en:paste = fr:coller ≈ en:caller ~ en:call ≈ fr:colle
paste	4	0.980	en:paste = fr:colle ≈ en:call ~ en:caller ≈ fr:coller
peak	4	0.962	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ en:peake
peak	4	0.962	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ fr:peake
peaky	3	0.903	en:peaky ≈ fr:piquer ~ fr:pique ≈ en:peaks
peaky	4	0.965	en:peaky ≈ fr:piquer ~ fr:piquent ≈ en:peak ~ en:peake
pee	4	0.840	en:pee ~ en:pees ≈ fr:pisses ~ en:piss ≈ fr:pisse
pee	5	0.865	en:pee ~ en:pees ≈ fr:pisses ~ fr:pisse ≈ en:piss = fr:pisser
penalties	5	0.916	en:penalties = fr:peines ≈ en:pens ~ en:pen ≈ fr:peine = en:penalty
petit	4	0.993	en:petit ≈ fr:petit ~ en:petite ≈ fr:petites ~ fr:petite
picked	5	0.885	en:picked ~ en:pick ≈ fr:piques ~ fr:piquer ≈ en:picky ~ en:pickled
piece	5	0.926	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste ~ fr:pistent ≈ en:pieced
piece	5	0.924	en:piece ≈ fr:pisses ~ en:pissed ≈ fr:pistes ~ fr:pistent ≈ en:pieced
pieced	3	0.988	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
pieced	4	0.991	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece ~ fr:piece
pieces	5	0.948	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pieces	6	0.956	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece ~ fr:piece
pile	5	0.870	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
pile	5	0.870	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:pile
piqued	5	0.894	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ fr:piquet
piqued	5	0.894	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ en:piquet
piss	4	0.842	en:piss ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
piss	4	0.842	en:piss ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
pissed	4	0.827	en:pissed ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
pissed	4	0.827	en:pissed ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
piste	6	0.923	en:piste ~ fr:pistent ≈ en:pieced ~ en:piece ≈ fr:pisses ~ en:pissed ≈ fr:piste
piste	6	0.936	en:piste ~ fr:piste ≈ en:pissed ~ fr:pisse ≈ en:piece ~ en:pieced ≈ fr:pistent
platforms	3	0.873	en:platforms ≈ fr:plateforme ~ en:platform ≈ fr:plateformes
platforms	3	0.872	en:platforms ≈ fr:plateformes = en:platform ≈ fr:plateforme
plea	3	0.978	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleas
plea	3	0.973	en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleas
plead	6	0.950	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
plead	6	0.948	en:plead = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleat
pleader	4	0.950	en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
pleader	4	0.947	en:pleader ~ en:plea ≈ fr:plis ~ fr:plisse ≈ en:pleat
pleading	6	0.950	en:pleading = fr:plaider ≈ en:pleader ~ en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleat
