en	en_ipa	fr	fr_ipa	n_chunks	chunk_recipe	min_fragment_count	avg_fragment_count	match_type	edit_distance	en_zipf	fr_zipf
cocktail	kɒkteɪl	cocktails	kɔktɛl	3	kɒ+kt+eɪl	8	41.0	approx(d=1)	1	3.89	3.6
coding	kəʊdɪŋ	colline	kɔlin	3	kə+ʊd+ɪŋ	8	37.0	approx(d=2)	2	3.81	4.03
define	dɪfaɪn	dizaines	dizɛn	3	dɪ+fa+ɪn	8	47.0	approx(d=2)	2	4.31	4.41
denies	dɪnaɪz	dit aise	di ɛz	3	dɪ+na+ɪz	8	46.3	approx(d=2)	2	3.73	4.43
effects	ɪfɛkts	affecte	afɛkt	3	ɪf+ɛk+ts	8	81.7	approx(d=2)	2	4.89	3.9
embassy	ɛmbəsi	aiment ès	ɛmɛs	3	ɛm+bə+si	8	57.7	approx(d=2)	2	4.13	3.43
events	ɪvɛnts	ive haines	ivɛn	3	ɪv+ɛn+ts	8	74.7	approx(d=2)	2	5.08	2.95
existing	ɛɡzɪstɪŋ	existe	ɛɡzist	3	ɛɡzɪ+st+ɪŋ	8	147.0	approx(d=2)	2	4.75	5.17
expects	ɛkspɛkts	experte	ɛkspɛʁt	3	ɛksp+ɛk+ts	8	96.0	approx(d=2)	2	3.89	3.46
final	faɪnəl	panel	panɛl	3	fa+ɪn+əl	8	39.7	approx(d=2)	2	5.28	3.53
finally	faɪnəli	freiner lies	fʁɛneli	3	fa+ɪn+əli	8	23.3	approx(d=2)	2	5.17	3.02
fiscal	fɪskəl	fiscales	fiskal	3	fɪ+sk+əl	8	45.0	approx(d=1)	1	4.26	3.91
followed	fɒləʊd	phoques aident	fɔkɛd	3	fɒ+lə+ʊd	8	8.7	approx(d=2)	2	5.05	3.1
founder	faʊndɐ	round	ɹaʊnd	3	fa+ʊn+dɐ	8	10.3	approx(d=2)	2	4.46	3.68
liberty	lɪbəti	librairie	libʁɛʁi	3	lɪ+bə+ti	8	44.0	approx(d=2)	2	4.34	4.14
loaded	ləʊdɪd	laissent aide	lɛs ɛd	3	lə+ʊd+ɪd	8	32.3	approx(d=2)	2	4.25	4.25
loading	ləʊdɪŋ	lady	lɛdi	3	lə+ʊd+ɪŋ	8	26.0	approx(d=2)	2	4.1	4.11
loudly	laʊdli	lacs ode	laɔd	3	la+ʊd+li	8	67.7	approx(d=2)	2	3.79	3.24
maiden	meɪdən	mes haines	meɛn	3	me+ɪd+ən	8	50.0	approx(d=2)	2	3.82	3.2
mainly	meɪnli	mes haines	meɛn	3	me+ɪn+li	8	76.3	approx(d=2)	2	4.6	3.2
makers	meɪkəz	mes aise	me ɛz	3	me+ɪk+əz	8	41.3	approx(d=2)	2	4.16	4.42
making	meɪkɪŋ	médecine	medsin	3	me+ɪk+ɪŋ	8	42.0	approx(d=2)	2	5.54	4.62
mason	meɪsən	met scène	mɛ sɛn	3	me+ɪs+ən	8	39.0	approx(d=2)	2	4.14	4.82
nicely	naɪsli	laïques lies	laikli	3	na+ɪs+li	8	74.0	approx(d=2)	2	4.07	2.92
ninety	naɪnti	na haines	naɛn	3	na+ɪn+ti	8	55.3	approx(d=2)	2	3.71	3.15
pension	pɛnʃən	paix chaîne	pɛ ʃɛn	3	pɛ+nʃ+ən	8	44.0	approx(d=1)	1	4.22	4.59
physics	fɪzɪks	physiques	fizik	3	fɪ+zɪ+ks	8	69.7	approx(d=1)	1	4.39	4.37
planets	plænɪts	planning	planiŋ	3	plæ+nɪ+ts	8	12.0	approx(d=2)	2	4.05	3.7
plants	plænts	pleines	plɛn	3	pl+æn+ts	8	35.3	approx(d=2)	2	4.71	3.84
remain	ɹɪmeɪn	mes haines	meɛn	3	ɹɪ+me+ɪn	8	46.3	approx(d=2)	2	4.83	3.2
safely	seɪfli	ses if	seif	3	se+ɪf+li	8	61.7	approx(d=2)	2	4.22	3.97
safety	seɪfti	ses if	seif	3	se+ɪf+ti	8	40.7	approx(d=2)	2	4.97	3.97
sailors	seɪləz	déplaise	deplɛz	3	se+ɪl+əz	8	27.3	approx(d=2)	2	3.75	3.31
saints	seɪnts	ses haines	seɛn	3	se+ɪn+ts	8	23.3	approx(d=2)	2	4.16	3.2
severely	sɪviəli	civils	sivil	3	sɪ+vi+əli	8	13.7	approx(d=2)	2	4.1	4.3
states	steɪts	stress	stʁɛs	3	st+eɪ+ts	8	132.0	approx(d=2)	2	5.52	4.36
crunch	kɹʌntʃ	catch	katʃ	3	kɹ+ʌn+tʃ	7	41.0	approx(d=2)	2	3.66	3.45
monarchy	mɒnəki	manie	mani	3	mɒ+nə+ki	7	14.3	approx(d=2)	2	3.67	3.55
sponsor	spɒnsɐ	scanner	skane	3	sp+ɒn+sɐ	7	36.3	approx(d=2)	2	4.04	3.65
stopping	stɒpɪŋ	soient in	swa in	3	st+ɒp+ɪŋ	7	146.7	approx(d=2)	2	4.29	4.82
barracks	bæɹəks	latex	latɛks	3	bæ+ɹə+ks	6	79.0	approx(d=2)	2	3.67	3.33
battery	bætəɹi	batteries	batʁi	3	bæ+tə+ɹi	6	88.0	approx(d=2)	2	4.52	4.02
cocaine	kəʊkeɪn	coréenne	kɔʁeɛn	3	kə+ʊk+eɪn	6	18.3	approx(d=2)	2	3.98	3.69
collecting	kəlɛktɪŋ	collectives	kɔlɛktiv	3	kəlɛ+kt+ɪŋ	6	55.3	approx(d=1)	1	4.18	3.8
critics	kɹɪtɪks	critique	kʁitik	3	kɹɪ+tɪ+ks	6	81.0	approx(d=2)	2	4.39	4.95
deluxe	dɪlʌks	dit acte	di akt	3	dɪ+lʌ+ks	6	92.0	approx(d=2)	2	3.72	4.76
equity	ɛkwɪti	couette	kwɛt	3	ɛk+wɪ+ti	6	112.3	approx(d=2)	2	4.3	3.5
expand	ɛkspænd	experts	ɛkspɛʁ	3	ɛk+sp+ænd	6	107.3	approx(d=2)	2	4.35	4.47
famous	feɪməs	aiment ès	ɛmɛs	3	fe+ɪm+əs	6	11.3	approx(d=2)	2	4.84	3.43
graphics	ɡɹæfɪks	graphiques	ɡʁafik	3	ɡɹæ+fɪ+ks	6	68.3	approx(d=2)	2	4.19	3.82
impress	ɪmpɹɛs	espèces	ɛspɛs	3	ɪm+pɹ+ɛs	6	115.3	approx(d=2)	2	3.93	4.65
insects	ɪnsɛkts	insectes	ɛ̃sɛkt	3	ɪns+ɛk+ts	6	80.3	approx(d=2)	2	4.02	4.13
intake	ɪnteɪk	esthétique	ɛstetik	3	ɪn+te+ɪk	6	39.0	approx(d=2)	2	3.98	4.17
limited	lɪmɪtɪd	limites	limit	3	lɪ+mɪ+tɪd	6	14.7	approx(d=2)	2	5.02	4.56
local	ləʊkəl	lequel	ləkɛl	3	lə+ʊk+əl	6	24.0	approx(d=2)	2	5.43	5.08
luckily	lʌkili	lies lie	lili	3	lʌ+ki+li	6	66.0	approx(d=2)	2	3.92	3.11
offering	ɒfəɹɪŋ	orpheline	ɔʁfəlin	3	ɒf+əɹ+ɪŋ	6	28.0	approx(d=2)	2	4.6	3.21
offline	ɒflaɪn	lacs haines	laɛn	3	ɒf+la+ɪn	6	29.3	approx(d=2)	2	3.74	3.12
profit	pɹɒfɪt	prophètes	pʁɔfɛt	3	pɹ+ɒf+ɪt	6	55.0	approx(d=2)	2	4.7	3.45
prophet	pɹɒfɪt	prophètes	pʁɔfɛt	3	pɹ+ɒf+ɪt	6	55.0	approx(d=2)	2	3.98	3.45
retain	ɹɪteɪn	hit haines	itɛn	3	ɹɪ+te+ɪn	6	45.7	approx(d=2)	2	4.16	3.03
rolling	ɹəʊlɪŋ	berline	bɛʁlin	3	ɹə+ʊl+ɪŋ	6	35.7	approx(d=2)	2	4.47	3.47
solely	səʊlli	selles fis	sɛlfi	3	sə+ʊl+li	6	66.0	approx(d=2)	2	4.2	3.05
standard	stændəd	saines aide	sɛn ɛd	3	st+ænd+əd	6	132.3	approx(d=2)	2	5.03	3.44
billion	bɪliən	vilaine	vilɛn	3	bɪ+li+ən	5	78.0	approx(d=2)	2	4.75	3.78
bloggers	blɒɡəz	blague	blaɡ	3	bl+ɒɡ+əz	5	30.3	approx(d=2)	2	3.76	4.64
bodily	bɒdɪli	body	bɔdi	3	bɒ+dɪ+li	5	83.7	approx(d=2)	2	3.78	3.6
building	bɪldɪŋ	building	bildiŋ	3	bɪ+ld+ɪŋ	5	25.0	approx(d=1)	1	5.29	3.54
commenced	kəmɛnst	commerces	kɔmɛʁs	3	kəm+ɛn+st	5	187.0	approx(d=2)	2	3.78	4.12
compact	kəmpækt	compacte	kɔ̃pakt	3	kəm+pæ+kt	5	38.3	approx(d=1)	1	4.06	3.49
compared	kəmpeəd	commit aide	kɔmi ɛd	3	kəm+pe+əd	5	11.0	approx(d=2)	2	4.92	2.84
deficit	dɛfɪsɪt	déficits	defisit	3	dɛ+fɪ+sɪt	5	14.0	approx(d=1)	1	4.06	3.41
divine	dɪvaɪn	dizaines	dizɛn	3	dɪ+va+ɪn	5	46.0	approx(d=2)	2	4.24	4.41
driving	dɹaɪvɪŋ	divine	divin	3	dɹa+ɪv+ɪŋ	5	32.7	approx(d=2)	2	4.9	4.04
examined	ɛɡzæmɪnd	examine	ɛɡzamin	3	ɛɡzæ+mɪ+nd	5	25.3	approx(d=1)	1	4.1	3.58
focus	fəʊkəs	fox	fɔks	3	fə+ʊk+əs	5	9.3	approx(d=2)	2	5.0	3.91
lineup	laɪnʌp	lacs haines	laɛn	3	la+ɪn+ʌp	5	29.0	approx(d=2)	2	4.04	3.12
major	meɪdʒɐ	met chez	mɛ ʃe	3	me+ɪd+ʒɐ	5	31.0	approx(d=2)	2	5.3	5.04
mineral	mɪnəɹəl	minimale	minimal	3	mɪ+nə+ɹəl	5	11.3	approx(d=2)	2	4.03	3.68
spinal	spaɪnəl	panel	panɛl	3	sp+aɪn+əl	5	50.3	approx(d=2)	2	3.85	3.53
stomach	stʌmək	steak	stɛk	3	st+ʌm+ək	5	128.3	approx(d=2)	2	4.42	3.64
acceptance	ɐksɛptəns	acceptons	aksɛptɔ̃	3	ɐksɛ+pt+əns	4	9.3	approx(d=2)	2	4.16	3.19
accepted	ɐksɛptɪd	accepte	aksɛpt	3	ɐksɛ+pt+ɪd	4	34.7	approx(d=2)	2	4.67	4.52
accepting	ɐksɛptɪŋ	accepte	aksɛpt	3	ɐksɛ+pt+ɪŋ	4	28.3	approx(d=2)	2	4.18	4.52
addressed	ɐdɹɛst	adresse	adʁɛs	3	ɐd+ɹɛ+st	4	182.0	approx(d=2)	2	4.26	4.94
baking	beɪkɪŋ	bacon	bekɔn	3	be+ɪk+ɪŋ	4	40.7	approx(d=2)	2	3.92	3.7
basin	beɪsən	bat scène	ba sɛn	3	be+ɪs+ən	4	37.7	approx(d=2)	2	4.08	4.36
basis	beɪsɪs	bénisse	benis	3	be+ɪs+ɪs	4	32.7	approx(d=2)	2	4.81	3.2
bullets	bʊlɪts	polices	pɔlis	3	bʊ+lɪ+ts	4	10.7	approx(d=2)	2	4.02	3.51
connected	kənɛktɪd	connexes	kɔnɛks	3	kə+nɛ+ktɪd	4	20.7	approx(d=2)	2	4.68	3.36
consult	kənsʌlt	concept	kɔ̃sɛpt	3	kən+sʌ+lt	4	12.0	approx(d=2)	2	3.87	4.68
criminal	kɹɪmɪnəl	criminels	kʁiminɛl	3	kɹɪ+mɪn+əl	4	22.3	approx(d=2)	2	4.75	4.11
cycle	saɪkəl	bat quel	ba kɛl	3	sa+ɪk+əl	4	39.3	approx(d=2)	2	4.6	4.4
debate	dɪbeɪt	dit hit	di it	3	dɪ+be+ɪt	4	33.7	approx(d=2)	2	4.64	3.53
desktop	dɛsktɒp	escape	ɛskap	3	dɛs+kt+ɒp	4	36.7	approx(d=2)	2	3.93	3.17
donors	dəʊnəz	dont aise	dɔ̃ ɛz	3	də+ʊn+əz	4	24.3	approx(d=2)	2	3.83	4.42
