en	fr	score	tier	gold_en	gold_fr	src_tier
arrest	hérissent aidez	0.452	PASS	arrested	hérissent aide	S
arresting	hérissent aides	0.456	PASS	arrested	hérissent aide	S
arresting	hérissent aidant	0.464	PASS	arrested	hérissent aide	S
arresting	hérissent aident	0.456	PASS	arrested	hérissent aide	S
arrests	hérissent aides	0.469	PASS	arrested	hérissent aide	S
arrests	hérissent aidait	0.451	PASS	arrested	hérissent aide	S
arrests	hérissent aidant	0.451	PASS	arrested	hérissent aide	S
arrests	hérissent aident	0.469	PASS	arrested	hérissent aide	S
arrests	hérissent aider	0.451	PASS	arrested	hérissent aide	S
arrests	hérissent aidé	0.451	PASS	arrested	hérissent aide	S
arrests	hérissent aida	0.451	PASS	arrested	hérissent aide	S
arrests	hérissent aidez	0.451	PASS	arrested	hérissent aide	S
assaulted	isolent aides	0.471	PASS	assaulted	isolent aide	S
assaulted	isolent aident	0.471	PASS	assaulted	isolent aide	S
attended	étains dites	0.461	PASS	attended	étain dites	S
attended	étain dite	0.461	PASS	attended	étain dites	S
attending	étains digne	0.484	PASS	attending	étain digne	S
attending	étain dignes	0.475	PASS	attending	étain digne	S
attendings	étains digne	0.460	PASS	attending	étain digne	S
attendings	étain dignes	0.454	PASS	attending	étain digne	S
baseball	pays bole	0.647	STRICT	baseball	pays bol	S
baseball	pay bol	0.661	STRICT	baseball	pays bol	S
baseball	pays bols	0.647	STRICT	baseball	pays bol	S
baseballs	pays bole	0.553	PASS	baseball	pays bol	S
baseballs	pay bol	0.560	PASS	baseball	pays bol	S
baseballs	pays bols	0.553	PASS	baseball	pays bol	S
basket	basée quitte	0.579	PASS	basket	bas quitte	S
basket	base quitte	0.615	STRICT	basket	bas quitte	S
basket	basé quitte	0.579	PASS	basket	bas quitte	S
basket	basant quitte	0.579	PASS	basket	bas quitte	S
basket	ba quitte	0.601	STRICT	basket	bas quitte	S
basket	bas quittant	0.496	PASS	basket	bas quitte	S
basket	bas quitter	0.496	PASS	basket	bas quitte	S
basket	basées quitte	0.579	PASS	basket	bas quitte	S
basket	bas quitté	0.496	PASS	basket	bas quitte	S
basket	basés quitte	0.579	PASS	basket	bas quitte	S
basket	bas quittait	0.496	PASS	basket	bas quitte	S
basket	bas quittes	0.601	STRICT	basket	bas quitte	S
basket	bas quitta	0.496	PASS	basket	bas quitte	S
basket	bas quittez	0.496	PASS	basket	bas quitte	S
basket	bas quittent	0.601	STRICT	basket	bas quitte	S
basket	bases quitte	0.615	STRICT	basket	bas quitte	S
basketed	basée quitte	0.481	PASS	basket	bas quitte	S
basketed	base quitte	0.504	PASS	basket	bas quitte	S
basketed	basé quitte	0.481	PASS	basket	bas quitte	S
basketed	basant quitte	0.481	PASS	basket	bas quitte	S
basketed	ba quitte	0.487	PASS	basket	bas quitte	S
basketed	bas quittant	0.467	PASS	basket	bas quitte	S
basketed	bas quitter	0.467	PASS	basket	bas quitte	S
basketed	basées quitte	0.481	PASS	basket	bas quitte	S
basketed	bas quitté	0.467	PASS	basket	bas quitte	S
basketed	basés quitte	0.481	PASS	basket	bas quitte	S
basketed	bas quittait	0.467	PASS	basket	bas quitte	S
basketed	bas quittes	0.487	PASS	basket	bas quitte	S
basketed	bas quitta	0.467	PASS	basket	bas quitte	S
basketed	bas quittez	0.467	PASS	basket	bas quitte	S
basketed	bas quittent	0.487	PASS	basket	bas quitte	S
basketed	bases quitte	0.504	PASS	basket	bas quitte	S
basketing	base quitte	0.463	PASS	basket	bas quitte	S
basketing	bases quitte	0.463	PASS	basket	bas quitte	S
baskets	basée quitte	0.489	PASS	basket	bas quitte	S
baskets	base quitte	0.513	PASS	basket	bas quitte	S
baskets	basé quitte	0.489	PASS	basket	bas quitte	S
baskets	basant quitte	0.489	PASS	basket	bas quitte	S
baskets	ba quitte	0.496	PASS	basket	bas quitte	S
baskets	bas quittant	0.474	PASS	basket	bas quitte	S
baskets	bas quitter	0.474	PASS	basket	bas quitte	S
baskets	basées quitte	0.489	PASS	basket	bas quitte	S
baskets	bas quitté	0.474	PASS	basket	bas quitte	S
baskets	basés quitte	0.489	PASS	basket	bas quitte	S
baskets	bas quittait	0.474	PASS	basket	bas quitte	S
baskets	bas quittes	0.496	PASS	basket	bas quitte	S
baskets	bas quitta	0.474	PASS	basket	bas quitte	S
baskets	bas quittez	0.474	PASS	basket	bas quitte	S
baskets	bas quittent	0.496	PASS	basket	bas quitte	S
baskets	bases quitte	0.513	PASS	basket	bas quitte	S
bastard	passent aider	0.494	PASS	bastard	passent aide	S
bastard	passent aidant	0.494	PASS	bastard	passent aide	S
bastard	passent aidait	0.494	PASS	bastard	passent aide	S
bastard	passent aida	0.494	PASS	bastard	passent aide	S
bastard	passent aidé	0.494	PASS	bastard	passent aide	S
bastard	passent aides	0.599	PASS	bastard	passent aide	S
bastard	passent aidez	0.494	PASS	bastard	passent aide	S
bastard	passent aident	0.599	PASS	bastard	passent aide	S
bastards	passent aider	0.464	PASS	bastard	passent aide	S
bastards	passent aidant	0.473	PASS	bastard	passent aide	S
bastards	passent aidait	0.464	PASS	bastard	passent aide	S
bastards	passent aida	0.473	PASS	bastard	passent aide	S
bastards	passent aidé	0.464	PASS	bastard	passent aide	S
bastards	passent aides	0.494	PASS	bastard	passent aide	S
bastards	passent aidez	0.464	PASS	bastard	passent aide	S
bastards	passent aident	0.494	PASS	bastard	passent aide	S
bathroom	bate rhume	0.603	STRICT	bathroom	bat rhume	S
bathroom	bat rhumes	0.599	PASS	bathroom	bat rhume	S
bathroom	bates rhume	0.603	STRICT	bathroom	bat rhume	S
bathroom	bats rhume	0.599	PASS	bathroom	bat rhume	S
bathroom	batons rhume	0.569	PASS	bathroom	bat rhume	S
bathroom	batée rhume	0.569	PASS	bathroom	bat rhume	S
bathroom	bata rhume	0.569	PASS	bathroom	bat rhume	S
bathrooms	bate rhume	0.503	PASS	bathroom	bat rhume	S
bathrooms	bat rhumes	0.494	PASS	bathroom	bat rhume	S
bathrooms	bates rhume	0.503	PASS	bathroom	bat rhume	S
bathrooms	bats rhume	0.494	PASS	bathroom	bat rhume	S
bathrooms	batons rhume	0.480	PASS	bathroom	bat rhume	S
bathrooms	batée rhume	0.480	PASS	bathroom	bat rhume	S
bathrooms	bata rhume	0.480	PASS	bathroom	bat rhume	S
battle	bates elle	0.549	PASS	battle	bat elle	S
battle	bat ella	0.493	PASS	battle	bat elle	S
battle	bat ellé	0.493	PASS	battle	bat elle	S
battle	batée elle	0.544	PASS	battle	bat elle	S
battle	bat eller	0.493	PASS	battle	bat elle	S
battle	bata elle	0.539	PASS	battle	bat elle	S
battle	bats elle	0.583	PASS	battle	bat elle	S
battle	bate elle	0.571	PASS	battle	bat elle	S
battle	bat elles	0.616	STRICT	battle	bat elle	S
battle	batons elle	0.523	PASS	battle	bat elle	S
battles	bates elle	0.452	PASS	battle	bat elle	S
battles	bat ella	0.470	PASS	battle	bat elle	S
battles	bat ellé	0.458	PASS	battle	bat elle	S
battles	bat eller	0.458	PASS	battle	bat elle	S
battles	bats elle	0.472	PASS	battle	bat elle	S
battles	bate elle	0.463	PASS	battle	bat elle	S
battles	bat elles	0.493	PASS	battle	bat elle	S
battling	bates elle	0.455	PASS	battle	bat elle	S
battling	bat ella	0.460	PASS	battle	bat elle	S
battling	bat ellé	0.477	PASS	battle	bat elle	S
battling	batée elle	0.451	PASS	battle	bat elle	S
battling	bat eller	0.477	PASS	battle	bat elle	S
battling	bats elle	0.473	PASS	battle	bat elle	S
battling	bate elle	0.465	PASS	battle	bat elle	S
battling	bat elles	0.491	PASS	battle	bat elle	S
battled	bates elle	0.452	PASS	battle	bat elle	S
battled	bat ella	0.470	PASS	battle	bat elle	S
battled	bat ellé	0.458	PASS	battle	bat elle	S
battled	bat eller	0.458	PASS	battle	bat elle	S
battled	bats elle	0.472	PASS	battle	bat elle	S
battled	bate elle	0.463	PASS	battle	bat elle	S
battled	bat elles	0.493	PASS	battle	bat elle	S
beaches	butant chaise	0.569	PASS	beaches	but chaise	S
beaches	butent chaise	0.679	STRICT	beaches	but chaise	S
beaches	but chaises	0.679	STRICT	beaches	but chaise	S
beaches	buts chaise	0.679	STRICT	beaches	but chaise	S
beaches	butée chaise	0.569	PASS	beaches	but chaise	S
beaches	butés chaise	0.569	PASS	beaches	but chaise	S
beaches	bute chaise	0.679	STRICT	beaches	but chaise	S
beaches	buté chaise	0.569	PASS	beaches	but chaise	S
beaches	buter chaise	0.569	PASS	beaches	but chaise	S
beached	butant chaise	0.472	PASS	beaches	but chaise	S
beached	butent chaise	0.572	PASS	beaches	but chaise	S
beached	but chaises	0.572	PASS	beaches	but chaise	S
beached	buts chaise	0.572	PASS	beaches	but chaise	S
beached	butée chaise	0.472	PASS	beaches	but chaise	S
beached	butés chaise	0.472	PASS	beaches	but chaise	S
beached	bute chaise	0.572	PASS	beaches	but chaise	S
beached	buté chaise	0.472	PASS	beaches	but chaise	S
beached	buter chaise	0.472	PASS	beaches	but chaise	S
beach	butant chaise	0.473	PASS	beaches	but chaise	S
beach	butent chaise	0.580	PASS	beaches	but chaise	S
beach	but chaises	0.580	PASS	beaches	but chaise	S
beach	buts chaise	0.580	PASS	beaches	but chaise	S
beach	butée chaise	0.473	PASS	beaches	but chaise	S
beach	butés chaise	0.473	PASS	beaches	but chaise	S
beach	bute chaise	0.580	PASS	beaches	but chaise	S
beach	buté chaise	0.473	PASS	beaches	but chaise	S
beach	buter chaise	0.473	PASS	beaches	but chaise	S
beaching	butant chaise	0.468	PASS	beaches	but chaise	S
beaching	butent chaise	0.560	PASS	beaches	but chaise	S
beaching	but chaises	0.560	PASS	beaches	but chaise	S
beaching	buts chaise	0.560	PASS	beaches	but chaise	S
beaching	butée chaise	0.468	PASS	beaches	but chaise	S
beaching	butés chaise	0.468	PASS	beaches	but chaise	S
beaching	bute chaise	0.560	PASS	beaches	but chaise	S
beaching	buté chaise	0.468	PASS	beaches	but chaise	S
beaching	buter chaise	0.468	PASS	beaches	but chaise	S
bedroom	paient rhumes	0.522	PASS	bedroom	paient rhume	S
beetroot	buter route	0.722	STRICT	beetroot	but route	S
beetroot	but router	0.722	STRICT	beetroot	but route	S
beetroot	but routé	0.722	STRICT	beetroot	but route	S
beetroot	butant route	0.722	STRICT	beetroot	but route	S
beetroot	butée route	0.722	STRICT	beetroot	but route	S
beetroot	buté route	0.722	STRICT	beetroot	but route	S
beetroot	butés route	0.722	STRICT	beetroot	but route	S
beetroot	but routes	0.840	STRICT	beetroot	but route	S
beetroot	bute route	0.840	STRICT	beetroot	but route	S
beetroot	butent route	0.840	STRICT	beetroot	but route	S
beetroot	buts route	0.840	STRICT	beetroot	but route	S
belly	bey lie	1.000	STRICT	belly	bey lies	S
belly	beys lies	1.000	STRICT	belly	bey lies	S
belly	beyer lies	0.786	STRICT	belly	bey lies	S
bellied	bey lie	0.721	STRICT	belly	bey lies	S
bellied	beys lies	0.721	STRICT	belly	bey lies	S
bellied	beyer lies	0.576	PASS	belly	bey lies	S
bellying	bey lie	0.697	STRICT	belly	bey lies	S
bellying	beys lies	0.697	STRICT	belly	bey lies	S
bellying	beyer lies	0.567	PASS	belly	bey lies	S
bellies	bey lie	0.721	STRICT	belly	bey lies	S
bellies	beys lies	0.721	STRICT	belly	bey lies	S
bellies	beyer lies	0.576	PASS	belly	bey lies	S
bender	ben desai	0.735	STRICT	bender	ben des	S
bender	bene des	0.628	STRICT	bender	ben des	S
bender	ben dess	0.624	STRICT	bender	ben des	S
bender	ben de	0.846	STRICT	bender	ben des	S
bender	bena des	0.503	PASS	bender	ben des	S
benders	ben desai	0.743	STRICT	bender	ben des	S
benders	bene des	0.577	PASS	bender	ben des	S
benders	ben dess	0.624	STRICT	bender	ben des	S
benders	ben de	0.783	STRICT	bender	ben des	S
benders	bena des	0.468	PASS	bender	ben des	S
bending	bene digne	0.615	STRICT	bending	ben digne	S
bending	ben dignes	0.738	STRICT	bending	ben digne	S
bending	bena digne	0.513	PASS	bending	ben digne	S
bends	bene digne	0.555	PASS	bending	ben digne	S
bends	ben dignes	0.711	STRICT	bending	ben digne	S
bends	bena digne	0.459	PASS	bending	ben digne	S
bended	bene digne	0.554	PASS	bending	ben digne	S
bended	ben dignes	0.728	STRICT	bending	ben digne	S
bended	bena digne	0.456	PASS	bending	ben digne	S
bend	bene digne	0.587	PASS	bending	ben digne	S
bend	ben dignes	0.737	STRICT	bending	ben digne	S
bend	bena digne	0.478	PASS	bending	ben digne	S
bent	bene digne	0.493	PASS	bending	ben digne	S
bent	ben dignes	0.652	STRICT	bending	ben digne	S
bent	bena digne	0.470	PASS	bending	ben digne	S
berry	beyer rient	0.786	STRICT	berry	bey rient	S
berry	beys rient	1.000	STRICT	berry	bey rient	S
berries	beyer rient	0.660	STRICT	berry	bey rient	S
berries	beys rient	0.822	STRICT	berry	bey rient	S
berrying	beyer rient	0.645	STRICT	berry	bey rient	S
berrying	beys rient	0.788	STRICT	berry	bey rient	S
berried	beyer rient	0.660	STRICT	berry	bey rient	S
berried	beys rient	0.822	STRICT	berry	bey rient	S
beside	bise aède	0.599	PASS	beside	bis aède	S
beside	bi aède	0.587	PASS	beside	bis aède	S
beside	bisons aède	0.540	PASS	beside	bis aède	S
beside	bis aèdes	0.686	STRICT	beside	bis aède	S
beside	bises aède	0.566	PASS	beside	bis aède	S
bets	paient ina	0.454	PASS	betting	paient in	S
bets	paient ines	0.477	PASS	betting	paient in	S
bets	paient inez	0.454	PASS	betting	paient in	S
bets	paient inés	0.454	PASS	betting	paient in	S
bets	paient ine	0.477	PASS	betting	paient in	S
bet	paient ina	0.476	PASS	betting	paient in	S
bet	paient ines	0.504	PASS	betting	paient in	S
bet	paient inez	0.476	PASS	betting	paient in	S
bet	paient inés	0.476	PASS	betting	paient in	S
bet	paient ine	0.504	PASS	betting	paient in	S
bleeding	plient inez	0.485	PASS	bleeding	plient in	S
bleeding	plient ine	0.511	PASS	bleeding	plient in	S
bleeding	plient ina	0.485	PASS	bleeding	plient in	S
bleeding	plient ines	0.511	PASS	bleeding	plient in	S
bleeding	plient inés	0.485	PASS	bleeding	plient in	S
bleedings	plient inez	0.455	PASS	bleeding	plient in	S
bleedings	plient ine	0.485	PASS	bleeding	plient in	S
bleedings	plient ins	0.464	PASS	bleeding	plient in	S
bleedings	plient ina	0.465	PASS	bleeding	plient in	S
bleedings	plient ines	0.485	PASS	bleeding	plient in	S
bleedings	plient inés	0.455	PASS	bleeding	plient in	S
bleeds	plient ine	0.484	PASS	bleeding	plient in	S
bleeds	plient ins	0.451	PASS	bleeding	plient in	S
bleeds	plient ina	0.461	PASS	bleeding	plient in	S
bleeds	plient ines	0.484	PASS	bleeding	plient in	S
bleed	plient inez	0.484	PASS	bleeding	plient in	S
bleed	plient ine	0.513	PASS	bleeding	plient in	S
bleed	plient ina	0.484	PASS	bleeding	plient in	S
bleed	plient ines	0.513	PASS	bleeding	plient in	S
bleed	plient inés	0.484	PASS	bleeding	plient in	S
borders	bondes aise	0.621	STRICT	borders	bond aise	S
borders	bonder aise	0.547	PASS	borders	bond aise	S
borders	bondés aise	0.521	PASS	borders	bond aise	S
borders	bondée aise	0.547	PASS	borders	bond aise	S
borders	bonds aise	0.557	PASS	borders	bond aise	S
borders	bond aises	0.584	PASS	borders	bond aise	S
borders	bondées aise	0.521	PASS	borders	bond aise	S
borders	bond aisé	0.469	PASS	borders	bond aise	S
borders	bondé aise	0.547	PASS	borders	bond aise	S
borders	bonde aise	0.577	PASS	borders	bond aise	S
border	bond aises	0.465	PASS	borders	bond aise	S
border	bonde aise	0.463	PASS	borders	bond aise	S
bordered	bondes aise	0.450	PASS	borders	bond aise	S
bordered	bonder aise	0.453	PASS	borders	bond aise	S
bordered	bondée aise	0.453	PASS	borders	bond aise	S
bordered	bonds aise	0.454	PASS	borders	bond aise	S
bordered	bond aises	0.473	PASS	borders	bond aise	S
bordered	bond aisé	0.452	PASS	borders	bond aise	S
bordered	bondé aise	0.453	PASS	borders	bond aise	S
bordered	bonde aise	0.474	PASS	borders	bond aise	S
bothered	bases aide	0.572	PASS	bothered	bas aide	S
bothered	ba aide	0.611	STRICT	bothered	bas aide	S
bothered	bas aidait	0.489	PASS	bothered	bas aide	S
bothered	basés aide	0.543	PASS	bothered	bas aide	S
bothered	bas aider	0.489	PASS	bothered	bas aide	S
bothered	basée aide	0.572	PASS	bothered	bas aide	S
bothered	base aide	0.610	STRICT	bothered	bas aide	S
bothered	bas aident	0.610	STRICT	bothered	bas aide	S
bothered	bas aida	0.489	PASS	bothered	bas aide	S
bothered	bas aidé	0.489	PASS	bothered	bas aide	S
bothered	bas aidez	0.489	PASS	bothered	bas aide	S
bothered	basées aide	0.543	PASS	bothered	bas aide	S
bothered	basé aide	0.572	PASS	bothered	bas aide	S
bothered	bas aidant	0.489	PASS	bothered	bas aide	S
bothered	basant aide	0.572	PASS	bothered	bas aide	S
bothered	bas aides	0.610	STRICT	bothered	bas aide	S
bother	bases aide	0.461	PASS	bothered	bas aide	S
bother	ba aide	0.521	PASS	bothered	bas aide	S
bother	bas aidait	0.461	PASS	bothered	bas aide	S
bother	bas aider	0.461	PASS	bothered	bas aide	S
bother	basée aide	0.461	PASS	bothered	bas aide	S
bother	base aide	0.486	PASS	bothered	bas aide	S
bother	bas aident	0.486	PASS	bothered	bas aide	S
bother	bas aida	0.461	PASS	bothered	bas aide	S
bother	bas aidé	0.461	PASS	bothered	bas aide	S
bother	bas aidez	0.461	PASS	bothered	bas aide	S
bother	basé aide	0.461	PASS	bothered	bas aide	S
bother	bas aidant	0.461	PASS	bothered	bas aide	S
bother	basant aide	0.461	PASS	bothered	bas aide	S
bother	bas aides	0.486	PASS	bothered	bas aide	S
bothers	bases aide	0.489	PASS	bothered	bas aide	S
bothers	ba aide	0.481	PASS	bothered	bas aide	S
bothers	bas aidait	0.469	PASS	bothered	bas aide	S
bothers	basés aide	0.466	PASS	bothered	bas aide	S
bothers	bas aider	0.469	PASS	bothered	bas aide	S
bothers	basée aide	0.469	PASS	bothered	bas aide	S
bothers	base aide	0.495	PASS	bothered	bas aide	S
bothers	bas aident	0.495	PASS	bothered	bas aide	S
bothers	bas aida	0.469	PASS	bothered	bas aide	S
bothers	bas aidé	0.469	PASS	bothered	bas aide	S
bothers	bas aidez	0.469	PASS	bothered	bas aide	S
bothers	basées aide	0.466	PASS	bothered	bas aide	S
bothers	basé aide	0.469	PASS	bothered	bas aide	S
bothers	bas aidant	0.469	PASS	bothered	bas aide	S
bothers	basant aide	0.469	PASS	bothered	bas aide	S
bothers	bas aides	0.495	PASS	bothered	bas aide	S
bothering	ba aide	0.464	PASS	bothered	bas aide	S
bothering	bas aidant	0.457	PASS	bothered	bas aide	S
bottle	bates elle	0.554	PASS	bottle	bat elle	S
bottle	bat ella	0.498	PASS	bottle	bat elle	S
bottle	bat ellé	0.498	PASS	bottle	bat elle	S
bottle	batée elle	0.549	PASS	bottle	bat elle	S
bottle	bat eller	0.498	PASS	bottle	bat elle	S
bottle	bata elle	0.544	PASS	bottle	bat elle	S
bottle	bats elle	0.589	PASS	bottle	bat elle	S
bottle	bate elle	0.577	PASS	bottle	bat elle	S
bottle	bat elles	0.622	STRICT	bottle	bat elle	S
bottle	batons elle	0.528	PASS	bottle	bat elle	S
bottling	bates elle	0.458	PASS	bottle	bat elle	S
bottling	bat ella	0.465	PASS	bottle	bat elle	S
bottling	bat ellé	0.482	PASS	bottle	bat elle	S
bottling	batée elle	0.455	PASS	bottle	bat elle	S
bottling	bat eller	0.482	PASS	bottle	bat elle	S
bottling	bata elle	0.451	PASS	bottle	bat elle	S
bottling	bats elle	0.478	PASS	bottle	bat elle	S
bottling	bate elle	0.469	PASS	bottle	bat elle	S
bottling	bat elles	0.496	PASS	bottle	bat elle	S
bottles	bates elle	0.456	PASS	bottle	bat elle	S
bottles	bat ella	0.474	PASS	bottle	bat elle	S
bottles	bat ellé	0.463	PASS	bottle	bat elle	S
bottles	batée elle	0.452	PASS	bottle	bat elle	S
bottles	bat eller	0.463	PASS	bottle	bat elle	S
bottles	bats elle	0.477	PASS	bottle	bat elle	S
bottles	bate elle	0.468	PASS	bottle	bat elle	S
bottles	bat elles	0.498	PASS	bottle	bat elle	S
bottled	bates elle	0.456	PASS	bottle	bat elle	S
bottled	bat ella	0.474	PASS	bottle	bat elle	S
bottled	bat ellé	0.463	PASS	bottle	bat elle	S
bottled	batée elle	0.452	PASS	bottle	bat elle	S
bottled	bat eller	0.463	PASS	bottle	bat elle	S
bottled	bats elle	0.477	PASS	bottle	bat elle	S
