en	fr	old_combo	prosody	meaning	tier
says	seize	1.000	1.000	0.517	GOLD
least	listes	1.000	1.000	0.475	GOLD
least	liste	1.000	1.000	0.604	GOLD
least	list	1.000	1.000	0.507	GOLD
talk	toc	1.000	1.000	0.547	GOLD
court	quote	1.000	0.909	0.343	A
court	cotes	1.000	0.929	0.380	A
court	cote	1.000	0.909	0.393	A
true	trous	1.000	0.781	0.313	A
true	trou	1.000	0.781	0.590	GOLD
air	ère	1.000	0.768	0.522	GOLD
air	airs	1.000	0.768	0.873	GOLD
air	aires	1.000	0.768	0.623	GOLD
due	doux	1.000	1.000	0.629	GOLD
buy	bye	1.000	0.745	0.234	A
red	raids	1.000	0.823	0.187	A
red	raide	1.000	0.823	0.391	A
red	raid	1.000	0.823	0.157	A
check	tchèques	1.000	1.000	0.234	A
check	tchèque	1.000	1.000	0.229	A
form	formes	1.000	0.864	0.703	GOLD
form	forment	1.000	0.864	0.664	GOLD
form	forme	1.000	0.864	0.786	GOLD
west	ouest	1.000	1.000	0.931	GOLD
former	formes	1.000	0.864	0.427	A
former	forment	1.000	0.864	0.391	A
former	forme	1.000	0.864	0.482	GOLD
ready	raies dits	1.000	0.862	0.526	GOLD
meet	mythes	1.000	0.646	0.270	A
meet	mythe	1.000	0.659	0.316	A
re	riz	1.000	0.748	0.620	GOLD
re	rit	1.000	0.748	0.909	GOLD
re	ris	1.000	0.748	0.864	GOLD
rest	restes	1.000	0.840	0.883	GOLD
rest	restent	1.000	0.840	0.663	GOLD
rest	reste	1.000	0.840	0.828	GOLD
sex	sexes	1.000	1.000	0.866	GOLD
sex	sexe	1.000	1.000	0.977	GOLD
knew	nous	1.000	1.000	0.625	GOLD
share	chères	1.000	0.850	0.375	A
share	chère	1.000	0.850	0.346	A
share	chers	1.000	0.850	0.476	GOLD
test	tests	1.000	1.000	0.966	GOLD
test	teste	1.000	1.000	0.992	GOLD
movie	mous vies	1.000	1.000	0.543	GOLD
press	presse	1.000	0.840	0.906	GOLD
role	roll	1.000	0.787	0.286	A
cool	coulent	1.000	0.798	0.465	GOLD
cool	coule	1.000	1.000	0.389	A
eat	hit	1.000	0.850	0.422	A
fall	folles	1.000	1.000	0.482	GOLD
fall	folle	1.000	1.000	0.511	GOLD
fall	fol	1.000	1.000	0.526	GOLD
league	ligues	1.000	1.000	0.493	GOLD
league	ligue	1.000	1.000	0.799	GOLD
key	qui	1.000	1.000	0.393	A
led	laide	1.000	1.000	0.846	GOLD
lord	lords	1.000	0.871	0.793	GOLD
born	bornes	1.000	0.864	0.555	GOLD
born	borne	1.000	0.864	0.599	GOLD
born	bonnes	1.000	0.929	0.497	GOLD
met	mettent	1.000	1.000	0.752	GOLD
met	mette	1.000	1.000	0.919	GOLD
super	soupe	1.000	1.000	0.305	A
daughter	dort	1.000	0.851	0.407	A
daughter	dors	1.000	0.851	0.409	A
sea	sis	1.000	1.000	0.486	GOLD
sea	si	1.000	1.000	0.531	GOLD
sea	scie	1.000	1.000	0.507	GOLD
sleep	slip	1.000	1.000	0.228	A
ball	bol	1.000	1.000	0.455	GOLD
piece	pisse	1.000	1.000	0.403	A
peace	pisse	1.000	1.000	0.369	A
beat	bits	1.000	1.000	0.247	A
beat	bites	1.000	1.000	0.346	A
beat	bite	1.000	1.000	0.392	A
pressure	prêche	1.000	0.840	0.331	A
cross	crosse	1.000	0.840	0.986	GOLD
sort	sortes	1.000	0.864	0.783	GOLD
sort	sortent	1.000	0.864	0.869	GOLD
sort	sorte	1.000	0.864	0.609	GOLD
fair	fers	1.000	0.850	0.488	GOLD
fair	fer	1.000	0.850	0.506	GOLD
fair	faire	1.000	0.850	0.532	GOLD
sell	sels	1.000	1.000	0.333	A
sell	selles	1.000	1.000	0.438	A
sell	selle	1.000	1.000	0.529	GOLD
scene	seine	1.000	0.953	0.552	GOLD
rule	roulent	1.000	0.678	0.534	A
rule	roule	1.000	0.823	0.635	GOLD
bought	bottes	1.000	1.000	0.363	A
bought	botte	1.000	1.000	0.481	GOLD
caught	quote	1.000	1.000	0.281	A
caught	cotes	1.000	0.979	0.395	A
caught	cote	1.000	1.000	0.407	A
peter	pires	1.000	0.851	0.418	A
peter	pire	1.000	0.851	0.232	A
cell	sels	1.000	1.000	0.332	A
cell	selles	1.000	1.000	0.319	A
cell	selle	1.000	1.000	0.352	A
truly	trous lies	1.000	0.872	0.340	A
tree	tri	1.000	0.781	0.390	A
vs	vies ès	1.000	0.814	0.565	GOLD
fresh	fraîches	1.000	0.840	0.746	GOLD
fresh	fraîche	1.000	0.840	0.759	GOLD
seat	sites	1.000	1.000	0.278	A
seat	site	1.000	1.000	0.305	A
seat	citent	1.000	1.000	0.353	A
bet	bêtes	1.000	1.000	0.610	GOLD
bet	bête	1.000	1.000	0.683	GOLD
ed	aides	1.000	1.000	0.774	GOLD
ed	aident	1.000	1.000	0.850	GOLD
ed	aide	1.000	1.000	0.729	GOLD
nor	nord	1.000	0.850	0.602	GOLD
prove	prouvent	1.000	0.840	0.948	GOLD
prove	prouve	1.000	0.840	0.942	GOLD
boss	bosses	1.000	1.000	0.959	GOLD
boss	bossent	1.000	1.000	0.366	A
boss	bosse	1.000	1.000	0.983	GOLD
net	nettes	1.000	1.000	0.667	GOLD
net	nette	1.000	1.000	0.630	GOLD
net	nets	1.000	1.000	0.552	GOLD
corner	cornes	1.000	0.864	0.187	A
corner	corne	1.000	0.864	0.312	A
lee	lits	1.000	1.000	0.512	GOLD
lee	lit	1.000	1.000	0.665	GOLD
lee	lis	1.000	1.000	0.846	GOLD
port	potes	1.000	0.929	0.352	A
port	pote	1.000	0.909	0.373	A
sport	spots	1.000	0.717	0.316	A
sport	spot	1.000	0.729	0.367	A
stress	stresse	1.000	0.854	0.995	GOLD
tea	tee	1.000	0.681	0.938	A
pair	pères	1.000	0.850	0.460	GOLD
pair	père	1.000	0.850	0.404	A
pair	pers	1.000	0.850	0.463	GOLD
steel	styles	1.000	1.000	0.305	A
steel	style	1.000	1.000	0.312	A
enemy	ennemies	1.000	0.951	0.906	GOLD
debt	dettes	1.000	1.000	0.295	A
debt	dette	1.000	1.000	0.224	A
supreme	soupe rimes	1.000	0.893	0.162	A
express	expresse	1.000	0.832	0.942	GOLD
entry	haines tri	1.000	0.905	0.378	A
ms	aiment ès	1.000	0.849	0.504	GOLD
pool	poules	1.000	1.000	0.359	A
pool	poule	1.000	1.000	0.403	A
route	routes	1.000	0.669	0.956	A
leg	legs	1.000	1.000	0.896	GOLD
sector	sectes	1.000	1.000	0.336	A
sector	secte	1.000	1.000	0.405	A
mm	aiment aimes	1.000	0.980	0.438	A
meat	mythes	1.000	0.646	0.227	A
meat	mythe	1.000	0.659	0.280	A
cream	crimes	1.000	0.840	0.098	A
cream	crime	1.000	0.840	0.110	A
seek	sic	1.000	1.000	0.690	GOLD
bell	belles	1.000	1.000	0.469	GOLD
bell	belle	1.000	1.000	0.432	A
bell	bel	1.000	1.000	0.591	GOLD
sees	six	1.000	0.979	0.369	A
em	aimes	1.000	1.000	0.856	GOLD
em	aiment	1.000	1.000	0.837	GOLD
em	aime	1.000	1.000	0.799	GOLD
mess	messes	1.000	1.000	0.772	GOLD
mess	messe	1.000	1.000	0.630	GOLD
arrest	restes	1.000	0.844	0.112	A
arrest	restent	1.000	0.844	0.296	A
arrest	reste	1.000	0.844	0.238	A
error	ère	1.000	0.768	0.460	GOLD
error	airs	1.000	0.768	0.357	A
error	aires	1.000	0.768	0.595	GOLD
peak	piques	1.000	1.000	0.409	A
peak	pique	1.000	1.000	0.395	A
peak	pics	1.000	1.000	0.329	A
fee	fit	1.000	1.000	0.110	A
fee	fis	1.000	1.000	0.279	A
fee	fie	1.000	1.000	0.345	A
smell	semelle	1.000	0.867	0.385	A
meal	milles	1.000	1.000	0.322	A
meal	mille	1.000	1.000	0.382	A
meal	mil	1.000	1.000	0.245	A
technique	techniques	1.000	0.957	0.971	GOLD
fort	fortes	1.000	0.864	0.874	GOLD
fort	forte	1.000	0.864	0.923	GOLD
pet	pète	1.000	1.000	0.729	GOLD
deeply	dits pli	1.000	1.000	0.568	GOLD
sexy	secs sis	1.000	1.000	0.453	GOLD
root	routes	1.000	0.823	0.315	A
root	route	1.000	0.823	0.388	A
steal	styles	1.000	1.000	0.276	A
steal	style	1.000	1.000	0.285	A
recall	rient collent	1.000	0.881	0.377	A
pen	peines	1.000	1.000	0.308	A
pen	peine	1.000	1.000	0.435	A
pp	pipi	1.000	0.957	0.747	GOLD
gene	jean	1.000	0.763	0.320	A
gene	gin	1.000	1.000	0.291	A
ought	hot	1.000	0.712	0.292	A
blues	blouse	1.000	1.000	0.251	A
reader	rides	1.000	0.823	0.277	A
reader	ride	1.000	0.823	0.331	A
boom	boum	1.000	1.000	0.660	GOLD
knee	nient	1.000	1.000	0.258	A
knee	nie	1.000	1.000	0.284	A
knee	nids	1.000	1.000	0.333	A
eve	ive	1.000	1.000	0.808	GOLD
dare	der	1.000	0.850	0.606	GOLD
sec	secs	1.000	1.000	0.899	GOLD
seal	sil	1.000	1.000	0.671	GOLD
seal	cils	1.000	1.000	0.397	A
fool	full	1.000	0.770	0.317	A
fool	foules	1.000	1.000	0.540	GOLD
fool	foule	1.000	1.000	0.398	A
jet	jets	1.000	0.887	0.860	GOLD
loop	loupe	1.000	1.000	0.374	A
mall	molle	1.000	1.000	0.369	A
cm	sis aiment	1.000	1.000	0.571	GOLD
corps	cor	1.000	0.850	0.316	A
dawn	donnes	1.000	1.000	0.395	A
dawn	donnent	1.000	1.000	0.405	A
dawn	donne	1.000	1.000	0.327	A
cooper	coupes	1.000	1.000	0.420	A
cooper	coupent	1.000	1.000	0.648	GOLD
cooper	coupe	1.000	1.000	0.423	A
terror	terres	1.000	0.850	0.430	A
terror	terre	1.000	0.850	0.522	GOLD
terror	ter	1.000	0.850	0.518	GOLD
shoe	choux	1.000	1.000	0.381	A
shoe	chou	1.000	1.000	0.279	A
terry	tait rient	1.000	0.862	0.503	GOLD
chef	chefs	1.000	1.000	0.918	GOLD
sue	sous	1.000	1.000	0.493	GOLD
sue	sou	1.000	1.000	0.344	A
sue	saoul	1.000	1.000	0.486	GOLD
excess	ex ès	1.000	0.873	0.399	A
flesh	flèches	1.000	1.000	0.441	A
flesh	flèche	1.000	1.000	0.477	GOLD
corn	cornes	1.000	0.864	0.928	GOLD
corn	corne	1.000	0.864	0.881	GOLD
corn	conne	1.000	0.929	0.264	A
clue	clous	1.000	1.000	0.561	GOLD
clue	clou	1.000	1.000	0.740	GOLD
bless	blesse	1.000	1.000	0.987	GOLD
lease	lys	1.000	1.000	0.215	A
lease	lisses	1.000	1.000	0.290	A
lease	lisse	1.000	1.000	0.267	A
flew	floue	1.000	1.000	0.385	A
flew	flou	1.000	1.000	0.461	GOLD
cc	sis scie	1.000	1.000	0.324	A
soup	soupe	1.000	1.000	0.990	GOLD
lesser	laisses	1.000	1.000	0.878	GOLD
lesser	laissent	1.000	1.000	0.889	GOLD
lesser	laisse	1.000	1.000	0.778	GOLD
ski	skis	1.000	1.000	0.972	GOLD
rev	rêves	1.000	0.823	0.431	A
rev	rêvent	1.000	0.823	0.552	GOLD
rev	rêve	1.000	0.823	0.560	GOLD
freeze	frise	1.000	0.840	0.384	A
belly	bey lies	1.000	1.000	0.286	A
poorly	polis	1.000	0.855	0.315	A
poorly	polie	1.000	0.855	0.378	A
poorly	poli	1.000	0.855	0.460	GOLD
bee	bis	1.000	0.912	0.551	GOLD
meter	mirent	1.000	0.851	0.436	A
meter	mire	1.000	0.851	0.314	A
breed	bride	1.000	0.840	0.289	A
fairy	ferry	1.000	0.795	0.068	A
freak	fric	1.000	0.840	0.664	GOLD
grief	griffes	1.000	0.852	0.378	A
grief	griffe	1.000	0.852	0.463	GOLD
torn	tonnes	1.000	0.929	0.470	GOLD
torn	tonne	1.000	0.929	0.489	GOLD
penny	paies nient	1.000	1.000	0.344	A
reed	rides	1.000	0.823	0.207	A
reed	ride	1.000	0.823	0.262	A
buyer	bye	1.000	0.745	0.169	A
cease	six	1.000	1.000	0.334	A
fork	phoques	1.000	0.909	0.271	A
fork	phoque	1.000	0.909	0.301	A
suited	sourde	1.000	0.865	0.274	A
ferry	faits rient	1.000	0.862	0.127	A
seller	sels	1.000	1.000	0.473	GOLD
seller	selles	1.000	1.000	0.571	GOLD
seller	selle	1.000	1.000	0.717	GOLD
coup	coupes	1.000	1.000	0.448	A
coup	coupent	1.000	1.000	0.639	GOLD
coup	coupe	1.000	1.000	0.438	A
escort	escorte	1.000	0.872	0.890	GOLD
cord	codes	1.000	0.929	0.585	GOLD
cord	code	1.000	0.909	0.503	GOLD
ruby	roux bis	1.000	0.824	0.250	A
berry	bey rient	1.000	0.862	0.466	GOLD
bees	bises	1.000	1.000	0.446	A
bees	bise	1.000	1.000	0.447	A
cooler	coulent	1.000	0.798	0.315	A
cooler	coule	1.000	1.000	0.238	A
flu	floue	1.000	1.000	0.247	A
flu	flou	1.000	1.000	0.389	A
pee	pis	1.000	1.000	0.671	GOLD
pee	pie	1.000	1.000	0.636	GOLD
pee	pi	1.000	1.000	0.585	GOLD
plea	plis	1.000	1.000	0.870	GOLD
plea	plie	1.000	1.000	0.829	GOLD
plea	pli	1.000	1.000	0.905	GOLD
fare	fers	1.000	0.850	0.895	GOLD
fare	fer	1.000	0.850	0.928	GOLD
fare	faire	1.000	0.850	0.930	GOLD
newer	nous	1.000	1.000	0.598	GOLD
lb	aile bis	1.000	0.945	0.465	GOLD
norm	normes	1.000	0.864	0.836	GOLD
norm	norme	1.000	0.864	0.817	GOLD
norm	nomment	1.000	0.728	0.529	GOLD
seas	six	1.000	0.979	0.542	GOLD
boo	bouts	1.000	1.000	0.573	GOLD
boo	bout	1.000	1.000	0.847	GOLD
boo	boues	1.000	0.540	0.612	B
cs	sis ès	1.000	0.873	0.665	GOLD
esteem	estiment	1.000	0.957	0.841	GOLD
esteem	estime	1.000	0.957	0.712	GOLD
sued	soude	1.000	1.000	0.256	A
tel	tels	1.000	1.000	0.968	GOLD
tel	telles	1.000	1.000	0.466	GOLD
tel	telle	1.000	1.000	0.478	GOLD
vault	volts	1.000	1.000	0.560	GOLD
aye	eye	1.000	0.698	0.364	A
bury	bey rient	1.000	0.862	0.450	A
heir	ère	1.000	0.768	0.552	GOLD
heir	airs	1.000	0.768	0.234	A
heir	aires	1.000	0.768	0.463	GOLD
pl	pie aile	1.000	1.000	0.514	GOLD
messy	mets sis	1.000	1.000	0.385	A
wee	ouïe	1.000	0.540	0.818	B
wee	oui	1.000	1.000	0.747	GOLD
breeze	brise	1.000	0.840	0.523	GOLD
levy	lez vies	1.000	0.984	0.858	GOLD
niche	niches	1.000	0.909	0.967	GOLD
envy	haines vies	1.000	1.000	0.524	GOLD
ml	aiment aile	1.000	0.980	0.438	A
ruler	roulent	1.000	0.678	0.588	A
ruler	roule	1.000	0.823	0.659	GOLD
merry	mets rient	1.000	0.862	0.519	GOLD
ea	hi	1.000	1.000	0.753	GOLD
peel	piles	1.000	1.000	0.461	GOLD
peel	pile	1.000	1.000	0.498	GOLD
seize	six	1.000	0.979	0.329	A
belle	belles	1.000	1.000	0.877	GOLD
belle	bel	1.000	1.000	0.774	GOLD
paired	perdent	1.000	0.871	0.234	A
paired	perde	1.000	0.871	0.294	A
liner	line	1.000	0.816	0.594	GOLD
mesh	mèches	1.000	1.000	0.501	GOLD
mesh	mèche	1.000	1.000	0.576	GOLD
prestige	presse tiges	1.000	0.935	0.294	A
selfie	selles fis	1.000	1.000	0.314	A
excel	ex aile	1.000	1.000	0.175	A
rumor	room	1.000	0.783	0.275	A
vest	vestes	1.000	1.000	0.884	GOLD
vest	veste	1.000	1.000	0.728	GOLD
yen	yens	1.000	1.000	0.981	GOLD
beck	bec	1.000	1.000	0.705	GOLD
cork	coques	1.000	0.909	0.568	GOLD
cork	coque	1.000	0.909	0.529	GOLD
cork	coq	1.000	0.929	0.384	A
ls	aile ès	1.000	0.873	0.755	GOLD
moody	mous dits	1.000	1.000	0.541	GOLD
pd	pie dits	1.000	1.000	0.557	GOLD
peek	piques	1.000	1.000	0.631	GOLD
peek	pique	1.000	1.000	0.638	GOLD
peek	pics	1.000	1.000	0.549	GOLD
mu	mous	1.000	1.000	0.791	GOLD
mu	mou	1.000	1.000	0.856	GOLD
troop	troupes	1.000	0.840	0.749	GOLD
troop	troupe	1.000	0.840	0.723	GOLD
dd	dits dis	1.000	1.000	0.355	A
sushi	saoul chie	1.000	1.000	0.371	A
borne	bonnes	1.000	0.909	0.763	GOLD
borne	bonne	1.000	0.909	0.783	GOLD
tutor	tours	1.000	0.851	0.372	A
tutor	tour	1.000	0.851	0.352	A
freezer	frise	1.000	0.840	0.312	A
poop	poupe	1.000	1.000	0.855	GOLD
rouge	rouges	1.000	0.823	0.991	GOLD
wed	oued	1.000	0.639	0.401	A
awed	ode	1.000	1.000	0.808	GOLD
awed	odes	1.000	0.968	0.787	GOLD
beck	becs	1.000	1.000	0.670	GOLD
bawdy	body	1.000	0.785	0.572	GOLD
bead	bide	1.000	1.000	0.672	GOLD
bead	bides	1.000	1.000	0.474	GOLD
beak	bic	1.000	1.000	0.474	GOLD
beak	bique	1.000	1.000	0.306	A
beak	biques	1.000	1.000	0.514	GOLD
bean	bine	1.000	1.000	0.490	GOLD
bean	binent	1.000	1.000	0.579	GOLD
bean	bines	1.000	1.000	0.520	GOLD
beat	bit	1.000	1.000	0.283	A
beat	bitte	1.000	1.000	0.505	GOLD
beat	bittent	1.000	1.000	0.408	A
beat	bittes	1.000	1.000	0.338	A
beet	bit	1.000	1.000	0.507	GOLD
beet	bite	1.000	1.000	0.582	GOLD
beet	bites	1.000	1.000	0.485	GOLD
beet	bits	1.000	1.000	0.445	A
beet	bitte	1.000	1.000	0.528	GOLD
beet	bittent	1.000	1.000	0.512	GOLD
beet	bittes	1.000	1.000	0.645	GOLD
beef	biffe	1.000	1.000	0.218	A
beef	biffent	1.000	1.000	0.171	A
beef	biffes	1.000	1.000	0.221	A
beep	bip	1.000	1.000	0.667	GOLD
ben	benne	1.000	1.000	0.817	GOLD
ben	bennes	1.000	1.000	0.928	GOLD
bet	bette	1.000	1.000	0.928	GOLD
bet	bettes	1.000	1.000	0.886	GOLD
boo	boue	1.000	1.000	0.767	GOLD
booed	boude	1.000	1.000	0.706	GOLD
booed	boudent	1.000	1.000	0.717	GOLD
booed	boudes	1.000	1.000	0.690	GOLD
boom	booms	1.000	0.767	0.909	GOLD
boom	boume	1.000	1.000	0.589	GOLD
boom	boument	1.000	1.000	0.540	GOLD
boom	boumes	1.000	1.000	0.391	A
boos	bouse	1.000	1.000	0.857	GOLD
boos	bouses	1.000	1.000	0.850	GOLD
booze	bouse	1.000	1.000	0.572	GOLD
booze	bouses	1.000	1.000	0.579	GOLD
bootie	boutis	1.000	0.848	0.377	A
booty	boutis	1.000	0.848	0.448	A
boutique	boutiques	1.000	0.957	0.960	GOLD
sea	ci	1.000	1.000	0.510	GOLD
sea	scient	1.000	1.000	0.435	A
sea	scies	1.000	1.000	0.427	A
see	ci	1.000	1.000	0.770	GOLD
see	scient	1.000	1.000	0.574	GOLD
see	scies	1.000	1.000	0.561	GOLD
si	ci	1.000	1.000	0.957	GOLD
si	scie	1.000	1.000	0.854	GOLD
si	scient	1.000	1.000	0.681	GOLD
si	scies	1.000	1.000	0.657	GOLD
si	sis	1.000	1.000	0.868	GOLD
seas	sise	1.000	1.000	0.894	GOLD
seas	sises	1.000	1.000	0.902	GOLD
sees	sise	1.000	1.000	0.651	GOLD
sees	sises	1.000	1.000	0.657	GOLD
seize	sise	1.000	1.000	0.553	GOLD
seize	sises	1.000	1.000	0.562	GOLD
cede	cid	1.000	1.000	0.903	GOLD
seed	cid	1.000	1.000	0.401	A
chemise	chemisent	1.000	0.957	0.467	GOLD
chemise	chemises	1.000	0.957	0.910	GOLD
chic	chics	1.000	1.000	0.946	GOLD
chic	chique	1.000	1.000	0.687	GOLD
chic	chiquent	1.000	1.000	0.661	GOLD
chic	chiques	1.000	1.000	0.660	GOLD
chute	choute	1.000	1.000	0.709	GOLD
chute	choutes	1.000	1.000	0.535	GOLD
chute	shoot	1.000	0.783	0.409	A
chute	shoote	1.000	0.783	0.426	A
chute	shootent	1.000	0.634	0.419	A
chute	shootes	1.000	0.767	0.343	A
chute	shoots	1.000	0.767	0.359	A
shoot	choute	1.000	1.000	0.461	GOLD
shoot	choutes	1.000	1.000	0.277	A
shoot	shoote	1.000	0.783	0.980	GOLD
shoot	shootent	1.000	0.634	0.922	A
shoot	shootes	1.000	0.767	0.941	GOLD
shoot	shoots	1.000	0.767	0.950	GOLD
sheen	chine	1.000	1.000	0.551	GOLD
sheen	chinent	1.000	1.000	0.476	GOLD
sheen	chines	1.000	1.000	0.315	A
coo	cou	1.000	1.000	0.834	GOLD
coo	coud	1.000	0.613	0.767	A
coo	couds	1.000	0.599	0.758	B
coo	coup	1.000	1.000	0.573	GOLD
coo	coups	1.000	1.000	0.512	GOLD
coo	cous	1.000	1.000	0.827	GOLD
cooed	coude	1.000	1.000	0.831	GOLD
cooed	coudent	1.000	1.000	0.784	GOLD
cooed	coudes	1.000	1.000	0.807	GOLD
coupe	coupent	1.000	1.000	0.740	GOLD
coupe	coupes	1.000	1.000	0.961	GOLD
kooky	cookie	1.000	0.785	0.297	A
dawn	don	1.000	0.882	0.334	A
do	doue	1.000	1.000	0.830	GOLD
do	douent	1.000	0.540	0.819	B
do	doues	1.000	0.540	0.594	B
douche	douchent	1.000	1.000	0.830	GOLD
douche	douches	1.000	1.000	0.877	GOLD
eave	ive	1.000	1.000	0.825	GOLD
eave	ives	1.000	1.000	0.819	GOLD
eve	ives	1.000	1.000	0.683	GOLD
en	aine	1.000	1.000	0.883	GOLD
en	aines	1.000	1.000	0.730	GOLD
fawn	phone	1.000	1.000	0.175	A
fawn	phones	1.000	0.979	0.120	A
fee	fi	1.000	1.000	0.350	A
fee	fient	1.000	1.000	0.345	A
fee	fies	1.000	1.000	0.276	A
fee	phi	1.000	1.000	0.287	A
fess	fesse	1.000	1.000	0.909	GOLD
fess	fessent	1.000	1.000	0.836	GOLD
fess	fesses	1.000	1.000	0.833	GOLD
gean	djinn	1.000	1.000	0.511	GOLD
gean	djinns	1.000	1.000	0.460	GOLD
gean	gin	1.000	1.000	0.510	GOLD
gean	gins	1.000	1.000	0.516	GOLD
gean	jean	1.000	0.763	0.709	GOLD
gene	djinn	1.000	1.000	0.382	A
gene	djinns	1.000	1.000	0.372	A
gene	gins	1.000	1.000	0.276	A
jean	djinn	1.000	1.000	0.472	GOLD
jean	djinns	1.000	1.000	0.419	A
jean	gin	1.000	1.000	0.443	A
jean	gins	1.000	1.000	0.436	A
nu	noue	1.000	1.000	0.696	GOLD
nu	nouent	1.000	0.540	0.739	B
nu	noues	1.000	0.540	0.723	B
nu	nous	1.000	1.000	0.840	GOLD
shoo	chou	1.000	1.000	0.670	GOLD
shoo	choux	1.000	1.000	0.665	GOLD
kea	qui	1.000	1.000	0.503	GOLD
keck	cake	1.000	0.715	0.325	A
keck	cakes	1.000	0.699	0.336	A
kiwi	kiwis	1.000	0.907	0.901	GOLD
knee	ni	1.000	1.000	0.331	A
knee	nid	1.000	1.000	0.350	A
knee	nies	1.000	1.000	0.312	A
kook	couque	1.000	1.000	0.719	GOLD
me	mi	1.000	1.000	0.784	GOLD
me	mies	1.000	1.000	0.723	GOLD
mean	minent	1.000	1.000	0.575	GOLD
meany	mini	1.000	0.957	0.539	GOLD
meany	minis	1.000	0.957	0.548	GOLD
meany	minnie	1.000	0.957	0.780	GOLD
meat	mite	1.000	1.000	0.289	A
meat	mitent	1.000	1.000	0.404	A
meat	mites	1.000	1.000	0.241	A
meet	mite	1.000	1.000	0.461	GOLD
meet	mitent	1.000	1.000	0.505	GOLD
meet	mites	1.000	1.000	0.422	A
meme	mime	1.000	1.000	0.678	GOLD
meme	miment	1.000	1.000	0.632	GOLD
meme	mimes	1.000	1.000	0.585	GOLD
men	maine	1.000	1.000	0.509	GOLD
met	mettes	1.000	1.000	0.904	GOLD
moo	mou	1.000	1.000	0.668	GOLD
moo	moue	1.000	1.000	0.662	GOLD
moo	moues	1.000	0.540	0.562	B
moo	mous	1.000	1.000	0.849	GOLD
mu	moue	1.000	1.000	0.879	GOLD
mu	moues	1.000	0.540	0.893	B
moose	mousse	1.000	1.000	0.195	A
moose	moussent	1.000	1.000	0.370	A
moose	mousses	1.000	1.000	0.276	A
mousse	moussent	1.000	1.000	0.818	GOLD
mousse	mousses	1.000	1.000	0.960	GOLD
naught	note	1.000	1.000	0.536	GOLD
naught	notent	1.000	0.979	0.711	GOLD
naught	notes	1.000	0.979	0.422	A
ooh	ou	1.000	1.000	0.792	GOLD
pea	pi	1.000	1.000	0.598	GOLD
pea	pie	1.000	1.000	0.749	GOLD
pea	pies	1.000	1.000	0.627	GOLD
pea	pis	1.000	1.000	0.753	GOLD
pee	pies	1.000	1.000	0.543	GOLD
peas	pise	1.000	1.000	0.711	GOLD
pees	pise	1.000	1.000	0.764	GOLD
peak	pic	1.000	1.000	0.373	A
peak	piquent	1.000	1.000	0.344	A
peek	pic	1.000	1.000	0.629	GOLD
peek	piquent	1.000	1.000	0.576	GOLD
