en	fr	score	tier	gold_en	gold_fr	src_tier
addressing	adressez	0.642	STRICT	address	adresse	DUAL-S
addressing	adressa	0.625	STRICT	address	adresse	DUAL-S
adel	adele	0.540	PASS	adel	adel	DUAL-S
adem	ademe	0.540	PASS	adem	adem	DUAL-S
adept	adeptes	0.818	STRICT	adept	adepte	DUAL-S
adepts	adepte	0.683	STRICT	adept	adepte	DUAL-S
adepts	adeptes	0.683	STRICT	adept	adepte	DUAL-S
adorned	ornent	0.577	PASS	adorn	ornent	DUAL-S
adorning	ornent	0.568	PASS	adorn	ornent	DUAL-S
adorns	ornent	0.577	PASS	adorn	ornent	DUAL-S
adri	adria	0.625	STRICT	adri	adri	DUAL-S
affect	affecté	0.683	STRICT	affect	affecte	DUAL-S
affect	affecter	0.683	STRICT	affect	affecte	DUAL-S
affect	affectent	0.818	STRICT	affect	affecte	DUAL-S
affect	affectant	0.683	STRICT	affect	affecte	DUAL-S
affect	affectait	0.683	STRICT	affect	affecte	DUAL-S
affect	affecta	0.683	STRICT	affect	affecte	DUAL-S
affect	affectez	0.683	STRICT	affect	affecte	DUAL-S
affected	affecte	0.683	STRICT	affect	affecte	DUAL-S
affected	affecté	0.637	STRICT	affect	affecte	DUAL-S
affected	affecter	0.637	STRICT	affect	affecte	DUAL-S
affected	affectent	0.683	STRICT	affect	affecte	DUAL-S
affected	affectant	0.657	STRICT	affect	affecte	DUAL-S
affected	affectait	0.637	STRICT	affect	affecte	DUAL-S
affected	affecta	0.644	STRICT	affect	affecte	DUAL-S
affected	affectez	0.637	STRICT	affect	affecte	DUAL-S
affects	affecte	0.683	STRICT	affect	affecte	DUAL-S
affects	affecté	0.644	STRICT	affect	affecte	DUAL-S
affects	affecter	0.644	STRICT	affect	affecte	DUAL-S
affects	affectent	0.683	STRICT	affect	affecte	DUAL-S
affects	affectant	0.644	STRICT	affect	affecte	DUAL-S
affects	affectait	0.644	STRICT	affect	affecte	DUAL-S
affects	affecta	0.644	STRICT	affect	affecte	DUAL-S
affects	affectez	0.644	STRICT	affect	affecte	DUAL-S
affecting	affecte	0.665	STRICT	affect	affecte	DUAL-S
affecting	affecté	0.642	STRICT	affect	affecte	DUAL-S
affecting	affecter	0.642	STRICT	affect	affecte	DUAL-S
affecting	affectent	0.665	STRICT	affect	affecte	DUAL-S
affecting	affectant	0.640	STRICT	affect	affecte	DUAL-S
affecting	affectait	0.651	STRICT	affect	affecte	DUAL-S
affecting	affecta	0.625	STRICT	affect	affecte	DUAL-S
affecting	affectez	0.642	STRICT	affect	affecte	DUAL-S
agreste	agrestes	0.847	STRICT	agreste	agreste	DUAL-S
air	aire	1.000	STRICT	air	air	DUAL-S
air	airs	1.000	STRICT	air	air	DUAL-S
air	aires	1.000	STRICT	air	air	DUAL-S
aired	air	0.716	STRICT	air	air	DUAL-S
aired	aire	0.716	STRICT	air	air	DUAL-S
aired	airs	0.716	STRICT	air	air	DUAL-S
aired	aires	0.716	STRICT	air	air	DUAL-S
airing	air	0.682	STRICT	air	air	DUAL-S
airing	aire	0.682	STRICT	air	air	DUAL-S
airing	airs	0.682	STRICT	air	air	DUAL-S
airing	aires	0.682	STRICT	air	air	DUAL-S
airs	air	0.716	STRICT	air	air	DUAL-S
airs	aire	0.716	STRICT	air	air	DUAL-S
airs	airs	0.716	STRICT	air	air	DUAL-S
airs	aires	0.716	STRICT	air	air	DUAL-S
airbag	airbags	0.821	STRICT	airbag	airbag	DUAL-S
airbag	airbag	0.821	STRICT	airbag	airbags	DUAL-S
aire	aires	1.000	STRICT	aire	aire	DUAL-S
airlifted	airlift	0.730	STRICT	airlift	airlift	DUAL-S
airlifting	airlift	0.710	STRICT	airlift	airlift	DUAL-S
airlifts	airlift	0.730	STRICT	airlift	airlift	DUAL-S
air	air	1.000	STRICT	airs	airs	DUAL-S
albatrosses	albatros	0.672	STRICT	albatross	albatros	DUAL-S
alessi	alessia	0.599	PASS	alessi	alessi	DUAL-S
alexi	alexis	0.845	STRICT	alexi	alexi	DUAL-S
alexi	alexia	0.653	STRICT	alexi	alexi	DUAL-S
alexie	alexia	0.653	STRICT	alexie	alexie	DUAL-S
alias	aliasing	0.710	STRICT	aliasing	aliasing	DUAL-S
aliases	aliasing	0.696	STRICT	aliasing	aliasing	DUAL-S
aliased	aliasing	0.703	STRICT	aliasing	aliasing	DUAL-S
amazigh	amazighe	0.526	PASS	amazigh	amazigh	DUAL-S
amazed	amazing	0.602	STRICT	amazing	amazing	DUAL-S
amaze	amazing	0.621	STRICT	amazing	amazing	DUAL-S
amazes	amazing	0.610	STRICT	amazing	amazing	DUAL-S
andreas	andrea	0.518	PASS	andreas	andreas	DUAL-S
andri	andria	0.619	STRICT	andri	andri	DUAL-S
andri	andries	0.758	STRICT	andri	andri	DUAL-S
annex	annexes	0.821	STRICT	annex	annexe	DUAL-S
annex	annexé	0.686	STRICT	annex	annexe	DUAL-S
annex	annexer	0.686	STRICT	annex	annexe	DUAL-S
annex	annexant	0.686	STRICT	annex	annexe	DUAL-S
annex	annexait	0.686	STRICT	annex	annexe	DUAL-S
annexed	annexe	0.686	STRICT	annex	annexe	DUAL-S
annexed	annexes	0.686	STRICT	annex	annexe	DUAL-S
annexed	annexé	0.646	STRICT	annex	annexe	DUAL-S
annexed	annexer	0.646	STRICT	annex	annexe	DUAL-S
annexed	annexant	0.650	STRICT	annex	annexe	DUAL-S
annexed	annexait	0.646	STRICT	annex	annexe	DUAL-S
annexing	annexe	0.667	STRICT	annex	annexe	DUAL-S
annexing	annexes	0.667	STRICT	annex	annexe	DUAL-S
annexing	annexé	0.644	STRICT	annex	annexe	DUAL-S
annexing	annexer	0.644	STRICT	annex	annexe	DUAL-S
annexing	annexant	0.643	STRICT	annex	annexe	DUAL-S
annexing	annexait	0.653	STRICT	annex	annexe	DUAL-S
annexes	annexe	0.686	STRICT	annex	annexe	DUAL-S
annexes	annexes	0.686	STRICT	annex	annexe	DUAL-S
annexes	annexé	0.640	STRICT	annex	annexe	DUAL-S
annexes	annexer	0.640	STRICT	annex	annexe	DUAL-S
annexes	annexant	0.646	STRICT	annex	annexe	DUAL-S
annexes	annexait	0.640	STRICT	annex	annexe	DUAL-S
antique	antiques	0.758	STRICT	antique	antique	DUAL-S
antique	antiqua	0.619	STRICT	antique	antique	DUAL-S
antiques	antique	0.619	STRICT	antique	antique	DUAL-S
antiques	antiques	0.619	STRICT	antique	antique	DUAL-S
antiques	antiqua	0.583	PASS	antique	antique	DUAL-S
apell	apelle	0.743	STRICT	apell	apell	DUAL-S
apell	apeller	0.602	STRICT	apell	apell	DUAL-S
apell	apelles	0.743	STRICT	apell	apell	DUAL-S
apexes	apex	0.659	STRICT	apex	apex	DUAL-S
approve	approuvé	0.683	STRICT	approve	approuve	DUAL-S
approve	approuver	0.683	STRICT	approve	approuve	DUAL-S
approve	approuvent	0.818	STRICT	approve	approuve	DUAL-S
approve	approuvant	0.683	STRICT	approve	approuve	DUAL-S
approve	approuvez	0.683	STRICT	approve	approuve	DUAL-S
approve	approuva	0.683	STRICT	approve	approuve	DUAL-S
approve	approuvait	0.683	STRICT	approve	approuve	DUAL-S
approve	approuves	0.818	STRICT	approve	approuve	DUAL-S
approved	approuve	0.683	STRICT	approve	approuve	DUAL-S
approved	approuvé	0.637	STRICT	approve	approuve	DUAL-S
approved	approuver	0.637	STRICT	approve	approuve	DUAL-S
approved	approuvent	0.683	STRICT	approve	approuve	DUAL-S
approved	approuvant	0.657	STRICT	approve	approuve	DUAL-S
approved	approuvez	0.637	STRICT	approve	approuve	DUAL-S
approved	approuva	0.644	STRICT	approve	approuve	DUAL-S
approved	approuvait	0.637	STRICT	approve	approuve	DUAL-S
approved	approuves	0.683	STRICT	approve	approuve	DUAL-S
approves	approuve	0.683	STRICT	approve	approuve	DUAL-S
approves	approuvé	0.637	STRICT	approve	approuve	DUAL-S
approves	approuver	0.637	STRICT	approve	approuve	DUAL-S
approves	approuvent	0.683	STRICT	approve	approuve	DUAL-S
approves	approuvant	0.644	STRICT	approve	approuve	DUAL-S
approves	approuvez	0.637	STRICT	approve	approuve	DUAL-S
approves	approuva	0.644	STRICT	approve	approuve	DUAL-S
approves	approuvait	0.637	STRICT	approve	approuve	DUAL-S
approves	approuves	0.683	STRICT	approve	approuve	DUAL-S
approving	approuve	0.665	STRICT	approve	approuve	DUAL-S
approving	approuvé	0.642	STRICT	approve	approuve	DUAL-S
approving	approuver	0.642	STRICT	approve	approuve	DUAL-S
approving	approuvent	0.665	STRICT	approve	approuve	DUAL-S
approving	approuvant	0.640	STRICT	approve	approuve	DUAL-S
approving	approuvez	0.642	STRICT	approve	approuve	DUAL-S
approving	approuva	0.625	STRICT	approve	approuve	DUAL-S
approving	approuvait	0.651	STRICT	approve	approuve	DUAL-S
approving	approuves	0.665	STRICT	approve	approuve	DUAL-S
ardenne	ardennes	0.827	STRICT	ardenne	ardenne	DUAL-S
ardenne	ardenne	0.827	STRICT	ardenne	ardennes	DUAL-S
arni	arnie	0.793	STRICT	arni	arni	DUAL-S
aspect	aspects	0.847	STRICT	aspect	aspect	DUAL-S
aspects	aspect	0.728	STRICT	aspect	aspect	DUAL-S
aspects	aspects	0.728	STRICT	aspect	aspect	DUAL-S
asti	astier	0.549	PASS	asti	asti	DUAL-S
atelier	ateliers	0.716	STRICT	atelier	atelier	DUAL-S
atelier	atelier	0.716	STRICT	atelier	ateliers	DUAL-S
attest	attestent	0.818	STRICT	attest	atteste	DUAL-S
attest	attesté	0.683	STRICT	attest	atteste	DUAL-S
attest	attestant	0.683	STRICT	attest	atteste	DUAL-S
attest	attester	0.683	STRICT	attest	atteste	DUAL-S
attest	attestait	0.703	STRICT	attest	atteste	DUAL-S
attested	atteste	0.683	STRICT	attest	atteste	DUAL-S
attested	attestent	0.683	STRICT	attest	atteste	DUAL-S
attested	attesté	0.637	STRICT	attest	atteste	DUAL-S
attested	attestant	0.657	STRICT	attest	atteste	DUAL-S
attested	attester	0.637	STRICT	attest	atteste	DUAL-S
attested	attestait	0.654	STRICT	attest	atteste	DUAL-S
attests	atteste	0.683	STRICT	attest	atteste	DUAL-S
attests	attestent	0.683	STRICT	attest	atteste	DUAL-S
attests	attesté	0.644	STRICT	attest	atteste	DUAL-S
attests	attestant	0.644	STRICT	attest	atteste	DUAL-S
attests	attester	0.644	STRICT	attest	atteste	DUAL-S
attests	attestait	0.660	STRICT	attest	atteste	DUAL-S
attesting	atteste	0.665	STRICT	attest	atteste	DUAL-S
attesting	attestent	0.665	STRICT	attest	atteste	DUAL-S
attesting	attesté	0.642	STRICT	attest	atteste	DUAL-S
attesting	attestant	0.640	STRICT	attest	atteste	DUAL-S
attesting	attester	0.642	STRICT	attest	atteste	DUAL-S
attesting	attestait	0.665	STRICT	attest	atteste	DUAL-S
aure	aurait	0.463	PASS	aure	aure	DUAL-S
aurore	aurora	0.648	STRICT	aurore	aurore	DUAL-S
aurore	aurores	0.821	STRICT	aurore	aurore	DUAL-S
aurore	aurore	0.775	STRICT	aurore	aurores	DUAL-S
ayr	ayres	1.000	STRICT	ayr	ayr	DUAL-S
ayre	ayres	1.000	STRICT	ayre	ayre	DUAL-S
aztec	aztèques	0.821	STRICT	aztec	aztèque	DUAL-S
badge	badges	0.785	STRICT	badge	badge	DUAL-S
badge	badger	0.628	STRICT	badge	badge	DUAL-S
badges	badge	0.628	STRICT	badge	badge	DUAL-S
badges	badges	0.628	STRICT	badge	badge	DUAL-S
badges	badger	0.577	PASS	badge	badge	DUAL-S
badged	badge	0.628	STRICT	badge	badge	DUAL-S
badged	badges	0.628	STRICT	badge	badge	DUAL-S
badged	badger	0.577	PASS	badge	badge	DUAL-S
badging	badge	0.612	STRICT	badge	badge	DUAL-S
badging	badges	0.612	STRICT	badge	badge	DUAL-S
badging	badger	0.589	PASS	badge	badge	DUAL-S
badi	badie	0.785	STRICT	badi	badi	DUAL-S
badi	badia	0.528	PASS	badi	badi	DUAL-S
badi	badis	0.785	STRICT	badi	badi	DUAL-S
baer	bae	0.556	PASS	baer	baer	DUAL-S
baer	baa	0.475	PASS	baer	baer	DUAL-S
baer	baez	0.484	PASS	baer	baer	DUAL-S
baguette	baguettes	0.821	STRICT	baguette	baguette	DUAL-S
ballerina	ballerines	0.757	STRICT	ballerina	ballerine	DUAL-S
ballerinas	ballerine	0.705	STRICT	ballerina	ballerine	DUAL-S
ballerinas	ballerines	0.705	STRICT	ballerina	ballerine	DUAL-S
balls	bol	0.781	STRICT	balls	bols	DUAL-S
ball	bols	1.000	STRICT	balls	bols	DUAL-S
ball	bol	1.000	STRICT	balls	bols	DUAL-S
balling	bols	0.746	STRICT	balls	bols	DUAL-S
balling	bol	0.746	STRICT	balls	bols	DUAL-S
balled	bols	0.781	STRICT	balls	bols	DUAL-S
balled	bol	0.781	STRICT	balls	bols	DUAL-S
bani	banier	0.552	PASS	bani	bani	DUAL-S
baptiste	baptistes	0.795	STRICT	baptiste	baptiste	DUAL-S
baptiste	baptista	0.690	STRICT	baptiste	baptiste	DUAL-S
barb	barbe	0.793	STRICT	barb	barb	DUAL-S
barb	barbes	0.793	STRICT	barb	barb	DUAL-S
barb	barber	0.634	STRICT	barb	barb	DUAL-S
barb	barba	0.652	STRICT	barb	barb	DUAL-S
barb	barbant	0.634	STRICT	barb	barb	DUAL-S
barb	barbé	0.634	STRICT	barb	barb	DUAL-S
barb	barbons	0.634	STRICT	barb	barb	DUAL-S
barb	barbés	0.634	STRICT	barb	barb	DUAL-S
barb	barbent	0.793	STRICT	barb	barb	DUAL-S
barb	barbaient	0.634	STRICT	barb	barb	DUAL-S
barb	barbait	0.634	STRICT	barb	barb	DUAL-S
barbed	barb	0.634	STRICT	barb	barb	DUAL-S
barbed	barbe	0.634	STRICT	barb	barb	DUAL-S
barbed	barbes	0.634	STRICT	barb	barb	DUAL-S
barbed	barber	0.583	PASS	barb	barb	DUAL-S
barbed	barba	0.607	STRICT	barb	barb	DUAL-S
barbed	barbant	0.607	STRICT	barb	barb	DUAL-S
barbed	barbé	0.583	PASS	barb	barb	DUAL-S
barbed	barbons	0.607	STRICT	barb	barb	DUAL-S
barbed	barbés	0.583	PASS	barb	barb	DUAL-S
barbed	barbent	0.634	STRICT	barb	barb	DUAL-S
barbed	barbaient	0.583	PASS	barb	barb	DUAL-S
barbed	barbait	0.583	PASS	barb	barb	DUAL-S
barbs	barb	0.634	STRICT	barb	barb	DUAL-S
barbs	barbe	0.634	STRICT	barb	barb	DUAL-S
barbs	barbes	0.634	STRICT	barb	barb	DUAL-S
barbs	barber	0.583	PASS	barb	barb	DUAL-S
barbs	barba	0.607	STRICT	barb	barb	DUAL-S
barbs	barbant	0.592	PASS	barb	barb	DUAL-S
barbs	barbé	0.583	PASS	barb	barb	DUAL-S
barbs	barbons	0.592	PASS	barb	barb	DUAL-S
barbs	barbés	0.583	PASS	barb	barb	DUAL-S
barbs	barbent	0.634	STRICT	barb	barb	DUAL-S
barbs	barbaient	0.583	PASS	barb	barb	DUAL-S
barbs	barbait	0.583	PASS	barb	barb	DUAL-S
barbing	barb	0.617	STRICT	barb	barb	DUAL-S
barbing	barbe	0.617	STRICT	barb	barb	DUAL-S
barbing	barbes	0.617	STRICT	barb	barb	DUAL-S
barbing	barber	0.594	PASS	barb	barb	DUAL-S
barbing	barba	0.587	PASS	barb	barb	DUAL-S
barbing	barbant	0.592	PASS	barb	barb	DUAL-S
barbing	barbé	0.594	PASS	barb	barb	DUAL-S
barbing	barbons	0.607	STRICT	barb	barb	DUAL-S
barbing	barbés	0.594	PASS	barb	barb	DUAL-S
barbing	barbent	0.617	STRICT	barb	barb	DUAL-S
barbing	barbaient	0.604	STRICT	barb	barb	DUAL-S
barbing	barbait	0.604	STRICT	barb	barb	DUAL-S
barbari	barbarie	0.774	STRICT	barbari	barbari	DUAL-S
barbari	barbaries	0.774	STRICT	barbari	barbari	DUAL-S
barbe	barbes	0.793	STRICT	barbe	barbe	DUAL-S
barbe	barber	0.634	STRICT	barbe	barbe	DUAL-S
barbe	barba	0.652	STRICT	barbe	barbe	DUAL-S
barbe	barbant	0.634	STRICT	barbe	barbe	DUAL-S
barbe	barbé	0.634	STRICT	barbe	barbe	DUAL-S
barbe	barbent	0.793	STRICT	barbe	barbe	DUAL-S
barbe	barbait	0.634	STRICT	barbe	barbe	DUAL-S
barbes	barbe	0.634	STRICT	barbe	barbe	DUAL-S
barbes	barbes	0.634	STRICT	barbe	barbe	DUAL-S
barbes	barber	0.583	PASS	barbe	barbe	DUAL-S
barbes	barba	0.607	STRICT	barbe	barbe	DUAL-S
barbes	barbant	0.592	PASS	barbe	barbe	DUAL-S
barbes	barbé	0.583	PASS	barbe	barbe	DUAL-S
barbes	barbent	0.634	STRICT	barbe	barbe	DUAL-S
barbes	barbait	0.583	PASS	barbe	barbe	DUAL-S
barbie	barbier	0.626	STRICT	barbie	barbie	DUAL-S
barbie	barbies	0.827	STRICT	barbie	barbie	DUAL-S
barc	barca	0.634	STRICT	barc	barc	DUAL-S
bard	bardé	0.634	STRICT	bard	barde	DUAL-S
bard	bardes	0.793	STRICT	bard	barde	DUAL-S
bard	barda	0.634	STRICT	bard	barde	DUAL-S
bard	barder	0.634	STRICT	bard	barde	DUAL-S
bard	bardait	0.634	STRICT	bard	barde	DUAL-S
bards	barde	0.634	STRICT	bard	barde	DUAL-S
bards	bardé	0.583	PASS	bard	barde	DUAL-S
bards	bardes	0.634	STRICT	bard	barde	DUAL-S
bards	barda	0.592	PASS	bard	barde	DUAL-S
bards	barder	0.583	PASS	bard	barde	DUAL-S
bards	bardait	0.583	PASS	bard	barde	DUAL-S
barding	barde	0.617	STRICT	bard	barde	DUAL-S
barding	bardé	0.594	PASS	bard	barde	DUAL-S
barding	bardes	0.617	STRICT	bard	barde	DUAL-S
barding	barda	0.574	PASS	bard	barde	DUAL-S
barding	barder	0.594	PASS	bard	barde	DUAL-S
barding	bardait	0.604	STRICT	bard	barde	DUAL-S
barded	barde	0.725	STRICT	bard	barde	DUAL-S
barded	bardé	0.583	PASS	bard	barde	DUAL-S
barded	bardes	0.725	STRICT	bard	barde	DUAL-S
barded	barda	0.592	PASS	bard	barde	DUAL-S
barded	barder	0.583	PASS	bard	barde	DUAL-S
barded	bardait	0.583	PASS	bard	barde	DUAL-S
barg	barge	0.511	PASS	barg	barg	DUAL-S
barg	barges	0.511	PASS	barg	barg	DUAL-S
barm	barma	0.634	STRICT	barm	barm	DUAL-S
barman	barmen	0.699	STRICT	barmen	barmen	DUAL-S
barque	barques	0.793	STRICT	barque	barque	DUAL-S
barrette	barrettes	0.821	STRICT	barrette	barrette	DUAL-S
barri	barrie	0.785	STRICT	barri	barri	DUAL-S
barri	barrier	0.552	PASS	barri	barri	DUAL-S
barri	barris	0.785	STRICT	barri	barri	DUAL-S
barrie	barrier	0.552	PASS	barrie	barrie	DUAL-S
baseballs	baseball	0.710	STRICT	baseball	baseball	DUAL-S
basque	basques	0.785	STRICT	basque	basque	DUAL-S
basso	bassi	0.531	PASS	bassi	bassi	DUAL-S
bassos	bassi	0.499	PASS	bassi	bassi	DUAL-S
bast	basta	0.628	STRICT	bast	bast	DUAL-S
bast	bastons	0.628	STRICT	bast	bast	DUAL-S
bast	baste	0.785	STRICT	bast	bast	DUAL-S
basti	bastia	0.602	STRICT	basti	basti	DUAL-S
basti	bastions	0.592	PASS	basti	basti	DUAL-S
basti	bastié	0.622	STRICT	basti	basti	DUAL-S
batiste	batista	0.728	STRICT	batiste	batiste	DUAL-S
beatniks	beatnik	0.688	STRICT	beatniks	beatniks	DUAL-S
beau	beaux	0.786	STRICT	beau	beau	DUAL-S
beaux	beau	0.786	STRICT	beau	beau	DUAL-S
beaux	beaux	0.786	STRICT	beau	beau	DUAL-S
beaus	beau	0.682	STRICT	beau	beau	DUAL-S
beaus	beaux	0.682	STRICT	beau	beau	DUAL-S
bec	becs	1.000	STRICT	bec	bec	DUAL-S
becc	becca	0.781	STRICT	becc	becc	DUAL-S
beccari	beccaria	0.655	STRICT	beccari	beccari	DUAL-S
beck	becker	0.781	STRICT	beck	beck	DUAL-S
beep	bips	1.000	STRICT	beep	bip	DUAL-S
beep	biper	0.781	STRICT	beep	bip	DUAL-S
beep	bipe	1.000	STRICT	beep	bip	DUAL-S
beep	bipé	0.781	STRICT	beep	bip	DUAL-S
beep	bipez	0.781	STRICT	beep	bip	DUAL-S
beep	bipes	1.000	STRICT	beep	bip	DUAL-S
beep	bipés	0.781	STRICT	beep	bip	DUAL-S
beep	bipée	0.781	STRICT	beep	bip	DUAL-S
beeps	bip	0.781	STRICT	beep	bip	DUAL-S
beeps	bips	0.781	STRICT	beep	bip	DUAL-S
beeps	biper	0.716	STRICT	beep	bip	DUAL-S
beeps	bipe	0.781	STRICT	beep	bip	DUAL-S
beeps	bipé	0.716	STRICT	beep	bip	DUAL-S
beeps	bipez	0.716	STRICT	beep	bip	DUAL-S
beeps	bipes	0.781	STRICT	beep	bip	DUAL-S
beeps	bipés	0.716	STRICT	beep	bip	DUAL-S
beeps	bipée	0.716	STRICT	beep	bip	DUAL-S
beeping	bip	0.746	STRICT	beep	bip	DUAL-S
beeping	bips	0.746	STRICT	beep	bip	DUAL-S
beeping	biper	0.707	STRICT	beep	bip	DUAL-S
beeping	bipe	0.746	STRICT	beep	bip	DUAL-S
beeping	bipé	0.707	STRICT	beep	bip	DUAL-S
beeping	bipez	0.707	STRICT	beep	bip	DUAL-S
beeping	bipes	0.746	STRICT	beep	bip	DUAL-S
beeping	bipés	0.707	STRICT	beep	bip	DUAL-S
beeping	bipée	0.707	STRICT	beep	bip	DUAL-S
beeped	bip	0.781	STRICT	beep	bip	DUAL-S
beeped	bips	0.781	STRICT	beep	bip	DUAL-S
beeped	biper	0.716	STRICT	beep	bip	DUAL-S
beeped	bipe	0.781	STRICT	beep	bip	DUAL-S
beeped	bipé	0.716	STRICT	beep	bip	DUAL-S
beeped	bipez	0.716	STRICT	beep	bip	DUAL-S
beeped	bipes	0.781	STRICT	beep	bip	DUAL-S
beeped	bipés	0.716	STRICT	beep	bip	DUAL-S
beeped	bipée	0.716	STRICT	beep	bip	DUAL-S
beep	bip	1.000	STRICT	beep	bips	DUAL-S
bel	bela	0.544	PASS	bel	bel	DUAL-S
bel	belons	0.544	PASS	bel	bel	DUAL-S
belge	belges	0.822	STRICT	belge	belge	DUAL-S
belge	belga	0.635	STRICT	belge	belge	DUAL-S
belge	belge	0.822	STRICT	belge	belges	DUAL-S
beli	belier	0.555	PASS	beli	beli	DUAL-S
bella	bellas	0.770	STRICT	bella	bella	DUAL-S
belle	belles	1.000	STRICT	belle	belle	DUAL-S
belle	bella	0.781	STRICT	belle	belle	DUAL-S
beller	belle	1.000	STRICT	beller	beller	DUAL-S
beller	belles	1.000	STRICT	beller	beller	DUAL-S
beller	bella	0.781	STRICT	beller	beller	DUAL-S
belli	bellier	0.746	STRICT	belli	belli	DUAL-S
bellis	belli	0.822	STRICT	bellis	bellis	DUAL-S
belmont	belmonte	0.833	STRICT	belmont	belmont	DUAL-S
belvedere	belvédères	0.755	STRICT	belvedere	belvédère	DUAL-S
ben	bene	0.730	STRICT	ben	ben	DUAL-S
ben	bena	0.544	PASS	ben	ben	DUAL-S
benchmark	benchmarking	0.652	STRICT	benchmarking	benchmarking	DUAL-S
benchmarks	benchmarking	0.648	STRICT	benchmarking	benchmarking	DUAL-S
benchmarked	benchmarking	0.648	STRICT	benchmarking	benchmarking	DUAL-S
benn	benne	1.000	STRICT	benn	benn	DUAL-S
benn	bennes	1.000	STRICT	benn	benn	DUAL-S
