word	mate	shared
aggressively	aggressiveness	5
aggressiveness	aggression	7
aggressiveness	aggressive	6
aggressiveness	aggressively	5
aggressiveness	aggressions	3
agile	nimble	2
agronomic	agronomique	2
agronomique	agronomic	2
aid	aids	2
aids	aid	2
aigle	eagle	2
aile	ailes	3
ailes	aile	3
ailes	wings	2
ailes	wing	2
aimé	enjoyed	4
aimé	aimée	4
aimée	enjoyed	4
aimée	aimé	4
airbag	airbags	2
airbags	airbag	2
airtight	hermetic	2
aisle	allée	2
alain	alan	2
alan	alain	2
alarm	alarms	2
alarms	alarm	2
albanian	albanians	2
albanians	albanian	2
alcohol	alcohols	2
alcohols	alcohol	2
aleksandr	alexander	2
aleksandr	alexandre	2
alexander	alexandre	2
alexander	aleksandr	2
alexandre	alexander	2
alexandre	aleksandr	2
alexei	alexey	2
alexey	alexei	2
algorithm	algorithms	2
algorithms	algorithm	2
alien	stranger	4
alienate	alienating	2
alienate	alienated	2
alienated	alienate	2
alienated	alienating	2
alienating	alienate	2
alienating	alienated	2
aliens	strangers	2
alive	live	2
alkali	alkaline	4
alkaline	alkali	4
allergic	allergy	2
allergic	allergies	2
allergies	allergy	4
allergies	allergic	2
allergy	allergies	4
allergy	allergic	2
alliance	alliances	2
alliances	alliance	2
allied	ally	2
allowable	eligible	4
allowable	admissible	4
allowable	permissible	2
ally	allied	2
allée	aisle	2
alpin	alpine	3
alpin	alpins	3
alpine	alpin	3
alpine	alpins	3
alpins	alpine	3
alpins	alpin	3
alternate	alternating	4
alternate	alternation	4
alternating	alternate	4
alternating	alternation	4
alternation	alternate	4
alternation	alternating	4
altruism	altruistic	2
altruistic	altruism	2
alvarez	álvarez	2
alvaro	álvaro	2
amalgam	amalgamation	2
amalgamation	amalgam	2
amazon	amazonian	4
amazon	amazonia	3
amazonia	amazonian	4
amazonia	amazon	3
amazonian	amazon	4
amazonian	amazonia	4
america	americas	2
american	americans	4
americans	american	4
americas	america	2
amir	emir	2
amphetamine	amphetamines	2
amphetamines	amphetamine	2
ample	plentiful	2
ample	amply	2
amplifier	amplifiers	3
amplifiers	amplifier	3
amply	plentiful	2
amply	ample	2
amputated	amputations	2
amputated	amputation	2
amputation	amputated	2
amputation	amputations	2
amputations	amputated	2
amputations	amputation	2
anachronism	anachronistic	2
anachronistic	anachronism	2
analog	analogue	2
analogue	analog	2
analyst	analysts	2
analysts	analyst	2
anarchist	anarchiste	2
anarchist	anarchists	2
anarchiste	anarchists	2
anarchiste	anarchist	2
anarchists	anarchiste	2
anarchists	anarchist	2
anchorage	anchoring	4
anchorage	anchorages	2
anchorages	anchorage	2
anchorages	anchoring	2
anchoring	anchorage	4
anchoring	anchorages	2
andre	andré	3
andre	andrew	3
andrei	andrey	2
andres	andrés	2
andrew	andré	3
andrew	andre	3
andrey	andrei	2
andré	andre	3
andré	andrew	3
andrés	andres	2
angelic	angelica	2
angelica	angelic	2
angelique	angélique	2
anglophone	anglophones	2
anglophones	anglophone	2
angolan	angolans	2
angolans	angolan	2
angélique	angelique	2
animate	anime	5
animate	animated	5
animated	anime	5
animated	animate	5
animator	moderator	2
anime	animated	5
anime	animate	5
ann	anne	2
annabel	annabelle	2
annabelle	annabel	2
anne	ann	2
annex	appendix	2
answer	replica	2
answer	respond	2
answer	response	2
answer	reply	2
antagonist	antagonistic	2
antagonist	antagonists	2
antagonistic	antagonist	2
antagonistic	antagonists	2
antagonists	antagonistic	2
antagonists	antagonist	2
antenatal	prenatal	2
anthony	antony	2
anthony	antoine	2
anthropological	anthropologie	2
anthropological	anthropology	2
anthropologie	anthropology	2
anthropologie	anthropological	2
anthropology	anthropologie	2
anthropology	anthropological	2
antidepressant	antidepressants	2
antidepressants	antidepressant	2
antigen	antigens	2
antigens	antigen	2
antioxidant	antioxidants	2
antioxidants	antioxidant	2
antique	antiques	4
antique	antiquité	3
antiques	antique	4
antiques	antiquité	3
antiquité	antique	3
antiquité	antiques	3
antoine	anthony	2
antoine	antony	2
antony	anthony	2
antony	antoine	2
appeal	call	2
appendix	annex	2
applaud	applauded	4
applaud	applause	4
applaud	applauding	3
applauded	applaud	4
applauded	applause	4
applauded	applauding	3
applauding	applaud	3
applauding	applauded	3
applauding	applause	3
applause	applaud	4
applause	applauded	4
applause	applauding	3
applicant	complainant	2
applicant	plaintiff	2
appreciate	appreciating	3
appreciate	appreciates	2
appreciates	appreciate	2
appreciates	appreciating	2
appreciating	appreciate	3
appreciating	appreciates	2
apprentice	apprenticeship	4
apprentice	apprentices	4
apprentices	apprenticeship	4
apprentices	apprentice	4
apprenticeship	apprentices	4
apprenticeship	apprentice	4
appropriation	property	2
approve	approving	4
approve	approves	3
approves	approve	3
approves	approving	3
approving	approve	4
approving	approves	3
approximate	approximately	3
approximately	approximate	3
approximation	rapprochement	3
arbitrariness	arbitrary	2
arbitrary	arbitrariness	2
arbitrate	arbitrator	3
arbitrate	arbitrators	3
arbitration	arbitrations	2
arbitrations	arbitration	2
arbitrator	arbitrators	3
arbitrator	arbitrate	3
arbitrators	arbitrator	3
arbitrators	arbitrate	3
arcade	arcades	2
arcades	arcade	2
archaeological	archéologique	2
archaeological	archeological	2
archeological	archéologique	2
archeological	archaeological	2
architect	architects	2
architects	architect	2
archivist	archivists	2
archivists	archivist	2
archéologique	archeological	2
archéologique	archaeological	2
ardenne	ardennes	2
ardennes	ardenne	2
argentina	argentine	3
argentine	argentina	3
argument	argumentation	3
argument	arguments	3
argumentation	argument	3
argumentation	arguments	3
arguments	argument	3
arguments	argumentation	3
arid	dryland	2
aristocrat	aristocratic	2
aristocratic	aristocrat	2
arm	arms	2
armament	armaments	4
armament	arming	4
armament	firearms	3
armament	arms	3
armaments	armament	4
armaments	arming	4
armaments	firearms	3
armaments	arms	3
armed	armies	3
armenia	armenian	4
armenia	armenians	3
armenian	armenia	4
armenian	armenians	3
armenians	armenian	3
armenians	armenia	3
armies	armed	3
arming	armaments	4
arming	armament	4
arming	firearms	3
arming	arms	3
armor	armour	2
armour	armor	2
arms	arming	3
arms	armament	3
arms	armaments	3
arms	firearms	3
arms	arm	2
army	military	2
aroma	aromatic	3
aroma	aromatics	2
aromatic	aroma	3
aromatic	aromatics	2
aromatics	aroma	2
aromatics	aromatic	2
arrest	arrests	2
arrests	arrest	2
arrhythmia	arrhythmias	2
arrhythmias	arrhythmia	2
art	artistic	2
artefact	artifacts	2
artefact	artifact	2
artefact	artefacts	2
artefacts	artifacts	2
artefacts	artifact	2
artefacts	artefact	2
artichoke	artichokes	2
artichokes	artichoke	2
articulate	articulating	2
articulate	articulation	2
articulating	articulate	2
articulating	articulation	2
articulation	articulating	2
articulation	articulate	2
artifact	artifacts	2
artifact	artefact	2
artifact	artefacts	2
artifacts	artifact	2
artifacts	artefact	2
artifacts	artefacts	2
artist	artists	2
artistic	art	2
artists	artist	2
asc	auc	3
aspirant	aspiring	2
aspirant	aspirants	2
aspirants	aspiring	2
aspirants	aspirant	2
aspiration	aspirations	2
aspirations	aspiration	2
aspiring	aspirant	2
aspiring	aspirants	2
ass	butts	3
ass	buttocks	3
assemblages	assemblies	2
assemblies	assemblages	2
assisi	seated	2
associate	associated	5
associate	associates	4
associated	associate	5
associated	associates	4
associates	associate	4
associates	associated	4
assorted	assortment	4
assortment	assorted	4
asteroid	asteroids	2
asteroids	asteroid	2
astonishing	surprising	2
astronaut	astronauts	2
astronauts	astronaut	2
asymmetric	asymmetry	3
asymmetric	asymmetrical	3
asymmetrical	asymmetry	3
asymmetrical	asymmetric	3
asymmetry	asymmetric	3
asymmetry	asymmetrical	3
atrocities	atrocity	2
atrocity	atrocities	2
attaché	attachés	4
attachés	attaché	4
attack	stroke	3
attendance	diligence	2
attest	attests	3
attests	attest	3
attract	attraction	3
attract	attractions	3
attract	attractiveness	3
attract	attracting	3
attracting	attraction	3
attracting	attract	3
attracting	attractions	3
attracting	attractiveness	3
attracting	attractive	3
attraction	attractions	4
attraction	attract	3
attraction	attractiveness	3
attraction	attracting	3
attractions	attraction	4
attractions	attract	3
attractions	attractiveness	3
attractions	attracting	3
attractive	attracting	3
attractive	seductive	2
attractiveness	attraction	3
attractiveness	attract	3
attractiveness	attractions	3
attractiveness	attracting	3
attribute	attributes	3
attributes	attribute	3
auc	asc	3
audience	audiences	2
audiences	audience	2
auguste	augustus	2
augustin	augustine	2
augustine	augustin	2
augustus	auguste	2
aurora	aurore	3
aurore	aurora	3
australia	australian	4
australia	australians	4
australian	australia	4
australian	australians	4
australians	australian	4
australians	australia	4
authenticate	authentication	2
authentication	authenticate	2
authoritarian	authoritarianism	3
authoritarianism	authoritarian	3
autobiographical	autobiography	2
autobiography	autobiographical	2
autograph	autographs	2
autographs	autograph	2
autopsies	autopsy	2
autopsy	autopsies	2
autoroute	route	3
auxiliaries	auxiliary	2
auxiliary	auxiliaries	2
avalanche	avalanches	2
avalanches	avalanche	2
awareness	consciences	2
awareness	consciousness	2
awareness	conscience	2
awful	terrible	2
awful	horrible	2
awful	dreadful	2
axes	axis	2
axis	axes	2
azerbaijan	azerbaijani	3
azerbaijan	azerbaijanis	3
azerbaijani	azerbaijan	3
azerbaijani	azerbaijanis	3
azerbaijanis	azerbaijani	3
azerbaijanis	azerbaijan	3
aérospatiale	aerospace	2
babe	baby	3
baby	babe	3
baccalaureate	baccalauréat	2
baccalauréat	baccalaureate	2
bachelor	singles	2
bachelor	simple	2
bachelor	single	2
bacteria	bacterial	5
bacteria	bacterium	4
bacterial	bacteria	5
bacterial	bacterium	4
bacterium	bacteria	4
bacterium	bacterial	4
bade	baden	2
baden	bade	2
badger	badgers	2
badgers	badger	2
baggage	luggage	2
baguette	baton	3
baie	bay	3
baie	berries	2
baie	bays	2
baie	berry	2
baked	cooked	2
bakeries	pastry	3
bakeries	bakery	3
bakery	pastry	4
bakery	bakeries	3
bakery	pastries	2
balai	brushes	2
balconies	balcony	2
balcony	balconies	2
baldwin	baudouin	2
ball	bullet	4
ball	balloon	4
ball	ballon	4
ball	balloons	2
ball	balls	2
ballistic	ballistics	2
ballistics	ballistic	2
ballon	balloon	4
ballon	ball	4
ballon	bullet	3
ballon	balloons	2
ballon	balls	2
balloon	balloons	5
balloon	balls	5
balloon	bowls	4
balloon	bullets	4
balloon	bollocks	4
balloon	beads	4
balloon	ball	4
balloon	ballon	4
balloon	bullet	3
balloons	balloon	5
balloons	balls	5
balloons	bowls	4
balloons	bullets	4
balloons	bollocks	4
balloons	beads	4
balloons	ball	2
balloons	ballon	2
balls	bowls	5
balls	balloons	5
balls	balloon	5
balls	bullets	4
balls	bollocks	4
balls	beads	4
balls	ball	2
balls	ballon	2
balm	baume	2
balm	balsam	2
balsam	balm	2
balsam	baume	2
ban	banning	3
ban	banishment	3
ban	banish	3
banana	bananas	3
bananas	banana	3
bandage	bandages	3
bandaged	blindfolded	2
bandages	bandage	3
bandits	brigands	3
bangladesh	bangladeshi	2
bangladeshi	bangladesh	2
banish	banning	3
banish	banishment	3
banish	ban	3
banished	banned	3
banishment	banning	3
banishment	ban	3
banishment	banish	3
bank	banks	3
bank	banking	3
banking	bank	3
banking	banks	3
banks	bank	3
banks	banking	3
banned	banished	3
banner	banners	6
banners	banner	6
banning	banishment	3
banning	ban	3
banning	banish	3
baptise	baptize	2
baptised	baptized	3
baptism	baptize	2
baptize	baptise	2
baptize	baptism	2
baptized	baptised	3
bar	barre	4
bar	barred	2
bar	barré	2
barbarian	barbarians	2
barbarian	barbaric	2
barbarians	barbaric	2
barbarians	barbarian	2
barbaric	barbarians	2
barbaric	barbarian	2
barbecue	barbeque	2
barbecue	bbq	2
barbeque	barbecue	2
barbeque	bbq	2
barber	barbier	2
barber	barbershop	2
barbershop	barbier	2
barbershop	barber	2
barbier	barbershop	2
barbier	barber	2
barca	barça	2
barclay	barclays	2
barclays	barclay	2
barmaid	bartending	2
barmaid	barman	2
barmaid	bartender	2
barman	barmaid	2
barman	bartending	2
barman	bartender	2
barre	bar	4
barre	barred	3
barre	barré	3
barred	barré	3
barred	barre	3
barred	bar	2
barres	bars	2
barricade	barricades	2
barricades	barricade	2
barré	barred	3
barré	barre	3
barré	bar	2
bars	barres	2
bartender	barmaid	2
bartender	bartending	2
bartender	barman	2
bartending	barmaid	2
bartending	barman	2
bartending	bartender	2
bartholomew	barthélemy	2
barthélemy	bartholomew	2
barça	barca	2
bas	bass	3
bas	basses	3
bases	basic	3
bases	basics	3
basic	basics	4
basic	bases	3
basics	basic	4
basics	bases	3
basil	basile	3
basile	basil	3
basket	basketball	2
basketball	basket	2
bass	bassist	3
bass	bas	3
bass	basses	3
basses	bass	3
basses	bas	3
bassist	bass	3
bat	beats	3
bath	baths	4
bath	bathtub	3
baths	bath	4
baths	bathtub	3
bathtub	bath	3
bathtub	baths	3
baton	baguette	3
battered	beaten	4
battered	beat	4
battered	battus	4
batteries	battery	2
battery	batteries	2
battus	beaten	4
battus	beat	4
battus	battered	4
baudouin	baldwin	2
baume	balm	2
baume	balsam	2
bavaria	bavarian	3
bavarian	bavaria	3
bay	baie	3
bay	berries	2
bay	bays	2
bay	berry	2
bayonet	bayonets	2
bayonets	bayonet	2
bays	berries	2
bays	berry	2
bays	bay	2
bays	baie	2
bbq	barbecue	2
bbq	barbeque	2
bcc	bre	3
bcc	cpi	3
bcc	kic	2
bcc	clc	2
bcc	cic	2
bcc	cci	2
bcf	fcc	2
bcr	cbr	2
beads	bowls	4
beads	balloons	4
beads	balloon	4
beads	bullets	4
beads	bollocks	4
beads	balls	4
bearer	porter	3
bearer	transporter	2
beat	beaten	7
beat	beating	6
beat	battered	4
beat	battus	4
beaten	beat	7
beaten	battered	4
beaten	battus	4
beaten	beating	4
beating	beat	6
beating	beaten	4
beatrice	béatrice	2
beats	bat	3
beau	beautiful	2
beau	belle	2
beautiful	beau	2
beautiful	belle	2
beef	bœuf	2
beep	beeping	3
beep	bip	2
beep	beeps	2
beeping	beep	3
beeping	bip	2
beeping	beeps	2
beeps	bip	2
beeps	beeping	2
beeps	beep	2
beer	beers	3
beers	beer	3
beet	beetroot	2
beet	beets	2
beetroot	beets	2
beetroot	beet	2
beets	beetroot	2
beets	beet	2
belarusian	belarusians	2
belarusian	belarussian	2
belarusians	belarusian	2
belarusians	belarussian	2
belarussian	belarusians	2
belarussian	belarusian	2
belge	belges	2
belge	belgian	2
belge	belgians	2
belges	belge	2
belges	belgian	2
belges	belgians	2
belgian	belge	2
belgian	belges	2
belgian	belgians	2
belgians	belge	2
belgians	belges	2
belgians	belgian	2
believable	credible	2
believable	credibility	2
belle	adorable	2
belle	beau	2
belle	beautiful	2
belligerent	belligerents	2
belligerents	belligerent	2
benedict	benoît	3
benedict	benoit	3
benefit	profits	2
benefit	benefits	2
benefits	benefit	2
benefits	profits	2
benign	bénigne	2
benign	benin	2
benign	bénin	2
benin	bénigne	2
benin	benign	2
benin	bénin	2
bennet	bennett	2
bennett	bennet	2
benoit	benoît	3
benoit	benedict	3
benoît	benoit	3
benoît	benedict	3
berries	berry	3
berries	bays	2
berries	bay	2
berries	baie	2
berry	berries	3
berry	bays	2
berry	bay	2
berry	baie	2
berta	bertha	2
bertha	berta	2
betrayal	treason	2
betrayal	treachery	2
better	meilleur	4
beverage	beverages	3
beverages	beverage	3
beyonce	beyoncé	2
beyoncé	beyonce	2
biathlete	biathlon	2
biathlon	biathlete	2
bible	biblical	3
biblical	bible	3
bicycle	bike	2
bicycle	cycling	2
bicycle	bicycles	2
bicycle	bikes	2
bicycle	biking	2
bicycles	bike	2
bicycles	cycling	2
bicycles	bikes	2
bicycles	bicycle	2
bicycles	biking	2
biennale	biennial	3
biennial	biennale	3
bijou	jewel	2
bijoux	jewellery	2
bijoux	jewels	2
bijoux	jewelry	2
bike	cycling	2
bike	bicycles	2
bike	bikes	2
bike	bicycle	2
bike	biking	2
bikes	bike	2
bikes	cycling	2
bikes	bicycles	2
bikes	bicycle	2
bikes	biking	2
biking	bike	2
biking	cycling	2
biking	bicycles	2
biking	bikes	2
biking	bicycle	2
bilateral	bilaterally	3
bilaterally	bilateral	3
bilingual	bilingualism	2
bilingualism	bilingual	2
billion	billions	2
billionaire	millionaire	3
billionaire	billionaires	3
billionaire	millionaires	3
billionaires	millionaires	3
billionaires	billionaire	3
billionaires	millionaire	2
billions	billion	2
binaries	binary	2
binary	binaries	2
bio	biography	3
bio	biographical	2
bio	biographies	2
bio	biological	2
biographical	biographies	4
biographical	biography	3
biographical	bio	2
biographical	biographique	2
biographies	biographical	4
biographies	biography	3
biographies	bio	2
biographies	biographique	2
biographique	biographies	2
biographique	biographical	2
biographique	biography	2
biography	biographical	3
biography	biographies	3
biography	bio	3
biography	biographique	2
biological	bio	2
biomedical	biomedicine	2
biomedicine	biomedical	2
biometric	biometrics	3
biometrics	biometric	3
biotech	biotechnologies	3
biotech	biotechnology	3
biotechnologies	biotech	3
biotechnologies	biotechnology	3
biotechnology	biotech	3
biotechnology	biotechnologies	3
bip	beeping	2
bip	beep	2
bip	beeps	2
birman	burmese	4
birman	burma	4
bison	buffaloes	5
bison	bisons	5
bison	buffalo	5
bisons	buffaloes	5
bisons	bison	5
bisons	buffalo	5
bit	bits	2
bits	bit	2
bla	blah	2
blah	bla	2
blame	blames	2
blame	blaming	2
blames	blame	2
blames	blaming	2
blaming	blames	2
blaming	blame	2
blanche	blank	4
blank	blanche	4
blatant	flagrant	2
blaze	brasier	2
bless	blessed	6
bless	blissful	3
blessed	bless	6
blessed	blissful	3
bleu	blues	4
bleu	blue	4
bleu	bruises	4
blindfolded	bandaged	2
blissful	blessed	3
blissful	bless	3
bloc	blocking	3
bloc	block	3
bloc	blocker	2
block	blocking	5
block	blocker	3
block	bloc	3
blockages	blocks	2
blocker	blocking	4
blocker	block	3
blocker	bloc	2
blocking	block	5
blocking	blocker	4
blocking	bloc	3
blocks	blockages	2
blog	blogs	3
blogs	blog	3
blond	blondes	4
blond	blonde	4
blonde	blond	4
blonde	blondes	4
blondes	blond	4
blondes	blonde	4
blouse	blouses	2
blouses	blouse	2
blue	blues	5
blue	bruises	5
blue	bleu	4
blues	blue	5
blues	bruises	5
blues	bleu	4
bluff	bluffing	2
bluffing	bluff	2
boer	boers	2
boers	boer	2
bohemia	bohème	2
bohemia	bohemian	2
bohemian	bohème	2
bohemian	bohemia	2
bohème	bohemian	2
bohème	bohemia	2
boil	boiling	3
boiling	boil	3
boite	box	2
bol	bowl	2
bolivar	bolívar	2
bolivia	bolivian	4
bolivian	bolivia	4
bollocks	bowls	4
bollocks	balloons	4
bollocks	balloon	4
bollocks	bullets	4
bollocks	balls	4
bollocks	beads	4
bolt	bolts	3
bolts	bolt	3
bolívar	bolivar	2
bomb	bombs	2
bombarded	bombed	3
bombardment	bombing	2
bombardment	bombings	2
bombardment	bombardments	2
bombardments	bombing	2
bombardments	bombings	2
bombardments	bombardment	2
bombed	bombarded	3
bombing	bombings	2
bombing	bombardments	2
bombing	bombardment	2
bombings	bombing	2
bombings	bombardments	2
bombings	bombardment	2
bombs	bomb	2
bone	bones	2
bones	bone	2
bonus	bonuses	2
bonus	bounty	2
bonuses	bonus	2
boost	boosting	2
boost	booster	2
boost	stimulating	2
boost	stimulate	2
boost	stimulant	2
boost	stimulation	2
boost	stimulus	2
booster	boost	2
booster	boosting	2
boosting	boost	2
boosting	booster	2
bord	borders	2
bord	border	2
border	borders	4
border	boundaries	3
border	bord	2
borders	border	4
borders	boundaries	3
borders	bord	2
bore	bored	2
bored	bore	2
bosnian	bosnians	2
bosnians	bosnian	2
bottle	bottles	3
bottles	bottle	3
boucher	butchers	2
boucher	butcher	2
boundaries	borders	3
boundaries	border	3
bounty	bonus	2
bouquet	bouquets	2
bouquets	bouquet	2
bourdon	drone	2
bourdon	drones	2
bourgeois	bourgeoisie	3
bourgeoisie	bourgeois	3
bowl	bol	2
bowls	balls	5
bowls	balloons	4
bowls	balloon	4
bowls	bullets	4
bowls	bollocks	4
bowls	beads	4
box	boite	2
boycott	boycotting	3
boycotting	boycott	3
brain	cerebral	3
brasier	blaze	2
brasseur	brewer	2
brave	braves	2
braves	brave	2
brazilian	brazilians	4
brazilians	brazilian	4
bre	bcc	3
break	breakup	3
break	breaking	3
break	brittle	2
breaking	breakup	3
breaking	break	3
breaking	brittle	2
breaks	bris	2
breakup	breaking	3
breakup	break	3
breakup	brittle	2
breeze	breezes	2
breeze	brise	2
breezes	breeze	2
breezes	brise	2
bref	brief	3
bretagne	breton	2
bretagne	bretonne	2
bretagne	brittany	2
breton	bretonne	4
breton	brittany	4
breton	bretons	3
breton	bretagne	2
bretonne	breton	4
bretonne	brittany	4
bretonne	bretons	3
bretonne	bretagne	2
bretons	brittany	3
bretons	breton	3
bretons	bretonne	3
brewer	brasseur	2
breweries	brewers	2
brewers	breweries	2
brick	bricks	3
brick	brig	3
bricks	brig	3
bricks	brick	3
bridal	nuptial	2
bridget	brigitte	2
brief	bref	3
brig	bricks	3
brig	brick	3
brigade	squad	2
brigands	bandits	3
bright	brilliant	5
bright	brilliance	2
bright	brightness	2
brightness	brilliance	3
brightness	brilliant	2
brightness	bright	2
brigitte	bridget	2
brilliance	brightness	3
brilliance	brilliant	2
brilliance	bright	2
brilliant	bright	5
brilliant	brilliance	2
brilliant	brightness	2
bris	breaks	2
brise	breezes	2
brise	breeze	2
brittany	breton	4
brittany	bretonne	4
brittany	bretons	3
brittany	bretagne	2
brittle	breakup	2
brittle	breaking	2
brittle	break	2
broke	broken	3
broke	busted	2
broken	broke	3
broken	busted	2
brousse	buisson	3
brousse	bushes	3
brousse	bush	3
brown	brunettes	6
brown	brunette	6
brown	brune	6
brown	bruns	5
brown	maroon	2
brown	marron	2
brownie	brownies	2
brownies	brownie	2
bruges	brugge	2
brugge	bruges	2
bruises	blues	5
bruises	blue	5
bruises	bleu	4
brulé	burned	5
brulé	burnt	5
brune	brunettes	6
brune	brown	6
brune	brunette	6
brune	bruns	5
brune	maroon	2
brune	marron	2
brunette	brunettes	6
brunette	brown	6
brunette	brune	6
brunette	bruns	5
brunette	maroon	2
brunette	marron	2
brunettes	brown	6
brunettes	brunette	6
brunettes	brune	6
brunettes	bruns	5
brunettes	maroon	2
brunettes	marron	2
bruns	brunettes	5
bruns	brown	5
bruns	brunette	5
bruns	brune	5
bruns	maroon	2
bruns	marron	2
brush	brushes	4
brushes	brush	4
brushes	balai	2
brute	brutes	4
brute	bully	3
brutes	brute	4
brutes	bully	3
bubble	bubbles	3
bubble	bulle	2
bubbles	bubble	3
bubbles	bulle	2
buckle	buckles	2
buckles	buckle	2
bud	buds	2
buddhism	buddhists	3
buddhism	buddhist	3
buddhist	buddhists	3
buddhist	buddhism	3
buddhists	buddhist	3
buddhists	buddhism	3
buds	bud	2
