word	mate	mate_homophone	shared
coupures	coupes	coup	2
coupures	coupes	coupe	2
criant	cris	cree	2
criant	cris	creep	2
criant	crier	create	2
criant	crier	cree	2
criant	crie	cree	2
criant	cri	cree	2
cricket	criquets	creaky	2
criez	cris	cree	2
criez	cris	creep	2
criez	crier	create	2
criez	crier	cree	2
criez	crie	cree	2
criez	cri	cree	2
criminalité	crime	cream	2
criminalité	crime	creme	2
criminel	criminels	criminal	2
criminelle	criminels	criminal	2
criquet	criquets	creaky	2
croisement	croix	croix	4
croisement	crossover	crossover	4
croissant	crescent	crescent	2
croissante	crescent	crescent	2
croissants	crescent	crescent	2
croisé	croix	croix	6
croisé	crossover	crossover	4
croisée	croix	croix	6
croisée	crossover	crossover	4
croisés	croix	croix	3
croisés	crossover	crossover	3
croquant	crisp	crisp	3
croustillant	crisp	crisp	3
crow	corneille	corneille	2
crow	corbeau	corbeau	2
crow	corbeaux	corbeau	2
cry	cris	cree	3
cry	cris	creep	3
cryptage	crypto	crypto	3
cryptographie	crypto	crypto	2
crédits	prêts	prayers	2
crédits	prêts	prep	2
crédits	prêts	pret	2
créent	crée	cry	4
créer	crée	cry	4
crées	crée	cry	3
créez	crée	cry	4
créé	crée	cry	3
créée	crée	cry	3
créés	crée	cry	3
cso	sco	sco	2
culte	secte	sect	2
culte	secte	sector	2
culte	secte	sex	2
culte	secte	sicked	2
cultes	secte	sect	2
cultes	secte	sector	2
cultes	secte	sex	2
cultes	secte	sicked	2
cup	coupez	coupe	3
cup	coupez	couper	3
cup	coupez	coupé	3
cup	couper	coupe	3
cup	couper	couper	3
cup	couper	coupé	3
cup	coupé	coupe	3
cup	coupé	couper	3
cup	coupé	coupé	3
cup	coupe	cooper	3
cup	coupe	coup	3
cup	coupe	coupe	3
cup	coupe	couper	3
cup	coupe	coupé	3
cut	coupez	coupe	6
cut	coupez	couper	6
cut	coupez	coupé	6
cut	couper	coupe	6
cut	couper	couper	6
cut	couper	coupé	6
cut	coupé	coupe	6
cut	coupé	couper	6
cut	coupé	coupé	6
cut	coupe	cooper	5
cut	coupe	coup	5
cut	coupe	coupe	5
cut	coupe	couper	5
cut	coupe	coupé	5
cvs	svn	svn	2
cygne	swan	swan	3
cygnes	swan	swan	3
côtelettes	côtes	coast	2
côtelettes	côtes	cunt	2
côtelettes	côte	coast	2
côtelettes	côte	coat	2
côtier	côte	coast	2
côtier	côte	coat	2
côtier	côtes	coast	2
côtier	côtes	cunt	2
côtière	côte	coast	2
côtière	côte	coat	2
côtière	côtes	coast	2
côtière	côtes	cunt	2
côtières	côte	coast	2
côtières	côte	coat	2
côtières	côtes	coast	2
côtières	côtes	cunt	2
danny	dani	dani	3
danny	dani	danny	3
dany	dani	dani	3
dany	dani	danny	3
david	sylvie	sylvie	2
dealers	dealer	dealer	2
dealers	dealer	dele	2
degré	degrés	disgrace	2
delia	della	della	2
denis	dennis	denis	2
descendre	down	downhill	2
descendre	down	downs	2
descriptif	descriptive	decorative	2
description	descriptive	decorative	2
diagramme	graphe	graph	3
diagrammes	graphe	graph	2
dick	coq	cork	2
dick	coq	kirk	2
dictent	dicte	dicks	3
dictent	dicte	doctor	3
dictent	dicte	nicked	3
dictent	dicte	ricked	3
dictent	dicte	ticked	3
dicter	dicte	dicks	3
dicter	dicte	doctor	3
dicter	dicte	nicked	3
dicter	dicte	ricked	3
dicter	dicte	ticked	3
digère	digest	digest	2
digérer	digest	digest	2
diplomates	diplomate	diplomat	2
diplomatique	diplomate	diplomat	2
diplomatiques	diplomate	diplomat	2
directement	directs	direct	2
directement	directs	directors	2
directement	direct	direct	2
directement	direct	director	2
directement	directe	direct	2
directement	directe	director	2
disco	discothèque	discotheque	3
disco	discothèque	discothèque	3
distilleries	distillerie	distillery	2
distributeurs	dealer	dealer	2
distributeurs	dealer	dele	2
diviser	divise	davies	3
dizaine	dizaines	decent	3
dizaine	dizaines	dissing	3
dolores	delores	dolores	2
dome	dôme	dome	2
dome	dôme	doom	2
dome	dôme	dumb	2
dome	dôme	dôme	2
donation	don	dawn	4
donations	don	dawn	3
donner	don	dawn	5
donner	donne	dawn	3
donner	donne	done	3
donnez	donne	dawn	3
donnez	donne	done	3
donnez	don	dawn	2
dons	don	dawn	5
dons	donne	dawn	2
dons	donne	done	2
dory	doris	dory	2
dosage	doses	doses	2
dose	doses	doses	3
dot	dote	dirt	2
doutes	doute	doomed	3
doutes	doute	dude	3
doutes	douter	tooter	3
doutez	doute	doomed	3
doutez	doute	dude	3
doutez	douter	tooter	3
douzaine	dizaines	decent	3
douzaine	dizaines	dissing	3
douzaines	dizaines	decent	3
douzaines	dizaines	dissing	3
duel	duels	dell	2
décident	décide	deceit	3
décider	décide	deceit	3
décidez	décide	deceit	3
décoration	décor	decor	5
décorations	décor	decor	5
décorer	décor	decor	2
découpage	coupez	coupe	2
découpage	coupez	couper	2
découpage	coupez	coupé	2
découpage	couper	coupe	2
découpage	couper	couper	2
découpage	couper	coupé	2
découpage	coupé	coupe	2
découpage	coupé	couper	2
découpage	coupé	coupé	2
découpage	coupe	cooper	2
découpage	coupe	coup	2
découpage	coupe	coupe	2
découpage	coupe	couper	2
découpage	coupe	coupé	2
découpe	coupez	coupe	3
découpe	coupez	couper	3
découpe	coupez	coupé	3
découpe	couper	coupe	3
découpe	couper	couper	3
découpe	couper	coupé	3
découpe	coupé	coupe	3
découpe	coupé	couper	3
découpe	coupé	coupé	3
découpe	coupe	cooper	3
découpe	coupe	coup	3
découpe	coupe	coupe	3
découpe	coupe	couper	3
découpe	coupe	coupé	3
décrites	décrite	decreased	2
décrites	décrit	dignity	2
décrites	décrit	disagree	2
décrits	décrite	decreased	2
décrits	décrit	dignity	2
décrits	décrit	disagree	2
dédier	dédie	daddy	4
dédier	dédie	daisy	4
dédier	dédie	dd	4
dédier	dédie	deader	4
dégoûtant	brut	brute	2
dégoûtant	brutes	brute	2
dégoûtant	brute	brute	2
délia	della	della	2
dépressif	dépressive	depressive	2
dépressifs	dépressive	depressive	2
dépressions	dépression	debris your	2
déprimé	dépressive	depressive	2
déprimée	dépressive	depressive	2
déprimés	dépressive	depressive	2
désarroi	détresse	distress	3
détecter	détectent	detect	3
détecter	détecte	detect	3
détecter	détecte	detector	3
détenues	prisonniers	frisson ya	2
ecclésiastique	clerc	cleric	4
edmond	edmund	edmond	2
edmond	edmund	edmund	2
elf	elfes	elf	2
elf	elfes	self	2
elf	elfes	sylph	2
elf	elfe	elf	2
elisabeth	élisabeth	élisabeth	3
elizabeth	élisabeth	élisabeth	3
encodé	codé	cauda	2
encodé	codé	corder	2
endettement	dettes	dealt	3
endettement	dettes	debt	3
endettement	dettes	debts	3
endettement	dettes	desert	3
endettement	dette	dealt	3
endettement	dette	debt	3
endettement	dette	debts	3
endettement	dette	desert	3
endettement	dette	dirt	3
entrepreneur	entrepreneurs	entrepreneur	3
entreprises	compagnies	company	2
epi	épi	happy	2
epi	épi	lp	2
espion	espionne	espn	4
espionnage	espionne	espn	4
espionner	espionne	espn	4
espionnes	espionne	espn	2
espions	espionne	espn	4
espoir	espérance	espérance	2
espoirs	espérance	espérance	2
espère	espérance	espérance	2
espérer	espérance	espérance	2
ess	sbs	sbs	2
essai	tests	test	2
essai	tests	tested	2
essai	tests	testing	2
essai	tests	tests	2
essai	test	test	2
essai	test	testa	2
essai	test	testing	2
essai	test	tests	2
essai	test	tossed	2
essai	test	zest	2
essai	tester	test	2
essai	tester	testa	2
essai	tester	testing	2
essai	tester	testis	2
essai	tester	tests	2
essai	tester	testy	2
essais	tests	test	2
essais	tests	tested	2
essais	tests	testing	2
essais	tests	tests	2
essais	test	test	2
essais	test	testa	2
essais	test	testing	2
essais	test	tests	2
essais	test	tossed	2
essais	test	zest	2
essais	tester	test	2
essais	tester	testa	2
essais	tester	testing	2
essais	tester	testis	2
essais	tester	tests	2
essais	tester	testy	2
esthétiques	esthétique	it attack	2
ethnicité	ethnie	any	2
ethnique	ethnie	any	2
ethniques	ethnie	any	2
etienne	stephen	stefan	3
etienne	stephen	stephan	3
eve	ève	ever	2
eve	ève	never	2
eve	ève	of	2
evil	mal	mild	2
evil	mal	model	2
evil	mal	morale	2
exactement	exactes	exact	2
exactement	exact	exact	2
exactement	exacte	exact	2
exciter	excite	exceed	3
exciter	excite	exceeded	3
exciter	excite	excite	3
exciter	excite	extent	3
exclusif	exclusive	exclusive	2
exclusif	exclusive	exclusively	2
exclusif	exclusives	exclusive	2
exclusif	exclusives	exclusively	2
exclusifs	exclusive	exclusive	2
exclusifs	exclusive	exclusively	2
exclusifs	exclusives	exclusive	2
exclusifs	exclusives	exclusively	2
exclusivité	exclusive	exclusive	2
exclusivité	exclusive	exclusively	2
exclusivité	exclusives	exclusive	2
exclusivité	exclusives	exclusively	2
excédent	excès	excess	2
excédent	excès	excesses	2
excédent	excès	xd	2
excédentaires	excès	excess	2
excédentaires	excès	excesses	2
excédentaires	excès	xd	2
exilé	exil	exil	4
exilé	exil	exile	4
exilés	exil	exil	4
exilés	exil	exile	4
exister	existe	exist	2
explicitement	expressément	expressly	3
explicitement	explicites	explicit	2
exploiter	exploit	exploit	2
explosible	explosif	explosive	2
explosible	explosives	explosive	2
explosible	explosives	explosives	2
explosible	explosive	explosive	2
explosible	explosive	explosives	2
explosible	explosifs	explosive	2
exportateur	exporter	export	5
exportateurs	exporter	export	5
exportation	exporter	export	5
exportations	exporter	export	3
exposition	exposer	expose	4
exposition	exposer	exposure	4
expositions	exposer	expose	3
expositions	exposer	exposure	3
exprimant	express	express	2
exprimant	express	expressed	2
exprimant	expresse	express	2
exprimant	expresse	expressed	2
exprimant	expresse	expressing	2
exprimant	exprès	express	2
exprimant	exprès	expressed	2
exprimant	exprès	expressing	2
exprimer	express	express	2
exprimer	express	expressed	2
exprimer	expresse	express	2
exprimer	expresse	expressed	2
exprimer	expresse	expressing	2
exprimer	exprès	express	2
exprimer	exprès	expressed	2
exprimer	exprès	expressing	2
extraire	extrait	extra	5
extraire	extrait	extract	5
extraire	extrait	irked raw	5
extraire	extraits	extra	5
extraire	extraits	extract	5
extraire	extraits	extraction	5
extraire	extraits	irked raw	5
extraire	extraites	extract	3
extraire	extraite	extent	3
extraire	extraite	extract	3
extrémisme	extrémiste	extremist	3
extrémisme	extrémistes	extremist	3
extérieur	externe	extension	2
extérieur	externe	extensions	2
extérieur	exterieur	exterior	2
extérieur	externes	extensive	2
extérieure	externe	extension	2
extérieure	externe	extensions	2
extérieure	exterieur	exterior	2
extérieure	externes	extensive	2
extérieures	externe	extension	2
extérieures	externe	extensions	2
extérieures	exterieur	exterior	2
extérieures	externes	extensive	2
extérieurs	externe	extension	2
extérieurs	externe	extensions	2
extérieurs	exterieur	exterior	2
extérieurs	externes	extensive	2
fans	fan	fun	2
fatale	fatal	final	4
fatale	mortels	mortal	3
fatale	mortels	mortality	3
fatale	mortel	mortal	3
fatale	mortelle	mortal	3
faute	fester	fester	2
faux	fausse	force	3
faux	false	false	2
faux	fausses	force	2
faux	fraude	fraud	2
faux	fraudes	fraud	2
felix	félix	félix	2
femelles	femme	fame	3
femelles	femme	from	3
femelles	femelle	familiar	3
femmes	femme	fame	3
femmes	femme	from	3
femmes	femelle	familiar	3
ferry	ferries	ferries	2
ferry	ferries	ferry	2
fes	fès	fes	3
fes	fès	fez	3
fes	fès	fès	3
fes	fez	fess	3
festivités	festivals	festival	2
festivités	festivals	fit evil	2
festivités	fêtes	fest	2
fete	fête	felt	5
fete	festival	festival	2
fete	festival	fit evil	2
fete	festin	fest	2
finir	fini	fenny	2
finir	fini	teeny	2
finis	fini	fenny	2
finis	fini	teeny	2
fiole	flasque	flask	4
flatter	flatte	flat	2
flatteur	flatte	flat	2
fleurir	fleurs	fleur	2
fleurir	fleur	fleur	2
flexibilité	flexible	flexible	2
flexibilité	flexibles	flexible	2
flux	flow	blow	2
flux	flow	flows	2
fonderies	fonderie	foundry	2
forcer	force	fierce	2
forcer	force	force	2
forestier	forêt	foresees	6
forestier	forêt	photo	6
forestier	foresterie	forestry	4
foret	forêt	foresees	6
foret	forêt	photo	6
foret	foresterie	forestry	4
foreuse	forêt	foresees	2
foreuse	forêt	photo	2
forger	forge	forge	2
forger	forge	forged	2
formatage	format	format	2
formater	format	format	2
forçant	force	fierce	2
forçant	force	force	2
forêts	forêt	foresees	6
forêts	forêt	photo	6
forêts	foresterie	forestry	4
fragile	frêle	frail	2
fragile	frêle	frill	2
fragiles	frêle	frail	2
fragiles	frêle	frill	2
fragilité	frêle	frail	2
fragilité	frêle	frill	2
frangin	frere	frere	2
frangin	frere	frère	2
frangin	frère	frere	2
frangin	frère	frère	2
freddy	freddie	freddie	2
freddy	freddie	freddy	2
frederic	frédéric	frédéric	4
frederic	friedrich	friedrich	4
frederick	frédéric	frédéric	4
frederick	friedrich	friedrich	4
frigidaire	frigo	frigo	5
frire	frites	frit	3
frire	frit	free	3
frire	frit	freed	3
frite	frites	frit	4
frite	frit	free	4
frite	frit	freed	4
friture	frit	free	4
friture	frit	freed	4
friture	frites	frit	3
fry	frites	frit	3
fry	frit	free	3
fry	frit	freed	3
furieuse	fou	fous	2
furieuse	fou	fu	2
furieuse	folle	fall	2
furieuse	folle	falls	2
furieuse	folle	false	2
furieuse	folle	fault	2
furieux	fou	fous	2
furieux	fou	fu	2
furieux	folle	fall	2
furieux	folle	falls	2
furieux	folle	false	2
furieux	folle	fault	2
féerique	fées	fée	4
féerique	fée	fée	4
féminin	femme	fame	3
féminin	femme	from	3
féminin	femelle	familiar	3
féminine	femme	fame	2
féminine	femme	from	2
féminine	femelle	familiar	2
féminines	femme	fame	2
féminines	femme	from	2
féminines	femelle	familiar	2
fétide	fester	fester	2
galeries	gallerie	gallery	2
galeries	galerie	gallery	2
gallery	gallerie	gallery	2
gallery	galerie	gallery	2
gamelle	bol	bald	2
gamelle	bol	balder	2
gamelle	bol	ball	2
gamelle	bol	bally	2
gamelle	bol	bawling	2
gardien	garde	garde	6
gardien	garde	guard	6
gardien	garde	guided	6
gardien	garde	regard	6
gardien	garde	regarded	6
gardien	gardes	garde	6
gardien	gardes	guard	6
gardienne	garde	garde	3
gardienne	garde	guard	3
gardienne	garde	guided	3
gardienne	garde	regard	3
gardienne	garde	regarded	3
gardienne	gardes	garde	3
gardienne	gardes	guard	3
gardiens	gardes	garde	4
gardiens	gardes	guard	4
gardiens	garde	garde	3
gardiens	garde	guard	3
gardiens	garde	guided	3
gardiens	garde	regard	3
gardiens	garde	regarded	3
gate	porte	porte	2
gate	porte	report	2
gaulois	gaule	goal	5
gaulois	gaule	goals	5
geneviève	genevieve	genevieve	2
geneviève	genevieve	geneviève	2
gfp	pfm	pfm	2
gloire	glorieux	glory	2
glorieuse	glorieux	glory	2
glory	glorieux	glory	2
graisseux	grasse	grasse	3
