word	mate	mate_homophone	shared
bolts	bolt	bolt	3
bombs	bomb	baume	2
bones	bone	bones	2
bonus	bounty	bâti	2
bonus	bounty	bâtie	2
bonus	bounty	bâties	2
bonus	bounty	bâtis	2
bord	borders	bond aise	2
bord	border	body	2
bored	bore	beau	2
bottles	bottle	bat elle	3
boucher	butcher	bout chez	2
boundaries	borders	bond aise	3
boundaries	border	body	3
bouquets	bouquet	bouquet	2
bouquets	bouquet	bouquets	2
bourdon	drone	drone	2
bourdon	drone	drones	2
bourgeois	bourgeoisie	bourgeoisie	3
bowls	balls	bols	5
bowls	beads	bide	4
bowls	beads	bise	4
bowls	beads	bises	4
braves	brave	brève	2
braves	brave	brèves	2
bricks	brick	brick	3
bricks	brick	brique	3
bricks	brick	briques	3
brig	brick	brick	3
brig	brick	brique	3
brig	brick	briques	3
brise	breezes	brise	2
brise	breezes	brises	2
brise	breeze	brise	2
brise	breeze	brises	2
broke	busted	baissent aide	2
broken	busted	baissent aide	2
brown	brunette	brunette	6
brown	brune	brune	6
brown	brune	brunes	6
brownie	brownies	brownies	2
bruises	blues	blouse	5
brunettes	brunette	brunette	6
brunettes	brune	brune	6
brunettes	brune	brunes	6
bruns	brunette	brunette	5
bruns	brune	brune	5
bruns	brune	brunes	5
brushes	brush	brèche	4
brutes	brute	broute	4
brutes	brute	brut	4
brutes	brute	brute	4
brutes	brute	brutes	4
buddhism	buddhist	bouddhiste	3
buddhism	buddhist	bouddhistes	3
buddhists	buddhist	bouddhiste	3
buddhists	buddhist	bouddhistes	3
bullet	ball	bol	4
bullets	balls	bols	4
bullets	beads	bide	4
bullets	beads	bise	4
bullets	beads	bises	4
bully	brute	broute	3
bully	brute	brut	3
bully	brute	brute	3
bully	brute	brutes	3
butchers	butcher	bout chez	2
buttocks	ass	as	3
butts	ass	as	3
béatrice	beatrice	beatrice	2
bœuf	beef	biffe	2
bœuf	beef	biffent	2
bœuf	beef	biffes	2
cadets	cadet	cadette	3
californian	california	californie	2
cannon	canon	cane	4
cannons	canon	cane	3
canonical	canon	cane	2
canons	canon	cane	3
capabilities	capacity	compris	2
capability	capacity	compris	2
capacities	capacity	compris	2
cape	cap	cap	3
cape	cap	caps	3
capes	caps	casse	3
captured	caught	cote	4
captured	caught	cotes	4
captured	caught	quote	4
caresse	caress	caisse	3
caresse	caress	caresse	3
caresse	caress	caresses	3
caresses	caress	caisse	3
caresses	caress	caresse	3
caresses	caress	caresses	3
carnivores	carnivore	carnivores	2
carnivorous	carnivore	carnivores	2
carole	carol	cale	2
carrefour	crossing	crocs in	2
carrefour	crossing	cross	2
carrefour	crossover	crossover	2
cartels	cartel	cartel	2
cartels	cartel	cartels	2
castes	caste	caste	2
castes	caste	castes	2
catastrophe	disaster	dis acheter	4
catastrophes	disaster	dis acheter	5
ced	edc	edc	2
cedric	cédric	cédric	2
celebrating	celebrate	célébré	3
celebration	celebrate	célébré	3
celtic	celtique	celtic	2
celtic	celtique	celtique	2
censor	censors	sain seize	2
censor	censure	sain chez	2
censoring	censors	sain seize	2
censoring	censure	sain chez	2
censorship	censors	sain seize	2
censorship	censure	sain chez	2
censured	censored	saines aide	3
centred	centered	saignent aide	5
centred	centered	saine	5
centred	centered	seine	5
centred	center	sain tes	5
centred	center	saine	5
centric	centered	saignent aide	5
centric	centered	saine	5
centric	centered	seine	5
centric	center	sain tes	5
centric	center	saine	5
certainties	certainty	sait ensi	2
certainties	certainty	sentit	2
chadian	chad	tchad	4
channel	canal	quenelle	3
charm	sharm	charm	2
charm	sharm	charme	2
charme	sharm	charm	2
charme	sharm	charme	2
charms	sharm	charm	2
charms	sharm	charme	2
chechens	chechen	tchétchène	2
chechens	chechen	tchétchènes	2
chenal	canal	quenelle	3
cherries	cerise	cerise	4
cherries	cerise	cerises	4
cherries	cherry	chérie	4
choir	chorale	chorale	4
choirs	chorale	chorale	4
choreographer	choreography	chorégraphie	2
chorus	chorale	chorale	4
chris	christopher	christ	3
christiane	christine	christine	2
christianisme	christian	christ	6
christianity	christian	christ	6
christians	christian	christ	5
christophe	christopher	christ	3
chromium	chrome	chrome	2
chrétien	christian	christ	5
cic	sci	ça	3
cis	sci	ça	6
cis	cei	cis	3
citizen	civic	civique	3
citizen	civic	civiques	3
citoyenne	civic	civique	3
citoyenne	civic	civiques	3
civics	civic	civique	2
civics	civic	civiques	2
civilian	civil	cible	4
civilians	civil	cible	4
claim	claiming	clément	2
clamp	clip	clip	2
clamp	clip	clips	2
clapping	clap	clap	2
classical	classic	claque	3
classical	classic	clés hic	3
classics	classic	claque	3
classics	classic	clés hic	3
clc	sci	ça	6
clc	cei	cis	3
clerc	cleric	clerc	2
clerk	cleric	clerc	2
clicking	click	clic	3
clinical	clinic	clin hic	2
clinics	clinic	clin hic	2
clones	clone	clone	4
clones	clone	clones	4
cloning	clone	clone	4
cloning	clone	clones	4
clots	clot	claude	2
clotting	clot	claude	2
coaching	coaches	catch	2
coastal	coast	côte	2
coastal	coast	côtes	2
coastline	coast	côte	2
coastline	coast	côtes	2
coasts	coast	côte	2
coasts	coast	côtes	2
coca	coke	coque	3
cocaine	coke	coque	3
cock	dick	déc	2
cohorts	cohort	cohorte	2
cohorts	cohort	cohortes	2
collectible	collect	collecte	3
collecting	collect	collecte	3
collection	collect	collecte	3
collectives	collective	collective	3
collectives	collective	collectives	3
collectors	collector	collecte	4
collet	col	cale	3
collet	collar	coller	3
collier	col	cale	3
collier	collar	coller	3
color	colour	calé	4
colorants	colour	calé	3
colors	colour	calé	4
colours	colour	calé	4
comedian	comique	comic	4
comedian	comique	comique	4
comedian	comedy	comédies	4
comic	comique	comic	4
comic	comique	comique	4
comic	comedy	comédies	4
commandeur	commander	commande	2
commands	controls	contrôle	2
comment	commentary	commun tri	3
commissions	committees	commises	2
commissions	committees	commit hisse	2
compact	compress	compresse	8
compact	compress	compresses	8
compact	pact	pact	6
compact	pact	pacte	6
companies	businesses	business	2
comparative	compare	commère	3
compares	compare	commère	5
comparison	compare	commère	7
comparisons	compare	commère	3
competences	expertise	expertise	2
competences	expertise	expertises	2
competencies	expertise	expertise	2
competencies	expertise	expertises	2
competition	contests	on test	2
competition	contest	conteste	2
competition	contest	on test	2
competitions	contests	on test	2
competitions	contest	conteste	2
competitions	contest	on test	2
complexes	complex	complexe	2
complexes	complex	complexes	2
compresses	compress	compresse	4
compresses	compress	compresses	4
comptoir	meter	mire	2
comptoir	meter	mirent	2
coms	com	came	2
comte	count	carte	3
comédie	comique	comic	2
comédie	comique	comique	2
comédie	comedy	comédies	2
concedes	concede	con cid	2
concedes	concede	on cid	2
concluding	conclude	clowns coudes	3
concluding	conclude	con claude	3
concluding	conclusion	con clous haine	3
concluding	conclusion	on clown	3
conclusive	conclude	clowns coudes	3
conclusive	conclude	con claude	3
conclusive	conclusion	con clous haine	3
conclusive	conclusion	on clown	3
condemned	condemn	con thème	2
condemned	condemn	on hem	2
condemns	condemn	con thème	2
condemns	condemn	on hem	2
conductors	conductor	con dictée	2
confesses	confess	con fesses	2
confesses	confess	confesse	2
confessing	confess	con fesses	3
confessing	confess	confesse	3
confession	confess	con fesses	3
confession	confess	confesse	3
confessions	confess	con fesses	2
confessions	confess	confesse	2
connecting	connect	connecte	3
connecting	connection	connexes	3
considers	consider	cannes des	4
constraint	stress	stresse	3
constraint	stress	stressé	3
constraint	stress	stressée	3
constraint	stressed	reste	2
constraint	stressed	stressant	2
constraint	stressed	stresse	2
constraint	stressed	stressé	2
constraint	stressed	stressée	2
content	contents	comtesse	2
contractors	contractor	con tracter	2
control	controlling	contrôle	2
controversial	controversy	cognent revêtit	4
controversies	controversy	cognent revêtit	2
convert	converted	con vedette	2
converts	converted	con vedette	4
convict	condemn	con thème	3
convict	condemn	on hem	3
convicted	condemn	con thème	2
convicted	condemn	on hem	2
cooking	cook	coques	2
copies	copy	copie	4
copies	copy	copies	4
copying	copy	copie	4
copying	copy	copies	4
cor	corne	cor	2
cor	corne	corne	2
cor	corne	horn	2
cor	warner	horn	2
cor	horn	corne	2
cor	horn	horn	2
cords	cordon	cordon	2
cords	cordon	cordons	2
cords	cord	code	2
cords	cord	codes	2
cords	cord	corde	2
cords	cordons	cordon	2
cords	cordons	cordons	2
corks	caps	casse	2
corneal	cornea	cornée	2
correction	correct	correct	8
correction	correct	correcte	8
correction	correct	corrects	8
correction	correct	crête	8
correction	corrective	correctives	7
correction	exact	exact	2
correction	exact	exacte	2
correction	exact	exactes	2
correction	exact	exacts	2
corrections	correct	correct	5
corrections	correct	correcte	5
corrections	correct	corrects	5
corrections	correct	crête	5
corrections	corrective	correctives	4
corrupted	corrupt	crypte	4
costumes	costume	costume	2
costumes	costume	costumes	2
countdown	count	carte	2
counter	meter	mire	2
counter	meter	mirent	2
counting	count	carte	4
coupons	coupon	coupant	2
courtesy	poli	poli	3
courtesy	poli	polie	3
courtesy	poli	polies	3
courtesy	poli	polis	3
covenant	compress	compresse	5
covenant	compress	compresses	5
covenant	pact	pact	4
covenant	pact	pacte	4
crabs	crab	crabe	2
crabs	crab	crabes	2
cracking	cracked	crack	2
cracking	cracked	crêtes	2
creams	cream	cream	3
creams	cream	crime	3
creams	cream	crimes	3
creams	cream	crème	3
creams	cream	crèmes	3
creates	created	créait aide	8
creates	create	crier	8
creating	created	créait aide	4
creating	create	crier	4
credits	ready	raide	2
credits	ready	raies dits	2
credits	ready	redis	2
crepes	crêpe	crêpe	2
crepes	crêpe	crêpes	2
crepes	crepe	crêpe	2
crepes	crepe	crêpes	2
cri	cree	cri	4
cri	cree	crie	4
cri	cree	crier	4
cri	cree	cris	4
cri	scream	escrime	4
cries	cree	cri	3
cries	cree	crie	3
cries	cree	crier	3
cries	cree	cris	3
cries	scream	escrime	3
cries	crying	crâne	2
cries	cry	crée	2
criminals	criminal	criminels	2
cris	cree	cri	3
cris	cree	crie	3
cris	cree	crier	3
cris	cree	cris	3
cris	scream	escrime	3
crispy	crisp	crisp	3
crispy	crisp	crispe	3
cristal	crystal	crissent elle	4
critic	critique	critique	2
critic	critique	critiquent	2
critic	critique	critiques	2
critical	critique	critique	2
critical	critique	critiquent	2
critical	critique	critiques	2
criticism	critique	critique	2
criticism	critique	critiquent	2
criticism	critique	critiques	2
critics	critique	critique	2
critics	critique	critiquent	2
critics	critique	critiques	2
croissant	crescent	crescent	5
croissants	crescent	crescent	3
crosses	crossing	crocs in	3
crosses	crossing	cross	3
crosses	cross	cross	3
crosses	cross	crosse	3
crosses	croix	croix	3
crosses	crossover	crossover	3
crossroad	crossing	crocs in	2
crossroad	crossing	cross	2
crossroad	crossover	crossover	2
crossroads	crossing	crocs in	2
crossroads	crossing	cross	2
crossroads	crossover	crossover	2
crow	corneille	corneille	3
crow	corbeau	corbeau	3
crow	corbeau	corbeaux	3
crows	corneille	corneille	3
crows	corbeau	corbeau	3
crows	corbeau	corbeaux	3
cru	crus	crous	3
cru	crude	coude	3
cru	crude	coudes	3
cru	crude	croûte	3
crue	crus	crous	3
crue	crude	coude	3
crue	crude	coudes	3
crue	crude	croûte	3
crunchy	crisp	crisp	3
crunchy	crisp	crispe	3
crusader	cross	cross	6
crusader	cross	crosse	6
crusader	crossover	crossover	6
crusader	crossing	crocs in	5
crusader	crossing	cross	5
crusader	croix	croix	3
crusaders	crossover	crossover	2
crusaders	cross	cross	2
crusaders	cross	crosse	2
cryptography	crypto	crypto	3
crystalline	crystal	crissent elle	5
crystals	crystal	crissent elle	4
cso	sco	sco	2
cult	sect	secte	3
cult	sect	sectes	3
cult	sect	sexe	3
cults	sect	secte	2
cults	sect	sectes	2
cults	sect	sexe	2
cut	cup	cap	7
cut	couper	coupe	6
cut	couper	couper	6
cut	couper	coupez	6
cut	couper	coupé	6
cut	coupe	coupe	6
cut	coupe	coupent	6
cut	coupe	couper	6
cut	coupe	coupes	6
cut	coupe	coupez	6
cut	coupe	coupé	6
cut	coupé	coupe	5
cut	coupé	couper	5
cut	coupé	coupez	5
cut	coupé	coupé	5
cutout	cup	cap	3
cutout	couper	coupe	3
cutout	couper	couper	3
cutout	couper	coupez	3
cutout	couper	coupé	3
cutout	coupe	coupe	3
cutout	coupe	coupent	3
cutout	coupe	couper	3
cutout	coupe	coupes	3
cutout	coupe	coupez	3
cutout	coupe	coupé	3
cutout	coupé	coupe	2
cutout	coupé	couper	2
cutout	coupé	coupez	2
cutout	coupé	coupé	2
cutting	cup	cap	6
cutting	couper	coupe	5
cutting	couper	couper	5
cutting	couper	coupez	5
cutting	couper	coupé	5
cutting	coupe	coupe	5
cutting	coupe	coupent	5
cutting	coupe	couper	5
cutting	coupe	coupes	5
cutting	coupe	coupez	5
cutting	coupe	coupé	5
cutting	coupé	coupe	4
cutting	coupé	couper	4
cutting	coupé	coupez	4
cutting	coupé	coupé	4
cvs	svn	svn	2
cygnes	swan	swan	3
cysts	cyst	zeste	2
daemon	devil	dès elle	3
daemon	devil	dès vil	3
daemon	devil	dévale	3
dainty	delicate	quelques	3
dane	danish	déniche	4
danes	danish	déniche	4
dany	dani	dani	3
dany	danny	dani	3
dany	danny	déni	3
dealers	dealer	dealer	3
dealers	distributor	dissent rebuter	2
dealerships	dealer	dealer	2
decide	deciding	dis atteignent	4
decides	deciding	dis atteignent	4
declaring	declare	clair	5
declaring	declares	clair	4
decorating	decor	décor	3
decoration	decor	décor	3
decorations	decor	décor	3
decrease	decreased	décrite	4
decrease	decreasing	décris in	4
dedicated	devoted	devait aide	6
deer	doe	do	2
defeats	defeat	dit hit	2
defeats	defeated	défient aide	2
defend	defending	divin digne	3
delia	della	della	3
delivery	deliveries	divisent	2
delores	dolores	delores	2
demon	devil	dès elle	3
demon	devil	dès vil	3
demon	devil	dévale	3
demonstration	protest	proteste	2
demonstration	protest	protester	2
demonstration	protests	proteste	2
demonstration	protests	protester	2
demonstrators	protesters	prêtais thèse	2
dennis	denis	dennis	2
densities	density	tain cité	2
dentists	dentist	donnent est	2
depressed	depressive	dépressive	6
descend	down	damne	2
descend	down	dan	2
descend	down	tanne	2
descending	decreasing	décris in	3
deserted	desert	dette	4
deserted	desert	dettes	4
design	drawing	drogue	2
design	draw	drogues	2
destinations	destination	destin échine	2
destroyer	destructive	dis traquent ive	6
destroyers	destructive	dis traquent ive	6
details	detail	dit elle	2
detainees	prisoners	prison aise	3
detecting	detect	dit acte	3
detecting	detect	détecte	3
detecting	detect	détectent	3
detects	detect	dit acte	3
detects	detect	détecte	3
detects	detect	détectent	3
detours	detour	tétons	3
deviation	detour	tétons	3
diable	devil	dès elle	3
diable	devil	dès vil	3
diable	devil	dévale	3
dialects	dialect	dialecte	2
dialects	dialect	dialectes	2
differ	differs	disent	2
differ	differs	dit aise	2
digesting	digest	digest	3
diminished	decreased	décrite	3
diplomatic	diplomat	diplomate	3
diplomats	diplomat	diplomate	3
disagreeable	unpleasant	en plaisait	2
disagreement	disagree	dis aigri	2
disagreement	disagree	décrit	2
disagreements	disagree	dis aigri	2
disagreements	disagree	décrit	2
disarray	distress	dis tresses	2
disarray	distress	détresse	2
disarray	distress	stresse	2
disasters	disaster	dis acheter	3
disco	discotheque	discothèque	2
disco	discothèque	discothèque	2
discover	discovery	d cabri	5
discover	discovery	dis cabri	5
discover	discovering	dis caverne	3
discovered	discovery	d cabri	5
discovered	discovery	dis cabri	5
discoveries	discovery	d cabri	5
discoveries	discovery	dis cabri	5
discs	diskette	disquette	2
discs	diskette	disquettes	2
dishonor	disgrace	degrés	2
dishonour	disgrace	degrés	2
diskettes	diskette	disquette	3
diskettes	diskette	disquettes	3
diskettes	disk	disque	2
diskettes	disk	disques	2
disks	diskette	disquette	3
disks	diskette	disquettes	3
disks	disk	disque	2
disks	disk	disques	2
dismay	distress	dis tresses	2
dismay	distress	détresse	2
dismay	distress	stresse	2
disordered	disorder	dis ondées	2
disorderly	disorder	dis ondées	2
disorganized	disorder	dis ondées	2
dispatch	expedition	expose	2
distasteful	unpleasant	en plaisait	2
distilleries	distillery	distillerie	2
distinction	distinctive	distinctive	2
distinguish	distinctive	distinctive	2
distinguishing	distinctive	distinctive	2
distributors	distributor	dissent rebuter	2
disturbance	disorder	dis ondées	2
diverse	various	verrez	3
diverse	varied	verrez	2
diversified	varied	verrez	2
diversified	various	verrez	2
divide	ditch	dèche	2
divides	ditch	dèche	2
dodger	dodgers	tôt chaise	2
domain	zone	zone	2
domain	zone	zones	2
donate	don	dan	4
donation	don	dan	4
donations	don	dan	4
donner	don	dan	3
doris	dory	doris	2
doris	dory	doré	2
dosage	doses	doses	2
dose	doses	doses	2
doubting	doubt	datent	4
doubts	doubt	datent	4
dowry	dot	date	2
doyen	dean	dîne	2
dozens	dozen	des aine	4
dozens	tens	ten	4
dozens	tens	thèse	4
dozens	tens	thèses	4
dragons	dragon	dragonne	2
drama	dramatic	remarque	3
drama	dramatique	dramatique	3
drama	dramatique	dramatiques	3
dramatiques	dramatic	remarque	2
dramatiques	dramatique	dramatique	2
dramatiques	dramatique	dramatiques	2
draws	drawing	drogue	2
draws	draw	drogues	2
drones	drone	drone	2
drones	drone	drones	2
drugs	drug	drague	2
drugs	drug	drogue	2
drugs	drug	drogues	2
drugs	drogue	drogue	2
drugs	drogue	drogues	2
dus	due	doux	3
dyke	dam	dame	2
dyke	dam	dames	2
décor	decor	décor	3
ecclesiastical	cleric	clerc	2
eddy	eddie	édit	2
editor	writer	rares	4
effects	effect	affecte	2
effects	effect	affectent	2
electrodes	electrode	électrodes	2
elisabeth	élisabeth	élisabeth	3
elites	elite	elite	4
elites	elite	élite	4
elites	elite	élites	4
elitist	elite	elite	4
elitist	elite	élite	4
elitist	elite	élites	4
elizabeth	élisabeth	élisabeth	3
elves	elf	elfe	3
elves	elf	elfes	3
emil	emile	emil	3
emil	emile	emile	3
emil	emile	émile	3
emperors	emperor	être	2
encrypting	crypto	crypto	2
encryption	crypto	crypto	2
energies	energy	hainaut chie	4
enforced	forced	ost	3
enterprise	businesses	business	2
enterprises	businesses	business	2
enthusiast	excited	excède	3
entrepreneurs	contractor	con tracter	2
eskimos	eskimo	esquimau	2
eskimos	eskimo	esquimaux	2
espoirs	espérance	espérance	5
ess	sbs	sbs	3
essay	tests	test	3
essay	tests	teste	3
essay	tests	tester	3
essay	tests	tests	3
essay	test	peste	3
essay	test	pestent	3
essay	test	pestes	3
essay	test	test	3
essay	test	teste	3
essay	test	testent	3
essay	test	tester	3
essay	test	testes	3
essay	test	tests	3
essay	test	testé	3
essay	test	testés	3
essay	testing	test	3
essay	testing	tester	3
essay	testing	tests	3
essays	tests	test	3
essays	tests	teste	3
essays	tests	tester	3
essays	tests	tests	3
essays	test	peste	3
essays	test	pestent	3
essays	test	pestes	3
essays	test	test	3
essays	test	teste	3
essays	test	testent	3
essays	test	tester	3
essays	test	testes	3
essays	test	tests	3
essays	test	testé	3
essays	test	testés	3
essays	testing	test	3
essays	testing	tester	3
essays	testing	tests	3
estadio	stage	stage	2
estimates	estimated	estimait aide	5
estimates	estimated	estimés	5
estimates	estimate	est me	5
estimating	estimated	estimait aide	6
estimating	estimated	estimés	6
estimating	estimate	est me	6
estimation	estimated	estimait aide	6
estimation	estimated	estimés	6
estimation	estimate	est me	6
estimations	estimated	estimait aide	5
estimations	estimated	estimés	5
estimations	estimate	est me	5
etienne	stephan	stephan	3
etienne	stephan	stephen	3
etienne	stefan	stephan	3
etienne	stefan	stephen	3
exactly	exact	exact	4
exactly	exact	exacte	4
exactly	exact	exactes	4
exactly	exact	exacts	4
exactly	correct	correct	3
exactly	correct	correcte	3
exactly	correct	corrects	3
exactly	correct	crête	3
excepted	exempt	existent	3
exceptions	exception	excepté	2
excerpt	extract	extrait	5
excerpt	extract	extraite	5
excerpt	extract	extraites	5
excerpt	extract	extraits	5
excerpts	extract	extrait	3
excerpts	extract	extraite	3
excerpts	extract	extraites	3
excerpts	extract	extraits	3
exciter	excite	excite	2
excites	excite	excite	2
exclusions	exclusion	excluant	2
exclusions	exclusion	exclus haine	2
exclusivity	exclusive	exclusive	5
exclusivity	exclusive	exclusives	5
exempted	exempt	existent	6
exemptions	exception	excepté	2
exercise	exercises	excès assise	2
exhibition	exposure	exposer	3
exhibition	exhibit	existent	3
exhibition	exhibits	exhibe	2
exhibition	expose	exposent	2
exhibition	expose	exposer	2
exhibition	expose	exposés	2
exhibitions	exposure	exposer	2
exhibitions	exhibit	existent	2
exhibitions	exhibits	exhibe	2
exiled	exil	exil	3
exiled	exile	exil	3
exiles	exil	exil	3
exiles	exile	exil	3
exonerated	exempt	existent	6
expanding	extension	externe	2
expansion	extension	externe	2
experiences	experience	exprime	3
experiment	experience	exprime	5
experimentation	experience	exprime	5
experimenting	experience	exprime	3
experiments	experience	exprime	4
explaining	explain	s plaine	4
explaining	explains	explosent	3
explanation	explanations	exploser	2
exploiting	exploit	exploit	2
exploiting	exploit	exploite	2
exploiting	exploit	exploitent	2
exploiting	exploit	explore	2
exporter	exports	exporte	4
exporter	export	experte	4
exporter	export	exporte	4
exporter	export	exporter	4
exporters	exports	exporte	4
exporters	export	experte	4
exporters	export	exporte	4
exporters	export	exporter	4
exporting	exports	exporte	5
exporting	export	experte	5
exporting	export	exporte	5
exporting	export	exporter	5
exposures	exposure	exposer	2
exposures	exhibit	existent	2
exposures	exhibits	exhibe	2
external	exterior	exterieur	7
external	outdoor	out or	4
extracted	extract	extrait	5
extracted	extract	extraite	5
extracted	extract	extraites	5
extracted	extract	extraits	5
extracts	extract	extrait	3
extracts	extract	extraite	3
extracts	extract	extraites	3
extracts	extract	extraits	3
extremism	extremist	extrémiste	3
extremism	extremist	extrémistes	3
extremists	extremist	extrémiste	3
extremists	extremist	extrémistes	3
facial	face	fesse	3
fairies	fairy	ferrée	3
fairies	fée	fée	3
fairies	fée	fées	3
faithful	fidèle	fidèle	4
faithful	fidèle	fidèles	4
fanciful	fancy	faon ci	3
fanciful	fancy	finie	3
fanciful	fantasy	fanent ci	2
fanciful	fantasy	on ceci	2
fantaisie	fantasy	fanent ci	4
fantaisie	fantasy	on ceci	4
fantaisie	fancy	faon ci	4
fantaisie	fancy	finie	4
fatal	mortal	mortel	5
fatal	mortal	mortelle	5
fatal	mortal	mortels	5
fatal	lethal	lient elle	3
fatale	mortal	mortel	5
fatale	mortal	mortelle	5
fatale	mortal	mortels	5
fatale	lethal	lient elle	2
fats	grasse	graisse	3
fats	grasse	graisses	3
fats	grasse	grasse	3
fats	grease	graisse	3
fats	grease	graisses	3
fats	grease	grasse	3
faults	flaws	flotte	2
faults	flaws	flottes	2
faults	fault	folle	2
faults	fault	folles	2
february	feb	fait	3
feds	federal	fait airelles	4
felix	félix	félix	2
ferocious	fierce	fils	3
ferocious	fierce	force	3
fete	night	nattes	2
fete	part	parte	2
fete	part	partent	2
fete	festival	festival	2
fete	festival	festivals	2
fete	feast	fis	2
finale	final	fatal	4
