seed	hops	quality	loop
barracks	6	0.796	en:barracks ~ fr:corps ≈ en:quarter ~ en:quarters ≈ fr:corse ~ fr:corses ≈ en:corps
bathroom	6	0.877	en:bathroom ≈ fr:bat rhume ~ fr:paient rhume ≈ en:bedroom ~ en:bed ≈ fr:baie ~ en:bagno
bathroom	6	0.877	en:bathroom ≈ fr:bat rhume ~ fr:paient rhume ≈ en:bedroom ~ en:bed ≈ fr:baie ~ fr:bagno
beasts	4	0.863	en:beasts ~ en:beast ≈ fr:bit ~ en:bit ≈ fr:bêtes
beasts	4	0.850	en:beasts ~ en:beast ≈ fr:bit = en:bit ≈ fr:bêtes
beat	3	0.913	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	3	0.913	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
beater	5	0.885	en:beater ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beater	5	0.885	en:beater ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beaters	5	0.885	en:beaters ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beaters	5	0.885	en:beaters ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beating	5	0.893	en:beating ~ en:beat ≈ fr:bites ~ fr:bite ≈ en:beats ~ fr:beat
beating	5	0.893	en:beating ~ en:beat ≈ fr:bite ~ fr:bites ≈ en:beats ~ fr:beat
beats	3	0.908	en:beats ≈ fr:bit ~ fr:bits ≈ en:beat
beats	4	0.931	en:beats ≈ fr:bit ~ fr:bits ≈ en:beat ~ fr:beat
before	4	0.827	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilèges ≈ en:previous
before	5	0.852	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilèges ≈ en:previous = fr:précédente
bell	4	0.957	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
bell	4	0.957	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellis
belle	5	0.912	en:belle ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:belle
belle	6	0.919	en:belle ≈ fr:bel ~ fr:belize ≈ en:bellies ~ en:bellied ≈ fr:belle ~ fr:bella
bit	4	0.921	en:bit ~ fr:bit ≈ en:beats ~ en:beat ≈ fr:bits
bit	4	0.862	en:bit ~ fr:bit ≈ en:beaches ~ en:beach ≈ fr:bits
bite	4	0.913	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bites
bite	4	0.913	en:bite ~ fr:bite ≈ en:beats ~ en:beat ≈ fr:bittent
bites	4	0.913	en:bites ~ fr:bites ≈ en:beats ~ en:beat ≈ fr:bite
bites	4	0.913	en:bites ~ fr:bites ≈ en:beats ~ en:beat ≈ fr:bittent
bits	4	0.862	en:bits ~ fr:bits ≈ en:beach ~ en:beaches ≈ fr:bit
bits	4	0.850	en:bits = fr:bits ≈ en:beach ~ en:beaches ≈ fr:bit
blast	4	0.844	en:blast ~ fr:explosent ≈ en:explains ~ en:explained ≈ fr:explose
blast	4	0.843	en:blast ~ fr:explose ≈ en:explains ~ en:explained ≈ fr:explosent
blogger	5	0.856	en:blogger ~ en:bloggers ≈ fr:blague ~ fr:blagues ≈ en:blog ~ en:blogspot
bloggers	5	0.883	en:bloggers ~ en:blogger ≈ fr:blagues ~ fr:blague ≈ en:blog ~ fr:blogspot
bloggers	5	0.883	en:bloggers ~ en:blogger ≈ fr:blague ~ fr:blagues ≈ en:blog ~ fr:blogspot
bonds	6	0.899	en:bonds ~ fr:bondit ≈ en:body ~ fr:body ≈ en:boarder ~ en:boarders ≈ fr:bond aise
boot	4	0.815	en:boot ~ en:bootie ≈ fr:coutils ~ fr:coutil ≈ en:booty
boot	4	0.815	en:boot ~ en:bootie ≈ fr:coutil ~ fr:coutils ≈ en:booty
bootee	3	0.909	en:bootee ≈ fr:boutis ~ fr:bout ≈ en:boot
bootee	4	0.915	en:bootee ~ en:bootie ≈ fr:boutis ~ fr:bout ≈ en:boot
bootie	3	0.909	en:bootie ≈ fr:boutis ~ fr:bout ≈ en:boot
bootie	4	0.915	en:bootie ~ en:bootee ≈ fr:boutis ~ fr:bout ≈ en:boot
booty	4	0.901	en:booty ≈ fr:boutis ~ fr:bout ≈ en:boot ~ en:bootie
booty	4	0.900	en:booty ≈ fr:boutis ~ fr:bout ≈ en:boot ~ en:bootee
bought	5	0.865	en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
bought	5	0.853	en:bought ≈ fr:bottes ~ fr:bote ≈ en:bawd ~ fr:bah ≈ en:buy
bout	4	0.901	en:bout ~ fr:boutis ≈ en:bootie ~ en:boot ≈ fr:bout
bout	4	0.900	en:bout ~ fr:boutis ≈ en:bootee ~ en:boot ≈ fr:bout
break	5	0.890	en:break = fr:pause ≈ en:poses ~ en:pose ≈ fr:pauses = en:breaks
break	6	0.867	en:break ~ fr:break ≈ en:brick = fr:briques ≈ en:brake ~ en:brakes ≈ fr:breaks
breaks	4	0.860	en:breaks ~ fr:break ≈ en:brick = fr:briques ≈ en:break
breaks	4	0.860	en:breaks ~ en:break ≈ fr:briques = en:brick ≈ fr:break
bricks	4	0.876	en:bricks ~ fr:briques ≈ en:break ~ fr:break ≈ en:brick
bricks	4	0.873	en:bricks = fr:briques ≈ en:break ~ fr:break ≈ en:brick
buddy	5	0.920	en:buddy = fr:pote ≈ en:port ~ en:ports ≈ fr:potes = en:buddies
buddy	5	0.920	en:buddy = fr:pote ≈ en:ports ~ en:port ≈ fr:potes = en:buddies
bulk	6	0.852	en:bulk ~ fr:full ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:foule ≈ en:full
bulk	6	0.852	en:bulk ~ en:full ≈ fr:foule ~ fr:foules ≈ en:fools ~ en:fool ≈ fr:full
buys	6	0.878	en:buys ~ en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
buys	6	0.868	en:buys ~ en:bought ≈ fr:bottes ~ fr:bote ≈ en:bawd ~ fr:bah ≈ en:buy
call	3	0.905	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
call	3	0.972	en:call ≈ fr:cols ~ fr:col ≈ en:caller
caller	3	0.972	en:caller ≈ fr:col ~ fr:cols ≈ en:call
caller	3	0.899	en:caller ≈ fr:col ~ fr:cols ≈ en:calls
callers	4	0.970	en:callers ~ en:caller ≈ fr:col ~ fr:cols ≈ en:call
callers	4	0.916	en:callers ~ en:caller ≈ fr:col ~ fr:cols ≈ en:calls
calling	4	0.926	en:calling ~ en:call ≈ fr:colle ~ fr:collent ≈ en:calls
calling	4	0.976	en:calling ~ en:call ≈ fr:cols ~ fr:col ≈ en:caller
calls	4	0.967	en:calls ~ en:call ≈ fr:cols ~ fr:col ≈ en:caller
calls	4	0.963	en:calls ~ en:caller ≈ fr:col ~ fr:cols ≈ en:call
cardboard	4	0.863	en:cardboard ≈ fr:cas botte ~ en:case ≈ fr:caisse = en:crate
carry	5	0.854	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
carry	6	0.847	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries ~ en:bring
case	6	0.836	en:case ~ en:cases ≈ fr:cause ~ en:causes ≈ fr:cons aise ~ en:cons ≈ fr:case
case	6	0.832	en:case ~ en:cases ≈ fr:cause = en:causes ≈ fr:cons aise ~ en:cons ≈ fr:case
cause	4	0.890	en:cause ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
cause	4	0.878	en:cause = fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
caused	4	0.833	en:caused ~ fr:cause ≈ en:causes ~ en:cause ≈ fr:causent
caused	5	0.844	en:caused ~ fr:cause ≈ en:causes ~ en:cause ≈ fr:causent ~ en:causing
causes	4	0.884	en:causes ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
causes	4	0.878	en:causes = fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
causing	4	0.879	en:causing ~ en:caused ≈ fr:codes ~ en:codes ≈ fr:cause
causing	4	0.877	en:causing ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
cease	4	0.853	en:cease ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop
cease	4	0.841	en:cease ~ fr:stoppes ≈ en:step = fr:step ≈ en:stop
cells	5	0.932	en:cells ~ fr:cellules ≈ en:cellular ~ en:cell ≈ fr:celle ~ fr:cella
cells	5	0.930	en:cells ~ fr:cellules ≈ en:cellular ~ en:cell ≈ fr:celle ~ en:celica
check	3	0.938	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
check	3	0.938	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checks
checking	4	0.947	en:checking ~ en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
checking	4	0.947	en:checking ~ en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checks
checks	4	0.920	en:checks ~ en:checking ≈ fr:tchèque ~ fr:tchèques ≈ en:check
checks	4	0.835	en:checks ~ fr:chèque ≈ en:sheik = fr:cheik ≈ en:check
cheque	4	0.986	en:cheque ≈ fr:tchèque ~ fr:tchèques ≈ en:check = fr:chèque
cheque	4	0.941	en:cheque ≈ fr:tchèque ~ fr:tchèques ≈ en:checks = fr:chèques
cherry	6	0.881	en:cherry = fr:cerise ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerises
cherry	6	0.881	en:cherry = fr:cerises ≈ en:series ~ fr:séries ≈ en:city ~ en:cities ≈ fr:cerise
chevy	5	0.917	en:chevy ~ fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes ~ en:coupe
chicken	4	0.864	en:chicken = fr:poule ≈ en:pools ~ en:pool ≈ fr:poulets
chicken	5	0.925	en:chicken = fr:poule ≈ en:pools ~ en:pool ≈ fr:poules = en:chickens
clack	3	0.969	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clack	4	0.953	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam ~ fr:clo
claire	3	0.912	en:claire ≈ fr:clair = en:clear ≈ fr:clairs
claire	4	0.914	en:claire ≈ fr:clair = en:clear ≈ fr:clairs ~ fr:claire
clam	4	0.952	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ en:clo
clam	4	0.952	en:clam ≈ fr:clame ~ fr:claque ≈ en:clack ~ fr:clo
claque	4	0.959	en:claque ~ fr:claque ≈ en:clack ~ en:clam ≈ fr:clame
class	5	0.911	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
class	5	0.893	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy ~ fr:classe
classes	4	0.902	en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
classes	4	0.880	en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy ~ fr:classe
classroom	4	0.916	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:classe
classroom	4	0.914	en:classroom ≈ fr:clans rhume ~ fr:clans aise ≈ en:classes ~ fr:clase
clicks	4	0.924	en:clicks ~ en:click ≈ fr:clique ~ en:clique ≈ fr:clic
clicks	4	0.911	en:clicks ~ en:click ≈ fr:clique = en:clique ≈ fr:clic
clique	3	0.897	en:clique ≈ fr:clic ~ en:click ≈ fr:clique
clique	4	0.838	en:clique ~ fr:clique ≈ en:click ~ en:clicks ≈ fr:clic
close	4	0.894	en:close ~ fr:close ≈ en:clause ~ fr:clause ≈ en:closes
close	4	0.884	en:close ~ fr:close ≈ en:clause ~ fr:clauses ≈ en:closes
closed	4	0.885	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:clos
closed	4	0.879	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
closing	4	0.880	en:closing ~ en:closes ≈ fr:close ~ en:close ≈ fr:closes
closing	4	0.887	en:closing ~ en:closes ≈ fr:clause ~ en:clause ≈ fr:closes
clown	5	0.854	en:clown ~ fr:on clown ≈ en:conclusion ~ en:conclude ≈ fr:clowns coudes ~ en:clowns
clown	5	0.854	en:clown ~ fr:on clown ≈ en:conclusion ~ en:conclude ≈ fr:clowns coudes ~ fr:clowns
coach	4	0.832	en:coach ~ en:coaches ≈ fr:catch ~ en:catch ≈ fr:coach
coach	5	0.857	en:coach ~ en:coaches ≈ fr:catch ~ en:catch ≈ fr:coach ~ en:coached
coaches	4	0.862	en:coaches ~ fr:coach ≈ en:catch ~ fr:catch ≈ en:coach
coaches	4	0.862	en:coaches ~ en:coach ≈ fr:catch ~ en:catch ≈ fr:coach
cock	5	0.910	en:cock = fr:bite ≈ en:beats ~ en:beat ≈ fr:bites = en:cocks
col	4	0.992	en:col ~ fr:col ≈ en:caller ~ en:call ≈ fr:cols
col	4	0.934	en:col ~ fr:col ≈ en:call ~ en:calls ≈ fr:cols
committing	4	0.856	en:committing ≈ fr:commit in ~ en:commit ≈ fr:commettent ~ fr:commettant
controlled	4	0.812	en:controlled ~ en:control ≈ fr:contrôles ~ fr:contrôle ≈ en:controlling
controlled	4	0.819	en:controlled ~ en:control ≈ fr:contrôles = en:controls ≈ fr:contrôle
controller	4	0.827	en:controller ~ en:controllers ≈ fr:contrôle ~ fr:contrôles ≈ en:control
controller	4	0.783	en:controller ~ en:controls ≈ fr:contrôle ~ fr:contrôles ≈ en:control
controllers	4	0.848	en:controllers ~ en:controller ≈ fr:contrôle ~ fr:contrôles ≈ en:control
controllers	4	0.789	en:controllers ~ en:controls ≈ fr:contrôle ~ fr:contrôles ≈ en:control
controlling	4	0.827	en:controlling ~ en:control ≈ fr:contrôles ~ fr:contrôle ≈ en:controlled
controlling	4	0.826	en:controlling ~ en:control ≈ fr:contrôles = en:controls ≈ fr:contrôle
controls	4	0.820	en:controls = fr:contrôles ≈ en:control ~ en:controlling ≈ fr:contrôle
controls	4	0.826	en:controls = fr:contrôles ≈ en:control ~ fr:contrôle ≈ en:controlled
cooed	3	0.895	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
cooed	3	0.895	en:cooed ≈ fr:coudes ~ fr:coude ≈ en:coot
cooing	5	0.912	en:cooing ~ en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot ~ en:cooder
cooing	5	0.912	en:cooing ~ en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot ~ fr:cooder
cop	5	0.871	en:cop ~ en:policeman ≈ fr:police ~ fr:polices ≈ en:police ~ en:polis
copies	5	0.931	en:copies ~ fr:copies ≈ en:copy ~ fr:copie ≈ en:kopje ~ fr:exemplaires
copies	5	0.921	en:copies = fr:copies ≈ en:copy ~ fr:copie ≈ en:kopje ~ fr:exemplaires
cops	5	0.870	en:cops ~ fr:polices ≈ en:police ~ fr:police ≈ en:policeman ~ fr:policiers
corn	5	0.956	en:corn ≈ fr:corne ~ en:corny ≈ fr:corner ~ en:corner ≈ fr:cornes
corn	5	0.946	en:corn ≈ fr:corne ~ en:corny ≈ fr:corner = en:corner ≈ fr:cornes
corner	3	0.927	en:corner ≈ fr:corne ~ en:corny ≈ fr:corner
corner	4	0.933	en:corner ≈ fr:corne ~ en:corny ≈ fr:corner ~ en:corners
correct	5	0.908	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
correct	6	0.898	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ en:exact ≈ fr:exact
countries	4	0.914	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country = fr:pays
countries	4	0.908	en:countries ≈ fr:khan treize ~ fr:khan tri ≈ en:country ~ en:ülker
coup	3	0.925	en:coup ≈ fr:coupe ~ fr:coupes ≈ en:coups
coup	4	0.944	en:coup ≈ fr:coupe ~ fr:coupes ≈ en:coups ~ fr:coups
coupe	4	0.940	en:coupe ~ fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes
coupe	4	0.927	en:coupe = fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes
coups	5	0.910	en:coups ~ en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon = fr:coupons
coups	5	0.902	en:coups ~ en:coup ≈ fr:coupent ~ fr:coupant ≈ en:coupon ~ en:coupons
court	3	0.913	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts
court	3	0.913	en:court ≈ fr:cote ~ fr:cotes ≈ en:courts
court arse	5	0.913	en:court arse ~ en:court ≈ fr:cotes ~ fr:cote ≈ en:courts ~ fr:court
court arse	5	0.913	en:court arse ~ en:court ≈ fr:cote ~ fr:cotes ≈ en:courts ~ fr:court
couture	4	0.814	en:couture ~ fr:coule ≈ en:schools ~ en:school ≈ fr:coulent
couture	4	0.864	en:couture ~ fr:coule ≈ en:cooling ~ en:cooler ≈ fr:coulent
crass	6	0.933	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crass	6	0.932	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ fr:cric
cream	4	0.908	en:cream ≈ fr:crimes ~ fr:crime ≈ en:creamy ~ fr:cream
cream	4	0.903	en:cream ≈ fr:crimes ~ fr:crime ≈ en:creamy ~ fr:crème
creatures	5	0.841	en:creatures ~ en:beasts ≈ fr:bit ~ fr:bits ≈ en:beast ~ en:creature
cried	6	0.856	en:cried ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries ~ en:carry ≈ fr:crie
cries	5	0.864	en:cries ~ en:crying ≈ fr:crâne ~ fr:crânes ≈ en:cried ~ fr:crie
cries	5	0.863	en:cries ~ en:crying ≈ fr:crâne ~ fr:crânes ≈ en:cried ~ fr:cries
crime	5	0.928	en:crime ~ fr:crime ≈ en:creamy ~ en:cream ≈ fr:crimes ~ en:brott
crime	5	0.928	en:crime ~ fr:crime ≈ en:creamy ~ en:cream ≈ fr:crimes ~ fr:brott
crimes	4	0.908	en:crimes ~ fr:crime ≈ en:creamy ~ en:cream ≈ fr:crimes
crimes	5	0.921	en:crimes ~ fr:crime ≈ en:creamy ~ en:cream ≈ fr:crimes ~ en:brott
cross	3	0.992	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
cross	3	0.987	en:cross ≈ fr:crosse ~ fr:cross ≈ en:crosse
crosse	3	0.992	en:crosse ≈ fr:cross ~ en:cross ≈ fr:crosse
crosse	3	0.987	en:crosse ≈ fr:cross ~ fr:crosse ≈ en:cross
crossed	4	0.971	en:crossed ~ fr:crosse ≈ en:cross ~ fr:cross ≈ en:crosse
crossed	4	0.968	en:crossed ~ fr:crosse ≈ en:cross ~ en:crosse ≈ fr:cross
crowd	4	0.926	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
crowd	4	0.921	en:crowd = fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
crowded	5	0.912	en:crowded ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules = en:crowds
crowded	5	0.901	en:crowded ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:surpeuplées
crowds	4	0.922	en:crowds ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
crowds	4	0.921	en:crowds = fr:foules ≈ en:fool ~ en:fools ≈ fr:foule
cruck	4	0.921	en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
cruck	4	0.919	en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ fr:cric
cruet	5	0.927	en:cruet ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ fr:cric
cruet	5	0.917	en:cruet ~ en:cruck ≈ fr:crack = en:crack ≈ fr:craque ~ fr:cric
crying	6	0.859	en:crying ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries ~ en:carry ≈ fr:crie
cut	5	0.932	en:cut = fr:coupe ≈ en:coup ~ en:coups ≈ fr:coupes = en:cuts
cuts	5	0.932	en:cuts = fr:coupes ≈ en:coups ~ en:coup ≈ fr:coupe = en:cut
cuts	5	0.932	en:cuts = fr:coupes ≈ en:coups ~ en:coup ≈ fr:coupe = en:cutting
decrease	4	0.823	en:decrease ~ en:decreased ≈ fr:décrite ~ fr:décrit ≈ en:decreasing
decrease	5	0.848	en:decrease ~ en:decreased ≈ fr:décrite ~ fr:décrit ≈ en:decreasing = fr:diminuer
decreasing	4	0.833	en:decreasing ~ en:decreased ≈ fr:décrite ~ fr:décrit ≈ en:decrease
decreasing	5	0.862	en:decreasing ~ en:decreased ≈ fr:décrite ~ fr:décrit ≈ en:decrease ~ en:decreases
deed	6	0.883	en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ fr:set ≈ en:asset ~ fr:propriétés
deed	6	0.863	en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ fr:sets ≈ en:asset ~ fr:propriétés
der	4	0.984	en:der ≈ fr:der ~ en:se ≈ fr:si ~ fr:se
der	5	0.977	en:der ~ fr:der ≈ en:debtor ~ en:debt ≈ fr:dettes ~ en:detlev
des	5	0.818	en:des ~ fr:des as ≈ en:desires ~ en:desire ≈ fr:des a ~ fr:des
despite	4	0.883	en:despite ≈ fr:dis pâte ~ fr:pâte ≈ en:spite = fr:malgré
despite	5	0.802	en:despite ~ en:nevertheless ≈ fr:s laisse ~ fr:on laisse ≈ en:nonetheless ~ en:however
destroys	4	0.910	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruite
destroys	4	0.909	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed ~ fr:détruits
dicks	5	0.910	en:dicks = fr:bites ≈ en:beats ~ en:beat ≈ fr:bite = en:dick
discourse	4	0.895	en:discourse ~ en:speech ≈ fr:speechs ~ en:speeches ≈ fr:speech
discourse	4	0.895	en:discourse ~ fr:speech ≈ en:speeches ~ fr:speechs ≈ en:speech
district	4	0.825	en:district ~ fr:districts ≈ en:distract ~ en:distracted ≈ fr:district
district	4	0.838	en:district ~ fr:district ≈ en:distracted ~ en:distract ≈ fr:districts
dj	6	0.930	en:dj ~ fr:djinn ≈ en:jean ~ fr:jean ≈ en:genes ~ en:gene ≈ fr:djinns
dj	6	0.930	en:dj ~ fr:djinn ≈ en:gene ~ en:genes ≈ fr:jean ~ en:jean ≈ fr:djinns
drama	4	0.826	en:drama ~ fr:drames ≈ en:drum ~ en:drums ≈ fr:drame
drama	4	0.836	en:drama ~ fr:drame ≈ en:drums ~ en:drummer ≈ fr:drames
dress	3	0.901	en:dress ≈ fr:dresse ~ en:dresses ≈ fr:dressage
dress	4	0.926	en:dress ≈ fr:dresse ~ en:dresses ≈ fr:dressage ~ en:dressage
drugs	4	0.833	en:drugs ~ fr:drogues ≈ en:draw ~ en:drawing ≈ fr:drogue
drugs	4	0.825	en:drugs = fr:drogues ≈ en:draw ~ en:drawing ≈ fr:drogue
drum	4	0.834	en:drum ~ en:drums ≈ fr:drame ~ fr:drames ≈ en:drummer
drum	5	0.863	en:drum ~ en:drums ≈ fr:drame ~ fr:drames ≈ en:drummer ~ en:drumheller
drums	5	0.890	en:drums ~ en:drummer ≈ fr:drames ~ fr:drame ≈ en:drum = fr:batterie
drums	5	0.884	en:drums ~ en:drummer ≈ fr:drames ~ fr:drame ≈ en:drum ~ en:drumstick
drying	4	0.843	en:drying ~ en:dried ≈ fr:drap ode ~ fr:drap ≈ en:dry
drying	5	0.864	en:drying ~ en:dried ≈ fr:drap ode ~ fr:drap ≈ en:dry = fr:sécher
effects	4	0.866	en:effects ~ en:effect ≈ fr:affecte ~ en:affect ≈ fr:affect
effects	4	0.866	en:effects ~ en:effect ≈ fr:affecte ~ fr:affect ≈ en:affect
elbow	4	0.896	en:elbow = fr:coude ≈ en:cooed ~ en:coot ≈ fr:coudes
elbow	4	0.896	en:elbow = fr:coudes ≈ en:cooed ~ en:coot ≈ fr:coude
enforced	5	0.826	en:enforced ~ en:enforce ≈ fr:un fausse ~ fr:fausse ≈ en:forced = fr:forcée
estate	5	0.838	en:estate ~ en:property ≈ fr:appris ~ fr:apprise ≈ en:properties = fr:propriétés
estate	5	0.825	en:estate ~ en:property ≈ fr:appris ~ fr:apprise ≈ en:properties ~ fr:propriétés
eve	4	0.910	en:eve ≈ fr:ives ~ fr:ive ≈ en:eva = fr:ève
examination	3	0.796	en:examination ≈ fr:examen échine ~ fr:examen ≈ en:examined
examination	4	0.835	en:examination ≈ fr:examen échine ~ fr:examen ≈ en:examined = fr:examinés
except	4	0.839	en:except ~ fr:excepte ≈ en:exception ~ en:exceptions ≈ fr:excepté
except	4	0.836	en:except ~ fr:excepté ≈ en:exceptions ~ en:exception ≈ fr:excepte
exception	3	0.819	en:exception ≈ fr:excepte ~ fr:excepté ≈ en:exceptions
exception	4	0.864	en:exception ≈ fr:excepte ~ fr:excepté ≈ en:exceptions ~ fr:exceptions
exceptions	4	0.899	en:exceptions ~ en:exception ≈ fr:excepté ~ en:except ≈ fr:excepte
