en	fr	certifications	example_loop
fool	foule	7	en:crowd ~ fr:foule ≈ en:fool ~ en:fools ≈ fr:foules
exception	excepte	7	en:except ~ fr:excepte ≈ en:exception ~ en:exceptions ≈ fr:excepté
feel	file	7	en:feel ≈ fr:file ~ fr:files ≈ en:feels
let	laid	7	en:fitted ~ fr:laid ≈ en:let ~ en:letting ≈ fr:laid in ~ en:laid
myself	mas elfes	7	en:herself ~ en:myself ≈ fr:mas elfes ~ fr:elfes ≈ en:self
pee	pi	7	en:pee ≈ fr:pi ~ fr:pif ≈ en:peeve ~ en:peene
steal	styles	7	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
appealing	peeling	6	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
beat	bites	6	en:beat ≈ fr:bites ~ fr:bite ≈ en:beats
beat	bite	6	en:beat ≈ fr:bite ~ fr:bites ≈ en:beats
recipe	respirer	6	en:breath ~ fr:respirer ≈ en:recipe ~ en:recipes ≈ fr:respire = en:breathe
recipes	respire	6	en:breath ~ fr:respirer ≈ en:recipe ~ en:recipes ≈ fr:respire = en:breathe
calls	collent	6	en:call ≈ fr:colle ~ fr:collent ≈ en:calls
carry	crie	6	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
cries	crise	6	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
carries	crises	6	en:carry ≈ fr:crie ~ en:cries ≈ fr:crise ~ fr:crises ≈ en:carries
caused	codes	6	en:cause ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
check	tchèques	6	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:checked
classes	clans aise	6	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
cruck	crack	6	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
crack	craque	6	en:crass ≈ fr:crasse ~ en:cruck ≈ fr:crack ~ en:crack ≈ fr:craque ~ en:crepe
cross	crosse	6	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
crosse	cross	6	en:cross ≈ fr:crosse ~ en:crosse ≈ fr:cross
exhibitions	expose	6	en:exhibit = fr:exposer ≈ en:expose ~ fr:expose ≈ en:exhibitions
exist	existe	6	en:existence ~ en:exist ≈ fr:existe ~ fr:existent ≈ en:exists
extending	axent haines in	6	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
extended	axent haines aide	6	en:extend ~ en:extending ≈ fr:axent haines in ~ fr:axent haines aide ≈ en:extended
ordering	ordre	6	en:flock ~ fr:horde ≈ en:order ~ fr:ordre ≈ en:ordering ~ en:ordered ≈ fr:hordes
foresee	foncé	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
foresees	fonceuse	6	en:foresaw ~ en:foresee ≈ fr:foncé ~ fr:fonceuse ≈ en:foresees
fortunate	faut chaînette	6	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
fortunately	faut chenet lis	6	en:fortunate ≈ fr:faut chaînette ~ fr:faut chenet lis ≈ en:fortunately ~ fr:fortunato
founders	fanent aise	6	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
founding	fanent in	6	en:founded ~ en:founders ≈ fr:fanent aise ~ fr:fanent in ≈ en:founding
lender	lin des	6	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lenders	lin dos	6	en:lend ~ en:lender ≈ fr:lin des ~ fr:lin dos ≈ en:lenders = fr:prêteurs
lord	lords	6	en:lord ≈ fr:lords ~ en:lords ≈ fr:lord
meanie	mini	6	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
meany	minis	6	en:meanie ≈ fr:mini ~ fr:minis ≈ en:meany
petit	petit	6	en:petit ≈ fr:petit ~ en:petite ≈ fr:petite
petite	petite	6	en:petit ≈ fr:petit ~ en:petite ≈ fr:petite
prep	prêt	6	en:prayer ~ en:prayers ≈ fr:prêts ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:pray
pressie	précis	6	en:presses ≈ fr:précise ~ fr:précis ≈ en:pressie ~ en:pressies ≈ fr:presse
proves	prouve	6	en:proof ~ fr:prouve ≈ en:proves ~ en:prove ≈ fr:prouver
protect	prétextes	6	en:protected ~ en:protect ≈ fr:prétextes ~ fr:prétexte ≈ en:protects
reach	riche	6	en:reached ~ en:reaches ≈ fr:riches ~ fr:riche ≈ en:reach
store	stores	6	en:retail ~ fr:stores ≈ en:store ~ fr:store ≈ en:stores
stores	store	6	en:retail ~ fr:stores ≈ en:store ~ fr:store ≈ en:stores
routes	route	6	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
route	routes	6	en:road = fr:route ≈ en:routes ~ en:route ≈ fr:routes = en:roads
seem	cimes	6	en:seem ≈ fr:cimes ~ fr:cime ≈ en:seemed
stalky	stock	6	en:stalk ≈ fr:stocke ~ fr:stock ≈ en:stalky
stop	step	6	en:step ≈ fr:steppe ~ en:steppe ≈ fr:stop ~ en:stop ≈ fr:step
stretch	stretch	6	en:stretch ≈ fr:stretch ~ en:stretching ≈ fr:stretching
stretching	stretching	6	en:stretch ≈ fr:stretch ~ en:stretching ≈ fr:stretching
technique	techniques	6	en:technical = fr:techniques ≈ en:technique ~ en:techniques ≈ fr:technique
test	tests	6	en:test ≈ fr:tests ~ en:tests ≈ fr:teste
text	texte	6	en:text ≈ fr:texte ~ fr:textes ≈ en:texts
traders	trait aise	6	en:trader ~ en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
trading	trait in	6	en:trader ~ en:traders ≈ fr:trait aise ~ fr:trait in ≈ en:trading
tribe	trappes	6	en:trap ~ fr:trappes ≈ en:tribe ~ en:tribes ≈ fr:trappe
tribes	trappe	6	en:trap ~ fr:trappes ≈ en:tribe ~ en:tribes ≈ fr:trappe
true	trous	6	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ en:wahre
truly	trous lies	6	en:true ≈ fr:trous ~ fr:trous lies ≈ en:truly ~ en:wahre
except	acceptent	5	en:accept = fr:acceptent ≈ en:except ~ fr:excepte ≈ en:accepts = fr:accepte
previously	privilégie	5	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilèges ≈ en:previous
brick	break	5	en:break ~ fr:break ≈ en:brick = fr:briques ≈ en:brake ~ en:brakes ≈ fr:breaks
call	cols	5	en:caller ≈ fr:col ~ fr:cols ≈ en:call
codes	cause	5	en:cause ~ fr:cause ≈ en:codes ~ fr:codes ≈ en:caused
clack	claque	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
clam	clame	5	en:clack ≈ fr:claque ~ fr:clame ≈ en:clam
forced	fausse	5	en:enforced ~ en:enforce ≈ fr:un fausse ~ fr:fausse ≈ en:forced = fr:forcée
exceptions	excepté	5	en:except ~ fr:excepte ≈ en:exception ~ en:exceptions ≈ fr:excepté
existed	exit aide	5	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
forcing	faux in	5	en:fake = fr:fausse ≈ en:forced ~ en:forcing ≈ fr:faux in ~ fr:faux
sex	sexy	5	en:gender ~ fr:sexes ≈ en:sexy ~ fr:sexy ≈ en:sex ~ fr:sexe
southwest	cent ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
northwest	nœud ouest	5	en:northwestern ~ en:southwest ≈ fr:cent ouest ~ fr:nœud ouest ≈ en:northwest
pose	pause	5	en:pause ≈ fr:pose ~ en:pose ≈ fr:pause
prefers	prêt aise	5	en:preferences ~ en:prefers ≈ fr:prêt aise ~ fr:prêts ≈ en:prefer ~ en:preferring
prefer	prêts	5	en:preferences ~ en:prefers ≈ fr:prêt aise ~ fr:prêts ≈ en:prefer ~ en:preferring
presses	presse	5	en:pressed ~ fr:pressing ≈ en:pressing ~ en:presses ≈ fr:presse
rendering	reines ring	5	en:render ~ en:rendering ≈ fr:reines ring ~ fr:reines ≈ en:rendered
sext	secte	5	en:sect ~ fr:secte ≈ en:sext ~ en:sex ≈ fr:sectes
streak	stricte	5	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaked
streaks	strict	5	en:streak ≈ fr:stricte ~ fr:strict ≈ en:streaks
techniques	technique	5	en:technical = fr:techniques ≈ en:technique ~ en:techniques ≈ fr:technique
accept	excepte	4	en:acceptance ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptent
decrease	décrit	4	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decrease ≈ fr:décrit ~ en:thuja
peel	piles	4	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
appeal	pile	4	en:appealed ~ en:appealing ≈ fr:peeling ~ en:peel ≈ fr:piles ~ fr:pile ≈ en:appeal
buyers	base	4	en:base ~ fr:base ≈ en:buyers ~ en:buys ≈ fr:bases
buys	bases	4	en:base ~ fr:base ≈ en:buyers ~ en:buys ≈ fr:bases
buyers	bases	4	en:base ~ fr:bases ≈ en:buyers ~ en:buys ≈ fr:base
buys	base	4	en:base ~ fr:bases ≈ en:buyers ~ en:buys ≈ fr:base
previous	privilèges	4	en:before ~ en:previously ≈ fr:privilégie ~ fr:privilèges ≈ en:previous
bellies	belize	4	en:bell ≈ fr:bel ~ fr:belize ≈ en:bellies ~ fr:bellis
belong	blocs	4	en:belongs ~ en:belong ≈ fr:blocs ~ fr:bloc ≈ en:belonged
big	big	4	en:bigger ~ en:big ≈ fr:big ~ en:large ≈ fr:large
large	large	4	en:bigger ~ en:big ≈ fr:big ~ en:large ≈ fr:large
explains	explose	4	en:blast ~ fr:explose ≈ en:explains ~ en:explained ≈ fr:explosent
bought	bottes	4	en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
bawd	botes	4	en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
buy	bah	4	en:bought ≈ fr:bottes ~ fr:botes ≈ en:bawd ~ fr:bah ≈ en:buy
break	briques	4	en:breaks ~ fr:break ≈ en:brick = fr:briques ≈ en:break
sells	celle	4	en:cellist ~ fr:cellule ≈ en:sell ~ en:sells ≈ fr:celle
check	cheik	4	en:checks ~ fr:chèque ≈ en:sheik = fr:cheik ≈ en:check
pools	poule	4	en:chicken = fr:poulet ≈ en:pool ~ en:pools ≈ fr:poule
clear	clairs	4	en:claire ≈ fr:clair = en:clear ≈ fr:clairs
classy	clans sis	4	en:class ~ en:classes ≈ fr:clans aise ~ fr:clans sis ≈ en:classy = fr:classe
click	clique	4	en:clicks ~ en:click ≈ fr:clique ~ en:clique ≈ fr:clic
catch	coach	4	en:coach ~ en:coaches ≈ fr:catch ~ en:catch ≈ fr:coach
cooed	coude	4	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
coot	coudes	4	en:cooed ≈ fr:coude ~ fr:coudes ≈ en:coot
corny	corner	4	en:corn ≈ fr:corne ~ en:corny ≈ fr:corner ~ en:corner ≈ fr:cornes
court	cotes	4	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts ~ fr:courts
set	cet	4	en:deed ≈ fr:dit ~ fr:cet ≈ en:set ~ fr:set ≈ en:asset ~ fr:propriétés
speech	speechs	4	en:discourse ~ en:speech ≈ fr:speechs ~ en:speeches ≈ fr:speech
speeches	speech	4	en:discourse ~ en:speech ≈ fr:speechs ~ en:speeches ≈ fr:speech
drums	drame	4	en:drama ~ fr:drames ≈ en:drum ~ en:drums ≈ fr:drame
dress	dresse	4	en:dress ≈ fr:dresse ~ en:dresses ≈ fr:dressage
dresses	dressage	4	en:dress ≈ fr:dresse ~ en:dresses ≈ fr:dressage
drummer	drames	4	en:drum ~ en:drums ≈ fr:drame ~ fr:drames ≈ en:drummer
excluding	exclus in	4	en:exclude ~ fr:exclu ≈ en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus
exit arse	existence	4	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exit art	existantes	4	en:existed ≈ fr:exit aide ~ en:exit art ≈ fr:existantes
sortie	sort	4	en:exit = fr:sortir ≈ en:sort ~ fr:sort ≈ en:sortie ~ fr:sortie
explanation	exploser	4	en:explain ~ en:explained ≈ fr:explose ~ fr:exploser ≈ en:explanation
explore	explorer	4	en:explorer ≈ fr:explorent ~ fr:explorer ≈ en:explore
expressions	express	4	en:express ≈ fr:expresse ~ fr:express ≈ en:expressions ~ en:expresses
extend	externes	4	en:extension ~ en:extensions ≈ fr:externe ~ fr:externes ≈ en:extend
extensively	axent haines flux	4	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
extensive	axent haines ive	4	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
falls	folles	4	en:fall ≈ fr:folle ~ fr:folles ≈ en:falls
fastest	fats test	4	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
faster	fats tes	4	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
feels	file	4	en:feel ≈ fr:files ~ fr:file ≈ en:feels
feeling	file	4	en:feelings ~ en:feeling ≈ fr:file ~ fr:files ≈ en:feel ~ fr:feeling
order	hordes	4	en:flock ~ fr:hordes ≈ en:order ~ fr:ordre ≈ en:ordering ~ en:ordered ≈ fr:horde
flown	flow	4	en:flow ~ fr:flow ≈ en:flown ~ en:flew ≈ fr:flux
flew	flux	4	en:flow ~ fr:flow ≈ en:flown ~ en:flew ≈ fr:flux
plea	pli	4	en:fold = fr:pli ≈ en:plea ~ en:pleas ≈ fr:plisse ~ fr:plié
gene	gins	4	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genome	gin dôme	4	en:gene ≈ fr:gins ~ fr:gin dôme ≈ en:genome ~ fr:gènes
agrees	grise	4	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
agree	gris	4	en:gray = fr:grise ≈ en:agrees ~ en:agree ≈ fr:gris
grape	grippe	4	en:grip ~ fr:grippe ≈ en:grape ~ fr:grappes ≈ en:grasp ~ en:gripping
gin	jean	4	en:jean ≈ fr:gin ~ en:gin ≈ fr:jean
rent	reine	4	en:landlord ~ en:renter ≈ fr:reines ~ fr:reine ≈ en:rent
meet	mythe	4	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
meets	mythes	4	en:meet ≈ fr:mythe ~ fr:mythes ≈ en:meets
film	films	4	en:movie ~ en:film ≈ fr:films ~ en:films ≈ fr:film
films	film	4	en:movie ~ en:film ≈ fr:films ~ en:films ≈ fr:film
poor	pour	4	en:needy ~ fr:pauvre ≈ en:pour ~ fr:pour ≈ en:poor ~ en:pauvres
order	ordres	4	en:ordered ~ fr:ordre ≈ en:ordering ~ en:order ≈ fr:ordres
packs	pacs	4	en:pac ~ fr:pacs ≈ en:packs ~ en:pack ≈ fr:pac
pack	pac	4	en:pac ~ fr:pacs ≈ en:packs ~ en:pack ≈ fr:pac
paired	perde	4	en:paired ≈ fr:perde ~ fr:perds ≈ en:pair = fr:paires
peak	piquent	4	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ fr:peake
peaky	piquer	4	en:peak ≈ fr:piquent ~ fr:piquer ≈ en:peaky ~ fr:peake
piece	pisse	4	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
possessed	paix est	4	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
predator	prêt tes	4	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
prime	primes	4	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
proposed	proposent	4	en:proposal ~ en:proposed ≈ fr:proposent ~ en:propose ≈ fr:proposes
protection	prétexte	4	en:protected ~ en:protect ≈ fr:prétextes ~ fr:prétexte ≈ en:protection
wrap	rap	4	en:rap ~ fr:rap ≈ en:wrap ~ en:wrapped ≈ fr:rapt ~ en:rappe
wrapped	rapt	4	en:rap ~ fr:rap ≈ en:wrap ~ en:wrapped ≈ fr:rapt ~ en:rappe
register	raids ester	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
registered	raids stade	4	en:register ≈ fr:raids ester ~ fr:raids stade ≈ en:registered
rendered	reines	4	en:render ~ en:rendering ≈ fr:reines ring ~ fr:reines ≈ en:rendered
resting	reste	4	en:rested ~ en:resting ≈ fr:reste ~ fr:restez ≈ en:rest
scored	scores	4	en:score ~ fr:scores ≈ en:scored ~ fr:score ≈ en:scores
set	sets	4	en:set ≈ fr:sets ~ en:sets ≈ fr:set
sets	set	4	en:set ≈ fr:sets ~ en:sets ≈ fr:set
chute	shoot	4	en:shoot ease ~ fr:shoot ≈ en:chute ~ fr:chute ≈ en:shoot
sort	sortent	4	en:sort ≈ fr:sortent ~ en:sorted ≈ fr:sort
sorted	sort	4	en:sort ≈ fr:sortent ~ en:sorted ≈ fr:sort
soupy	souper	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
soup	soupe	4	en:souped arse ~ en:soupy ≈ fr:souper ~ en:soup ≈ fr:soupe
spreading	sprays in	4	en:spray ~ fr:sprays in ≈ en:spreading ~ en:spread ≈ fr:spray
spread	spray	4	en:spray ~ fr:sprays in ≈ en:spreading ~ en:spread ≈ fr:spray
steals	style	4	en:steal ≈ fr:styles ~ fr:style ≈ en:steals
steal	style	4	en:steal ≈ fr:style ~ fr:styles ≈ en:steals
steals	styles	4	en:steal ≈ fr:style ~ fr:styles ≈ en:steals
step	steppe	4	en:step ≈ fr:steppe ~ en:steppe ≈ fr:stop ~ en:stop ≈ fr:step
steps	steppes	4	en:steppe ~ fr:steppe ≈ en:step ~ en:steps ≈ fr:steppes
stress	stresse	4	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stressed	stress	4	en:stress ≈ fr:stresse ~ fr:stress ≈ en:stressed ~ fr:stressé
stream	string	4	en:string ~ fr:string ≈ en:stream ~ fr:stream ≈ en:strings
talk	tocs	4	en:talked ~ en:talks ≈ fr:toc ~ fr:tocs ≈ en:talk
types	tape	4	en:tape ~ fr:tape ≈ en:types ~ en:type ≈ fr:tapes
test	testes	4	en:testers ~ fr:testes ≈ en:test ~ en:testes ≈ fr:tester
texting	textes	4	en:texting ≈ fr:textes ~ fr:texte ≈ en:text
tries	trace	4	en:trace ~ fr:trace ≈ en:tries ~ en:tried ≈ fr:traces
tried	traces	4	en:trace ~ fr:trace ≈ en:tries ~ en:tried ≈ fr:traces
transformation	transformer	4	en:transform = fr:transformer ≈ en:transformation ~ en:transformed ≈ fr:transforme
transform	transformé	4	en:transformation ~ en:transformed ≈ fr:transforme ~ en:transform ≈ fr:transformé
trying	trahi	4	en:tried ~ en:trying ≈ fr:trahi ~ fr:trahis ≈ en:try
tried	trahi	4	en:tries ~ en:try ≈ fr:trahis ~ fr:trahi ≈ en:tried
troop	troupe	4	en:troop ≈ fr:troupe ~ fr:troupes ≈ en:troops
tape	type	4	en:type ~ fr:type ≈ en:tape ~ fr:tape ≈ en:types
accepting	accepte	3	en:accepted ~ fr:acceptes ≈ en:accept ~ en:accepting ≈ fr:accepte
affects	affect	3	en:affect ~ fr:affect ≈ en:affects = fr:affectent ≈ en:effect = fr:effets
affect	affecte	3	en:affecting ~ en:affect ≈ fr:affecte ~ fr:affect ≈ en:affects
affected	affect	3	en:affecting ~ en:affect ≈ fr:affecte ~ fr:affect ≈ en:affected
beats	bit	3	en:beats ≈ fr:bit ~ fr:bits ≈ en:beat
beat	bits	3	en:beats ≈ fr:bit ~ fr:bits ≈ en:beat
beaches	bit	3	en:bit ~ fr:bit ≈ en:beaches ~ en:beach ≈ fr:bits
beach	bits	3	en:bit ~ fr:bit ≈ en:beaches ~ en:beach ≈ fr:bits
bootee	boutis	3	en:bootee ≈ fr:boutis ~ fr:bout ≈ en:boot
bootie	boutis	3	en:bootee ~ en:bootie ≈ fr:boutis ~ fr:bout ≈ en:boot
poses	pause	3	en:break = fr:pause ≈ en:poses ~ en:pose ≈ fr:pauses = en:breaks
fool	full	3	en:bulk ~ fr:full ≈ en:fool ~ en:fools ≈ fr:foules ~ fr:foule ≈ en:full
calls	cols	3	en:caller ≈ fr:col ~ fr:cols ≈ en:calls
selling	celle	3	en:cellist ~ fr:cellule ≈ en:sell ~ en:selling ≈ fr:celle
sheik	chèque	3	en:checks ~ fr:chèque ≈ en:sheik = fr:cheik ≈ en:check
clique	clic	3	en:clicks ~ en:click ≈ fr:clique ~ en:clique ≈ fr:clic
closes	close	3	en:closed ~ en:closes ≈ fr:close ~ en:close ≈ fr:clos
copy	copies	3	en:copies ~ fr:copies ≈ en:copy ~ fr:copie ≈ en:kopje ~ fr:exemplaires
kopje	copie	3	en:copies ~ fr:copies ≈ en:copy ~ fr:copie ≈ en:kopje ~ fr:exemplaires
exactly	exacts lies	3	en:correct ~ en:correctly ≈ fr:corrects lies ~ fr:exacts lies ≈ en:exactly ~ fr:exact
courts	cote	3	en:court ≈ fr:cotes ~ fr:cote ≈ en:courts ~ fr:courts
courts	cotes	3	en:court arse ~ en:court ≈ fr:cote ~ fr:cotes ≈ en:courts ~ fr:court
jean	djinns	3	en:dj ~ fr:djinn ≈ en:gene ~ en:genes ≈ fr:jean ~ en:jean ≈ fr:djinns
except	exception	3	en:exception ≈ fr:excepte ~ en:except ≈ fr:exception
excluded	exclu	3	en:exclude ~ fr:exclu ≈ en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus
exclude	exclus	3	en:excluded ~ en:excluding ≈ fr:exclus in ~ fr:exclus ≈ en:exclude
expose	exposer	3	en:exhibit = fr:exposer ≈ en:expose ~ fr:expose ≈ en:exhibitions
expose	exposées	3	en:exhibited = fr:exposées ≈ en:expose ~ fr:expose ≈ en:exhibitions
exit	existent	3	en:exist ~ fr:existence ≈ en:exit arse ~ en:exit ≈ fr:existent
exists	existent	3	en:exist = fr:existent ≈ en:exists ~ en:existence ≈ fr:existence
existence	existence	3	en:exist = fr:existent ≈ en:exists ~ en:existence ≈ fr:existence
explored	explore	3	en:exploration ~ fr:exploration ≈ en:explore ~ fr:explore ≈ en:explored
expressing	expresse	3	en:express ~ fr:express ≈ en:expressions ~ en:expressing ≈ fr:expresse
express	expressions	3	en:expression ~ fr:expressions ≈ en:express ~ fr:express ≈ en:expressions
feeler	filer	3	en:feeler ≈ fr:filer ~ fr:files ≈ en:feel
fallen	folles	3	en:fell ~ en:fallen ≈ fr:folles ~ fr:folle ≈ en:falls
ordered	horde	3	en:flock ~ fr:hordes ≈ en:order ~ fr:ordre ≈ en:ordering ~ en:ordered ≈ fr:horde
pleas	plisse	3	en:fold = fr:pli ≈ en:plea ~ en:pleas ≈ fr:plisse ~ fr:plié
fool	foules	3	en:fool ≈ fr:foules ~ fr:foule ≈ en:fools
grabs	grappe	3	en:grab ~ en:grabs ≈ fr:grappe ~ fr:grappes ≈ en:grasp ~ fr:grabe
grab	grappe	3	en:grabbed ~ en:grab ≈ fr:grappe ~ fr:grappes ≈ en:grasp ~ en:grable
himself	aimes elfes	3	en:herself ~ en:myself ≈ fr:mas elfes ~ fr:aimes elfes ≈ en:himself
yourself	ions elfes	3	en:himself ≈ fr:aimes elfes ~ fr:ions elfes ≈ en:yourself ~ en:myself
