a	b	hops	quality	subchain
en:eva	fr:ever	3	0.967	en:eva = fr:ève ≈ en:ever = fr:ever
fr:ève	fr:ever	2	0.967	= fr:ève en:ever = fr:ever
en:eve	en:ever	2	0.967	en:eve = fr:ève ≈ en:ever
en:eve	fr:jamais	3	0.967	en:eve = fr:ève ≈ en:ever = fr:jamais
en:eve	fr:ever	3	0.967	en:eve = fr:ève ≈ en:ever = fr:ever
en:ferry	en:fairy	2	0.967	en:ferry = fr:ferry ≈ en:fairy
en:ferry	fr:fées	3	0.967	en:ferry = fr:ferry ≈ en:fairy = fr:fées
fr:ferry	fr:fées	2	0.967	= fr:ferry en:fairy = fr:fées
en:ferry	fr:fée	3	0.967	en:ferry = fr:ferry ≈ en:fairy = fr:fée
fr:ferry	fr:fée	2	0.967	= fr:ferry en:fairy = fr:fée
en:fold	en:plea	2	0.967	en:fold = fr:pli ≈ en:plea
en:fold	fr:plaidoyer	3	0.967	en:fold = fr:pli ≈ en:plea = fr:plaidoyer
en:legacy	en:leg	2	0.967	en:legacy = fr:legs ≈ en:leg
en:legacy	fr:patte	3	0.967	en:legacy = fr:legs ≈ en:leg = fr:patte
fr:legs	fr:patte	2	0.967	= fr:legs en:leg = fr:patte
en:legacy	fr:jambes	3	0.967	en:legacy = fr:legs ≈ en:leg = fr:jambes
fr:legs	fr:jambes	2	0.967	= fr:legs en:leg = fr:jambes
en:maine	en:men	2	0.967	en:maine = fr:maine ≈ en:men
en:maine	fr:masculins	3	0.967	en:maine = fr:maine ≈ en:men = fr:masculins
fr:maine	fr:masculins	2	0.967	= fr:maine en:men = fr:masculins
en:maine	fr:hommes	3	0.967	en:maine = fr:maine ≈ en:men = fr:hommes
fr:maine	fr:hommes	2	0.967	= fr:maine en:men = fr:hommes
en:mud	en:boo	2	0.967	en:mud = fr:boue ≈ en:boo
en:mud	fr:boo	3	0.967	en:mud = fr:boue ≈ en:boo = fr:boo
fr:boue	fr:boo	2	0.967	= fr:boue en:boo = fr:boo
en:pep	en:pepper	2	0.967	en:pep = fr:pep ≈ en:pepper
en:pep	fr:pepper	3	0.967	en:pep = fr:pep ≈ en:pepper = fr:pepper
fr:pep	fr:pepper	2	0.967	= fr:pep en:pepper = fr:pepper
en:pep	fr:piment	3	0.967	en:pep = fr:pep ≈ en:pepper = fr:piment
fr:pep	fr:piment	2	0.967	= fr:pep en:pepper = fr:piment
en:shorts	en:short	2	0.967	en:shorts = fr:short ≈ en:short
en:shorts	fr:courte	3	0.967	en:shorts = fr:short ≈ en:short = fr:courte
fr:short	fr:courte	2	0.967	= fr:short en:short = fr:courte
en:shorts	fr:court	3	0.967	en:shorts = fr:short ≈ en:short = fr:court
fr:short	fr:court	2	0.967	= fr:short en:short = fr:court
en:shorts	fr:courts	3	0.967	en:shorts = fr:short ≈ en:short = fr:courts
fr:short	fr:courts	2	0.967	= fr:short en:short = fr:courts
en:such	en:tel	2	0.967	en:such = fr:tels ≈ en:tel
en:such	fr:tél	3	0.967	en:such = fr:tels ≈ en:tel = fr:tél
en:such	fr:tel	3	0.967	en:such = fr:tels ≈ en:tel = fr:tel
en:sweet	en:due	2	0.967	en:sweet = fr:doux ≈ en:due
en:sweet	fr:dus	3	0.967	en:sweet = fr:doux ≈ en:due = fr:dus
en:sweet	fr:due	3	0.967	en:sweet = fr:doux ≈ en:due = fr:due
en:sweet	fr:dû	3	0.967	en:sweet = fr:doux ≈ en:due = fr:dû
en:tee	en:tea	2	0.967	en:tee = fr:tee ≈ en:tea
en:tee	fr:thés	3	0.967	en:tee = fr:tee ≈ en:tea = fr:thés
fr:tee	fr:thés	2	0.967	= fr:tee en:tea = fr:thés
en:tee	fr:tea	3	0.967	en:tee = fr:tee ≈ en:tea = fr:tea
fr:tee	fr:tea	2	0.967	= fr:tee en:tea = fr:tea
en:tee	fr:thé	3	0.967	en:tee = fr:tee ≈ en:tea = fr:thé
fr:tee	fr:thé	2	0.967	= fr:tee en:tea = fr:thé
en:under	en:sue	2	0.967	en:under = fr:sous ≈ en:sue
en:under	fr:sue	3	0.967	en:under = fr:sous ≈ en:sue = fr:sue
fr:sous	fr:sue	2	0.967	= fr:sous en:sue = fr:sue
en:clause	en:claws	2	0.965	en:clause = fr:clause ≈ en:claws
en:clause	fr:griffes	3	0.965	en:clause = fr:clause ≈ en:claws = fr:griffes
en:clause	en:grief	4	0.965	en:clause = fr:clause ≈ en:claws = fr:griffes ≈ en:grief
fr:clause	fr:griffes	2	0.965	= fr:clause en:claws = fr:griffes
fr:clause	en:grief	3	0.965	= fr:clause en:claws = fr:griffes ≈ en:grief
en:clause	fr:deuil	5	0.965	en:clause = fr:clause ≈ en:claws = fr:griffes ≈ en:grief = fr:deuil
fr:clause	fr:deuil	4	0.965	= fr:clause en:claws = fr:griffes ≈ en:grief = fr:deuil
fr:gène	fr:gin	4	0.964	≈ fr:gène en:gene ≈ fr:jean = en:jean ≈ fr:gin
fr:gène	en:jean	3	0.964	≈ fr:gène en:gene ≈ fr:jean = en:jean
en:then	en:gene	2	0.964	en:then ≈ fr:gène = en:gene
en:then	fr:gin	5	0.964	en:then ≈ fr:gène = en:gene ≈ fr:jean = en:jean ≈ fr:gin
en:then	en:jean	4	0.964	en:then ≈ fr:gène = en:gene ≈ fr:jean = en:jean
en:ramie	en:rummy	2	0.963	en:ramie ≈ fr:rami = en:rummy
en:ramie	fr:remis	3	0.963	en:ramie ≈ fr:rami = en:rummy ≈ fr:remis
fr:rami	fr:remis	2	0.963	≈ fr:rami en:rummy ≈ fr:remis
fr:teck	fr:tics	2	0.962	≈ fr:teck en:teak ≈ fr:tics
fr:teck	en:tics	3	0.962	≈ fr:teck en:teak ≈ fr:tics = en:tics
fr:teck	fr:sexe	4	0.962	≈ fr:teck en:teak ≈ fr:tics = en:tics ≈ fr:sexe
en:teak	en:tics	2	0.962	= en:teak ≈ fr:tics en:tics
en:teak	fr:sexe	3	0.962	= en:teak ≈ fr:tics en:tics ≈ fr:sexe
fr:tics	fr:sexe	2	0.962	≈ fr:tics = en:tics ≈ fr:sexe
en:tech	en:teak	2	0.962	en:tech ≈ fr:teck = en:teak
en:tech	fr:tics	3	0.962	en:tech ≈ fr:teck = en:teak ≈ fr:tics
en:tech	en:tics	4	0.962	en:tech ≈ fr:teck = en:teak ≈ fr:tics = en:tics
en:tech	fr:sexe	5	0.962	en:tech ≈ fr:teck = en:teak ≈ fr:tics = en:tics ≈ fr:sexe
fr:bises	fr:quais aise	2	0.960	≈ fr:bises en:kisses ≈ fr:quais aise
en:bees	en:kisses	2	0.960	en:bees ≈ fr:bises = en:kisses
en:bees	fr:quais aise	3	0.960	en:bees ≈ fr:bises = en:kisses ≈ fr:quais aise
fr:chérie	fr:suit hâte	2	0.959	≈ fr:chérie en:sweetheart ≈ fr:suit hâte
en:sherry	en:sweetheart	2	0.959	en:sherry ≈ fr:chérie = en:sweetheart
en:sherry	fr:suit hâte	3	0.959	en:sherry ≈ fr:chérie = en:sweetheart ≈ fr:suit hâte
en:peri	en:perry	2	0.958	en:peri = fr:péri ≈ en:perry
en:peri	fr:perry	3	0.958	en:peri = fr:péri ≈ en:perry = fr:perry
fr:péri	fr:perry	2	0.958	= fr:péri en:perry = fr:perry
en:chile	en:sheila	2	0.957	en:chile = fr:chili ≈ en:sheila
en:chile	fr:sheila	3	0.957	en:chile = fr:chili ≈ en:sheila = fr:sheila
fr:chili	fr:sheila	2	0.957	= fr:chili en:sheila = fr:sheila
fr:doré	fr:doris	2	0.957	= fr:doré en:dory = fr:doris
en:golden	en:dory	2	0.957	en:golden = fr:doré ≈ en:dory
en:golden	fr:doris	3	0.957	en:golden = fr:doré ≈ en:dory = fr:doris
en:kaki	en:cocky	2	0.957	en:kaki = fr:kaki ≈ en:cocky
en:kaki	fr:arrogant	3	0.957	en:kaki = fr:kaki ≈ en:cocky = fr:arrogant
fr:kaki	fr:arrogant	2	0.957	= fr:kaki en:cocky = fr:arrogant
en:khaki	en:cocky	2	0.957	en:khaki = fr:kaki ≈ en:cocky
en:khaki	fr:arrogant	3	0.957	en:khaki = fr:kaki ≈ en:cocky = fr:arrogant
en:kidnapping	en:wrapped	2	0.957	en:kidnapping = fr:rapt ≈ en:wrapped
en:kidnapping	fr:emballé	3	0.957	en:kidnapping = fr:rapt ≈ en:wrapped = fr:emballé
fr:rapt	fr:emballé	2	0.957	= fr:rapt en:wrapped = fr:emballé
en:kidnapping	fr:enveloppé	3	0.957	en:kidnapping = fr:rapt ≈ en:wrapped = fr:enveloppé
fr:rapt	fr:enveloppé	2	0.957	= fr:rapt en:wrapped = fr:enveloppé
en:kidnapping	fr:enroulé	3	0.957	en:kidnapping = fr:rapt ≈ en:wrapped = fr:enroulé
fr:rapt	fr:enroulé	2	0.957	= fr:rapt en:wrapped = fr:enroulé
en:mist	en:broom	2	0.957	en:mist = fr:brume ≈ en:broom
en:mist	fr:balais	3	0.957	en:mist = fr:brume ≈ en:broom = fr:balais
fr:brume	fr:balais	2	0.957	= fr:brume en:broom = fr:balais
en:mist	fr:balai	3	0.957	en:mist = fr:brume ≈ en:broom = fr:balai
fr:brume	fr:balai	2	0.957	= fr:brume en:broom = fr:balai
en:seat em	en:system	2	0.957	en:seat em ≈ fr:système = en:system
en:seat em	fr:cessent homme	3	0.957	en:seat em ≈ fr:système = en:system ≈ fr:cessent homme
fr:système	fr:cessent homme	2	0.957	≈ fr:système en:system ≈ fr:cessent homme
en:bridge	en:preach	2	0.956	en:bridge = fr:bridge ≈ en:preach
en:bridge	fr:prêche	3	0.956	en:bridge = fr:bridge ≈ en:preach = fr:prêche
en:bridge	en:pressure	4	0.956	en:bridge = fr:bridge ≈ en:preach = fr:prêche ≈ en:pressure
en:bridge	fr:pression	5	0.956	en:bridge = fr:bridge ≈ en:preach = fr:prêche ≈ en:pressure = fr:pression
fr:bridge	fr:prêche	2	0.956	= fr:bridge en:preach = fr:prêche
fr:bridge	en:pressure	3	0.956	= fr:bridge en:preach = fr:prêche ≈ en:pressure
fr:bridge	fr:pression	4	0.956	= fr:bridge en:preach = fr:prêche ≈ en:pressure = fr:pression
en:preach	en:pressure	2	0.956	≈ en:preach = fr:prêche en:pressure
en:preach	fr:pression	3	0.956	≈ en:preach = fr:prêche en:pressure = fr:pression
fr:prêche	fr:pression	2	0.956	= fr:prêche ≈ en:pressure = fr:pression
en:bridge	fr:pressions	5	0.956	en:bridge = fr:bridge ≈ en:preach = fr:prêche ≈ en:pressure = fr:pressions
fr:bridge	fr:pressions	4	0.956	= fr:bridge en:preach = fr:prêche ≈ en:pressure = fr:pressions
en:preach	fr:pressions	3	0.956	≈ en:preach = fr:prêche en:pressure = fr:pressions
fr:prêche	fr:pressions	2	0.956	= fr:prêche ≈ en:pressure = fr:pressions
en:than	en:gene	2	0.956	en:than ≈ fr:gène = en:gene
en:than	fr:gin	5	0.956	en:than ≈ fr:gène = en:gene ≈ fr:jean = en:jean ≈ fr:gin
en:than	en:jean	4	0.956	en:than ≈ fr:gène = en:gene ≈ fr:jean = en:jean
fr:requis	fr:nid aide	2	0.955	≈ fr:requis en:needed ≈ fr:nid aide
en:rickey	en:needed	2	0.955	en:rickey ≈ fr:requis = en:needed
en:rickey	fr:nid aide	3	0.955	en:rickey ≈ fr:requis = en:needed ≈ fr:nid aide
en:corset	en:concede	2	0.954	en:corset ≈ fr:concède = en:concede
en:corset	fr:con cid	3	0.954	en:corset ≈ fr:concède = en:concede ≈ fr:con cid
fr:concède	fr:con cid	2	0.954	≈ fr:concède en:concede ≈ fr:con cid
en:exhort	en:exodus	2	0.953	en:exhort ≈ fr:exode = en:exodus
en:exhort	fr:excès os	3	0.953	en:exhort ≈ fr:exode = en:exodus ≈ fr:excès os
fr:exode	fr:excès os	2	0.953	≈ fr:exode en:exodus ≈ fr:excès os
fr:nord	fr:nos haine	2	0.953	≈ fr:nord en:northern ≈ fr:nos haine
en:nor	en:northern	2	0.953	en:nor ≈ fr:nord = en:northern
en:nor	fr:nos haine	3	0.953	en:nor ≈ fr:nord = en:northern ≈ fr:nos haine
fr:ose	fr:der	2	0.953	≈ fr:ose en:dare ≈ fr:der
en:was	en:dare	2	0.953	en:was ≈ fr:ose = en:dare
en:was	fr:der	3	0.953	en:was ≈ fr:ose = en:dare ≈ fr:der
en:dare	en:was	2	0.952	≈ en:dare = fr:ose en:was
en:dare	fr:fut	3	0.952	≈ en:dare = fr:ose en:was = fr:fut
fr:ose	fr:fut	2	0.952	= fr:ose ≈ en:was = fr:fut
en:dare	fr:etait	3	0.952	≈ en:dare = fr:ose en:was = fr:etait
fr:ose	fr:etait	2	0.952	= fr:ose ≈ en:was = fr:etait
en:dare	fr:était	3	0.952	≈ en:dare = fr:ose en:was = fr:était
fr:ose	fr:était	2	0.952	= fr:ose ≈ en:was = fr:était
en:der	en:dare	2	0.952	en:der = fr:der ≈ en:dare
en:der	fr:ose	3	0.952	en:der = fr:der ≈ en:dare = fr:ose
en:der	en:was	4	0.952	en:der = fr:der ≈ en:dare = fr:ose ≈ en:was
en:der	fr:fut	5	0.952	en:der = fr:der ≈ en:dare = fr:ose ≈ en:was = fr:fut
fr:der	fr:ose	2	0.952	= fr:der en:dare = fr:ose
fr:der	en:was	3	0.952	= fr:der en:dare = fr:ose ≈ en:was
fr:der	fr:fut	4	0.952	= fr:der en:dare = fr:ose ≈ en:was = fr:fut
en:der	fr:etait	5	0.952	en:der = fr:der ≈ en:dare = fr:ose ≈ en:was = fr:etait
fr:der	fr:etait	4	0.952	= fr:der en:dare = fr:ose ≈ en:was = fr:etait
en:der	fr:était	5	0.952	en:der = fr:der ≈ en:dare = fr:ose ≈ en:was = fr:était
fr:der	fr:était	4	0.952	= fr:der en:dare = fr:ose ≈ en:was = fr:était
en:concede	en:corset	2	0.951	en:concede = fr:concède ≈ en:corset
en:concede	fr:corset	3	0.951	en:concede = fr:concède ≈ en:corset = fr:corset
fr:concède	fr:corset	2	0.951	= fr:concède en:corset = fr:corset
en:sicken	en:stork	2	0.951	en:sicken ≈ fr:cigogne = en:stork
en:sicken	fr:stock	3	0.951	en:sicken ≈ fr:cigogne = en:stork ≈ fr:stock
fr:cigogne	fr:stock	2	0.951	≈ fr:cigogne en:stork ≈ fr:stock
en:stroke	en:caress	2	0.951	en:stroke = fr:caresse ≈ en:caress
en:stroke	fr:caresser	3	0.951	en:stroke = fr:caresse ≈ en:caress = fr:caresser
fr:caresse	fr:caresser	2	0.951	= fr:caresse en:caress = fr:caresser
fr:lutter	fr:litre	2	0.950	= fr:lutter en:litre = fr:litre
en:frisson ya	en:prisoner	2	0.950	en:frisson ya ≈ fr:prisonnier = en:prisoner
en:frisson ya	fr:pris né	3	0.950	en:frisson ya ≈ fr:prisonnier = en:prisoner ≈ fr:pris né
fr:prisonnier	fr:pris né	2	0.950	≈ fr:prisonnier en:prisoner ≈ fr:pris né
en:louise	en:lewis	2	0.950	en:louise = fr:louise ≈ en:lewis
en:louise	fr:lewis	3	0.950	en:louise = fr:louise ≈ en:lewis = fr:lewis
fr:louise	fr:lewis	2	0.950	= fr:louise en:lewis = fr:lewis
en:wrestle	en:litre	2	0.950	en:wrestle = fr:lutter ≈ en:litre
en:wrestle	fr:litre	3	0.950	en:wrestle = fr:lutter ≈ en:litre = fr:litre
fr:drame	fr:trait jeter	2	0.949	≈ fr:drame en:tragedy ≈ fr:trait jeter
en:dram	en:tragedy	2	0.949	en:dram ≈ fr:drame = en:tragedy
en:dram	fr:trait jeter	3	0.949	en:dram ≈ fr:drame = en:tragedy ≈ fr:trait jeter
en:chile	en:schiller	2	0.948	en:chile = fr:chili ≈ en:schiller
en:chile	fr:schiller	3	0.948	en:chile = fr:chili ≈ en:schiller = fr:schiller
fr:chili	fr:schiller	2	0.948	= fr:chili en:schiller = fr:schiller
en:ethics	en:attic	2	0.948	en:ethics = fr:éthique ≈ en:attic
en:ethics	fr:grenier	3	0.948	en:ethics = fr:éthique ≈ en:attic = fr:grenier
fr:éthique	fr:grenier	2	0.948	= fr:éthique en:attic = fr:grenier
en:mammy	en:grandma	2	0.948	en:mammy ≈ fr:mamie = en:grandma
en:mammy	fr:green ma	3	0.948	en:mammy ≈ fr:mamie = en:grandma ≈ fr:green ma
fr:mamie	fr:green ma	2	0.948	≈ fr:mamie en:grandma ≈ fr:green ma
en:funny	en:drool	2	0.947	en:funny = fr:drôle ≈ en:drool
en:funny	fr:bave	3	0.947	en:funny = fr:drôle ≈ en:drool = fr:bave
fr:drôle	fr:bave	2	0.947	= fr:drôle en:drool = fr:bave
en:funny	fr:baver	3	0.947	en:funny = fr:drôle ≈ en:drool = fr:baver
fr:drôle	fr:baver	2	0.947	= fr:drôle en:drool = fr:baver
en:pleader	en:plead	2	0.947	en:pleader ≈ fr:plaider = en:plead
en:pleader	fr:plaide	3	0.947	en:pleader ≈ fr:plaider = en:plead ≈ fr:plaide
fr:plaider	fr:plaide	2	0.947	≈ fr:plaider en:plead ≈ fr:plaide
en:mad in	en:medicine	2	0.945	en:mad in ≈ fr:médecine = en:medicine
en:mad in	fr:met scène	3	0.945	en:mad in ≈ fr:médecine = en:medicine ≈ fr:met scène
fr:médecine	fr:met scène	2	0.945	≈ fr:médecine en:medicine ≈ fr:met scène
en:frisson ya	en:prisoners	2	0.944	en:frisson ya ≈ fr:prisonniers = en:prisoners
en:frisson ya	fr:prison aise	3	0.944	en:frisson ya ≈ fr:prisonniers = en:prisoners ≈ fr:prison aise
fr:prisonniers	fr:prison aise	2	0.944	≈ fr:prisonniers en:prisoners ≈ fr:prison aise
en:metered	en:method	2	0.944	en:metered ≈ fr:méthode = en:method
en:metered	fr:met aide	3	0.944	en:metered ≈ fr:méthode = en:method ≈ fr:met aide
fr:méthode	fr:met aide	2	0.944	≈ fr:méthode en:method ≈ fr:met aide
en:levee	en:sunrise	2	0.941	en:levee ≈ fr:lever = en:sunrise
en:levee	fr:son rase	3	0.941	en:levee ≈ fr:lever = en:sunrise ≈ fr:son rase
fr:lever	fr:son rase	2	0.941	≈ fr:lever en:sunrise ≈ fr:son rase
en:meet arras	en:mystery	2	0.940	en:meet arras ≈ fr:mystérieuse = en:mystery
en:meet arras	fr:mais tri	3	0.940	en:meet arras ≈ fr:mystérieuse = en:mystery ≈ fr:mais tri
fr:mystérieuse	fr:mais tri	2	0.940	≈ fr:mystérieuse en:mystery ≈ fr:mais tri
en:exon	en:exodus	2	0.938	en:exon ≈ fr:exode = en:exodus
en:exon	fr:excès os	3	0.938	en:exon ≈ fr:exode = en:exodus ≈ fr:excès os
en:jeep	en:chip	2	0.938	en:jeep = fr:jeep ≈ en:chip
en:jeep	fr:chip	3	0.938	en:jeep = fr:jeep ≈ en:chip = fr:chip
fr:jeep	fr:chip	2	0.938	= fr:jeep en:chip = fr:chip
en:jeep	fr:puce	3	0.938	en:jeep = fr:jeep ≈ en:chip = fr:puce
fr:jeep	fr:puce	2	0.938	= fr:jeep en:chip = fr:puce
fr:marie	fr:mairie	2	0.938	≈ fr:marie en:mary ≈ fr:mairie
en:meet error	en:mystery	2	0.938	en:meet error ≈ fr:mystérieux = en:mystery
en:meet error	fr:mais tri	3	0.938	en:meet error ≈ fr:mystérieux = en:mystery ≈ fr:mais tri
fr:mystérieux	fr:mais tri	2	0.938	≈ fr:mystérieux en:mystery ≈ fr:mais tri
en:mighty	en:mary	2	0.938	en:mighty ≈ fr:marie = en:mary
en:mighty	fr:mairie	3	0.938	en:mighty ≈ fr:marie = en:mary ≈ fr:mairie
en:petit your	en:petition	2	0.938	en:petit your ≈ fr:pétition = en:petition
en:petit your	fr:paient chaîne	3	0.938	en:petit your ≈ fr:pétition = en:petition ≈ fr:paient chaîne
fr:pétition	fr:paient chaîne	2	0.938	≈ fr:pétition en:petition ≈ fr:paient chaîne
en:en eek	en:ethnicity	2	0.936	en:en eek ≈ fr:ethnique = en:ethnicity
en:en eek	fr:ethnies tee	3	0.936	en:en eek ≈ fr:ethnique = en:ethnicity ≈ fr:ethnies tee
fr:ethnique	fr:ethnies tee	2	0.936	≈ fr:ethnique en:ethnicity ≈ fr:ethnies tee
en:gen	en:gene	2	0.936	en:gen ≈ fr:gènes = en:gene
en:gen	fr:gin	5	0.936	en:gen ≈ fr:gènes = en:gene ≈ fr:jean = en:jean ≈ fr:gin
fr:gènes	fr:gin	4	0.936	≈ fr:gènes en:gene ≈ fr:jean = en:jean ≈ fr:gin
en:gen	en:jean	4	0.936	en:gen ≈ fr:gènes = en:gene ≈ fr:jean = en:jean
fr:gènes	en:jean	3	0.936	≈ fr:gènes en:gene ≈ fr:jean = en:jean
en:poop	en:crossed	2	0.934	≈ en:poop = fr:crotte en:crossed
en:poop	fr:traversé	3	0.934	≈ en:poop = fr:crotte en:crossed = fr:traversé
fr:crotte	fr:traversé	2	0.934	= fr:crotte ≈ en:crossed = fr:traversé
en:stern	en:poop	2	0.934	en:stern = fr:poupe ≈ en:poop
en:stern	fr:crotte	3	0.934	en:stern = fr:poupe ≈ en:poop = fr:crotte
fr:poupe	fr:crotte	2	0.934	= fr:poupe en:poop = fr:crotte
en:stern	en:crossed	4	0.934	en:stern = fr:poupe ≈ en:poop = fr:crotte ≈ en:crossed
en:stern	fr:traversé	5	0.934	en:stern = fr:poupe ≈ en:poop = fr:crotte ≈ en:crossed = fr:traversé
fr:poupe	en:crossed	3	0.934	= fr:poupe en:poop = fr:crotte ≈ en:crossed
fr:poupe	fr:traversé	4	0.934	= fr:poupe en:poop = fr:crotte ≈ en:crossed = fr:traversé
fr:raid	fr:rouges	3	0.933	≈ fr:raid fr:raids ≈ en:red = fr:rouges
fr:raid	en:rouge	4	0.933	≈ fr:raid fr:raids ≈ en:red = fr:rouges ≈ en:rouge
fr:raid	fr:rouge	5	0.933	≈ fr:raid fr:raids ≈ en:red = fr:rouges ≈ en:rouge = fr:rouge
fr:rides	en:read	2	0.933	≈ fr:rides fr:ride ≈ en:read
fr:rides	fr:lire	3	0.933	≈ fr:rides fr:ride ≈ en:read = fr:lire
fr:rides	en:litre	4	0.933	≈ fr:rides fr:ride ≈ en:read = fr:lire ≈ en:litre
