en	fr	certifications	example_loop
extensive	axent haines ive	2	en:extensively ≈ fr:axent haines flux ~ fr:axent haines ive ≈ en:extensive
fastest	fats test	2	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
faster	fats tes	2	en:fastest ≈ fr:fats test ~ fr:fats tes ≈ en:faster
feel	file	2	en:feel ≈ fr:file ~ fr:files ≈ en:feels
floored	flotte	2	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes = en:fleets
floor	flottes	2	en:fleet = fr:flotte ≈ en:floored ~ en:floor ≈ fr:flottes = en:fleets
footballer	fait bolée	2	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
football	fait bol	2	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
friendship	freinent chipe	2	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
friendships	freinent chips	2	en:friendship ≈ fr:freinent chipe ~ fr:freinent chips ≈ en:friendships
gene	gin	2	en:gene ≈ fr:gin ~ fr:gin dôme ≈ en:genome ~ fr:gènes
genes	gin	2	en:gin ~ fr:gins ≈ en:gene ~ en:genes ≈ fr:gin
group	groupes	2	en:group ≈ fr:groupes ~ en:groups ≈ fr:groupe
himself	aimes elfes	2	en:himself ≈ fr:aimes elfes ~ fr:mas elfes ≈ en:myself
installed	haines solde	2	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
install	haines taule	2	en:installed ≈ fr:haines solde ~ fr:haines taule ≈ en:install
jinn	gin	2	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean ~ en:jean ≈ fr:djinns
jean	djinns	2	en:jinn ≈ fr:gin ~ en:gin ≈ fr:jean ~ en:jean ≈ fr:djinns
kindness	cannes noces	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
kindly	cannes lis	2	en:kindness ≈ fr:cannes noces ~ fr:cannes lis ≈ en:kindly = fr:gentiment
leg	legs	2	en:leg ≈ fr:legs ~ en:kaki ≈ fr:kaki ~ fr:noga
kaki	kaki	2	en:leg ≈ fr:legs ~ en:kaki ≈ fr:kaki ~ fr:noga
letters	laid aise	2	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
letting	laid in	2	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
let	lettres	2	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting ~ en:let ≈ fr:lettres
net	nets	2	en:net ≈ fr:nets ~ en:nets ≈ fr:net
nets	net	2	en:net ≈ fr:nets ~ en:nets ≈ fr:net
oldest	elles est	2	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
elders	elles aise	2	en:oldest ≈ fr:elles est ~ fr:elles aise ≈ en:elders ~ en:elder
caller	coller	2	en:paste = fr:coller ≈ en:caller ~ en:call ≈ fr:colle
pees	pisses	2	en:pee ~ en:pees ≈ fr:pisses ~ en:piss ≈ fr:pisse
piss	pisse	2	en:pee ~ en:pees ≈ fr:pisses ~ en:piss ≈ fr:pisse
piece	pissent	2	en:pieced ≈ fr:pistent ~ fr:pissent ≈ en:piece
pieces	pis aise	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pee	pi	2	en:pieces ≈ fr:pis aise ~ fr:pi ≈ en:pee = fr:pisse ≈ en:piece
pile	pâle	2	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
pale	pl	2	en:pile ≈ fr:pâle = en:pale ≈ fr:pl ~ en:pl ≈ fr:piles
peaks	piques	2	en:piqued ~ fr:piquer ≈ en:peaky ~ en:peaks ≈ fr:piques ~ fr:piquet
pease	pisse	2	en:piss ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
peas	pisses	2	en:piss ~ fr:pisse ≈ en:pease ~ en:peas ≈ fr:pisses
peas	pisse	2	en:piss ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
pease	pisses	2	en:piss ~ fr:pisse ≈ en:peas ~ en:pease ≈ fr:pisses
pleas	plisse	2	en:plea ≈ fr:pli ~ fr:plisse ≈ en:pleas
pool	poules	2	en:pooch ~ fr:poules ≈ en:pool ~ en:pools ≈ fr:poule
pools	poule	2	en:pooch ~ fr:poules ≈ en:pool ~ en:pools ≈ fr:poule
pools	poules	2	en:pooch ~ fr:poules ≈ en:pools ~ en:pool ≈ fr:poule
pool	poule	2	en:pooch ~ fr:poules ≈ en:pools ~ en:pool ≈ fr:poule
possess	paix ace	2	en:possess ≈ fr:paix ace ~ fr:paix est ≈ en:possessed ~ en:possesses
possession	paix échine	2	en:possession ≈ fr:paix échine ~ fr:paix est ≈ en:possessed ~ en:possesses
pp	pipi	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
pee	pis	2	en:pp ≈ fr:pipi = en:pee ≈ fr:pis
prey	pré	2	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:pré ≈ en:prey
prey	prés	2	en:predator ≈ fr:prêt tes ~ fr:prêt ≈ en:prep ~ fr:prés ≈ en:prey
premium	primes rimes	2	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
prime	primes	2	en:premium ≈ fr:primes rimes ~ en:prime ≈ fr:primes
prospects	prospectus	2	en:prospect ~ fr:prospectus ≈ en:prospects = fr:perspectives ≈ en:perspective ~ fr:perspective
perspective	perspectives	2	en:prospect ~ fr:prospectus ≈ en:prospects = fr:perspectives ≈ en:perspective ~ fr:perspective
proven	prouvant	2	en:proved ~ en:proves ≈ fr:prouve ~ fr:prouvant ≈ en:proven
court	quote	2	en:quote ~ fr:quote ≈ en:court ~ en:courts ≈ fr:cotes = en:quotes
courts	quote	2	en:quote ~ fr:quote ≈ en:courts ~ en:court ≈ fr:cotes = en:quotes
red	raid	2	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges
reds	raids	2	en:red ≈ fr:raid ~ fr:raids ≈ en:reds = fr:rouges
ruler	roule	2	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ fr:règle
rule	roulé	2	en:ruler ≈ fr:roule ~ fr:roulé ≈ en:rule ~ fr:règle
scene	seines	2	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes
scenes	seine	2	en:scene ≈ fr:seines ~ fr:seine ≈ en:scenes
score	scores	2	en:scored ~ en:score ≈ fr:scores ~ en:scores ≈ fr:score
scores	score	2	en:scored ~ en:score ≈ fr:scores ~ en:scores ≈ fr:score
secondary	déconnent ri	2	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
secondly	déconnent lis	2	en:secondary ≈ fr:déconnent ri ~ fr:déconnent lis ≈ en:secondly ~ en:secondment
senses	sain six	2	en:senses ≈ fr:sain six ~ fr:six ≈ en:scenes ~ fr:scènes ≈ en:sense = fr:sens
scenes	six	2	en:senses ≈ fr:sain six ~ fr:six ≈ en:scenes ~ fr:scènes ≈ en:sense = fr:sens
sense	scènes	2	en:senses ≈ fr:sain six ~ fr:six ≈ en:scenes ~ fr:scènes ≈ en:sense = fr:sens
setter	synthé	2	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters
setters	synthèse	2	en:setter ≈ fr:synthé ~ fr:synthèse ≈ en:setters
sharply	chie pli	2	en:sheered ~ en:sharply ≈ fr:chie pli ~ fr:chie ≈ en:sheer
sheer	chie	2	en:sheered ~ en:sharply ≈ fr:chie pli ~ fr:chie ≈ en:sheer
sketch	sketchs	2	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:sketch
sketches	sketch	2	en:sketch ≈ fr:sketchs ~ en:sketches ≈ fr:sketch
sketch	scotch	2	en:sketches ~ en:sketch ≈ fr:scotch ~ en:scotch ≈ fr:sketch
scotch	sketch	2	en:sketches ~ en:sketch ≈ fr:scotch ~ en:scotch ≈ fr:sketch
sport	spots	2	en:sport ≈ fr:spots ~ fr:spot ≈ en:sports
sports	spot	2	en:sport ≈ fr:spots ~ fr:spot ≈ en:sports
sport	spot	2	en:sport ≈ fr:spot ~ fr:spots ≈ en:sports
