src	dst	hops	quality	chain
accepted	accepte	6	0.887	en:accepted ~ fr:acceptes ≈ en:except ~ fr:excepte ≈ en:accept ~ en:accepting ≈ fr:accepte
accepted	ère	6	0.879	en:accepted ~ fr:acceptes ≈ en:except ~ fr:excepte ≈ en:exception ~ en:error ≈ fr:ère
accepted	airs	6	0.879	en:accepted ~ fr:acceptes ≈ en:except ~ fr:excepte ≈ en:exception ~ en:error ≈ fr:airs
accepting	excepté	6	0.899	en:accepting ~ en:accept ≈ fr:acceptes ~ en:accepted ≈ fr:excepte ~ en:except ≈ fr:excepté
accepting	acceptent	6	0.891	en:accepting ~ en:accept ≈ fr:acceptes ~ en:accepted ≈ fr:excepte ~ en:except ≈ fr:acceptent
accepting	acceptes	6	0.890	en:accepting ~ en:accept ≈ fr:acceptent ~ en:accepted ≈ fr:excepte ~ en:except ≈ fr:acceptes
accepts	excepté	6	0.890	en:accepts = fr:accepte ≈ en:accepting ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:excepté
accepts	acceptent	6	0.883	en:accepts = fr:accepte ≈ en:accepting ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptent
accepts	acceptes	6	0.883	en:accepts = fr:accepte ≈ en:accepting ~ en:accept ≈ fr:excepte ~ en:except ≈ fr:acceptes
access	orthodoxe	6	0.898	en:access ≈ fr:axis ~ en:axis ≈ fr:axe ~ fr:hochet axe ≈ en:orthodox ~ fr:orthodoxe
access	orthodoxes	6	0.894	en:access ≈ fr:axis ~ en:axis ≈ fr:axe ~ fr:hochet axe ≈ en:orthodox ~ fr:orthodoxes
access	orthodoxie	6	0.891	en:access ≈ fr:axis ~ en:axis ≈ fr:axe ~ fr:hochet axe ≈ en:orthodox = fr:orthodoxie
accessed	axes	6	0.878	en:accessed ~ en:access ≈ fr:axis ~ en:axis ≈ fr:axe ~ en:axe ≈ fr:axes
accessed	et axe	5	0.887	en:accessed ~ en:access ≈ fr:axis ~ en:axis ≈ fr:axe ~ fr:et axe
accessed	axe	5	0.881	en:accessed ~ en:access ≈ fr:axis ~ fr:axes ≈ en:axe ~ fr:axe
accessories	russ	2	0.899	en:accessories ≈ fr:excès ruse ~ fr:russ
according	districts	6	0.914	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decreased ≈ fr:district ~ fr:districts
according	district	6	0.914	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decreased ≈ fr:districts ~ fr:district
according	décrites	6	0.903	en:according ≈ fr:écot in ~ fr:décris in ≈ en:decreasing ~ en:decreased ≈ fr:décrite ~ fr:décrites
accursed em	écosystèmes	2	0.965	en:accursed em ≈ fr:écosystème ~ fr:écosystèmes
acid art	sexes	6	0.855	en:acid art ~ fr:acides ≈ en:seed ~ en:seeds ≈ fr:six ~ en:six ≈ fr:sexes
acid art	sexe	6	0.855	en:acid art ~ fr:acides ≈ en:seed ~ en:seeds ≈ fr:six ~ en:six ≈ fr:sexe
acid art	sain six	5	0.859	en:acid art ~ fr:acides ≈ en:seed ~ en:seeds ≈ fr:six ~ fr:sain six
acme	actu	2	0.948	en:acme ≈ fr:acmé ~ fr:actu
acne	frein	6	0.876	en:acne ≈ fr:acné ~ en:acme ≈ fr:amie = en:friend ≈ fr:freine ~ fr:frein
acne	freins	6	0.872	en:acne ≈ fr:acné ~ en:acme ≈ fr:amie = en:friend ≈ fr:freine ~ fr:freins
acne	frit	6	0.872	en:acne ≈ fr:acné ~ en:acme ≈ fr:amie = en:friend ≈ fr:freine ~ fr:frit
acoustic	tech	6	0.965	en:acoustic ≈ fr:égouts tic ~ fr:tic ≈ en:teak = fr:teck ≈ en:tech ~ fr:tech
acoustic	technologie	6	0.954	en:acoustic ≈ fr:égouts tic ~ fr:tic ≈ en:teak = fr:teck ≈ en:tech ~ fr:technologie
acoustic	dec	6	0.920	en:acoustic ≈ fr:égouts tic ~ fr:tic ≈ en:teak = fr:teck ≈ en:dec ~ fr:dec
acquire	quad dix	6	0.910	en:acquire ~ en:acquired ≈ fr:quad ~ fr:quad tee ≈ en:quantity ~ en:quantities ≈ fr:quad dix
acquire	connerie	6	0.866	en:acquire ~ en:acquired ≈ fr:quad ~ fr:quad tee ≈ en:quantity ~ en:quantities ≈ fr:connerie
acquire	quantités	5	0.902	en:acquire ~ en:acquired ≈ fr:quad ~ fr:quad tee ≈ en:quantity = fr:quantités
acquired	sexes	6	0.924	en:acquired = fr:acquise ≈ en:techies ~ en:techs ≈ fr:sexe ~ en:sex ≈ fr:sexes
acquired	tic	6	0.921	en:acquired = fr:acquise ≈ en:techies ~ en:tech ≈ fr:teck = en:teak ≈ fr:tic
acquired	tique	6	0.921	en:acquired = fr:acquise ≈ en:techies ~ en:tech ≈ fr:teck = en:teak ≈ fr:tique
acted	bâche	5	0.839	en:acted ≈ fr:accède ~ fr:gel ≈ en:shell ~ en:bash ≈ fr:bâche
acted	venez	4	0.912	en:acted ≈ fr:accède ~ fr:gel ≈ en:gel ~ fr:venez
acted	shell	4	0.900	en:acted ≈ fr:accède ~ fr:gel ≈ en:shell ~ fr:shell
active	octave	3	0.985	en:active ~ fr:active ≈ en:octave ~ fr:octave
active	actives	2	0.967	en:active ≈ fr:active ~ fr:actives
active	actif	2	0.945	en:active ≈ fr:active ~ fr:actif
acute	sphérique	5	0.815	en:acute ~ en:severe ≈ fr:sphère = en:sphere ≈ fr:sphères ~ fr:sphérique
acute	sphères	4	0.789	en:acute ~ en:severe ≈ fr:sphère = en:sphere ≈ fr:sphères
acute	sphère	2	0.711	en:acute ~ en:severe ≈ fr:sphère
additional	rer	3	0.902	en:additional ~ fr:extra ≈ en:irked rah ~ fr:rer
address	routes	6	0.935	en:address ~ en:addresses ≈ fr:adrets aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:routes
address	route	6	0.935	en:address ~ en:addresses ≈ fr:adrets aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:route
address	routine	6	0.932	en:address ~ en:addresses ≈ fr:adrets aise ~ fr:ruent aise ≈ en:rooters ~ en:rooting ≈ fr:routine
addressed	habillée	3	0.844	en:addressed ~ en:addressing ≈ fr:dressing ~ fr:habillée
addressed	attire	3	0.843	en:addressed ~ en:addressing ≈ fr:dressing ~ fr:attire
addressed	dressing	2	0.826	en:addressed ~ en:addressing ≈ fr:dressing
addresses	routes	6	0.938	en:addresses ≈ fr:adrets aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:route ~ fr:routes
addresses	route	6	0.938	en:addresses ≈ fr:adrets aise ~ fr:ruent aise ≈ en:rooters ~ en:root ≈ fr:routes ~ fr:route
addresses	plus	6	0.931	en:addresses ≈ fr:adrets aise ~ fr:plaies aise ≈ en:places ~ fr:places ≈ en:plus ~ fr:plus
addressing	raids	6	0.897	en:addressing ~ en:addressed ≈ fr:et reste ~ fr:restera ≈ en:red error ~ en:red ≈ fr:raids
addressing	raide	6	0.897	en:addressing ~ en:addressed ≈ fr:et reste ~ fr:restera ≈ en:red error ~ en:red ≈ fr:raide
addressing	raid	6	0.897	en:addressing ~ en:addressed ≈ fr:et reste ~ fr:restera ≈ en:red error ~ en:red ≈ fr:raid
adorable	cassette	6	0.925	en:adorable ~ en:cute ≈ fr:coûtent ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:cassette
adorable	gustave	6	0.913	en:adorable ~ en:cute ≈ fr:coûtent ~ fr:coûte ≈ en:coot ~ en:coot of ≈ fr:gustave
adorable	caste	6	0.895	en:adorable ~ en:cute ≈ fr:coûtent ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:caste
adviser	désagréables	5	0.818	en:adviser ~ en:advisor ≈ fr:et vases ~ fr:en plaisait ≈ en:unpleasant = fr:désagréables
adviser	désagréable	5	0.818	en:adviser ~ en:advisor ≈ fr:et vases ~ fr:en plaisait ≈ en:unpleasant = fr:désagréable
adviser	en plaisait	3	0.835	en:adviser ~ en:advisor ≈ fr:et vases ~ fr:en plaisait
advisor	désagréables	5	0.818	en:advisor ~ en:adviser ≈ fr:et vases ~ fr:en plaisait ≈ en:unpleasant = fr:désagréables
advisor	désagréable	5	0.818	en:advisor ~ en:adviser ≈ fr:et vases ~ fr:en plaisait ≈ en:unpleasant = fr:désagréable
advisor	en plaisait	3	0.835	en:advisor ~ en:adviser ≈ fr:et vases ~ fr:en plaisait
advisory	désagréables	5	0.805	en:advisory ~ en:advisor ≈ fr:et vases ~ fr:en plaisait ≈ en:unpleasant = fr:désagréables
advisory	désagréable	5	0.805	en:advisory ~ en:advisor ≈ fr:et vases ~ fr:en plaisait ≈ en:unpleasant = fr:désagréable
advisory	en plaisait	3	0.812	en:advisory ~ en:advisor ≈ fr:et vases ~ fr:en plaisait
aesthetic	semaines	6	0.877	en:aesthetic ≈ fr:hissent éthique ~ en:ethics ≈ fr:est x ~ fr:x ≈ en:weeks ~ fr:semaines
aesthetic	semaine	6	0.868	en:aesthetic ≈ fr:hissent éthique ~ en:ethics ≈ fr:est x ~ fr:x ≈ en:weeks ~ fr:semaine
aesthetic	livret	6	0.867	en:aesthetic ≈ fr:hissent éthique ~ en:ethics ≈ fr:est x ~ fr:x ≈ en:leeks ~ fr:livret
affairs	interaction	3	0.818	en:affairs ~ fr:un tracts ≈ en:interact ~ fr:interaction
affect	sectes	6	0.876	en:affect ~ fr:affecte ≈ en:effect ~ en:effects ≈ fr:secte ~ en:sect ≈ fr:sectes
affect	épais ex	6	0.852	en:affect ~ fr:affect ≈ en:aspect ~ en:aspects ≈ fr:apex ~ en:apex ≈ fr:épais ex
affect	sexe	6	0.838	en:affect ~ fr:affecte ≈ en:effect ~ en:effects ≈ fr:secte ~ en:sect ≈ fr:sexe
affecting	dis tracts	6	0.931	en:affecting ~ en:affected ≈ fr:évoquent aide ~ fr:dis traquent aide ≈ en:distracted ~ en:distract ≈ fr:dis tracts
affecting	aidait in	6	0.918	en:affecting ~ en:affected ≈ fr:évoquent aide ~ fr:aidait aide ≈ en:edited ~ en:editing ≈ fr:aidait in
affecting	district	6	0.898	en:affecting ~ en:affected ≈ fr:évoquent aide ~ fr:dis traquent aide ≈ en:distracted ~ en:distract ≈ fr:district
affects	sexes	6	0.878	en:affects ~ en:effects ≈ fr:secte ~ en:sect ≈ fr:sexe ~ en:sex ≈ fr:sexes
affects	sectes	6	0.874	en:affects = fr:affectent ≈ en:effect ~ en:effects ≈ fr:secte ~ en:sect ≈ fr:sectes
affects	évoquent aide	6	0.859	en:affects = fr:affectent ≈ en:affect ~ en:affecting ≈ fr:affect ~ en:affected ≈ fr:évoquent aide
afford	type	6	0.901	en:afford ~ fr:coûte ≈ en:coot ~ en:cosset ≈ fr:cassette = en:tape ≈ fr:type
afford	espèce	6	0.855	en:afford ~ en:expense ≈ fr:experts ~ fr:experte ≈ en:expect ~ en:expects ≈ fr:espèce
afford	expo	6	0.855	en:afford ~ en:expense ≈ fr:experts ~ en:expert ≈ fr:exporte ~ en:exports ≈ fr:expo
agencies	et on si	2	0.801	en:agencies ~ en:agency ≈ fr:et on si
agency	celle	6	0.879	en:agency ~ en:agencies ≈ fr:et on sise ~ fr:selles ≈ en:sell ~ en:sells ≈ fr:celle
agency	sels	6	0.874	en:agency ~ en:agencies ≈ fr:et on sise ~ fr:selles ≈ en:sell ~ en:sells ≈ fr:sels
agency	selle	6	0.874	en:agency ~ en:agencies ≈ fr:et on sise ~ fr:selles ≈ en:sell ~ en:sells ≈ fr:selle
agenda	prend	5	0.793	en:agenda ~ en:priorities ≈ fr:priori ~ en:prior ≈ fr:prends ~ fr:prend
agenda	prends	4	0.748	en:agenda ~ en:priorities ≈ fr:priori ~ en:prior ≈ fr:prends
agenda	braqueur	3	0.844	en:agenda ~ en:priorities ≈ fr:braillard hisse ~ fr:braqueur
agree	gré haines	6	0.875	en:agree ~ en:agrees ≈ fr:grises ~ fr:grise ≈ en:grains ~ en:grain ≈ fr:gré haines
agree	grille	6	0.872	en:agree ~ en:agrees ≈ fr:grises ~ fr:grise ≈ en:greens ~ en:greeny ≈ fr:grille
agree	gars	6	0.865	en:agree ~ en:agrees ≈ fr:grise = en:grey ≈ fr:gré ~ en:ga ≈ fr:gars
agreed	gré haines	6	0.865	en:agreed ~ en:agrees ≈ fr:grises ~ fr:grise ≈ en:grains ~ en:grain ≈ fr:gré haines
agreed	grille	6	0.862	en:agreed ~ en:agrees ≈ fr:grises ~ fr:grise ≈ en:greens ~ en:greeny ≈ fr:grille
agreed	gars	6	0.855	en:agreed ~ en:agrees ≈ fr:grise = en:grey ≈ fr:gré ~ en:ga ≈ fr:gars
agrees	gars	6	0.859	en:agrees ~ en:agree ≈ fr:gris = en:grey ≈ fr:gré ~ en:ga ≈ fr:gars
agrees	gré	4	0.881	en:agrees ~ en:agree ≈ fr:gris = en:grey ≈ fr:gré
agrees	gris	2	0.871	en:agrees ~ en:agree ≈ fr:gris
air	isis	6	0.929	en:air ~ fr:air ≈ en:error ~ en:errors ≈ fr:aires aise ~ en:eases ≈ fr:isis
air	coupent	6	0.922	en:air ~ fr:air ≈ en:hair ~ fr:cheveux ≈ en:chevy ~ en:coupe ≈ fr:coupent
air	coupes	6	0.922	en:air ~ fr:air ≈ en:hair ~ fr:cheveux ≈ en:chevy ~ en:coupe ≈ fr:coupes
aired	telles	6	0.958	en:aired ~ fr:télé ≈ en:telly ~ en:tell ≈ fr:tels ~ en:tel ≈ fr:telles
aired	telle	6	0.958	en:aired ~ fr:télé ≈ en:telly ~ en:tell ≈ fr:tels ~ en:tel ≈ fr:telle
aired	sache	6	0.903	en:aired ~ fr:télé ≈ en:telly ~ en:tell ≈ fr:tels = en:such ≈ fr:sache
al	mouillé	5	0.894	en:al ~ fr:al ≈ en:owl = fr:chouettes ≈ en:wet ~ fr:mouillé
al	mouillée	5	0.893	en:al ~ fr:al ≈ en:owl = fr:chouettes ≈ en:wet ~ fr:mouillée
al	humide	5	0.893	en:al ~ fr:al ≈ en:owl = fr:chouettes ≈ en:wet = fr:humide
alike	cité	6	0.823	en:alike ~ fr:simili ≈ en:similarly ~ en:similar ≈ fr:semelle ~ en:seedy ≈ fr:cité
alike	saule	6	0.814	en:alike ~ fr:simili ≈ en:similarly ~ en:similar ≈ fr:semelle = en:sole ≈ fr:saule
alike	citer	6	0.778	en:alike ~ fr:simili ≈ en:similarly ~ en:similar ≈ fr:semelle ~ en:seedy ≈ fr:citer
all	appeler	6	0.917	en:all ≈ fr:hall ~ en:hall ≈ fr:col ~ fr:cols ≈ en:call = fr:appeler
all	var	6	0.892	en:all ≈ fr:hall ~ en:hall ≈ fr:col ~ en:col ≈ fr:cale ~ fr:var
all	bobine	6	0.890	en:all ≈ fr:hall ~ en:hall ≈ fr:col ~ fr:cols ≈ en:coil = fr:bobine
alley	alléger	3	0.967	en:alley ~ en:alleys ≈ fr:élise ~ fr:alléger
alley	élise	2	0.967	en:alley ~ en:alleys ≈ fr:élise
alleys	élit	3	0.858	en:alleys ~ en:alley ≈ fr:allie ~ fr:élit
alleys	allie	2	0.859	en:alleys ~ en:alley ≈ fr:allie
allowed	mêle	6	0.908	en:allowed ~ en:permitted ≈ fr:pâment aide ~ fr:mènent aide ≈ en:melted ~ en:melt ≈ fr:mêle
allowed	mettent	6	0.903	en:allowed ~ en:permitted ≈ fr:pâment aide ~ fr:mènent aide ≈ en:melted ~ en:melt ≈ fr:mettent
allowed	mette	6	0.903	en:allowed ~ en:permitted ≈ fr:pâment aide ~ fr:mènent aide ≈ en:melted ~ en:melt ≈ fr:mette
alumni	il	6	0.918	en:alumni ≈ fr:élan ni ~ en:annie ≈ fr:henni ~ fr:elle ≈ en:el ~ fr:il
alumni	hell	6	0.882	en:alumni ≈ fr:élan ni ~ en:annie ≈ fr:henni ~ fr:elle ≈ en:hell ~ fr:hell
alumni	dell	6	0.881	en:alumni ≈ fr:élan ni ~ en:annie ≈ fr:henni ~ fr:elle ≈ en:dell ~ fr:dell
amended	fait aide	6	0.924	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited ~ en:editing ≈ fr:aidait in ~ fr:fait aide
amended	met aide	6	0.923	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited ~ en:editing ≈ fr:aidait in ~ fr:met aide
amended	aidez	6	0.923	en:amended ≈ fr:amènent aide ~ fr:aidait aide ≈ en:edited ~ en:editing ≈ fr:aidait in ~ fr:aidez
amy	émise	3	0.936	en:amy ~ en:amice ≈ fr:émises ~ fr:émise
amy	émises	2	0.915	en:amy ~ en:amice ≈ fr:émises
amyl	soldes	6	0.886	en:amyl ≈ fr:habile = en:clever ≈ fr:glaive = en:sword ≈ fr:solde ~ fr:soldes
amyl	solde	6	0.886	en:amyl ≈ fr:habile = en:clever ≈ fr:glaive = en:sword ≈ fr:soldes ~ fr:solde
amyl	sodas	6	0.868	en:amyl ≈ fr:habile = en:clever ≈ fr:glaive = en:sword ≈ fr:soda ~ fr:sodas
an	prison	6	0.961	en:an ≈ fr:in ~ en:in ≈ fr:haine ~ fr:pris haine ≈ en:prison ~ fr:prison
an	leçon	6	0.959	en:an ≈ fr:in ~ en:in ≈ fr:haine ~ fr:laids haine ≈ en:lesson ~ fr:leçon
an	leçons	6	0.957	en:an ≈ fr:in ~ en:in ≈ fr:haine ~ fr:laids haine ≈ en:lesson ~ fr:leçons
anatomy	autonomie	4	0.954	en:anatomy ≈ fr:hennit omis ~ fr:otan omis ≈ en:autonomy ~ fr:autonomie
anatomy	otan omis	2	0.945	en:anatomy ≈ fr:hennit omis ~ fr:otan omis
anatomy	omis	2	0.943	en:anatomy ≈ fr:hennit omis ~ fr:omis
anise	anis	3	0.982	en:anise ~ fr:anise ≈ en:anis ~ fr:anis
anise	ans	3	0.971	en:anise ~ fr:anise ≈ en:anis ~ fr:ans
annal	anale	2	0.920	en:annal ≈ fr:anal ~ fr:anale
annas	na	6	0.906	en:annas ~ en:anna ≈ fr:ne ~ en:ne ≈ fr:ni ~ en:ni ≈ fr:na
annas	ni	6	0.893	en:annas ~ en:anna ≈ fr:ne ~ fr:nie ≈ en:knee ~ en:knees ≈ fr:ni
annas	proche	5	0.877	en:annas ~ en:anna ≈ fr:ne ~ fr:nie ≈ en:near = fr:proche
ante	bras aune	6	0.921	en:ante ≈ fr:hindi ~ fr:vis hindi ≈ en:vicinity ~ en:proximity ≈ fr:braques midi ~ fr:bras aune
ante	bras	6	0.920	en:ante ≈ fr:hindi ~ fr:vis hindi ≈ en:vicinity ~ en:proximity ≈ fr:braques midi ~ fr:bras
ante	complètement	6	0.895	en:ante ≈ fr:hindi ~ fr:haines hindi ≈ en:insanity = fr:folie ≈ en:fully = fr:complètement
any	will	6	0.978	en:any ≈ fr:henni ~ fr:elle ≈ en:el ~ fr:il ≈ en:will ~ fr:will
any	volonté	6	0.970	en:any ≈ fr:henni ~ fr:elle ≈ en:el ~ fr:il ≈ en:will = fr:volonté
any	fera	6	0.970	en:any ≈ fr:henni ~ fr:elle ≈ en:el ~ fr:il ≈ en:will = fr:fera
anyone	de	6	0.914	en:anyone ~ en:any ≈ fr:henni ~ fr:elle ≈ en:dell ~ en:de ≈ fr:de
anyone	il	6	0.904	en:anyone ~ en:any ≈ fr:henni ~ fr:elle ≈ en:el ~ en:il ≈ fr:il
anyone	chatte	6	0.882	en:anyone ~ en:any ≈ fr:henni ~ fr:elle ≈ en:yell ~ en:shout ≈ fr:chatte
anywhere	tous	6	0.872	en:anywhere ~ en:where ≈ fr:air ~ en:air ≈ fr:airs = en:tunes ≈ fr:tous
anywhere	cerises	6	0.845	en:anywhere ~ en:somewhere ≈ fr:sommaire = en:summary ≈ fr:série = en:series ≈ fr:cerises
anywhere	cerise	6	0.845	en:anywhere ~ en:somewhere ≈ fr:sommaire = en:summary ≈ fr:série = en:series ≈ fr:cerise
apex	excel	6	0.906	en:apex ≈ fr:épais ex ~ fr:ex ès ≈ en:excess = fr:excès ≈ en:excel ~ fr:excel
apex	secs	6	0.900	en:apex ≈ fr:épais ex ~ en:ex ≈ fr:sexe ~ fr:sexes ≈ en:secs ~ fr:secs
apex	excelle	6	0.897	en:apex ≈ fr:épais ex ~ fr:ex ès ≈ en:excess = fr:excès ≈ en:excel = fr:excelle
appeal	pourparlers	6	0.911	en:appeal ≈ fr:piles ~ en:pile ≈ fr:pâle ~ fr:pâli ≈ en:parley = fr:pourparlers
appeal	faille	6	0.904	en:appeal ≈ fr:piles ~ en:pile ≈ fr:pâle ~ fr:pâli ≈ en:pally ~ fr:faille
appeal	plaie	6	0.903	en:appeal ≈ fr:piles ~ en:pile ≈ fr:pâle ~ fr:pâli ≈ en:pally ~ fr:plaie
appealed	pl	6	0.892	en:appealed ~ en:appeal ≈ fr:pile ~ en:pile ≈ fr:pale ~ en:pale ≈ fr:pl
appealed	sphinx	6	0.884	en:appealed ~ en:appeal ≈ fr:pile = en:stack ≈ fr:stick ~ en:sticks ≈ fr:sphinx
appealed	pâle	6	0.883	en:appealed ~ en:appeal ≈ fr:pile ~ en:pile ≈ fr:pal ~ en:pal ≈ fr:pâle
appealing	pl	6	0.890	en:appealing ~ en:appeal ≈ fr:pile ~ en:pile ≈ fr:pale ~ en:pale ≈ fr:pl
appealing	sphinx	6	0.881	en:appealing ~ en:appeal ≈ fr:pile = en:stack ≈ fr:stick ~ en:sticks ≈ fr:sphinx
appealing	pâle	6	0.880	en:appealing ~ en:appeal ≈ fr:pile ~ en:pile ≈ fr:pal ~ en:pal ≈ fr:pâle
appeals	pl	6	0.894	en:appeals ~ en:appeal ≈ fr:pile ~ en:pile ≈ fr:pale ~ en:pale ≈ fr:pl
appeals	sphinx	6	0.885	en:appeals ~ en:appeal ≈ fr:pile = en:stack ≈ fr:stick ~ en:sticks ≈ fr:sphinx
appeals	pâle	6	0.885	en:appeals ~ en:appeal ≈ fr:pile ~ en:pile ≈ fr:pal ~ en:pal ≈ fr:pâle
applied	flou	6	0.841	en:applied ~ en:apply ≈ fr:plat = en:flat ≈ fr:flûte = en:flute ≈ fr:flou
applied	flatté	5	0.857	en:applied ~ en:apply ≈ fr:plat = en:flat ≈ fr:flatte ~ fr:flatté
applied	dés	5	0.842	en:applied ~ en:apply ≈ fr:plat = en:dish ≈ fr:dèche ~ fr:dés
apply	plateforme	6	0.856	en:apply ~ en:applied ≈ fr:plate = en:platform ≈ fr:plateformes ~ en:platforms ≈ fr:plateforme
apply	plateformes	6	0.844	en:apply ~ en:applied ≈ fr:plate = en:platform ≈ fr:plateforme ~ en:platforms ≈ fr:plateformes
apply	but formes	6	0.835	en:apply ~ en:applied ≈ fr:plate = en:platform ≈ fr:plateformes ~ en:platforms ≈ fr:but formes
approach	guette	6	0.909	en:approach ~ fr:méthode ≈ en:metered ~ en:meter ≈ fr:mire ~ en:gut ≈ fr:guette
approach	gâte	6	0.909	en:approach ~ fr:méthode ≈ en:metered ~ en:meter ≈ fr:mire ~ en:gut ≈ fr:gâte
approach	choses	6	0.884	en:approach ~ en:approaches ≈ fr:apprêt chaise ~ fr:chaux ≈ en:show ~ en:shows ≈ fr:choses
approaches	mirent	6	0.896	en:approaches = fr:approches ≈ en:approach ~ fr:méthode ≈ en:metered ~ en:meter ≈ fr:mirent
approaches	mire	6	0.896	en:approaches = fr:approches ≈ en:approach ~ fr:méthode ≈ en:metered ~ en:meter ≈ fr:mire
approaches	choix	6	0.887	en:approaches ≈ fr:apprêt chaise ~ fr:chaux ≈ en:show ~ en:shows ≈ fr:chose ~ fr:choix
approval	éprouvent	6	0.872	en:approval ~ en:approved ≈ fr:prouvent ~ fr:prouve ≈ en:proves ~ en:prove ≈ fr:éprouvent
approval	prouver	5	0.917	en:approval ~ en:approved ≈ fr:prouvent ~ fr:prouve ≈ en:prove ~ fr:prouver
approval	prouvée	5	0.876	en:approval ~ en:approved ≈ fr:prouvent ~ fr:prouve ≈ en:proved = fr:prouvée
apt	stocker	6	0.870	en:apt ~ fr:apte ≈ en:stopped ~ fr:stoppes ≈ en:stalk ~ en:stalky ≈ fr:stocker
apt	steppes	6	0.855	en:apt ~ fr:apte ≈ en:stopped ~ fr:stoppes ≈ en:step ~ en:steps ≈ fr:steppes
apt	step	6	0.850	en:apt ~ fr:apte ≈ en:stopped ~ fr:stoppes ≈ en:step ~ en:steps ≈ fr:step
arc	irlandaise	5	0.872	en:arc ~ fr:arc ≈ en:ark = fr:arche ≈ en:irish ~ fr:irlandaise
arc	irlande	5	0.871	en:arc ~ fr:arc ≈ en:ark = fr:arche ≈ en:irish ~ fr:irlande
arc	irlandais	5	0.870	en:arc ~ fr:arc ≈ en:ark = fr:arche ≈ en:irish ~ fr:irlandais
are	lise	6	0.860	en:are ~ en:were ≈ fr:le ~ fr:lé ≈ en:layer ~ en:layers ≈ fr:lise
are	externes haines	6	0.839	en:are ~ fr:are ≈ en:outer ~ fr:externe ≈ en:extensions ~ en:extension ≈ fr:externes haines
are	externe	6	0.835	en:are ~ fr:are ≈ en:outer ~ fr:externes ≈ en:extend ~ en:extended ≈ fr:externe
area	pas pote	6	0.895	en:area = fr:domaine ≈ en:doormen ~ fr:d porte ≈ en:disport ~ en:passport ≈ fr:pas pote
area	dalle	5	0.885	en:area ~ en:areas ≈ fr:errer = en:wander ≈ fr:van des ~ fr:dalle
area	lin des	5	0.883	en:area ~ en:areas ≈ fr:errer = en:wander ≈ fr:van des ~ fr:lin des
areas	dalle	5	0.895	en:areas ~ en:area ≈ fr:errer = en:wander ≈ fr:van des ~ fr:dalle
